'y	ɪ
asungot	ʔ ɐ s u ŋ o t
at	ʔ ɐ t
ataul	ʔ ɐ t ɐ ʔ u l
atendido	ʔ ɐ t ɛ n d ɪ d o
avanceña	ʔ ɐ b ɐ n s ɛ ɲ ɐ
avendaño	ʔ ɐ b ɛ n d ɐ ɲ o
awat	ʔ a w ɐ t
ay	ʔ a ɪ̯
ayson	ʔ a ɪ̯ s o n
azaña	ʔ ɐ s ɐ ɲ ɐ
azucena	ʔ ɐ s ʊ s ɛ n ɐ
babae	b ɐ b a ʔ ɛ
babaero	b ɐ b ɐ ʔ ɛ ɾ o
babaihin	b ɐ b a ɪ̯ h ɪ n
babao	b ɐ b a ʊ̯
babasa	b ɐ b ɐ s ɐ
babasagin	b ɐ b ɐ s ɐ ɰ i n
babasagin	b ɐ b ɐ s ɐ ɰ ɪ n
babasahin	b ɐ b ɐ s ɐ h i n
babasahin	b ɐ b ɐ s ɐ h ɪ n
bacani	b ɐ x ɐ n ɪ
baclig	b ɐ k l ɪ ɡ
bacsa	b ɐ k s ɐ
bactol	b ɐ k t o l
baculi	b ɐ x ʊ l ɪ
badayos	b ɐ d ɐ j o s
bagaman	b ɐ ɰ ɐ m a n
bagamat	b ɐ ɰ ɐ m a t
bagang	b ɐ ɡ ʔ a ŋ
bagang	b ɐ ɰ a ŋ
bagaoisan	b ɐ ɰ ɐ w ɪ s ɐ n
baging	b a ɰ ɪ ŋ
bagon	b ɐ ɰ o n
bagsik	b ɐ ɡ s i k
bagsit	b ɐ ɡ s ɪ t
bahaghari	b ɐ h ɐ ɡ h a ɾ ɪ ʔ
bahing	b ɐ h i ŋ
baka	b ɐ x ɐ
bakahan	b ɐ x ɐ h a n
bakas	b ɐ x a s
baklad	b ɐ k l a d
bakulaw	b ɐ x u l a ʊ̯
bakuna	b ɐ x ʊ n ɐ
bakunahan	b ɐ x ʊ n ɐ h ɐ n
bakuran	b ɐ x ʊ ɾ ɐ n
balae	b ɐ l ɐ ʔ ɛ
balaguer	b ɐ l ɐ ɰ ɛ ɾ
balahibo	b ɐ l ɐ h i b o
balakubak	b ɐ l ɐ x u b ɐ k
balasa	b ɐ l a s ɐ
balasabas	b ɐ l ɐ s ɐ b ɐ s
balato	b ɐ l a t o
balatong	b ɐ l a t o ŋ
balbas	b ɐ l b a s
baldonado	b ɐ l d o n ɐ d o
baligtad	b ɐ l ɪ ɡ t a d
balingit	b ɐ l ɪ ŋ ɪ t
balisacan	b ɐ l ɪ s ɐ x ɐ n
balite	b ɐ l ɪ t ɛ
balon	b ɐ l o n
baluga	b ɐ l ʊ ɰ ɐ ʔ
baluktot	b ɐ l ʊ k t o t
balwarte	b ɐ l w a ɾ t ɛ
banawa	b ɐ n ɐ w ɐ
bandila	b ɐ n d i l ɐ ʔ
bangaw	b a ŋ a ʊ̯
bangkay	b ɐ ŋ k a ɪ̯
bangkiling	b ɐ ŋ k ɪ l i ŋ
bango	b ɐ ŋ o
baniaga	b ɐ ɲ ɐ ɰ ɐ
banig	b ɐ n i ɡ
banlaw	b ɐ n l a ʊ̯
banta	b a n t ɐ ʔ
banta	b ɐ n t a ʔ
bantay	b ɐ n t a ɪ̯
bantog	b ɐ n t o ɡ
banyaga	b ɐ ɲ a ɰ ɐ ʔ
baog	b ɐ ʔ o ɡ
baon	b ɐ ʔ o n
baquiran	b ɐ x ɪ ɾ ɐ n
bara	b ɐ ɾ a
barado	b ɐ ɾ ɐ d o
baraha	b ɐ ɾ a h ɐ
barbosa	b ɐ ɾ b o s ɐ
barquilla	b ɐ ɾ k ɪ l l ɐ
barrios	b ɐ ɾ j o s
bartolome	b ɐ ɾ t o l o m ɛ
barya	b ɐ ɾ j a
basa	b ɐ s ɐ
basahan	b ɐ s ɐ h ɐ n
basco	b ɐ s k o
base	b ɐ s ɛ
basehan	b ɐ s ɛ h a n
basilan	b ɐ s ɪ l ɐ n
bastos	b ɐ s t o s
basurahan	b ɐ s ʊ ɾ ɐ h a n
basurero	b ɐ s ʊ ɾ ɛ ɾ o
batallones	b ɐ t ɐ l l o n ɛ s
batalyon	b ɐ t ɐ l j o n
batangas	b ɐ t ɐ ŋ ɡ ɐ s
bati	b a t ɪ ʔ
bati	b ɐ t i
bati	b ɐ t i ʔ
batugan	b ɐ t ʊ ɰ ɐ n
batukan	b ɐ t ʊ x ɐ n
batya	b ɐ t͡ʃ a ʔ
baunan	b ɐ ʔ ʊ n a n
bauzon	b a ʊ̯ s o n
bayabas	b ɐ j ɐ b ɐ s
bayad	b ɐ j ɐ d
bayawak	b ɐ j ɐ w ɐ k
baybayin	b a i̯ b aː j ɪ n
bayong	b a ɪ̯ ʔ o ŋ
bayong	b ɐ j o ŋ
baywang	b a ɪ̯ w a ŋ
baywang	b ɛ w ɐ ŋ
bañaga	b ɐ ɲ ɐ ɰ ɐ
bejasa	b ɛ d͡ʒ ɐ s ɐ
belhiko	b ɛ l h ɪ x o
beltran	b ɛ l t ɾ ɐ n
benepisyo	b ɛ n ɛ p i ʃ o
benipayo	b ɛ n ɪ p ɐ j o
bergonia	b ɛ ɾ ɡ o ɲ ɐ
bermudez	b ɛ ɾ m ʊ d ɛ s
bibingka	b ɪ b ɪ ŋ k ɐ
bigat	b ɪ ɡ ʔ a t
bigat	b ɪ ɰ a t
bigti	b ɪ ɡ t i ʔ
bihag	b i h ɐ ɡ
bihag	b ɪ h a ɡ
bihira	b ɪ h i ɾ ɐ ʔ
bihis	b i h ɪ s
bihis	b ɪ h i s
biik	b ɪ i k
bilangguan	b ɪ l ɐ ŋ ɡ ʊ ʔ ɐ n
bilao	b ɪ l a o
bilas	b ɪ l a s
bilot	b ɪ l o t
bilugan	b ɪ l ʊ ɰ ɐ n
binabae	b ɪ n ɐ b a ʔ ɛ
binabae	b ɪ n ɐ b ɐ ʔ ɛ
binatilyo	b ɪ n ɐ t ɪ l j o
bingwit	b ɪ ŋ w i t
bintang	b ɪ n t a ŋ
bintog	b ɪ n t o ɡ
binuya	b ɪ n ʊ j ɐ
bisaya	b ɪ s a j ɐ ʔ
biscocho	b ɪ s k o t͡ʃ o
bisikleta	b ɪ s ɪ k l ɛ t ɐ
bisita	b ɪ s i t ɐ
bitay	b i t a ɪ̯
biyas	b j a s
biyaya	b j a j ɐ ʔ
biyuda	b j u d ɐ
bobadilla	b o b ɐ d ɪ l l ɐ
bodega	b o d ɛ ɰ ɐ
bolante	b o l ɐ n t ɛ
bolaños	b o l ɐ ɲ o s
boluntaryo	b o l ʊ n t ɐ ɾ j o
bonifacio	b o n ɪ f ɐ ʃ o
bonilla	b o n ɪ l l ɐ
boongaling	b o o ŋ ɡ ɐ l ɪ ŋ
borillo	b o ɾ ɪ l l o
borlaza	b o ɾ l ɐ s ɐ
botika	b o t ɪ x ɐ
brillantes	b ɾ ɪ l l ɐ n t ɛ s
bruha	b ɾ u h ɐ
bubog	b ʊ b o ɡ
bubuli	b ʊ b ʊ l i
budhi	b ʊ d h i ʔ
buenafe	b ʊ ɛ n ɐ p ɛ
buga	b ʊ ɰ a
bugarin	b ʊ ɰ ɐ ɾ ɪ n
bugaw	b u ɰ a ʊ̯
bugayong	b ʊ ɰ ɐ j o ŋ
bugtong	b ʊ ɡ t o ŋ
buhaghag	b ʊ h a ɡ h a ɡ
buhawi	b ʊ h a w ɪ ʔ
bukambibig	b ʊ x ɐ m b ɪ b i ɡ
bukas	b u x ɐ s
bukas	b ʊ x a s
bukbok	b ʊ k b o k
buking	b ʊ x i ŋ
bula	b u l ɐ ʔ
bula	b ʊ l a
bula	b ʊ l a ʔ
bulaan	b ʊ l ɐ ʔ ɐ n
bulahaw	b ʊ l a h a ʊ̯
bulalakaw	b ʊ l ɐ l a x a ʊ̯
bulanadi	b ʊ l ɐ n ɐ d ɪ
bulanhagui	b ʊ l ɐ ŋ h ɐ ɰ ɪ
bulati	b ʊ l ɐ t ɪ
bulaw	b u l a ʊ̯
bulbol	b ʊ l b o l
bulok	b ʊ l o k
bulutong	b ʊ l u t o ŋ
bulyaw	b ʊ l j a ʊ̯
bumahing	b ʊ m ɐ h ɪ ŋ
bumbunan	b u m b ʊ n ɐ n
bumiyahe	b ʊ m j a h ɛ
bunag	b ʊ n ɐ ɡ
bunga	b ʊ ŋ ɐ
bungkos	b ʊ ŋ k o s
bungo	b ʊ ŋ o ʔ
buno	b ʊ n o ʔ
bunso	b ʊ n s o ʔ
bunso	b ʊ ŋ s o ʔ
bunyi	b ʊ ɲ ɪ
buo	b ʊ o ʔ
buol	b ʊ ʔ o l
buquid	b ʊ x ɪ d
burgis	b ʊ ɾ ɡ ɪ s
buryong	b ʊ ɾ j o ŋ
buson	b ʊ s o n
butac	b ʊ t ɐ k
butaka	b ʊ t a x ɐ
buto	b ʊ t o
buto	b ʊ t ʔ o
buwag	b w a ɡ
buwakaw	b w a x a ʊ̯
buwanan	b ʊ ɐ n ɐ n
buwaya	b w ɐ j ɐ
buweltahan	b w ɛ l t ɐ h a n
buwisit	b w i s ɪ t
cabahug	k x ɐ b ɐ h ʊ ɡ
cabanayan	k x ɐ b ɐ n ɐ j ɐ n
cabanlit	k x ɐ b ɐ n l ɪ t
cabasag	k x ɐ b ɐ s ɐ ɡ
cabiling	k x ɐ b ɪ l ɪ ŋ
cabral	k x ɐ b ɾ ɐ l
cabuhat	k x ɐ b ʊ h ɐ t
cabungcal	k x ɐ b ʊ ŋ k ɐ l
cacdac	k x ɐ k d ɐ k
cadano	k x ɐ d ɐ n o
cadapan	k x ɐ d ɐ p ɐ n
cadayona	k x ɐ d ɐ j o n ɐ
cagalingan	k x ɐ ɰ ɐ l ɪ ŋ ɐ n
caguiat	k x ɐ ɡ j ɐ t
caguioa	k x ɐ ɰ ɪ w ɐ
calalo	k x ɐ l ɐ l o
calaunan	k x ɐ l ɐ ʔ ʊ n ɐ n
calaycay	k x ɐ l a ɪ̯ x a ɪ̯
calinawan	k x ɐ l ɪ n ɐ w ɐ n
calingasan	k x ɐ l ɪ ŋ ɐ s ɐ n
calinisan	k x ɐ l ɪ n ɪ s ɐ n
calma	k x ɐ l m ɐ
campo	k x ɐ m p o
cancio	k x ɐ n s ɪ o
canicosa	k x ɐ n ɪ x o s ɐ
canilao	k x ɐ n ɪ l a ʊ̯
cantiveros	k x ɐ n t ɪ b ɛ ɾ o s
cantos	k x ɐ n t o s
caparas	k x ɐ p ɐ ɾ ɐ s
capinpin	k x ɐ p ɪ n p ɪ n
cardiño	k x ɐ ɾ d ɪ ɲ o
cariaso	k x ɐ ɾ j ɐ s o
carillo	k x ɐ ɾ ɪ l l o
carrillo	k x ɐ ɾ ɾ ɪ l l o
casal	k x ɐ s ɐ l
casanova	k x ɐ s ɐ n o b ɐ
casao	k x ɐ s ɐ o
caseda	k x ɐ s ɛ d ɐ
castañeda	k x ɐ s t ɐ ɲ ɛ d ɐ
castrence	k x ɐ s t ɾ ɛ n s ɛ
catapang	k x ɐ t ɐ p ɐ ŋ
catibog	k x ɐ t ɪ b o ɡ
catimbang	k x ɐ t ɪ m b ɐ ŋ
catipon	k x ɐ t ɪ p o n
catral	k x ɐ t ɾ ɐ l
cauilan	k x ɐ w ɪ l ɐ n
cenizal	s ɛ n ɪ s ɐ l
cerillo	s ɛ ɾ ɪ l l o
ching	t͡ʃ ɪ ŋ
cinco	s ɪ ŋ k o
closa	k x l o s ɐ
collado	k x o l l ɐ d o
cometa	k x o m ɛ t ɐ
comia	k x o m ɪ ɐ
condez	k x o n d ɛ s
coquia	k x o x ɪ ɐ
corcuera	k x o ɾ k w ɛ ɾ ɐ
cornejo	k x o ɾ n ɛ d͡ʒ o
coronel	k x o ɾ o n ɛ l
corrales	k x o ɾ ɾ ɐ l ɛ s
correa	k x o ɾ ɾ ɛ ɐ
corro	k x o ɾ ɾ o
cosico	k x o s ɪ x o
cruzat	k x ɾ ʊ s ɐ t
cuasay	k w ɐ s a ɪ̯
cubacub	k x ʊ b ɐ x ʊ b
cuizon	k x ʊ ɪ s o n
custodio	k x ʊ s t o d͡ʒ o
daan	d ɐ ʔ a n
dacanay	d ɐ x ɐ n a ɪ̯
dado	d ɐ d o
daga	d ɐ ɰ a ʔ
dagat	d a ɰ ɐ t
dagta	d ɐ ɡ t a ʔ
dahas	d ɐ h a s
dahilan	d ɐ h ɪ l a n
dakip	d ɐ x i p
dalagita	d ɐ l ɐ ɰ ɪ t ɐ
dalang	d a l ɐ ŋ
dalaw	d a l a ʊ̯
dalubhasa	d ɐ l ʊ b h a s ɐ ʔ
dalusong	d ɐ l ʊ s o ŋ
dantay	d ɐ n t a ɪ̯
dapdap	d ɐ p d a p
datapwa	d ɐ t ɐ p w a ʔ
datinguinoo	d ɐ t ɪ ŋ ɪ n o o
daw	d a ʊ̯
daw	ɾ a ʊ̯
daya	d a j ɐ ʔ
dayag	d ɐ j ɐ ɡ
dayami	d ɐ j ɐ m ɪ
dayanghirang	d ɐ j ɐ ŋ h ɪ ɾ ɐ ŋ
dayrit	d a ɪ̯ ɾ ɪ t
dazo	d ɐ s o
deang	d͡ʒ ɐ ŋ
decena	d ɛ s ɛ n ɐ
dee	d ɪ
dekada	d ɛ x a d ɐ
dekorasyon	d ɛ x o ɾ ɐ ʃ o n
delegasyon	d ɛ l ɛ ɰ ɐ ʃ o n
demonyo	d ɛ m o ɲ o
dentista	d ɛ n t i s t ɐ
depensahan	d ɛ p ɛ n s ɐ h a n
desisyon	d ɛ s ɪ ʃ o n
diamante	d ɪ ɐ m ɐ n t ɛ
dijamco	d ɪ d͡ʒ ɐ m k o
dilaw	d ɪ l a ʊ̯
dimaala	d ɪ m ɐ ɐ l ɐ
dimaandal	d ɪ m ɐ ɐ n d ɐ l
dimaapi	d ɪ m ɐ ɐ p ɪ
dimacali	d ɪ m ɐ x ɐ l ɪ
dimagiba	d ɪ m ɐ ɰ ɪ b ɐ
dimailig	d ɪ m a ɪ̯ l ɪ ɡ
dimalaluan	d ɪ m ɐ l ɐ l ʊ ɐ n
dimalanta	d ɪ m ɐ l ɐ n t ɐ
dimapilis	d ɪ m ɐ p ɪ l ɪ s
dimaranan	d ɪ m ɐ ɾ ɐ n ɐ n
dimatatac	d ɪ m ɐ t ɐ t ɐ k
diokno	d ɪ o k n o
dipasupil	d ɪ p ɐ s ʊ p ɪ l
diplomasya	d ɪ p l o m a ʃ ɐ
disisais	d ɪ s ɪ s ɐ ʔ i s
diskumpiyado	d ɪ s k u m p j ɐ d o
dismayado	d ɪ s m ɐ j ɐ d o
diyablo	d͡ʒ ɐ b l o
diyamante	d͡ʒ a m a n t ɛ
diño	d ɪ ɲ o
domantay	d o m ɐ n t a ɪ̯
domingo	d o m ɪ ŋ ɡ o
dueñas	d ʊ ɛ ɲ ɐ s
duhat	d u h ɐ t
dukot	d u x o t
dukwang	d ʊ k w a ŋ
dulay	d ʊ l a ɪ̯
duldol	d ʊ l d o l
dumaguing	d ʊ m ɐ ɰ ɪ ŋ
dumating	d ʊ m ɐ t ɪ ŋ
dumlao	d ʊ m l ɐ o
dumpit	d u m p ɪ t
dumungaw	d ʊ m u ŋ a ʊ̯
dumura	d ʊ m ʊ ɾ a ʔ
dungaw	d u ŋ a ʊ̯
dura	d ʊ ɾ a ʔ
durante	d ʊ ɾ ɐ n t ɛ
duwag	d w a ɡ
dyahe	d͡ʒ ɐ h ɛ
dyaket	d͡ʒ a x ɛ t
dyanitor	d͡ʒ a n ɪ t o ɾ
echano	ʔ ɛ t͡ʃ ɐ n o
echevarria	ʔ ɛ t͡ʃ ɛ b ɐ ɾ j ɐ
edisyon	ʔ ɛ d ɪ ʃ o n
ekis	ʔ ɛ x ɪ s
ekisan	ʔ ɛ x ɪ s ɐ n
ekonomiya	ʔ ɛ x o n o m ɪ ɐ
elamparo	ʔ ɛ l ɐ m p ɐ ɾ o
elizaga	ʔ ɛ t͡ʃ ɛ b ɐ ɾ j ɐ
encarnado	ʔ ɛ ŋ k ɐ ɾ n ɐ d o
encinas	ʔ ɛ n s ɪ n ɐ s
endaya	ʔ ɛ n d ɐ j ɐ
epidemya	ʔ ɛ p ɪ d ɛ m j ɐ
ermitanyo	ʔ ɛ ɾ m ɪ t ɐ ɲ o
escalona	ʔ ɛ s k ɐ l o n ɐ
escaño	ʔ ɛ s k ɐ ɲ o
esguerra	ʔ ɛ s ɡ ɛ ɾ ɾ ɐ
eskaparate	ʔ ɛ s k ɐ p ɐ ɾ a t ɛ
espadahan	ʔ ɛ s p ɐ d ɐ h a n
espasyo	ʔ ɛ s p a ʃ o
espinoza	ʔ ɛ s p ɪ n o s ɐ
esquivel	ʔ ɛ s k ɪ b ɛ l
estabillo	ʔ ɛ s t ɐ b ɪ l l o
estrella	ʔ ɛ s t ɾ ɛ l l ɐ
eugenio	j ʊ h ɛ ɲ o
fabregas	p ɐ b ɾ ɛ ɰ ɐ s
fabros	p ɐ b ɾ o s
fajardo	p ɐ d͡ʒ ɐ ɾ d o
falcon	p ɐ l k o n
faltado	p ɐ l t ɐ d o
fernandez	p ɛ ɾ n ɐ n d ɛ s
ferriols	p ɛ ɾ ɾ ɪ o l s
figueras	p ɪ ɰ ɛ ɾ ɐ s
figueroa	p ɪ ɰ ɛ ɾ o ɐ
fojas	p o d͡ʒ ɐ s
fonacier	p o n ɐ s ɪ ɛ ɾ
fontelera	p o n t ɛ l ɛ ɾ ɐ
fontillas	p o n t ɪ l l ɐ s
forteza	p o ɾ t ɛ s ɐ
fortich	p o ɾ t ɪ t͡ʃ
frias	p ɾ ɪ ɐ s
fronda	p ɾ o n d ɐ
fuentebella	p ʊ ɛ n t ɛ b ɛ l l ɐ
furagganan	p ʊ ɾ ɐ ɡ ɡ ɐ n ɐ n
gabi	ɡ ɐ b i
gabi	ɡ ɐ b ɪ
gabiana	ɡ ɐ b ɪ ɐ n ɐ
gacula	ɡ ɐ x ʊ l ɐ
gacusan	ɡ ɐ x ʊ s ɐ n
gacutan	ɡ ɐ x ʊ t ɐ n
galamay	ɡ ɐ l ɐ m a ɪ̯
galapong	ɡ ɐ l ɐ p o ŋ
galis	ɡ ɐ l i s
gallo	ɡ ɐ l l o
gan	ɡ ɐ n
ganap	ɡ ɐ n a p
gancayco	ɡ ɐ ŋ k a ɪ̯ x o
gansa	ɡ ɐ n s a
ganti	ɡ ɐ n t i
ganzon	ɡ ɐ n s o n
garalde	ɡ ɐ ɾ ɐ l d ɛ
garapata	ɡ ɐ ɾ ɐ p ɐ t ɐ
garay	ɡ ɐ ɾ a ɪ̯
garces	ɡ ɐ ɾ s ɛ s
garchitorena	ɡ ɐ ɾ t͡ʃ ɪ t o ɾ ɛ n ɐ
garciano	ɡ ɐ ɾ s ɪ ɐ n o
gascon	ɡ ɐ s k o n
gaslaw	ɡ ɐ s l a ʊ̯
gasolinahan	ɡ ɐ s o l ɪ n ɐ h a n
gaspang	ɡ ɐ s p a ŋ
gaston	ɡ ɐ s t o n
gatbonton	ɡ ɐ t b o n t o n
gatchalian	ɡ ɐ t t͡ʃ ɐ l j ɐ n
gayuma	ɡ ɐ j u m ɐ
gerilya	ɡ ɛ ɾ ɪ l j ɐ
gerodias	d͡ʒ ɛ ɾ o d͡ʒ ɐ s
geronimo	h ɛ ɾ o n ɪ m o
gilagid	ɡ ɪ l a ɰ ɪ d
ginhawa	ɡ ɪ ŋ h a w ɐ
ginto	ɡ ɪ n t o ʔ
giron	h ɪ ɾ o n
gisa	ɡ ɪ s a
gitna	ɡ ɪ t n a ʔ
godoy	ɡ o d o ɪ̯
gradweyt	ɡ ɾ a d w ɛ ɪ̯ t
grasa	ɡ ɾ ɐ s ɐ
grasya	ɡ ɾ a ʃ ɐ
grumadweyt	ɡ ɾ ʊ m a d w ɛ ɪ̯ t
guanzon	ɡ ʊ ɐ n s o n
gubat	ɡ ʊ b ɐ t
guerra	ɡ ɛ ɾ ɐ
gulpi	ɡ ʊ l p i
gumapac	ɡ ʊ m ɐ p ɐ k
gumiran	ɡ ʊ m ɪ ɾ ɐ n
guwantes	ɡ w ɐ n t ɛ s
guwardiya	ɡ w a ɾ d͡ʒ ɐ
habagat	h ɐ b a ɰ ɐ t
hagod	h a ɰ o d
hagok	h a ɰ o k
hagulgol	h ɐ ɰ ʊ l ɡ o l
hagulhol	h ɐ ɰ ʊ l h o l
hagupit	h ɐ ɰ ʊ p i t
halabos	h ɐ l ɐ b o s
halaga	h ɐ l ɐ ɰ a
halasan	h ɐ l ɐ s ɐ n
haligi	h ɐ l i ɰ ɪ
halik	h ɐ l i k
halimaw	h ɐ l ɪ m a ʊ̯
hambalang	h ɐ m b a l ɐ ŋ
hamog	h ɐ m o ɡ
hangal	h a ŋ ɐ l
hangal	h ɐ ŋ a l
hapdi	h ɐ p d i ʔ
hapit	h a p ɪ t
hapit	h ɐ p ɪ t
hapo	h ɐ p o ʔ
hapones	h ɐ p o n ɛ s
hapunan	h ɐ p ʊ n ɐ n
harana	h ɐ ɾ ɐ n ɐ
harang	h a ɾ ɐ ŋ
harap	h ɐ ɾ a p
hasik	h ɐ s i k
hawa	h ɐ w ɐ
hawla	h a ʊ̯ l ɐ
hayag	h ɐ j ɐ ɡ
herradura	ʔ ɛ ɾ ɐ d ʊ ɾ ɐ
higop	h ɪ ɰ o p
hilab	h i l ɐ b
hilaw	h ɪ l a ʊ̯
hilera	h ɪ l ɛ ɾ ɐ
himala	h ɪ m ɐ l a ʔ
himasok	h ɪ m a s o k
himatayin	h ɪ m ɐ t ɐ j i n
hina	h i n ɐ ʔ
hinagpis	h ɪ n ɐ ɡ p i s
hinala	h ɪ n a l ɐ ʔ
hinga	h ɪ ŋ a
hinlalaki	h ɪ n l ɐ l ɐ x i
hinog	h ɪ n o ɡ
hintuturo	h ɪ n t ʊ t ʊ ɾ o ʔ
hipolito	h ɪ p o l ɪ t o
hipon	h ɪ p o n
hira	ç i r a
hira	ç i r a ʔ
hirap	h i ɾ ɐ p
hirap	h ɪ ɾ a p
hithit	h ɪ t h i t
hitsura	h ɪ t͡ʃ u ɾ ɐ
hiwalay	h ɪ w ɐ l a ɪ̯
hiya	h ɪ a ʔ
hiyaw	h ɪ a ʊ̯
hizon	h ɪ s o n
homiliya	h o m ɪ l ɪ ɐ
hortaleza	h o ɾ t ɐ l ɛ s ɐ
hulog	h ʊ l o ɡ
humagulgol	h ʊ m ɐ ɰ ʊ l ɡ o l
humandusay	h ʊ m ɐ n d u s a ɪ̯
huni	h u n ɪ
husga	h ʊ s ɡ a
