آذى	ʔ aː z a
زقاق	z u ɡ aː ɡ
زنجبيل	z a n d͡ʒ a b iː l
زهم	z a h a m
زواج	z a w aː d͡ʒ
زواجات	z a w aː d͡ʒ aː t
زي	z a jː
ساب	s aː b
سبة	s a bː a
سبتمبر	s i b t a m b a r
سبتمبر	s i p t a m b a r
سبقتي	s a b a ɡ t i
سبقتي	s b a ɡ i tː i
سبقتي	s p a ɡ i tː i
ستو	s i tː u
سجادة	s i d͡ʒː aː d a
سحاب	s a ħ aː b
سحاب	s a ħː aː b
سحلية	s a ħ l i jː a
سخافة	s a x aː f a
سديري	s i d eː r i
سرعوف	s a r ʕ uː f
سستة	s u s t a
سشوار	s i ʃ w aː r
سطحة	s a tˤ ħ a
سطل	s a tˤ i l
سطوح	s a tˤ uː ħ
سقالات	s a ɡː aː l aː t
سقالة	s a ɡː aː l a
سقط	s a ɡ a tˤ
سقف	s a ɡ f
سقى	s a ɡ a
سكينة	s a k iː n a
سكينة	s a kː iː n a
سلاحف	s a l aː ħ i f
سلحفة	s u l ħ a f a
سلسال	s i l s aː l
سلطعون	s a l tˤ a ʕ oː n
سلمات	s a l a m aː t
سلمون	s a l a m oː n
سلمون	s a l m oː n
سليق	s a l iː ɡ
سما	s a m a
سماجات	s a m aː d͡ʒ aː t
سماجة	s a m aː d͡ʒ a
سنجاب	s i n d͡ʒ aː b
سنقافورة	s i n ɡ aː f oː r a
سنقافورة	s i n ɡ aː f uː r a
سنما	s i n i m a
سواق	s a wː aː ɡ
سواويق	s a w aː w iː ɡ
سوتشي	s oː t ʃ i
سيب	s a j j a b
سيب	s iː b
شات	ʃ aː t
شاحن	ʃ aː ħ i n
شاحنة	ʃ aː ħ n a
شاكوش	ʃ aː k uː ʃ
شال	ʃ aː l
شاليه	ʃ aː l eː
شاهي	ʃ aː h i
شباك	ʃ u bː aː k
شبس	ʃ i b s
شبس	ʃ i p s
شحات	ʃ a ħː aː t
شخان	ʃ u xː aː n
شراب	ʃ a r aː b
شراب	ʃ u rː aː b
شربة	ʃ u r b a
شرطة	ʃ a r tˤ a
شرطة	ʃ u r tˤ a
شرق	ʃ a r a ɡ
شرق	ʃ a r ɡ
شطاف	ʃ a tˤː aː f
شطرطون	ʃ a tˤ a r tˤ oː n
شفاط	ʃ a fː aː tˤ
شقة	ʃ i ɡː a
شقة	ʃ u ɡː a
شقرا	ʃ a ɡ r a
شقي	ʃ i ɡ i
شقي	ʃ u ɡː i
شكاقو	ʃ i k aː ɡ u
شكلاطة	ʃ u k a l aː tˤ a
شكلاطة	ʃ u k u l aː tˤ a
شلال	ʃ a lː aː l
شلق	ʃ a l a ɡ
شماغ	ʃ u m aː ɣ
شمسية	ʃ a m s i jː a
شمعة	ʃ a m ʕ a
شمعدان	ʃ a m ʕ a d aː n
شنب	ʃ a n a b
شنط	ʃ i n a tˤ
شنطة	ʃ a n tˤ a
شوف	ʃ uː f
شوق	ʃ oː ɡ
شوكة	ʃ oː k a
شوية	ʃ u w a j j a
شيرة	ʃ iː r a
شيشة	ʃ iː ʃ a
شيك	ʃ a j j a k
شيك	ʃ a j j i k
شيك	ʃ eː k
شيك	ʃ iː k
شيلي	ʃ a jː i l i
شيلي	ʃ iː l i
شيول	ʃ eː w a l
صاحب	sˤ aː ħ i b
صح	sˤ a ħː
صحن	sˤ a ħ a n
صحن	sˤ a ħ i n
صدى	sˤ a d a
صديق	sˤ a d iː ɡ
صراف	sˤ a rː aː f
صغار	sˤ u ɣ aː r
صفق	sˤ a f a ɡ
صفق	sˤ a fː a ɡ
صفيرة	sˤ u f f eː r a
صك	sˤ a kː
صمرقع	sˤ a m a r ɡ a ʕ
صمغ	sˤ a m ɣ
صموغ	sˤ u m uː ɣ
صندوق	sˤ a n d uː ɡ
صنوبر	sˤ u n oː b a r
صوتي	sˤ a w t i
صوتي	sˤ a wː i t i
صوص	sˤ oː sˤ
صوص	sˤ uː sˤ
صولجان	sˤ a w l a d͡ʒ aː n
صولجان	sˤ oː l a d͡ʒ aː n
صيف	sˤ eː f
ضباب	dˤ a b aː b
ضبع	dˤ a b ʕ
ضرطة	zˤ a r tˤ a
ضفدع	dˤ u f d a ʕ
ضمة	dˤ a mː a
طاق	tˤ aː ɡ
طاقية	tˤ aː ɡ i jː a
طاوة	tˤ aː w a
طبعا	tˤ a b ʕ a n
طراطيع	tˤ a r aː tˤ iː ʕ
طرقة	tˤ u r ɡ a
طريقة	tˤ a r iː ɡ a
طفاية	tˤ a fː aː j a
طفس	tˤ i f i s
طفش	tˤ a f a ʃ
طفشان	tˤ a f ʃ aː n
طقس	tˤ a ɡ s
طلقات	tˤ a l ɡ aː t
طلقة	tˤ a l ɡ a
طوط	tˤ a wː a tˤ
طوط	tˤ uː tˤ
طوق	tˤ oː ɡ
طوكيو	tˤ oː k j oː
طوكيو	tˤ oː k j u
طيارة	tˤ a jː aː r a
طييرة	tˤ u jː eː r a
ظاهرة	zˤ aː h r a
ظرف	zˤ a r f
ظفر	dˤ i f i r
ظفر	ðˤ i f i r
ظهر	dˤ a h a r
ظهر	dˤ u h u r
عبقري	ʕ ə b q ə r i
عثة	ʕ i tː a
عجينة	ʕ a d͡ʒ iː n a
عرقسوس	ʕ i r ɡ s uː s
عريان	ʕ u r j aː n
عشا	ʕ a ʃ a
عصاية	ʕ a sˤ aː j a
عضاضة	ʕ a dˤː aː dˤ a
عضة	ʕ a dˤː a
عطر	ʕ a tˤː a r
عطر	ʕ i tˤ i r
عفص	ʕ a fː a sˤ
عقال	ʕ i ɡ aː l
عقال	ʕ u ɡː aː l
عقرب	ʕ a ɡ r a b
عكاز	ʕ u k k aː z
علبة	ʕ u l b a
على	ʕ a l a
علي	ʕ a l a jː a
علي	ʕ a l i
علي	ʕ a lː i
عملة	ʕ u m l a
عميل	ʕ a m iː l
عنب	ʕ u n a b
عيش	ʕ eː ʃ
عيش	ʕ iː ʃ
عيلة	ʕ eː l a
غ	ɣ
غ	ɣ eː n
غابة	ɣ aː b a
غامق	ɣ aː m i ɡ
غايب	ɣ aː j i b
غدا	ɣ a d a
غدة	ɣ u dː a
غرق	ɣ a rː a ɡ
غرق	ɣ i r i ɡ
غلاية	ɣ a lː aː j a
غمس	ɣ a m m a s
غوص	ɣ a wː a sˤ
غوص	ɣ oː sˤ
غوص	ɣ uː sˤ
غيمة	ɣ eː m a
فاضي	f aː dˤ i
فايكنق	f aː j k i n ɡ
فايكنق	v aː j k i n ɡ
فتاحة	f a tː aː ħ a
فجر	f a d͡ʒ a r
فجر	f a d͡ʒ d͡ʒ a r
فجر	f a d͡ʒ i r
فجر	f a d͡ʒ u r
فجع	f a d͡ʒ a ʕ
فجل	f i d͡ʒ i l
فخذ	f a x d
فخذ	f a x dˤ
فراغ	f a r aː ɣ
فراولة	f a r aː w l a
فرصة	f u r sˤ a
فرن	f u r u n
فريق	f a r iː ɡ
فز	f i zː
فستان	f u s t aː n
فستق	f u s t u ɡ
فسحة	f a s ħ a
فسحة	f u s ħ a
فشار	f i ʃ aː r
فضل	f a dˤ i l
فضل	f i dˤ i l
فطور	f a tˤ uː r
فقاعة	f u ɡː aː ʕ a
فقمة	f a ɡ m a
فلان	f u l aː n
فلة	f a lː a
فلة	f i lː a
فلة	f u lː a
فلة	v i lː a
فلم	f i l i m
فلم	f i l m
فلوس	f i l uː s
فلوس	f u l uː s
فلينة	f a l iː n a
فم	f a mː
فنجان	f i n d͡ʒ aː n
فندق	f u n d u ɡ
فنيلة	f a n iː l a
فهيقة	f u h eː ɡ a
فوز	f oː z
فوق	f oː ɡ
فوق	f uː ɡ
في	f i
في	f i jː a
فيروس	f a j r uː s
فيروس	v a j r uː s
فيليه	f iː l eː
فين	f eː n
فينا	f i j a nː a
فينا	f iː n a
فينا	v i j a nː a
فيه	f iː
ق	ɡ
ق	ɡ aː f
قادس	ɡ aː d i s
قارورة	ɡ aː r uː r a
قاسي	ɡ aː s i
قاع	ɡ aː ʕ
قاعة	q aː ʕ a
قاعة	ɡ aː ʕ a
قاعدة	ɡ aː ʕ d a
قالون	ɡ aː l oː n
قام	ɡ aː m
قبر	ɡ a b u r
قبض	ɡ a b a dˤ
قبلة	ɡ i b l a
قبو	ɡ a b u
قبيلة	ɡ a b iː l a
قحبة	ɡ a ħ b a
قد	ɡ a d
قد	ɡ i d
قدر	ɡ a d a r
قدر	ɡ a d i r
قدر	ɡ i d i r
قرا	ɡ a r a
قراج	ɡ a r aː d͡ʒ
قربة	ɡ i r b a
قرد	ɡ i r d
قرر	ɡ a r r a r
قرش	ɡ i r ʃ
قرطبة	ɡ u r tˤ u b a
قرفة	ɡ i r f a
قرن	ɡ a r n
قرنبيط	ɡ a r n a b iː tˤ
قرنفل	ɡ u r u n f u l
قروب	ɡ r uː b
قروب	ɡ r uː p
قروب	ɡ u r uː b
قروش	ɡ u r uː ʃ
قري	ɡ i r i
قزاز	ɡ u z aː z
قش	ɡ a ʃː
قشرة	ɡ i ʃ r a
قشطة	ɡ i ʃ tˤ a
قصار	ɡ u sˤ aː r
قصة	ɡ a sˤː a
قصة	ɡ i sˤː a
قصر	ɡ a sˤ sˤ a r
قصر	ɡ a sˤ u r
قطار	ɡ i tˤ aː r
قطمة	ɡ a tˤ m a
قطن	ɡ u tˤ u n
قعر	ɡ a ʕ a r
قفص	ɡ a f a sˤ
قفل	ɡ a f a l
قفل	ɡ a fː a l
قفل	ɡ u f u l
قلاب	ɡ a lː aː b
قلاية	ɡ a lː aː j a
قلب	ɡ a l b
قلم	ɡ a l a m
قلوتن	ɡ l uː t i n
قمار	ɡ u m aː r
قماش	ɡ u m aː ʃ
قمبري	ɡ a m b a r i
قناص	ɡ a n n aː sˤ
قنبلة	ɡ u n b u l a
قنديل	ɡ a n d iː l
قهر	ɡ a h a r
قهوة	ɡ a h w a
قوام	ɡ a w aː m
قوة	ɡ u wː a
قوس	ɡ oː s
قولون	ɡ oː l oː n
قيتار	ɡ iː t aː r
قيد	ɡ eː d
قيد	ɡ iː d
قيراط	ɡ iː r aː tˤ
قيمة	ɡ iː m a
كأس	k a ʔ s
كاسة	k aː s a
كافيه	k aː f eː
كاونتر	k aː w n t a r
كبت	k a b t
كبري	k a bː i r i
كبري	k u b r i
كبريت	k a b r iː t
كبنيه	k a b i n eː
كبينة	k a b iː n a
كتاب	k i t aː b
كتشب	k a t ʃ a b
كتشب	k a t ʃ a p
كتلوج	k a t a l oː d͡ʒ
كتلوق	k a t a l oː ɡ
كتلونيا	k a t a l oː n j a
كثير	k a t iː r
كثير	k a θ iː r
كحة	k a ħ ħ a
كحة	k u ħ ħ a
كذا	k a z a
كذا	k a ð a
كذا	k i d a
كذا	k i ð a
كذب	k i d i b
كذب	k i z i b
كراث	k u rː aː t
كراث	k u rː aː θ
كرتون	k a r t oː n
كرعة	k a r ʕ a
كرفتة	k a r a f i tː a
كرفتة	k a r a v i tː a
كرفس	k a r a f s
كرفس	k r a f s
كرنب	k u r u n b
كرنيش	k u r n eː ʃ
كرنيش	k u r n iː ʃ
كرنڤال	k a r n a f aː l
كرنڤال	k a r n a v aː l
كرواسون	k u r w aː s oː n
كريت	k r iː t
كريك	k u r eː k
كزبرة	k u z b a r a
كسارة	k a sː aː r a
كستنا	k a s t a n a
كشتبان	k u ʃ t u b aː n
كف	k a fː
كفتة	k u f t a
كفر	k a f a r
كفر	k u f u r
ككة	k a kː a
كلبشة	k a l a b ʃ a
كلمة	k i l m a
كمان	k a m aː n
كمدينة	k u m a d iː n a
كنبة	k a n a b a
كنديشن	k u n d eː ʃ a n
كنز	k a n z
كنسل	k a n s a l
كنعت	k a n ʕ a t
كهف	k a h f
كوب	k oː b
كوب	k uː b
كوبنهاقن	k oː b i n h aː ɡ i n
كوبنهاقن	k oː p i n h aː ɡ i n
كورة	k uː r a
كورساج	k oː r s aː d͡ʒ
كوم	k oː m
كويس	k u w a j j i s
كيف	k eː f
كيفك	k eː f a k
كيفك	k eː f i k
كيك	k eː k
كيكة	k eː k a
كييف	k i j eː f
كييف	k i j eː v
كييڤ	k i j eː v
كڤر	k a v a r
كڤرتة	k u v i r t a
لاكتوز	l aː k t oː z
لبان	l u b aː n
لبنان	l i b n aː n
لحاف	l i ħ aː f
لحام	l a ħː aː m
لحام	l i ħ aː m
لحظة	l a ħ zˤ a
لحق	l a ħː a ɡ
لحق	l i ħ i ɡ
لذيذ	l a z iː z
لذيذ	l a ð iː ð
لسان	l i s aː n
لسة	l i sː a
لصقة	l a sˤ a ɡ a
لعبة	l i ʕ b a
لفت	l i f t
لق	l a ɡː
لقطات	l a ɡ tˤ aː t
لقطة	l a ɡ tˤ a
لقمة	l u ɡ m a
لقي	l i ɡ i
لقيت	l i ɡ eː t
لقيت	l i ɡ iː t
لما	l a m a
لما	l a m m a
لون	l oː n
لونين	l oː n eː n
ليش	l eː ʃ
ليقو	l eː ɡ u
ليقو	l iː ɡ u
ليل	l eː l
ليل	l iː l
ليه	l eː
ليه	l iː
ماركة	m aː r k a
مافي	m aː f i
مالقة	m aː l a ɡ a
مالقة	m aː l ɡ a
ماما	m aː m a
مايوه	m aː j oː
مايوه	m aː j oː h
مبسوط	m a b s uː tˤ
متحف	m u t ħ a f
متحمس	m u t ħ a mː i s
مترو	m i t r u
متين	m a t iː n
مثال	m i s aː l
مثال	m i θ aː l
مجاغة	m a d͡ʒ aː ɣ a
محار	m a ħ aː r
محفظة	m i ħ f a zˤ a
محل	m a ħ a lː
مخدة	m a x a d d a
مخطان	m u x tˤ aː n
مخمج	m u x a mː i d͡ʒ
مداس	m a d aː s
مدحة	m a d ħ a
مدري	m a d r i
مدوان	m i d w aː n
مراية	m i r aː j a
مربى	m u r a bː a
مرتبة	m a r t a b a
مرتبة	m u r a tː a b a
مرجيحة	m u r d͡ʒ eː ħ a
مرقة	m a r a ɡ a
مروحة	m i r w a ħ a
مروش	m a r w a ʃ
مريلة	m i r j a l a
مزهرية	m a z h a r i jː a
مزيل	m u z iː l
مساج	m a s aː d͡ʒ
مساحات	m a s aː ħ aː t
مساحات	m a sː aː ħ aː t
مساحة	m a s aː ħ a
مساحة	m a s s aː ħ a
مسبح	m a s b a ħ
مستقبل	m u s t a ɡ b a l
مستكة	m i s t i k a
مسمار	m u s m aː r
مشمش	m i ʃ m i ʃ
مصاصة	m a sˤː aː sˤ a
مصر	m a sˤ u r
مصفاية	m i sˤ f aː j a
مضاربة	m u dˤ aː r a b a
مضرب	m a dˤ r a b
مضرب	m i dˤ r a b
مطارة	m a tˤː aː r a
مطبخ	m a tˤ b a x
مطرقة	m i tˤ r a ɡ a
مظلة	m a dˤ a lː a
مظلة	m i dˤ a lː a
مع	m a ʕ
مع	m a ʕ a
