ՠ	æ
ընդմիշտ	ə n tʰ m i ʃ d
ընդոստել	ə n tʰ o s d ɛ l
ընդոստնել	ə n tʰ o s d n ɛ l
ընթանալ	ə n tʰ ɑ n ɑ l
ընթեռնել	ə n tʰ ɛ r n ɛ l
ընթերցել	ə n tʰ ɛ ɾ t sʰ ɛ l
ընթրիք	ə n tʰ ɾ i kʰ
ընձառյուծ	ə n t sʰ ɑ ɾ ɪ̯ u d z
ընտանեական	ə n t ɑ n j ɑ k ɑ n
ընտանի	ə n d ɑ n i
թ	tʰ
թագ	tʰ ɑ kʰ
թայմիր	tʰ ɑ j m i ɾ
թարխան	tʰ ɑ ɾ χ ɑ n
թարխանյան	tʰ ɑ ɾ χ ɑ n i̯ ɑ n
թարխանություն	tʰ ɑ ɾ χ ɑ n u tʰ j u n
թաքավիթ	tʰ ɑ kʰ ɑ v i tʰ
թաքչել	tʰ ɑ kʰ t ʃʰ ɛ l
թեոսոֆիա	tʰ ɛ o s o f i̯ ɑ
թեոսոֆիական	tʰ ɛ o s o f i̯ ɑ ɡ ɑ n
թթխմոր	tʰ ə tʰ χ ə m o ɾ
թթվություն	tʰ ə tʰ v u tʰ j u n
թլփատ	tʰ ə l pʰ ɑ d
թլփատել	tʰ ə l pʰ ɑ d ɛ l
թմբուկ	tʰ ə m pʰ u ɡ
թնդյուն	tʰ ə n tʰ ɪ̯ u n
թորգոմ	tʰ o ɾ ɡ o m
թուզ	tʰ u z
թույն	tʰ u ɪ̯ n
թուրքիա	tʰ u ɾ kʰ j ɑ
թուք	tʰ u kʰ
թռնել	tʰ ə r n ɛ l
թռչել	tʰ ə r t ʃʰ ɛ l
ժ	ʒ
ժամահար	ʒ ɑ m ɑ h ɑ ɾ
ժաման	ʒ ɑ m ɑ n
ժամկոչյան	ʒ ɑ m ɡ o t ʃʰ ɪ̯ ɑ n
ժանի	ʒ ɑ n i
ժանտախտ	ʒ ɑ n t ɑ χ t
ժնեւ	ʒ ə n ɛ v
ի	i
իզմիր	i z m i ɾ
իիհ	i i h ə
իններորդ	i nː ɛ ɾ o ɾ tʰ
իննսուն	i nː ə s u n
ինչք	i n t ʃʰ kʰ
ինքնաշարժ	i n kʰ n ɑ ʃ ɑ ɾ ʒ
իսլամական	i s l ɑ m ɑ k ɑ n
իրավմամբ	i ɾ ɑ v m ɑ m pʰ
իրեք	i ɾ ɛ kʰ
լ	l
լավագույն	l ɑ v ɑ kʰ u ɪ̯ n
լեզվանի	l ɛ z v ɑ n i
լեմուր	l ɛ m u ɾ
լեռ	l ɛ r
լի	l i
լիզել	l i z ɛ l
լլկանք	l ə l ɡ ɑ n kʰ
լծակ	l ə d z ɑ ɡ
լմննալ	l ə m ə nː ɑ l
լոգանալ	l o kʰ ɑ n ɑ l
լողանալ	l o ʁ ɑ n ɑ l
լու	l u
լուռ	l u r
լուսնագիտություն	l u s n ɑ kʰ i d u tʰ j u n
լքել	l ə kʰ ɛ l
խ	χ
խածատել	χ ɑ d z ɑ d ɛ l
խաղ	χ ɑ ʁ
խաղաղ	χ ɑ ʁ ɑ ʁ
խայթ	χ ɑ j tʰ
խանձատել	χ ɑ n t sʰ ɑ d ɛ l
խաշն	χ ɑ ʃ ə n
խարբերդ	χ ɑ ɾ pʰ ɛ ɾ tʰ
խափ	χ ɑ pʰ
խափան	χ ɑ pʰ ɑ n
խափանել	χ ɑ pʰ ɑ n ɛ l
խեթալ	χ ɛ tʰ ɑ l
խեթել	χ ɛ tʰ ɛ l
խելացի	χ ɛ l ɑ t sʰ i
խելոք	χ ɛ l o kʰ
խելք	χ ɛ l kʰ
խիթալ	χ i tʰ ɑ l
խնդիրք	χ ə n tʰ i ɾ kʰ
խոխա	χ ɔ χ ɑ
խոկալ	χ o ɡ ɑ l
խորեն	χ o ɾ ɛ n
խորենացի	χ o ɾ ɛ n ɑ t sʰ i
խորխոռունի	χ o ɾ χ o r u n i
խորվաթ	χ o ɾ v ɑ tʰ
խորտիկ	χ o ɾ d i ɡ
խոցոտել	χ o t sʰ o d ɛ l
խուռն	χ u r n
խցիկ	χ ə t sʰ i k
ծայրակարմիր	d z ɑ j ɾ ɑ ɡ ɑ ɾ m i ɾ
ծանրաբեռ	d z ɑ n ɾ ɑ pʰ ɛ r
ծարավի	d z ɑ ɾ ɑ v i
ծիծառ	d z i d z ɑ r
ծիծեռ	d z i d z ɛ r
ծնգցնել	t͡s ə ŋ ɡ ə t͡sʰ n ɛ l
ծուլանալ	d z u l ɑ n ɑ l
ծրայր	t͡s ə ɾ ɑ j ɾ
կաթնասուն	ɡ ɑ tʰ n ɑ s u n
կալանք	ɡ ɑ l ɑ n kʰ
կախակապ	ɡ ɑ χ ɑ ɡ ɑ b
կայան	ɡ ɑ j ɑ n
կայարան	ɡ ɑ j ɑ ɾ ɑ n
կայթ	ɡ ɑ j tʰ
կայթյուն	ɡ ɑ j tʰ j u n
կանացի	ɡ ɑ n ɑ t sʰ i
կարդում	k ɑ ɾ tʰ u m
կարին	ɡ ɑ ɾ i n
կարիք	ɡ ɑ ɾ i kʰ
կենալ	ɡ ɛ n ɑ l
կենաց	ɡ ɛ n ɑ t sʰ
կենացդ	ɡ ɛ n ɑ t sʰ ə tʰ
կենտրոնաձիգ	ɡ ɛ n d ɾ o n ɑ t sʰ i kʰ
կեսրայր	ɡ ɛ s ɾ ɑ ɪ̯ ɾ
կեսրար	ɡ ɛ s ɾ ɑ ɾ
կը	ɡ ə
կիզել	ɡ i z ɛ l
կիթ	ɡ i tʰ
կիսանդրի	k i s ɑ n tʰ ɾ i
կիտել	ɡ i d ɛ l
կղպանք	ɡ ə ʁ b ɑ ŋ kʰ
կյա̈զա̈ր	kʲ æ z æ ɾ
կնիկ	ɡ ə n i ɡ
կնյուն	ɡ ə n ɪ̯ u n
կողբացի	ɡ o ʁ pʰ ɑ t sʰ i
կոչունք	ɡ o t ʃʰ u n kʰ
կոտրել	k o t ɾ ɛ l
կործել	ɡ o ɾ d z ɛ l
կութ	ɡ u tʰ
կուռք	ɡ u ɾ kʰ
կտակարան	ɡ ə d ɑ ɡ ɑ ɾ ɑ n
կտավիք	ɡ ə d ɑ v i kʰ
հ	h
հագագ	h ɑ kʰ ɑ kʰ
հագենալ	h ɑ kʰ ɛ n ɑ l
հազարերորդ	h ɑ z ɑ ɾ ɛ ɾ o ɾ tʰ
հազվադեպ	h ɑ z v ɑ t ɛ b
հալածանք	h ɑ l ɑ d z ɑ n kʰ
հակահերոս	h ɑ ɡ ɑ h ɛ ɾ o s
համառել	h ɑ m ɑ r ɛ l
համբերել	h ɑ m pʰ ɛ ɾ ɛ l
համբյուր	h ɑ m pʰ j u ɾ
համբյուրել	h ɑ m pʰ j u ɾ ɛ l
համով	h ɑ m o v
հայաստան	h ɑ j ɑ s d ɑ n
հայկ	h ɑ j ɡ
հայկական	h ɑ j ɡ ɑ ɡ ɑ n
հայրատ	h ɑ j ɾ ɑ d
հայրենյաց	h ɑ ɪ̯ ɾ ɛ n ɪ̯ ɑ t sʰ
հայք	h ɑ j kʰ
հայք	h ɑ ɪ̯ kʰ
հանգել	h ɑ n kʰ ɛ l
հանդիսական	h ɑ n tʰ i s ɑ ɡ ɑ n
հանձին	h ɑ n t sʰ i n
հանրակացարան	h ɑ n ɾ ɑ ɡ ɑ t sʰ ɑ ɾ ɑ n
հանցանք	h ɑ n t sʰ ɑ n kʰ
հավփալ	h ɑ f pʰ ɑ l
հարգանք	h ɑ ɾ kʰ ɑ n kʰ
հարեւան	h a ɾ ɛ v a n
հարթուկ	h ɑ ɾ tʰ u k
հարյուրերորդ	h ɑ ɾ ɪ̯ u ɾ ɛ ɾ o ɾ tʰ
հարնչել	h ɑ ɾ ə n t ʃʰ ɛ l
հարություն	h ɑ ɾ u t sʰ i̯ u n
հարություն	h ɑ ɾ u tʰ i̯ u n
հարսանիք	h ɑ ɾ s ɑ n i kʰ
հարց	h ɑ ɾ t͡sʰ
հարցնել	h ɑ ɾ t sʰ n ɛ l
հեթանոս	h ɛ tʰ ɑ n o s
հելիում	h ɛ l j u m
հելլենացի	h ɛ lː ɛ n ɑ t sʰ i
հեղույս	h ɛ ʁ u j s
հեղուսել	h ɛ ʁ u s ɛ l
հեռավոր	h ɛ r ɑ v o ɾ
հեռացնել	h ɛ r ɑ t sʰ n ɛ l
հեռել	h ɛ r ɛ l
հերքելի	h ɛ ɾ kʰ ɛ l i
հին	h i n
հինգերորդ	h i n kʰ ɛ ɾ o ɾ tʰ
հիսուն	h i s u n
հիցուն	h i t sʰ u n
հյութեղ	h ɪ̯ u tʰ ɛ ʁ
հյուրեր	h ɪ̯ u ɾ ɛ ɾ
հյուրերդ	h ɪ̯ u ɾ ɛ ɾ ə d
հյուրերը	h ɪ̯ u ɾ ɛ ɾ ə
հյուրերի	h ɪ̯ u ɾ ɛ ɾ i
հյուրերիդ	h ɪ̯ u ɾ ɛ ɾ i d
հյուրերին	h ɪ̯ u ɾ ɛ ɾ i n
հյուրերիս	h ɪ̯ u ɾ ɛ ɾ i s
հյուրերից	h ɪ̯ u ɾ ɛ ɾ i t sʰ
հյուրերիցդ	h ɪ̯ u ɾ ɛ ɾ i t sʰ ə d
հյուրերիցս	h ɪ̯ u ɾ ɛ ɾ i t sʰ ə s
հյուրերն	h ɪ̯ u ɾ ɛ ɾ n
հյուրերով	h ɪ̯ u ɾ ɛ ɾ o v
հյուրերովդ	h ɪ̯ u ɾ ɛ ɾ o v ə d
հյուրերովս	h ɪ̯ u ɾ ɛ ɾ o v ə s
հյուրերս	h ɪ̯ u ɾ ɛ ɾ ə s
հյուրը	h ɪ̯ u ɾ ə
հյուրի	h ɪ̯ u ɾ i
հյուրիդ	h ɪ̯ u ɾ i d
հյուրին	h ɪ̯ u ɾ i n
հյուրիս	h ɪ̯ u ɾ i s
հյուրից	h ɪ̯ u ɾ i t sʰ
հյուրիցդ	h ɪ̯ u ɾ i t sʰ ə d
հյուրիցս	h ɪ̯ u ɾ i t sʰ ə s
հյուրով	h ɪ̯ u ɾ o v
հյուրովդ	h ɪ̯ u ɾ o v ə d
հյուրովս	h ɪ̯ u ɾ o v ə s
հյուրս	h ɪ̯ u ɾ ə s
հնագույն	h ə n ɑ kʰ u ɪ̯ n
հոհան	h o h ɑ n
հողեղեն	h o ʁ ɛ ʁ ɛ n
հոռովել	h o r o v ɛ l
հոս	h o s
հով	h o v
հովանի	h o v ɑ n i
հովիկ	h o v i ɡ
հովո	h o v o
հոր	h o ɾ
հորովել	h o ɾ o v ɛ l
հուռթի	h u r tʰ i
հռովմայեցի	h r o v m ɑ j ɛ t sʰ i
հրեղեն	h ə ɾ ɛ ʁ ɛ n
հօգուտ	h o kʰ u d
ձեռնածու	t sʰ ɛ ɾ n ɑ d z u
ղ	ʁ
ղանոն	ʁ ɑ n o n
ղուկաս	ʁ u ɡ ɑ s
ճաշասրահ	d ʒ ɑ ʃ ɑ s ə ɾ ɑ h
ճաշարան	d ʒ ɑ ʃ ɑ ɾ ɑ n
ճավա	d͡ʒ ɑ v ɑ
ճարտար	d ʒ ɑ ɾ d ɑ ɾ
ճեմել	d ʒ ɛ m ɛ l
ճկունություն	t ʃ ə k u n u t sʰ j u n
մ	m
մաթիլ	m ɑ tʰ i l
մայա	m ɑ j ɑ
մայրիկ	m ɑ j ɾ i ɡ
մանկապարտեզ	m ɑ n ɡ ɑ b ɑ ɾ d ɛ z
մանյակ	m ɑ n ɪ̯ ɑ k
մանրամաս	m ɑ n ɾ ɑ m ɑ s
մաս	m ɑ s
մասամբ	m ɑ s ɑ m pʰ
մասնիկ	m ɑ s n i ɡ
մասունք	m ɑ s u n kʰ
մատանի	m ɑ d ɑ n i
մատուռ	m ɑ d u r
մատչել	m ɑ d t ʃʰ ɛ l
մարդ	m ɑ ɾ tʰ
մարդասպան	m ɑ ɾ tʰ ɑ s b ɑ n
մարթել	m ɑ ɾ tʰ ɛ l
մարտակառք	m ɑ ɾ d ɑ ɡ ɑ ɾ kʰ
մարտնչել	m ɑ ɾ d ə n t ʃʰ ɛ l
մեծ	m ɛ d͡z
մեծարանք	m ɛ d z ɑ ɾ ɑ n kʰ
մեկ	m ɛ ɡ
մեղու	m ɛ ʁ u
մեսրոպ	m ɛ s ɾ o b
մետաղադրամ	m ɛ d ɑ ʁ ɑ tʰ ɾ ɑ m
մերձենալ	m ɛ ɾ t sʰ ɛ n ɑ l
մերսի	m ɛ r s i
մթամ	m ə tʰ ɑ m
մթոմ	m ə tʰ o m
միակ	m i j ɑ ɡ
միամիտ	m i j ɑ m i d
միզորամ	m i z o ɾ ɑ m
միթամ	m i tʰ ɑ m
միմոս	m i m o s
մծբին	m ə d z pʰ i n
մկրտում	m ə ɡ ə ɾ d u m
մկրտումյան	m ə ɡ ə ɾ d u m j ɑ n
մնացականյան	m ə n ɑ t͡sʰ ɑ ɡ ɑ n j ɑ n
մոխիր	m o χ i ɾ
մոռանալ	m o r ɑ n ɑ l
մուշ	m u ʃ
մսացու	m ə s ɑ t sʰ u
մտահաղացում	m ə t ɑ h ɑ ʁ ɑ t͡sʰ u m
մրջնակեր	m ə ɾ t ʃʰ n ɑ ɡ ɛ ɾ
յ	j
յոթանասուն	j o tʰ ɑ n ɑ s u n
յոթերորդ	j o tʰ ɛ ɾ o ɾ tʰ
յոթներորդ	j o tʰ n ɛ ɾ o ɾ tʰ
ն	n
նախահայր	n ɑ χ ɑ h ɑ ɪ̯ ɾ
նախամայր	n ɑ χ ɑ m ɑ ɪ̯ ɾ
նահանգապետ	n ɑ h ɑ n kʰ ɑ b ɛ d
նահանգապետական	n ɑ h ɑ n kʰ ɑ b ɛ d ɑ ɡ ɑ n
նամակատուն	n ɑ m ɑ ɡ ɑ d u n
նեղուց	n ɛ ʁ u t sʰ
նեոն	n ɛ o n
նեռ	n ɛ ɾ
ներ	n ɛ ɾ
նիցցա	n i t sʰː ɑ
նորեկ	n o ɾ ɛ ɡ
նուռ	n u r
նվագածու	n ə v ɑ kʰ ɑ d z u
նվազ	n ə v ɑ z
նվեր	n ə v ɛ ɾ
շ	ʃ
շահաստան	ʃ ɑ h ɑ s d ɑ n
շաուրմա	ʃ ɑ u ɾ m ɑ
շաչել	ʃ ɑ t ʃʰ ɛ l
շապուհ	ʃ ɑ b u h
շարժիչ	ʃ ɑ ɾ ʒ i t ʃʰ
շարժուն	ʃ ɑ ɾ ʒ u n
շաքար	ʃ ɑ kʰ ɑ ɾ
շաքարյան	ʃ ɑ kʰ ɑ ɾ j ɑ n
շինական	ʃ i n ɑ ɡ ɑ n
շներ	ʃ ə n ɛ ɾ
շնչափող	ʃ ə n t ʃʰ ɑ pʰ o ʁ
շողալ	ʃ o ʁ ɑ l
շուք	ʃ u kʰ
շքեղ	ʃ ə kʰ ɛ ʁ
շքեղություն	ʃ ə kʰ ɛ ʁ u tʰ ɪ̯ u n
ողնաշար	v o ʁ n ɑ ʃ ɑ ɾ
ոմն	v o m ə n
ոռնալ	v o r n ɑ l
ոսի	v ɔ s i
ոսկեդրամ	v o s ɡ ɛ tʰ ɾ ɑ m
ոսկեհուռ	v o s ɡ ɛ h u r
ոսկեղեն	v o s ɡ ɛ ʁ ɛ n
ոսոխ	v o s o χ
որդյակ	v o ɾ tʰ ɪ̯ ɑ k
որսորդ	v o ɾ s o ɾ tʰ
ու	u
ութ	u tʰ
ութերորդ	uʰ ɛ ɾ o ɾ tʰ
ուժեղ	u ʒ ɛ ʁ
ուղեղային	u ʁ ɛ ʁ ɑ j i n
ուղեւոր	u ʁ ɛ v o ɾ
ուղղարկել	u ʁː ɑ ɾ k ɛ l
ունեմ	u n ɛ m
ուշք	u ʃ kʰ
ուռչել	u r t ʃʰ ɛ l
ուս	u s
չ	t͡ʃʰ
չարախոս	t ʃʰ ɑ ɾ ɑ χ o s
չարիք	t ʃʰ ɑ ɾ i kʰ
չիք	t ʃʰ i kʰ
չորոց	t ʃʰ o ɾ o t sʰ
չու	t ʃʰ u
չվել	t ʃʰ ə v ɛ l
չքավոր	t ʃʰ ə kʰ ɑ v o ɾ
պալիոզյան	b ɑ l i ɔ z j ɑ n
պակաս	b ɑ ɡ ɑ s
պահարան	b ɑ h ɑ ɾ ɑ n
պառավ	b ɑ ɾ ɑ v
պաստեղ	b ɑ s t ɛ ʁ
պատանեկիկ	b ɑ d ɑ n ɛ ɡ i ɡ
պատանի	b ɑ d ɑ n i
պատանյակ	b ɑ d ɑ n ɪ̯ ɑ ɡ
պատել	p ɑ t ɛ l
պատրաստ	b ɑ d ɾ ɑ s d
պար	b ɑ ɾ
պարել	p ɑ ɾ ɛ l
պարոն	b ɑ ɾ ɔ n
պարույկ	b ɑ ɾ u ɪ̯ ɡ
պարս	b ɑ ɾ s
պարսավանք	b ɑ ɾ s ɑ v ɑ n kʰ
պարտեզ	b ɑ ɾ d ɛ z
պարտիզպան	b ɑ ɾ d i z b ɑ n
պարտք	b ɑ ɾ d kʰ
պեղել	b ɛ ʁ ɛ l
