a	ʌ
barra	b ʌ ɾ ɾ ʌ
barrayto	b ʌ ɾː ʌ j t o
barraytu	b ʌ ɾ ɾ ʌ j t u
barri	b a ɾː i
barriino	b ʌ ɾ ɾ iː n o
barriinu	b ʌ ɾ ɾ iː n u
barseyna	b ʌ ɾ s e j n ʌ
barteyna	b ʌ ɾ t e j n ʌ
baskil	b ʌ s k i l
bata	b ʌ t ʌ
baxa	b ʌ ɖ ʌ
baxuwwa	b ʌ ɖ u w w ʌ
bee	b eː
beera	b eː ɾ ʌ
beete	b eː t e
bexxa	b e ɖ ɖ a
bexxiino	b e ɖ ɖ iː n o
bexxiinu	b e ɖ ɖ iː n u
bilqa	b i l ʕ ʌ
bir	b i ɾ
bissoyseena	b i s s o j s eː n ʌ
bissoyseyna	b i s s o j s e j n ʌ
bissoyso	b i s s o j s o
bisu	b i s u
bixaaxe	b i ɖ aː ɖ e
bixaaxime	b i ɖ aː ɖ i m e
biyak	b i j ʌ k
boddina	b o dː i n ʌ
bodo	b o d o
bokol	b o k o l
bomodooro	b o m o d oː r o
boodifa	b oː d i f ʌ
booha	b oː h ʌ
bool	b oː l
boolo	b oː l o
booloyta	b oː l o j t ʌ
booxa	b oː ɖ ʌ
borojekti	b o ɾ o j e kʰ t i
bosol	b o s o l
bussa	b u s s ʌ
buta	b u t ʌ
butta	b u t t ʌ
buuxa	b uː ɖ ʌ
buxa	b u ɖ ʌ
bøk	b ɨ k
c	ħ
caacay	ħ aː ħ ʌ j
caafat	ħ aː f ʌ t
caalat	ħ aː l ʌ t
cabe	ħ ʌ b e
cabsa	ħ ʌ b ʃ ʌ
cabsiise	ħ ʌ b s iː s e
cabsiisite	ħ ʌ b s iː s i t e
cabsiita	ħ ʌ b ʃ iː t ʌ
cado	ħ ʌ d o
cadoyta	ħ ʌ d o j t ʌ
camad	ħ ʌ m ʌ d
can	ħ ʌ n
canoowa	ħ a n oː w ʌ
canti	ħ ʌ n t i
caraa	ħ ʌ ɾ ʌ ʌ
casamcase	ħ ʌ s ʌ m ħ ʌ s e
casamcassiime	ħ ʌ s ʌ m ħ ʌ sː iː m e
case	ħ ʌ s e
cassiime	ħ ʌ sː iː m e
cate	ħ ʌ t e
catew	ħ ʌ t e w
cato	ħ ʌ t o
catuffa	ħ ʌ t u f f ʌ
caxa	ħ ʌ ɖ ʌ
ceele	ħ eː l e
celsiise	ħ e l s iː s e
ceray	ħ e ɾ ʌ j
cereyya	ħ e ɾ e j j ʌ
cillaale	ħ i l l aː l e
cillaaleena	ħ i l l aː l eː n ʌ
cillaaleyna	ħ i l l aː l e j n ʌ
comor	ħ o m o ɾ
comorto	ħ o m o ɾ t o
cugbu	ħ u ɡ b u
cusul	ħ u s u l
daaco	d aː ħ o
daaso	d aː s o
daasoyta	d aː s o j t ʌ
dabeela	d ʌ b eː l ʌ
dabelwa	d ʌ b e l w ʌ
dabiib	d ʌ b iː b
daboyta	d ʌ b o j t ʌ
daktara	d ʌ kʰ t ʌ ɾ ʌ
dalcu	d ʌ l ħ u
dalka	d ʌ l k ʌ
damaaqe	d ʌ m aː ʕ e
danan	d ʌ n ʌ n
daqar	d ʌ ʕ ʌ ɾ
dari	d ʌ ɾ i
darru	d ʌ ɾː u
dayla	d ʌ j l ʌ
dibuk	d i b u k
diggah	d i ɡ ɡ ʌ h
digib	d i ɡ i b
diglo	d i ɡ l o
digloyta	d i ɡ l o j t ʌ
diriq	d i ɾ i ʕ
dodobbaasite	d o d o bː aː s i t e
dodoobe	d o d oː b e
dorro	d o ɾ ɾ o
duyye	d u j j e
eerre	eː ɾ ɾ e
eexege	eː ɖ e ɡ e
egel	e ɡ e l
egul	e ɡ u l
ekke	e k k e
eleele	e l eː l e
eleelise	e l eː l i s e
elmo	e l m o
emamemeete	e m a m e m eː t e
emeete	e m eː t e
emeexege	e m eː ɖ e ɡ e
en	e n
engerre	e n ɡ e ɾ ɾ e
enkebeebe	e n k e b eː b e
eqeb	e ʕ e b
eqebto	e ʕ e b t o
eramerde	e ɾ ʌ m e ɾ d e
erameyredde	e ɾ ʌ m e j ɾ e d d e
erde	e ɾ d e
erga	e ɾ ɡ ʌ
essemeqe	e sː e m e ʕ e
essenebbe	e sː e n e b b e
etteerre	e tː eː ɾ ɾ e
etteexege	e tː eː ɖ e ɡ e
exce	e ɖ ħ e
exxeere	e ɖː eː ɾ e
eygerre	e j ɡ e ɾ ɾ e
eykebeebe	e j k e b eː b e
eymeeqe	e j m eː ʕ e
eynebe	e j n e b e
eyredde	e j ɾ e d d e
eyserre	e j s e ɾ ɾ e
faatuma	f aː t u m ʌ
faatumay	f aː t u m ʌ j
face	f ʌ ħ e
facise	f ʌ ħ i s e
facisite	f ʌ ħ i s i t e
fakamfake	f ʌ k ʌ m f ʌ k e
fakamfaksiise	f ʌ k ʌ m f ʌ k s iː s e
fake	f ʌ k e
fakkaasite	f ʌ kː aː s i t e
faransaawi	f ʌ ɾ ʌ n s aː w i
faransaawiita	f ʌ ɾ ʌ n s aː w iː t ʌ
fareen	f ʌ ɾ eː n
fareyi	f ʌ ɾ e j i
faxe	f ʌ ɖ e
faxsiise	f ʌ ɖ s iː s e
faxsiisite	f ʌ ɖ s iː s i t e
figgaan	f i ɡ ɡ aː n
furraynu	f u ɾ ɾ ʌ j n u
furunto	f u ɾ u n t o
gaanta	ɡ aː n t ʌ
gaba	ɡ ʌ b ʌ
gabbi	ɡ ʌ bː i
gabuuti	ɡ ʌ b uː t i
gad	ɡ ʌ d
gadalu	ɡ ʌ d ʌ l u
gaddi	ɡ ʌ d d i
gadoowa	ɡ ʌ d oː w ʌ
galbabbaqini	ɡ ʌ l b ʌ bː ʌ ʕ i n i
galbabbaqinnoowe	ɡ ʌ l b ʌ bː ʌ ʕ i nː oː w e
galto	ɡ ʌ l t o
garab	ɡ ʌ ɾ ʌ b
garbo	ɡ ʌ ɾ b o
gari	ɡ ʌ ɾ i
garob	ɡ ʌ ɾ o b
gaso	ɡ ʌ s o
gee	ɡ eː
gexamgexe	ɡ e ɖ ʌ m ɡ e ɖ e
gexamgexxa	ɡ e ɖ ʌ m ɡ e ɖ ɖ ʌ
gexe	ɡ e ɖ e
gexite	ɡ e ɖ i t e
geyite	ɡ e j i t e
gib	ɡ i b
gile	ɡ i l e
gileyta	ɡ i l e j t ʌ
goray	ɡ o ɾ ʌ j
goroyya	ɡ o ɾ o j j ʌ
gubuna	ɡ u b u n ʌ
gulub	ɡ u l u b
haawa	h aː w a
hagga	h ʌ ɡ ɡ ʌ
hawa	h ʌ w ʌ
hawwa	h ʌ w w ʌ
haysiise	h ʌ j s iː s e
hebelto	h e b e l t o
hee	h eː
heel	h eː l
hoba	h o b ʌ
hooba	h oː b ʌ
iba	i b ʌ
ibbixe	i bː i ɖ e
icfide	i ħ f i d e
ida	i d ʌ
idalto	i d ʌ l t o
idaltu	i d ʌ l t u
idoola	i d oː l ʌ
ifdige	i f d i ɡ e
ifiile	i f iː l e
ifoyta	i f o j t ʌ
ifu	i f u
illi	i l l i
ilu	i l u
im	i m
immay	i m m ʌ j
ina	i n ʌ
infiddige	i n f i dː i ɡ e
iniki	i n i k i
inki	i n k i
inkile	i n k i l e
innaa	i n n aː
inni	i n n i
innikille	i nː i k i l l e
intibbixe	i n t i bː i ɖ e
irga	i ɾ ɡ ʌ
irgiqe	i ɾ ɡ i ʕ e
iro	i ɾ o
is	i s
iscifide	i s ħ i f i d e
isi	i s i
isillime	i s i lː i m e
isin	i s i n
iskool	i s k oː l
itqite	i t ʕ i t e
itta	i t t ʌ
itta	i tː ʌ
ixcixe	i ɖ ħ i ɖ e
ixiggile	i ɖ i ɡː i l e
ixu	i ɖ u
ixxicixxe	i ɖː i ħ i ɖ ɖ e
ixxigille	i ɖː i ɡ i l l e
ixxu	i ɖ ɖ u
iyfiile	i j f iː l e
iyfiilise	i j f iː l i s e
iysibixe	i j s i b i ɖ e
iysillime	i j s i lː i m e
iysitiqe	i j s i t i ʕ e
iyya	i j j ʌ
iyya	i jː ʌ
iyyi	i j j i
iyyin	i j j i n
kaa	k aː
kaamilow	k aː m i l o w
kaaqay	k aː ʕ ʌ j
kabba	k ʌ b b ʌ
kabel	k ʌ b e l
kabella	k ʌ b e l l ʌ
kabir	k ʌ b i ɾ
kabqi	k ʌ b ʕ i
kaca	k ʌ ħ ʌ
kacca	k ʌ ħ ħ ʌ
kacuw	k ʌ ħ u w
kafe	k ʌ f e
kafise	k ʌ f i s e
kafisite	k ʌ f i s i t e
kalam	k ʌ l ʌ m
kalti	k ʌ l t i
kamri	k ʌ m ɾ i
karamella	k ʌ ɾ ʌ m e l l ʌ
karruc	k ʌ ɾː u ħ
kas	k ʌ s
kasab	k ʌ s ʌ b
kasal	k ʌ s ʌ l
kasalto	k ʌ s ʌ l t o
kataf	k ʌ t ʌ f
kataysa	k ʌ t ʌ j s ʌ
kataysiino	k ʌ t ʌ j s iː n o
kataysiinu	k ʌ t ʌ j s iː n u
kaxxa	k ʌ ɖ ɖ ʌ
kaxxam	k ʌ ɖ ɖ ʌ m
kay	k ʌ j
kayiimi	k ʌ j iː m i
kayniiqe	k ʌ j n iː ʕ e
kee	k eː
ken	k e n
keniimi	k e n iː m i
kidoh	k i d o h
kiilo	k iː l o
kiilomitri	k iː l o m i t ɾ i
kimal	k i m ʌ l
kimbir	k i m b i ɾ
kimbiro	k i m b i ɾ o
kino	k i n o
kitab	k i t ʌ b
kixa	k i ɖ ʌ
koleera	k o l eː ɾ ʌ
kondom	k o n d o m
konoyu	k o n o j u
kontom	k o n t o m
koo	k oː
kooma	k oː m ʌ
koomaytu	k oː m a j t u
koona	k oː n ʌ
kos	k o s
ku	k u
kulli	k u l l i
kullum	k u l l u m
kullumta	k u l l u m t ʌ
kullunta	k u l l u n t ʌ
kummuuqo	k u mː uː ʕ o
kurta	k u ɾ t ʌ
kuum	k uː m
kuumu	k uː m u
laa	l aː
laahi	l aː h i
laahinti	l aː h i n t i
labaatanni	l ʌ b aː t ʌ n n i
labha	l ʌ b h ʌ
labhayto	l ʌ b h ʌ j t o
labhaytu	l ʌ b h ʌ j t u
labhiino	l ʌ b h iː n o
labhiinu	l ʌ b h iː n u
laceyi	l ʌ ħ e j i
lactam	l ʌ ħ t ʌ m
lagaade	l ʌ ɡ aː d e
lagaddo	l ʌ ɡ ʌ d d o
lagaddu	l ʌ ɡ ʌ d d u
lakqo	l ʌ kʰ ʕ o
lee	l eː
lica	l i ħ ʌ
lifiq	l i f i ʕ
lih	l i h
litri	l i t ɾ i
loyna	l o j n ʌ
loynayto	l o j n ʌ j t o
loynaytu	l o j n ʌ j t u
maa	m aː
maayta	m aː j t ʌ
maca	m ʌ ħ ʌ
macammad	m ʌ ħ ʌ m m ʌ d
madu	m ʌ d u
magaala	m ʌ ɡ aː l ʌ
magan	m ʌ ɡ ʌ n
maggom	m ʌ ɡː o m
makiina	m ʌ k iː n ʌ
makki	m ʌ kː i
makkiyow	m a kː i j o w
malab	m ʌ l ʌ b
malciini	m ʌ l ħ iː n i
malcina	m ʌ l ħ i n ʌ
male	m ʌ l e
maleey	m ʌ l eː j
malyuun	m ʌ l j uː n
mango	m ʌ n ɡ o
mano	m ʌ n o
maqagtina	m ʌ ʕ ʌ ɡ t i n ʌ
maqallim	m ʌ ʕ ʌ l l i m
mara	m ʌ ɾ ʌ
mare	m ʌ ɾ e
mareekani	m ʌ r eː k ʌ n i
mareyta	m ʌ ɾ e j t ʌ
markab	m ʌ ɾ k ʌ b
maro	m ʌ ɾ o
masu	m ʌ s u
mateeba	m ʌ t eː b ʌ
maxco	m ʌ ɖ ħ o
mayram	m ʌ j ɾ ʌ m
mayramey	m ʌ j ɾ ʌ m e j
meqe	m e ʕ e
milyaar	m i l j aː ɾ
mitri	m i t ɾ i
mocammad	m o ħ a m m a d
morootom	m o ɾ oː t o m
musaahara	m u ʃ aː h ʌ ɾ ʌ
nagay	n ʌ ɡ ʌ j
namma	n ʌ m m ʌ
nammaya	n ʌ m m ʌ j ʌ
nanu	n ʌ n u
naqaboyta	n ʌ ʕ ʌ b o j t ʌ
naqabu	n ʌ ʕ ʌ b u
naqoosannu	n ʌ ʕ oː s ʌ n n u
narig	n ʌ ɾ i ɡ
narigto	n ʌ ɾ i ɡ t o
narigtu	n ʌ ɾ i ɡ t u
nariige	n ʌ ɾ iː ɡ e
nee	n eː
ni	n i
niimi	n iː m i
ninni	n i n n i
niya	n i j ʌ
num	n u m
numoyta	n u m o j t ʌ
nussi	n u s s i
obbeerasiyonu	o bː eː ɾ ʌ s i j o n u
obboode	o bː oː d e
obol	o b o l
offoofe	o fː oː f e
ogamoogore	o ɡ a m oː ɡ o ɾ e
olmo	o l m o
olo	o l o
oloyta	o l o j t ʌ
olu	o l u
omoogoqe	o m oː ɡ o ʕ e
omooqore	o m oː ʕ o ɾ e
ontobbe	o n t o b b e
ontooqobe	o n t oː ʕ o b e
oobbe	oː b b e
oogoqe	oː ɡ o ʕ e
oogore	oː ɡ o ɾ e
ooqobe	oː ʕ o b e
ooqore	oː ʕ o ɾ e
oqamomooqobe	o ʕ ʌ m o m oː ʕ o b e
oqamooqobe	o ʕ a m oː ʕ o b e
oroomo	o ɾ oː m o
oroomoyta	o ɾ oː m o j t ʌ
ossa	o s s ʌ
ottoogoqe	o tː oː ɡ o ʕ e
ottooqobe	o tː oː ʕ o b e
oyboode	o j b oː d e
oyfoofe	o j f oː f e
oysobbe	o j s o b b e
qaada	ʕ aː d ʌ
qaafiyata	ʕ aː f i j ʌ t ʌ
qadaala	ʕ ʌ d aː l ʌ
qaddoowe	ʕ ʌ dː oː w e
qaddoyse	ʕ a dː o j s e
qaddoysite	ʕ ʌ dː o j s i t e
qado	ʕ ʌ d o
qafar	ʕ ʌ f ʌ ɾ
qale	ʕ ʌ l e
qali	ʕ ʌ l i
qaliyow	ʕ ʌ l i j o w
qarab	ʕ ʌ ɾ ʌ b
qarabi	ʕ ʌ ɾ ʌ b i
qarabtoyta	ʕ ʌ ɾ ʌ b t o j t ʌ
qarabtu	ʕ ʌ ɾ ʌ b t u
qari	ʕ ʌ ɾ i
qaroyta	ʕ ʌ ɾ o j t ʌ
qarwa	ʕ ʌ ɾ w ʌ
qasa	ʕ ʌ s ʌ
qasamqasa	ʕ ʌ s ʌ m ʕ ʌ s ʌ
qasamqassoowe	ʕ ʌ s ʌ m ʕ ʌ sː oː w e
qasbo	ʕ ʌ s b o
qasir	ʕ ʌ s i ɾ
qasso	ʕ ʌ sː o
qassoowe	ʕ ʌ sː oː w e
qaxa	ʕ ʌ ɖ ʌ
qayxi	ʕ ʌ j ɖ i
qeebi	ʕ eː b i
qeebitte	ʕ eː b i t t e
qeela	ʕ eː l ʌ
qeeli	ʕ eː l i
qeelitte	ʕ eː l i t t e
qibina	ʕ i b i n ʌ
qoobaari	ʕ oː b aː ɾ i
qunga	ʕ u n ɡ ʌ
qungayto	ʕ u n ɡ ʌ j t o
raba	ɾ ʌ b ʌ
rabbi	ɾ ʌ bː i
rabbow	ɾ ʌ b b o w
rakub	ɾ ʌ k u b
rasu	ɾ ʌ s u
reyta	ɾ e j t ʌ
rob	ɾ o b
rooci	ɾ oː ħ i
rubqi	ɾ u b ʕ i
ruga	ɾ u ɡ ʌ
rugaagi	ɾ u ɡ aː ɡ i
rugaagiyow	ɾ u ɡ aː ɡ i j o w
rugaytu	ɾ u ɡ ʌ j t u
saahi	ʃ aː h i
saaku	s aː k u
saami	s aː m i
saamiyay	s aː m i j ʌ j
saga	s ʌ ɡ ʌ
sagaala	s ʌ ɡ aː l ʌ
sagla	s ʌ ɡ l ʌ
salat	s ʌ l ʌ t
salfa	s ʌ l f ʌ
san	s ʌ n
sanat	s ʌ n ʌ t
santa	ʃ ʌ n t ʌ
seece	s eː ħ e
seecime	s eː ħ i m e
segerre	s e ɡ e ɾ ɾ e
sidiica	s i d iː ħ ʌ
sidocu	s i d o ħ u
siino	s iː n o
simbiliq	s i m b i l i ʕ
simbilqa	s i m b i l ʕ ʌ
sin	s i n
sinam	s i n ʌ m
siniimi	s i n iː m i
sinni	s i n n i
sirwaal	s i ɾ w aː l
sirwaaltu	s i ɾ w aː l t u
soddom	s o d d o m
sokkar	s o k k ʌ ɾ
sola	s o l ʌ
soomaali	s oː m aː l i
soomaaliita	s oː m aː l iː t ʌ
sucul	s u ħ u l
suge	s u ɡ e
sultaan	s u l t aː n
ta	t ʌ
taahir	t aː h i ɾ
taama	t aː m ʌ
taamit	t aː m i t
taamite	t aː m i t e
tabana	t ʌ b ʌ n ʌ
tabna	t ʌ b n ʌ
tabu	t ʌ b u
tagorri	t ʌ ɡ o ɾ ɾ i
tah	t ʌ h
tama	t ʌ m ʌ
tamah	t ʌ m ʌ h
tayfoofi	t ʌ j f oː f i
tet	t e t
tetiimi	t e t iː m i
tifiile	t i f iː l e
tigre	t i ɡ ɾ e
tigreyta	t i ɡ ɾ e j t ʌ
toh	t o h
too	t oː
toobokiino	t oː b o k iː n o
toobokiinu	t oː b o k iː n u
tooboko	t oː b o k o
tu	t u
tuffaac	t u f f aː ħ
turru	t u ɾ ɾ u
tuuristi	t uː ɾ i s t i
ubamuble	u b ʌ m u b l e
ubamumbulle	u b ʌ m u m b u l l e
ubamuybulle	u b ʌ m u j b u l l e
ubka	u b k ʌ
uble	u b l e
ubqure	u b ʕ u ɾ e
udulume	u d u l u m e
uduure	u d uː ɾ e
uftuce	u f t u ħ e
ugdube	u ɡ d u b e
uguc	u ɡ u ħ
ugucta	u ɡ u ħ t ʌ
ukkuqe	u kː u ʕ e
uli	u l i
ulmo	u l m o
uma	u m ʌ
umaane	u m aː n e
umel	u m e l
ummaan	u m m aː n
umubqure	u m u b ʕ u ɾ e
umukkuqe	u m u kː u ʕ e
unbuude	u n b uː d e
undullume	u n d u lː u m e
unfuttuce	u n f u tː u ħ e
untulluke	u n t u lː u k e
urri	u ɾ ɾ i
urru	u ɾː u
usgudube	u s ɡ u d u b e
usguude	u s ɡ uː d e
uskute	u s k u t e
ussuguude	u sː u ɡ uː d e
ussukute	u sː u k u t e
usuk	u s u k
usun	u s u n
usuule	u s uː l e
utuluke	u t u l u k e
uxxi	u ɖ ɖ i
uxxuxe	u ɖː u ɖ e
uybulle	u j b u l l e
uybulluse	u j b u lː u s e
uybuude	u j b uː d e
uyduure	u j d uː ɾ e
uyduuruse	u j d uː ɾ u s e
waado	w aː d o
waadoyso	w aː d o j s o
wacro	w ʌ ħ ɾ o
wadir	w ʌ d i ɾ
wakri	w ʌ k ɾ i
wale	w ʌ l e
wana	w ʌ n ʌ
wanna	w ʌ n n ʌ
waqdi	w ʌ ʕ d i
waraakit	w ʌ ɾ aː k i t
warkat	w ʌ ɾ k ʌ t
wee	w eː
weelisenta	w eː l i s e n t a
weelo	w eː l o
weyite	w e j i t e
wili	w i l i
wixih	w i ɖ i h
woh	w o h
woo	w oː
wotti	w o tː i
wottih	w o tː i h
xaa	ɖ aː
xaafu	ɖ aː f u
xaagu	ɖ aː ɡ u
xaahi	ɖ aː h i
xabcini	ɖ ʌ b ħ i n i
xabcinnoowe	ɖ ʌ b ħ i nː oː w e
xagor	ɖ ʌ ɡ o ɾ
xalu	ɖ ʌ l u
xaylo	ɖ ʌ j l o
xeeri	ɖ eː ɾ i
xeeru	ɖ eː ɾ u
xeet	ɖ eː t
xiba	ɖ i b ʌ
xiiba	ɖ iː b ʌ
ximmo	ɖ i m m o
ximo	ɖ i m o
xin	ɖ i n
xinse	ɖ i n s e
yaa	j aː
yaabe	j aː b e
yaabise	j aː b i s e
yab	j ʌ b
yabamyaabe	j ʌ b ʌ m j aː b e
yabamyabsiise	j ʌ b ʌ m j ʌ b s iː s e
yabbaasite	j a bː aː s i t e
yabsiise	j ʌ b s iː s e
yabsiisite	j ʌ b s iː s i t e
yalla	j ʌ lː ʌ
yallaw	j ʌ l l ʌ w
yangula	j ʌ n ɡ u l ʌ
yayfoofi	j ʌ j f oː f i
yayya	j ʌ j j ʌ
yerde	j e ɾ d e
yi	j i
yifiile	j i f iː l e
yiimi	j iː m i
yoo	j oː
