ав	a w̜
гурил	ɢ o̙ rʲ ɪ ɮ
гууль	ɢ ɵː ɮʲ
гэлэн	ɡ i ɮ ɪ ŋ
гэлэнмаа	ɡ i ɮ ɪ m m a
гэмших	ɡ i m ʃ ɪ ç
гүүр	ɡ uː r
даваа	t a w̜ a
дайгдах	d æː k t ɐ χ
дайх	t æ e χ
далай	t a ɮ æ e
далбаа	t a ɮ p a
дамнах	t a m n ɐ χ
дасах	t a s ɐ χ
дахин	t æ ç ɪ ŋ
довжоо	t ɔ̙ w̜ t͡ɕ ɔ̙
догшин	t ɔ̙ x ʃ ɪ ŋ
дотор	t ɔ̙ʰ t ɞ̙ r
дох	t ɔ̙ χ
дохих	t ɞ ç ɪ ç
дудран	t o̙ t r ɵ̙ ɴ
дурдах	t o̙ r t ɵ̙ χ
дуудлага	t o̙ː t ɮ ɵ̙ q
дуулга	d ʊ̞ ɬ q ə
дуулгавар	t o̙ː ɮ ʁ ɵ̙ w̜ ɵ̙ r
дуурь	t ɵː rʲ
дэвших	t i w̜ ʃ ɪ ç
дэлүү	t i ɮ u
дээр	t eː r
еэвэн	j eː w̜ ɪ ŋ
жигнэмэг	t͡ɕ i ɡ n ɪ m ɪ k
жижүүр	t͡ɕ i t͡ɕ u r
жорлон	t͡ɕ ɔ̙ r ɮ ɞ̙ ɴ
жууцай	t͡ɕ o̙ːʰ t͡s æ e
завь	t͡s æ w̜ʲ
загасчин	t͡s a ɢ ə s t͡ʃʰ i ŋ
зайдуу	t͡s æ e t o̙
залах	t͡s a ɮ ɐ χ
залгамал	t͡s a ɮ ʁ ɐ m ɐ ɮ
залгах	t͡s a ɮ ʁ ɐ χ
залгих	t͡s a ɮ ɟ ɪ x
залгуур	t͡s a ɮ ʁ o̙ r
залуу	t͡s a ɮ o̙
залуур	t͡s a ɮ o̙ r
зан	t͡s a ŋ
зангиа	t͡s a ŋ ɟ ə
зандах	t͡s a n t ɐ χ
зардаг	t͡s a r t ɐ k
зарим	t͡s æ ɾʲ ɪ m
заримдаа	t͡s æ ɾʲ ɪ m t a
засаг	t͡s a s ɐ k
зах	t͡s a χ
зовлон	t͡s ɔ̙ w̜ ɮ ɞ̙ ɴ
золбин	t͡s ɞ ɮʲ pʲ ɪ ŋ
зориг	t͡s ɞ ɾʲ ɪ k
зориглох	t͡s ɞ ɾʲ ɪ ɡ ɮ ɞ̙ χ
зоригоор	t͡s ɞ ɾʲ ɪ ɡ ɔ̙ r
зоригт	t͡s ɞ ɾʲ ɪ x t
зорилго	t͡s ɞ ɾʲ ɪ ɮ ɞ̙ q
зорилт	t͡s ɞ ɾʲ ɪ ɬ t
зоримгой	t͡s ɞ ɾʲ ɪ m ʁ ɞ e
зоримог	t͡s ɞ ɾʲ ɪ m ɞ k
зориуд	t͡s ɞ ɾʲ o̙ t
зориулах	t͡s ɞ ɾʲ o̙ ɮ ɐ χ
зорих	t͡s ɞ ɾʲ ɪ χ
зул	t͡s o̙ ɮ
зураг	t͡s ʊ r ə k
зурвас	t͡s o̙ r w̜ ɵ̙ s
зууж	t͡s o̙ː t͡ɕ
зуух	t͡s o̙ː χ
зэвсэг	t͡s i f s ɪ k
зэрэг	t͡s i r ɪ k
зээ	t͡s eː
зээргэнэ	t͡s eː r ɡ ɪ n
зүйр	t͡s u e r
зүйрлэл	t͡s u e r ɮ ɪ ɮ
зүйрлэх	t͡s u e r ɮ ɪ x
зүсэм	t s y s ɛ m
зүү	t͡s uː
зүүд	t͡s uː t
зүүдлэх	t͡s uː t ɮ ɪ ç
идэх	i t ɪ ç
ил	i ɮ
илдэх	i ɮ t ɪ ç
илтгэл	i ɬ t ɡ ɪ ɮ
илтгэх	i ɬ t ɡ ɪ ç
илхэн	i ɬ ç ɪ ɲ
имрэх	i m r ɪ ç
ирвэс	i r w̜ ɪ s
ирц	i r̥ t͡s
ирэх	i r ɪ ç
ихэр	i ç ɪ r
лхагва	ɬ a w̜ ɐ k
мал	m a ɮ
малгай	m a ɮ ʁ æ e
маллах	m a ɮ ɮ ɐ χ
малчин	m a ɬ t͡ɕ ɐ ɴ
манж	m a ɲ t͡ɕ
мах	m a χ
махийх	m æ ç i χ
махчин	m a χ t͡ɕ ɪ ɴ
маш	m a ʃ
могой	m ɔ̙ ʁ ɞ e
модоч	m ɔ̙ t ɞ̙ʰ t͡ɕ
молтогчин	m ɔ̙ ɮ tʰ ɞ̙ ɣ t͡ɕ ɪ n
монгол	m ɔ̙ ɴ ɢ ɞ̙ ɮ
морилох	m ɞ rʲ ɮ ɞ̙ χ
мохоо	m ɔ̙ χ ɔ̙
мохох	m ɔ̙ χ ɞ̙ χ
муж	m o̙ t͡ɕ
мэдэрхэх	m i t ɪ r ç ɪ ç
мэдэх	m i t ɪ ç
мэдээлэл	m i t e ɮ ɪ ɮ
мэлхий	m i ɬ ç i
мэргэжил	m i r ɪ ɡ t͡ɕ ɪ ɮ
мэргэжилтэн	m i r ɪ ɡ t͡ɕ ɪ ɬ t ɪ ŋ
мэс	m i s
мэт	m iʰ t
мэхээр	m i x e r
мөн	m ʊ ŋ
мөнгө	m ʊ ŋ k
мөнх	m ʊ ŋ x
мөр	m ʊ r
мөрөөдөл	m ʊ ɾ ʊ t ʊ̈ ɮ
надад	n a t ɐ t
найз	n æ e t͡s
найтаах	n æ eʰ t a χ
нам	n a m
нарийн	n æ rʲ i ɴ
нийтгэх	n iːʰ t k ɪ ç
нийх	n iː ç
нил	n i ɮ
ном	n ɔ̙ m
нохой	n ɔ̙ χ ɞ e
ноён	n ɔ̙ i ɴ
нус	n o̙ s
нэг	n i k
нэмэр	n i m ɪ r
нэмэх	n i m ɪ ç
нэхмэл	n i ç m ɪ ɮ
нялх	nʲ a ɬ χ
нөлөө	n ʊ ɮ ʊ
нөхцөл	n ʊ x t͡s ʊ̈ ɮ
нөхөөс	n ø x øː s
овьёос	ɔ̙ w̜ ɪ j ɔ̙ s
огих	ɞ ɟ ɪ x
огурцы	ʊ ɡ ʊ̈ r̥ t͡s i
одоо	ɔ̙ t ɔ̙
ойлгох	ɞ e ɮ ʁ ɞ̙ χ
оймс	ɞ e m s
ойрад	œː r̥ t
олон	ɔ̙ ɮ ɞ̙ ɴ
омог	ɔ̙ m ɞ̙ k
онгоц	ɔ̙ ɴ ɢ ɞ̙ʰ t͡s
онигоо	ɞ nʲ ʁ ɔ̙
оноо	ɔ̙ n ɔ̙
онь	ɞ̙ nʲ
оньс	ɞ nʲ s
ор	ɔ̙ r
орой	ɔ̙ ɾ ɞ e
оройвч	ɔ̙ ɾ ɞ e f t͡ɕ
ором	ɔ̙ ɾ ɞ̙ m
орон	ɔ̙ ɾ ɞ̙ ɴ
орох	ɔ̙ ɾ ɞ̙ χ
орчим	ɔ̙ r̥ t͡ɕ ɞ m
очих	ɔ̙ʰ t͡ɕ ɞ̙ χ
оюутан	ɔ̙ j o̙ʰ t ɐ ɴ
оёдол	ɔ̙ i t ɞ̙ ɮ
пигүүж	pʰ i ɡ u t͡ɕ
пийшин	pʰ iː ʃ ɪ ŋ
порнографи	p ə r n ɐ ɡ r a fʲ ɪ
савар	s a w̜ ɐ r
салах	s a ɮ ɐ χ
салхи	s æ ɮʲ ç
самбар	s a m p ɐ r
санах	s a n ɐ χ
сансар	s a n s ɐ r
сар	s a r
сармис	s æ rʲ mʲ ɪ s
сойз	s ɞ e t͡s
солих	s ɞ ɮʲ ɪ x
солонго	s ɔ̙ ɮ ɞ̙ ɴ q
сонгууль	s ɔ̙ ɴ ɢ ɵ ɮʲ
сорих	s ɞ ɾʲ ɪ χ
соруул	s ɔ̙̙ r o̙ ɮ
соруулах	s ɔ̙̙ r o̙ ɮ ɵ̙ χ
соёл	s ɔ̙ i ɮ
сум	s o̙ m
сурвалж	s o̙ r w̜ ɵ̙ ɮ t͡ɕ
сэтгэл	s iʰ t ɡ ɪ ɮ
сүрэг	s u ɾ ɪ k
сүү	s uː
сүүдэр	s uː t ɪ r
сүүмэг	s yː m ɛ k
тавих	tʰ æ w̜ʲ ɪ χ
талх	tʰ a ɬ χ
тамах	tʰ a m ɐ χ
танц	tʰ a n̥ t͡s
тарвага	tʰ a r w̜ ɐ q
тархи	tʰ æ rʲ ç
татах	t ḁ t ɐ χ
таяг	tʰ a i k
тогтоол	tʰ ɔ̙ x t ɔ̙ ɮ
тогтоомж	tʰ ɔ̙ x t ɔ̙ m t͡ɕ
тогтоох	tʰ ɔ̙ x t ɔ̙ χ
тойруу	tʰ ɞ e ɾ o̙
толь	tʰ œ ɬ
том	tʰ ɔ̙ m
томох	tʰ ɔ̙ m ɞ̙ χ
томсох	tʰ ɔ̙ m s ɞ̙ χ
тоншуул	tʰ ɔ̙ ɴ ʃ o̙ ɮ
тоор	tʰ ɔ̙ː r
тоормос	tʰ ɔ̙ː r m ɞ̙ s
торго	tʰ ɔ̙ ɾ ɞ̙ q
тулуй	tʰ o̙ ɮ ɵ e
тусламж	t o̙ s ɮ ɵ̙ m t͡ɕ
туулай	tʰ o̙ː ɮ æ e
тухай	tʰ o̙ χ æ e
тухайд	tʰ o̙ χ æ e t
тухайн	tʰ o̙ χ æ e ɴ
тэвнэ	tʰ i w̜ ɪ n
тэвэр	tʰ i w̜ ɪ r
тэг	tʰ i k
тэмээ	tʰ i m e
тэнгис	tʰ i ŋ ɡ ɪ s
тэрс	tʰ i r s
тэрэг	tʰ i r ɪ k
тэс	tʰ i s
түймэр	tʰ u e m ɪ r
төстэй	tʰ ʊ s t e
төсөвлөх	tʰ ʊ s ʊ̈ w̜ ɮ ʊ̈ x
уг	o̙ k
удаа	o̙ t a
удган	̙ o̙ t ʁ ɵ̙ ɴ
удирдах	ɵ tʲ ɪ r t ɵ χ
удирдлага	ɵ tʲ ɪ r t ɮ ɵ q
улаанцав	o̙ ɮ a n̥ t͡s ɐ w̜
уламжлалт	o̙ ɮ ɵ̙ m t͡ɕ ɮ ɵ̙ ɬ t
улиас	ɵ̙ ɮʲ a s
унгар	ʊ ŋ ɢ ə r
ус	o̙ s
утас	o̙ʰ t ɵ̙ s
утга	o̙ʰ t ɵ̙ q
уул	o̙ː ɮ
фронт	fʰ r ɔˑ n tʰ
хаалга	χ aː ɮ ɐ q
хавч	χ a f t͡ɕʰ
хавчих	χ a f t͡ɕ ɐ χ
хаг	χ a k
хага	χ a q
хад	χ a t
хазах	χ a t͡s ɐ χ
хайлмаг	χ æ e ɮ m ɐ k
хайнаг	χ æ e n ɐ k
халаад	x a ɮ a t
халх	χ ɑ ɮ χ
хар	χ a r̊
харандаа	χ a ɾ ɐ n t a
харваа	χ a r w̜ a
харваач	χ a r w̜ aʰ t͡ɕ
харгана	χ a r ʁ ɐ n
харин	χ æ ɾʲ ɪ ɴ
хатмал	χ aʰ t m ɐ ɮ
хаялах	χ a i ɮ ɐ χ
хижээл	ç i t͡ɕ e ɮ
хиймэл	ç iː m ɪ ɮ
хийх	ç iː ç
хил	ç i ɮ
хойно	χ ɞ e n
хонь	χ ɞ ɲ
хоол	χ ɔ̙ː ɮ
хорвоо	χ ɔ̙ r w̜ ɔ̙
хордох	χ ɔ̙ r t ɞ̙ χ
хотын	χ ɔ̙ʰ t i ŋ
хоёр	χ ɔ̙ i r
хувилбар	χ ɵ w̜ʲ ɪ ɮ p ɐ r
хувь	χ ɵ w̜ʲ
худал	χ o̙ t ɵ̙ ɮ
худалч	χ o̙ t ɵ̙ ɬ t͡ɕ
хударга	χ o̙ t r ɵ̙ q
хулгана	χ o̙ ɮ ʁ ɵ̙ n
хулхи	x ɵ ɬʲ ç
хумс	χ o̙ m s
хурга	χ o̙ ɾ ɵ̙ q
хурим	χ ɵ ɾʲ ɪ m
хуруу	χ o̙ ɾ o̙
хуруувч	χ o̙ ɾ o̙ f t͡ɕ
хусах	χ o̙ s ɵ̙ χ
хутга	χ o̙ʰ t ɵ̙ q
хууль	χ ɵː ɮʲ
хуурах	χ o̙ː ɾ ɵ̙ χ
хуурга	χ o̙ː ɾ ɵ̙ q
хуушуур	x o̙ː ʃ o̙ r
хэвэл	x ɛ v ə ɬ
хэдэрлэх	ç i t ɪ r ɮ ɪ ç
хэл	x i ɮ
хэлэлцэх	ç i ɮ ɪ ɬ t͡s ɪ ç
хэлэх	ç i ɮ ɪ ç
хэмжээ	ç i m t͡ɕ e
хэрэг	kʰ e r e ɡ
хэрэг	ç i ɾ ɪ k
хэрэглэгдэх	ç i ɾ ɪ ɡ ɮ ɪ ɡ t ɪ ç
хэрэглэл	ç i ɾ ɪ ɡ ɮ ɪ ɮ
хэрэглэх	kʰ e r e ɡ l eʰ k͡x ʉ
хэрэглэх	ç i ɾ ɪ ɡ ɮ ɪ ç
хэрэглээ	ç i ɾ ɪ ɡ ɮ e
хэрэглүүр	ç i ɾ ɪ ɡ ɮ u r
хэрэгтэй	ç i ɾ ɪ x t e
хэрүүл	ç i ɾ u ɮ
хялгас	ç a ɮ ʁ a s
хярс	ç a r s
хүзүү	x u t͡s u
хүлэх	x u ɮ ɪ ç
хүрэл	x u̘ r ɵ̘ ɬ
хүрэлзгэнэ	x u r ɪ ɮ t͡s ɡ ɪ n
хүрэх	x u ɾ ɪ x
хүч	x uʰ t͡ɕ
хүүхэд	x uː ç ɪ t
хөдлөх	x ʊ t ɮ ʊ̈ x
хөлдөөгч	x ʊ ɮ t ʊ x t͡ɕ
хөмрүүлэх	x ʊ m r u ɮ ɪ ç
хөмрөх	x ʊ m r ʊ̈ x
хөмүүн	x ʊ m u ŋ
хөндий	x ʊ n t i
хөрс	x ʊ r s
хөрөө	x ʊ ɾ ʊ
хөхүүр	x ʊ x u r
хөөмий	x uː m iː
хөөрөг	x oː ɾ ʊ k
цаасан	t͡sʰ aː s ɐ ɴ
цадиг	t͡sʰ æ tʲ ɪ k
цайр	t͡sʰ æ e r
цангах	t͡sʰ a ɴ ɢ ɐ χ
цогц	t͡sʰ ɔ̙ x t͡s
цогцос	t͡sʰ ɔ̙ x t͡s ɞ̙ s
цуйван	t͡sʰ ɵ e w̜ ɵ̙ ɴ
цус	t͡sʰ ʊ̙ s
цүүц	t͡sʰ uːʰ t͡s
цөл	t͡sʰ ø ɮ
цөцгий	t͡s ʊ̥ t͡s ɡ i
чагнаал	t͡ɕʰ a ɡ n a ɮ
чанар	t͡ɕʰ a n ɐ r
чанарлаг	t͡ɕʰ a n ɐ r ɮ ɐ k
чингис	t͡ɕʰ i ŋ ɡ ɪ s
чухаг	t͡ɕʰ o̙ χ ɵ̙ k
чухал	t͡ɕʰ o̙ χ ɵ̙ ɮ
шаазгай	ʃ aː t͡s ʁ æ e
шаардах	ʃ aː r t ɐ χ
шаардлага	ʃ aː r t ɮ ɐ q
шалгах	ʃ a ɮ ʁ ɐ χ
шалгуур	ʃ a ɮ ʁ o̙ r
шалтаг	ʃ a ɬ t ɐ k
шалтгаа	ʃ a ɬ t ɡ a
шалтгаа	ʃ a ɬ t ʁ a
шалтгаан	ʃ a ɬ t ʁ a ɴ
шанаа	ʃ a n a
шанд	ʃ a n t
шанз	ʃ a n t͡s
шар	ʃ a r
шатар	ʃ aʰ t ɐ r
шахах	ʃ a χ ɐ χ
шийдвэр	ʃ iː t w̜ ɪ r
шингэн	ʃ i ŋ ɡ ɪ ŋ
шинэлэг	ʃ i n ɮ ɪ k
ширээ	ʃ i ɾ e
шодой	ʃ ɔ̙ t ɞ e
шонхор	ʃ ɔ̙ ɴ χ ɞ̙ r
шорлог	ʃ ɔ̙ r ɮ ɞ̙ k
шувуу	ʃ o̙ w̜ o̙
шулуун	ʃ o̙ ɮ o̙ ɴ
шуугиан	ʃ ɵː ɟ a ɴ
шүд	ʃ u d
шүүдэр	ʃ uː t ɪ r
шүүс	ʃ uː s
шүүслэг	ʃ uː s ɮ ɪ k
шүүслэх	ʃ uː s ɮ ɪ ç
эв	i w̜
эзэн	i t͡s ɪ ŋ
элэг	i ɮ ɪ k
эмнэлэг	i m n ɪ ɮ ɪ k
эмч	i m̥ t͡ʃ
эмээл	i m e ɮ
эр	i r
эрх	i r x
эрхийвч	i r ç i f t͡ɕ
эрхүү	i r x uː
эрч	i r̥ t͡ɕ
эх	i x
эхлэх	i ç ɬ ɪ ç
явдал	j a w̜ t ɐ ɮ
явц	j a f t͡s
явцуу	j a f t͡s o̙
ямаа	j a m a
ямар	j a m ɐ r
янжуур	j æ ɲ t͡ɕ o̙ r
ярих	j a rʲ ə x
ятга	j aʰ t ɐ q
үг	u k
үзэх	u t͡s ɪ ç
үзүүр	u t͡s u r
үйл	u e ɮ
үйлдвэр	u e ɮ t w̜ ɪ r
үйлдвэржих	u e ɮ t w̜ ɪ r t͡ɕ ɪ ç
үйлдвэрлэл	u e ɮ t w̜ ɪ r ɮ ɪ ɮ
үйлдвэрлэх	u e ɮ t w̜ ɪ r ɮ ɪ x
үйлдвэрчин	u e ɮ t w̜ ɪ r̥ t͡ɕ ɪ ŋ
үйлдэл	u e ɮ t ɪ ɮ
үйлдэх	u e ɮ t ɪ ç
үйлчлэх	u e ɬ t͡ɕ ɮ ɪ ç
үлээх	u ɮ e x
үнэ	u n
үнэг	u n ɪ k
үнээ	u n e
үсэг	u s ɪ k
үхэр	u ç ɪ r
өвдөг	ʊ w̜ t ʊ̈ k
өвөр	ʊ̘ w ə r
өвөөлж	o w oː l d͡ʒ ĭ
өгөх	ʊ ɡ ʊ̈ x
өлсгөлөн	ʊ ɮ s ɣ ʊ̈ ɮ ʊ̈ ŋ
өмсөх	ʊ m s ʊ̈ x
өнчин	ʊ n̥ t͡ɕ ʊ̈ ŋ
өрөм	ʊ ɾ ʊ̈ m
өтгөн	ʊʰ t ɡ ʊ̈ ŋ
өчүүхэн	ʊʰ t͡ɕ u x ɪ ŋ
өөр	oː r
өөрчлөлт	oː r̥ t͡ɕ ɮ ʊ̈ ɬ t
өөрчлөх	oː r̥ t͡ɕ ɮ ʊ̈ x
өөх	oː x
өөхлөг	oː x ɮ ʊ̈ k
