ଃ	h
କୁମ୍ଭାର	k u m bʱ a ɾ ɔ
କୁମ୍ଭାରୁଣି	k u m bʱ a ɾ u ɳ i
କୃଷ୍ଣ	k ɾ u s ɳ ɔ
କେତେବେଲେ	k e t e b e l e
କୋଡ଼ିଏ	k o ɽ i e
ଖ	kʰ ɔ
ଖ଼	x ɔ
ଖାଇବା	kʰ a i b a
ଖୋଇ	kʰ o i
ଗ	ɡ ɔ
ଗଛ	ɡ ɔ t͡ʃʰ ɔ
ଗଞ୍ଜା	ɡ ɔ ɲ d͡ʒ a
ଗଞ୍ଜାଇ	ɡ ɔ ɲ d͡ʒ a i
ଗ଼	ɣ ɔ
ଗାଈ	ɡ a i
ଗୋଆ	ɡ o a
ଘ	ɡʱ ɔ
ଘର	ɡʱ ɔ ɾ ɔ
ଙ	ŋ ɔ
ଚ	t͡ʃ ɔ
ଚକ	t͡ʃ ɔ k ɔ
ଚଟିଆ	t͡ʃ ɔ ʈ i a
ଚନ୍ଦ୍ର	t͡ʃ ɔ n d ɾ ɔ
ଚନ୍ଦ୍ରବିନ୍ଦୁ	t͡ʃ ɔ n d ɾ ɔ b i n d u
ଚାବି	t͡ʃ a b i
ଚାମଚ	t͡ʃ a m ɔ t͡ʃ ɔ
ଚାରି	t͡ʃ a ɾ i
ଚିଙ୍ଗୁଡ଼ି	t͡ʃ i ŋ ɡ u ɽ i
ଚୀନ	t͡ʃ i n ɔ
ଚୌଦ	t͡ʃ ɔ u̯ d ɔ
ଛ	t͡ʃʰ ɔ
ଛଅ	t͡ʃʰ ɔ ɔ
ଛକୋଣି	t͡ʃʰ ɔ k o ɳ i
ଜ	d͡ʒ ɔ
ଜନନୀ	d͡ʒ ɔ n ɔ n i
ଜଳ	d͡ʒ ɔ ɭ ɔ
ଜଳଚର	d͡ʒ ɔ ɭ ɔ t͡ʃ ɔ ɾ ɔ
ଜହ୍ନ	d͡ʒ ɔ h n ɔ
ଜ଼	z ɔ
ଜୀବ	d͡ʒ i b ɔ
ଜ୍ୱାଇଁ	d͡ʒ w a ĩ
ଝ	d͡ʒʱ ɔ
ଝ଼	ʒ ɔ
ଞ	ɲ ɔ
ଟ	ʈ ɔ
ଟାପୁ	ʈ a p u
ଠ	ʈʰ ɔ
ଡ	ɖ ɔ
ଡ଼	ɽ ɔ
ଡାଲମା	ɖ a l ɔ m a
ଢ	ɖʱ ɔ
ଢ଼	ɽʱ ɔ
ଣ	ɳ ɔ
ତ	t ɔ
ତରବର	t ɔ ɾ ɔ b ɔ ɾ ɔ
ତାଜିକିସ୍ତାନ	t a d͡ʒ i k i s t a n ɔ
ତିନି	t i n i
ତେର	t e ɾ ɔ
ଥ	tʰ ɔ
ଦ	d ɔ
ଦଣ୍ଡାଜ୍ଞା	d ɔ ɳ ɖ a d͡ʒ ɲ a
ଦଶ	d ɔ s ɔ
ଦାଢ଼ି	d a ɽʱ i
ଦାନ୍ତ	d a n t ɔ
ଦୀର୍ଘ	d i ɾ ɡʱ ɔ
ଦୁଇ	d u i
ଦେବ	d e b ɔ
ଦୌହତ୍ରୀ	d ɔ u̯ h ɔ t ɾ i
ଦୌହିତ୍ର	d ɔ u̯ h i t ɾ ɔ
ଦ୍ଵୀପ	d ʋ i p ɔ
ଧ	dʱ ɔ
ଧନ୍ୟବାଦ୍	dʱ ɔ n j ɔ b a d
ନ	n ɔ
ନଅ	n ɔ ɔ
ନଗଦ	n ɔ ɡ ɔ d ɔ
ନଦୀ	n ɔ d i
ନମସ୍ତେ	n ɔ m ɔ s t e
ନାରୀ	n a ɾ i
ନୂତନ	n u t ɔ n ɔ
ପ	p ɔ
ପକ୍ଷୀ	p ɔ k s i
ପତ୍ର	p ɔ t ɾ ɔ
ପଥିକ	p ɔ tʰ i k ɔ
ପନ୍ଦର	p ɔ n d ɔ ɾ ɔ
ପାଞ୍ଚ	p a ɲ t͡ʃ ɔ
ପାଣି	p a ɳ i
ପୁରୁଷୋତ୍ତମପୁର	p u ɾ u s o t t ɔ m ɔ p u ɾ ɔ
ପୃଥିବୀ	p ɾ u tʰ i b i
ପୌତ୍ର	p ɔ u̯ t ɾ ɔ
ପୌତ୍ରୀ	p ɔ u̯ t ɾ i
ପ୍ରପୁତ୍ର	p ɾ ɔ p u t ɾ ɔ
ପ୍ରଶ୍ନ	p ɾ ɔ s n ɔ
ପ୍ରାଣ	p ɾ a ɳ ɔ
ପ୍ରାଣଦଣ୍ଡାଜ୍ଞା	p ɾ a ɳ ɔ d ɔ ɳ ɖ a d͡ʒ ɲ a
ଫ	pʰ ɔ
ଫଳ	pʰ ɔ ɭ ɔ
ଫ଼	f ɔ
ବ	b ɔ
ବରଫ	b ɔ ɾ ɔ pʰ ɔ
ବର୍ଷା	b ɔ ɾ s a
ବହି	b ɔ h i
ବା	b a
ବାଘ	b a ɡʱ ɔ
ବାର	b a ɾ ɔ
ବିଜୁଳି	b i d͡ʒ u ɭ i
ବିଷ୍ଣୁ	b i s ɳ u
ବେଙ୍ଗାଳୁରୁ	b e ŋ ɡ a ɭ u ɾ u
ବ୍ରାହ୍ମଣ	b ɾ a h m ɔ ɳ ɔ
ବ୍ରାହ୍ମଣୀ	b ɾ a h m ɔ ɳ i
ଭ	bʱ ɔ
ଭାରତ	bʱ a ɾ ɔ t ɔ
ଭାଲୁ	bʱ a l u
ଭାଷା	bʱ a s a
ଭୁବନେଶ୍ୱର	bʱ u b ɔ n e s w ɔ ɾ ɔ
ଭୂମିକମ୍ପ	bʱ u m i k ɔ m p ɔ
ମ	m ɔ
ମତ୍ସ୍ଯ	m ɔ t s d͡ʒ ɔ
ମହିଳା	m ɔ h i ɭ a
ମା	m a
ମାଁମାଁ	m ã m ã
ମାଉସ	m a u s ɔ
ମାଛ	m a t͡ʃʰ ɔ
ମାତା	m a t a
ମୁଁ	m ũ
ମେଘ	m e ɡʱ ɔ
ଯ	d͡ʒ ɔ
ର	ɾ ɔ
ରାଜପତ୍ନୀ	ɾ a d͡ʒ ɔ p ɔ t n i
ରାଜମହିଷୀ	ɾ a d͡ʒ ɔ m ɔ h i s i
ରାଜା	ɾ a d͡ʒ a
ରାଜ୍ଞୀ	ɾ a d͡ʒ ɲ i
ରାଣୀ	ɾ a ɳ i
ରୁଷିଆ	ɾ u s i a
ଲ	l ɔ
ଳ	ɭ ɔ
ଵ	ʋ ɔ
ଵିଷ୍ଣୁ	b ɪ ʂ ɳ ʊ
ଶ	s ɔ
ଶବ୍ଦାର୍ଥ	s ɔ b d a ɾ tʰ ɔ
ଶାରୀ	s a ɾ i
ଶାର୍ଟ	s a ɾ ʈ ɔ
ଶିବ	s i b ɔ
ଶୁନ୍ୟ	s u n j ɔ
ଶୋଳ	s o ɭ ɔ
ଷ	s ɔ
ଷ଼	ɻ ɔ
ସ	s ɔ
ସଂସ୍କୃତ	s ɔ̃ s k ɾ u t ɔ
ସତର	s ɔ t ɔ ɾ ɔ
ସମୁଦ୍ର	s ɔ m u d ɾ ɔ
ସାତ	s a t ɔ
ସାପ	s a p ɔ
ସିଂହ	s ĩ h ɔ
ସୁନା	s u n a
ସୂର୍ଯ୍ୟ	s u ɾ d͡ʒ j ɔ
ସ୍ତ୍ରୀ	s t ɾ i
ସ୍ୱର୍ଗ	s w ɔ ɾ ɡ ɔ
ହ	h ɔ
ହଁ	h ɔ̃ː
ହାତ	h a t ɔ
ହାତୀ	h a t i
ହିନ୍ଦୀ	h i n d i
ୟ	j ɔ
ୱ	w ɔ
