аал	aː ɫ
коңга	q ɔ ŋ ɡ a
куду	q ʊ d ʊ
кулак	q ʊ ɫ a q
куу	q ʊː
кыдат	k̠ ɤ d ɑ t
кыдаттаар	k̠ ɤ d ɑ tː ɑː ɾ
кыдыында	q ɯ d ɯː n d a
кызыл	k ɯ z ɯ l
кызыл	q ɯ z ɯ ɫ
кыйгы	q ɯ j ɢ ɯ
кыйгырар	q ɯ j ɢ ɯ r a r
кылыр	q ɯ ɫ ɯ r
кым	q ɯ m
кыр	q ɯ r
кырган	q ɯ r ʁ a n
кыры	q ɯ r ɯ
кыс	q ɯ s
күдээ	k ʏ d e̞ː
көвей	k ø β ɛ j
көвүрүг	k ø ʋ ʏ r ʏ ɣ
көрүнчүк	k ø̞ r ʏ n t͡ʃ ʏ q
көөр	k øː r
лампа	l a m p a
магалыг	m a ʁ a ɫ ɯ ʁ
май	m a j
мал	m a ɫ
манаар	m a n aː r
медерел	m ɛ d ɛ r ɛ l
медээ	m ɛ d ɛː
медээлээр	m ɛ d ɛː l ɛː r
мени	m ɛ n ɪ
моол	m oː l
моортай	m ɔː r t a j
мында	m ɯ n d a
мындыг	m ɯ n d ɯ ɣ
мээрең	m e̞ː r e̞ ŋ
мээңии	m ɛː ŋ iː
мөңге	m ø ŋ ɡ ɛ
мөңгүн	m ø ŋ ɡ ʏ n
назы	n a z ɯ
назылаар	n a z ɯ l aː r
найырал	n a j ɯ r a ɫ
ногаан	n ɔ ɣ aː n
ном	n ɔ m
номчуур	n ɔ m t͡ʃ ʊː r
ноябрь	n o j aˑ b ɾ
овур	ɔ w ʊ r
оглу	ɔ ɡ l ʊ
ойнаар	ɔ j n aː r
октаар	ɔ q t aː r
октябрь	o k tʲ aˑ b ɾʲ
оларны	ɔ ɫ a r n ɯ
олурар	ɔ l ʊ r a r
он	ɔ̃ n
онгу	ɔ̃ ŋ ɢ ʊ
онза	ɔ n z a
ону	ɔ n ʊ
оорга	ɔː r ʁ a
ооңуу	oː ŋ uː
орай	ɔ r a j
оран	ɔ r a n
орту	ɔ r t ʊ
оттур	ɔ t t ʊ r
сагыш	s a ʁ ɯ ʃ
садыг	s a d ɯ ɣ
сактыр	s a q t ɯ r
сарлык	s a r l ɯ q
сарыг	s a r ɯ ɣ
сенде	s ɛ n d ɛ
сес	s ɛ s
сески	s ɛ s k ɪ
солун	s ɔ l ʊ n
сонуургаар	s ɔ n ʊː r ɢ aː r
сонуургал	s ɔ n ʊː r ɢ a ɫ
соок	s ɔː q
соонда	s ɔː n d a
сорар	s ɔ r a r
соң	s ɔ ŋ
сээңии	s ɛː ŋ iː
сүме	s ʏ m ɛ
сүмелээр	s ʏ m ɛ l ɛː r
сүнезин	s ʏ n ɛ z ɪ n
сөглээр	s ø ɡ l ɛː r
сөс	s ø s
тайбың	tʰ a j b ɯ ŋ
такпы	tʰ a q p ɯ
такпылаар	tʰ a q p ɯ l aː r
таныжар	tʰ a n ɯ ʒ a r
таныштырар	tʰ a n ɯ ʃ t ɯ r a r
таныыр	tʰ a n ɯː r
таптыг	tʰ a p t ɯ ʁ
тары	t a ɾ ɯ
теве	tʰ e̞ ʋ e̞
тик	tʰ ɪ k
тикки	tʰ ɪ kː ɪ
тодар	tʰ ɔ d a ɾ
тос	tʰ ɔ s
тоску	tʰ ɔ s k ʊ
тот	t o t
тудар	tʰ ʊ d a r
тыва	tʰ ɯ ʋ ɑ
тыва	tʰ ɯ β a
тывага	tʰ ɯ ʋ a ɣ a
тывала	t ɯ ʋ a l a
тывалаар	t ɯ ʋ a l aː r
тывар	tʰ ɯ ʋ a r
тын	tʰ ɯ n
тынар	tʰ ɯ n a r
тырыкы	tʰ ɯ r ɯ q ɯ
төндүрер	tʰ ø n d ʏ r ɛ r
төнер	tʰ ø n ɛ r
төнчү	tʰ ø n d͡ʒ ʏ
уг	ʊ ʁ
угаан	ʊ ʁ aː n
угаанныг	ʊ ʁ aː nː ɯ ʁ
угаар	ʊ ʁ aː r
угба	ʊ ʁ b a
удуур	ʊ d ʊː r
ужар	ʊ ʒ a r
ужурашкыже	ʊ ʒ ʊ r a ʃ k ɯ ʒ e̞
узун	ʊ z ʊ n
уйгу	ʊ j ɢ ʊ
улуг	ʊ l ʊ ɣ
улус	ʊ l ʊ s
уруг	ʊ r ʊ ɣ
уттур	ʊ tː ʊ ɾ
федералдыг	f e̞ d e̞ ɾ äˑ l d ɤ ɣ ˗
хамаан	χ a m aː n
хамаанчок	χ a m aː n d͡ʒ ɔ q
хамааржыр	χ a m aː r ʒ ɯ r
хамаарылга	χ a m aː r ɯ ɫ ɢ a
хамык	χ a m ɯ q
хан	χ a n
харын	χ a r ɯ n
харыы	χ a r ɯː
харыылаар	χ a r ɯː l aː r
хевир	x ɛ β ɪ r
хем	k e̞ m
хем	x e̞ m
хеп	x ɛ p
херечи	x ɛ r ɛ t͡ʃ ɪ
херечилээр	x ɛ r ɛ t͡ʃ ɪ l ɛː r
херээжен	x ɛ r ɛː ʒ ɛ n
хирлиг	x ɪ r l ɪ ɣ
ховаган	χ ɔ β a ʁ a n
ховар	χ ɔ β a r
хонук	x ɔ n ʊ q
хорадаар	χ ɔ r a d aː r
хүлээдир	x ʏ l ɛ d ɪ r
хүлээкчи	x ʏ l ɛː k t͡ʃ ɪ
хүлээлге	x ʏ l ɛː l ɡ e
хүлээнир	x ʏ l ɛː n ɪ r
хүлээр	x ʏ l ɛː r
хүндү	x ʏ n d ʏ
хүрең	x ʏ r e̞ ŋ
хөгжүм	x ø ɣ ʒ ʏ m
хөй	x ø j
хөл	x ø l
хөрзүн	x ø r z ʏ n
хөөмей	x øː m e̞ j
хөөмейлээр	x øː m ɛ j l ɛː r
хөөн	x øː n
чаа	t͡ʃ aː
чагаа	t͡ʃ a ɣ aː
чадаар	t͡ʃ a d aː r
чазак	t͡ʃ a z a q
чазыг	t͡ʃ a z ɤ ɣ
чайгаар	t͡ʃ a j ɢ aː r
чалбарыыр	t͡ʃ a l b a ɾ ɤː ɾ
чамдык	t͡ʃ a m d ɯ q
чарар	t͡ʃ a r a r
чараш	t͡ʃ a r a ʃ
чаш	t͡ʃ ǎ ʃ
чедер	t͡ʃ e̞ d e̞ ɾ
чеди	t͡ʃ ɛ d ɪ
чедиги	t͡ʃ ɛ d ɪ ɣ ɪ
чер	t͡ʃ e̞ r
четтирдим	t͡ʃ e̞ tː ɪ r d ɪ m
чечек	t͡ʃ ɛ t͡ʃ ɛ k
чигир	t͡ʃ ɪ ɣ ɪ r
чидер	t͡ʃ ɪ d e̞ ɾ
чидиг	t͡ʃ ɪ d ɪ ɣ
чиир	t͡ʃ ɪː r
чиктиг	t͡ʃ ɪ k t ɪ ɣ
чогаал	t͡ʃ ɔ ʁ aː ɫ
чоок	t͡ʃ ɔː q
чоокта	t͡ʃ ɔː q t a
чорук	t͡ʃ ɔ ɾ ʊ q
чурт	t͡ʃ ʊ r t
чурттаар	t͡ʃ ʊ r tː aː r
чурук	t͡ʃ ʊ r ʊ q
чуруур	t͡ʃ ʊ r ʊː r
чыдар	t͡ʃ ɯ d a r
чылыг	t͡ʃ ɯ l ɯ ʁ
чымчак	t͡ʃ ɯ m d͡ʒ a q
чырык	t͡ʃ ɯ r ɯ q
чырыыр	t͡ʃ ɯ r ɯː r
чүве	t͡ʃ ʏ ʋ e̞
чүге	t͡ʃ ʏ ɣ e̞
чүрек	t͡ʃ ʏ r e k
чүү	t͡ʃ ʏː
чөдүрер	t͡ʃ ø d ʏ r e̞ r
шаг	ʃ a ɣ
шак	ʃ a q
шанчар	ʃ a n d͡ʒ a r
шупту	ʃ ʊ p t ʊ
шын	ʃ ɯ n
шыңган	ʃ ɯ ŋ ɢ a n
щётка	ʃː ɔ t q a
ыглаар	ɯ ɢ l aː r
ынак	ɯ n a q
ында	ɯ n d a
ындыг	ɯ n d ɯ ɣ
ыр	ɯ r
ырак	ɯ r a q
ышкаш	ɯ ʃ q a ʃ
ыыт	ɯː t
ыяш	ɯ j a ʃ
эвес	ɛ β ɛ s
эвээш	ɛ β ɛː ʃ
эгелээр	e̞ ɣ e̞ l e̞ː r
эгээ	e̞ ɣ e̞ː
экии	e̞ k ɪː
элдеп	ɛ l d ɛ p
элээн	ɛ l ɛː n
эм	e̞ m
эр	ɛ r
эрги	e̞ r ɡ ɪ
эргилзимзе	e r ɡ i l z i m z e
эргим	e̞ ɾ ɡ ɪ m
эрин	ɛ r ɪ n
эрте	ɛ r t ɛ
эртенги	ɛ ɾ t ɛ n ɡ i
эш	e̞ ʃ
эштир	e̞ ʃ t ɪ r
эът	ĕ t
ээ	ɛː
ягаан	j a ɣ aː n
январь	j a n ʋ aˑ ɾʲ
ң	ŋ
үжүк	ʏ ʒ ʏ k
үн	ʏ n
үнер	ʏ n ɛ r
үнүш	y n y ʃ
үр	ʏ r
үш	ʏ ʃ
үшкү	ʏ ʃ k ʏ
өг	ø ɣ
өкпең	ø k p e̞ ŋ
өлүр	ø l ʏ r
өлүрер	ø l ʏ r ɛ r
өршээр	ø r ʃ ɛː r
өрээл	ø r e̞ː l
өске	ø s k ɛ
өң	ø ŋ
өөредир	øː r e̞ d ɪ r
өөренир	øː r e̞ n ɪ r
