aach	ɔː x
hellblau	h ɛ l p l a ʊ̯
hellfe	h e l f ə
hellgrien	h e l k r iː n
hemm	h ɛ m
herr	h ɛ r
herrebst	h ɛ r ə p ʃ t
herz	h ɛ͡t s
hesslich	h e s l i ç
hex	h e k s
hexenacht	h e k s ə n a x t
hie	h iː
hier	h iː ɐ
himd	h i m t
himmel	h i m l̩
hochtsayt	h ɔ x t s a j t
hon	h ɔ n
hoss	h o s
hund	h u n t
hunsrickisch	h u n s r i k i ʃ
ich	i ç
ihm	iː m
ihn	iː n
ihns	iː n s
immer	i m ɐ
insel	i n s l̩
internet	i n t ɐ n e t
italje	i t a l j ə
januar	j aː n u aː
joher	j oː ɐ
johreszeid	j oː r ə s͡t s a ɪ̯ t
kamiong	k h a m i ɔ ŋ
kamm	kʰ a m
kamp	kʰ a m p
kanal	kʰ a n a l
kanale	kʰ a n a l ə
kanon	kʰ a n oː n
kanone	kʰ a n oː n ə
kapital	kʰ a p i t aː l
kapitel	kʰ a p i t l̩
kapsel	kʰ a p s l̩
kapsle	kʰ a p s l ə
karette	kʰ a r e t ə
karre	kʰ a r ə
kartoffel	kʰ a t o f l̩
kaste	kʰ a ʃ t ə
katz	kʰ a͡t s
katze	kʰ a t͡s ə
kaue	kʰ a ʊ̯ ə
kaul	k a ʊ̯ l
kech	k e x
keefer	kʰ eː f ɐ
keen	kʰ eː n
keenich	kʰ eː n i ç
keenichin	kʰ eː n i ç i n
kees	kʰ eː s
keim	kʰ a ɪ̯ m
keime	kʰ a ɪ̯ m ə
keller	kʰ e l ɐ
kellich	kʰ e l i ç
kelt	kʰ e l t
kemme	kʰ ɛ m ə
kenne	kʰ ɛ n ə
kepp	kʰ e p
kerl	kʰ ɛ l
kerle	kʰ ɛ l ə
kern	kʰ ɛ n
kerne	kʰ ɛ n ə
kerner	kʰ ɛ n ɐ
kerrich	kʰ ɛ r i ç
kerze	kʰ ɛ t͡s ə
kessel	kʰ e s l̩
kessle	kʰ e s l ə
kett	kʰ e t
kette	kʰ e t ə
kich	kʰ i ç
kiche	kʰ i ç ə
kiel	kʰ iː l
kiele	kʰ iː l ə
kih	kʰ iː
kilogramm	kʰ i l o k r a m
kilometer	kʰ i l o m eː t ɐ
kind	kʰ i n t
kinn	kʰ i n
kinner	kʰ i n ɐ
kiss	kʰ i s
kisse	kʰ i s ə
kist	kʰ i ʃ t
kiste	kʰ i ʃ t ə
kittel	kʰ i t l̩
kitzle	kʰ i t͡s l ə
klamm	k l a m
klamme	k l a m ə
klang	k l a ŋ
klappre	k l a p r ə
klarinett	k l a r i n e t
klarinette	k l a r i n e t ə
klass	k l a s
klasse	k l a s ə
klatsche	k l a t͡ʃ ə
kleen	k l eː n
kleiderschrank	k l a ɪ̯ r ɐ ʃ r a ŋ k
klemme	k l ɛ m ə
kleng	k l e ŋ
kles	k l eː s
klettre	k l e t r ə
klingel	k l i ŋ l̩
kloppe	k l o p ə
klos	k l oː s
knall	k n a l
knapp	k n a p
knaps	k n a p s
knecht	k n e ç t
knepp	k n e p
kneppe	k n e p ə
knie	k n iː
knipp	kʰ n i p
knippe	k n i p ə
knoche	k n o x ə
knopp	k n o p
knupp	kʰ n u p
koch	k o x
koche	kʰ o x ə
koffer	kʰ o f ɐ
kohl	kʰ oː l
kohle	kʰ oː l ə
kokes	kʰ oː k ə s
kolonie	kʰ o l o n iː
komisch	kʰ oː m i ʃ
komme	kʰ ɔ m ə
kommunion	kʰ o m u n i̯ oː n
kommunione	kʰ o m u n i̯ oː n ə
komputatoer	k o m p u t a t oː ɐ
konferenz	kʰ o n f ə r ɛ n t͡s
konferenze	kʰ o n f ə r ɛ n t͡s ə
konfus	k o n f uː s
konkurrenz	kʰ o ŋ k u r ɛ n t͡s
konkurrenze	kʰ o ŋ k u r ɛ n t͡s ə
konsumiere	kʰ o n s u m iː r ə
kontinent	kʰ o n t i n ɛ n t
kontinente	kʰ o n t i n ɛ n t ə
konto	kʰ o n t o
kopp	kʰ o p
korn	kʰ ɔ n
korreb	kʰ ɔ r ə p
korst	kʰ ɔ ʃ t
korste	kʰ ɔ ʃ t ə
korz	kʰ ɔ t͡s
koste	kʰ o ʃ t ə
kot	k ɔ t
kotze	kʰ o t͡s ə
kraan	k r ɔː n
krach	k r a x
krache	k r a x ə
kraft	k r a f t
krall	k r a l
kralle	k r a l ə
kramm	k r a m
krank	k r a ŋ k
kranz	k r a n s
kranz	k r a n t͡s
kratze	k r a t͡s ə
kraule	k r a ʊ̯ l ə
kraut	k r a ʊ̯ t
kravatt	k r a v a t
krebs	k r e p s
krech	k r e x
krees	k r eː s
kreft	k r e f t
kreh	k r eː
kreische	k r a ɪ̯ ʃ ə
krem	k r eː m
kreme	k r eː m ə
kremp	k r ɛ m p
krempe	k r ɛ m p ə
krepp	k r e p
kress	k r e s
kresse	k r e s ə
kriegh	k r iː ç
kriich	k ɾ iː x
kripp	k r i p
krippe	k r i p ə
krist	k r i ʃ t
kristall	k r i ʃ t a l
kristalle	k r i ʃ t a l ə
kritisch	k r iː t i ʃ
kritisiere	k r i t i s iː r ə
krokodill	k ɾ o k o t i l
kron	k r oː n
krone	k r oː n ə
kropp	k r o p
kuh	kʰ uː
kuhmist	kʰ uː m i ʃ t
kuhstall	kʰ uː ʃ t a l
kulture	kʰ u l t uː r ə
kump	kʰ u m p
kumplett	kʰ u m p l e t
kunst	kʰ u n ʃ t
kupper	kʰ u p ɐ
kurve	kʰ u r v ə
kuss	kʰ u s
kuvert	kʰ u v ɛ t
laab	l ɔː p
laade	l ɔː r ə
laafe	l ɔː f ə
laam	l ɔː m
lache	l a x ə
lamm	l a m
lamp	l a m p
lampe	l a m p ə
land	l a n t
lande	l a n t ə
landkaart	l a n t kʰ ɔː t
lang	l a ŋ
lanz	l a n s
lanz	l a n t͡s
lasse	l a s ə
latein	l a t a ɪ̯ n
lateinisch	l a t a ɪ̯ n i ʃ
laterne	l a t ɛ n ə
laus	l a ʊ̯ s
laut	l a ʊ̯ t
lecher	l e x ɐ
lechle	l e ç l ə
lecke	l e k ə
leeb	l eː p
leed	l eː t
leef	l eː f
leefer	l eː f ɐ
leen	l eː n
leer	l eː ɐ
leere	l eː r ə
leerer	l eː r ɐ
leffel	l e f l̩
lehe	l eː ə
lehm	l eː m
lehn	l eː n
lehne	l eː n ə
leib	l a ɪ̯ p
leicht	l a ɪ̯ ç t
leide	l a ɪ̯ r ə
leider	l a ɪ̯ t ɐ
leie	l a ɪ̯ ə
lein	l a ɪ̯ n
leine	l a ɪ̯ n ə
leis	l a ɪ̯ s
leist	l a ɪ̯ ʃ t
leiste	l a ɪ̯ ʃ t ə
leit	l a ɪ̯ t
leng	l ɛ ŋ
lenge	l ɛ ŋ ə
lengst	l ɛ ŋ ʃ t
lenke	l ɛ ŋ k ə
lenner	l e n ɐ
lerne	l ɛ n ə
lese	l eː s ə
leser	l eː s ɐ
letter	l e t ɐ
leve	l eː v ə
levendich	l eː v n̩ t i ç
lewer	l e v ɐ
licht	l i ç t
licht	l ɪ x t
lichter	l i ç t ɐ
lieb	l iː b
lied	l iː d
lieh	l iː
liehe	l iː ə
lieve	l iː v ə
lift	l i f t
lilje	l i l j ə
linje	l i n j ə
lins	l i n s
linse	l i n s ə
lipp	l i p
lippe	l i p ə
list	l i ʃ t
liste	l i ʃ t ə
litter	l i t ɐ
loch	l o x
lockre	l o k r ə
lohn	l oː n
lohne	l oː n ə
loja	l oː ʃ a
lojas	l oː ʃ a s
losse	l o s ə
lotterie	l o t e r iː
love	l oː v ə
luchs	l u k s
luft	l u f t
luftschiff	l u f t ʃ i f
lumpe	l u m p ə
lung	l u ŋ
lunge	l u ŋ ə
lupp	l u p
lust	l u ʃ t
lutsche	l u t͡ʃ ə
lutscher	l u t͡ʃ ɐ
luxemborrich	l u k s m̩ p ɔ r i ç
lämmer	l ɛ m ɐ
maai	m ɔː i
maale	m ɔː l ə
mache	m a x ə
macher	m a x ɐ
malaria	m a l aː r i a
malve	m a l v ə
mamma	m a m a
manga	m a ŋ k a
maniok	m a n i oː k
mann	m a n
mantel	m a n t l̩
margarin	m a r k a r iː n
masch	m a ʃ
maschin	m a ʃ iː n
maschine	m a ʃ iː n ə
mask	m a ʃ k
maske	m a ʃ k ə
mass	m a s
masse	m a s ə
massiv	m a s iː f
matematik	m a t e m a t iː k
material	m a t e r i aː l
materiale	m a t e r i aː l ə
matratze	m a t r a t͡s ə
matriculas	m a t r i k u l a s
matsch	m a t͡ʃ
matt	m a t
matte	m a t ə
mauer	m a ʊ̯ ɐ
maul	m a ʊ̯ l
maure	m a ʊ̯ r ə
maurer	m a ʊ̯ r ɐ
maus	m a ʊ̯ s
med	m eː t
mede	m eː r ə
medizin	m e t i t͡s iː n
meel	m eː l
meen	m eː n
meer	m eː ɐ
meergrien	m eː ɐ k r iː n
meiler	m a ɪ̯ l ɐ
mein	m a ɪ̯ n
meis	m a ɪ̯ s
meister	m a ɪ̯ ʃ t ɐ
melke	m e l k ə
menner	m ɛ n ɐ
mennlich	m æ n l i ç
mensch	m ɛ n ʃ
menschlich	m ɛ n ʃ l i ç
mentel	m e n t l̩
menz	m ɛ n s
menz	m ɛ n t͡s
mer	m ɐ
merz	m ɛ͡t s
messdiener	m e s t iː n a
messe	m e s ə
messer	m e s ɐ
meter	m eː t ɐ
mich	m ɪ ç
mick	m i k
micke	m i k ə
mied	m iː t
miete	m iː t ə
mih	m iː
mihe	m iː ə
mihl	m iː l
mikrofon	m i k r o f oː n
milje	m i l j ə
miller	m i l ɐ
millich	m i l i ç
millichflasch	m i l i ç f l a ʃ
millimeter	m i l i m eː t ɐ
million	m i l i̯ oː n
millione	m i l i̯ oː n ə
mils	m i l s
milse	m i l s ə
mineral	m i n ə r aː l
mineralwasser	m i n ə r aː l v a s ɐ
minister	m i n i ʃ t ɐ
minutt	m i n u t
misse	m i s ə
mission	m i s i̯ oː n
missione	m i s i̯ oː n ə
mist	m i ʃ t
mit	m i t
mitbringe	m i t p ɾ i ŋ ə
mitglied	m i t k l iː t
mitkomme	m i t kʰ ɔ m ə
mitmache	m i t m a x ə
mitsinge	m i t s i ŋ ə
mitspiele	m i t ʃ p iː l ə
mittach	m i t a x
mitte	m i t ə
mittelfinger	m i t l̩ f i ŋ ɐ
mitter	m i t ɐ
mittwoch	m i t v o x
mitz	m i t͡s
modern	m o t ɛ n
moie	m o ɪ̯ ə
mol	m oː
mol	m oː l
momente	m o m ɛ n t ə
monarkie	m o n a r k iː
monat	m oː n a t
monate	m oː n a t ə
monatlich	m oː n a t l i ç
mond	m oː n t
monde	m oː n t ə
mone	m oː n ə
montach	m oː n t a x
moos	m oː s
mos	m oː s
mote	m oː t ə
motze	m o t͡s ə
moviment	m o v i m ɛ n t
mul	m uː l
mund	m u n t
munde	m u n t ə
munizipp	m u n i t͡s i p
munizippal	m u n i t͡s i p aː l
munter	m u n t ɐ
muschel	m u ʃ l̩
muskel	m u ʃ k l̩
muskitt	m u ʃ k i t
muster	m u ʃ t ɐ
mut	m uː t
mutter	m u t ɐ
mëtall	m e t a l
naacht	n aː x t
naaghel	n ɔː x l̩
naame	n ɔː m e
naas	n ɔː s
naast	n ɔː ʃ t
nacht	n a x t
nackich	n a k i ç
nass	n a s
nativ	n a t iː f
natuer	n a tʰ uː ɐ
naus	n a ʊ̯ s
nawel	n a ʊ̯ l̩
nazi	n a ː͡t s i
nazion	n a t͡s i̯ oː n
nazione	n a t͡s i̯ oː n ə
nazisdisch	n a͡t s i s t i ʃ
nazismus	n a͡t s i s m u s
necht	n e ç t
ned	n eː t
nedich	n eː r i ç
nee	n eː
neere	n eː r ə
neh	n eː
nehe	n eː ə
neher	n eː ɐ
nei	n a ɪ̯
neid	n a ɪ̯ t
nein	n a ɪ̯ n
neint	n a ɪ̯ n t
neinzen	n a ɪ̯ n͡t s n̩
neinzich	n a ɪ̯ n t͡s i ç
nemme	n ɛ m ə
nenne	n ɛ n ə
neongrien	n eː ɔ n k r iː n
nest	n e ʃ t
net	n e t
netz	n e t͡s
newel	n e v l̩
nichter	n i ç t ɐ
nickel	n i k l̩
nie	n iː
nier	n iː ɐ
niere	n iː r ə
niese	n iː s ə
nin	n i n
niss	n i s
nist	n i ʃ t
nister	n i ʃ t ɐ
nitter	n i t ɐ
nitterlande	n i t ɐ l a n t ə
noch	n o x
nochber	n o x p a
nod	n oː t
nodwennich	n oː t v ɛ n i ç
nommol	n ɔ m oː
nommol	n ɔ m oː l
norde	n ɔ t ə
nore	n oː r ə
normal	n o r m aː l
not	n oː t
note	n oː t ə
notel	n oː t l̩
nuff	n u f
null	n u l
nummer	n u m ɐ
nunner	n u n ɐ
nuss	n u s
nutel	n uː t l̩
nutze	n u t͡s ə
obwohl	oː p v oː l
ochs	o k s
ochse	o k s ə
odder	o r ɐ
oder	oː r ɐ
oft	o f t
ohne	oː n ə
ohre	oː r ə
omelett	o m e l e t
onkel	ɔ ŋ k l̩
onnibus	ɔ n i p u s
ool	oː l
oostre	oː ʃ t r ə
ooze	oː t͡s ə
opfer	o p f ɐ
opfre	o p f r ə
orde	ɔ t ə
ordne	ɔ t n ə
ordnung	ɔ t n u ŋ
oste	o ʃ t ə
ove	oː v ə
ovend	oː m t
ovend	oː v n̩ t
paar	pʰ ɔː
packe	pʰ a k ə
paliasse	pʰ a l i̯ a s ə
palme	pʰ a l m ə
pann	pʰ a n
panne	pʰ a n ə
panz	pʰ a n s
panz	pʰ a n t͡s
papier	pʰ a p iː ɐ
papiere	pʰ a p iː r ə
parent	pʰ a r ɛ n t
parente	pʰ a r ɛ n t ə
partikular	pʰ a t i k u l aː r
patent	pʰ a t ɛ n t
patente	pʰ a t ɛ n t ə
patt	pʰ a t
pausa	pʰ a ʊ̯ s a
pause	pʰ a ʊ̯ s ə
peck	pʰ e k
peepst	pʰ eː p ʃ t
peffer	pʰ e f ɐ
peffermenz	pʰ e f ɐ m ɛ n s
peffermenz	pʰ e f ɐ m ɛ n t͡s
peif	pʰ a ɪ̯ f
peil	pʰ a ɪ̯ l
peiler	pʰ a ɪ̯ l ɐ
pein	pʰ a ɪ̯ n
peine	pʰ a ɪ̯ n ə
perl	pʰ ɛ l
perle	pʰ ɛ l ə
persche	pʰ ɛ ʃ ə
person	pʰ ɛ s oː n
persone	pʰ ɛ s oː n ə
pest	pʰ e ʃ t
petze	pʰ e t͡s ə
piano	pʰ i aː n o
pianos	pʰ i aː n o s
picke	pʰ i k ə
piff	pʰ i f
pihl	pʰ iː l
pill	pʰ i l
pille	pʰ i l ə
pisin	pʰ i s iː n
piss	pʰ i s
pisse	pʰ i s ə
pitsch	pʰ i t͡ʃ
pizza	p i t͡s a
pizzas	p i t͡s a s
planet	p l a n eː t
planete	p l a n eː t ə
planz	p l a n s
planz	p l a n t͡s
platt	p l a t
platte	p l a t ə
platz	p l a t͡s
platze	p l a t͡s ə
pnëu	p n e ʊ̯
polack	pʰ o l a k
polacke	pʰ o l a k ə
pole	pʰ oː l ə
polente	pʰ o l ɛ n t ə
poliere	pʰ o l iː r ə
politik	pʰ o l i t iː k
politiker	pʰ o l iː t i k ɐ
politisch	pʰ o l iː t i ʃ
polnisch	pʰ o l n i ʃ
pomata	pʰ o m aː t a
portugal	pʰ o r t u k aː l
portugiesisch	pʰ o r t u k iː s i ʃ
poste	pʰ o ʃ t ə
praia	p r a ɪ̯ a
praias	p r a ɪ̯ a s
praktisch	p r a k t i ʃ
praut	p ɾ a ʊ̯ t
preis	p r a ɪ̯ s
priester	p r iː ʃ t ɐ
prim	p r iː m
prime	p r iː m ə
prinz	p r i n s
prinz	p r i n t͡s
prinzessin	p r i n t͡s e s i n
prisong	p r i s ɔ ŋ
problem	p r o p l eː m
problematisch	p r o p l ə m aː t i ʃ
profeet	p r o f eː t
pronome	p r o n oː m ə
prozent	p r o t͡s ɛ n t
prozess	p r o t͡s e s
puer	pʰ uː ɐ
puffe	pʰ u f ə
puhl	pʰ uː l
pulisse	p u l i s ə
pulver	pʰ u l v ɐ
pumpe	pʰ u m p e
pumpe	pʰ u m p ə
punkt	pʰ u ŋ k t
putsch	pʰ u t͡ʃ
putting	pʰ u t i ŋ
quarz	k w a t͡s
quatsche	k w a t͡ʃ ə
quele	k w eː l ə
quelle	k w e l ə
radio	r aː t i̯ o
radios	r aː t i̯ o s
rand	r a n t
rang	r a ŋ
range	r a ŋ ə
rangle	r a ŋ l ə
ransch	r a n ʃ
ranschegelleb	r a n ʃ ə k e l ə p
rappe	r a p ə
rass	r a s
rasse	r a s ə
ratt	r a t
ratte	r a t ə
rau	r a ʊ̯
raub	r a ʊ̯ p
rauche	r a ʊ̯ x ə
raucher	r a ʊ̯ x ɐ
raum	r a ʊ̯ m
raume	r a ʊ̯ m ə
rausche	r a ʊ̯ ʃ ə
rechne	r e ç n ə
rechnung	r e ç n u ŋ
recht	r e ç t
rechts	r e ç t͡s
reck	r e k
rees	r eː s
reese	r eː s ə
reffe	r e f ə
reh	r eː
rehn	r eː n
rehne	r eː n ə
rei	r a ɪ̯
reiche	r a ɪ̯ ç ə
reichre	r a ɪ̯ ç r ə
reif	r a ɪ̯ f
reife	r a ɪ̯ f ə
reim	r a ɪ̯ m
reis	r a ɪ̯ s
reise	r a ɪ̯ s ə
reive	r a ɪ̯ v ə
renne	r ɛ n ə
renner	r e n ɐ
repple	r e p l ə
rest	r e ʃ t
rester	r e ʃ t ɐ
rette	r e t ə
retter	r e t ɐ
rettung	r e t u ŋ
richte	r i ç t ə
richter	r i ç t ɐ
richtung	r i ç t u ŋ
ricke	r i k ə
rieche	r iː ç ə
rind	r i n t
rindfleisch	r i n t f l a ɪ̯ ʃ
ring	r i ŋ
ringfinger	r i ŋ f i ŋ ɐ
rinner	r i n ɐ
rio	r iː o
rios	r iː o s
ripp	r i p
rippe	r i p ə
riss	r i s
ritz	r i t͡s
ritze	r i t͡s ə
riwle	r i v l ə
rock	r o k
rod	r oː t
rode	r oː r ə
roh	r oː
roll	r o l
rolle	r o l ə
romantik	r o m a n t i k
roppe	r o p ə
ros	r oː s
rosch	r o ʃ
rose	r oː s ə
roserod	r oː z ə r oː t
ross	r o s
rosse	r o s ə
rost	r o ʃ t
rotz	r o t͡s
ruf	r uː f
rufe	r uː f ə
ruh	r uː
ruhe	r uː ə
russ	r u s
russe	r u s ə
russisch	r u s i ʃ
russland	r u s l a n t
rut	r uː t
rute	r uː t ə
rëghiere	r e ç iː r ə
rëghierung	r e ç iː r u ŋ
rëghion	r e ç i oː n
rëlighion	r e l i ç i̯ o n
rëmorss	r e m ɔ s
saan	s ɔː n
sach	s a x
sache	s a x ə
sack	s a k
sacolas	s a k o l a s
sakrament	s a k r a m ɛ n t
sals	s a l s
salse	s a l s e
salsich	s a l s i ç
sammle	s a m l ə
sammlung	s a m l u ŋ
sand	s a n t
sandfloh	s a n t f l oː
sardin	s a t iː n
sardine	s a t iː n ə
satellit	s a t ə l iː t
satellite	s a t ə l iː t ə
sattel	s a t l̩
satz	s a t͡s
sau	s a ʊ̯
sauer	s a ʊ̯ ɐ
saufe	s a ʊ̯ f ə
saure	s a ʊ̯ r ə
sauver	s a ʊ̯ v ɐ
scha	ʃ aː
schaal	ʃ ɔː l
schaam	ʃ ɔː m
schach	ʃ a x
schachtel	ʃ a x t l̩
schaffe	ʃ a f ə
schall	ʃ a l
schalle	ʃ a l ə
schapong	ʃ a p ɔ ŋ
schatte	ʃ a t ə
schatz	ʃ a t͡s
schaum	ʃ a ʊ̯ m
scheed	ʃ eː t
scheele	ʃ eː l ə
scheen	ʃ eː n
schein	ʃ a ɪ̯ n
scheine	ʃ a ɪ̯ n ə
schell	ʃ e l
schelle	ʃ e l ə
scheme	ʃ eː m ə
schenker	ʃ ɛ ŋ k ɐ
scherz	ʃ ɛ t͡s
scherze	ʃ ɛ t͡s ə
schetz	ʃ e t͡s
schicht	ʃ i ç t
schichte	ʃ i ç t ə
schicke	ʃ i k ə
schiff	ʃ i f
schild	ʃ i l t
schiller	ʃ i l ɐ
schipp	ʃ i p
schippe	ʃ i p ə
schiss	ʃ i s
schissel	ʃ i s l̩
schisser	ʃ i s ɐ
schissle	ʃ i s l ə
schlaa	ʃ l ɔː
schlachte	ʃ l a x t ə
schlachtung	ʃ l a x t u ŋ
schlang	ʃ l a ŋ
schlange	ʃ l a ŋ ə
schlank	ʃ l a ŋ k
schlapp	ʃ l a p
schlappe	ʃ l a p ə
schlau	ʃ l a ʊ̯
schlecht	ʃ l e ç t
schleier	ʃ l a ɪ̯ ɐ
schleim	ʃ l a ɪ̯ m
schlepp	ʃ l e p
schleppe	ʃ l e p ə
schlesser	ʃ l e s ɐ
schlick	ʃ l i k
schlicke	ʃ l i k ə
schliese	ʃ l iː s ə
schlitz	ʃ l i t͡s
schlitze	ʃ l i t͡s ə
schlof	ʃ l oː f
schlofe	ʃ l oː f ə
schloss	ʃ l o s
schlott	ʃ l o t
schluck	ʃ l u k
schmaal	ʃ m ɔː l
schmecke	ʃ m e k ə
schmelze	ʃ m e l t͡s ə
schmetterling	ʃ m e t ɐ l i ŋ
schmier	ʃ m iː ɐ
schmitt	ʃ m i t
schmuck	ʃ m u k
schmutz	ʃ m u͡t s
schnall	ʃ n a l
schnalle	ʃ n a l ə
schnaps	ʃ n a p s
schneck	ʃ n e k
schnecke	ʃ n e k ə
schnee	ʃ n eː
schneemann	ʃ n eː m a n
schnees	ʃ n eː s
schneid	ʃ n a ɪ̯ t
schneide	ʃ n a ɪ̯ r ə
