'tain	t ɛ̃
abasourdiriez	a b a z u ʁ d i ʁ j e
abasourdirions	a b a z u ʁ d i ʁ j ɔ̃
abasourdirons	a b a z u ʁ d i ʁ ɔ̃
abasourdiront	a b a z u ʁ d i ʁ ɔ̃
abasourdissaient	a b a z u ʁ d i s ɛ
abasourdissais	a b a z u ʁ d i s ɛ
abasourdissait	a b a z u ʁ d i s ɛ
abasourdissant	a b a z u ʁ d i s ɑ̃
abasourdisse	a b a z u ʁ d i s
abasourdissement	a b a z u ʁ d i s m ɑ̃
abasourdissent	a b a z u ʁ d i s
abasourdisses	a b a z u ʁ d i s
abasourdissez	a b a z u ʁ d i s e
abasourdissiez	a b a z u ʁ d i s j e
abasourdissions	a b a z u ʁ d i s j ɔ̃
abasourdissons	a b a z u ʁ d i s ɔ̃
abasourdit	a b a z u ʁ d i
abasourdîmes	a b a z u ʁ d i m
abasourdît	a b a z u ʁ d i
abasourdîtes	a b a z u ʁ d i t
abat	a b a
abattage	a b a t a ʒ
abattement	a b a t m ɑ̃
abatteur	a b a t œ ʁ
abatteurs	a b a t œ ʁ
abatteuse	a b a t ø z
abattis	a b a t i
abattoir	a b a t w a ʁ
abattre	a b a t ʁ
abaxial	a b a k s j a l
abaya	a b a j a
abbaroise	a b a ʁ w a z
abbasside	a b a s i d
abbatial	a b a s j a l
abbaye	a b e i
abbaye	a b ɛ i
abbecourtoise	a b k u ʁ t w a z
abbenanaise	a b e n a n ɛ z
abbesse	a b ɛ s
abbeville	a b v i l
abbeville	b e v i l
abbevillois	a b v i l w a
abbevilloise	a b v i l w a z
abby	a b i
abbé	a b e
abbécourtoise	a b e k u ʁ t w a z
abc	a b e s e
abcès	a p s ɛ
abcéder	a p s e d e
abdias	a b d j ɑ
abdication	a b d i k a s j ɔ̃
abdicatives	a b d i k a t i v
abdique	a b d i k
abdiquer	a b d i k e
abdiques	a b d i k
abdo	a b d o
abdomen	a b d ɔ m ɛ n
abdominal	a b d ɔ m i n a l
abdominale	a b d ɔ m i n a l
abdominales	a b d ɔ m i n a l
abdominaux	a b d ɔ m i n o
abdos	a b d o
abdoul	a b d u l
abdoulaye	a b d u l a i
abdoulla	a b d u l a
abducteur	a b d y k t œ ʁ
abductif	a b d y k t i f
abduction	a b d y k s j ɔ̃
abductions	a b d y k s j ɔ̃
abeau	a b o
abeilardiser	a b ɛ l a ʁ d i z e
abeille	a b ɛ j
abeille	a b ɛː j
abeilles	a b ɛ j
abeillée	a b ɛ j e
abel	a b ɛ l
abelin	a b l ɛ̃
abelone	a b l ɔ n
aberdeen	a b ɛ ʁ d i n
aberra	a b ɛ ʁ a
aberrai	a b ɛ ʁ e
aberraient	a b ɛ ʁ ɛ
aberrais	a b ɛ ʁ ɛ
aberrait	a b ɛ ʁ ɛ
aberrance	a b ɛ ʁ ɑ̃ s
aberrant	a b ɛ ʁ ɑ̃
aberrante	a b ɛ ʁ ɑ̃ t
aberrantes	a b ɛ ʁ ɑ̃ t
aberrants	a b ɛ ʁ ɑ̃
aberras	a b ɛ ʁ ɑ
aberrasse	a b ɛ ʁ a s
aberrassent	a b ɛ ʁ a s
aberrasses	a b ɛ ʁ a s
aberrassiez	a b ɛ ʁ a s j e
aberrassions	a b ɛ ʁ a s j ɔ̃
aberration	a b ɛ ʁ a s j ɔ̃
aberrations	a b ɛ ʁ a s j ɔ̃
aberre	a b ɛ ʁ
aberrent	a b ɛ ʁ
aberrera	a b ɛ ʁ ə ʁ a
aberrerai	a b ɛ ʁ ə ʁ e
aberreraient	a b ɛ ʁ ə ʁ ɛ
aberrerais	a b ɛ ʁ ə ʁ ɛ
aberrerait	a b ɛ ʁ ə ʁ ɛ
aberreras	a b ɛ ʁ ə ʁ ɑ
aberrerez	a b ɛ ʁ ə ʁ e
aberreriez	a b ɛ ʁ ə ʁ j e
aberrerions	a b ɛ ʁ ə ʁ j ɔ̃
aberrerons	a b ɛ ʁ ə ʁ ɔ̃
aberreront	a b ɛ ʁ ə ʁ ɔ̃
aberres	a b ɛ ʁ
aberrez	a b ɛ ʁ e
aberriez	a b ɛ ʁ j e
aberrions	a b ɛ ʁ j ɔ̃
aberrons	a b ɛ ʁ ɔ̃
aberrâmes	a b ɛ ʁ ɑ m
aberrât	a b ɛ ʁ ɑ
aberrâtes	a b ɛ ʁ ɑ t
aberrèrent	a b ɛ ʁ ɛ ʁ
aberré	a b ɛ ʁ e
abessif	a b e s i f
abessif	a b ɛ s i f
abeurver	a b œ ʁ v e
abhorrer	a b ɔ ʁ e
abidjan	a b i d ʒ ɑ̃
abies	a b j ɛ s
abigéat	a b i ʒ e a
abime	a b i m
abiétinée	a b j e t i n e
abject	a b ʒ ɛ k t
abjection	a b ʒ ɛ k s j ɔ̃
abjuration	a b ʒ y ʁ a s j ɔ̃
abjurer	a b ʒ y ʁ e
abkhazie	a p k a z i
ablater	a b l a t e
ablatif	a b l a t i f
ablative	a b l a t i v
ableret	a b l ə ʁ ɛ
ablette	a b l ɛ t
ablier	a b l i j e
abnégation	a b n e ɡ a s j ɔ̃
aboi	a b w a
aboiement	a b w a m ɑ̃
aboiteau	a b w a t o
aboli	a b ɔ l i
abolir	a b ɔ l i ʁ
abolissable	a b ɔ l i s a b l
abolissables	a b ɔ l i s a b l
abolition	a b ɔ l i s j ɔ̃
abolitionnisme	a b ɔ l i s j ɔ n i s m
abolitionnismes	a b ɔ l i s j ɔ n i s m
abolitionniste	a b ɔ l i s j ɔ n i s t
abomey	a b ɔ m ɛ
abomiffreuse	a b ɔ m i f ʁ ø z
abomina	a b ɔ m i n a
abominable	a b ɔ m i n a b l
abominables	a b ɔ m i n a b l
abominai	a b ɔ m i n e
abominaient	a b ɔ m i n ɛ
abominais	a b ɔ m i n ɛ
abominait	a b ɔ m i n ɛ
abominant	a b ɔ m i n ɑ̃
abominas	a b ɔ m i n ɑ
abominasse	a b ɔ m i n a s
abominassent	a b ɔ m i n a s
abominasses	a b ɔ m i n a s
abominassiez	a b ɔ m i n a s j e
abominassions	a b ɔ m i n a s j ɔ̃
abomination	a b ɔ m i n a s j ɔ̃
abomine	a b ɔ m i n
abominent	a b ɔ m i n
abominer	a b ɔ m i n e
abominera	a b ɔ m i n ʁ a
abominerai	a b ɔ m i n ʁ e
abomineraient	a b ɔ m i n ʁ ɛ
abominerais	a b ɔ m i n ʁ ɛ
abominerait	a b ɔ m i n ʁ ɛ
abomineras	a b ɔ m i n ʁ ɑ
abominerez	a b ɔ m i n ʁ e
abomineriez	a b ɔ m i n ə ʁ j e
abominerions	a b ɔ m i n ə ʁ j ɔ̃
abominerons	a b ɔ m i n ʁ ɔ̃
abomineront	a b ɔ m i n ʁ ɔ̃
abomines	a b ɔ m i n
abominez	a b ɔ m i n e
abominiez	a b ɔ m i n j e
abominions	a b ɔ m i n j ɔ̃
abominons	a b ɔ m i n ɔ̃
abominâmes	a b ɔ m i n ɑ m
abominât	a b ɔ m i n ɑ
abominâtes	a b ɔ m i n ɑ t
abominèrent	a b ɔ m i n ɛ ʁ
abominé	a b ɔ m i n e
abondamment	a b ɔ̃ d a m ɑ̃
abondance	a b ɔ̃ d ɑ̃ s
abondant	a b ɔ̃ d ɑ̃
abondement	a b ɔ̃ d m ɑ̃
abonder	a b ɔ̃ d e
abonnement	a b ɔ n m ɑ̃
abonner	a b ɔ n e
abonni	a b ɔ n i
abonnira	a b ɔ n i ʁ a
abonnirai	a b ɔ n i ʁ e
abonniraient	a b ɔ n i ʁ ɛ
abonnirais	a b ɔ n i ʁ ɛ
abonnirait	a b ɔ n i ʁ ɛ
abonniras	a b ɔ n i ʁ ɑ
abonnirent	a b ɔ n i ʁ
abonnirez	a b ɔ n i ʁ e
abonniriez	a b ɔ n i ʁ j e
abonnirions	a b ɔ n i ʁ j ɔ̃
abonnirons	a b ɔ n i ʁ ɔ̃
abonniront	a b ɔ n i ʁ ɔ̃
abonnis	a b ɔ n i
abonnissaient	a b ɔ n i s ɛ
abonnissais	a b ɔ n i s ɛ
abonnissait	a b ɔ n i s ɛ
abonnissant	a b ɔ n i s ɑ̃
abonnisse	a b ɔ n i s
abonnissement	a b ɔ n i s m ɑ̃
abonnissent	a b ɔ n i s
abonnisses	a b ɔ n i s
abonnissez	a b ɔ n i s e
abonnissiez	a b ɔ n i s j e
abonnissions	a b ɔ n i s j ɔ̃
abonnissons	a b ɔ n i s ɔ̃
abonnit	a b ɔ n i
abonné	a b ɔ n e
abonnîmes	a b ɔ n i m
abonnît	a b ɔ n i
abonnîtes	a b ɔ n i t
abord	a b ɔ ʁ
abordable	a b ɔ ʁ d a b l
abordables	a b ɔ ʁ d a b l
aborder	a b ɔ ʁ d e
abordeur	a b ɔ ʁ d œ ʁ
aborigène	a b ɔ ʁ i ʒ ɛ n
aborner	a b ɔ ʁ n e
abornerait	a b ɔ ʁ n ə ʁ ɛ
abot	a b o
aboteau	a b ɔ t o
abou	a b u
aboudabienne	a b u d a b j ɛ n
aboudhabienne	a b u d a b j ɛ n
abougrie	a b u ɡ ʁ i
abouler	a b u l e
aboutir	a b u t i ʁ
aboutira	a b u t i ʁ a
aboutirai	a b u t i ʁ e
aboutiraient	a b u t i ʁ ɛ
aboutirais	a b u t i ʁ ɛ
aboutirait	a b u t i ʁ ɛ
aboutiras	a b u t i ʁ ɑ
aboutirent	a b u t i ʁ
aboutirez	a b u t i ʁ e
aboutiriez	a b u t i ʁ j e
aboutirions	a b u t i ʁ j ɔ̃
aboutirons	a b u t i ʁ ɔ̃
aboutiront	a b u t i ʁ ɔ̃
aboutis	a b u t i
aboutissaient	a b u t i s ɛ
aboutissais	a b u t i s ɛ
aboutissait	a b u t i s ɛ
aboutissant	a b u t i s ɑ̃
aboutisse	a b u t i s
aboutissement	a b u t i s m ɑ̃
aboutissent	a b u t i s
aboutisses	a b u t i s
aboutissez	a b u t i s e
aboutissiez	a b u t i s j e
aboutissions	a b u t i s j ɔ̃
aboutissons	a b u t i s ɔ̃
aboutit	a b u t i
aboutîmes	a b u t i m
aboutît	a b u t i
aboutîtes	a b u t i t
aboyer	a b w a j e
abracadabra	a b ʁ a k a d a b ʁ a
abracadabrant	a b ʁ a k a d a b ʁ ɑ̃
abracadabrantesque	a b ʁ a k a d a b ʁ ɑ̃ t ɛ s k
abraham	a b ʁ a a m
abrasa	a b ʁ a z a
abrasai	a b ʁ a z e
abrasaient	a b ʁ a z ɛ
abrasais	a b ʁ a z ɛ
abrasait	a b ʁ a z ɛ
abrasant	a b ʁ a z ɑ̃
abrasas	a b ʁ a z ɑ
abrasasse	a b ʁ a z a s
abrasassent	a b ʁ a z a s
abrasasses	a b ʁ a z a s
abrasassiez	a b ʁ a z a s j e
abrasassions	a b ʁ a z a s j ɔ̃
abrase	a b ʁ a z
abrasent	a b ʁ a z
abraser	a b ʁ a z e
abrasera	a b ʁ a z ʁ a
abraserai	a b ʁ a z ʁ e
abraseraient	a b ʁ a z ʁ ɛ
abraserais	a b ʁ a z ʁ ɛ
abraserait	a b ʁ a z ʁ ɛ
abraseras	a b ʁ a z ʁ ɑ
abraserez	a b ʁ a z ʁ e
abraseriez	a b ʁ a z ə ʁ j e
abraserions	a b ʁ a z ə ʁ j ɔ̃
abraserons	a b ʁ a z ʁ ɔ̃
abraseront	a b ʁ a z ʁ ɔ̃
abrases	a b ʁ a z
abrasez	a b ʁ a z e
abrasiez	a b ʁ a z j e
abrasif	a b ʁ a z i f
abrasons	a b ʁ a z ɔ̃
abrasâmes	a b ʁ a z ɑ m
abrasât	a b ʁ a z ɑ
abrasâtes	a b ʁ a z ɑ t
abrasèrent	a b ʁ a z ɛ ʁ
abrasé	a b ʁ a z e
abreuver	a b ʁ œ v e
abreuvoir	a b ʁ œ v w a ʁ
abri	a b ʁ i
abria	a b ʁ i j a
abrias	a b ʁ i j a
abribus	a b ʁ i b y s
abricot	a b ʁ i k o
abricotier	a b ʁ i k ɔ t j e
abricotine	a b ʁ i k ɔ t i n
abricoté	a b ʁ i k ɔ t e
abrier	a b ʁ i j e
abris	a b ʁ i
abriter	a b ʁ i t e
abrivent	a b ʁ i v ɑ̃
abriât	a b ʁ i j a
abrogation	a b ʁ ɔ ɡ a s j ɔ̃
abrogatrice	a b ʁ ɔ ɡ a t ʁ i s
abroge	a b ʁ ɔ ʒ
abrogea	a b ʁ ɔ ʒ a
abrogeable	a b ʁ ɔ ʒ a b l
abrogeables	a b ʁ ɔ ʒ a b l
abrogeai	a b ʁ ɔ ʒ e
abrogeaient	a b ʁ ɔ ʒ ɛ
abrogeais	a b ʁ ɔ ʒ ɛ
abrogeait	a b ʁ ɔ ʒ ɛ
abrogeant	a b ʁ ɔ ʒ ɑ̃
abrogeas	a b ʁ ɔ ʒ ɑ
abrogeasse	a b ʁ ɔ ʒ a s
abrogeassent	a b ʁ ɔ ʒ a s
abrogeasses	a b ʁ ɔ ʒ a s
abrogeassiez	a b ʁ ɔ ʒ a s j e
abrogeassions	a b ʁ ɔ ʒ a s j ɔ̃
abrogent	a b ʁ ɔ ʒ
abrogeons	a b ʁ ɔ ʒ ɔ̃
abroger	a b ʁ ɔ ʒ e
abrogera	a b ʁ ɔ ʒ ʁ a
abrogerai	a b ʁ ɔ ʒ ʁ e
abrogeraient	a b ʁ ɔ ʒ ʁ ɛ
abrogerais	a b ʁ ɔ ʒ ʁ ɛ
abrogerait	a b ʁ ɔ ʒ ʁ ɛ
abrogeras	a b ʁ ɔ ʒ ʁ ɑ
abrogerez	a b ʁ ɔ ʒ ʁ e
abrogeriez	a b ʁ ɔ ʒ ə ʁ j e
abrogerions	a b ʁ ɔ ʒ ə ʁ j ɔ̃
abrogerons	a b ʁ ɔ ʒ ʁ ɔ̃
abrogeront	a b ʁ ɔ ʒ ʁ ɔ̃
abroges	a b ʁ ɔ ʒ
abrogez	a b ʁ ɔ ʒ e
abrogeâmes	a b ʁ ɔ ʒ ɑ m
abrogeât	a b ʁ ɔ ʒ ɑ
abrogeâtes	a b ʁ ɔ ʒ ɑ t
abrogiez	a b ʁ ɔ ʒ j e
abrogions	a b ʁ ɔ ʒ j ɔ̃
abrogèrent	a b ʁ ɔ ʒ ɛ ʁ
abrogé	a b ʁ ɔ ʒ e
abrouti	a b ʁ u t i
abroutir	a b ʁ u t i ʁ
abroutira	a b ʁ u t i ʁ a
abroutirai	a b ʁ u t i ʁ e
abroutiraient	a b ʁ u t i ʁ ɛ
abroutirais	a b ʁ u t i ʁ ɛ
abroutirait	a b ʁ u t i ʁ ɛ
abroutiras	a b ʁ u t i ʁ ɑ
abroutirent	a b ʁ u t i ʁ
abroutirez	a b ʁ u t i ʁ e
abroutiriez	a b ʁ u t i ʁ j e
abroutirions	a b ʁ u t i ʁ j ɔ̃
abroutirons	a b ʁ u t i ʁ ɔ̃
abroutiront	a b ʁ u t i ʁ ɔ̃
abroutis	a b ʁ u t i
abroutissaient	a b ʁ u t i s ɛ
abroutissais	a b ʁ u t i s ɛ
abroutissait	a b ʁ u t i s ɛ
abroutissant	a b ʁ u t i s ɑ̃
abroutisse	a b ʁ u t i s
abroutissent	a b ʁ u t i s
abroutisses	a b ʁ u t i s
abroutissez	a b ʁ u t i s e
abroutissiez	a b ʁ u t i s j e
abroutissions	a b ʁ u t i s j ɔ̃
abroutissons	a b ʁ u t i s ɔ̃
abroutit	a b ʁ u t i
abroutîmes	a b ʁ u t i m
abroutît	a b ʁ u t i
abroutîtes	a b ʁ u t i t
abrupt	a b ʁ y p t
abruptement	a b ʁ y p t ə m ɑ̃
abruti	a b ʁ y t i
abrutira	a b ʁ y t i ʁ a
abrutirai	a b ʁ y t i ʁ e
abrutiraient	a b ʁ y t i ʁ ɛ
abrutirais	a b ʁ y t i ʁ ɛ
abrutirait	a b ʁ y t i ʁ ɛ
abrutiras	a b ʁ y t i ʁ ɑ
abrutirent	a b ʁ y t i ʁ
abrutirez	a b ʁ y t i ʁ e
abrutiriez	a b ʁ y t i ʁ j e
abrutirions	a b ʁ y t i ʁ j ɔ̃
abrutirons	a b ʁ y t i ʁ ɔ̃
abrutiront	a b ʁ y t i ʁ ɔ̃
abrutis	a b ʁ y t i
abrutissaient	a b ʁ y t i s ɛ
abrutissais	a b ʁ y t i s ɛ
abrutissait	a b ʁ y t i s ɛ
abrutissant	a b ʁ y t i s ɑ̃
abrutisse	a b ʁ y t i s
abrutissent	a b ʁ y t i s
abrutisses	a b ʁ y t i s
abrutissez	a b ʁ y t i s e
abrutissiez	a b ʁ y t i s j e
abrutissions	a b ʁ y t i s j ɔ̃
abrutissons	a b ʁ y t i s ɔ̃
abrutit	a b ʁ y t i
abrutîmes	a b ʁ y t i m
abrutît	a b ʁ y t i
abrutîtes	a b ʁ y t i t
abruzzes	a b ʁ y z
abrègement	a b ʁ ɛ ʒ m ɑ̃
abréagi	a b ʁ e a ʒ i
abréagir	a b ʁ e a ʒ i ʁ
abréagira	a b ʁ e a ʒ i ʁ a
abréagirai	a b ʁ e a ʒ i ʁ e
abréagiraient	a b ʁ e a ʒ i ʁ ɛ
abréagirais	a b ʁ e a ʒ i ʁ ɛ
abréagirait	a b ʁ e a ʒ i ʁ ɛ
abréagiras	a b ʁ e a ʒ i ʁ ɑ
abréagirent	a b ʁ e a ʒ i ʁ
abréagirez	a b ʁ e a ʒ i ʁ e
abréagiriez	a b ʁ e a ʒ i ʁ j e
abréagirions	a b ʁ e a ʒ i ʁ j ɔ̃
abréagirons	a b ʁ e a ʒ i ʁ ɔ̃
abréagiront	a b ʁ e a ʒ i ʁ ɔ̃
abréagis	a b ʁ e a ʒ i
abréagissaient	a b ʁ e a ʒ i s ɛ
abréagissais	a b ʁ e a ʒ i s ɛ
abréagissait	a b ʁ e a ʒ i s ɛ
abréagissant	a b ʁ e a ʒ i s ɑ̃
abréagisse	a b ʁ e a ʒ i s
abréagissent	a b ʁ e a ʒ i s
abréagisses	a b ʁ e a ʒ i s
abréagissez	a b ʁ e a ʒ i s e
abréagissiez	a b ʁ e a ʒ i s j e
abréagissions	a b ʁ e a ʒ i s j ɔ̃
abréagissons	a b ʁ e a ʒ i s ɔ̃
abréagit	a b ʁ e a ʒ i
abréagîmes	a b ʁ e a ʒ i m
abréagît	a b ʁ e a ʒ i
abréagîtes	a b ʁ e a ʒ i t
abrégement	a b ʁ ɛ ʒ m ɑ̃
abréger	a b ʁ e ʒ e
abrégé	a b ʁ e ʒ e
abréviateur	a b ʁ e v j a t œ ʁ
abréviation	a b ʁ e v j a s j ɔ̃
abrévier	a b ʁ e v j e
abréviez	a b ʁ e v j e
abs	a b e ɛ s
abscisse	a p s i s
abscission	a p s i s j ɔ̃
abscondre	a p s k ɔ̃ d ʁ
abscons	a p s k ɔ̃
absconse	a p s k ɔ̃ s
absence	a p s ɑ̃ s
absent	a p s ɑ̃
absenter	a p s ɑ̃ t e
absents	a p s ɑ̃
abside	a p s i d
absidial	a p s i d j a l
absidiale	a p s i d j a l
absinthe	a p s ɛ̃ t
absinthée	a p s ɛ̃ t e
absolu	a p s ɔ l y
absolue	a p s ɔ l y
absolues	a p s ɔ l y
absolument	a p s ɔ l y m ɑ̃
absolus	a p s ɔ l y
absolution	a p s ɔ l y s j ɔ̃
absolutisme	a p s ɔ l y t i s m
absolutrice	a p s ɔ l y t ʁ i s
absorbable	a p s ɔ ʁ b a b l
absorbant	a p s ɔ ʁ b ɑ̃
absorbent	a p s ɔ ʁ b ɑ̃
absorber	a p s ɔ ʁ b e
absorption	a p s ɔ ʁ p s j ɔ̃
absorptivité	a p s ɔ ʁ p t i v i t e
absoudre	a p s u d ʁ
absous	a p s u
absout	a p s u
abstenir	a p s t ə n i ʁ
abstention	a p s t ɑ̃ s j ɔ̃
abstinent	a p s t i n ɑ̃
abstraction	a p s t ʁ a k s j ɔ̃
abstractionnisme	a p s t ʁ a k s j ɔ n i s m
abstractionnismes	a p s t ʁ a k s j ɔ n i s m
abstractions	a p s t ʁ a k s j ɔ̃
abstraire	a p s t ʁ ɛ ʁ
abstrait	a p s t ʁ ɛ
abstrus	a p s t ʁ y
abstème	a p s t ɛ m
absurde	a p s y ʁ d
absurdement	a p s y ʁ d ə m ɑ̃
absurdie	a p s y ʁ d i
absurdité	a p s y ʁ d i t e
abus	a b y
abusa	a b y z a
abusai	a b y z e
abusaient	a b y z ɛ
abusais	a b y z ɛ
abusait	a b y z ɛ
abusant	a b y z ɑ̃
abusas	a b y z ɑ
abusasse	a b y z a s
abusassent	a b y z a s
abusasses	a b y z a s
abusassiez	a b y z a s j e
abusassions	a b y z a s j ɔ̃
abusent	a b y z
abuser	a b y z e
abusera	a b y z ʁ a
abuserai	a b y z ʁ e
abuseraient	a b y z ʁ ɛ
abuserais	a b y z ʁ ɛ
abuserait	a b y z ʁ ɛ
abuseras	a b y z ʁ ɑ
abuserez	a b y z ʁ e
abuseriez	a b y z ə ʁ j e
abuserions	a b y z ə ʁ j ɔ̃
abuserons	a b y z ʁ ɔ̃
abuseront	a b y z ʁ ɔ̃
abuses	a b y z
abusez	a b y z e
abusiez	a b y z j e
abusif	a b y z i f
abusions	a b y z j ɔ̃
abusivement	a b y z i v m ɑ̃
abusons	a b y z ɔ̃
abusâmes	a b y z ɑ m
abusât	a b y z ɑ
abusâtes	a b y z ɑ t
abusèrent	a b y z ɛ ʁ
abyme	a b i m
abyssal	a b i s a l
abyssin	a b i s ɛ̃
abyssinie	a b i s i n i
abyssinien	a b i s i n j ɛ̃
abâtardissement	a b ɑ t a ʁ d i s m ɑ̃
abécédaire	a b e s e d ɛ ʁ
abée	a b e
abélard	a b e l a ʁ
abélia	a b e l j a
abélianiser	a b e l j a n i z e
abélien	a b e l j ɛ̃
abéliser	a b e l i z e
abérier	a b e ʁ j e
abêtifier	a b e t i f j e
abêtir	a b e t i ʁ
abêtir	a b ɛ t i ʁ
abêtissement	a b ɛ t i s m ɑ̃
abêtissements	a b ɛ t i s m ɑ̃
abîme	a b i m
abîmer	a b i m e
acabit	a k a b i
acacia	a k a s j a
académicien	a k a d e m i s j ɛ̃
académicienne	a k a d e m i s j ɛ n
académie	a k a d e m i
académique	a k a d e m i k
académiste	a k a d e m i s t
acafalée	a k a f a l e
acajou	a k a ʒ u
acalifourchonnée	a k a l i f u ʁ ʃ ɔ n e
acanthe	a k ɑ̃ t
acanthure	a k ɑ̃ t y ʁ
acapsulée	a k a p s y l e
acarien	a k a ʁ j ɛ̃
acariâtre	a k a ʁ j ɑ t ʁ
acastilleur	a k a s t i j œ ʁ
accabler	a k a b l e
accabler	a k ɑ b l e
accadienne	a k a d j ɛ n
accalminée	a k a l m i n e
accaparer	a k a p a ʁ e
accent	a k s ɑ̃
accentuelle	a k s ɑ̃ t ɥ ɛ l
accentuer	a k s ɑ̃ t ɥ e
acceptable	a k s ɛ p t a b l
acceptables	a k s ɛ p t a b l
acceptant	a k s ɛ p t ɑ̃
acceptante	a k s ɛ p t ɑ̃ t
acceptation	a k s ɛ p t a s j ɔ̃
acceptative	a k s ɛ p t a t i v
accepter	a k s ɛ p t e
acception	a k s ɛ p s j ɔ̃
acceptions	a k s ɛ p s j ɔ̃
acceptions	a k s ɛ p t j ɔ̃
accepté	a k s ɛ p t e
accesseur	a k s ɛ s œ ʁ
accessible	a k s e s i b l
accessible	a k s ɛ s i b l
accessibles	a k s ɛ s i b l
accessit	a k s e s i t
accessit	a k s ɛ s i t
accessoire	a k s e s w a ʁ
accessoiriser	a k s ɛ s w a ʁ i z e
accident	a k s i d ɑ̃
accidentel	a k s i d ɑ̃ t ɛ l
accidentellement	a k s i d ɑ̃ t ɛ l m ɑ̃
accidenté	a k s i d ɑ̃ t e
accipitrin	a k s i p i t ʁ ɛ̃
accipitrine	a k s i p i t ʁ i n
accipitrines	a k s i p i t ʁ i n
accipitrins	a k s i p i t ʁ ɛ̃
accisien	a k s i z j ɛ̃
accisienne	a k s i z j ɛ n
acclama	a k l a m a
acclamai	a k l a m e
acclamaient	a k l a m ɛ
acclamais	a k l a m ɛ
acclamait	a k l a m ɛ
acclamant	a k l a m ɑ̃
acclamas	a k l a m ɑ
acclamasse	a k l a m a s
acclamassent	a k l a m a s
acclamasses	a k l a m a s
acclamassiez	a k l a m a s j e
acclamassions	a k l a m a s j ɔ̃
acclamation	a k l a m a s j ɔ̃
acclamative	a k l a m a t i v
acclame	a k l a m
acclament	a k l a m
acclamer	a k l a m e
acclamera	a k l a m ʁ a
acclamerai	a k l a m ʁ e
acclameraient	a k l a m ʁ ɛ
acclamerais	a k l a m ʁ ɛ
acclamerait	a k l a m ʁ ɛ
acclameras	a k l a m ʁ ɑ
acclamerez	a k l a m ʁ e
acclameriez	a k l a m ə ʁ j e
acclamerions	a k l a m ə ʁ j ɔ̃
acclamerons	a k l a m ʁ ɔ̃
acclameront	a k l a m ʁ ɔ̃
acclames	a k l a m
acclamez	a k l a m e
acclamiez	a k l a m j e
acclamions	a k l a m j ɔ̃
acclamons	a k l a m ɔ̃
acclamâmes	a k l a m ɑ m
acclamât	a k l a m ɑ
acclamâtes	a k l a m ɑ t
acclamèrent	a k l a m ɛ ʁ
acclamé	a k l a m e
acclimatation	a k l i m a t a s j ɔ̃
acclimatement	a k l i m a t m ɑ̃
acclimater	a k l i m a t e
accointer	a k w ɛ̃ t e
accolade	a k ɔ l a d
accolades	a k ɔ l a d
accoler	a k ɔ l e
accolé	a k ɔ l e
accombante	a k ɔ̃ b ɑ̃ t
accommodant	a k ɔ m ɔ d ɑ̃
accommodation	a k ɔ m ɔ d a s j ɔ̃
accommodatrice	a k ɔ m ɔ d a t ʁ i s
accommodement	a k ɔ m ɔ d m ɑ̃
accommoder	a k ɔ m ɔ d e
accompagnateur	a k ɔ̃ p a ɲ a t œ ʁ
accompagnateurs	a k ɔ̃ p a ɲ a t œ ʁ
