'ch	χ
achwyniadau	a χ ʊ ɨ̯ n j a d a
achwyniadau	a χ ʊ ɨ̯ n j a d a ɨ̯
achwyniadau	a χ ʊ ɨ̯ n j a d ɛ
achwynwr	a χ ʊ ɨ̯ n j ʊ r
achwynwyr	a χ ʊ ɨ̯ n w ɨ̞ r
achwynydd	a χ ʊ ɨ̯ n j ɨ̞ ð
achydd	a χ ɨ̞ ð
achyddiaeth	a χ ə ð j a ɨ̯ θ
achyddiaeth	a χ ə ð j ɛ θ
achyddion	a χ ə ð j ɔ n
achyddol	a χ ə ð ɔ l
act	a k t
acti	a k t i
actiaf	a k t j a v
actio	a k t j ɔ
actor	a k t ɔ r
actores	a k t ɔ r ɛ s
acw	a k u
ad	aː d
adael	a d a l
adael	a d a ɨ̯ l
adael	a d ɛ l
adain	a d a i̯ n
adain	a d ɛ n
adanedd	a d a n ɛ ð
adar	a d a r
adar duon	a d a r d ɨː ɔ n
adar o'r unlliw hedant i'r unlle	a d a r ɔ r ɨ̞ n ɬ ɨ̞ u̯ h ɛ d a n t ɪ r ɨ̞ n ɬ ɛ
adar y bwn	a d a r ə b ʊ n
adara	a d a r a
adardai	a d a r d a i̯
adardy	a d a r d ɨ̞
adareg	a d a r ɛ ɡ
adaregol	a d a r ɛ ɡ ɔ l
adaregwyr	a d a r ɛ ɡ w ɨ̞ r
adaregydd	a d a r ɛ ɡ ɨ̞ ð
adargi	a d a r ɡ ɪ
adargraffiad	a d a r ɡ r a f j a d
adargraffiadau	a d a r ɡ r a f j a d a
adargraffiadau	a d a r ɡ r a f j a d a ɨ̯
adargraffiadau	a d a r ɡ r a f j a d ɛ
adargraffu	a d a r ɡ r a f ɨ̞
adargwn	a d a r ɡ ʊ n
adarwr	a d a r ʊ r
adarwyr	a d a r w ɨ̞ r
adarydd	a d a r ɨ̞ ð
adarydda	a d a r ə ð a
adaryddiaeth	a d a r ə ð j a ɨ̯ θ
adaryddiaeth	a d a r ə ð j ɛ θ
adaryddion	a d a r ə ð j ɔ n
adawed	a d a u̯ ɛ d
adborth	a d b ɔ r θ
adborthion	a d b ɔ r θ j ɔ n
addas	a ð a s
addasu	a ð a s ɨ̞
addawa	a ð a u̯ a
addaweb	a ð a u̯ ɛ b
addef	a ð ɛ v
addo	a ð ɔ
addoldy	a ð ɔ l d ɨ̞
addolgar	a ð ɔ l ɡ a r
addoliad	a ð ɔ l j a d
addolwr	a ð ɔ l ʊ r
addurn	a ð ɨ̞ r n
addurno	a ð ɨ̞ r n ɔ
addysg	a ð ɨ̞ s ɡ
addysgu	a ð ə s ɡ ɨ̞
adeg	a d a ɡ
adeg	a d ɛ ɡ
adegau	a d ɛ ɡ a
adegau	a d ɛ ɡ a ɨ̯
adegau	a d ɛ ɡ ɛ
adeilad	a d e i̯ l a d
adeiladaeth	a d e i̯ l a d a ɨ̯ θ
adeiladaeth	a d e i̯ l a d ɛ θ
adeiladol	a d e i̯ l a d ɔ l
adeiladu	a d e i̯ l a d ɨ̞
adeiladwaith	a d e i̯ l a d w a i̯ θ
adeiladwaith	a d e i̯ l a d w ɛ θ
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a ɨ̯
adeiladweithiau	a d e i̯ l a d w e i̯ θ j ɛ
adeiladwr	a d e i̯ l a d ʊ r
adeiladwyr	a d e i̯ l a d w ɨ̞ r
adeiniog	a d e i̯ n j ɔ ɡ
aden	a d ɛ n
adenedigaeth	a d ɛ n ɛ d ɪ ɡ a ɨ̯ θ
adenedigaeth	a d ɛ n ɛ d ɪ ɡ ɛ θ
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ a
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ a ɨ̯
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ ɛ
adennill	a d ɛ n ɪ ɬ
adenydd	a d ɛ n ɨ̞ ð
aderyn	a d ɛ r ɨ̞ n
aderyn	d ɛ r ɨ̞ n
aderyn du	a d ɛ r ɨ̞ n d ɨː
aderyn du	d ɛ r ɨ̞ n d ɨː
aderyn y bwn	a d ɛ r ɨ̞ n ə b ʊ n
adfail	a d v a i̯ l
adfeddiannu	a d v ɛ ð j a n ɨ
adfeiliad	a d v e i̯ l j a d
adfeiliadau	a d v e i̯ l j a d a
adfeiliadau	a d v e i̯ l j a d a ɨ̯
adfeiliadau	a d v e i̯ l j a d ɛ
adfeiliedig	a d v e i̯ l j ɛ d ɪ ɡ
adfeilio	a d v e i̯ l j ɔ
adfeilion	a d v e i̯ l j ɔ n
adfent	a d v ɛ n t
adfer	a d v a r
adfer	a d v ɛ r
adferadwy	a d v ɛ r a d ʊ ɨ̯
adferaf	a d v ɛ r a
adferaf	a d v ɛ r a v
adferant	a d v ɛ r a n t
adferent	a d v ɛ r ɛ n t
adferf	a d v ɛ r v
adferfol	a d v ɛ r v ɔ l
adferiad	a d v ɛ r j a d
adferiadau	a d v ɛ r j a d a
adferiadau	a d v ɛ r j a d a ɨ̯
adferiadau	a d v ɛ r j a d ɛ
adferiadwyr	a d v ɛ r j a d ə ð w ɨ̞ r
adferiadydd	a d v ɛ r j a d ɨ̞ ð
adferiadyddion	a d v ɛ r j a d ə ð j ɔ n
adferiedydd	a d v ɛ r j ɛ d ɨ̞ ð
adfero	a d v ɛ r ɔ
adferol	a d v ɛ r ɔ l
adferwr	a d v ɛ r ʊ r
adferwyr	a d v ɛ r w ɨ̞ r
adfilwr	a d v ɪ l ʊ r
adfilwyr	a d v ɪ l w ɨ̞ r
adflas	a d v l a s
adflasau	a d v l a s a
adflasau	a d v l a s a ɨ̯
adflasau	a d v l a s ɛ
adfyd	a d v ɨ̞ d
adfydau	a d v ə d a
adfydau	a d v ə d a ɨ̯
adfydau	a d v ə d ɛ
adfydus	a d v ə d ɨ̞ s
adfyw	a d v ɨ̞ u̯
adfywiad	a d v ɨ̞ u̯ j a d
adfywiadau	a d v ɨ̞ u̯ j a d a
adfywiadau	a d v ɨ̞ u̯ j a d a ɨ̯
adfywiadau	a d v ɨ̞ u̯ j a d ɛ
adfywio	a d v ɨ̞ u̯ j ɔ
adfywiol	a d v ɨ̞ u̯ j ɔ l
adio	a d j ɔ
adladd	a d l a ð
adlais	a d l a i̯ s
adlam	a d l a m
adlamau	a d l a m a
adlamau	a d l a m a ɨ̯
adlamau	a d l a m ɛ
adlamu	a d l a m ɨ̞
adlaw	a d l a u̯
adlef	a d l ɛ v
adlefau	a d l ɛ v a
adlefau	a d l ɛ v a ɨ̯
adlefau	a d l ɛ v ɛ
adleisiau	a d l e i̯ ʃ a
adleisiau	a d l e i̯ ʃ a ɨ̯
adleisiau	a d l e i̯ ʃ ɛ
adleisio	a d l e i̯ ʃ ɔ
adlyn	a d l ɨ̞ n
adlynol	a d l ə n ɔ l
adlynu	a d l ə n ɨ̞
adlŷn	a d l ɨː n
adnabod	a d n a b ɔ d
adnabyddant	a d n a b ə ð a n t
adnabyddi	a d n a b ə ð ɪ
adnabyddus	a d n a b ə ð ɨ̞ s
adnabyddwch	a d n a b ə ð ʊ χ
adnabyddwn	a d n a b ə ð ʊ n
adnebydd	a d n ɛ b ɨ̞ ð
adnodd	a d n ɔ ð
adolygu	a d ɔ l ə ɡ ɨ̞
adra	a d r a
adran	a d r a n
adre	a d r a
adre	a d r ɛ
adref	a d r a
adref	a d r ɛ
adref	a d r ɛ v
adrodd	a d r ɔ ð
adroddaf	a d r ɔ ð a
adroddaf	a d r ɔ ð a v
adroddiad	a d r ɔ ð j a d
adwaen	a d w a ɨ̯ n
adwaenai	a d w e ɨ̯ n a i̯
adwaenant	a d w e ɨ̯ n a n t
adwaenech	a d w e ɨ̯ n ɛ χ
adwaenem	a d w e ɨ̯ n ɛ m
adwaenent	a d w e ɨ̯ n ɛ n t
adwaenid	a d w e ɨ̯ n ɪ d
adwaenir	a d w e ɨ̯ n ɪ r
adwaenit	a d w e ɨ̯ n ɪ t
adwaenoch	a d w e ɨ̯ n ɔ χ
adwaenom	a d w e ɨ̯ n ɔ m
adwaenost	a d w e ɨ̯ n ɔ s d
adwaenwch	a d w e ɨ̯ n ʊ χ
adwaenwn	a d w e ɨ̯ n ʊ n
adwaenynt	a d w e ɨ̯ n ɨ̞ n t
adweinaf	a d w e i̯ n a v
adweini	a d w e i̯ n i
adweinid	a d w e i̯ n ɪ d
adweinir	a d w e i̯ n ɪ r
adweitheg	a d w e i̯ θ ɛ ɡ
adweithegwyr	a d w e i̯ θ ɛ ɡ w ɨ̞ r
adweithegydd	a d w e i̯ θ ɛ ɡ ɨ̞ ð
adwen	a d w ɛ n
adwthio	a d ʊ θ j ɔ
aeaf	e ɨ̯ a
aeaf	e ɨ̯ a v
aech	aː ɨ̯ χ
aed	aː ɨ̯ d
aeddfed	a ɨ̯ ð v ɛ d
ael	aː ɨ̯ l
aeled	e ɨ̯ l ɛ d
aelod	e ɨ̯ l ɔ d
aelod cynulliad	e ɨ̯ l ɔ d k ə n ɨ̞ ɬ j a d
aelod o'r senedd	e ɨ̯ l ɔ d ɔ r s ɛ n ɛ ð
aelod seneddol	e ɨ̯ l ɔ d s ɛ n ɛ ð ɔ l
aelwyd	e ɨ̯ l ʊ ɨ̯ d
aem	aː ɨ̯ m
aen	aː ɨ̯ n
aent	aː ɨ̯ n t
aer	aː ɨ̯ r
aeron	e ɨ̯ r ɔ n
aeronen	e ɨ̯ r ɔ n a n
aeronen	e ɨ̯ r ɔ n ɛ n
aet	aː ɨ̯ t
aeth	aː ɨ̯ θ
aeth	aː θ
aethai	e ɨ̯ θ a i̯
aethant	e ɨ̯ θ a n t
aethech	e ɨ̯ θ ɛ χ
aethem	e ɨ̯ θ ɛ m
aethent	e ɨ̯ θ ɛ n t
aethid	e ɨ̯ θ ɪ d
aethit	e ɨ̯ θ ɪ t
aethnen	e ɨ̯ θ n ɛ n
aethnenni	e ɨ̯ θ n ɛ n i
aethoch	e ɨ̯ θ ɔ χ
aethom	e ɨ̯ θ ɔ m
aethon	e ɨ̯ θ ɔ n
aethont	e ɨ̯ θ ɔ n t
aethost	e ɨ̯ θ ɔ s d
aethpwyd	e ɨ̯ θ p ʊ ɨ̯ d
aethwn	e ɨ̯ θ ʊ n
aetsh	aː ɨ̯ t ʃ
af	aː
af	aː v
afal	a v a l
afal cariad	a v a l k a r j a d
afalau	a v a l a
afalau	a v a l a ɨ̯
afalau	a v a l ɛ
afalau	v a l a
afalau	v a l ɛ
afalau cariad	a v a l a k a r j a d
afalau cariad	a v a l a ɨ̯ k a r j a d
afalau cariad	a v a l ɛ k a r j a d
afallen	a v a ɬ ɛ n
afan	a v a n
afanc	a v a ŋ k
afancod	a v a ŋ k ɔ d
afanen	a v a n ɛ n
affrica	a f r ɪ k a
affwys	a f ʊ ɨ̯ s
affwysedd	a f ʊ ɨ̯ s ɛ ð
affwysol	a f ʊ ɨ̯ s ɔ l
afiach	a v j a χ
aflafar	a v l a v a r
aflwyddiannus	a v l ʊ ɨ̯ ð j a n ɨ̞ s
afocado	a v ɔ k a d ɔ
afocados	a v ɔ k a d ɔ s
afon	a v ɔ n
afonfarch	a v ɔ n v a r χ
afonfeirch	a v ɔ n v e i̯ r χ
afr	a v r
afraid	a v r a i̯ d
afreolaidd	a v r ɛ ɔ l a i̯ ð
afreolaidd	a v r ɛ ɔ l ɛ ð
afu	a v ɨ̞
ag	a ɡ
ager	a ɡ ɛ r
agerddlong	a ɡ ɛ r ð l ɔ ŋ
agerlong	a ɡ ɛ r l ɔ ŋ
agerlongau	a ɡ ɛ r l ɔ ŋ a
agerlongau	a ɡ ɛ r l ɔ ŋ a ɨ̯
agerlongau	a ɡ ɛ r l ɔ ŋ ɛ
agor	a ɡ ɔ r
agora	a ɡ ɔ r a
agoraf	a ɡ ɔ r a
agoraf	a ɡ ɔ r a v
agorai	a ɡ ɔ r a i̯
agoret	a ɡ ɔ r ɛ t
agori	a ɡ ɔ r i
agoriad	a ɡ ɔ r j a d
agos	a ɡ ɔ s
agosáu	a ɡ ɔ s a ɨ̯
agweddi	a ɡ w ɛ ð ɪ
ai	a i̯
aidd	a i̯ ð
aiff	a i̯ f
aifft	a i̯ f t
ail	a i̯ l
aildrefnu	a i̯ l d r e v n ɨ̞
ailfeddiannu	a i̯ l v ɛ ð j a n ɨ̞
aillt	a i̯ ɬ d
ailosod	a i̯ l ɔ s ɔ d
ailwampio	a i̯ l w a m p j ɔ
air	a i̯ r
ais	a i̯ s
ait	a i̯ t
alan	a l a n
alannon	a l a n ɔ n
alar	a l a r
alar	aː l a r
alarch	a l a r χ
alaw	a l a u̯
alban	a l b a n
alban arthan	a l b a n a r θ a n
alban cyntefin	a l b a n k ə n t ɛ v ɪ n
alban eilir	a l b a n e i̯ l ɪ r
alban elfed	a l b a n ɛ l v ɛ d
alban hefin	a l b a n h ɛ v ɪ n
alban hyfed	a l b a n h ə v ɛ d
albanau	a l b a n a
albanau	a l b a n a ɨ̯
albanau	a l b a n ɛ
albaneg	a l b a n ɛ ɡ
albwm	a l b ʊ m
alfarch	a l v a r χ
all	a ɬ
alla	a ɬ a
allai	a ɬ a i̯
allai	a ɬ ɛ
allan	a ɬ a n
allanfa	a ɬ a n v a
allanfa dân	a ɬ a n v a d aː n
allanol	a ɬ a n ɔ l
allant	a ɬ a n t
allblyg	a ɬ b l ɨ̞ ɡ
allen	a ɬ ɛ n
aller	a ɬ ɛ r
allforiadwy	a ɬ v ɔ r j a d ʊ ɨ̯
allforio	a ɬ v ɔ r j ɔ
allforion	a ɬ v ɔ r j ɔ n
allforiwr	a ɬ v ɔ r j ʊ r
allforwyr	a ɬ v ɔ r w ɨ̞ r
allforyn	a ɬ v ɔ r ɨ̞ n
allfudo	a ɬ v ɨ̞ d ɔ
allgofnodi	a ɬ ɡ ɔ v n ɔ d i
alli	a ɬ i
allo	a ɬ ɔ
allor	a ɬ ɔ r
allt	aː ɬ d
alltud	a ɬ d ɨ̞ d
allwedd	a ɬ w ɛ ð
allweddell	a ɬ w ɛ ð ɛ ɬ
allwthio	a ɬ ʊ θ j ɔ
almaen	ə r a l m a ɨ̯ n
almaeneg	a l m e ɨ̯ n ɛ ɡ
almaenwr	a l m e ɨ̯ n ʊ r
almanac	a l m a n a k
alwminiwm	a l ʊ m ɪ n j ʊ m
am	a m
am byth	a m b ɨː θ
amaethyddiaeth	a m e ɨ̯ θ ə ð j a ɨ̯ θ
amaethyddiaeth	a m e ɨ̯ θ ə ð j ɛ θ
amanita	a m a n ɪ t a
amanita benfelen	a m a n ɪ t a b ɛ n v ɛ l ɛ n
amanita borffor	a m a n ɪ t a b ɔ r f ɔ r
amanita droednoeth	a m a n ɪ t a d r ɔ ɨ̯ d n ɔ ɨ̯ θ
amanita'r gwybed	a m a n ɪ t a r ɡ w ə b ɛ d
amau	a m a
amau	a m a ɨ̯
amau	a m ɛ
ambell	a m b a ɬ
ambell	a m b ɛ ɬ
ambeutu	a m b e ɨ̯ t ɨ̞
ambiti	a m b ɪ t ɪ
ambiwlans	a m b ɪ u̯ l a n s
amcan	a m k a n
amcangyfrif	a m k a ŋ ɡ ə v r ɪ
amcangyfrif	a m k a ŋ ɡ ə v r ɪ v
amddiffyn	a m ð ɪ f ɨ̞ n
amddiffynnaf	a m ð ɪ f ə n a v
ameba	a m ɛ b a
america	a m ɛ r ɪ k a
amethyst	a m ɛ θ ɨ̞ s d
amffibiad	a m f ɪ b j a d
amguedd	a m ɡ ɨ̞ ɛ ð
amgueddfa	a m ɡ ɨ̞ ɛ ð v a
amgyffred	a m ɡ ə f r ɛ d
amgylch	a m ɡ ɨ̞ l χ
amgylchedd	a m ɡ ə l χ ɛ ð
amgylcheddol	a m ɡ ə l χ ɛ ð ɔ l
amgáu	a m ɡ a ɨ̯
amhenodol	a m h ɛ n ɔ d ɔ l
amheuaeth	a m h e ɨ̯ a ɨ̯ θ
amheuaeth	a m h e ɨ̯ ɛ θ
amheuaf	a m h e ɨ̯ a
amheuaf	a m h e ɨ̯ a v
amlach	a m l a χ
amlen	a m l ɛ n
amlwg	a m l ʊ ɡ
amnewid	a n n ɛ u̯ ɪ d
amobr	a m ɔ b r
amod	a m ɔ d
amodi	a m ɔ d i
amodiad	a m ɔ d j a d
amrant	a m r a n t
amrantiad	a m r a n t j a d
amrwd	a m r ʊ d
amryw	a m r ɨ u̯
amryw	a m r ɪ u̯
amrywedd	a m r ɨ u̯ j ɛ ð
amrywedd	a m r ɪ u̯ j ɛ ð
amrywiad	a m r ɨ u̯ j a d
amrywiad	a m r ɪ u̯ j a d
amrywiaeth	a m r ɨ u̯ j a ɨ̯ ð
amrywiaeth	a m r ɨ u̯ j ɛ θ
amrywiaeth	a m r ɪ u̯ j a ɨ̯ ð
amrywiaeth	a m r ɪ u̯ j ɛ θ
amrywio	a m r ɨ u̯ j ɔ
amrywio	a m r ɪ u̯ j ɔ
amrywiol	a m r ɨ u̯ j ɔ l
amrywiol	a m r ɪ u̯ j ɔ l
amser	a m s a r
amser	a m s ɛ r
amserlen	a m s ɛ r l ɛ n
amserlenni	a m s ɛ r l ɛ n i
amwythig	a m ʊ ɨ̯ θ ɪ ɡ
anabl	a n a b l
anabledd	a n a b l ɛ ð
anableddau	a n a b l ɛ ð a
anableddau	a n a b l ɛ ð a ɨ̯
anableddau	a n a b l ɛ ð ɛ
anadlu	a n a d l ɨ
anaf	a n a v
anafa	a n a v a
anafai	a n a v a i̯
anafais	a n a v a i̯ s
anafais	a n a v ɛ s
anafais	a n a v ɪ ʃ
anafes	a n a v ɛ s
anafu	a n a v ɨ
anawsterau	a n a u̯ s d ɛ r a
anawsterau	a n a u̯ s d ɛ r a ɨ̯
anawsterau	a n a u̯ s d ɛ r ɛ
aneiriol	a n e i̯ r j ɔ l
anelu	a n ɛ l ɨ
anfantais	a n v a n t a i̯ s
anfantais	a n v a n t ɛ s
anfanteision	a n v a n t e i̯ ʃ ɔ n
anffodus	a n f ɔ d ɨ̞ s
anffurfiol	a n f ɨ̞ r v j ɔ l
anfon	a n v ɔ n
anfonaf	a n v ɔ n a v
angel	a ŋ a l
angel	a ŋ ɛ l
angen	a ŋ a n
angen	a ŋ ɛ n
angharad	a ŋ h a r a d
angheuol	a ŋ h e ɨ̯ ɔ l
anghlod	a ŋ h l ɔ d
anghlodwiw	a ŋ h l ɔ d w ɪ u̯
anghofio	a ŋ h ɔ v j ɔ
anghofrwydd	a ŋ h ɔ v r ʊ ɨ̯ ð
anghofus	a ŋ h ɔ v ɨ̞ s
anghofuster	a ŋ h ɔ v ɨ̞ s d ɛ r
anghydfod	a ŋ h ə d v ɔ d
anghydradd	a ŋ h ə d r a ð
anghydraddoldeb	a ŋ h ə d r a ð ɔ l d ɛ b
anghydsynio	a ŋ h ɨ̞ d s ə n j ɔ
anghydweld	a ŋ h ɨ̞ d w ɛ l d
anghydwelediad	a ŋ h ɨ̞ d w ɛ l ɛ d j a d
anghyfartal	a ŋ h ə v a r t a l
anghyflawn	a ŋ h ə v l a u̯ n
anghyflogaeth	a ŋ h ə v l ɔ ɡ a ɨ̯ θ
anghyflogaeth	a ŋ h ə v l ɔ ɡ ɛ θ
anghyfreithlon	a ŋ h ə v r e i̯ θ l ɔ n
anghymdeithasol	a ŋ h ə m d e i̯ θ a s ɔ l
anghymreigio	a ŋ h ə m r e i̯ ɡ j ɔ
anghyseinedd	a ŋ h ə s e i̯ n ɛ ð
anghytgord	a ŋ h ə t ɡ ɔ r d
anghytuno	a ŋ h ə t ɨ n ɔ
anghytuno	a ŋ ə t ɨ n ɔ
anghywir	a ŋ h ə u̯ ɪ r
angladd	a ŋ l a ð
angladdau	a ŋ l a ð a
angladdau	a ŋ l a ð a ɨ̯
angladdau	a ŋ l a ð ɛ
angof	a ŋ ɔ v
angylaidd	a ŋ ə l a i̯ ð
angylaidd	a ŋ ə l ɛ ð
angyles	a ŋ ə l ɛ s
angylesau	a ŋ ə l ɛ s a
angylesau	a ŋ ə l ɛ s a ɨ̯
angylesau	a ŋ ə l ɛ s ɛ
angylion	a ŋ ə l j ɔ n
anhawster	a n h a u̯ s d a r
anhawster	a n h a u̯ s d ɛ r
anialwch	a n j a l ʊ χ
anifail	a n ɪ v a i̯ l
anifail	a n ɪ v ɛ l
animeiddiad	a n ɪ m e i̯ ð j a d
animeiddiadau	a n ɪ m e i̯ ð j j a d a
animeiddiadau	a n ɪ m e i̯ ð j j a d a ɨ̯
animeiddiadau	a n ɪ m e i̯ ð j j a d ɛ
animeiddio	a n ɪ m e i̯ ð j ɔ
animeiddiwr	a n ɪ m e i̯ ð j ʊ r
animeiddwyr	a n ɪ m e i̯ ð w ɨ̞ r
annedd	a n a ð
annedd	a n ɛ ð
anner	a n ɛ r
annerch	a n ɛ r χ
annherfynol	a n h ɛ r v ə n ɔ l
annog	a n ɔ ɡ
annwyd	a n ʊ ɨ̯ d
annwyl	a n ʊ ɨ̯ l
anobaith	a n ɔ b a i θ
anobaith	a n ɔ b ɛ θ
anobeithiau	a n ɔ b e i̯ θ j a
anobeithiau	a n ɔ b e i̯ θ j a ɨ̯
anobeithiau	a n ɔ b e i̯ θ j ɛ
anobeithio	a n ɔ b e i̯ θ j ɔ
anobeithiol	a n ɔ b e i̯ θ j ɔ l
anodd	a n ɔ ð
anoddach	a n ɔ ð a χ
anoddaf	a n ɔ ð a
anoddaf	a n ɔ ð a v
anodded	a n ɔ ð ɛ d
anogaf	a n ɔ ɡ a
anogaf	a n ɔ ɡ a v
anrheg	a n r̥ ɛ ɡ
anrhydeddu	a n r̥ ə d ɛ ð ɨ
ansawdd	a n s a u̯ ð
ansoddair	a n s ɔ ð a i̯ r
antimoni	a n t ɪ m ɔ n i
anuniongyrchol	a n ɨ̞ n j ɔ ŋ ɡ ə r χ ɔ l
anweddu	a n w ɛ ð ɨ
anwybyddu	a n w ɨ̞ b ə ð ɨ
ap	a p
apêl	a p eː l
ar	a r
ar agor	a r a ɡ ɔ r
ar amrantiad	a r a m r a n t j a d
ar bwys	a r b uː ɨ̯ s
ar daith	a r d a i̯ θ
ar draws	a r d r a u̯ s
ar dân	a r d aː n
ar gau	a r ɡ a ɨ̯
ar gof a chadw	a r ɡ oː v a χ a d u
ar gyfer	a r ɡ ə v a r
ar gyfer	a r ɡ ə v ɛ r
ar hyn o bryd	a r h ɨ̞ n ɔ b r ɨː d
ar werth	a r w ɛ r θ
ar ôl	a r oː l
arad	a r a d
aradr	a r a d
aradr	a r a d r
araf	a r a
araf	a r a v
arall	a r a ɬ
aran	a r a n
arbed	a r b ɛ d
arbedaf	a r b ɛ d a
arbedaf	a r b ɛ d a v
arch	a r χ
archangel	a r χ a ŋ a l
archangel	a r χ a ŋ ɛ l
archangylion	a r χ a ŋ ə l j ɔ n
archeb	a r χ ɛ b
archebion	a r χ ɛ b j ɔ n
archebu	a r χ ɛ b ɨ
archfarchnad	a r χ v a r χ n a d
archseren	a r χ s ɛ r ɛ n
ardal	a r d a l
ardaloedd	a r d a l ɔ ɨ̯ ð
ardd	a r ð
ardd	aː r ð
arddaf	a r ð a v
arddangosfa	a r ð a ŋ ɡ ɔ s v a
arddangosfeydd	a r ð a ŋ ɡ ɔ s v e ɨ̯ ð
arddelw	a r ð ɛ l
arddelw	a r ð ɛ l w
ardderchog	a r ð ɛ r χ ɔ ɡ
arddwrn	a r ð ʊ r n
aredaf	a r ɛ d a
aredaf	a r ɛ d a v
aredig	a r ɛ d ɪ ɡ
aren	a r ɛ n
arestio	a r ɛ s t j ɔ
arf	a r v
arfau	a r v a
arfau	a r v a ɨ̯
arfau	a r v ɛ
arfedd	a r v a ð
arfedd	a r v ɛ ð
arfeddog	a r v ɛ ð ɔ ɡ
arfer	a r v a r
arfer	a r v ɛ r
arglwydd	a r ɡ l ʊ ɨ̯ ð
argoel	a r ɡ ɔ ɨ̯ l
argoelion	a r ɡ ɔ i̯ l j ɔ n
argoelion	a r ɡ ɔ ɨ̯ l j ɔ n
argraff	a r ɡ r a f
argraffiad	a r ɡ r a f j a d
argraffiadaeth	a r ɡ r a f j a d a ɨ̯ θ
argraffiadaeth	a r ɡ r a f j a d ɛ θ
argraffiadol	a r ɡ r a f j a d ɔ l
argraffiadol	a r ɡ r a f j aː d ɔ l
argraffiadwyr	a r ɡ r a f j a d w ɨ̞ r
argraffiadydd	a r ɡ r a f j a d ɨ̞ ð
