ab	a b
diluns	d i l y s
dimars	d i m a r s
dimenge	d i m e n d͡ʒ e
dissabte	d i s a t t e
distància	d i s t a n s j o̞
distància	d i s t a n s i
dit	d i t
divendres	d i β e n d r e s
dolor	d u l u
èga	ɛ ɣ o
eissugar	e j s y ɣ a
elefant	e l e f a n t
erau	e r a w
èrba	ɛ r β o
eruga	e r y ɣ o
erugas	e r y ɣ o s
espatla	e s p a l l o
esquiròl	e s k i ɾ ɔ l
estornèl	e s t u r n ɛ l
exsudar	e t͡s y ð a
familha	f a m i ʎ o
felicitacion	f e l i s i t a s j u
felicitacion	f e l i s i t a s j u n
felicitat	f e l i s i t a t
femna	f e n n o
fenèstra	f e n ɛ s t r o
fèr	f ɛ r
fèrre	f ɛ r r e
fiu	f i w
formiga	f u r m i ɣ o
fraire	f r a j r e
frais	f r a j s
fraisse	f r a j s e
frema	f r e m o
fuèlha	f ɥ ɛ ʎ o
gal	ɡ a l
galina	ɡ a l i n o
gard	ɡ a r
garganta	ɡ a r ɡ a n t o
garir	ɡ a r i
gasconha	ɡ a s k u ɲ o
gat	ɡ a t
gènoa	d ʒ ɛ n w o
genolh	d ʒ e n u l
gos	ɡ u s
guèine	ɡ ɛ j n e
hemna	h e n n o
hèr	h ɛ r
ieu	j e w
ivèrn	i β ɛ r n
jardin	d ʒ a r d i
joan	d͡ʒ u a n
lach	l a t͡ʃ
laissar	l a j s a
laissar	l a j ʃ a
laissar	l e j s a
làmia	l a m j o
laüt	l a y t
lèbre	l ɛ β ɾ e
lèit	l ɛ j t
lenga	l e ŋ ɡ o
libre	l i β ɾ e
liech	l j e
lièch	l j ɛ t͡ʃ
literari	l i t e ɾ a ɾ i
lop	l u p
lua	l y o
luec	l j ɛ k
luna	l y n o
luxemborg	l y t͡s e m b u r k
maire	m a j ɾ e
mairina	m a j ɾ i n o
maitot	m a j t u t
malaisit	m a l a j z i t
man	m a
mandolina	m a n d u l i n ɔ
mandra	m a n d ɾ o
marcejada	m a r s e d ʒ a ð o
maridatge	m a r i ð a d ʒ e
masatge	m a z a d ʒ e
massar	m a s s a r
mèlsa	m ɛ l s o
mestierau	m e s t j ɛ r a w
meteis	m e t e j s
microscòpi	m i k r u s k ɔ p i
mièg	m j ɛ t ʃ
milh	m i l
milhòc	m i ʎ ɔ k
mina	m i n ɔ
mirga	m i r ɣ o
monin	m u n i
mozambic	m u z a m b i k
mura	m u r o
navegar	n a β e ɣ a
nèbia	n ɛ β j o
nèbla	n ɛ β l o
nèblas	n ɛ β l o s
nèu	n ɛ w
nuèch	n ɥ ɛ t ʃ
òc	o
òc	ɔ
occitan	u t s i t a
octòbre	u t t ɔ β ɾ e
òme	ɔ m e
ongla	u ŋ ɡ l o
ora	u r o
òs	ɔ s
pagar	p a ɣ a
paire	p a j ɾ e
pairin	p a j ɾ i
palmon	p a l m u
pantèra	p a n t ɛ ɾ o
paradís	p a ɾ a ð i s
patz	p a t s
pè	p ɛ
pebre	p e β r e
pegaurelha	p e ɡ a ʊ ɾ e ʎ ɒ
pèira	p ɛ j ɾ o
pera	p e ɾ o
pereu	p e ɾ e w
perfièch	p e r f j ɛ t ʃ
perpinhan	p e r p i ɲ a
pintar	p i n t a
pluèja	p l ɥ ɛ d ʒ o
polit	p u l i t
poma	p u m o
ponh	p u n
pòrta	p ɔ r t o
prima	p r i m o
profecia	p r u f e s i o
punh	p y n
quiet	k j e t
rabàs	r a β a s
raiç	r r a i s
rainal	r a j n a l
ratapenada	r a t o p e n a ð o
ratuga	r a t y ɣ o
resson	r e s u
riba	r i β o
riu	r r i w
ròsa	r ɔ z o
rossinhòl	r u s i ɲ ɔ l
ròtle	r ɔ t l e
sabla	s a β l o
sanha	s a ɲ o
sason	s a z u
sauma	s a w m o
sedaç	s e ð a s
sènso	s ɛ n s o
sentiment	s e n t i m e n
septimània	s e p t i m a n j ɔ
sèt	s ɛ t
singlar	s i ŋ ɡ l a
social	s u s j a l
solelh	s u l e l
sòrre	s ɔ r e
straa	s t r a o
suve	s y v e
tais	t a j s
tanben	t a b e
tard	t a r t
taula	t a w l o
taupa	t a w p o
temperatura	t e m p e ɾ a t y ɾ o
teulat	t e w l a t
teule	t e w l e
tochar	t u t ʃ a r
traïdor	t r a i ð u
traite	t r a i t e
trauc	t r a w k
tresaur	t r e s a w r
trobador	t r u β a ð u
ulhauç	y ʎ a w s
uman	y m a
uman	y m ãᵑ
umilitat	y m i l i t a t
umilitat	y m i l i t a
ungla	y ŋ ɡ l o
ussa	y s o
utilizaire	y t i l i z a j r e
utilizaires	y t i l i z a j r e s
vendeire	b e n d e j ɾ e
vergonha	b e r ɣ u ɲ o
viatge	b i a d ʒ e
viatjaire	b i a d ʒ a j r e
vilatge	b i l a d ʒ e
vin	v i
vinha	b i ɲ o
voltor	b u l t u
vòtz	v ɔ t s
voutor	v a w t u r
vulcanologia	b y l k a n u l u d ʒ i o
