aba	a b a
justifikoj	j ʊ s t iː f iː k ɔ j
ka	c eː
ka	k a
ka	k aː
ka	q ɒ
kafaz	k a f a z
kafe	k a f ɛ
kafjall	k a f j a ɫ
kajnacë	k a j n aː t͡s
kajsi	k a j s i
kakërdhi	k a k ə ɾ ð i
kalama	k a l a m a
kalb	k ɑ l b
kalb	q ɒ l b
kallam	k a ɫ a m
kallamboq	k a ɫ a m b o c
kallauz	k a ɫ a u z
kallm	k a ɫ m
kallnor	k a ɫ n ɔ ɾ
kaltër	k a l t ə ɾ
kalë	k aː l
kam	k a m
kanavetë	k a n a v ɛː t
kandar	k a n d a ɾ
kandërr	k a n d ə ɾ
kanun	k a n u n
kapelë	k a p ɛː l
kaps	k a p s
kapuç	k a p u t͡ʃ
kar	k a ɹ
kar	k a ɾ
karavele	k a ɾ a v ɛ l ɛ
kargatis	k a ɾ ɡ a t i s
karrige	k a r i ɡ ɛ
karuc	k a ɹ u t͡s
karuc	k a ɾ u t͡s
kasolle	k a s ɔ ɫ ɛ
kaç	k a t͡ʃ
keqkuptim	k ɛ c ɕ k u p t i m
kerrmëz	k ɛ r m ə z
kllapi	k ɫ a p i
kllogjër	k ɫ ɔ ɟ ə ɾ
kodër	k ɔ d ə ɾ
kofshë	k ɔː f ʃ
koftor	k ɔ f t ɔ ɾ
kokë	k ɔ k ə
koleg	k ɔ l ɛ k
kolege	k ɔ l ɛ ɡ ɛ
kolloface	k ɔ ɫ ɔ f a t s ɛ
kombësi	k ɔ m b ə s i
kombëtar	k ɔ m b ə t a ɾ
konsistoj	k ɔ n s ɪ s t ɔ j
kopaçe	k ɔ p a t͡ʃ ɛ
koqe	k ɔ c ɕ ɛ
korbull	k ɔ ɾ b u ɫ
kotec	k ɔ t ɛ t͡s
krah	k ɾ a h
krasit	k ɾ a s i t
krejt	k ɾ ɛ j t
kripë	k ɹ i p ə
kripë	k ɹ iː p
krushk	k ɾ u ʃ k
krypë	q r y p
kthehem	k θ ɛ h ɛ m
kthej	k θ ɛ j
kulaç	k u l a t͡ʃ
kuletë	k u l ɛː t
kulturë	k u l t u ɹ
kulturë	k u l t u ɽ ə
kuptoj	k u p t ɔ j
kuq	k u c
kurbet	k u r b ɛ t
kurriz	k ʊ r i z
kush	k u ʃ
kushdo	k u ʃ d ɔ
kuçedër	k u t ʃ ɛ d ɚ
këllëç	k ə ɫ ə t͡ʃ
këlshejt	k ə l ʃ ɛ j t
kënatë	k ə n aː t
kënd	k ə n d
këndell	k ə n d ɛ ɫ
kënetë	k ə n ɛ t
kërkoj	k ə ɹ k ɔ j
kërnalle	k ə ɹ n a ɫ ɛ
kërp	k ə ɾ p
kërrutë	k ə r uː t
këshill	k ə ʃ i ɫ
kështjellë	k ə ʃ t j ɛː ɫ
kësulë	k ə s uː l
lajthatë	l a j θ aː t
lakuriq	l a k u ɾ i c
lakuriq	l a k u ɾ i c͡ç
lakuriq	ʎ a k u ɾ i c t͡ɕ
lakuriq	ʎ a k u ɾ i c͡ç
lakuriq	ʎ a k u ɾ i c͡ɕ
lakuriq	ʎ a k u ɾ i t͡ʃ
lakuriqësi	l a k u ɽ i c ɕ s i
lamtumirë	l a m t u m iː ɾ
ledhatoj	l ɛ ð a t ɔ j
legjendar	l ɛ ɟ ʑ ɛ n d a ɹ
legjendë	l ɛ ɟ ʑ ɛ n d ə
leka	l ɛː k a
lezbike	l ɛ z b i k ɛ
libër	l i b ɹ
lidh	l iː ð
liqen	l i c ɕ ɛ n
lirë	l i ɾ ə
lisën	l i s ə n
llahtarshëm	ɫ a t a ɹ ʃ m̩
llërë	ɫ əː ɾ
lodhem	l ɔ ð ɛ m
lodër	l ɔ d ə ɾ
lofatë	l ɔ f aː t
log	l ɔ ɡ
luc	l u t͡s
luc	ʎ u t͡s
luftëtar	l u f t a ɹ
luftëtar	l u f t ə t a ɹ
lugat	l u ɡ a t
luginë	l ʊ ɡ iː n
lule	l u l ɛ
lumë	l u m
lus	l ʊ s
lut	l ʊ s
lut	l ʊ t
lëng	l ə ŋ
lëvizje	l ə v i z j ɛ
madh	i m a θ
mahnit	m a h n i t
majdanoz	m a j d a n ɔ z
mall	m a ɫ
mardh	m a ɾ ð
mas	m a s
mashkull	m a ʃ k ʊ ɫ
mashkullor	m a ʃ k ʊ ɫ ɔ ɹ
matematik	m a t ɛ m a t i k
matematikan	m a t ɛ m a t i k a n
matematikisht	m a t ɛ m a t i k i ʃ t
mbes	m b ɛ s
mbledh	m l ɛ θ
mbret	m b ɾ ɛ t
mbyll	m b y ɫ
me	m ɛ
memec	m ɛ m ɛ t͡s
mendje	m ɛ n d j ɛ
mendër	m ɛ n d ə ɾ
mençur	m ɛ n t ʃ u ɹ
mesazh	m ɛ s a ʒ
mi	m i
midis	m i d i s
miell	m i ɛ ɫ
milor	m i l ɔ ɾ
miskë	mː i s k
mjaft	m j a f t
mjegull	m j ɛ ɡ u ɫ
mjekër	m j ɛ k ə ɹ
mjekërr	m j ɛ k ə r
mokër	m ɔ k ə ɾ
molikë	m ɔ l iː k
mollaqe	m ɔ ɫ a c ɕ ɛ
mollë	m ɔ ɫ
moshë	m ɔː ʃ
moçal	m ɔ t͡ʃ a l
muaj	m u a j
muhabet	m u h a b ɛ t
mungoj	m u n ɡ ɔ j
mushtëkohem	m u ʃ t ə k ɔ j
mysliman	m y s l i m a n
mên	m ɛ n
mëndafsh	m ə n d a f ʃ
mërzi	m ə ɾ z i
mërzitur	m ə ɾ z i t u ɾ
mësoj	m ə s ɔ j
narth	n a ɾ θ
natë	n aː t ə
ndaj	n d a j
ndal	n d a l
ndalem	n d a l ɛ m
ndihmoj	n d i h m ɔ j
ndishk	n d i ʃ k
ndjej	n d j ɛ j
ndormë	n d ɔ ɾ m
ndot	n d ɔ t
ndreq	n d ɹ ɛ c ç
ne	n ɛ
nenexhik	n ɛ n ɛ d͡ʒ i k
neverit	n ɛ v ɛ ɾ i t
nevojë	n ɛ v ɔː j
ngjalë	n ɟ aː l
ngjashëm	n ɟ ʑ a ʃ ə m
ngjitem	n d͡ʒ i t e m
ngjitem	n ɟ i t e m
ngrij	ŋ ɡ ɾ iː j
nikoqir	n i k ɔ c i ɾ
njeri	ɲ ɛ ɾ i
njoftim	ɲ ɔ f t i m
njoftoj	ɲ ɔ f t ɔ j
njëkohësisht	ɲ ə k ɔ s i ʃ t
notoj	n ɔ t ɔ j
nuhat	n u h a t
nuk	n ʊ k
nur	n u ɾ
në	n
në	n a
në	n ə
në	ə n
nënkuptoj	n ə ŋ k u p t ɔ j
ogiç	ɔ ɡ i t͡ʃ
ograjë	ɔ ɡ ɾ aː j
oqean	ɔ c ɛ a n
organizoj	ɔ ɹ ɡ a n i z ɔ j
orgazmë	ɔ ɹ ɡ a z m ə
ortak	ɔ ɹ t a k
paepshëm	p a ɛ p ʃ ə m
palloj	p a ɫ ɔ j
pallua	p a ɫ uː a
pambuk	p a m b u k
panxhar	p a n d͡ʒ a ɾ
pashpjegueshëm	p a ʃ p j ɛ ɡ u ɛ ʃ ə m
pasiv	p a s i f
pasqyrë	p a s c ç y ɽ
pastrohem	p a s t ɾ ɔ h ɛ m
pastroj	p a s t ɾ ɔ j
pasurohem	p a s u ɾ ɔ h ɛ m
pasuroj	p a s u ɾ ɔ j
patkua	p a t k u a
pe	p ɛ
pehar	p ɛ h a ɾ
pelë	p ɛː l
penis	p ɛ n i s
peshk	p ɛ ʃ k
peshorja	p ɛ ʃ ɔ ɾ j a
pi	p i
pjek	p j ɛ k
pjerdh	p j e ɾ ð
plak	p l a k
planet	p l a n ɛ t
plazh	p l a ʒ
pleme	p l ɛ m ɛ
plep	p l ɛ p
pompoj	p ɔ m p ɔ j
popull	p ɔ p u ɫ
por	p ɔ ɹ
prapanicë	p ɾ a p a n iː t s
premtoj	p ɾ ɛ m t ɔ j
prish	p ɻ i ʃ
propozoj	p ɾ ɔ p ɔ z ɔ j
pshurr	p ʃ u r
punë	p u n
punëdhënës	p u n ð ə n ə s
punësi	p u n s i
punësohem	p u n s ɔ h ɛ m
punësoj	p u n s ɔ j
punësuar	p u n s u a ɹ
punësuara	p u n s u a ɽ a
punëtor	p u n t o ɹ
puthje	p u θ j ɛ
përafërsi	p ə ɾ a f ə ɾ s i
përbindësh	p ə ɾ b i n d ə ʃ
përdhunoj	p ə ɾ ð u n ɔ j
përveç	p ə ɹ v ɛ t ʃ
pështymë	p ə ʃ t y m ə
qafir	c ɑ f i ɾ
qafë	t͡ɕ aː f
qahem	c ɕ a h ɛ m
qaj	c a j
qe	c ɕ ɛ
qelizor	c ɕ ɛ l i z ɔ ɹ
qelizë	c ɕ ɛ l i z ə
qemë	c ɕ ɛ m
qendër	c ɕ ɛ n d ə ɹ
qenka	c ɕ ɛ ŋ k a
qenkam	c ɕ ɛ ŋ k a m
qenkan	c ɕ ɛ ŋ k a n
qenke	c ɕ ɛ ŋ k ɛ
qenkemi	c ɕ ɛ ŋ k ɛ m i
qenkeni	c ɕ ɛ ŋ k ɛ n i
qenkësh	c ɕ ɛ ŋ k ə ʃ
qenkësha	c ɕ ɛ ŋ k ə ʃ a
qenkëshe	c ɕ ɛ ŋ k ə ʃ ɛ
qenkëshim	c ɕ ɛ ŋ k ə ʃ i m
qenkëshin	c ɕ ɛ ŋ k ə ʃ i n
qenkëshit	c ɕ ɛ ŋ k ə ʃ i t
qenë	c ɕ ɛ n
qerth	c͡ç ɛ ɹ θ
qerth	c͡ç ɛ ɽ θ
qesh	c ɛ ʃ
qesh	c͡ɕ ɛ ʃ
qeshë	c ɕ ɛ ʃ
qetë	c ɕ ɛ t
qihem	c ɪ h ɛ m
qihem	c͡ɕ ɪ h ɛ m
qij	c ɪ j
qij	c ɪː
qij	c͡ɕ ɪ j
qij	c͡ɕ ɪː
qij	t͡ɕ ɪː
qij	t͡ʃ ɪː
qimnon	c i m n ɔ n
quhem	c ɕ u h ɛ m
qumësht	c͡ç u m ə ʃ t
qup	c
qup	c͡ɕ
qup	t͡ɕ
qup	t͡ʃ
qupi	c
qupi	c͡ɕ
qupi	t͡ɕ
qupi	t͡ʃ
qysh	c ɕ y ʃ
qytet	c ɕ y t ɛ t
re	ɾ e
relaksohem	ɾ ɛ l a k s ɔ h ɛ m
ri	ɾ i
rigon	ɾ i ɡ ɔ n
rob	ɹ ɔˑ b
rob	ɾ ɔ b
rojtar	r o j t a ɾ
rojtar	r o j t ɒ ɾ
rozmarinë	ɾ ɔ z m a ɾ iː n
rraboshtë	r a b ɔː ʃ t
rradake	r a d a k ɛ
rrah	r aː
rrallë	r aː ɫ
rrej	r ɛ j
rreth	r ɛ θ
rri	r i
rrugë	r uː ɡ
rrumbullak	r u m b u ɫ a k
rrush	r u ʃ
rrënjë	r əː ɲ
rujtar	r u j t ɒ ɾ
sajë	s aː j
sakicë	s a k iː t͡s
sandali	s ɑ̃ n d a l ɪ
sanë	s aː n
saturn	s a t u ɾ n
seks	s ɛ k s
seksolog	s ɛ k s ɔ l ɔ k
seksologji	s ɛ k s ɔ l ɔ ɟ ʑ i
seksologjik	s ɛ k s ɔ l ɔ ɟ ʑ i k
seksualitet	s ɛ k s u a l i t ɛ t
selino	s ɛ l i n ɔ
senë	s ɛ n
shah	ʃ a
sherp	ʃ ɛ ɾ p
shfuqizim	ʃ f u c ɕ i z i m
shfuqizoj	ʃ f u c ɕ i z ɔ j
shi	ʃ i
shigjetar	ʃ i ɟ ʑ ɛ t a ɹ
shikoj	ʃ i k ɔ j
shkatërroj	ʃ k a t ə r ɔ j
shkencor	ʃ k ɛ n t s ɔ ɹ
shkencëtar	ʃ k ɛ n t s t a ɹ
shkretë	ʃ k ɾ ɛː t
shkretë	ʃ k ɾ ɛː t ə
shkëlqej	ʃ k ə l c ɕ ɛ j
shkëlqyer	ʃ k ə l c ɕ y ɛ ɹ
shkëlqyeshëm	ʃ k ə l c ɕ y ɛ ʃ ə m
shok	ʃ ɔ k
shoqe	ʃ ɔ c ɛ
shoqe	ʃ ɔ c͡ɕ ɛ
shpall	ʃ p a ɫ
shpallje	ʃ p a ɫ j ɛ
shpellë	ʃ p ɛː ɫ
shpinë	ʃ p iː n
shpjegueshëm	ʃ p j ɛ ɡ u ɛ ʃ ə m
shpresë	ʃ p ɾ ɛ s
shpresë	ʃ p ɾ ɛ s ə
shpullë	ʃ p uː ɫ
shpëtim	ʃ p ə t i m
shqim	ʃ c i m
shqim	ʃ c͡ɕ i m
shqim	ʃ k y m
shqim	ʃ kʲ i m b
shqiponjë	ɕ ɪ p ɔː ɲ ə
shqymb	ʃ c i m
shqymb	ʃ c͡ɕ i m
shqymb	ʃ k y m
shqymb	ʃ kʲ i m b
shtambë	ʃ t aː m b
shteg	ʃ t ɛ ɡ
shtegtoj	ʃ t ɛ k t ɔ j
shtrungë	ʃ t ɹ u ŋ
shtyp	ʃ t y p
shuaj	ʃ ʊ a j
shumë	ʃ u m
shumëgjuhëshe	ʃ u m ə ɟ u h ə ʃ ɛ
shurdh	ʃ u ɾ ð
shurdhoj	ʃ u ɾ ð ɔ j
shurdhër	ʃ u ɾ ð ə ɾ
shurdhët	ʃ u ɾ ð ə t
shurrohem	ʃ ʊ r ɔ h ɛ m
shurroj	ʃ ʊ r ɔ j
shëmtoj	ʃ ə m t ɔ j
shëndet	ʃ ə n d ɛ t
shëndetshëm	ʃ ə n d ɛ t ʃ ə m
si	s i
sistematik	s ɪ s t ɛ m a t i k
sistematikisht	s ɪ s t ɛ m a t ɪ k i ʃ t
siç	s i t ʃ
skifter	s k i f t ɛ ɾ
sot	s o t
sotëm	s ɔː t ə m
spinaq	s p i n a c
spontan	s p ɔ n t a n
spontanisht	s p ɔ n t a n i ʃ t
sqetull	s c ɕ ɛ t u ɫ
stinë	s t iː n
stuhi	s t u h i
stuhishëm	s t u h i ʃ ə m
sulmim	s ʊ l m i m
sulmohem	s ʊ l m ɔ h ɛ m
sulmoj	s ʊ l m ɔ j
supe	s u p ɛ
supesh	s u p ɛ ʃ
supet	s u p ɛ t
supeve	s u p ɛ v ɛ
supevet	s u p ɛ v ɛ t
supi	s u p i
supin	s u p i n
supit	s u p i t
sy	s y
synet	s y n ɛ t
sëmundje	s ə m u n d j ɛ
tagër	t a ɡ ə r
takohem	t a k ɔ h ɛ m
takoj	t a k ɔ j
tallaz	t a ɫ a z
tamblagjak	t a m b l a ɟ a k
tambël	t a m b ə l
tani	t a n i
tash	t a ʃ
tashti	t a ʃ t i
tavë	t a f
tavë	t a v
tekë	t ɛː k
tepsi	t ɛ p s i
testikul	t ɛ s t i k u l
thaj	θ a j
them	θ ɛ m
themeloj	θ ɛ m ɛ l ɔ j
thithkë	θ i θ k ə
thithkën	θ i θ k ə n
thithë	θ i θ ə
thjesht	θ j ɛ ʃ t
thjeshta	θ j ɛ ʃ t a
thjeshtazi	θ j ɛ ʃ t a z ɪ
thjeshtë	θ j ɛ ʃ t
thjeshtësi	θ j ɛ ʃ t ə s i
thjeshtëzoj	θ j ɛ ʃ t ə z ɔ j
thyese	θ y ɛː s e
thërras	θ ə r a s
titull	t i t u ɫ
tjetër	t j ɛ t ə ɻ
tradhtoj	t ɾ a ð t ɔ j
tradhëtoj	t ɾ a ð ə t ɔ j
transferoj	t ɹ a n s f ɛ ɹ ɔ j
transferoj	t ɾ a n s f ɛ ɾ ɔ j
trinë	t ɾ iː n
trishtohem	t ɾ i ʃ t ɔ h ɛ m
trumzë	t ɾ uː m z
trëndafil	t ɾ ə n d a f i l
tym	t y m
tytë	t y t
tämël	t ɒ m ə l
të	t ə
tërmet	t ə ɾ m ɛ t
udhëheq	ʊ ð h ɛ c ɕ
udhëhiqem	ʊ ð h i c ɕ ɛ m
udhëtoj	ʊ θ t ɔ j
ujdi	u j d i
ujk	u j k
ujë	uː j
unë	u n
unë	u n ə
unë	u n ɛ
uriq	u ɾ i c
urroj	u r ɔ j
uzdajë	u z d aː j
va	v a
vade	v a d ɛ
vadhë	v aː ð
vajzë	v a j z ə
vampir	v a m p i ɹ
vazhdoj	v a ʒ d ɔ j
vazhdë	v aː ʒ d
venit	v ɛ n i t
verë	v ɛ ɹ
verë	v ɛ ɾ ə
veshtë	v ɛ ʃ t
vetë	v ɛ t
veçoj	v ɛ t ʃ ɔ j
vigan	v i ɡ a n
virgjëresha	v i ɾ ɟ ə ɾ ɛ ʃ a
virgjëreshë	v i ɾ ɟ ə ɾ ɛ ʃ ə
vis	v i s
visele	v i s ɛ l ɛ
vjeshtë	v j ɛ ʃ t
vodkë	v o d k ə
vyshkem	v y ʃ k ɛ m
vë	v ə
vëlla	v ə ɫ a
vëllam	v ə ɫ a m
xehe	d͡z ɛ h ɛ
xhami	d ʒ a m i
xhaxha	d ʒ a d ʒ a
xhehenem	d ʒ ɛ n ɛ m
xhehnem	d ʒ ɛ n ɛ m
xhenem	d ʒ ɛ n ɛ m
xhenet	d ʒ ɛ n ɛ t
xhevahir	d ʒ ɛ v a h i ɹ
yndyrë	y n d y ɹ
ynë	yː n
zanafillë	z a n a f i ɫ
zbeh	z b eː
zbehem	z b ɛ h ɛ m
zemër	z ɛː m ə ɹ
zemër	z ɛ̃ː m ə ɹ
zeshkan	z ɛ ʃ k a n
zgjedh	z d͡ʑ ɛ ð
zgjedh	z ɟ ɛ ð
zgjohem	z ɟ ʑ ɔ h ɛ m
zgjoj	z ɟ ʑ ɔ j
zgjuar	z ɟ ʑ u a ɹ
zhabë	ʒ ɒ b
zhbllokohet	ʒ b ɫ ɔ k ɔ ɛ t
zhdukje	ʒ d u k j ɛ
zhumbricë	ʒ u m b ɾ iː t͡s
zhvillim	ʒ v i ɫ i m
zhvillohem	ʒ v i ɫ ɔ h ɛ m
zhvilloj	ʒ v i ɫ ɔ j
zinxhir	z i n d ʒ i ɾ
zog	z ɔ k
zoj	z oː j
zonë	z ɔː n
zuskë	z u s k ə
zôjë	z oː j
â	ɑ̃
âsht	ɑ̃ ʃ t
çadër	t ʃ a d ə ɹ
çakmak	t ʃ a k m a k
çift	t ʃ i f t
çorap	t ʃ o ɾ ɑ p
çuditshëm	t ʃ u d i t ʃ ə m
çup	c
çup	c͡ɕ
çup	t͡ɕ
çup	t͡ʃ
çupi	c
çupi	c͡ɕ
çupi	t͡ɕ
çupi	t͡ʃ
ëndërr	ə n d ə r
ëndërroj	ə n d ə r ɔ j
