cag	c a ˧˩̤
ntswg	ᶯd͡ʐ ɨ ˧˩̤
ntsws	ᶯd͡ʐ ɨ ˩
ntuav	ⁿd u̯ ə ˧˦
ntxhais	ⁿt͡sʰ a i̯ ˩
ntxhw	ⁿt͡sʰ ɨ ˧
ntxov	ⁿd͡z ɒ ˧˦
ntxuav	ⁿd͡z u̯ ə ˧˦
ntxub	ⁿd͡z u ˥
nug	n u ˧˩̤
nwj	n ɨ ˥˧
nws	n ɨ ˩
nyiag	ɲ i̯ ə ˧˩̤
nyias	ɲ i̯ ə ˩
nyom	ɲ ɒ ˩̰ˀ
nyuj	ɲ u ˥˧
ob	ʔ ɒ ˥
paj	p a ˥˧
paub	p a u̯ ˥
peb	p e ˥
phom	pʰ ɒ ˩̰ˀ
piab	p i̯ ə ˥
plaub	pˡ a u̯ ˥
plhu	pˡʰ u ˧
pliag	pˡ i̯ ə ˧˩̤
po	p ɒ ˧
pob	p ɒ ˥
pog	p ɒ ˧˩̤
poj	p ɒ ˥˧
pojniam	p ɒ ˥˧ n i̯ ə ˩̰ˀ
pom	p ɒ ˩̰ˀ
pos	p ɒ ˩
pov	p ɒ ˧˦
pw	p ɨ ˧
qab	q a ˥
qaib	q a i̯ ˥
qaub	q a u̯ ˥
qe	q e ˧
qhiav	qʰ i̯ ə ˧˦
qhov	qʰ ɒ ˧˦
qhuav	qʰ u̯ ə ˧˦
qub	q u ˥
rab	ʈ a ˥
rau	ʈ a u̯ ˧
rauj	ʈ a u̯ ˥˧
rawg	ʈ a ɨ̯ ˧˩̤
riam	ʈ i̯ ə ˩̰ˀ
roj	ʈ ɒ ˥˧
roob	ʈ ɒ̃ ˥
rov	ʈ ɒ ˧˦
suav	ʂ u̯ ə ˧˦
tais	t a i̯ ˩
taskis	t a ˩ k i ˩
tau	t a u̯ ˧
taus	t a u̯ ˩
taws	t a ɨ̯ ˩
tawv	t a ɨ̯ ˧˦
teb	t e ˥
teeb	t ẽ ˥
teev	t ẽ ˧˦
thaiv	tʰ a i̯ ˧˦
thiab	tʰ i̯ ə ˥
thoob	tʰ ɒ̃ ˥
tob	t ɒ ˥
toobxib	t ɒ̃ ˥ ɕ i ˥
tov	t ɒ ˧˦
tsev	t͡ʂ e ˧˦
tshaib	t͡ʂʰ a i̯ ˥
tshee	t͡ʂʰ ẽ ˧
tshuab	t͡ʂʰ u̯ ə ˥
tsiaj	t͡ʂ i̯ ə ˥˧
tsib	t͡ʂ i ˥
tsob	t͡ʂ ɒ ˥
tsov	t͡ʂ ɒ ˧˦
tswv	t͡ʂ ɨ ˧˦
tuab	t u̯ ə ˥
tuaj	t u̯ ə ˥˧
tuamham	t u̯ ə ˩̰ˀ h a ˩̰ˀ
tub	t u ˥
tus	t u ˩
tuv	t u ˧˦
tw	t ɨ ˧
twb	t ɨ ˥
txaug	t͡s a u̯ ˧˩̤
txhav	t͡sʰ a ˧˦
txhuam	t͡sʰ u̯ ə ˩̰ˀ
txiab	t͡ɕ i̯ ə ˥
txiv	t͡ɕ i ˧˦
txoj	t͡s ɒ ˥˧
txwm	t͡s ɨ ˩̰ˀ
uab	ʔ u̯ ə ˥
wb	ʔ ɨ ˥
xeev	s ẽ ˧˦
xya	ç a ˧
xyoo	ç ɒ̃ ˧
xyoos	ç ɒ̃ ˩
ya	ʝ a ˧
yaim	ʝ a i̯ ˩̰ˀ
yaj	ʝ a ˥˧
yav	ʝ a ˧˦
yim	ʝ i ˩̰ˀ
yoojyim	ʝ ɒ̃ ˥˧ ʝ i ˩̰ˀ
yoov	ʝ ɒ̃ ˧˦
yuav	ʝ u̯ ə ˧˦
zaj	ʐ a ˥˧
zaub	ʐ a u̯ ˥
ze	ʐ e ˧
zeb	ʐ e ˥
zes	ʐ e ˩
zis	ʐ i ˩
zog	ʐ ɒ ˧˩̤
zoo	ʐ ɒ̃ ˧
zoov	ʐ ɒ̃ ˧˦
zos	ʐ ɒ ˩
