а	a
аниматорка	a n i m a t ɔ r k a
анкара	a ŋ k a ɾ a
анкарски	a ŋ k a r s k i
анкета	a n k ɛ t a
анови	a n ɔ v i
аномалија	a n ɔ m a l i j a
анорексија	a n ɔ r ɛ k s i j a
антиобиотички	a n t i j ɔ b i j ɔ t i t͡ʃ k i
антипатија	a n t i p a t i j a
антонимија	a n t ɔ n i m i j a
анјон	a n j ɔ n
аорист	a ɔ ɾ i s t
апелациски	a p ɛ ɫ a t͡s i s k i
аписки	a p i s k i
апија	a p i j a
апликација	a p l i k a t͡s i j a
апозициски	a p ɔ z i t͡s i s k i
апозиција	a p ɔ z i t͡s i j a
апостол	a p ɔ s t ɔ ɫ
април	a p r i ɫ
апсеник	a p s ɛ n i k
апстракција	a p s t r a k t͡s i j a
аптека	a p t ɛ k a
арамилак	a r a m i ɫ a k
арамиски	a r a m i s k i
аргентина	a r ɡ ɛ n t i n a
аргументациски	a r ɡ u m ɛ n t a t͡s i s k i
аргументација	a r ɡ u m ɛ n t a t͡s i j a
арен	a ɾ ɛ n
арзухал	a r z u x a ɫ
аристократија	a ɾ i s t ɔ k r a t i j a
аристотел	a ɾ i s t ɔ t ɛ ɫ
аритметика	a ɾ i t m ɛ t i k a
аритметички	a ɾ i t m ɛ t i t͡ʃ k i
арнаут	a r n a u t
арнаутка	a r n a u t k a
арно	a r n ɔ
арнотија	a r n ɔ t i j a
артикулација	a r t i k u ɫ a t͡s i j a
артикулира	a r t i k u l i ɾ a
археолог	a r x ɛ ɔ ɫ ɔ k
археологија	a r x ɛ ɔ ɫ ɔ ɡ i j a
архитектура	a r x i t ɛ k t u ɾ a
асиметрија	a s i m ɛ t r i j a
асимилациски	a s i m i ɫ a t͡s i s k i
асимилација	a s i m i ɫ a t͡s i j a
аскетство	a s k ɛ t s t v ɔ
асови	a s ɔ v i
асоцијација	a s ɔ t͡s i j a t͡s i j a
аспирација	a s p i r a t͡s i j a
астронаутски	a s t r ɔ n a u t s k i
аташе	a t a ʃ ɛ
ателје	a t ɛ l j ɛ
атина	a t i n a
атови	a t ɔ v i
атом	a t ɔ m
атрофија	a t r ɔ f i j a
аукциски	a u k t͡s i s k i
аукција	a u k t͡s i j a
афазија	a f a z i j a
афикс	a f i k s
африка	a f r i k a
ајван	a j v a n
ајвани	a j v a n i
ајванче	a j v a n t͡ʃ ɛ
ајвар	a j v a r
ајвари	a j v a ɾ i
ајде	a j d ɛ
ајдутство	a j d u t s t v ɔ
ајдучки	a j d u t͡ʃ k i
ајкула	a j k u ɫ a
аљкавост	a l k a v ɔ s t
аџиски	a d͡ʒ i s k i
баба	b a b a
бабуле	b a b u l ɛ
бабулест	b a b u l ɛ s t
бавнорастечки	b a v n ɔ r a s t ɛ t͡ʃ k i
бавност	b a v n ɔ s t
багдадски	b a ɡ d a t s k i
багремов	b a ɡ r ɛ m ɔ f
бадем	b a d ɛ m
бадемов	b a d ɛ m ɔ f
бадемче	b a d ɛ m t͡ʃ ɛ
бадијала	b a d i j a ɫ a
бадник	b a d n i k
баднички	b a d n i t͡ʃ k i
базален	b a z a l ɛ n
базалтов	b a z a ɫ t ɔ f
базука	b a z u k a
базуки	b a z u k i
бакрдан	b a k r̩ d a n
баку	b a k u
бакујски	b a k u j s k i
балистика	b a l i s t i k a
балкон	b a ɫ k ɔ n
балон	b a ɫ ɔ n
балонче	b a ɫ ɔ n t͡ʃ ɛ
бамбусов	b a m b u s ɔ f
банализација	b a n a l i z a t͡s i j a
банана	b a n a n a
бананче	b a n a n t͡ʃ ɛ
бангладеш	b a ŋ ɡ ɫ a d ɛ ʃ
бандарски	b a n d a r s k i
бандитски	b a n d i t s k i
банка	b a ŋ k a
барабанче	b a r a b a n t͡ʃ ɛ
барателка	b a r a t ɛ ɫ k a
барање	b a ɾ a ɲ ɛ
бардови	b a r d ɔ v i
барем	b a ɾ ɛ m
барови	b a ɾ ɔ v i
барок	b a ɾ ɔ k
барокен	b a ɾ ɔ k ɛ n
баронство	b a ɾ ɔ n s t v ɔ
басови	b a s ɔ v i
бастун	b a s t u n
бастунче	b a s t u n t͡ʃ ɛ
батак	b a t a k
баталува	b a t a ɫ u v a
баш	b a ʃ
бајатост	b a j a t ɔ s t
бајач	b a j a t͡ʃ
бајачки	b a j a t͡ʃ k i
бајрактар	b a j r a k t a r
бебе	b ɛ b ɛ
бебенце	b ɛ b ɛ n t͡s ɛ
бебешки	b ɛ b ɛ ʃ k i
бебуле	b ɛ b u l ɛ
беглост	b ɛ ɡ ɫ ɔ s t
бегов	b ɛ ɡ ɔ f
беда	b ɛ d a
беден	b ɛ d ɛ n
бедност	b ɛ d n ɔ s t
бедро	b ɛ d r ɔ
без	b ɛ s
безбожнички	b ɛ z b ɔ ʒ n i t͡ʃ k i
безбожност	b ɛ z b ɔ ʒ n ɔ s t
безбол	b ɛ z b ɔ ɫ
безболност	b ɛ z b ɔ ɫ n ɔ s t
безбојност	b ɛ z b ɔ j n ɔ s t
безбројност	b ɛ z b r ɔ j n ɔ s t
безвизен	b ɛ z v i z ɛ n
безвкусност	b ɛ s f k u s n ɔ s t
безвредност	b ɛ z v r ɛ d n ɔ s t
безвременост	b ɛ z v r ɛ m ɛ n ɔ s t
безвучност	b ɛ z v u t͡ʃ n ɔ s t
безглавост	b ɛ z ɡ ɫ a v ɔ s t
безгласност	b ɛ z ɡ ɫ a s n ɔ s t
безготовински	b ɛ z ɡ ɔ t ɔ v i n s k i
безграничност	b ɛ z ɡ r a n i t͡ʃ n ɔ s t
безгрижност	b ɛ z ɡ r i ʒ n ɔ s t
безделник	b ɛ z d ɛ ɫ n i k
бездејност	b ɛ z d ɛ j n ɔ s t
бездејство	b ɛ z d ɛ j s t v ɔ
бездомнички	b ɛ z d ɔ m n i t͡ʃ k i
бездомништво	b ɛ z d ɔ m n i ʃ t v ɔ
бездруго	b ɛ z d r u ɡ ɔ
безживотност	b ɛ ʒ ʒ i v ɔ t n ɔ s t
безизлезност	b ɛ z i z l ɛ z n ɔ s t
безизразен	b ɛ z i z r a z ɛ n
безименост	b ɛ z i m ɛ n ɔ s t
безличност	b ɛ z l i t͡ʃ n ɔ s t
безмалку	b ɛ z m a ɫ k u
безмерност	b ɛ z m ɛ r n ɔ s t
безначајност	b ɛ z n a t͡ʃ a j n ɔ s t
безобличност	b ɛ z ɔ b l i t͡ʃ n ɔ s t
безобразност	b ɛ z ɔ b r a z n ɔ s t
безопасен	b ɛ z ɔ p a s ɛ n
безопасност	b ɛ z ɔ p a s n ɔ s t
безосновност	b ɛ z ɔ s n ɔ v n ɔ s t
безрадосност	b ɛ z r a d ɔ s n ɔ s t
безрасудност	b ɛ z r a s u d n ɔ s t
безрбетник	b ɛ z r̩ b ɛ t n i k
безропотност	b ɛ z r ɔ p ɔ t n ɔ s t
безумност	b ɛ z u m n ɔ s t
безусловност	b ɛ z u s ɫ ɔ v n ɔ s t
безутешност	b ɛ z u t ɛ ʃ n ɔ s t
безѕвезден	b ɛ z d͡z v ɛ z d ɛ n
белград	b ɛ ɫ ɡ r a t
белградски	b ɛ ɫ ɡ r a t s k i
белетристички	b ɛ l ɛ t r i s t i t͡ʃ k i
бели	b ɛ l i
белило	b ɛ l i ɫ ɔ
белогазец	b ɛ ɫ ɔ ɡ a z ɛ t͡s
белокрилест	b ɛ ɫ ɔ k r i l ɛ s t
белучка	b ɛ ɫ u t͡ʃ k a
бендисува	b ɛ n d i s u v a
бензин	b ɛ n z i n
бепче	b ɛ p t͡ʃ ɛ
берба	b ɛ r b a
бербер	b ɛ r b ɛ r
берберка	b ɛ r b ɛ r k a
берберница	b ɛ r b ɛ r n i t͡s a
берберство	b ɛ r b ɛ r s t v ɔ
берлин	b ɛ r l i n
берлински	b ɛ r l i n s k i
берн	b ɛ r n̩
бернски	b ɛ r n̩ s k i
бес	b ɛ s
беседа	b ɛ s ɛ d a
бескарактерност	b ɛ s k a r a k t ɛ r n ɔ s t
бескрајност	b ɛ s k r a j n ɔ s t
бесмисленост	b ɛ s m i s l ɛ n ɔ s t
бесови	b ɛ s ɔ v i
бесплатност	b ɛ s p ɫ a t n ɔ s t
бесплодност	b ɛ s p ɫ ɔ d n ɔ s t
бесплотност	b ɛ s p ɫ ɔ t n ɔ s t
бесповратност	b ɛ s p ɔ v r a t n ɔ s t
беспогрешност	b ɛ s p ɔ ɡ r ɛ ʃ n ɔ s t
беспокојност	b ɛ s p ɔ k ɔ j n ɔ s t
беспокојство	b ɛ s p ɔ k ɔ j s t v ɔ
беспорочност	b ɛ s p ɔ ɾ ɔ t͡ʃ n ɔ s t
беспределност	b ɛ s p r ɛ d ɛ ɫ n ɔ s t
беспредметност	b ɛ s p r ɛ d m ɛ t n ɔ s t
беспрекорност	b ɛ s p r ɛ k ɔ r n ɔ s t
беспризорност	b ɛ s p r i z ɔ r n ɔ s t
беспримерност	b ɛ s p r i m ɛ r n ɔ s t
беспристраност	b ɛ s p r i s t r a n ɔ s t
беспристрасност	b ɛ s p r i s t r a s n ɔ s t
бесрамница	b ɛ s r a m n i t͡s a
бессилност	b ɛ s s i ɫ n ɔ s t
бессовесност	b ɛ s s ɔ v ɛ s n ɔ s t
бессодржајност	b ɛ s s ɔ d r̩ ʒ a j n ɔ s t
бестелесност	b ɛ s t ɛ l ɛ s n ɔ s t
бестија	b ɛ s t i j a
бесцелност	b ɛ s t͡s ɛ ɫ n ɔ s t
бесценетост	b ɛ s t͡s ɛ n ɛ t ɔ s t
бесчесност	b ɛ ʃ t͡ʃ ɛ s n ɔ s t
бесчовечност	b ɛ ʃ t͡ʃ ɔ v ɛ t͡ʃ n ɔ s t
бетер	b ɛ t ɛ r
бетонски	b ɛ t ɔ n s k i
бечви	b ɛ t͡ʃ v i
бејзбол	b ɛ j z b ɔ ɫ
бејрут	b ɛ j r u t
бејрутски	b ɛ j r u t s k i
беља	b ɛ l a
бељаџија	b ɛ l a d͡ʒ i j a
беќарство	b ɛ c a r s t v ɔ
беџови	b ɛ d͡ʒ ɔ v i
би	b i
бибер	b i b ɛ r
библиографија	b i b l i j ɔ ɡ r a f i j a
библиотека	b i b l i j ɔ t ɛ k a
библиски	b i b l i s k i
бивш	b i f ʃ
бигамија	b i ɡ a m i j a
бигор	b i ɡ ɔ r
бигоросува	b i ɡ ɔ r ɔ s u v a
бидејќи	b i d ɛ j c i
бикови	b i k ɔ v i
билет	b i l ɛ t
билетарница	b i l ɛ t a r n i t͡s a
билетарници	b i l ɛ t a r n i t͡s i
билјар	b i l j a r
билјарство	b i l j a r s t v ɔ
биоенергија	b i j ɔ ɛ n ɛ r ɡ i j a
биолог	b i j ɔ ɫ ɔ k
биопсија	b i j ɔ p s i j a
биохемија	b i j ɔ x ɛ m i j a
биполарност	b i p ɔ ɫ a r n ɔ s t
бирачки	b i ɾ a t͡ʃ k i
биро	b i r ɔ
бирократизација	b i ɾ ɔ k r a t i z a t͡s i j a
биртија	b i r t i j a
бисерка	b i s ɛ r k a
бискупија	b i s k u p i j a
бискупов	b i s k u p ɔ f
бистрина	b i s t r i n a
битност	b i t n ɔ s t
битола	b i t ɔ ɫ a
битолчанец	b i t ɔ ɫ t͡ʃ a n ɛ t͡s
битолчанка	b i t ɔ ɫ t͡ʃ a ŋ k a
битолчанче	b i t ɔ ɫ t͡ʃ a n t͡ʃ ɛ
бичува	b i t͡ʃ u v a
бишкек	b i ʃ k ɛ k
бишкечки	b i ʃ k ɛ t͡ʃ k i
благ	b ɫ a k
благајник	b ɫ a ɡ a j n i k
благајничка	b ɫ a ɡ a j n i t͡ʃ k a
благо	b ɫ a ɡ ɔ
благовременост	b ɫ a ɡ ɔ v r ɛ m ɛ n ɔ s t
благоглаголивост	b ɫ a ɡ ɔ ɡ ɫ a ɡ ɔ l i v ɔ s t
благодушност	b ɫ a ɡ ɔ d u ʃ n ɔ s t
благоевград	b ɫ a ɡ ɔ ɛ v ɡ r a t
благозвучност	b ɫ a ɡ ɔ z v u t͡ʃ n ɔ s t
благонаклонетост	b ɫ a ɡ ɔ n a k ɫ ɔ n ɛ t ɔ s t
благородничка	b ɫ a ɡ ɔ r ɔ d n i t͡ʃ k a
благородништво	b ɫ a ɡ ɔ r ɔ d n i ʃ t v ɔ
благородност	b ɫ a ɡ ɔ ɾ ɔ d n ɔ s t
благост	b ɫ a ɡ ɔ s t
благотворност	b ɫ a ɡ ɔ t v ɔ r n ɔ s t
блазон	b ɫ a z ɔ n
блазони	b ɫ a z ɔ n i
блазонирања	b ɫ a z ɔ n i ɾ a ɲ a
блазонирање	b ɫ a z ɔ n i ɾ a ɲ ɛ
блато	b ɫ a t ɔ
бледост	b l ɛ d ɔ s t
блескавост	b l ɛ s k a v ɔ s t
блеснува	b l ɛ s n u v a
близнак	b l i z n a k
близначе	b l i z n a t͡ʃ ɛ
близост	b l i z ɔ s t
близу	b l i z u
бликнува	b l i k n u v a
блискост	b l i s k ɔ s t
блогови	b ɫ ɔ ɡ ɔ v i
блокови	b ɫ ɔ k ɔ v i
блокче	b ɫ ɔ k t͡ʃ ɛ
блудник	b ɫ u d n i k
блудничи	b ɫ u d n i t͡ʃ i
блуднички	b ɫ u d n i t͡ʃ k i
блудствува	b ɫ u t s t v u v a
блуе	b ɫ u ɛ
блуз	b ɫ u s
блуткавост	b ɫ u t k a v ɔ s t
бог	b ɔ k
богат	b ɔ ɡ a t
богобојазливост	b ɔ ɡ ɔ b ɔ j a z l i v ɔ s t
богови	b ɔ ɡ ɔ v i
богословија	b ɔ ɡ ɔ s ɫ ɔ v i j a
бодибилдерка	b ɔ d i b i ɫ d ɛ r k a
бодови	b ɔ d ɔ v i
бодрост	b ɔ d r ɔ s t
боже	b ɔ ʒ ɛ
божем	b ɔ ʒ ɛ m
божественост	b ɔ ʒ ɛ s t v ɛ n ɔ s t
божик	b ɔ ʒ i k
божилак	b ɔ ʒ i ɫ a k
божиќ	b ɔ ʒ i c
бозон	b ɔ z ɔ n
бои	b ɔ i
боица	b ɔ i t͡s a
боичка	b ɔ i t͡ʃ k a
бок	b ɔ k
бокс	b ɔ k s
боксови	b ɔ k s ɔ v i
болежливост	b ɔ l ɛ ʒ l i v ɔ s t
болезливост	b ɔ l ɛ z l i v ɔ s t
болник	b ɔ ɫ n i k
бомба	b ɔ m b a
бомбардер	b ɔ m b a r d ɛ r
бомбаш	b ɔ m b a ʃ
бонбона	b ɔ m b ɔ n a
бонбонче	b ɔ m b ɔ n t͡ʃ ɛ
борење	b ɔ ɾ ɛ ɲ ɛ
борови	b ɔ ɾ ɔ v i
босна	b ɔ s n a
ботаничар	b ɔ t a n i t͡ʃ a r
ботови	b ɔ t ɔ v i
боцкавост	b ɔ t͡s k a v ɔ s t
боцнува	b ɔ t͡s n u v a
бочвар	b ɔ t͡ʃ v a r
бочварство	b ɔ t͡ʃ v a r s t v ɔ
бојлер	b ɔ j l ɛ r
бојлерче	b ɔ j l ɛ r t͡ʃ ɛ
брада	b r a d a
брадва	b r a d v a
брадичка	b r a d i t͡ʃ k a
брак	b r a k
бракови	b r a k ɔ v i
бран	b r a n
бранителство	b r a n i t ɛ ɫ s t v ɔ
бранов	b r a n ɔ f
бранови	b r a n ɔ v i
бранува	b r a n u v a
бранче	b r a n t͡ʃ ɛ
брат	b r a t
братислава	b r a t i s ɫ a v a
братиславски	b r a t i s ɫ a f s k i
братов	b r a t ɔ f
братоубиство	b r a t ɔ u b i s t v ɔ
братуле	b r a t u l ɛ
братучедов	b r a t u t͡ʃ ɛ d ɔ f
братучедски	b r a t u t͡ʃ ɛ t s k i
братче	b r a t t͡ʃ ɛ
брашнен	b r a ʃ n ɛ n
брашнест	b r a ʃ n ɛ s t
брашноса	b r a ʃ n ɔ s a
брбливост	b r̩ b l i v ɔ s t
брборење	b r̩ b ɔ ɾ ɛ ɲ ɛ
брборка	b r̩ b ɔ r k a
брборко	b r̩ b ɔ r k ɔ
брборливост	b r̩ b ɔ r l i v ɔ s t
бргу	b r̩ ɡ u
брегови	b r ɛ ɡ ɔ v i
бреза	b r ɛ z a
брезичка	b r ɛ z i t͡ʃ k a
брезов	b r ɛ z ɔ f
брестов	b r ɛ s t ɔ f
брзак	b r̩ z a k
брзоплет	b r̩ z ɔ p l ɛ t
брисел	b r i s ɛ ɫ
бриселски	b r i s ɛ ɫ s k i
британија	b r i t a n i j a
брифинг	b r i f i ŋ k
брише	b r i ʃ ɛ
бркови	b r̩ k ɔ v i
брлив	b r̩ l i f
брливост	b r̩ l i v ɔ s t
брод	b r ɔ t
бродарство	b r ɔ d a r s t v ɔ
бродови	b r ɔ d ɔ v i
бродоградба	b r ɔ d ɔ ɡ r a d b a
бродоградилиште	b r ɔ d ɔ ɡ r a d i l i ʃ t ɛ
броеви	b r ɔ ɛ v i
броење	b r ɔ ɛ ɲ ɛ
брои	b r ɔ i
броило	b r ɔ i ɫ ɔ
бротче	b r ɔ t t͡ʃ ɛ
брош	b r ɔ ʃ
број	b r ɔ j
бројност	b r ɔ j n ɔ s t
бројчаник	b r ɔ j t͡ʃ a n i k
брут	b r u t
бруталност	b r u t a ɫ n ɔ s t
брутови	b r u t ɔ v i
бруцош	b r u t͡s ɔ ʃ
бруќе	b r u c ɛ
брцнува	b r̩ t͡s n u v a
бршленов	b r̩ ʃ l ɛ n ɔ f
бубаче	b u b a t͡ʃ ɛ
бубачка	b u b a t͡ʃ k a
бубрежен	b u b r ɛ ʒ ɛ n
бугар	b u ɡ a r
бугарин	b u ɡ a ɾ i n
бугарија	b u ɡ a ɾ i j a
бугарка	b u ɡ a r k a
бугарски	b u ɡ a r s k i
будала	b u d a ɫ a
будалест	b u d a l ɛ s t
будалче	b u d a ɫ t͡ʃ ɛ
будилник	b u d i ɫ n i k
будимпештански	b u d i m p ɛ ʃ t a n s k i
буква	b u k v a
буков	b u k ɔ f
букурешт	b u k u ɾ ɛ ʃ t
булка	b u ɫ k a
бумбар	b u m b a r
бумбаров	b u m b a ɾ ɔ f
бумбарче	b u m b a r t͡ʃ ɛ
бунар	b u n a r
бунарски	b u n a r s k i
бунарче	b u n a r t͡ʃ ɛ
бунгалов	b u ŋ ɡ a ɫ ɔ f
бундичка	b u n d i t͡ʃ k a
бунтови	b u n t ɔ v i
бунтовништво	b u n t ɔ v n i ʃ t v ɔ
бура	b u ɾ a
бургас	b u r ɡ a s
буржоазија	b u r ʒ ɔ a z i j a
бурност	b u r n ɔ s t
бут	b u t
бутан	b u t a n
бутнува	b u t n u v a
бутче	b u t t͡ʃ ɛ
буцнува	b u t͡s n u v a
бучава	b u t͡ʃ a v a
бучкуриш	b u t͡ʃ k u ɾ i ʃ
бушавост	b u ʃ a v ɔ s t
бушилка	b u ʃ i ɫ k a
бујност	b u j n ɔ s t
бујрум	b u j r u m
в	f
в	v
в	v ə
вага	v a ɡ a
вагон	v a ɡ ɔ n
вагонче	v a ɡ ɔ n t͡ʃ ɛ
вадуц	v a d u t͡s
вадучки	v a d u t͡ʃ k i
вазал	v a z a ɫ
вака	v a k a
валенција	v a l ɛ n t͡s i j a
валиден	v a l i d ɛ n
валидност	v a l i d n ɔ s t
валканост	v a ɫ k a n ɔ s t
вампир	v a m p i r
вампирски	v a m p i r s k i
вампирче	v a m p i r t͡ʃ ɛ
ваму	v a m u
варварин	v a r v a ɾ i n
варварка	v a r v a r k a
варварство	v a r v a r s t v ɔ
варен	v a ɾ ɛ n
вари	v a ɾ i
варна	v a r n a
варов	v a ɾ ɔ f
варшава	v a r ʃ a v a
ватерполо	v a t ɛ r p ɔ ɫ ɔ
ватикански	v a t i k a n s k i
ваш	v a ʃ
вашингтон	v a ʃ i ŋ k t ɔ n
вашингтонски	v a ʃ i ŋ k t ɔ n s k i
вбројува	v b r ɔ j u v a
вдлабнатост	v d ɫ a b n a t ɔ s t
вдовство	v d ɔ f s t v ɔ
веб	v ɛ p
веда	v ɛ d a
веднаш	v ɛ d n a ʃ
ведро	v ɛ d r ɔ
ведрост	v ɛ d r ɔ s t
вежбанка	v ɛ ʒ b a ŋ k a
вез	v ɛ s
везден	v ɛ z d ɛ n
везе	v ɛ z ɛ
везиров	v ɛ z i ɾ ɔ f
везирство	v ɛ z i r s t v ɔ
век	v ɛ k
века	v ɛ k a
велепредавство	v ɛ l ɛ p r ɛ d a f s t v ɔ
велигден	v ɛ l i ɡ d ɛ n
велик	v ɛ l i k
велингтон	v ɛ l i ŋ k t ɔ n
велингтонски	v ɛ l i ŋ k t ɔ n s k i
величество	v ɛ l i t͡ʃ ɛ s t v ɔ
велможа	v ɛ ɫ m ɔ ʒ a
велосипед	v ɛ ɫ ɔ s i p ɛ t
венеција	v ɛ n ɛ t͡s i j a
венечен	v ɛ n ɛ t͡ʃ ɛ n
вентилациски	v ɛ n t i ɫ a t͡s i s k i
вентилација	v ɛ n t i ɫ a t͡s i j a
венче	v ɛ n t͡ʃ ɛ
вепар	v ɛ p a r
вера	v ɛ ɾ a
вереник	v ɛ ɾ ɛ n i k
верничка	v ɛ r n i t͡ʃ k a
веровит	v ɛ ɾ ɔ v i t
вероотстапник	v ɛ ɾ ɔ ɔ t s t a p n i k
веројатно	v ɛ r ɔ j a t n ɔ
весел	v ɛ s ɛ ɫ
веселост	v ɛ s ɛ ɫ ɔ s t
вест	v ɛ s t
вестителка	v ɛ s t i t ɛ ɫ k a
ветер	v ɛ t ɛ r
ветеран	v ɛ t ɛ r a n
ветерче	v ɛ t ɛ r t͡ʃ ɛ
ветка	v ɛ t k a
ветре	v ɛ t r ɛ
ветренце	v ɛ t r ɛ n t͡s ɛ
ветрило	v ɛ t r i ɫ ɔ
ветришта	v ɛ t r i ʃ t a
ветриште	v ɛ t r i ʃ t ɛ
ветрови	v ɛ t r ɔ v i
ветровит	v ɛ t r ɔ v i t
ветруле	v ɛ t r u l ɛ
вечера	v ɛ t͡ʃ ɛ ɾ a
вечерашен	v ɛ t͡ʃ ɛ ɾ a ʃ ɛ n
вечерва	v ɛ t͡ʃ ɛ r v a
вечно	v ɛ t͡ʃ n ɔ
веќе	v ɛ c ɛ
вжештеност	v ʒ ɛ ʃ t ɛ n ɔ s t
взори	v z ɔ ɾ i
вибрациски	v i b r a t͡s i s k i
вибрација	v i b r a t͡s i j a
видело	v i d ɛ ɫ ɔ
видра	v i d r a
видрин	v i d r i n
видричка	v i d r i t͡ʃ k a
вие	v i j ɛ
виена	v i j ɛ n a
виенски	v i j ɛ n s k i
виза	v i z a
викенд	v i k ɛ n t
викендичка	v i k ɛ n d i t͡ʃ k a
вики	v i k i
викинг	v i k i ŋ k
викиншки	v i k i n ʃ k i
википедија	v i k i p ɛ d i j a
викиречник	v i k i r ɛ t͡ʃ n i k
вилин	v i l i n
вилица	v i l i t͡s a
вилнус	v i ɫ n u s
вилнуски	v i ɫ n u s k i
вилушка	v i ɫ u ʃ k a
виме	v i m ɛ
винарка	v i n a r k a
винарски	v i n a r s k i
винарство	v i n a r s t v ɔ
вино	v i n ɔ
винов	v i n ɔ f
виножито	v i n ɔ ʒ i t ɔ
винце	v i n t͡s ɛ
виолина	v i j ɔ l i n a
вирус	v i ɾ u s
висне	v i s n ɛ
виснува	v i s n u v a
високообразовен	v i s ɔ k ɔ ɔ b r a z ɔ v ɛ n
високосен	v i s ɔ k ɔ s ɛ n
висост	v i s ɔ s t
височина	v i s ɔ t͡ʃ i n a
вистинољубивост	v i s t i n ɔ l u b i v ɔ s t
витез	v i t ɛ s
витези	v i t ɛ z i
витешки	v i t ɛ ʃ k i
витештва	v i t ɛ ʃ t v a
витештво	v i t ɛ ʃ t v ɔ
витка	v i t k a
виткост	v i t k ɔ s t
витлер	v i t l ɛ r
виуличав	v i j u l i t͡ʃ a f
више	v i ʃ ɛ
вишнов	v i ʃ n ɔ f
вишок	v i ʃ ɔ k
виљушка	v i l u ʃ k a
вклопеност	f k ɫ ɔ p ɛ n ɔ s t
вклучителност	f k ɫ u t͡ʃ i t ɛ ɫ n ɔ s t
