अं	ʌ̃ m
चक्कु	t͡s ʌ k̚ k u
चढ्नु	t͡s ʌ ɽ ɳ ũ
चन्द्र	t͡s ʌ̃ n̪ d̪ r ʌ
चन्द्रमा	t͡s ʌ̃ n̪ d̪ r ʌ̃ m ä
चरा	t͡s ʌ ɾ ä
चरित्र	t͡s ʌ ɾ i t̪ r ʌ
चलचित्र	t͡s ʌ l̻ t͡s i t̪ r ʌ
चलन	t͡s ʌ l ʌ̃ n
चल्नु	t͡s ʌ l n ũ
चवालीस	t͡s ʌ w ä l i s
चाख	t͡s ä k̞ʰ
चाट	t͡s ä ʈ
चार	t͡s ä r
चालीस	t͡s ä l i s
चाहिँ	t͡s ä ĩ̯
चिउरा	t͡s i u̯ ɾ ä
चिक्नु	t͡s i k n ũ
चिठी	t͡s i ʈ̚ ʈʰ i
चिडी	t͡s i ɽ i
चित्त	t͡s i t̪̚ t̪ ʌ
चिनी	t͡s ĩ n ĩ
चिया	t͡s i j ä
चीन	t͡s ĩ n
चीनियाँ	t͡s ĩ n ĩ j ä̃
चुरोट	t͡s u ɾ o ʈ
चौका	t͡s ʌ u̯ k ä
चौतारी	t͡s ʌ u̯ t̪ ä ɾ i
चौध	t͡s ʌ u̯ d̪ ʌ
चौरत्तर	t͡s ʌ u̯ ɾ ʌ t̪̚ t̪ ʌ r
चौरानब्बे	t͡s ʌ u̯ ɾ ä̃ n ʌ b̚ b e
चौरासी	t͡s ʌ u̯ ɾ ä s i
चौवन्न	t͡s ʌ u̯ w ʌ̃ nː ʌ
चौहत्तर	t͡s ʌ u̯ ɦ ʌ t̪̚ t̪ ʌ r
छक्का	t͡sʰ ʌ k̚ k ä
छत्तीस	t͡sʰ ʌ t̪̚ t̪ i s
छन्	t͡sʰ ʌ̃ n
छप्पन्न	t͡sʰ ʌ p̚ p ʌ̃ nː ʌ
छब्बीस	t͡sʰ ʌ b̚ b i s
छयत्तर	t͡sʰ ʌ e̞ t̪̚ t̪ ʌ r
छयसट्ठी	t͡sʰ ʌ e̞ s ʌ ʈ̚ ʈʰ i
छयानब्बे	t͡sʰ ʌ j ä̃ n ʌ b̚ b e
छयालीस	t͡sʰ ʌ j ä l i s
छयासी	t͡sʰ ʌ j ä s i
छहत्तर	t͡sʰ ʌ ɦ ʌ t̪̚ t̪ ʌ r
छाउपडी	t͡sʰ ä u̯ p ʌ ɽ i
छाना	t͡sʰ ä̃ n ä
छान्नु	t͡sʰ ä̃ nː ũ
छिट्टो	t͡sʰ i ʈ̚ ʈ o
छिनो	t͡sʰ ĩ n o
छिमेकी	t͡sʰ ĩ m e k i
छेत्रिनी	t͡sʰ e t̪ r ĩ n ĩ
छैन	t͡s ʌ ĩ̯ n ʌ
छैनौ	t͡sʰ ʌ ĩ̯ n ʌ u̯
छोग्याल	t͡sʰ o ɡ j ä l
छोरा	t͡sʰ o ɾ ä
छोरी	t͡sʰ o ɾ i
छोरो	t͡sʰ o ɾ o
छोल्नु	t͡sʰ o l n ũ
जङ्गल	d͡z ʌ̃ ŋ ɡ ʌ l
जनकपुर	d͡z ʌ̃ n ʌ k̚ p u r
जनसंख्या	d͡z ʌ̃ n ʌ̃ s ʌ̃ ŋ kʰ j ä
जनसङ्ख्या	d͡z ʌ̃ n ʌ̃ s ʌ̃ ŋ kʰ j ä
जना	d͡z ʌ̃ n ä
जनावर	d͡z ʌ̃ n ä w ʌ r
जन्मदिन	d͡z ʌ̃ n m ʌ d̪ ĩ n ʌ
जम्मा	d͡z ʌ̃ mː ä
जरो	d͡z ʌ ɾ o
जर्मनी	d͡z ʌ r m ʌ̃ n ĩ
जसमा	d͡z ʌ s m ä
जसलाई	d͡z ʌ s l ä i̯
जहाँ	d͡z ä̃
जहाँ	d͡z ä̆ ɦ ä̤̃
जहाज	d͡z ä̆ ɦ ä̤ d͡z
जाँच्नु	d͡z ä̃ t͡s n ũ
जाँठो	d͡z ä̃ ʈʰ o
जाडो	d͡z ä ɽ o
जाति	d͡z ä t̪ i
जानु	d͡z ä̃ n ũ
जामुनी	d͡z ä̃ m ũ n ĩ
जिउनु	d͡z i ũ̯ n ũ
जिल्ला	d͡z i l l ä
जीवनी	d͡z i b ʌ̃ n ĩ
जुत्ता	d͡z u t̪̚ t̪ ä
जुन	d͡z ũ n
जेठानी	d͡z e ʈʰ ä̃ n ĩ
जेब्रा	d͡z e b r ä
ज्ञान	ɡ j ä̃ n
झ	d͡zʱ ʌ̤
झरी	d͡zʱ ʌ̤ ɾ i
झाँट	d͡zʱ ä̤̃ ʈ
झाक्री	d͡zʱ ä̤ k r i
झाडु	d͡zʱ ä̤ ɽ u
झोला	d͡zʱ o̤ l ä
झ्याल	d͡zʱ j ä l
टाउको	ʈ ä u̯ k o
टाढा	ʈ ä ɽ ä
टीका	ʈ i k ä
टोक्नु	ʈ o k n ũ
ट्याक्सी	ʈ j ä k s i
ठकुरी	ʈʰ ʌ k u ɾ i
ठन्कनु	ʈʰ ʌ̃ n k ʌ̃ n ũ
ठन्काउनु	ʈʰ ʌ̃ n k ä u̯ n ũ
ठाउँ	ʈʰ ä ũ̯
ठोक्नु	ʈʰ o k n ũ
डराउनु	ɖ ʌ ɾ ä u̯ n ũ
डाक्टर	ɖ ä k̚ ʈ ʌ r
डाक्टर	ɖ ʌ k̚ ʈ ʌ r
डाक्टरी	ɖ ä k̚ ʈ ʌ ɾ i
डुङ्गा	ɖ ũ ŋ ɡ ä
डुल्नु	ɖ u l n ũ
डेनमार्क	ɖ ẽ n m ä r k
ढ	ɖʱ ʌ̤
ढाक्नु	ɖʱ ä̤ k n ũ
ढिँडो	ɖʱ ĩ ɽ o
ढिलो	ɖʱ i̤ l o
ढोका	ɖʱ o̤ k ä
ण	ɽ̃ ʌ
ण	ʌ̃ ɽ̃ ʌ
तँमा	t̪ ʌ̃ m ä
तँलाई	t̪ ʌ̃ l ä i̯
तथा	t̪ ʌ t̪ʰ ä
तथापि	t̪ ʌ t̪ʰ ä p i
तन्ना	t̪ ʌ̃ nː ä
तपाईं	t̪ ʌ p ä ĩ̯
तपाईंको	t̪ ʌ p ä ĩ̯ k o
तपाईंमा	t̪ ʌ p ä ĩ̯ m ä
तपाईंलाई	t̪ ʌ p ä ĩ̯ l ä i̯
तपाईंले	t̪ ʌ p ä ĩ̯ l e
तर	t̪ ʌ ɾ ʌ
तरकारी	t̪ ʌ r k ä ɾ i
तातो	t̪ ä t̪ o
ताप	t̪ ä p
तापक्रम	t̪ ä p̚ k r ʌ̃ m
तारा	t̪ ä ɾ ä
ताल	t̪ ä l
तास	t̪ ä s
तिक्का	t̪ i k̚ k ä
तिब्बत	t̪ i b̚ b ʌ t̪
तिमि	t̪ ĩ m ĩ
तिमी	t̪ ĩ m ĩ
तिमीमा	t̪ ĩ m ĩ m ä
तिमीलाई	t̪ ĩ m ĩ l ä i̯
तिमीले	t̪ ĩ m ĩ l e
तिम्रो	t̪ ĩ m r o
तिर	t̪ i ɾ ʌ
तिरत्तर	t̪ i ɾ ʌ t̪̚ t̪ ʌ r
तिरानब्बे	t̪ i ɾ ä̃ n ʌ b̚ b e
तिरासी	t̪ i ɾ ä s i
तिर्चालिस	t̪ i r t͡s ä l i s
तिर्नु	t̪ i r n ũ
तिर्पन्न	t̪ i r p ʌ̃ nː ʌ
तिहार	t̪ i j ä r
तीन	t̪ ĩ n
तुतुरो	t̪ u t̪ u ɾ o
तुरी	t̪ u ɾ i
तेजारत	t̪ e d͡z ä ɾ ʌ t̪
तेत्तीस	t̪ e t̪̚ t̪ i s
तेरो	t̪ e ɾ o
तेह्र	t̪ e ɾ ʌ
त्यसको	t̪ e s k o
त्यसमा	t̪ e s m ä
त्यसलाई	t̪ e s l ä i̯
त्यसले	t̪ e s l e
त्यहाँ	t̪ j ä̃
त्यहाँ	t̪ j ä̆ ɦ ä̤̃
त्रिचालीस	t̪ r i t͡s ä l i s
त्रिपन्न	t̪ r i p ʌ̃ nː ʌ
त्रियासी	t̪ r i j ä s i
त्रिसट्ठी	t̪ r i s ʌ ʈ̚ ʈʰ i
थापा	t̪ʰ ä p ä
थाल	t̪ʰ ä l
थाह	t̪ʰ ä ɦ ä̆
थाहा	t̪ʰ ä ɦ ä
थुक्नु	t̪ʰ u k n ũ
थुरी	t̪ʰ u ɾ i
दक्षिण	d̪ ʌ k̚ kʰ ĩ n , d̪ ʌ k t͡sʰ ĩ ɽ
दक्षिण	d̪ ʌ k̚ t͡sʰʲ i ɽ̃
दगुर्नु	d̪ ʌ ɡ u r n ũ
दाँज्नु	d̪ ä̃ d͡z n ũ
दाँत	d̪ ä̃ t̪
दाइ	d̪ ä i̯
दाई	d̪ ä i̯
दाजु	d̪ ä d͡z u
दाना	d̪ ä̃ n ä
दार्जिलिङ	d̪ ä r d͡z i l ĩ ŋ
दिन	d̪ ĩ n ʌ
दिनु	d̪ ĩ n ũ
दुक्का	d̪ u k̚ k ä
दुखी	d̪ u k̞ʰ i
दुख्नु	d̪ u k̞ʰ n ũ
दुध	d̪ u d̪
दुश्मन	d̪ u s m ʌ̃ n
दूध	d̪ u d̪
देखाउनु	d̪ e k̞ʰ ä u̯ n ũ
देखि	d̪ e k̞ʰ i
देख्नु	d̪ e k̞ʰ n ũ
देवनागरी	d̪ e b ʌ̃ n ä ɡ ʌ ɾ i
दोकान	d̪ o k ä̃ n
दौडनु	d̪ ʌ u̯ ɽ ʌ̃ n ũ
ध	d̪ʱ ʌ̤
धनगढी	d̪ʱ ʌ̤̃ n ɡ ʌ ɽ i
धन्यवाद	d̪ʱ ʌ̤̃ nː e b ä d̪
धरान	d̪ʱ ʌ̤ ɾ ä̃ n
धर्म	d̪ʱ ʌ̤ r m ʌ
धुनु	d̪ʱ ṳ̃ n ũ
ध्वासे	d̪ʱ w ä s e
नक्सा	n ʌ k s ä
नगर	n ʌ ɡ ʌ ɾ ʌ
नजिक	n ʌ̃ d͡z i k
नदी	n ʌ̃ d̪ i
नब्बे	n ʌ b̚ b e
नमस्कार	n ʌ̃ m ʌ s k ä r
नमस्ते	n ʌ̃ m ʌ s t̪ e
नयाँ	n ʌ j ä̃
नराम्रो	n ʌ ɾ ä̃ m r o
नाइटो	n ä i̯ ʈ o
नाच	n ä̃ t͡s ʌ
नाच्नु	n ä̃ t͡s n ũ
नानी	n ä̃ n ĩ
नाम	n ä̃ m
नि	n ĩ
निद्रा	n ĩ d̪ r ä
निम्ति	n ĩ m t̪ i
निर्माण	n ĩ r m ä ɽ̃
निलो	n ĩ l o
निस्कनु	n ĩ s k ʌ̃ n ũ
नील	n ĩ l
नीलो	n ĩ l o
नुन	n ũ n
नेपाल	n e p ä l
नेपालको	n e p ä l k o
नेपालगंज	n e p ä l ɡ ʌ̃ n̻ d͡z
नेपालगञ्ज	n e p ä l ɡ ʌ̃ n̻ d͡z
नेपाली	n e p ä l i
नैनु	n ʌ ĩ̯ n ũ
न्यानो	n j ä̃ n o
पंजा	p ʌ̃ n̻ d͡z ä
पकाउनु	p ʌ k ä u̯ n ũ
पकौडा	p ʌ k ʌ u̯ ɽ ä
पक्का	p ʌ k̚ k ä
पखाला	p ʌ k̞ʰ ä l ä
पचत्तर	p ʌ t͡s ʌ t̪̚ t̪ ʌ r
पचपन्न	p ʌ t͡s p ʌ̃ nː ʌ
पचहत्तर	p ʌ t͡s ʌ ɦ ʌ t̪̚ t̪ ʌ r
पचास	p ʌ t͡s ä s
पचासी	p ʌ t͡s ä s i
पच्चीस	p ʌ t̚ t͡s i s
पढ	p ʌ ɽ ʌ
पढाउनु	p ʌ ɽ ä u̯ n ũ
पढ्	p ʌ ɽ
पढ्नु	p ʌ ɽ ɳ ũ
पढ्नुहोस्	p ʌ ɽ ɳ ũ ɦ o s
पत्रिका	p ʌ t̪ r i k ä
पनि	p ʌ̃ n ĩ
पन्चानब्बे	p ʌ̃ n̻ t͡s ä̃ n ʌ b̚ b e
पन्जा	p ʌ̃ n̻ d͡z ä
पन्द्र	p ʌ̃ n̪ d̪ r ʌ
पन्ध्र	p ʌ̃ n̪ d̪ʱ r ʌ
परासी	p ʌ ɾ ä s i
परिचय	p ʌ ɾ i t͡s e
परिचय	p ʌ ɾ i t͡s ʌ e̞
परिबार	p ʌ ɾ i b ä r
परिवार	p ʌ ɾ i w ä r
परीक्षा	p ʌ ɾ i k̚ t͡sʰʲ ä
परेली	p ʌ ɾ e l i
पर्खनु	p ʌ r kʰ ʌ̃ n ũ
पश्चिम	p ʌ s t͡s ĩ m
पस्नु	p ʌ s n ũ
पहाड	p ä̆ ɦ ä̤ ɖ
पहिला	p ʌ i̯ l ä
पहिले	p ʌ i̯ l e
पहिलो	p ʌ i̯ l o
पाँच	p ä̃ t͡s
पाक्नु	p ä k n ũ
पाखुरा	p ä k̞ʰ u ɾ ä
पाठ	p ä ʈʰ
पात	p ä t̪
पान	p ä̃ n
पानी	p ä̃ n ĩ
पाहुना	p ä u̯ n ä
पिउनु	p i ũ̯ n ũ
पिट्नु	p i ʈ ɳ ũ
पिपीलिका	p i p i l i k ä
पिरो	p i ɾ o
पुग्नु	p u ɡ n ũ
पुनः	p ũ n ʌ ɦ ʌ
पुरातत्त्वशास्त्र	p u ɾ ä t̪ ʌ t̪̚ t̪ o s ä s t̪ r ʌ
पुरानो	p u ɾ ä̃ n o
पुस्तकालय	p u s t̪ ʌ k ä l ʌ e̞
पूर्व	p u rː o
पृथ्वी	p ɾ i t̪ʰ b i
पृथ्वी	p ɾ i t̪ʰ i b i
पृष्ठ	p ɾ i s̠ t̠ʰ ʌ
पैँचालीस	p ʌ̃ i̯ t͡s ä l i s
पैंतालीस	p ʌ̃ i̯ t̪ ä l i s
पैंसट्ठी	p ʌ̃ i̯ s ʌ ʈ̚ ʈʰ i
पैसा	p ʌ i̯ s ä
पोखरा	p o k̞ʰ ʌ ɾ ä
पौने	p ʌ ũ̯ n e
प्यारो	p j ä ɾ o
प्रकाशाणु	p r ʌ k ä s ä ɽ̃ u
प्रकृति	p r ʌ k ɾ i t̪ i
प्रत्यक्ष	p r ʌ t̪ t̪ e k̚ t͡sʰʲ ʌ
प्रत्यक्ष	p r ʌ t̪ ʌ k̚ t͡sʰʲ ʌ
प्रबिधि	p r ʌ b i d̪ i
प्रमुख	p r ʌ̃ m ũ kʰ
प्रयोगकर्ता	p r ʌ j o ɡ k ʌ r t̪ ä
प्रविधि	p r ʌ b i d̪ i
प्रश्नहरू	p r ʌ s n ʌ ɦ ʌ ɾ u
प्रहरी	p r ʌ ɦ ʌ ɾ i
प्राय	p r ä e̞
प्राय	p r ä j ʌ
प्रेम	p r ẽ m
फरक	pʰ ʌ ɾ ʌ k
फेब्रुअरी	pʰ e b r u ʌ ɾ i
फेरि	pʰ e ɾ i
फेर्नु	pʰ e r n ũ
फ्याँक्नु	pʰ j ä̃ k n ũ
बच्चा	b ʌ t̚ t͡s ä
बजाउनु	b ʌ d͡z ä u̯ n ũ
बजार	b ʌ d͡z ä r
बत्तीस	b ʌ t̪̚ t̪ i s
बदाम्	b ʌ d̪ ä̃ m
बदाम्	b ʌ d̪ ʌ̃ m
बन्द	b ʌ̃ n̪ d̪ ʌ
बयानब्बे	b ʌ j ä̃ n ʌ b̚ b e
बयालीस	b ʌ j ä l i s
बयासी	b ʌ j ä s i
बरफ	b ʌ ɾ ʌ ɸ
बर्खा	b ʌ r kʰ ä
बसन्त	b ʌ s ʌ̃ n̪ t̪ ʌ
बस्नु	b ʌ s n ũ
बहत्तर	b ʌ ɦ ʌ t̪̚ t̪ ʌ r
बहिनी	b ʌ i̯ n ĩ
बहिनी	b ʌ ĩ̯ n ĩ
बा	b ä
बाईस	b ä i̯ s
बाउन्न	b ä u̯ nː ʌ
बाकस	b ä k ʌ s
बाख्रा	b ä k̞ʰ r ä
बाघ	b ä ɡ̞
बाथ	b ä t̪ʰ
बादल	b ä d̪ ʌ l
बादशाह	b ä d̪ s ä ɦ ä̆
बाबु	b ä b u
बारेमा	b ä ɾ ẽ m ä
बाहुन	b ä u̯ n
बाह्र	b ä ɾ ʌ
बिकास	b i k ä s
बिज्ञान	b i ɡ j ä̃ n
बिदा	b i d̪ ä
बिपना	b i p ʌ̃ n ä
