అ	ɐ
చర్య	t ʃ a r j a
చలి	t ʃ a l i
చాకు	t͡ʃ aː k u
చుంబనము	t ʃ u m b a n a m u
చూచుకము	t ʃ uː t ʃ u k a m u
చెండు	t͡ʃ e ɳ ɖ u
చెంబు	t ʃ ɛ m b u
చెక్కిలి	t ʃ e kː i l i
చెవి	t ʃ e ʋ i
చేటు	t͡ʃ eː ʈ u
చైత్రము	t ʃ a j t r a m u
జరాయువు	d͡ʒ a r aː j u ʋ u
జానువు	j aː n u ʋ u
జామాత	d ʒ aː m aː t a
జాలము	d͡ʒ aː l a m u
జిరాఫీ	d ʒ i r aː pʰ iː
జీవి	d ʒ iː ʋ i
జ్ఞానము	d͡ʒ ɲ aː n a m u
జ్ఞాపకము	d͡ʒ ɲ aː p a k a m u
జ్యా	d͡ʒ j aː
జ్యేష్ఠ	d͡ʒ j eː ʂ ʈʱ a
టూకీ	ʈ uː k iː
టెంకాయ	ʈ e ŋ k aː j a
ఠాణా	ʈʱ aː ɳ aː
డ	ɖ
డ	ɖ a
డేగ	ɖ eː ɡ a
త	t
త	t a
తాటాకు	t aː ʈ aː k u
తాపము	t aː p a m u
తామసము	t aː m a s a m u
తారుమారు	t aː r u m aː r u
తాలూకా	t aː l uː k aː
తావి	t aː ʋ i
తావు	t aː ʋ u
తిండి	t i ɳ ɖ i
తిరుమల	t i r u m a l a
తిరువారాధనము	t i r u ʋ aː r aː dʱ a n a m u
తోడు	t oː ɖ u
దండ	d a ɳ ɖ a
దండి	d a ɳ ɖ i
దండు	d a ɳ ɖ u
దండుగ	d a ɳ ɖ u ɡ a
దాశరథి	d aː ʃ a r a tʱ i
దాసుడు	d aː s u ɖ u
దిండు	d i ɳ ɖ u
దిట్ట	d i ʈː a
దిశ	d i ʃ a
దిష్టి	d i ʂ ʈ i
దేవిడీ	d eː ʋ i ɖ iː
ధనము	dʱ a n a m u
ధనియాలు	dʱ a n i j aː l u
ధీర	dʱ iː r a
ధూపము	dʱ uː p a m u
ధేనువు	dʱ eː n u ʋ u
న	n
న	n a
నగ	n a ɡ a
నమః	n a m a h
నమూనా	n a m uː n aː
నవనీతము	n a ʋ a n iː t a m u
నారంగము	n aː r a ŋ ɡ a m u
నారదుడు	n aː r a d u ɖ u
నారింజ	n aː r i ɲ d͡ʒ a
నివృత్తి	n i ʋ r i t t i
నిశ్	n i ʃ
నుడికారము	n u ɖ i k aː r a m u
నూనె	n uː n e
నృపతి	n r i p a t i
పంగ	p a ŋ ɡ a
పంచ	p a ɲ t ʃ a
పండు	p a ɳ ɖ u
పక్షి	p a k ʂ i
పచ్చ	p a ʈ s ʈ s a
పచ్చడి	p a ʈ s ʈ s a ɖ i
పటము	p a ʈ a m u
పడతి	p a ɖ a t i
పడమర	p a ɖ a m a r a
పత్రిక	p a t r i k a
పథ్యము	p a tʱ j a m u
పన్నీరు	p a nː iː r u
పరిచయము	p a r i t ʃ a j a m u
పాంకోడు	p aː ŋ k oː ɖ u
పాంచజన్యము	p aː ɲ t ʃ a j a n j a m u
పాంచాలము	p aː ɲ t ʃ aː l a m u
పాండవులు	p aː ɳ ɖ a ʋ u l u
పాండిత్యము	p aː ɳ ɖ i t j a m u
పాడ్యమి	p aː ɖ j a m i
పాయసము	p aː j a s a m u
పావడ	p aː ʋ a ɖ a
పిడక	p i ɖ a k a
పిడత	p i ɖ a t a
పీచు	p iː ʈ s u
పుల్లింగము	p u lː i ŋ ɡ a m u
పుష్కరము	p u ʂ k a r a m u
పుష్యము	p u ʂ j a m u
పూజ	p uː d ʒ a
పూట	p uː ʈ a
పూర్ణము	p uː r ɳ a m u
పూర్తి	p uː r t i
పూవిల్లు	p uː ʋ i lː u
పూవు	p uː ʋ u
పూస	p uː s a
పెంకు	p e ŋ k u
పెట్ట	p e ʈː a
పెనిమిటి	p e n i m i ʈ i
పైడి	p a j ɖ i
ప్రత్యర్థి	p r a t j a r tʰ i
ప్రబుద్ధుడు	p r a b u dːʱ u ɖ u
ప్రశాంతి	p r a ʃ aː n t i
ప్రశ్న	p r a ʃ n a
ప్రసంగము	p r a s a ŋ ɡ a m u
ప్రేమ	p r eː m a
ఫాలము	pʱ aː l a m u
బండ	b a ɳ ɖ a
బండారు	b a ɳ ɖ aː r u
బట్ట	b a ʈː a
బడి	b a ɖ i
బుట్ట	b u ʈː a
బూటకము	b uː ʈ a k a m u
బూడిద	b uː ɖ i d a
బూతు	b uː t u
బెరడు	b e r ʌ ɖ u
బేరము	b eː r a m u
భాద్రపదము	bʱ aː d r a p a d a m u
మ	m ə
మంచము	m a ɲ t͡ʃ a m u
మంచి	m a ɲ t͡ʃ i
మంజరి	m a ɲ d͡ʒ a r i
మంజిష్ఠ	m a ɲ d͡ʒ i ʂ ʈʱ a
మక్కా	m a k k ā
మచ్చ	m a ʈ s ʈ s a
మట్ట	m a ʈː a
మర్కటము	m a r k a ʈ a m u
మర్యాద	m a r j aː d a
మాఘము	m aː ɡʱ a m u
మార్గశిరము	m aː r ɡ a ʃ i r a m u
మాసికము	m aː s i k a m u
మిలమిల	m i l a m i l a
ముఖాముఖి	m u kʱ aː m u kʱ i
ముజ్జగము	m u d͡ː ʒ a ɡ a m u
ముట్టె	m u ʈː e
మున్నీరు	m u nː iː r u
మున్నూరు	m u nː uː r u
మేలు	m eː l u
మేళనము	m eː ɭ a n a m u
యక్షుడు	j a k ʂ u ɖ u
ర	r
ర	r a
రావు	r aː ʋ u
రూక	r uː k a
రే	r eː
రేఖ	r eː kʱ a
రేగు	r eː ɡ u
రేచీకటి	r eː t ʃ iː k a ʈ i
రేడు	r eː ɖ u
రేణుక	r eː ɳ u k a
రేణువు	r eː ɳ u ʋ u
రోగము	r oː ɡ a m u
రోదసి	r oː d a s i
ఱ	ɽ
ఱ	ɽ a
లంఘనము	l a ŋ ɡʱ a n a m u
లడ్డు	l a ɖː u
లెంక	l e ŋ k a
లేఖ	l eː kʰ a
లోహము	l oː h a m u
వచనము	ʋ a t ʃ a n a m u
వడి	v a ɖ i
వడియము	v a ɖ i j a m u
వడిసెల	ʋ a ɖ i s e l a
వాక్కు	ʋ aː kː u
విజయము	ʋ i d ʒ a j a m u
విజాతి	ʋ i d ʒ aː t i
విజ్ఞానము	ʋ i d ʒ ɲ aː n a m u
విమోచనము	ʋ i m oː t͡ʃ a n a m u
విలయము	ʋ i l a j a m u
విలవిల	ʋ i l a ʋ i l a
విలాసము	ʋ i l aː s a m u
వీసము	ʋ iː s a m u
వృంతము	ʋ r i n t a m u
వృకము	ʋ r i k a m u
వృక్షము	ʋ r i k ʂ a m u
వెండి	ʋ e ɳ ɖ i
వేదన	ʋ eː d a n a
వేదము	ʋ eː d a m u
వైశాఖము	ʋ a j ʃ aː kʰ a m u
వ్యంగ్యము	ʋ j a ŋ ɡ j a m u
వ్యవసాయము	ʋ j a ʋ a s aː j a m u
వ్యాసంగము	ʋ j aː s a ɳ ɡ a m u
శాకము	ʃ aː k a m u
శైలము	ʃ a j l a m u
శైవలము	ʃ a j ʋ a l a m u
శైశవము	ʃ a j ʃ a ʋ a m u
శ్రావణము	ʃ r aː ʋ a ɳ a m u
శ్రీకారము	ʃ r iː k aː r a m u
శ్రీగంధము	ʃ r iː ɡ a n dʱ a m u
శ్రేణి	ʃ r eː ɳ i
శ్రేయము	ʃ r eː j a m u
శ్రేష్ఠుడు	ʃ r eː ʂ ʈʰ u ɖ u
శ్రోణి	ʃ r oː ɳ i
సంఘము	s a ŋ ɡʱ a m u
సంచి	s a ɲ t ʃ i
సంప్రోక్షణము	s a m p r oː k ʂ a ɳ a m u
సంసారము	s a n s aː r a m u
సంస్థానము	s a n s tʱ aː n a m u
సంహిత	s a m h i t a
సజాతి	s a d ʒ aː t i
సమావేశము	s a m aː ʋ eː ʃ a m u
సరళము	s a r a ɭ a m u
సరసము	s a r a s a m u
సరీసృపము	s a r iː s r i p a m u
సాంఖ్యము	s aː ŋ kʱ j a m u
సీ	s iː
సీసము	s ī s a m u
సుతుడు	s u t u ɖ u
సుదతి	s u d a t i
సుదర్శనము	s u d a r ʃ a n a m u
సోపానము	s oː p aː n a m u
స్వరము	s ʋ a r a m u
స్వాతంత్ర్యము	s ʋ aː t a n t r y a m u
స్వాతి	s ʋ aː t i
స్వాదనము	s ʋ aː d a n a m u
స్వాధీనము	s ʋ aː dʱ iː n a m u
స్వేదము	s ʋ eː d a m u
హరిణము	h a r i ɳ a m u
హర్షము	h a r ʂ a m u
హేమము	h eː m a m u
ా	a
ి	i
ొ	o
ో	oː
