a	aː
lūkini	l uː k i n i
mahalo	m a h a l o
mahana	m a h a n a
mahelona	m a h e l o n a
mahina	m a h i n a
mahū	m a h uː
maile	m a j l e
maka	m a k a
makaio	m a k a j o
makaleka	m a k a l e k a
makalika	m a k a l i k a
makamae	m a k a m a e̯
makana	m a k a n a
makani	m a k a n i
makanui	m a k a n u i
makia	m a k i a
makoa	m a k o a
mala	m a l a
malaea	m a l a e̯ a
malaki	m a l a k i
maleka	m a l e k a
maleko	m a l e k o
malia	m a l i a
manawa	m a n a v a
manu	m a n u
manuela	m a n u e l a
mauli	m a w l i
mauna	m a w n a
mei	m e j
mele	m e l e
meleana	m e l e a n a
melia	m e l i a
mika	m i k a
mikala	m i k a l a
mileka	m i l e k a
miliama	m i l i a m a
mililani	m i l i l a n i
mina	m i n a
moa	m o a
moana	m o a n a
moani	m o a n i
moena	m o e n a
moke	m o k e
mokihana	m o k i h a n a
momi	m o m i
momilani	m o m i l a n i
mona	m o n a
mua	m u a
māhealani	m aː h e a l a n i
mākaukau	m aː k a w k a w
māla	m aː l a
mālie	m aː l i e
māpuana	m aː p u a n a
māui	m aː w i
nahuma	n a h u m a
nakoa	n a k o a
nalo	n a l o
nalu	n a l u
nanahana	n a n a h a n a
nanea	n a n e a
nani	n a n i
naomi	n a o̯ m i
nehemia	n e h e m i a
newaka	n e v a k a
noa	n o a
noelani	n o e l a n i
nohealani	n o h e a l a n i
nāinoa	n aː j n o a
nālani	n aː l a n i
nāmaka	n aː m a k a
nāna	n aː n a
nānā	n aː n aː
nāpua	n aː p u a
nāwai	n aː v a j
oki	o k i
one	o n e
ono	o n o
paina	p a j n a
palakiko	p a l a k i k o
palani	p a l a n i
palapala	p a l a p a l a
pali	p a l i
pana	p a n a
pane	p a n e
pauahi	p a w a h i
paulo	p a w l o
peke	p e k e
pekelo	p e k e l o
pelapela	p e l a p e l a
pele	p e l e
pelekila	p e l e k i l a
peneki	p e n e k i
peni	p e n i
pika	p i k a
pila	p i l a
pilipi	p i l i p i
pilipo	p i l i p o
pinehaka	p i n e h a k a
pua	p u a
pualani	p u a l a n i
puanani	p u a n a n i
puka	p u k a
puke	p u k e
pāpālina	p aː p aː l i n a
roselani	l o k e l a n i
roselani	r o s e l a n i
tesalonike	k e k a l o n i k e
uilama	u i l a m a
uka	u k a
uku	u k u
ula	u l a
ululani	u l u l a n i
wahine	v a h i n e
wai	v a j
wailani	v a j l a n i
waina	v a j n a
waiwai	v a j v a j
wale	v a l e
walu	v a l u
wela	w e l a
wikolia	v i k o l i a
wilama	v i l a m a
wiliama	v i l i a m a
zekaria	k e k a l i a
zepania	k e p a n i a
