'n	ə
grond	χ r ɔ n t
groottoon	χ r ʊ ə t t ʊ ə n
gruweldaad	χ r y v ə l d ɑː t
guur	χ yː r
haai	ɦ ɑː i
haakspeld	ɦ ɑː k s p ɛ l t
haan	ɦ ɑː n
haarnaald	ɦ ɑː r n ɑː l t
haarspeld	ɦ ɑː r s p ɛ l t
haat	ɦ ɑː t
halfrond	ɦ a l f r ɔ n t
hallo	ɦ a l ə u
ham	ɦ ɑ m
handhaaf	ɦ a n t ɦ ɑː f
handruiker	ɦ a n t r œ i̯ k ə r
handskoen	ɦ a n t s k u n
hangmat	ɦ a ŋ m a t
hartaanval	ɦ a r t ɑː n f a l
hawe	ɦ ɑː v ə
heelal	ɦ ɪ ə̯ l a l
heipaal	ɦ ə i̯ p ɑː l
heks	ɦ ɛ k s
helder	ɦ ɛ l d ə r
hemel	ɦ ɪ ə m ə l
hemp	ɦ ɛ m p
hennep	ɦ ɛ n ə p
herfs	ɦ ɛ r f s
herinner	ɦ ɛ r ɪ n ə r
herinnering	ɦ ɛ r ə n ə r ə ŋ
hertog	ɦ ɛ r t ɔ χ
het	ə t
het	ɦ ɛ t
hierdie	ɦ i r d i
hierdie	ɦ i r i
hings	ɦ ə ŋ s
hobo	ɦ ʊ ə b ʊ ə
hoed	h u t
hoeka	ɦ u k a
hoekom	ɦ u k ɔ m
hoender	ɦ u n ə r
hoenders	ɦ u n ə r s
hoeveel	h uː f eː l
hol	ɦ ɔ l
holte	ɦ ɔ l t ə
hond	ɦ ɔ n t
honger	ɦ ɔ ŋ ə r
hongersnood	ɦ ɔ ŋ ə r s n ʊ ə̯ t
hoof	ɦ ʊ ə̯ f
hoofman	ɦ ʊ ə̯ f m a n
hoofstad	ɦ ʊ ə̯ f s t a t
hoog	ɦ ʊ ə χ
hoogste	ɦ ʊ ə χ s t ə
horing	ɦ ʊ ə r ə ŋ
hou	ɦ œ u
huis	ɦ œ i s
huise	h œ i s ə
hy	ɦ ə i
hys	ɦ ə i̯ s
hysbak	ɦ ə i̯ s b a k
hê	ɦ ɛː
iemand	i m a n t
iets	i t s
iewers	i v ə r s
iewers	ɪ ə̯ v ə r s
indoena	ə n d u n a
industrie	ə n d œ s t r i
inhoud	ə n ɦ œ u̯ t
ink	ə ŋ k
innig	ə n ə x
intiem	ə n t i m
invloedsfeer	ə n f l u t s f ɪ ə̯ r
inwoner	ə n v ʊ ə n ə r
is	ə s
ja	j aː
jaar	j ɑː r
jaart	j ɑː r t
jag	j a χ
jare	j ɑː r ə
jas	j a s
jellievis	d ʒ ɛ l i f ə s
jesus	j ɪ ə̯ s œ s
jil	j ə l
joel	j u l
johannesburg	j ʊ ə ɦ a n ə s b œ r χ
jok	j ɔ k
jong	j ɔ ŋ
jonk	j ɔ ŋ k
juis	j œ i̯ s
julle	j œ l ə
jy	j ə i
kaaldans	k ɑː l d a n s
kaaps	k ɑː p s
kaapstad	k ɑː p s t a t
kaas	k ɑː s
kabeljou	k a b ə l j œ u̯
kaboedel	k a b u d ə l
kaffer	k a f ə r
kakkerlak	k a k ə r l a k
kalf	k a l f
kalkoen	k a l k u n
kamer	k ɑː m ə r
kamp	k a m p
kan	k a n
kandidaat	k a n d i d ɑː t
kanker	k a ŋ k ə r
kapater	k a p ɑː t ə r
kar	k a r
kardoes	k a r d u s
karre	k a r ə
kas	k a s
kat	k a t
katoliek	k a t ʊ ə̯ l i k
keel	k ɪ ə̯ l
keiser	k ə i̯ s ə r
kelder	k ɛ l d ə r
kelk	k ɛ l k
ken	k ɛ n
kerk	k ɛ r k
kerkvader	k ɛ r k f ɑː d ə r
kerm	k ɛ r m
kernkragsentrale	k ɛ r ə n k r a χ s ɛ n t r ɑː l ə
ketel	k ɪ ə̯ t ə l
keurslyf	k ɪ ø r s l ə i̯ f
kiaat	k i ɑː t
kiaat	k ə j ɑː t
kiek	k i k
kieliebak	k i l i b a k
kierie	k i r i
kiesa	k i s a
kikvors	k ə k f ɔ r s
kil	k ə l
kim	k ə m
kind	k ə n t
kinders	k ə n ə r s
kinderwa	k ə n d ə r v ɑː
klaar	k l ɑː r
klad	k l a t
klank	k l a ŋ k
klankwet	k l a ŋ k v ɛ t
kleef	k l eː v ə n
klei	k l ə i̯
klein	k l ə i̯ n
kleinkind	k l ə i̯ n k ə n t
kleur	k l ɪ ø r
klewerig	k l ɪ ə̯ v ə r ə x
klier	k l i r
klinker	k l ə ŋ k ə r
klok	k l ɔ k
klont	k l ɔ n t
kluisenaar	k l œ i̯ s ə n ɑː r
knaag	k n ɑː χ
knae	k n ɑː ə
knaende	k n ɑː ə n d ə
kneg	k n ɛ χ
knoffel	k n ɔ f ə l
koei	k u i
koek	k u k
koelkas	k u l k a s
koeël	k uː l
koeëls	k uː l s
koffie	k ɔ f i
kolonie	k ʊ ə̯ l ʊ ə̯ n i
kom	k ɔ m
kombers	k ɔ m b ɛː r s
kombuis	k ɔ m b œ i̯ s
komeet	k ʊ ə̯ m ɪ ə̯ t
komkommer	k ɔ m k ɔ m ə r
kommunikeer	k ɔ m y n i s ɪ ə̯ r
kompas	k ɔ m p a s
kon	k ɔ n
koning	k ʊ ə n ə ŋ
konsentrasiekamp	k ɔ n s ɛ n t r ɑː s i k a m p
kont	k ɔ n t
kontak	k ɔ n t a k
kooi	k oː i
koop	k ʊ ə̯ p
kopende	k ʊ ə p ə n d ə
koper	k oː p ə r
koraalrif	k ʊ ə̯ r ɑː l r ə f
kors	k ɔ r s
kort	k ɔ r t
kortbroek	k ɔ r t b r u k
kortliks	k ɔ r t l ə k s
kortsigtig	k ɔ r t s ə χ t ə χ
kots	k ɔ t s
koud	k œ u t
kous	k œ u s
kraai	k r ɑː i
kraal	k r ɑː l
kreukel	k r ɪ ø k ə l
kriek	k r i k
krimpvark	k r ə m p f a r k
kroeg	k r u χ
kroon	k r ʊ ə̯ n
kruid	k r œ i̯ t
kruk	k r œ k
kry	k r ə i
kuier	k œ i̯ ə r
kurk	k œ r k
kus	k œ s
kwarantyn	k ʋ ɑ r ɑ n t ə i n
kweekskool	k v ɪ ə̯ k s k ʊ ə̯ l
kwik	k v ə k
kwyl	k v ə i̯ l
laag	l ɑː χ
laagste	l ɑː χ s t ə
laat	l ɑː t
laatmiddag	l ɑː t m ə d a χ
lae	l ɑː ə
laer	l ɑː ə r
lafhartig	l a f ɦ a r t ə χ
lag	ɫ ɐ χ
lam	l a m
lamp	l a m p
land	l a n t
landdros	l a n d r ɔ s
lap	l a p
lasterveldtog	l a s t ə r f ɛ l t ɔ χ
lat	l a t
lede	l ɪ ə d ə
leeg	l ɪ ə χ
leegste	l ɪ ə χ s t ə
leer	l ɪ ə r
leerarea	l e ə r a r ɛ a
lees	l ɪ ə s
lekker	l ɛ k ə r
lemoen	l ə m u n
leraar	l ɪ ə̯ r ɑː r
les	l ɛ s
letter	l ɛ t ə r
letterkunde	l ɛ t ə r k œ n d ə
letterkundig	l ɛ t ə r k œ n d ə x
lewe	l ɪ ə v ə
lewer	l ɪ ə̯ v ə r
liefde	l i f d ə
liefdesbrief	l i f d ə s b r i f
lieg	l i χ
lig	l ə χ
liggaam	l ə χ ɑː m
liggende	l ə χ ə n d ə
lint	l ə n t
lip	l ə p
lof	l ɔ f
lok	l ɔ k
lol	l ɔ l
long	l ɔ ŋ
lont	l ɔ n t
lood	l ʊ ə t
loop	l ʊ ə p
losbars	l ɔ s b a r s
lug	l œ χ
luik	l œ y̯ k
luis	l œ i s
luister	l œ i s t ə r
luisteraar	l œ i̯ s t ə r ɑː r
lyf	l ə i f
lyk	l ə i k
lyke	l ə i k ə
lys	l ə i s
lyste	l ə i s t ə
lywe	l ə i v ə
lê	l ɛː
maak	m ɑː k
maalvleis	m ɑː l f l ə i̯ s
maan	m ɑː n
maar	m ɑː r
maat	m ɑː t
mag	m a χ
magdom	m a χ d ɔ m
magneet	m a χ n ɪ ə̯ t
majoor	m a j ʊ ə̯ r
majoor	m ə j ʊ ə̯ r
makou	m a k œ u̯
makou	m ə k œ u̯
mamparra	m a m p a r a
man	m a n
mark	m a r k
mas	m a s
masedonië	m ɑ s ə d ʊ ə n i j ə
matras	m a t r a s
meersinnig	m ɪ ə̯ r s ə n ə x
meisie	m ə i s i
melkskommel	m ɛ l k s k ɔ m ə l
melktand	m ɛ l k t a n t
mening	m ɪ ə̯ n ə ŋ
mes	m ɛ s
met	m ɛ t
metafoor	m ɪ ə̯ t a f ʊ ə̯ r
middag	m ə d a χ
middelmannetjie	m ɪ d ə l m ʌ n ə k i
middelmatigheid	m ɪ̈ d ə ɫ m ɑː t ə χ ə i̯ t
mielie	m i l i
mier	m i r
mik	m ə k
mikroskoop	m i k r u s k ʊ ə̯ p
mikroskoop	m i k r ʊ ə̯ s k ʊ ə̯ p
mis	m ə s
mishandel	m ə s ɦ ɑ n d ə l
missiel	m ə s i l
moedertaalspreker	m u d ə r t ɑː l s p r e ə̯ k ə r
moedertaalsprekers	m u d ə r t ɑː l s p r e ə̯ k ə r s
moes	m u s
moet	m u t
mog	m ɔ χ
moltrein	m ɔ l t r ə i̯ n
monnik	m ɔ n ə k
mooi	m oː i̯
moor	m ʊ ə̯ r
moord	m ʊ ə̯ r t
mos	m ɔ s
moskee	m ɔ s k ɪ ə̯
mossel	m ɔ s ə l
mosterdgas	m ɔ s t ə r t χ a s
motief	m ʊ ə̯ t i f
motor	m ʊ ə̯ t ə r
mou	m œ u̯
muf	m œ f
mug	m œ χ
muggie	m œ χ i
muis	m œ i̯ s
mummie	m œ m i
mus	m œ s
my	m ə i
môre	m ɔː r ə
naald	n ɑː l t
nader	n ɑː d ə r
nag	n a χ
nagereg	n ɑː χ ə r ɛ χ
nasie	n ɑː s i
navo	n ɑː f o ə̯
naweek	n ɑː v ɪ ə̯ k
nee	n i əː
neerdaal	n ɪ ə̯ r d ɑː l
neerlê	n i ə̯ r l ɛː
nes	n ɛ s
neuk	n ɪ ø k
neus	n ɪ ø s
neutraal	n ɪ ø t r ɑː l
nie	n i
nie	‿ i
nier	n i r
nigeries	n i χ ɪ ə̯ r i s
nis	n ə s
nog	n ɔ χ
nooddruf	n ʊ ə̯ d r œ f
nooi	n oː i̯
nooit	n oː i t
noot	n ʊ ə̯ t
nou	n œ u
noukeurig	n œ u̯ k ɪ ø r ə χ
nuut	n i t
nuut	n y t
nè	n ɛ
oefen	u f ə n
oes	u s
oeste	u s t ə
oggend	ɔ χ ə n t
ogiesdraad	ʊ ə̯ χ i s d r ɑː t
olie	ʊ ə̯ l i
olifant	ʊ ə̯ l i f a n t
olifantslurp	oː l i f ɑ n t s l u r p
omsons	ɔ m s ɔ n s
omstandigheid	ɔ m s t a n d ə χ ɦ ə i̯ t
onaards	ɔ n ɑː r t s
onbeteuelbaar	ɔ n b ə t ɪ ø ə l b ɑː r
onderbroek	ɔ n ə r b r u k
ondier	ɔ n d i r
onkruid	ɔ ŋ k r œ i̯ t
onkruiddoder	ɔ ŋ k r œ i̯ t d ʊ ə̯ d ə r
onleesbaar	ɔ n l ɪ ə̯ s b ɑː r
onleesbaarheid	ɔ n l ɪ ə̯ s b ɑː r ɦ ə i̯ t
onnodig	ɔ n ʊ ə̯ d ə x
ons	ɔ n s
onse	ɔ n s ə
ontbyt	ɔ n t b ə i̯ t
onteenseglik	ɔ n t ɪ ə̯ n s ɛ χ l ə k
onthou	ɔ n t ɦ œ u̯
ontkenning	ɔ n t k ɛ n ə ŋ
ontploffing	ɔ n t p l ɔ f ə ŋ
ontsteking	ɔ n t s t ɪ ə̯ k ə ŋ
ontvang	ɔ n t f a ŋ
onwaardig	ɔ n v ɑː r d ə χ
oog	o ə χ
ooglid	ʊ ə̯ χ l ə t
oom	o ə m
oond	ʊ ə̯ n t
oop	ʊ ə̯ p
oor	ʊ ə̯ r
oorbly	ʊ ə̯ r b l ə i̯ f
oorblyfsel	ʊ ə̯ r b l ə i̯ f s ə l
oorlog	ʊ ə r l ɔ χ
oorly	ʊ ə̯ r l ə ɪ̯
oorslaan	ʊ ə r s l aː n
oorspoel	ʊ ə̯ r s p u l
opdaag	ɔ p d ɑː χ
opdrag	ɔ p d r a χ
opeet	ɔ p ɪ ə̯ t
open	oː p ə n
opname	ɔ p n ɑː m ə
orde	ɔ r d ə
ordentlik	ɔ r d ɛ n t l ə k
orgaan	ɔ r χ ɑː n
organisasie	ɔ r χ a n i s ɑː s i
orgasme	ɔ r ɣ a s m ə
oseaan	ʊ ə̯ s ɪ ə̯ ɑː n
ossewa	ɔ s ə v ɑː
ou	œ u
ounooi	œ u n oː i̯
outonomie	œ u t ʊ ə n ʊ ə m i
paal	p ɑː l
padda	p a d a
padda	p a r a
paddavoet	p a d a f u t
paling	p ɑː l ɪ ŋ
paljas	p a l j a s
palmboom	p a l m b ʊ ə̯ m
pampoen	p a m p u n
pan	p a n
pap	p a p
papier	p a p iː r
paradoks	p a r a d ɔ k s
paspoort	p a s p ʊ ə̯ r t
passaat	p a s ɑː t
peer	p ɪ ə̯ r
pels	p ɛ l s
perd	p æː r t
perfek	p ə r f ɛ k
perfek	p ɛ r f ɛ k
pers	p æː r s
pers	p ɛ r s
pers	p ɛː r s
perske	p ɛ r s k ə
piek	p i k
pienk	p i ŋ k
piering	p i r ə ŋ
piesang	p i s a ŋ
pil	p ə l
pla	p l ɑː
plaas	p l ɑː s
plaasaanval	p l ɑː s ɑː n v a l
plaasdier	p l ɑː s d i r
plaasmoord	p l ɑː s m ʊ ə̯ r t
plaende	p l ɑː ə n d ə
plank	p l a ŋ k
platejoggie	p l ɑː t ə j ɔ χ i
platteland	p l a t ə l a n t
plek	p l ɛ k
plesier	p l ə s iː r
pluk	p l œ k
poes	p u s
pofadder	p ɔ f a d ə r
polder	p ɔ l d ə r
pole	p ʊ ə l ə
pols	p ɔ l s
pomp	p ɔ m p
pools	p ʊ ə l s
poot	p ʊ ə̯ t
positief	p ʊ ə̯ s i t i f
poskantoor	p ɔ s k a n t ʊ ə̯ r
poësie	p ʊ ə̯ ə s i
praalgraf	p r ɑː l χ r a f
praat	p r ɑː t
praktyk	p r a k t ə i̯ k
prent	p r ɛ n t
presies	p r ə s i s
pretoria	p r ə t ʊ ə r i a
prinses	p r ə n s ɛ s
profeet	p r ʊ ə f ɪ ə t
pruim	p r œ i̯ m
publikasie	p y b l i k ɑː s i
publiseer	p y b l i s ɪ ə̯ r
pyn	p ə i n
pynappel	p ə i̯ n a p ə l
pyne	p ə i n ə
pynlik	p ə i̯ n l ə k
pynstiller	p ə i̯ n s t ə l ə r
pyp	p ə i p
raaf	r ɑː f
raai	r ɑː i
raap	r ɑː p
radio	r ɑː d i ʊ ə̯
rampokker	r a m p ɔ k ə r
rand	r ɐ n t
raserny	r ɑː s ə r n ə i̯
rassis	r a s ə s
reebok	r ɪ ə̯ b ɔ k
reeks	r ɪ ə̯ k s
reeksmoordenaar	r ɪ ə̯ k s m ʊ ə̯ r d ə n ɑː r
regering	r ə χ ɪ ə̯ r ə ŋ
regs	r ɛ χ s
regstaat	r ɛ χ s t ɑː t
reier	r ə i̯ ə r
renoster	r ə n ɔ s t ə r
republiek	r ɛ p ɵ b l i k
restaurant	r ɛ s t u r a n t
restaurant	r ɛ s t ʊ ə̯ r a n t
reus	r ɪ ø s
reën	r eː ə n
reën	r ɪ ə̯ n
riet	r i t
risiko	r i s i k ʊ ə̯
ritme	r ə t m ə
rivier	r ə f iː r
robot	r ʊ ə̯ b ɔ t
roep	r u p
roereier	r u r ə i̯ ə r
rof	r ɔ f
rok	r ɔ k
rol	r ɔ l
rolle	r ɔ l ə
rolstoel	r ɔ l s t u l
roofdier	r ʊ ə̯ f d i r
rooi	r oː i̯
rooibos	r oː i̯ b ɔ s
rooikappie	r oː i̯ k ɑ p i
rook	r ʊ ə̯ k
room	r ʊ ə̯ m
roos	r ʊ ə̯ s
rou	r œ u
rower	r ʊ ə̯ v ə r
rug	r œ χ
ruiker	r œ i̯ k ə r
ruit	r œ i̯ t
rus	r œ s
ruïne	r y i n ə
ry	r ə i
rym	r ə i̯ m
rûe	r œː
s'n	s ə n
saal	s ɑː l
saam	s ɑː m
saamkom	s ɑː m k ɔ m
sag	s a χ
sakdoek	s a k d u k
sakevrou	s ɑː k ə f r œ u̯
sal	s a l
salamander	s a l a m a n d ə r
salmander	s a l m a n d ə r
sambreel	s a m b r ɪ ə l
samespraak	s ɑː m ə s p r ɑː k
samevatting	s ɑː m ə f a t ə ŋ
sand	s a n t
sandkasteel	s a n t k a s t ɪ ə̯ l
sappig	s a p ə χ
se	s ə
seekomkommer	s ɪ ə̯ k ɔ m k ɔ m ə r
seep	s ɪ ə p
seeskap	s ɪ ə̯ s k a p
seevlak	s ɪ ə̯ f l a k
seis	s ə i s
seisoen	s ə i̯ s u n
sekere	s ɪ ə k ə r ə
sel	s ɛ l
