わ゙	b a̠̠
アインスタイニウム	a̠ ĩ ɰ̃ s ɨ̥ᵝ t a̠ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
あう	a̠ ɯ̟ᵝ
あう	a̠ ɯ̟ᵝ
あう	a̠ ɯ̟ᵝ
アウグストゥス	a̠ ɯ̟ᵝ ɡ ɯ̟ᵝ s ɨ̥ᵝ t ɯ̟ᵝ s ɨᵝ
アウストロアジアごぞく	a̠ ɯ̟ᵝ s ɨ̥ᵝ t o̞ ɾ o̞ a̠ ʑ i a̠ ɡ o̞ z o̞ k ɯ̟ᵝ
アウストロネシアごぞく	a̠ ɯ̟ᵝ s ɨ̥ᵝ t o̞ ɾ o̞ n e̞ ɕ i a̠ ɡ o̞ z o̞ k ɯ̟ᵝ
アウトプット	a̠ ɯ̟ᵝ t o̞ p ɯ̟ᵝ t̚ t o̞
アウトロー	a̠ ɯ̟ᵝ t o̞ ɾ o̞ː
アウフヘーベン	a̠ ɯ̟ᵝ ɸ ɯ̟ᵝ h e̞ː b ẽ̞ ɴ
あうん	a̠ ɯ̟̃ᵝ ɴ
あえぎごえ	a̠ e̞ ɡʲ i ɡ o̞ e̞
あえぐ	a̠ e̞ ɡ ɯ̟ᵝ
あえる	a̠ e̞ ɾ ɯ̟ᵝ
アエロフロート	a̠ e̞ ɾ o̞ ɸ ɯ̟ᵝ ɾ o̞ː t o̞
あえん	a̠ ẽ̞ ɴ
あおい	a̠ o̞ i
あおい	a̠ o̞ i
あおいろ	a̠ o̞ i ɾ o̞
あおうなばら	a̠ o̞ ɯ̟ᵝ n a̠ b a̠ ɾ a̠
あおうみがめ	a̠ o̞ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
あおかん	a̠ o̞ k ã̠ ɴ
あおき	a̠ o̞ kʲ i
あおぎみる	a̠ o̞ ɡʲ i mʲ i ɾ ɯ̟ᵝ
あおぐ	a̠ o̞ ɡ ɯ̟ᵝ
あおぐ	a̠ o̞ ɡ ɯ̟ᵝ
あおげいとう	a̠ o̞ ɡ e̞ː t o̞ː
あおさ	a̠ o̞ s a̠
アオザイ	a̠ o̞ z a̠ i
あおざめ	a̠ o̞ z a̠ m e̞
アオザメぞく	a̠ o̞ z a̠ m e̞ z o̞ k ɯ̟ᵝ
あおじゃしん	a̠ o̞ ʑ a̠ ɕ ĩ ɴ
あおじろい	a̠ o̞ ʑ i ɾ o̞ i
あおすじ	a̠ o̞ s ɨᵝ ʑ i
あおせん	a̠ o̞ s ẽ̞ ɴ
あおぞら	a̠ o̞ z o̞ ɾ a̠
あおた	a̠ o̞ t a̠
あおだいしょう	a̠ o̞ d a̠ i ɕ o̞ː
あおてんじょう	a̠ o̞ t ẽ̞ ɲ̟ d͡ʑ o̞ː
あおな	a̠ o̞ n a̠
あおば	a̠ o̞ b a̠
あおめ	a̠ o̞ m e̞
あおもの	a̠ o̞ m o̞ n o̞
あおもり	a̠ o̞ m o̞ ɾʲ i
あおもりけん	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
あおる	a̠ o̞ ɾ ɯ̟ᵝ
あか	a̠ k a̠
どう	d o̞ː
あかはい	a̠ k a̠ h a̠ i
あかい	a̠ k a̠ i
あかうみがめ	a̠ k a̠ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
アカウント	a̠ k a̠ ɯ̟̃ᵝ n t o̞
あかがみ	a̠ k a̠ ɡ a̠ mʲ i
あかぎつね	a̠ k a̠ ɡʲ i t͡s ɨᵝ n e̞
あかぐろい	a̠ k a̠ ɡ ɯ̟ᵝ ɾ o̞ i
あかげざる	a̠ k a̠ ɡ e̞ z a̠ ɾ ɯ̟ᵝ
しゅろ	ɕ ɨᵝ ɾ o̞
あかざ	a̠ k a̠ z a̠
あかし	a̠ k a̠ ɕ i
アカシア	a̠ k a̠ ɕ i a̠
あかシート	a̠ k a̠ ɕ iː t o̞
あかしか	a̠ k a̠ ɕ i̥ k a̠
あかじ	a̠ k a̠ ʑ i
あかす	a̠ k a̠ s ɨᵝ
あかずきん	a̠ k a̠ z ɨᵝ kʲ ĩ ɴ
あかせん	a̠ k a̠ s ẽ̞ ɴ
あかたては	a̠ k a̠ t a̠ t e̞ h a̠
あかたては	a̠ k a̠ t a̠ t e̞ h a̠
あかちゃける	a̠ k a̠ t͡ɕ a̠ k e̞ ɾ ɯ̟ᵝ
あかちゃん	a̠ k a̠ t͡ɕ ã̠ ɴ
あかちょうちん	a̠ k a̠ t͡ɕ o̞ː t͡ɕ ĩ ɴ
あかつき	a̠ k a̠ t͡s ɨ̥ᵝ kʲ i
あかつめくさ	a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
あかてん	a̠ k a̠ t ẽ̞ ɴ
アカデミー	a̠ k a̠ d e̞ mʲ iː
アカデミーしょう	a̠ k a̠ d e̞ mʲ iː ɕ o̞ː
あかとんぼ	a̠ k a̠ t õ̞ m b o̞
あかなす	a̠ k a̠ n a̠ s ɨᵝ
あかぬけ	a̠ k a̠ n ɯ̟ᵝ k e̞
あかぬける	a̠ k a̠ n ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
あかね	a̠ k a̠ n e̞
あかねさす	a̠ k a̠ n e̞ s a̠ s ɨᵝ
あかねずみ	a̠ k a̠ n e̞ z ɨᵝ mʲ i
あかはた	a̠ k a̠ h a̠ t a̠
あかはな	a̠ k a̠ h a̠ n a̠
あかはら	a̠ k a̠ h a̠ ɾ a̠
あかはらいもり	a̠ k a̠ h a̠ ɾ a̠ i m o̞ ɾʲ i
あかはらいもり	a̠ k a̠ h a̠ ɾ a̠ i m o̞ ɾʲ i
あかふじ	a̠ k a̠ ɸ ɯ̟ᵝ ʑ i
あかぶどうしゅ	a̠ k a̠ b ɯ̟ᵝ d o̞ː ɕ ɨᵝ
あかべこ	a̠ k a̠ b e̞ k o̞
あかぼうくじら	a̠ k a̠ b o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
あかぼし	a̠ k a̠ b o̞ ɕ i
あかまつ	a̠ k a̠ m a̠ t͡s ɨᵝ
あかみ	a̠ k a̠ mʲ i
あかむつ	a̠ k a̠ m ɯ̟ᵝ t͡s ɨᵝ
あからむ	a̠ k a̠ ɾ a̠ m ɯ̟ᵝ
あからめる	a̠ k a̠ ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あかり	a̠ k a̠ ɾʲ i
ちる	t͡ɕ i ɾ ɯ̟ᵝ
あかるい	a̠ k a̠ ɾ ɯ̟ᵝ i
あかるむ	a̠ k a̠ ɾ ɯ̟ᵝ m ɯ̟ᵝ
あかれんが	a̠ k a̠ ɾ ẽ̞ ŋ ɡ a̠
あかワイン	a̠ k a̠ ɰᵝ a̠ ĩ ɴ
あかん	a̠ k ã̠ ɴ
あかんべえ	a̠ k ã̠ m b e̞ː
あかんぼう	a̠ k ã̠ m b o̞ː
あがく	a̠ ɡ a̠ k ɯ̟ᵝ
あがめる	a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ
あがる	a̠ ɡ a̠ ɾ ɯ̟ᵝ
あがる	a̠ ɡ a̠ ɾ ɯ̟ᵝ
あき	a̠ kʲ i
あき	a̠ kʲ i
あきや	a̠ kʲ i j a̠
あきさめ	a̠ kʲ i s a̠ m e̞
あきす	a̠ kʲ i s ɨᵝ
あきぞら	a̠ kʲ i z o̞ ɾ a̠
あきた	a̠ kʲ i t a̠
あきたいぬ	a̠ kʲ i̥ t a̠ i n ɯ̟ᵝ
あきたけん	a̠ kʲ i t a̠ k ẽ̞ ɴ
あきち	a̠ kʲ i t͡ɕ i
あきない	a̠ kʲ i n a̠ i
あきなう	a̠ kʲ i n a̠ ɯ̟ᵝ
あきはばら	a̠ kʲ i h a̠ b a̠ ɾ a̠
あきびん	a̠ kʲ i bʲ ĩ ɴ
あきふく	a̠ kʲ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
アキュートアクセント	a̠ kʲ ɨᵝː t o̞ a̠ k ɯ̟ᵝ s ẽ̞ n t o̞
あきらか	a̠ kʲ i ɾ a̠ k a̠
あきらめる	a̠ kʲ i ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あきらめる	a̠ kʲ i ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あきる	a̠ kʲ i ɾ ɯ̟ᵝ
あきれがお	a̠ kʲ i ɾ e̞ ɡ a̠ o̞
アキレスけん	a̠ kʲ i ɾ e̞ s ɨ̥ᵝ k ẽ̞ ɴ
アキンボ	a̠ kʲ ĩ m b o̞
あぎとう	a̠ ɡʲ i t o̞ː
あく	a̠ k ɯ̟ᵝ
アクアウオーキング	a̠ k ɯ̟ᵝ a̠ ɯ̟ᵝ o̞ː kʲ ĩ ŋ ɡ ɯ̟ᵝ
アクアサイズ	a̠ k ɯ̟ᵝ a̠ s a̠ i z ɨᵝ
アクアビクス	a̠ k ɯ̟ᵝ a̠ bʲ i k ɯ̟ᵝ s ɨᵝ
アクアマリン	a̠ k ɯ̟ᵝ a̠ m a̠ ɾʲ ĩ ɴ
アクアリウム	a̠ k ɯ̟ᵝ a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
あくいあくしょく	a̠ k ɯ̟ᵝ i a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
あくいんあっか	a̠ k ɯ̟ᵝ ĩ ɰ̃ a̠ k̚ k a̠
あくえいきょう	a̠ k ɯ̟ᵝ e̞ː kʲ o̞ː
アクきん	a̠ k ɯ̟ᵝ kʲ ĩ ɴ
いたずら	i t a̠ z ɨᵝ ɾ a̠
あくぎゃくひどう	a̠ k ɯ̟ᵝ ɡʲ a̠ k ɯ̟ᵝ ç i d o̞ː
アクサンテギュ	a̠ k ɯ̟ᵝ s ã̠ n t e̞ ɡʲ ɨᵝ
アクシスジカ	a̠ k ɯ̟ᵝ ɕ i s ɨᵝ ʑ i k a̠
アクシデント	a̠ k ɯ̟̊ᵝ ɕ i d ẽ̞ n t o̞
あくしゅかい	a̠ k ɯ̟ᵝ ɕ ɨᵝ k a̠ i
あくしゅけん	a̠ k ɯ̟ᵝ ɕ ɨᵝ k ẽ̞ ɴ
あくしゅみ	a̠ k ɯ̟ᵝ ɕ ɨᵝ mʲ i
あくじき	a̠ k ɯ̟ᵝ ʑ i kʲ i
アクションえいが	a̠ k ɯ̟ᵝ ɕ õ̞ ɰ̃ e̞ː ɡ a̠
あくじゅんかん	a̠ k ɯ̟ᵝ ʑ ɨ̃ᵝ ŋ k ã̠ ɴ
アクセ	a̠ k ɯ̟ᵝ s e̞
あくせく	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
アクセサリー	a̠ k ɯ̟̊ᵝ s e̞ s a̠ ɾʲ iː
アクセスカウンタ	a̠ k ɯ̟ᵝ s e̞ s ɨᵝ k a̠ ɯ̟̃ᵝ n t a̠
アクセスカウンター	a̠ k ɯ̟ᵝ s e̞ s ɨᵝ k a̠ ɯ̟̃ᵝ n t a̠ː
アクセント	a̠ k ɯ̟̊ᵝ s ẽ̞ n t o̞
アクセントかく	a̠ k ɯ̟ᵝ s ẽ̞ n t o̞ k a̠ k ɯ̟ᵝ
あくた	a̠ k ɯ̟ᵝ t a̠
あくたい	a̠ k ɯ̟ᵝ t a̠ i
アクチニウム	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アクチニド	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i d o̞
アクチノイド	a̠ k ɯ̟̊ᵝ t͡ɕ i n o̞ i d o̞
あくとう	a̠ k ɯ̟ᵝ t o̞ː
あくとく	a̠ k ɯ̟̊ᵝ t o̞ k ɯ̟ᵝ
あくどい	a̠ k ɯ̟ᵝ d o̞ i
あくば	a̠ k ɯ̟ᵝ b a̠
あくび	a̠ k ɯ̟ᵝ bʲ i
あくにち	a̠ k ɯ̟ᵝ ɲ̟ i t͡ɕ i
あくま	a̠ k ɯ̟ᵝ m a̠
あくみょうだかい	a̠ k ɯ̟ᵝ mʲ o̞ː d a̠ k a̠ i
あくむ	a̠ k ɯ̟ᵝ m ɯ̟ᵝ
アクメ	a̠ k ɯ̟ᵝ m e̞
あくめ	a̠ k ɯ̟ᵝ m e̞
あくもん	a̠ k ɯ̟ᵝ m õ̞ ɴ
あくやく	a̠ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
アクラ	a̠ k ɯ̟ᵝ ɾ a̠
アクリジン	a̠ k ɯ̟ᵝ ɾʲ i ʑ ĩ ɴ
あくりょう	a̠ k ɯ̟ᵝ ɾʲ o̞ː
アクリル	a̠ k ɯ̟ᵝ ɾʲ i ɾ ɯ̟ᵝ
あくろ	a̠ k ɯ̟ᵝ ɾ o̞
アクロバット	a̠ k ɯ̟ᵝ ɾ o̞ b a̠ t̚ t o̞
あぐり	a̠ ɡ ɯ̟ᵝ ɾʲ i
あけ	a̠ k e̞
あけがた	a̠ k e̞ ɡ a̠ t a̠
あけくれる	a̠ k e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あけぐれ	a̠ k e̞ ɡ ɯ̟ᵝ ɾ e̞
あけっぱなし	a̠ k e̞ p̚ p a̠ n a̠ ɕ i
あけはなす	a̠ k e̞ h a̠ n a̠ s ɨᵝ
あけび	a̠ k e̞ bʲ i
あけぼの	a̠ k e̞ b o̞ n o̞
あけみ	a̠ k e̞ mʲ i
あけわたし	a̠ k e̞ ɰᵝ a̠ t a̠ ɕ i
あけわたす	a̠ k e̞ ɰᵝ a̠ t a̠ s ɨᵝ
あげあげ	a̠ ɡ e̞ a̠ ɡ e̞
あげあしをとる	a̠ ɡ e̞ a̠ ɕ i o̞ t o̞ ɾ ɯ̟ᵝ
あげくのはて	a̠ ɡ e̞ k ɯ̟ᵝ n o̞ h a̠ t e̞
あげは	a̠ ɡ e̞ h a̠
あげはちょう	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
あげぽよ	a̠ ɡ e̞ p o̞ j o̞
アゲぽよ	a̠ ɡ e̞ p o̞ j o̞
あげもの	a̠ ɡ e̞ m o̞ n o̞
あげる	a̠ ɡ e̞ ɾ ɯ̟ᵝ
あげる	a̠ ɡ e̞ ɾ ɯ̟ᵝ
あげる	a̠ ɡ e̞ ɾ ɯ̟ᵝ
アコースティック・ギター	a̠ k o̞ː s ɨ̥ᵝ tʲ i k̚ k ɯ̟ᵝ ɡʲ i t a̠ː
アコーディオン	a̠ k o̞ː dʲ i õ̞ ɴ
アコーデオン	a̠ k o̞ː d e̞ õ̞ ɴ
あこがれ	a̠ k o̞ ɡ a̠ ɾ e̞
あこがれる	a̠ k o̞ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ
とびうお	t o̞ bʲ i ɯ̟ᵝ o̞
あごがしゃくれる	a̠ ɡ o̞ ɡ a̠ ɕ a̠ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あごひげ	a̠ ɡ o̞ ç i ɡ e̞
あごひげあざらし	a̠ ɡ o̞ ç i ɡ e̞ a̠ z a̠ ɾ a̠ ɕ i
あさい	a̠ s a̠ i
あさいろ	a̠ s a̠ i ɾ o̞
あさおき	a̠ s a̠ o̞ kʲ i
あさか	a̠ s a̠ k a̠
あさからばんまで	a̠ s a̠ k a̠ ɾ a̠ b ã̠ m m a̠ d e̞
あさがすみ	a̠ s a̠ ɡ a̠ s ɨᵝ mʲ i
あさがた	a̠ s a̠ ɡ a̠ t a̠
あさぎり	a̠ s a̠ ɡʲ i ɾʲ i
あさくら	a̠ s a̠ k ɯ̟ᵝ ɾ a̠
あさなわ	a̠ s a̠ n a̠ ɰᵝ a̠
あさね	a̠ s a̠ n e̞
あさねぼう	a̠ s a̠ n e̞ b o̞ː
あさのかい	a̠ s a̠ n o̞ k a̠ i
あさはか	a̠ s a̠ h a̠ k a̠
あさひ	a̠ s a̠ ç i̥
あさひかわ	a̠ s a̠ ç i k a̠ ɰᵝ a̠
アサヒる	a̠ s a̠ ç i ɾ ɯ̟ᵝ
あさひる	a̠ s a̠ ç i ɾ ɯ̟ᵝ
あさましい	a̠ s a̠ m a̠ ɕ i i
あさもや	a̠ s a̠ m o̞ j a̠
あさやけ	a̠ s a̠ j a̠ k e̞
あさんかちっそ	a̠ s ã̠ ŋ k a̠ t͡ɕ i sː o̞
あざ	a̠ z a̠
あざける	a̠ z a̠ k e̞ ɾ ɯ̟ᵝ
あざとい	a̠ z a̠ t o̞ i
じ	d͡ʑ i
あざなう	a̠ z a̠ n a̠ ɯ̟ᵝ
あざみ	a̠ z a̠ mʲ i
あざむく	a̠ z a̠ m ɯ̟ᵝ k ɯ̟ᵝ
あざやか	a̠ z a̠ j a̠ k a̠
あざわらう	a̠ z a̠ ɰᵝ a̠ ɾ a̠ ɯ̟ᵝ
アシ	a̠ ɕ i
あし	a̠ ɕ i
あしか	a̠ ɕ i̥ k a̠
あがき	a̠ ɡ a̠ kʲ i
アシガバート	a̠ ɕ i ɡ a̠ b a̠ː t o̞
あしがる	a̠ ɕ i ɡ a̠ ɾ ɯ̟ᵝ
アしきしゅうきゅう	a̠ ɕ i̥ kʲ i ɕ ɨᵝː kʲ ɨᵝː
あしコキ	a̠ ɕ i k o̞ kʲ i
あしざま	a̠ ɕ i z a̠ m a̠
アシスタント	a̠ ɕ i s ɨ̥ᵝ t ã̠ n t o̞
アシスタントディレクター	a̠ ɕ i s ɨ̥ᵝ t ã̠ n t o̞ dʲ i ɾ e̞ k ɯ̟̊ᵝ t a̠ː
あしたれぼし	a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i
あしのうら	a̠ ɕ i n o̞ ɯ̟ᵝ ɾ a̠
あしばや	a̠ ɕ i b a̠ j a̠
あしび	a̠ ɕ i bʲ i
あしまわり	a̠ ɕ i m a̠ ɰᵝ a̠ ɾʲ i
あしゅ	a̠ ɕ ɨᵝ
あしゅう	a̠ ɕ ɨᵝː
あしゅら	a̠ ɕ ɨᵝ ɾ a̠
あしゆ	a̠ ɕ i j ɯ̟ᵝ
アシル	a̠ ɕ i ɾ ɯ̟ᵝ
アシルき	a̠ ɕ i ɾ ɯ̟ᵝ kʲ i
あじ	a̠ ʑ i
アジア	a̠ ʑ i a̠
あじあ	a̠ ʑ i a̠
アジアぞう	a̠ ʑ i a̠ d͡z o̞ː
あじきない	a̠ ʑ i kʲ i n a̠ i
あじさし	a̠ ʑ i s a̠ ɕ i
アジスアベバ	a̠ ʑ i s ɨᵝ a̠ b e̞ b a̠
アジソンびょう	a̠ ʑ i s õ̞ m bʲ o̞ː
アジト	a̠ ʑ i t o̞
あじみ	a̠ ʑ i mʲ i
あじむ	a̠ ʑ i m ɯ̟ᵝ
あじわい	a̠ ʑ i ɰᵝ a̠ i
あじわう	a̠ ʑ i ɰᵝ a̠ ɯ̟ᵝ
アスキーアート	a̠ s ɨᵝ kʲ iː a̠ː t o̞
アスキーアート	a̠ s ɨᵝ kʲ iː a̠ː t o̞
アスタチン	a̠ s ɨᵝ t a̠ t͡ɕ ĩ ɴ
アステカ	a̠ s ɨᵝ t e̞ k a̠
アステリスク	a̠ s ɨ̥ᵝ t e̞ ɾʲ i s ɨ̥ᵝ k ɯ̟ᵝ
アストロターフ	a̠ s ɨᵝ t o̞ ɾ o̞ t a̠ː ɸ ɯ̟ᵝ
あすなろ	a̠ s ɨᵝ n a̠ ɾ o̞
あすはわがみ	a̠ s ɨᵝ ɰᵝ a̠ ɰᵝ a̠ ɡ a̠ mʲ i
アスパラ	a̠ s ɨᵝ p a̠ ɾ a̠
アスパラガス	a̠ s ɨ̥ᵝ p a̠ ɾ a̠ ɡ a̠ s ɨᵝ
アスパラギン	a̠ s ɨᵝ p a̠ ɾ a̠ ɡʲ ĩ ɴ
アスパラギンさん	a̠ s ɨᵝ p a̠ ɾ a̠ ɡʲ ĩ ɰ̃ s ã̠ ɴ
