'n	ə
en	ə n
en	ɛ n
enersyds	ɪ ə̯ n ə r s ə i̯ t s
engte	ɛ ŋ t ə
enkel	ɛ ŋ k ə l
ensiklopedie	ɛ n s i k l ʊ ə p ə d i
erfenisgebied	ɛ t f ə n ə s χ ə b i t
erken	ɛ r k ɛ n
ertjie	ɛ r k i
erts	ɛ r t s
esel	ɪ ə s ə l
ewig	ɪ ə v ə x
fabriek	f a b r i k
fantasie	f a n t a s i
fantasie	f a n t ə s i
feeks	f ɪ ə̯ k s
fel	f ɛ l
fiets	f i t s
film	f ə l m
fisant	f i s a n t
flamink	f l a m ə ŋ k
fliek	f l i k
foon	f ʊ ə̯ n
foonsnol	f ʊ ə̯ n s n ɔ l
fopnuus	f ɔ p n y s
formule	f ɔ r m y l ə
forseer	f ɔ r s ɪ ə̯ r
foto	f ʊ ə̯ t ʊ ə̯
fouteer	f œ u t ɪ ə̯ r
g'n	χ ə n
gaan	χ ɑː n
gaas	χ ɑː s
galg	χ a l χ
galm	χ a l m
gang	χ a ŋ
gars	χ a r s
gat	χ a t
gebaar	χ ə b ɑː r
gebaretaal	χ ə b ɑː r ə t ɑː l
gebed	χ ə b ɛ t
gebergte	χ ə b ɛ r χ t ə
gebeurtenis	χ ə b ɪ ø r t ə n ə s
geboorte	χ ə b ʊ ə̯ r t ə
gebou	χ ə b œ u̯
gebruik	χ ə b r œ i̯ k
gedagte	χ ə d ɑ χ t ə
gedagtegoed	χ ə d a χ t ə χ u t
gedig	χ ə d ə χ
gee	χ ɪ ə
geel	χ ɪ ə̯ l
geelperske	χ ɪ ə̯ l p ɛ r s k ə
geelste	χ ɪ ə l s t ə
geen	χ ɪ ə̯ n
gees	χ ɪ ə̯ s
gegaan	χ ə χ ɑː n
gegroet	χ ə χ r u t
gehad	χ ə ɦ a t
geheue	χ ə ɦ ɪ ø ə
geitjie	χ ə i k i
geld	χ ɛ l t
gele	χ ɪ ə l ə
geleë	χ ə l i ə
geleë	χ ə l ɪ ə̯
gelowig	χ ə l ʊ ə̯ v ə χ
gelowige	χ ə l ʊ ə̯ v ə χ ə
geluk	χ ə l œ k
gelukkig	χ ə l œ k ə χ
gemeenskap	χ ə m ɪ ə̯ n s k a p
gemeente	χ ə m ɪ ə̯ n t ə
gemenebes	χ ə m ɪ ə̯ n ə b ɛ s
gerug	χ ə r œ χ
gesels	χ ə s ɛ l s
gesig	χ ə s ə χ
gesigsuitdrukking	χ ə s ə χ s œ i̯ t d r œ k ə ŋ
geskiedenis	χ ə s k i d ə n ə s
gesond	χ ə s ɔ n t
gesondheid	χ ə s ɔ n t ɦ ə i̯ t
gesprek	χ ə s p r ɛ k
geur	χ ɪ ø r
gevaar	χ ə f ɑː r
gevaarlik	χ ə f ɑː r l ə k
geveg	χ ə f a χ
gevoel	χ ə f u l
gewoonlik	χ ə v ʊ ə̯ n l ə k
geëet	χ ə ɪ ə t
ghong	ɡ ɔ ŋ
gif	χ ə f
gifte	χ ə f t ə
gister	χ ə s t ə r
gisteraand	χ ə s t ə r ɑː n t
giwwe	χ ə v ə
glas	χ l a s
gletser	χ l ɛ t s ə r
glimlag	χ l ə m l a χ
glo	χ l ʊ ə
god	χ ɔ t
godsdiens	χ ɔ t s d i n s
goed	χ u t
goedkeur	χ u t k ɪ ø r
goedkeuring	χ u t k ɪ ø r ɪ ŋ
gogga	χ ɔ χ a
goiing	χ ɔ i ə ŋ
gom	χ ɔ m
graad	χ r ɑː t
graf	χ r a f
granaat	χ r a n ɑː t
grasieus	χ r a s i ɪ ø s
grens	χ r ɛ n s
griekeland	χ r i k ə l a n t
groente	χ r u n t ə
groep	χ r u p
groet	χ r u t
grof	χ r ɔ f
grond	χ r ɔ n t
groot	χ r ʊ ə t
grootmens	χ r ʊ ə̯ t m ɛ n s
groottoon	χ r ʊ ə t t ʊ ə n
grot	χ r ɔ t
gruweldaad	χ r y v ə l d ɑː t
guur	χ yː r
haai	ɦ ɑː i
haakspeld	ɦ ɑː k s p ɛ l t
haan	ɦ ɑː n
haar	ɦ ɑː r
haarnaald	ɦ ɑː r n ɑː l t
haarspeld	ɦ ɑː r s p ɛ l t
haat	ɦ ɑː t
halfrond	ɦ a l f r ɔ n t
hallo	ɦ a l ə u
ham	ɦ a m
hamer	ɦ ɑː m ə r
hand	ɦ a n t
handhaaf	ɦ a n t ɦ ɑː f
handruiker	ɦ a n t r œ i̯ k ə r
handskoen	ɦ a n t s k u n
hang	ɦ a ŋ
hangmat	ɦ a ŋ m a t
hartaanval	ɦ a r t ɑː n f a l
hartlik	ɦ a r t ə l ə k
hawe	ɦ ɑː v ə
heelal	ɦ ɪ ə̯ l a l
hef	ɦ ɛ f
heipaal	ɦ ə i̯ p ɑː l
heks	ɦ ɛ k s
helder	ɦ ɛ l d ə r
help	ɦ ɛ l p
hemel	ɦ ɪ ə m ə l
hemp	ɦ ɛ m p
hennep	ɦ ɛ n ə p
herfs	ɦ ɛ r f s
herinner	ɦ ɛ r ɪ n ə r
herinnering	ɦ ɛ r ə n ə r ə ŋ
hertog	ɦ ɛ r t ɔ χ
het	ə t
het	ɦ ɛ t
hier	ɦ i r
hierdie	ɦ i r d i
hierdie	ɦ i r i
hings	ɦ ə ŋ s
hobo	ɦ ʊ ə b ʊ ə
hoedband	ɦ u t b ɐ n t
hoeka	ɦ u k a
hoekom	ɦ u k ɔ m
hoender	ɦ u n ə r
hoenders	ɦ u n ə r s
hol	ɦ ɔ l
holte	ɦ ɔ l t ə
hond	ɦ ɔ n t
honger	ɦ ɔ ŋ ə r
hongersnood	ɦ ɔ ŋ ə r s n ʊ ə̯ t
hoof	ɦ ʊ ə̯ f
hoofman	ɦ ʊ ə̯ f m a n
hoofstad	ɦ ʊ ə̯ f s t a t
hoog	ɦ ʊ ə χ
hoogste	ɦ ʊ ə χ s t ə
hoogtevrees	ɦ ʊ ə̯ χ t ə f r ɪ ə̯ s
hoop	ɦ ʊ ə̯ p
hoor	ɦ ʊ ə̯ r
horing	ɦ ʊ ə r ə ŋ
hospitaal	ɦ ɔ s p i t ɑː l
hou	ɦ œ u
huis	ɦ œ i s
hul	ɦ œ l
hulle	ɦ œ l ə
hulpbron	ɦ œ l p b r ɔ n
hupstoot	ɦ œ p s t ʊ ə̯ t
hutsmerk	ɦ œ t s m ɛ r k
hy	ɦ ə i
hys	ɦ ə i̯ s
hysbak	ɦ ə i̯ s b a k
hê	ɦ ɛː
iemand	i m a n t
iets	i t s
iewers	i v ə r s
iewers	ɪ ə̯ v ə r s
impak	ə m p a k
indoena	ə n d u n a
industrie	ə n d œ s t r i
inhoud	ə n ɦ œ u̯ t
ink	ə ŋ k
innig	ə n ə x
insig	ə n s ə χ
intiem	ə n t i m
invloedsfeer	ə n f l u t s f ɪ ə̯ r
inwoner	ə n v ʊ ə n ə r
is	ə s
ja	j aː
jaar	j ɑː r
jaart	j ɑː r t
jag	j a χ
jare	j ɑː r ə
jas	j a s
jellievis	d ʒ ɛ l i f ə s
jesus	j ɪ ə̯ s œ s
jil	j ə l
joel	j u l
johannesburg	j ʊ ə ɦ a n ə s b œ r χ
jok	j ɔ k
jong	j ɔ ŋ
jonk	j ɔ ŋ k
juis	j œ i̯ s
julle	j œ l ə
jy	j ə i
kaal	k ɑː l
kaaldans	k ɑː l d a n s
kaaps	k ɑː p s
kaapstad	k ɑː p s t a t
kaart	k ɑː r t
kaas	k ɑː s
kabeljou	k a b ə l j œ u̯
kaboedel	k a b u d ə l
kaffer	k a f ə r
kak	k a k
kakkerlak	k a k ə r l a k
kalf	k a l f
kalkoen	k a l k u n
kamer	k ɑː m ə r
kamera	k a m ə r a
kamp	k a m p
kan	k a n
kandidaat	k a n d i d ɑː t
kanker	k a ŋ k ə r
kanonkoeël	k a n ɔ n k uː l
kans	k a n s
kansvatter	k a n s f a t ə r
kapater	k a p ɑː t ə r
kapel	k a p ɛ l
kar	k a r
karakter	k a r a k t ə r
kardoes	k a r d u s
karre	k a r ə
kas	k a s
kat	k a t
katoliek	k a t ʊ ə̯ l i k
keel	k ɪ ə̯ l
keiser	k ə i̯ s ə r
kelder	k ɛ l d ə r
kelk	k ɛ l k
ken	k ɛ n
kerk	k ɛ r k
kerkvader	k ɛ r k f ɑː d ə r
kerm	k ɛ r m
kernkragsentrale	k ɛ r ə n k r a χ s ɛ n t r ɑː l ə
ketel	k ɪ ə̯ t ə l
keurslyf	k ɪ ø r s l ə i̯ f
kiaat	k i ɑː t
kiaat	k ə j ɑː t
kiek	k i k
kieliebak	k i l i b a k
kierie	k i r i
kiesa	k i s a
kikvors	k ə k f ɔ r s
kil	k ə l
kim	k ə m
kind	k ə n t
kinders	k ə n ə r s
kinderwa	k ə n d ə r v ɑː
klaaglied	k l ɑː χ l i t
klaar	k l ɑː r
klad	k l a t
klank	k l a ŋ k
klankbaan	k l a ŋ k b ɑː n
klankwet	k l a ŋ k v ɛ t
klant	k l a n t
klavier	k l a f i r
kleding	k l ɪ ø d ə ŋ
kleef	k l eː v ə n
klei	k l ə i̯
klein	k l ə i̯ n
kleinkind	k l ə i̯ n k ə n t
klem	k l ɛ m
kleur	k l ɪ ø r
klewerig	k l ɪ ə̯ v ə r ə x
klier	k l i r
klink	k l ə ŋ k
klinker	k l ə ŋ k ə r
klinknael	k l ə ŋ k n ɑː ə l
klinknaelbroek	k l ə ŋ k n ɑː ə l b r u k
klok	k l ɔ k
klont	k l ɔ n t
klopjag	k l ɔ p j a χ
kluisenaar	k l œ i̯ s ə n ɑː r
knaag	k n ɑː χ
knaagdier	k n ɑː χ d i r
knae	k n ɑː ə
knaende	k n ɑː ə n d ə
kneg	k n ɛ χ
knoffel	k n ɔ f ə l
koei	k u i̯
koek	k u k
koelkas	k u l k a s
koerant	k u r a n t
koeël	k uː l
koeëls	k uː l s
koffie	k ɔ f i
kokosneut	k ʊ ə̯ k ɔ s n ɪ ø t
kolonel	k ʊ ə̯ l ʊ ə̯ n ɛ l
kolonie	k ʊ ə̯ l ʊ ə̯ n i
kom	k ɔ m
kombers	k ɔ m b ɛː r s
kombi	k ɔ m b i
kombuis	k ɔ m b œ i̯ s
komeet	k ʊ ə̯ m ɪ ə̯ t
komkommer	k ɔ m k ɔ m ə r
kommunikeer	k ɔ m y n i s ɪ ə̯ r
kompas	k ɔ m p a s
kon	k ɔ n
koning	k ʊ ə n ə ŋ
koninkryk	k ʊ ə̯ n ə ŋ k r ə i̯ k
konsentrasiekamp	k ɔ n s ɛ n t r ɑː s i k a m p
konsep	k ɔ n s ɛ p
kont	k ɔ n t
kontak	k ɔ n t a k
kontrak	k ɔ n t r a k
kontreikuns	k ɔ n t r ə i̯ k œ n s
kooi	k oː i
koop	k ʊ ə̯ p
kop	k ɔ p
kopende	k ʊ ə p ə n d ə
koper	k oː p ə r
kopie	k oː p i
kopie	k ʊ ə̯ p i
kopiereg	k ʊ ə̯ p i r ɛ χ
koraalrif	k ʊ ə̯ r ɑː l r ə f
korrek	k ɔ r ɛ k
korrup	k ɔ r œ p
kors	k ɔ r s
kort	k ɔ r t
kortbroek	k ɔ r t b r u k
kortliks	k ɔ r t l ə k s
kortsigtig	k ɔ r t s ə χ t ə χ
kos	k ɔ s
kots	k ɔ t s
koud	k œ u t
kous	k œ u s
kraai	k r ɑː i
kraal	k r ɑː l
krag	k r a χ
kreukel	k r ɪ ø k ə l
kriek	k r i k
krimp	k r ə m p
krimpvark	k r ə m p f a r k
kroeg	k r u χ
kroon	k r ʊ ə̯ n
kruid	k r œ i̯ t
kruip	k r œ i̯ p
kruk	k r œ k
kry	k r ə i
kuba	k y b a
kuier	k œ i̯ ə r
kultuur	k œ l t y r
kurk	k œ r k
kus	k œ s
kussing	k œ s ə ŋ
kwarantyn	k ʋ ɑ r ɑ n t ə i n
kweekskool	k v ɪ ə̯ k s k ʊ ə̯ l
kwessie	k v ɛ s i
kwik	k v ə k
kwyl	k v ə i̯ l
laag	l ɑː χ
laagste	l ɑː χ s t ə
laai	l ɑː i̯
laat	l ɑː t
laatmiddag	l ɑː t m ə d a χ
lae	l ɑː ə
laer	l ɑː ə r
lafhartig	l a f ɦ a r t ə χ
lag	ɫ ɐ χ
lam	l a m
lamp	l a m p
land	l a n t
landbou	l a n t b œ u̯
landdros	l a n d r ɔ s
landskap	l a n t s k a p
landsnaam	l a n t s n ɑː m
langs	l a ŋ s
lap	l a p
lasterveldtog	l a s t ə r f ɛ l t ɔ χ
lat	l a t
lawaglas	l ɑː v ə χ l a s
lede	l ɪ ə d ə
leef	l ɪ ə̯ f
leeg	l ɪ ə χ
leegste	l ɪ ə χ s t ə
leer	l ɪ ə r
leerarea	l e ə r a r ɛ a
lees	l ɪ ə s
leier	l ə i̯ ə r
lekker	l ɛ k ə r
lelik	l ɪ ə̯ l ə k
lemoen	l ə m u n
leraar	l ɪ ə̯ r ɑː r
les	l ɛ s
letter	l ɛ t ə r
letterkunde	l ɛ t ə r k œ n d ə
letterkundig	l ɛ t ə r k œ n d ə x
leuningstoel	l ɪ ø n ə ŋ s t u l
leunstoel	l ɪ ø n s t u l
lewe	l ɪ ə v ə
lewensgeskiedenis	l ɪ ə̯ v ə n s χ ə s k i d ə n ə s
lewer	l ɪ ə̯ v ə r
liedjie	l i k i
liefde	l i f d ə
liefdesbrief	l i f d ə s b r i f
lieg	l i χ
lig	l ə χ
liggaam	l ə χ ɑː m
liggende	l ə χ ə n d ə
lint	l ə n t
lip	l ə p
lis	l ə s
lof	l ɔ f
lok	l ɔ k
lol	l ɔ l
long	l ɔ ŋ
lont	l ɔ n t
lood	l ʊ ə t
loop	l ʊ ə p
losbars	l ɔ s b a r s
lug	l œ χ
luis	l œ i s
luister	l œ i s t ə r
luisteraar	l œ i̯ s t ə r ɑː r
luitenant	l œ i̯ t ə n ɐ n t
lyf	l ə i f
lyk	l ə i k
lyke	l ə i k ə
lys	l ə i s
lyste	l ə i s t ə
lywe	l ə i v ə
lê	l ɛː
maak	m ɑː k
maalvleis	m ɑː l f l ə i̯ s
maan	m ɑː n
maand	m ɑː n t
maar	m ɑː r
maat	m ɑː t
mag	m a χ
magdom	m a χ d ɔ m
magie	m ɑː χ i
magies	m ɑː χ i s
magneet	m a χ n ɪ ə̯ t
majoor	m a j ʊ ə̯ r
majoor	m ə j ʊ ə̯ r
makeer	m a k eː r
makou	m a k œ u̯
makou	m ə k œ u̯
mamparra	m a m p a r a
man	m a n
mark	m a r k
mas	m a s
masedonië	m ɑ s ə d ʊ ə n i j ə
matras	m a t r a s
mee	m ɪ ə̯
meersinnig	m ɪ ə̯ r s ə n ə x
meester	m ɪ ə̯ s t ə r
meetkunde	m ɪ ə̯ t k œ n d ə
meetkundig	m ɪ ə̯ t k œ n d ə χ
meisie	m ə i s i
melk	m ɛ l k
melkskommel	m ɛ l k s k ɔ m ə l
melktand	m ɛ l k t a n t
mening	m ɪ ə̯ n ə ŋ
mens	m ɛ n s
mensdom	m ɛ n s d ɔ m
mensheid	m ɛ n s ɦ ə i̯ t
mes	m ɛ s
met	m ɛ t
metafoor	m ɪ ə̯ t a f ʊ ə̯ r
middag	m ə d a χ
mielie	m i l i
mier	m i r
mik	m ə k
mikroskoop	m i k r u s k ʊ ə̯ p
mikroskoop	m i k r ʊ ə̯ s k ʊ ə̯ p
ministerie	m ə̯ n ə̯ s t ɪ ə̯ r i
mis	m ə s
misdaad	m ə s d ɑː t
mishandel	m ə s ɦ ɑ n d ə l
missiel	m ə s i l
moedertaalspreker	m u d ə r t ɑː l s p r e ə̯ k ə r
moedertaalsprekers	m u d ə r t ɑː l s p r e ə̯ k ə r s
moeras	m u r a s
moes	m u s
moet	m u t
mog	m ɔ χ
moltrein	m ɔ l t r ə i̯ n
monnik	m ɔ n ə k
mooi	m oː i̯
moor	m ʊ ə̯ r
moord	m ʊ ə̯ r t
mos	m ɔ s
moskee	m ɔ s k ɪ ə̯
mossel	m ɔ s ə l
mosterdgas	m ɔ s t ə r t χ a s
motief	m ʊ ə̯ t i f
motor	m ʊ ə̯ t ə r
mou	m œ u̯
muf	m œ f
mug	m œ χ
muggie	m œ χ i
muis	m œ i̯ s
muishond	m œ i̯ s ɦ ɔ n t
mummie	m œ m i
mus	m œ s
my	m ə i
môre	m ɔː r ə
naald	n ɑː l t
nader	n ɑː d ə r
nag	n a χ
nagereg	n ɑː χ ə r ɛ χ
nasie	n ɑː s i
navo	n ɑː f o ə̯
naweek	n ɑː v ɪ ə̯ k
nederland	n ɪ ə̯ d ə r l a n t
nee	n i əː
neerdaal	n ɪ ə̯ r d ɑː l
neerlê	n i ə̯ r l ɛː
nes	n ɛ s
neuk	n ɪ ø k
neus	n ɪ ø s
neutraal	n ɪ ø t r ɑː l
nie	n i
nier	n i r
nigeries	n i χ ɪ ə̯ r i s
niks	n ə k s
