abl	a b l̩
cymhlethdodau	kʰ ə m l ɛ θ t ɔ d ɛ
cymhlethdodau	kʰ ə m l̥ʰ ɛ θ t oː d a i̯
cymhlethdodau	kʰ ə m l̥ʰ ɛ θ t oː d ɛ
cymhlethdodau	kʰ ə m l̥ʰ ɛ θ t ɔ d a i̯
cymhlethdodau	kʰ ə m l̥ʰ ɛ θ t ɔ d ɛ
cymysg	kʰ ə m ɪ s k
cymysgedd	kʰ ə m ə s k ɛ ð
cymysglyd	kʰ ə m ə s k l ɪ d
cysgu	kʰ ə s k i
cysgu fel clawdd	kʰ ə s k i v ɛ l k lʰ a u̯ ð
cystadlaethau	kʰ ə s t a d l e i̯ θ a i̯
cystadlaethau	kʰ ə s t a d l e i̯ θ ɛ
cystadleuaeth	kʰ ə s t a d l e i̯ a i̯ θ
cystadleuaeth	kʰ ə s t a d l e i̯ ɛ θ
cystadleuol	kʰ ə s t a d l e i̯ ɔ l
cystadleuwr	kʰ ə s t a d l e i̯ ʊ r
cystadleuwyr	kʰ ə s t a d l e i̯ w ɪ r
cystadleuydd	kʰ ə s t a d l e i̯ ɪ ð
cystadlu	kʰ ə s t a d l i
cystal	kʰ ə s t a l
cystal	kʰ ɪ s t a l
cystal	kʰ ɪ s t ɛ l
cyswllt	kʰ ə s ʊ ɬ t
cysylltair	kʰ ə s ə ɬ t a i̯ r
cysylltiad	kʰ ə s ə ɬ t j a d
cysylltnod	kʰ ə s ə ɬ t n ɔ d
cysylltu	kʰ ə s ə ɬ t i
dadl	d a d l̩
ddysgu	ð ə s k i
deigr	d e i̯ ɡ r̩
delysg	d eː l ɪ s k
delysg	d ɛ l ɪ s k
dest	d eː s t
dest	d ɛ s t
dinistrio	d ɪ n ɪ s t r j o
disgwyl	d ɪ s k ʊ i̯ l
disgwyl	d ɪ s k ʊ l
disgwyl	d ɪ ʃ k ʊ i̯ l
disgwyl	d ɪ ʃ k ʊ l
disgybl	d ɪ s k ɪ b l̩
disgyblion	d ɪ s k ə b l j ɔ n
disgyn	d ɪ s k ɪ n
disgyn	d ɪ ʃ k ɪ n
diweithdra	d ɪ w e i̯ θ t r a
dosbarthiad	d ɔ s p a r θ j a d
dosbarthiadau	d ɔ s p a r θ j a d a i̯
dosbarthiadau	d ɔ s p a r θ j a d ɛ
dosbarthiadau	d ɔ s p a r θ j aː d a i̯
dosbarthiadau	d ɔ s p a r θ j aː d ɛ
dosbarthol	d ɔ s p a r θ ɔ l
dosbarthu	d ɔ s p a r θ i
dosbarthwr	d ɔ s p a r θ ʊ r
dosbarthwyr	d ɔ s p a r θ w ɪ r
dreidl	d r e i̯ d l̩
drysgoed	d r ə s k ɔ i̯ d
dwfn	d ʊ v n̩
dyrysgoed	d ə r ə s k ɔ i̯ d
dysg	d ɪ s k
dysglaid	d ɪ s k l a i̯ d
dysglaid	d ɪ s k l ɛ d
dysglaid	d ɪ ʃ k l ɛ d
dysgleidiau	d ɪ s k l e i̯ d j a i̯
dysgleidiau	d ɪ s k l e i̯ d j ɛ
dysgleidiau	d ɪ ʃ k l e i̯ d j ɛ
dysgu	d ə s k i
dysgwr	d ə s k ʊ r
edn	ɛ d n̩
eirin ysgaw	e i̯ r ɪ n ə s k a u̯
eirinen ysgaw	e i̯ r iː n ɛ n ə s k a u̯
eirinen ysgaw	e i̯ r ɪ n ɛ n ə s k a u̯
eistedd	e i̯ s t ɛ ð
eistedd	ɪ s t ɛ
eistedd	ɪ ʃ t ɛ
eisteddfodau	e i̯ s t ɛ ð v oː d a i̯
eisteddfodau	e i̯ s t ɛ ð v ɔ d a i̯
eisteddfodau	s t ɛ ð v oː d ɛ
eisteddfodau	s t ɛ ð v ɔ d ɛ
eisteddle	e i̯ s t ɛ ð l ɛ
elltydd	ɛ ɬ t ɪ ð
emrallt	ɛ m r a ɬ t
enghraifft	ɛ ŋ r ɛ f t
enghraifft	ɛ ŋ̊ r a i̯ f t
enghraifft	ɛ ŋ̊ r ɛ f t
erthygl	ɛ r θ ɪ ɡ l̩
erthygl	ɛ r θ ɪ ɡ ɪ l
esgaladur	ɛ s k a l a d ɪ r
esgaladur	ɛ s k a l aː d ɪ r
esgid	ɛ s k ɪ d
esgidiau	s k ɪ d j ɛ
esgidiau	s k ɪ d ʒ ɛ
esgidiau	s k ɪ t ʃ ɛ
esgidiau	ɛ s k ɪ d j a i̯
esgob	ɛ s k ɔ b
esgobion	ɛ s k ɔ b j ɔ n
esgyll	ɛ s k ɪ ɬ
esgyn	ɛ s k ɪ n
esgyrn	ɛ s k ɪ r n
est	eː s t
est	ɛ s t
estron	ɛ s t r ɔ n
estrys	ɛ s t r ɪ s
ewythr	ɛ u̯ ɪ θ r̩
facebook	f eː s p ʊ kʰ
finegr	v ɪ n ɛ ɡ r̩
finegr	v ɪ n ɛ ɡ ɛ r
finegr balsamig	v ɪ n ɛ ɡ r̩ b a l s a m i ɡ
gaeafgysgu	ɡ e i̯ a v ɡ ə s k i
gafr	ɡ a v r̩
gastell	ɡ a s t ɛ ɬ
gefn	ɡ ɛ v n̩
geifr	ɡ e i̯ v r̩
gestyll	ɡ ɛ s t ɪ ɬ
glasgoch	ɡ l a s k ɔ χ
glaswellt	ɡ l a s w ɛ ɬ t
glöyn	ɡ l ɔ w ɪ n
golosg	ɡ oː l ɔ s k
golosg	ɡ ɔ l ɔ s k
gorasgellu	ɡ ɔ r a s k ɛ ɬ i
gornest	ɡ ɔ r n ɛ s t
gornestau	ɡ ɔ r n ɛ s t a i̯
gornestau	ɡ ɔ r n ɛ s t ɛ
gornestu	ɡ ɔ r n ɛ s t i
gornestwr	ɡ ɔ r n ɛ s t ʊ r
gornestwyr	ɡ ɔ r n ɛ s t w ɪ r
gosteg	ɡ ɔ s t ɛ ɡ
gostwng	ɡ ɔ s t ʊ ŋ
gostyngaidd	ɡ ɔ s t ə ŋ a i̯ ð
gwalch y pysgod	ɡ w a l χ ə pʰ ə s k ɔ d
gwallt	ɡ w a ɬ t
gwasgaru	ɡ w a s k a r i
gwasgaru	ɡ w a s k aː r i
gwastraff	ɡ w a s t r a f
gwellt	ɡ w ɛ ɬ t
gwellta	ɡ w ɛ ɬ t a
gwenyn gwyllt	ɡ w eː n ɪ ŋ ɡ w ɪ ɬ t
gwenyn gwyllt	ɡ w ɛ n ɪ ŋ ɡ w ɪ ɬ t
gwenynen wyllt	ɡ w e n ə n ɛ ŋ w ɪ ɬ t
gwesgyr	ɡ w ɛ s k ɪ r
gwestai	ɡ w ɛ s t a i̯
gwesteion	ɡ w ɛ s t e i̯ ɔ n
gwestiwn	ɡ w̥ʰ ɛ s t j ʊ n
gwesty	ɡ w ɛ s t i
gwialen bysgota	ɡ w i a l ɛ n b ə s k ɔ tʰ a
gwialen bysgota	ɡ w i aː l ɛ n b ə s k ɔ tʰ a
gwialen bysgota	ɡ w j a l ɛ m b ə s k ɔ tʰ a
gwialen bysgota	ɡ w j aː l ɛ m b ə s k ɔ tʰ a
gwisg	ɡ w ɪ s k
gwisg	ɡ w ɪ ʃ k
gwisgo	ɡ w ɪ s k ɔ
gwisgo	ɡ w ɪ ʃ k ɔ
gwobr	ɡ w ɔ b r̩
gwsberen	ɡ ʊ s p eː r ɛ n
gwsberen	ɡ ʊ s p ɛ r ɛ n
gwsberis	ɡ ʊ s p ɛ r ɪ s
gwyllt	ɡ w ɪ ɬ t
gwystl	ɡ w ɪ s t l̩
gwystl	ɡ ʊ i̯ s t l̩
gwystl	ɡ ʊ i̯ s t ɪ l
heisteddfod	h e i̯ s t ɛ ð v ɔ d
heisteddfodau	h e i̯ s t ɛ ð v oː d a i̯
heisteddfodau	h e i̯ s t ɛ ð v oː d ɛ
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a i̯
heisteddfodau	h e i̯ s t ɛ ð v ɔ d ɛ
henghraifft	h ɛ ŋ r ɛ f t
henghraifft	h ɛ ŋ̊ r a i̯ f t
henghraifft	h ɛ ŋ̊ r ɛ f t
hesg	h ɛ s k
hesgen	h ɛ s k ɛ n
hirsgwar	h ɪ r s k w a r
hoffest	h ɔ f ɛ s t
hollti	h ɔ ɬ t i
holocost	h ɔ l ɔ kʰ ɔ s t
hosbis	h ɔ s p ɪ s
hosbisau	h ɔ s p ɪ s a i̯
hosbisau	h ɔ s p ɪ s ɛ
huawdl	h iː a u̯ d l̩
huddygl	h ɪ ð ɪ ɡ l̩
hyllt	h ɪ ɬ t
hysbys	h ə s p ɪ s
hysgi	h ə s k i
hystafell	h ə s t a v ɛ ɬ
hystafell	h ə s t aː v ɛ ɬ
iselder ysbryd	ɪ s ɛ l d ɛ r ə s p r ɪ d
iselder ysbryd	ɪ ʃ ɛ l d ɛ r ə s p r ɪ d
isteitl	iː s t e i̯ tʰ l̩
isteitlau	iː s t e i̯ t l̥ʰ a i̯
isteitlau	iː s t e i̯ t l̥ʰ ɛ
isteitlo	iː s t e i̯ t l̥ʰ ɔ
jyngl	d͡ʒ ə ŋ ɡ l̩
lanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	l a n v a i̯ r p ʊ ɬ ɡ w ɪ n ɡ ɪ ɬ ɡ ɔ ɡ ɛ r ə χ w ɪ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
leidr	l e i̯ d r̩
lestr	l ɛ s t r̩
lifft	l ɪ f t
lifftiau	l ɪ f t j a i̯
lifftiau	l ɪ f t j ɛ
llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	ɬ a n v a i̯ r p ʊ ɬ ɡ w ɪ n ɡ ɪ ɬ ɡ ɔ ɡ ɛ r ə χ w ɪ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
llawysgrif	ɬ a u̯ ə s k r ɪ v
lle chwech	ɬ eː χ w eː χ
lledr	ɬ ɛ d r̩
lleidr	ɬ e i̯ d r̩
llestair	ɬ ɛ s t a i̯ r
llesteiriannau	ɬ ɛ s t e i̯ r j a n a i̯
llesteiriannau	ɬ ɛ s t e i̯ r j a n ɛ
llesteiriant	ɬ ɛ s t e i̯ r j a n t
llesteiriau	ɬ ɛ s t e i̯ r j a i̯
llesteiriau	ɬ ɛ s t e i̯ r j ɛ
llesteirio	ɬ ɛ s t e i̯ r j ɔ
llestr	ɬ ɛ s t r̩
lloegr	ɬ ɔ i̯ ɡ r̩
lloegr newydd	ɬ ɔ i̯ ɡ r̩ n ɛ u̯ ɨ̞ ð
llosg	ɬ ɔ s k
llosgi	ɬ ɔ s k i
llost	ɬ ɔ s t
llusg	ɬ ɪ s k
llusgo	ɬ ɪ s k ɔ
llwybr	ɬ ʊ i̯ b r̩
llwybr llaethog	ə ɬ ʊ i̯ b r̩ ɬ e i̯ θ ɔ ɡ
llyfr	ɬ ɪ v r̩
llysg	ɬ ɪ s k
loegr	l ɔ i̯ ɡ r̩
loegr newydd	l ɔ i̯ ɡ r̩ n ɛ u̯ ɨ̞ ð
lyfr	l ɪ v r̩
maestref	m e i s t r ɛ v
marchgacwn	m a r χ k a k ʊ n
marchgacynen	m a r χ k a k ə n ɛ n
masg	m a s k
masgau	m a s k a i̯
masgau	m a s k ɛ
masgiau	m a s k j a i̯
masgiau	m a s k j ɛ
masgio	m a s k j ɔ
masnachdy	m a s n a χ t i
mellt	m ɛ ɬ t
mellten	m ɛ ɬ t ɛ n
melltith	m ɛ ɬ t ɪ θ
melltithio	m ɛ ɬ t ɪ θ j ɔ
melltithion	m ɛ ɬ t ɪ θ j ɔ n
melyster	m ɛ l ə s t ɛ r
mhasta	m̥ʰ a s t a
mhastai	m̥ʰ a s t a i̯
mhobl	m̥ʰ ɔ b l̩
microsgopau	m e i̯ k r̥ʰ ɔ s k ɔ pʰ ɛ
microsgopau	m ɪ k r̥ʰ ɔ s k ɔ pʰ a i̯
mollt	m ɔ ɬ t
moresg	m oː r ɛ s k
moresg	m ɔ r ɛ s k
mwst	m ʊ s t
mynachdai	m ə n a χ t a i̯
mynachdy	m ə n a χ t i
mynededig	m ə n ɛ d eː d ɪ ɡ
nabl	n a b l̩
neidr	n e i̯ d r̩
nest	n eː s t
nest	n ɛ s t
nghastell	ŋ̊ʰ a s t ɛ ɬ
nghefn	ŋ̊ʰ ɛ v n̩
nghestyll	ŋ̊ʰ ɛ s t ɪ ɬ
nghwestiwn	ŋ̊ w̥ʰ ɛ s t j ʊ n
ngwystl	ŋ w ɪ s t l̩
ngwystl	ŋ ʊ i̯ s t l̩
ngwystl	ŋ ʊ i̯ s t ɪ l
nheigr	n̥ e i̯ ɡ r̩
ocr	ɔ k r̩
odl	ɔ d l̩
osgoi	ɔ s k ɔ i̯
pasg	pʰ a s k
pasta	pʰ a s t a
pastai	pʰ a s t a i̯
pasteiod	pʰ a s t e i̯ ɔ d
pedr	pʰ ɛ d r̩
pedrongl	pʰ ɛ d r ɔ ŋ l̩
pedrsill	pʰ ɛ d r̩ s ɪ ɬ
pellter	pʰ ɛ ɬ t ɛ r
pelydr x	pʰ eː l ɪ d r ɛ k s
pelydr x	pʰ eː l ɪ d r̩ ɛ k s
pelydr x	pʰ ɛ l ɪ d r ɛ k s
pelydr x	pʰ ɛ l ɪ d r̩ ɛ k s
pendrist	pʰ ɛ n d r ɪ s t
pesto	pʰ ɛ s t ɔ
phasta	f a s t a
phastai	f a s t a i̯
phobl	f ɔ b l̩
picl	pʰ ɪ kʰ l̩
picls	pʰ ɪ kʰ l̩ z
plastig	p lʰ a s t ɪ ɡ
pobl	pʰ ɔ b l̩
post	pʰ ɔ s t
poster	pʰ ɔ s t ɛ r
posteri	pʰ ɔ s t eː r i
posteri	pʰ ɔ s t ɛ r i
protestaniaeth	p r̥ʰ ɔ tʰ ɛ s t a n j a i̯ θ
protestaniaeth	p r̥ʰ ɔ tʰ ɛ s t a n j ɛ θ
protestaniaid	p r̥ʰ ɔ tʰ ɛ s t a n j a i̯ d
protestaniaid	p r̥ʰ ɔ tʰ ɛ s t a n j ɛ d
protestannaidd	p r̥ʰ ɔ tʰ ɛ s t a n a i̯ ð
protestannaidd	p r̥ʰ ɔ tʰ ɛ s t a n ɛ ð
protestant	p r̥ʰ ɔ tʰ ɛ s t a n tʰ
prysglwyn	pʰ r ə s k l ʊ i̯ n
prysglwyni	pʰ r ə s k l ʊ i̯ n i
pumongl	pʰ ɪ m ɔ ŋ l̩
pysgod	pʰ ə s k ɔ d
pysgodyn	p ə s k oː d ɪ n
pysgodyn	p ə s k ɔ d ɪ n
pysgota	pʰ ə s k ɔ tʰ a
rhaeadr	r̥ʰ e i̯ a d r̩
rhestr	r̥ʰ ɛ s t r̩
rhestr	r̥ʰ ɛ s t ɛ r
rhestrau	r̥ʰ ɛ s t r a i̯
rhestrau	r̥ʰ ɛ s t r ɛ
rhestri	r̥ʰ ɛ s t r i
rhisgl	r̥ ɪ s k l̩
rhisgl	r̥ ɪ s k ɪ l
rhisgl	r̥ ɪ ʃ k ɪ l
rhwystr	r̥ʰ ʊ i̯ s t r̩
rhwystr	r̥ʰ ʊ i̯ s t ɪ r
rhwystrau	r̥ʰ ʊ i̯ s t r a i̯
rhwystrau	r̥ʰ ʊ i̯ s t r ɛ
rhwystredig	r̥ʰ ʊ i̯ s t r eː d ɪ ɡ
rhwystredig	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ
rhwystredigaeth	r̥ʰ ʊ i̯ s d r ɛ d iː ɡ a i̯ θ
rhwystredigaeth	r̥ʰ ʊ i̯ s d r ɛ d iː ɡ ɛ θ
rhwystredigaeth	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ a i̯ θ
rhwystredigaeth	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ ɛ θ
rhwystredigaethau	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ e i̯ θ a i̯
rhwystredigaethau	r̥ʰ ʊ i̯ s t r ɛ d ɪ ɡ e i̯ θ ɛ
rhwystro	r̥ʰ ʊ i̯ s t r ɔ
salamandr	s a l a m a n d r̩
sawdl	s a u̯ d l̩
sbageti	s p a ɡ ɛ t i
sbectol	s p ɛ k t ɔ l
sbwriel	s p ʊ r j ɛ l
seithongl	s e i̯ θ ɔ ŋ l̩
sgandinafaidd	s k a n d ɪ n a v a i̯ ð
sgandinafia	s k a n d ɪ n a v j a
sgarff	s k a r f
sgerbwd	s k ɛ r b ʊ d
sgert	s k ɛ r t
sgiwen	s k i u̯ ɛ n
sglodion	s k l ɔ d j ɔ n
sglodyn	s k l oː d ɪ n
sglodyn	s k l ɔ d ɪ n
sgrech	s k r eː χ
sgrechian	s k r eː χ a n
sgrechian	s k r eː χ ɛ n
sgrechian	s k r ɛ χ a n
sgrechian	s k r ɛ χ j a n
sgrechian	s k r ɛ χ ɛ n
sgri	s k r iː
sgriau	s k r iː a i̯
sgriau	s k r iː ɛ
sgrin	s k r iː n
sgriniau	s k r ɪ n j a i̯
sgriniau	s k r ɪ n j ɛ
sgrinio	s k r i n j ɔ
sgwariau	s k w a r j a i̯
sgwariau	s k w a r j ɛ
sgwd	s k uː d
sgwrs	s k ʊ r s
sgwrsio	s k ʊ r s j o
sgwrsio	s k ʊ r ʃ o
sgwâr	s k w aː r
sgydau	s k ə d a i̯
sgydau	s k ə d ɛ
sgythia	s k ə θ j a
sgôr	s k oː r
siwgr	ʃ ʊ ɡ r̩
sosban	s ɔ s p a n
stafell	s t a v ɛ ɬ
stafell	s t aː v ɛ ɬ
stemar	s t eː m a r
stemar	s t ɛ m a r
stemars	s t eː m a r z
stemars	s t ɛ m a r z
stopi	s t ɔ p i
stopiem	s t ɔ p j ɛ m
stopio	s t ɔ p j ɔ
stori	s t oː r i
stori	s t ɔ r i
storïau	s t ɔ r iː a i̯
storïau	s t ɔ r iː ɛ
strach	s t r aː χ
straeon	s t r e i̯ ɔ n
streic	s t r e i̯ kʰ
streiciau	s t r e i̯ k j̊ʰ a i̯
streiciau	s t r e i̯ k j̊ʰ ɛ
streicio	s t r e i̯ k j̊ʰ ɔ
stryd	s t r iː d
stwrsiwn	s t ʊ r ʃ ʊ n
stwrsiynod	s t ʊ r ʃ ə n ɔ d
stŵr	s t uː r
sustem	s ɪ s t ɛ m
swistir	ə s w ɪ s t ɪ r
swllt	s ʊ ɬ t
syfl	s ɪ v l̩
syllta	s ə ɬ t a
syml	s ə m l̩
syml	s ɪ m l̩
system	s ɪ s t ɛ m
tanau gwyllt	tʰ a n a i̯ ɡ w ɪ ɬ t
tanau gwyllt	tʰ a n ɛ ɡ w ɪ ɬ t
tanau gwyllt	tʰ aː n a i̯ ɡ w ɪ ɬ t
tanau gwyllt	tʰ aː n ɛ ɡ w ɪ ɬ t
taradr	tʰ a r a d r̩
taradr	tʰ aː r a d r̩
teifl	tʰ e i̯ v l̩
teigr	tʰ e i̯ ɡ r̩
teitl	tʰ e i̯ tʰ l̩
terfysg	tʰ ɛ r v ɪ s k
terfysgaeth	tʰ ɛ r v ə s k a i̯ θ
terfysgaeth	tʰ ɛ r v ə s k ɛ θ
terfysgaidd	tʰ ɛ r v ə s k a i̯ ð
terfysglyd	tʰ ɛ r v ə s k l ɪ d
terfysgoedd	tʰ ɛ r v ə s k ɔ i̯ ð
terfysgu	tʰ ɛ r v ə s k i
terfysgwr	tʰ ɛ r v ə s k ʊ r
terfysgwyr	tʰ ɛ r v ə s k w ɪ r
terydr	tʰ eː r ɪ d r̩
terydr	tʰ ɛ r ɪ d r̩
theigr	θ e i̯ ɡ r̩
trawstrefa	t r̥ʰ a u̯ s t r eː v a
trawstrefa	t r̥ʰ a u̯ s t r ɛ v a
triongl	tʰ r iː ɔ ŋ l̩
trwbl	t r̥ʰ ʊ b l̩
trwsgl	t r ʊ s k l̩
tyst	tʰ ɪ s t
tân gwyllt	tʰ aː ŋ ɡ w ɪ ɬ t
tâp masgio	tʰ aː pʰ m a s k j ɔ
wfft	ʊ f t
wybr	ʊ i̯ b r̩
wysg	ʊ i̯ s k
wystl	w ɪ s t l̩
wystl	ʊ i̯ s t l̩
wystl	ʊ i̯ s t ɪ l
wythongl	ʊ i̯ θ ɔ ŋ l̩
ych a fi	ə χ a v iː
ymeifl	ə m e i̯ v l̩
ymherodr	ə m h ɛ r ɔ d r̩
ysboncio	ə s p ɔ ŋ k j ɔ
ysbryd	ə s p r ɪ d
ysbrydion	ə s p r ə d j ɔ n
ysbrydol	ə s p r ə d ɔ l
ysbrydoli	ə s p r ə d oː l i
ysbrydoli	ə s p r ə d ɔ l i
ysbyty	s p ə t i
ysbyty	ə s p ə t i
ysgafnder	ə s k a v n d ɛ r
ysgafnhad	ə s k a v n h aː d
ysgafnhau	ə s k a v n h a i̯
ysgaw	ə s k a u̯
ysgawen	ə s k a u̯ ɛ n
ysglodyn	s k l oː d ɪ n
ysglodyn	s k l ɔ d ɪ n
ysglodyn	ə s k l oː d ɪ n
ysglodyn	ə s k l ɔ d ɪ n
ysgol	ə s k ɔ l
ysgrifbin	ə s k r ɪ v b ɪ n
ysgrifen	s k r ɪ v ɛ n
ysgrifen	ə s k r ɪ v ɛ n
ysgrifennu	s k r ɪ v ɛ n i
ysgrifennu	ə s k r ɪ v ɛ n i
ysgubor	ə s k iː b ɔ r
ysgubor	ə s k ɪ b ɔ r
ysguthan	s k ɪ θ a n
ysguthan	ə s k ɪ θ a n
ysgwydd	ə s k w ɪ ð
ysgwydd	ə s k ʊ i̯ ð
ystafell	s t a v ɛ ɬ
ystafell	s t aː v ɛ ɬ
ystafell	ə s t a v ɛ ɬ
ystafell	ə s t aː v ɛ ɬ
ystifflog	ə s t ɪ f l ɔ ɡ
ystiflogod	ə s t ɪ f l oː ɡ ɔ d
ystiflogod	ə s t ɪ f l ɔ ɡ ɔ d
ystlum	ə s t l ɪ m
ystod	ə s t ɔ d
ystradwel	ə s t r a d w ɛ l
ystyr	ə s t ɪ r
ystyried	ə s t ə r j ɛ d
