aa	ɑː
aateli	ɑː t e l i
aatelinen	ɑː t e l i n e n
aatelismies	ɑː t e l i s m i e̯ s
aatelisnainen	ɑː t e l i s n ɑ i̯ n e n
aatelisneiti	ɑː t e l i s n e i̯ t i
aatelisrouva	ɑː t e l i s r o u̯ ʋ ɑ
aatelisto	ɑː t e l i s t o
aateloida	ɑː t e l o i̯ d ɑˣ
aateloiminen	ɑː t e l o i̯ m i n e n
aatelointi	ɑː t e l o i̯ n t i
aato	ɑː t o
aatos	ɑː t o s
aatra	ɑː t r ɑ
aatteellinen	ɑː tː eː lː i n e n
aatto	ɑː tː o
aava	ɑː ʋ ɑ
aave	ɑː ʋ eˣ
aavemainen	ɑː ʋ e m ɑ i̯ n e n
aavikko	ɑː ʋ i kː o
aavikkoilves	ɑː ʋ i kː o i l ʋ e s
aavikkokenguru	ɑː ʋ i kː o k e ŋː u r u
aavikkolokki	ɑː ʋ i kː o l o kː i
aavikkopöllö	ɑː ʋ i kː o p ø lː ø
aavikoituakseen	ɑː ʋ i k o i̯ t u ɑ k s eː n
aavikoituminen	ɑː ʋ i k o i̯ t u m i n e n
aavistaa	ɑː ʋ i s t ɑːˣ
aavistamaton	ɑː ʋ i s t ɑ m ɑ t o n
aavistaminen	ɑː ʋ i s t ɑ m i n e n
aavisteleminen	ɑː ʋ i s t e l e m i n e n
aavistus	ɑː ʋ i s t u s
abakus	ɑ b ɑ k u s
abbedissa	ɑ bː e d i sː ɑ
abbreviaatio	ɑ bː r e ʋ i ɑː t i o
abdikaatio	ɑ b d i k ɑː t i o
abdominaalinen	ɑ b d o m i n ɑː l i n e n
aberraatio	ɑ b e rː ɑː t i o
abessiivi	ɑ b e sː iː ʋ i
abi	ɑ b i
abioottinen	ɑ b i oː tː i n e n
ablatiivi	ɑ b l ɑ t iː ʋ i
ablaut	ɑ b l ɑ u t
abnormaali	ɑ b n o r m ɑː l i
abnormi	ɑ b n o r m i
aboriginaali	ɑ b o r i ɡ i n ɑː l i
abortoida	ɑ b o r t o i̯ d ɑˣ
abortti	ɑ b o r tː i
abrakadabra	ɑ b r ɑ k ɑ d ɑ b r ɑ
absessi	ɑ b s e sː i
absintti	ɑ b s i n tː i
absolutismi	ɑ b s o l u t i s m i
absolutistinen	ɑ b s o l u t i s t i n e n
absoluutti	ɑ b s o l uː tː i
absorboida	ɑ b s o r b o i̯ d ɑˣ
absorboiminen	ɑ b s o r b o i̯ m i n e n
absorboitua	ɑ b s o r b o i̯ t u ɑˣ
absorboituakseen	ɑ b s o r b o i̯ t u ɑ k s eː n
absorboituminen	ɑ b s o r b o i̯ t u m i n e n
absorptio	ɑ b s o r p t i o
absorptiokyky	ɑ b s o r p t i o k y k y
absorptioviiva	ɑ b s o r p t i o ʋ iː ʋ ɑ
abstrahoida	ɑ b s t r ɑ h o i̯ d ɑˣ
abstrahoiminen	ɑ b s t r ɑ h o i̯ m i n e n
abstrahoituminen	ɑ b s t r ɑ h o i̯ t u m i n e n
abstrakti	ɑ b s t r ɑ k t i
abstraktinen	ɑ b s t r ɑ k t i n e n
abstraktio	ɑ b s t r ɑ k t i o
abstraktistaminen	ɑ b s t r ɑ k t i s t ɑ m i n e n
abstraktistuminen	ɑ b s t r ɑ k t i s t u m i n e n
abstraktoida	ɑ b s t r ɑ k t o i̯ d ɑˣ
absurdi	ɑ b s u r d i
absurdisti	ɑ b s u r d i s t i
absurdisti	ɑ b s u r d i s t iˣ
abyssaalinen	ɑ b y sː ɑː l i n e n
adamantiini	ɑ d ɑ m ɑ n t iː n i
adamiitti	ɑ d ɑ m iː tː i
adapteri	ɑ d ɑ p t e r i
adapterit	ɑ d ɑ p t e r i t
adaptiivinen	ɑ d ɑ p t iː ʋ i n e n
adaptoida	ɑ d ɑ p t o i̯ d ɑˣ
adaptoiminen	ɑ d ɑ p t o i̯ m i n e n
adaptoitua	ɑ d ɑ p t o i̯ t u ɑ
adaptoitua	ɑ d ɑ p t o i̯ t u ɑˣ
addiktio	ɑ dː i k t i o
additiivinen	ɑ dː i t iː ʋ i n e n
additioreaktio	ɑ dː i t i o r e ɑ k t i o
addressi	ɑ dː r e sː i
adekvaatti	ɑ d e k ʋ ɑː tː i
adessiivi	ɑ d e sː iː ʋ i
adiabaatti	ɑ d i ɑ b ɑː tː i
adiabaattinen	ɑ d i ɑ b ɑː tː i n e n
adjektiivi	ɑ d j e k t iː ʋ i
adjungaatti	ɑ d j u ŋː ɑː tː i
admittanssi	ɑ d m i tː ɑ n sː i
adoptio	ɑ d o p t i o
adoptoida	ɑ d o p t o i̯ d ɑˣ
adoptoiminen	ɑ d o p t o i̯ m i n e n
adoptointi	ɑ d o p t o i̯ n t i
adpositio	ɑ d p o s i t i o
adrenaliini	ɑ d r e n ɑ l iː n i
adressi	ɑ d r e sː i
adressia	ɑ d r e sː i ɑ
adsorboiminen	ɑ d s o r b o i̯ m i n e n
adsorboituminen	ɑ d s o r b o i̯ t u m i n e n
adsukipapu	ɑ d s u k i p ɑ p u
adventti	ɑ d ʋ e n tː i
adventtikalenteri	ɑ d ʋ e n tː i k ɑ l e n t e r i
adverbi	ɑ d ʋ e r b i
adverbiaali	ɑ d ʋ e r b i ɑː l i
adverbiaalinen	ɑ d ʋ e r b i ɑː l i n e n
adverbilauseke	ɑ d ʋ e r b i l ɑ u̯ s e k eˣ
adversatiivinen	ɑ d ʋ e r s ɑ t iː ʋ i n e n
aedeagus	ɑ e d e ɑː ɡ u s
aerobic	ɑ e r o b i kː i
aerobikata	ɑ e r o b i k ɑ t ɑˣ
aerobinen	ɑ e r o b i n e n
aerodynaaminen	ɑ e r o d y n ɑː m i n e n
aerodynamiikka	ɑ e r o d y n ɑ m iː kː ɑ
aerologia	ɑ e r o l o ɡ i ɑ
aerometri	ɑ e r o m e t r i
aerometria	ɑ e r o m e t r i ɑ
aeronomi	ɑ e r o n o m i
aeronomia	ɑ e r o n o m i ɑ
aerosoli	ɑ e r o s o l i
affiliaatio	ɑ fː i l i ɑː t i o
afgaani	ɑ f ɡ ɑː n i
afgaaninvinttikoira	ɑ f ɡ ɑː n i n ʋ i n tː i k o i̯ r ɑ
afganistanilainen	ɑ f ɡ ɑ n i s t ɑ n i l ɑ i̯ n e n
aforismi	ɑ f o r i s m i
aforistinen	ɑ f o r i s t i n e n
afrikaans	ɑ f r i k ɑː n s
afrikkalainen	ɑ f r i kː ɑ l ɑ i̯ n e n
agaave	ɑ ɡ ɑː ʋ e
agalmatoliitti	ɑ ɡ ɑ l m ɑ t o l iː tː i
agentti	ɑ ɡ e n tː i
agglutinoida	ɑ ɡː l u t i n o i̯ d ɑˣ
aggregaatio	ɑ ɡː r e ɡ ɑː t i o
aggregoida	ɑ ɡː r e ɡ o i̯ d ɑˣ
aggressiivinen	ɑ ɡː r e sː iː ʋ i n e n
aggressiivisuus	ɑ ɡ r e sː iː ʋ i s uː s
aggressiivisuus	ɑ ɡː r e sː iː ʋ i s uː s
agility	ɑ ɡ i l i t y
agitoida	ɑ ɡ i t o i̯ d ɑˣ
agitoiminen	ɑ ɡ i t o i̯ m i n e n
agnostikko	ɑ ɡ n o s t i kː o
agnostinen	ɑ ɡ n o s t i n e n
agnostisismi	ɑ ɡ n o s t i s i s m i
agnostisuus	ɑ ɡ n o s t i s uː s
agogiikka	ɑ ɡ o ɡ iː kː ɑ
agogo	ɑ ɡ o ɡ o
agonaalinen	ɑ ɡ o n ɑː l i n e n
agonia	ɑ ɡ o n i ɑ
agonisti	ɑ ɡ o n i s t i
agorafobia	ɑ ɡ o r ɑ f o b i ɑ
agrologia	ɑ ɡ r o l o ɡ i ɑ
ah	ɑ h
aha	ɑ h ɑ ʔ
ahaa	ɑ h ɑː
ahava	ɑ h ɑ ʋ ɑ
ahavoittaa	ɑ h ɑ ʋ o i̯ tː ɑːˣ
ahavoittaminen	ɑ h ɑ ʋ o i̯ tː ɑ m i n e n
ahavoitua	ɑ h ɑ ʋ o i̯ t u ɑˣ
ahavoituminen	ɑ h ɑ ʋ o i̯ t u m i n e n
ahdas	ɑ h d ɑ s
ahdata	ɑ h d ɑ t ɑˣ
ahdin	ɑ h d i n
ahdistaa	ɑ h d i s t ɑːˣ
ahdistaminen	ɑ h d i s t ɑ m i n e n
ahdisteleminen	ɑ h d i s t e l e m i n e n
ahdistelu	ɑ h d i s t e l u
ahdistua	ɑ h d i s t u ɑˣ
ahdistuminen	ɑ h d i s t u m i n e n
ahdistus	ɑ h d i s t u s
ahdistushäiriö	ɑ h d i s t u s h æ i̯ r i ø
ahertaa	ɑ h e r t ɑːˣ
ahertaminen	ɑ h e r t ɑ m i n e n
ahjo	ɑ h j o
ahjohiili	ɑ h j o h iː l i
ahkera	ɑ h k e r ɑ
ahkeroida	ɑ h k e r o i̯ d ɑˣ
ahkeroiminen	ɑ h k e r o i̯ m i n e n
ahkeroitseminen	ɑ h k e r o i̯ t s e m i n e n
ahma	ɑ h m ɑ
ahmaiseminen	ɑ h m ɑ i̯ s e m i n e n
ahmaista	ɑ h m ɑ i̯ s t ɑˣ
ahmia	ɑ h m i ɑˣ
ahmimishäiriö	ɑ h m i m i s h æ i̯ r i ø
ahmintahäiriö	ɑ h m i n t ɑ h æ i̯ r i ø
ahnas	ɑ h n ɑ s
ahnasta	ɑ h n ɑ s t ɑ
ahne	ɑ h n eˣ
ahnehtia	ɑ h n e h t i ɑˣ
ahnehtiminen	ɑ h n e h t i m i n e n
ahneus	ɑ h n e u s
aho	ɑ h o
ahola	ɑ h o l ɑ
aholainen	ɑ h o l ɑ i̯ n e n
aholeinikki	ɑ h o l e i̯ n i kː i
ahomansikka	ɑ h o m ɑ n s i kː ɑ
ahosuolaheinä	ɑ h o s u o̯ l ɑ h e i̯ n æ
ahtaa	ɑ h t ɑːˣ
ahtaanpaikankammo	ɑ h t ɑː n p ɑ i̯ k ɑ n k ɑ mː o
ahtaminen	ɑ h t ɑ m i n e n
ahtaneeksi	ɑ h t ɑ n eː k s i
ahtaneella	ɑ h t ɑ n eː lː ɑ
ahtaneelle	ɑ h t ɑ n eː lː eˣ
ahtaneelta	ɑ h t ɑ n eː l t ɑ
ahtaneen	ɑ h t ɑ n eː n
ahtaneena	ɑ h t ɑ n eː n ɑ
ahtaneeseen	ɑ h t ɑ n eː s eː n
ahtaneessa	ɑ h t ɑ n eː sː ɑ
ahtaneesta	ɑ h t ɑ n eː s t ɑ
ahtaneetta	ɑ h t ɑ n eː tː ɑ
ahtanutta	ɑ h t ɑ n u tː ɑ
ahtaus	ɑ h t ɑ u s
ahtauttaa	ɑ h t ɑ u tː ɑːˣ
ahtauttaminen	ɑ h t ɑ u tː ɑ m i n e n
ahtautua	ɑ h t ɑ u t u ɑˣ
ahtautuminen	ɑ h t ɑ u t u m i n e n
ahtera	ɑ h t e r ɑ
ahti	ɑ h t i
ahto	ɑ h t o
ahtojää	ɑ h t o j æː
ahtoutuminen	ɑ h t o u t u m i n e n
ahven	ɑ h ʋ e n
ahvenanmaa	ɑ h ʋ e n ɑ n m ɑː
ahvenanmaanlammas	ɑ h ʋ e n ɑ n m ɑː n l ɑ mː ɑ s
ahvenanmeri	ɑ h ʋ e n ɑ n m e r i
ahvenkala	ɑ h ʋ e n k ɑ l ɑ
ahvenkalat	ɑ h ʋ e n k ɑ l ɑ t
ahvenmuhennos	ɑ h ʋ e n m u h e nː o s
ahvo	ɑ h ʋ o
ai	ɑ i̯
aiai	ɑ i̯ ɑ i̯
aidanteko	ɑ i̯ d ɑ n t e k o
aidas	ɑ i̯ d ɑ s
aidata	ɑ i̯ d ɑ t ɑˣ
aidattu	ɑ i̯ d ɑ tː u
aidoittaminen	ɑ i̯ d o i̯ tː ɑ m i n e n
aids	ɑ i̯ d s
aie	ɑ i̯ eˣ
aientaminen	ɑ i̯ e n t ɑ m i n e n
aihe	ɑ i̯ h eˣ
aiheellistaminen	ɑ i̯ h eː lː i s t ɑ m i n e n
aiheellistuminen	ɑ i̯ h eː lː i s t u m i n e n
aihekokonaisuus	ɑ i̯ h eˣ k o k o n ɑ i̯ s uː s
aihetodiste	ɑ i̯ h eˣ t o d i s t eˣ
aiheuttaa	ɑ i̯ h e u tː ɑːˣ
aiheuttaminen	ɑ i̯ h e u tː ɑ m i n e n
aiheutua	ɑ i̯ h e u t u ɑˣ
aiheutuminen	ɑ i̯ h e u t u m i n e n
aihio	ɑ i̯ h i o
aija	ɑ i̯ j ɑ
aijai	ɑ i̯ j ɑ i̯
aika	ɑ i̯ k ɑ
aikaan	ɑ i̯ k ɑː n
aikaansaada	ɑ i̯ k ɑː n s ɑː d ɑˣ
aikaansaaminen	ɑ i̯ k ɑː n s ɑː m i n e n
aikaansaavuus	ɑ i̯ k ɑː n s ɑː ʋ uː s
aikaerotteinen	ɑ i̯ k ɑ e r o tː e i̯ n e n
aikaikkuna	ɑ i̯ k ɑ i kː u n ɑ
aikaileminen	ɑ i̯ k ɑ i̯ l e m i n e n
aikailla	ɑ i̯ k ɑ i̯ lː ɑˣ
aikaillen	ɑ i̯ k ɑ i̯ lː e n
aikainen	ɑ i̯ k ɑ i̯ n e n
aikaisemmin	ɑ i̯ k ɑ i̯ s e mː i n
aikaisheteisyys	ɑ i̯ k ɑ i̯ s h e t e i̯ s yː s
aikaisimmin	ɑ i̯ k ɑ i̯ s i mː i n
aikaistaa	ɑ i̯ k ɑ i̯ s t ɑːˣ
aikaistaminen	ɑ i̯ k ɑ i̯ s t ɑ m i n e n
aikaistua	ɑ i̯ k ɑ i̯ s t u ɑˣ
aikaistuminen	ɑ i̯ k ɑ i̯ s t u m i n e n
aikajakso	ɑ i̯ k ɑ j ɑ k s o
aikakatkaista	ɑ i̯ k ɑ k ɑ t k ɑ i̯ s t ɑˣ
aikakatkaisu	ɑ i̯ k ɑ k ɑ t k ɑ i̯ s u
aikakauslehtipaperi	ɑ i̯ k ɑ k ɑ u̯ s l e h t i p ɑ p e r i
aikakoodi	ɑ i̯ k ɑ k oː d i
aikalainen	ɑ i̯ k ɑ l ɑ i̯ n e n
aikalaskelma	ɑ i̯ k ɑ l ɑ s k e l m ɑ
aikamatkaaja	ɑ i̯ k ɑ m ɑ t k ɑː j ɑ
aikamatkailu	ɑ i̯ k ɑ m ɑ t k ɑ i̯ l u
aikamoinen	ɑ i̯ k ɑ m o i̯ n e n
aikamuoto	ɑ i̯ k ɑ m u o̯ t o
aikana	ɑ i̯ k ɑ n ɑ
aikanaan	ɑ i̯ k ɑ n ɑː n
aikaohjaus	ɑ i̯ k ɑ o h j ɑ u s
aikapallo	ɑ i̯ k ɑ p ɑ lː o
aikaraja	ɑ i̯ k ɑ r ɑ j ɑ
aikasakko	ɑ i̯ k ɑ s ɑ kː o
aikasarja	ɑ i̯ k ɑ s ɑ r j ɑ
aikatauluttaa	ɑ i̯ k ɑ t ɑ u̯ l u tː ɑːˣ
aikatauluttaminen	ɑ i̯ k ɑ t ɑ u l u tː ɑ m i n e n
aikatyö	ɑ i̯ k ɑ t y ø̯
aikaväli	ɑ i̯ k ɑ ʋ æ l i
aikeissa	ɑ i̯ k e i̯ sː ɑ
aikido	ɑ i̯ k i d o
aikoa	ɑ i̯ k o ɑˣ
aikoinaan	ɑ i̯ k o i̯ n ɑː n
aikominen	ɑ i̯ k o m i n e n
aikuinen	ɑ i̯ k u i̯ n e n
aikuistua	ɑ i̯ k u i̯ s t u ɑˣ
aikuistuminen	ɑ i̯ k u i̯ s t u m i n e n
aila	ɑ i̯ l ɑ
ailahdella	ɑ i̯ l ɑ h d e lː ɑˣ
ailahdellen	ɑ i̯ l ɑ h d e lː e n
ailahtaa	ɑ i̯ l ɑ h t ɑːˣ
ailahtaminen	ɑ i̯ l ɑ h t ɑ m i n e n
ailahteleminen	ɑ i̯ l ɑ h t e l e m i n e n
aili	ɑ i̯ l i
ailurofobia	ɑ i̯ l u r o f o b i ɑ
aimo	ɑ i̯ m o
aina	ɑ i̯ n ɑ
aine	ɑ i̯ n eˣ
aineellinen	ɑ i̯ n eː lː i n e n
aineellistaminen	ɑ i̯ n eː lː i s t ɑ m i n e n
aineellistuminen	ɑ i̯ n eː lː i s t u m i n e n
aineenvaihdunta	ɑ i̯ n eː n ʋ ɑ i̯ h d u n t ɑ
aineet	ɑ i̯ n eː t
aineeton	ɑ i̯ n eː t o n
aineisto	ɑ i̯ n e i̯ s t o
aineistotietokanta	ɑ i̯ n e i̯ s t o t i e̯ t o k ɑ n t ɑ
aineistuminen	ɑ i̯ n e i̯ s t u m i n e n
ainemäärä	ɑ i̯ n eˣ m æː r æ
aineoppi	ɑ i̯ n eˣ o pː i
aineryhmä	ɑ i̯ n eˣ r y h m æ
aines	ɑ i̯ n e s
aini	ɑ i̯ n i
ainikki	ɑ i̯ n i kː i
aino	ɑ i̯ n o
ainoa	ɑ i̯ n o ɑ
ainokainen	ɑ i̯ n o k ɑ i̯ n e n
ainuntaa	ɑ i̯ n u n t ɑːˣ
ainut	ɑ i̯ n u t
aio	ɑ i̯ oˣ
aioli	ɑ i̯ o l i
aiolinen	ɑ i̯ o l i n e n
aioni	ɑ i̯ o n i
aira	ɑ i̯ r ɑ
airi	ɑ i̯ r i
airo	ɑ i̯ r o
airut	ɑ i̯ r u t
ais	ɑ i̯ s
aisa	ɑ i̯ s ɑ
aisaaminen	ɑ i̯ s ɑː m i n e n
aisakeinu	ɑ i̯ s ɑ k e i̯ n u
aisankannatin	ɑ i̯ s ɑ n k ɑ nː ɑ t i n
aistia	ɑ i̯ s t i ɑ
aistia	ɑ i̯ s t i ɑˣ
aistielämys	ɑ i̯ s t i e l æ m y s
aistiharha	ɑ i̯ s t i h ɑ r h ɑ
aistikas	ɑ i̯ s t i k ɑ s
aistin	ɑ i̯ s t i n
aistinelin	ɑ i̯ s t i n e l i n
aita	ɑ i̯ t ɑ
aitaa	ɑ i̯ t ɑː
aitaa	ɑ i̯ t ɑːˣ
aitaamaton	ɑ i̯ t ɑː m ɑ t o n
aitaaminen	ɑ i̯ t ɑː m i n e n
aitio	ɑ i̯ t i o
aito	ɑ i̯ t o
aitoakseen	ɑ i̯ t o ɑ k s eː n
aitolehti	ɑ i̯ t o l e h t i
aitomaksasammal	ɑ i̯ t o m ɑ k s ɑ s ɑ mː ɑ l
aitominen	ɑ i̯ t o m i n e n
aitosammal	ɑ i̯ t o s ɑ mː ɑ l
aitotumainen	ɑ i̯ t o t u m ɑ i̯ n e n
aitovirna	ɑ i̯ t o ʋ i r n ɑ
aitta	ɑ i̯ tː ɑ
aivan	ɑ i̯ ʋ ɑ n
aivastaa	ɑ i̯ ʋ ɑ s t ɑːˣ
aivastava	ɑ i̯ ʋ ɑ s t ɑ ʋ ɑ
aivasteleminen	ɑ i̯ ʋ ɑ s t e l e m i n e n
aivastuttaminen	ɑ i̯ ʋ ɑ s t u tː ɑ m i n e n
aivojumppa	ɑ i̯ ʋ o j u m pː ɑ
aivokalvontulehdus	ɑ i̯ ʋ o k ɑ l ʋ o n t u l e h d u s
aivokirurgi	ɑ i̯ ʋ o k i r u r ɡ i
aivokuolema	ɑ i̯ ʋ o k u o̯ l e m ɑ
aivokuori	ɑ i̯ ʋ o k u o̯ r i
aivokurkiainen	ɑ i̯ ʋ o k u r k i ɑ i̯ n e n
aivokuume	ɑ i̯ ʋ o k uː m eˣ
aivokäyrä	ɑ i̯ ʋ o k æ y̯ r æ
aivolisäke	ɑ i̯ ʋ o l i s æ k eˣ
aivolohko	ɑ i̯ ʋ o l o h k o
aivolymfooma	ɑ i̯ ʋ o l y m f oː m ɑ
aivomato	ɑ i̯ ʋ o m ɑ t o
aivopestä	ɑ i̯ ʋ o p e s t æˣ
aivosähkökäyrä	ɑ i̯ ʋ o s æ h k ø k æ y̯ r æ
aivot	ɑ i̯ ʋ o t
aivotoiminta	ɑ i̯ ʋ o t o i̯ m i n t ɑ
aivotrusti	ɑ i̯ ʋ o t r u s t i
aivotyrä	ɑ i̯ ʋ o t y r æ
aivotärähdys	ɑ i̯ ʋ o t æ r æ h d y s
aivovamma	ɑ i̯ ʋ o ʋ ɑ mː ɑ
aivovaurio	ɑ i̯ ʋ o ʋ ɑ u̯ r i o
aivoverenkiertohäiriö	ɑ i̯ ʋ o ʋ e r e n k i e̯ r t o h æ i̯ r i ø
aja	ɑ j ɑˣ
ajaa	ɑ j ɑːˣ
ajaantuminen	ɑ j ɑː n t u m i n e n
ajallaan	ɑ j ɑ lː ɑː n
ajallinen	ɑ j ɑ lː i n e n
ajamaan	ɑ j ɑ m ɑː n
ajaminen	ɑ j ɑ m i n e n
ajanhetki	ɑ j ɑ n h e t k i
ajankohtaistaminen	ɑ j ɑ ŋ k o h t ɑ i̯ s t ɑ m i n e n
ajankohtaistuminen	ɑ j ɑ n k o h t ɑ i̯ s t u m i n e n
ajanlasku	ɑ j ɑ n l ɑ s k u
ajanmukainen	ɑ j ɑ n m u k ɑ i̯ n e n
ajanmukaistuminen	ɑ j ɑ n m u k ɑ i̯ s t u m i n e n
ajantasaistaminen	ɑ j ɑ n t ɑ s ɑ i̯ s t ɑ m i n e n
ajanviete	ɑ j ɑ n ʋ i e̯ t eˣ
ajanvietematematiikka	ɑ j ɑ n ʋ i e̯ t eˣ m ɑ t e m ɑ t iː kː ɑ
ajastaminen	ɑ j ɑ s t ɑ m i n e n
ajatella	ɑ j ɑ t e lː ɑˣ
ajatellen	ɑ j ɑ t e lː e n
ajatollah	ɑ j ɑ t o lː ɑ h
ajaton	ɑ j ɑ t o n
ajattaja	ɑ j ɑ tː ɑ j ɑ
ajattaminen	ɑ j ɑ tː ɑ m i n e n
ajatteluttaminen	ɑ j ɑ tː e l u tː ɑ m i n e n
ajatuksekas	ɑ j ɑ t u k s e k ɑ s
ajatusharha	ɑ j ɑ t u s h ɑ r h ɑ
ajatuskoe	ɑ j ɑ t u s k o eˣ
ajatusrikos	ɑ j ɑ t u s r i k o s
ajatusviiva	ɑ j ɑ t u s ʋ iː ʋ ɑ
ajautuminen	ɑ j ɑ u t u m i n e n
ajelehtia	ɑ j e l e h t i ɑˣ
ajelehtiminen	ɑ j e l e h t i m i n e n
ajeleminen	ɑ j e l e m i n e n
ajella	ɑ j e lː ɑˣ
ajelu	ɑ j e l u
ajeluttaminen	ɑ j e l u tː ɑ m i n e n
ajettuminen	ɑ j e tː u m i n e n
ajetuksissa	ɑ j e t u k s i sː ɑ
ajo	ɑ j o
ajoaikainen	ɑ j o ɑ i̯ k ɑ i̯ n e n
ajoeste	ɑ j o e s t eˣ
ajoittaa	ɑ j o i̯ tː ɑːˣ
ajoittaminen	ɑ j o i̯ tː ɑ m i n e n
ajoittuminen	ɑ j o i̯ tː u m i n e n
ajokaluseppä	ɑ j o k ɑ l u s e pː æ
ajokaskasvi	ɑ j o k ɑ s k ɑ s ʋ i
ajokeppi	ɑ j o k e pː i
ajokoe	ɑ j o k o eˣ
ajokoirat	ɑ j o k o i̯ r ɑ t
ajokone	ɑ j o k o n eˣ
ajokortti	ɑ j o k o r tː i
ajoluiska	ɑ j o l u i̯ s k ɑ
ajolumi	ɑ j o l u m i
ajomies	ɑ j o m i e̯ s
ajonaikainen	ɑ j o n ɑ i̯ k ɑ i̯ n e n
