akut	a k ʉ̟ː t̪
svenne	s v ɛ̀ nː ɛ
sverige	¹ s v æ r j ə
svärd	s v̥ æː ɖ
svår	¹ s̪ v̥ oː r
syll	s ʏ lː
särskild	² s æː ɧ ɪ l d
särskild	² s æː ʂ ɪ l d
tid	tʰ iː d
tornedalen	tʰ o ə̯ ɳ ə d ɑː l ə n
tornedalsfinska	tʰ o ə̯ ɳ ə d ɑː l s f ɪ n s k a
torsdag	tʰ uː ʂ d̥ a
torsdag	tʰ uː ʂ d̥ ɑː ɡ
trast	¹ t̪ r a s̪ː t̪
tugga	t ɵ ɡ a
tvärtom	t v æː ʈ ɔ m
tå	tʰ oː
undra	² ɵ̞ nː d r a
uppå	² ɵ pː oː
uppå	¹ ɵ pː oː
vacker	v a kʲː ɛ̠ ɾ
vad	v ɑː d̪
vapen	¹ v ɑː p ə n̪
varför	¹ v a rː f œ̞ r
varför	¹ v ɑː r f œ̞ r
varmt	ʋ ä ɹ m̥ t
vars	v a ʂ
vars	v ɑː ʁ s
vars	v ɑː ʂ
varsågod	v a ʂ ɔ ɡ uː d
varsågod	v ɑː ʂ ɔ ɡ uː d
vart	v a ʈː
vart	v ɑː ʈ
verka	v æ rː kʲ a
vind	v ɪ nː d
vindskydd	v ɪ n d ɧ ʏ d
värd	v æː r d
värd	v æː ɖ
värde	² v æ ɖ ɛ
värld	v æː r d
värld	v æː ɖ
zlatan	s l aː t a n
äran	æː r a n
åhléns	oː l eː n s
ål	ɤʷː ə̯ l
åland	oː l̪ a n d
ödsla	œ́ː d̥ s l á
öppen	² œ pː ɛ n̪
öra	œ̞ː r a
öresund	œ r ɛ s ɵ nː d
öresundsbron	œː r ɛ ² s ɵ nː d s b r uː n
örfil	œ́ː r f íː l
över	ø ə̯ v ə r
