aba	âː ɓ a
igwebu	í ɡ̊ʷ e̤ː ɓ u
igwinya	í ɡ̊ʷ i̤ː ɲ á
igxalaba	í ɡ̊ ǁ a̤ l áː ɓ a
ihashe	í ɦ ǎ̤ː ʃ e
ihempe	í ɦ ě̤ːᵐ p e
ihlobo	í ɬ oː ɓ o
ihlwempu	í ɬʷ eːᵐ p ú
ihobe	í ɦ o̤ː ɓ é
ihotele	í ɦ o̤ t êː l e
ijam	í d̥ ʒ ǎ̤ː m̩
ijezi	í d̥ ʒ e̤ː z̥ ǐ̤
ijogo	í d̥ ʒ ǒ̤ː ɡ̊ o̤
ikapa	í k áː p a
ikati	í k áː t i
ikawusi	í k á w úː s i
ikeki	í k éː k i
ikhabhathi	í kʰ á b̥ a̤ː tʰ i
ikhaphetshu	í kʰ á pʰ eː t ʃʰ u
ikhaya	í kʰ âː j a
ikhitshi	í kʰ iː t ʃʰ i
ikhuba	í kʰ uː ɓ a
ikhulu	í kʰ ûː l u
ikhwapha	í kʰʷ aː pʰ á
ikofu	í k óː f u
ikomityi	í k o m íː c i
ikrele	í k x êː l e
ikroti	í k x óː t í
ilanga	í l aːᵑ ɡ̊ a̤
ilekese	í l é k eː s e
ilifu	í l íː f u
iligxa	í l íː ɡ̊ ǁ a̤
ilinqe	í l iː ŋ ǃ é
ilishwa	í l íː ʃʷ a
iliso	í l iː s ó
ilitye	í l íː c e
iliwa	í l iː w á
ilixa	í l iː k ǁ á
iliza	í l íː z̥ a̤
ilizwe	í l íː z̥ʷ e̤
ilizwi	í l iː z̥ʷ ǐ̤
ilokhwe	í l óː kʰʷ e
ilori	í l oː r í
ilulwane	í l ú lʷ aː n e
ilungelo	í l úᵑ ɡ̊ e̤ː l ó
imali	í m aː l í
imamba	í m âːᵐ b̥ a̤
imazi	í m âː z̥ i̤
imbabala	íᵐ b̥ ǎ̤ ɓ aː l á
imbewu	íᵐ b̥ e̤᷈ː w u
imbila	íᵐ b̥ i̤᷈ː l a
imbiza	íᵐ b̥ i̤ː z̥ ǎ̤
imbizo	íᵐ b̥ i̤᷈ː z̥ o̤
imbongi	íᵐ b̥ o̤ːᵑ ɡ̊ i̤
imbongolo	íᵐ b̥ ǒ̤ᵑ ɡ̊ o̤ː l o
imbovane	íᵐ b̥ ǒ̤ v̥ aː n é
imbuzi	íᵐ b̥ ṳː z̥ ǐ̤
imelika	í m é l iː k a
imfazwe	íᶬ p̪ f áː z̥ʷ e̤
imfene	íᶬ p̪ f eː n e
imfihlo	íᶬ p̪ f îː ɬ o
imfuyo	íᶬ p̪ f úː j o
imini	í m íː n i
imoto	í m oː t ó
impahla	íᵐ p aː ɬ a
impala	íᵐ p aː l á
impempe	íᵐ p éːᵐ p e
impendulo	íᵐ p éⁿ d̥ ṳː l o
impi	íːᵐ p í
impilo	íᵐ p iː l o
impisi	íᵐ p îː s i
impofu	íᵐ p ôː f u
impukane	íᵐ p ú k aː n é
impuku	íᵐ p ûː k u
impumalanga	íᵐ p ú m áː l aᵑ ɡ̊ a̤
impumelelo	íᵐ p ú m é l eː l o
impumlo	íᵐ p ú m̩ː l o
imvu	íːᶬ b̪̊ v ṳ̌
imvubu	íᶬ b̪̊ v ṳː ɓ ú
imvula	íᶬ b̪̊ v ṳ᷈ː l a
imvume	íᶬ b̪̊ v ṳ̌ː m e
incwadi	í ŋ ǀʷ aː d̥ ǐ̤
indaba	íⁿ d̥ a̤ː ɓ a
indawo	íⁿ d̥ a̤᷈ː w o
indlala	íⁿ d̥ ɮ a̤ː l a
indlebe	íⁿ d̥ ɮ e̤ː ɓ é
indlela	íⁿ d̥ ɮ e̤ː l a
indlovu	íⁿ d̥ ɮ o̤ː v ṳ
indlu	íːⁿ d̥ ɮ ṳ
indlulamthi	íⁿ d̥ ɮ ṳ̌ l á m̩ː tʰ í
indoda	íⁿ d̥ o̤ː d̥ a̤
induku	íⁿ d̥ ṳː k u
ingada	íᵑ ɡ̊ a̤ː d̥ ǎ̤
ingalo	íᵑ ɡ̊ a̤ː l o
ingca	íː ŋ ǀ ǎ̤
ingcambu	í ŋ ǀ a̤᷈ːᵐ b̥ ṳ
ingcebiso	í ŋ ǀ e̤ ɓ íː s o
ingcelo	í ŋ ǀ e̤᷈ː l o
ingcingo	í ŋ ǀ i̤ːᵑ ɡ̊ o̤
ingcobo	í ŋ ǀ ǒ̤ː ɓ o
ingcongconi	í ŋ ǀ o̤ ŋ ǀ o̤ː n í
ingcongolo	í ŋ ǀ o̤ᵑ ɡ̊ ǒ̤ː l o
ingcwaba	í ŋ ǀʷ a̤ː ɓ a
ingobozi	íᵑ ɡ̊ ǒ̤ ɓ oː z̥ i̤
ingoma	íᵑ ɡ̊ o̤ː m a
ingonyama	íᵑ ɡ̊ ǒ̤ ɲ aː m a
ingozi	íᵑ ɡ̊ o̤ː z̥ i̤
ingqalo	í ŋ ǃ a̤᷈ː l o
ingqele	í ŋ ǃ e̤ː l e
ingqeqesho	í ŋ ǃ ě̤ k ǃ éː ʃ o
ingqesho	í ŋ ǃ ě̤ː ʃ o
ingqibo	í ŋ ǃ i̤ː ɓ o
ingqolowa	í ŋ ǃ o̤ l óː w a
ingqondo	í ŋ ǃ o̤ːⁿ d̥ o̤
ingqumba	í ŋ ǃ ṳ᷈ːᵐ b̥ a̤
ingqumbo	í ŋ ǃ ṳːᵐ b̥ o̤
ingqushu	í ŋ ǃ ṳː ʃ ú
ingubo	íᵑ ɡ̊ ṳː ɓ o
ingungane	íᵑ ɡ ṳ̌ᵑ ɡ ǎ̤ː n e
ingwane	íᵑ ɡ̊ʷ a̤ː n e
ingwe	íːᵑ ɡ̊ʷ e̤
ingwenya	íᵑ ɡ̊ʷ e̤ː ɲ a
ingwevu	íᵑ ɡ̊ʷ e̤ː v̥ ṳ
ingxabano	í ŋ ǁ a̤ ɓ áː n o
ingxabela	í ŋ ǃ ǎ̤ ɓ eː l a
ingxaki	í ŋ ǁ a̤᷈ː k i
ingxelo	í ŋ ǁ e̤ː l o
ingxolo	í ŋ ǁ o̤᷈ː l o
ingxothi	í ŋ ǁ o̤᷈ː tʰ i
ingxowa	í ŋ ǁ o̤ː w a
ingxoxo	í ŋ ǁ o̤ː k ǁ o
ingxube	í ŋ ǁ ṳː ɓ é
inja	íːⁿ d̥ ʒ ǎ̤
injoli	íᶮ d̥ ʒ o̤ː l i
inkabi	íᵑ k âː ɓ i
inkathazo	íᵑ k á tʰ áː z̥ o̤
inkcazelo	í ŋ ǀˀ á z̥ e̤ː l o
inkcazo	í ŋ ǀˀ aː z̥ o̤
inkcitho	í ŋ ǀˀ iː tʰ o
inkomo	íᵑ k oː m ó
inkosana	íᵑ k ó s âː n a
inkosi	íᵑ k ôː s i
inkosikazi	íᵑ k ó s í k aː z̥ i̤
inkqantosi	í ŋ ǃˀ áⁿ t óː s i
inkqayi	í ŋ ǃˀ áː y i
inkqubela	í ŋ ǃˀ u ɓ éː l a
inkqubo	í ŋ ǃˀ uː ɓ o
inkuku	íᵑ k ûː k u
inkululeko	íᵑ k ú l ú l eː k o
inkundla	íᵑ k ûːⁿ d̥ ɮ a̤
inkungu	íᵑ k ûːᵑ ɡ̊ ṳ
inkuni	íᵑ k ûː n i
inkunkuma	íᵑ k úᵑ k uː m a
inkunzi	íᵑ k ûːⁿ d̥ z i̤
inkwenkwe	íᵑ kʷ eːᵑ kʷ é
inkwenkwezi	íᵑ kʷ éᵑ kʷ éː z̥ i̤
inkxaso	í ŋ ǁˀ áː s o
inkxwaleko	í ŋ ǁˀʷ á l eː k o
inqanawa	í ŋ ǃ á n áː w a
inqawa	í ŋ ǃ áː w a
inqina	í ŋ ǃ í n a
inqwelo	í ŋ ǃʷ éː l o
intaba	í i n t a b a
intaba	íⁿ t aː ɓ a
intaka	íⁿ t aː k a
intakumba	íⁿ t á k uːᵐ b̥ ǎ̤
intambo	íⁿ t aːᵐ b̥ o̤
intente	íⁿ t éːⁿ t e
intetho	íⁿ t êː tʰ o
intla	íːⁿ t ɬ á
intlabathi	íⁿ t ɬ a ɓ âː tʰ í
intlakohlaza	íⁿ t ɬ á k ó ɬ âː z̥ a̤
intlalo	íⁿ t ɬ aː l o
intlango	íⁿ t ɬ aːᵑ ɡ̊ o̤
intlanzi	íⁿ t ɬ aːⁿ d̥ z i̤
intliziyo	íⁿ t ɬ í z ǐ̤ː j o
intloko	íⁿ t ɬ óː k o
intloni	íⁿ t ɬ ôː n i
into	íːⁿ t ó
intombazana	íⁿ t oᵐ b̥ a̤ z̥ a̤᷈ː n a
intombi	íⁿ t oːᵐ b̥ ǐ̤
intonga	íⁿ t ôːᵑ ɡ̊ a̤
intshonalanga	íᶮ t ʃ ó n áː l aᵑ ɡ̊ a̤
intshumayelo	íᶮ t ʃ ú m á j eː l o
intsimbi	íⁿ t s îːᵐ b̥ i̤
intsimi	íⁿ t s îː m i
intso	íːⁿ t͡s ó
intsomi	íⁿ t s ôː m i
intwala	íⁿ tʷ áː l a
intyafo	íᶮ c aː f o
intyatyambo	íᶮ c á c áːᵐ b̥ o̤
inxanxadi	í ŋ ǁ á ŋ ǁ áː d̥ i̤
inxeba	í ŋ ǁ eː ɓ a
inxele	í ŋ ǁ êː l e
inyama	í ɲ aː m a
inyamakazi	í ɲ á m á k aː z̥ i̤
inyanga	í ɲ aːᵑ ɡ̊ ǎ̤
inyholoba	í ɲ ǒ̤ l óː ɓ a
inyoka	í ɲ ôː k a
inyonga	í ɲ ôːᵑ ɡ̊ a̤
inyongo	í ɲ óːᵑ ɡ̊ o̤
inyoni	í ɲ oː n i
inyosi	í ɲ ôː s i
inzala	íⁿ d̥ z ǎ̤ː l a
ipalamente	í p a l a m éːⁿ d̥ e̤
ipapa	í p áː p a
ipasi	í p áː s i
ipeki	í p éː k i
iphepha	í pʰ eː pʰ a
iphephandaba	í pʰ é pʰ áⁿ d̥ a̤ː ɓ a
iphiko	í pʰ iː k o
ipholishi	í pʰ ó l iː ʃ i
iphupho	í pʰ uː pʰ o
ipleyiti	í p l é j íː t i
ipolisa	í p o l íː s a
ipotyi	í p oː c í
iqanda	í k ǃ aːⁿ d̥ ǎ̤
iqaqa	í k ǃ áː k ǃ á
iqela	í k ǃ éː l a
iqhina	í k ǃʰ îː n a
iqhosha	í k ǃʰ oː ʃ a
iqunube	í k ǃ u n úː ɓ e
irandi	í r áːⁿ d̥ i̤
irhafu	í x áː f u
irhali	í x áː l i
irhamba	í x aːᵐ b̥ a̤
irhanuga	í x á n uː ɡ̊ ǎ̤
irhasi	í x áː s i
irhorho	í x oː x ó
irhorho	í x óː x o
isandla	í s áːⁿ d̥ ɮ a̤
isando	í s áːⁿ d̥ o̤
isela	í s éː l a
isele	í s êː l e
isengwitshi	í s éᵑ ɡ̊ʷ i̤ː t ʃʰ i
isenzo	í s éːⁿ d̥ z o̤
ishishini	í ʃ i ʃ iː n í
ishumi	í ʃ ûː m i
isibaya	í s i ɓ âː j a
isibhedlele	í s í b̥ ě̤ ɮ̊ e̤ː l e
isibindi	í s í ɓ íːⁿ d̥ i̤
isibunu	í s í ɓ ûː n u
isicaka	í s í k ǀ âː k a
isichotho	í s í k ǀʰ oː tʰ o
isifo	í s iː f ó
isifuba	í s í f ûː ɓ a
isigcawu	í s í ɡ̊ ǀ a̤ː w u
isigebenga	í s í ɡ̊ e̤ ɓ éːᵑ ɡ̊ a̤
isigidi	í s í ɡ̊ i̤ː d̥ i̤
isihlangu	í s í ɬ aːᵑ ɡ ṳ̌
isihloko	í s í ɬ ôː k o
isikere	í s í k éː r e
isikhephe	í s í kʰ éː pʰ e
isikhukukazi	í s í kʰ ú k ú k aː z̥ i̤
isikhumba	í s í kʰ uːᵐ b̥ a̤
isilevu	í s í l eː v̥ ṳ
isileyi	í s í l éː j i
isileyiti	í s í l é j íː t i
isilima	í s í l îː m a
isilimo	í s í l iː m o
isilonda	í s í l oːⁿ d̥ a̤
isingesi	í s íᵑ ɡ̊ e̤᷈ː s i
isinhanha	í s í n a̤ː n a̤
isiphango	í s í pʰ aːᵑ ɡ̊ o̤
isiphini	í s í pʰ îː n i
isipho	í s iː pʰ ó
isiphosiso	í s í pʰ ó s iː s o
isipili	í s í p íː l i
isiqhamo	í s í k ǃʰ aː m o
isiqhelo	í s í k ǃʰ eː l o
isiqhwala	í s í k ǃʰʷ aː l á
isiqosho	í s í k ǃ ôː ʃ o
isisu	í s íː s u
isisuthu	í s í s ûː tʰ u
isitalato	í s í t á l áː t o
isitampu	í s í t áːᵐ p u
isithombe	í s í tʰ óːᵐ b̥ e̤
isithsaba	í s í t sʰ aː ɓ a
isithunywa	í s í tʰ úː ɲʷ a
isithuthuthu	í s í tʰ ú tʰ uː tʰ u
isitiya	í s í t íː j a
isitshixo	í s í t ʃ îː k ǁ o
isitulo	í s í t úː l o
isitya	í s íː c a
isityalo	í s í c áː l o
isixeko	í s í k ǁ eː k o
isiziba	í s í z̥ i̤ː ɓ a
isizwe	í s íː z̥ʷ e̤
isofa	í s oː f á
isoldathi	í s o l d̥ ǎ̤ː tʰ i
isongololo	í s óᵑ ɡ̊ ǒ̤ l oː l ó
isonka	í s óːᵑ k a
isono	í s ôː n o
isopholo	í s ó pʰ oː l o
isosala	í s ó s aː l a
iswekile	í sʷ é k iː l e
itafile	í t á f iː l e
itakane	í t a k áː n e
itapile	í t á p iː l e
itawuli	í t á w uː l i
ithambo	í tʰ âːᵐ b̥ o̤
ithandazwe	í tʰ áⁿ d̥ ǎ̤ː z̥ʷ e̤
ithanga	í tʰ aːᵑ ɡ̊ a̤
ithanga	í tʰ aːᵑ ɡ̊ ǎ̤
ithole	í tʰ oː l e
ithuba	í tʰ uː ɓ a
ithumbu	í tʰ uːᵐ b̥ ṳ
ithunga	í tʰ ûːᵑ ɡ̊ a̤
iti	íː t í
itipoti	í t í p óː t i
ititshala	í t í t ʃʰ aː l a
ityhefu	í cʰ éː f u
ityholo	í cʰ ôː l o
ityuwa	í c uː w a
iveki	í v̥ ě̤ː k i
ivila	í v̥ i̤ː l a
ivili	í v̥ ǐ̤ː l i
ivumba	í v̥ ṳːᵐ b̥ a̤
iwayini	í w á j iː n i
ixabiso	í k ǁ á ɓ íː s o
ixesha	í k ǁ éː ʃ a
ixetsha	í k ǁ éː t ʃʰ a
ixhego	í k ǁʰ eː ɡ̊ o̤
ixhegokazi	í k ǁʰ é ɡ̊ ǒ̤ k aː z̥ i̤
ixoxo	í k ǁ oː k ǁ o
iyeza	í j eː z̥ a̤
izembe	í z̥ e̤ːᵐ b̥ e̤
iziko	í z̥ i̤᷈ː k o
izinyo	í z̥ i̤᷈ː ɲ o
izolo	í z̥ o̤ː l o
izulu	í z̥ ṳː l u
kakhulu	k a kʰ ûː l u
kaloku	k a l óː k u
kancinci	k a ŋ ǀ íː ŋ ǀ í
kanye	k aː ɲ e
khulu	kʰ ûː l u
lala	l áː l a
langaza	l aᵑ ɡ̊ ǎ̤ː z̥ a̤
le	l é
lenga	l eːᵑ ɡ̊ a̤
leya	l é j âː
leyo	l éː j o
lo	l ó
loo	l ôː
luhlaza	l u ɬ aː z̥ a̤
luma	l uː m a
luphala	l u pʰ aː l a
lwa	lʷ a
mamela	m a m eː l a
mandela	m a n d ɛː l a
mema	m eː m a
mhlawumbi	m̩ ɬ á w úːᵐ b̥ ǐ̤
mna	m̩ː n á
molo	m ǒː l o
molweni	m o lʷ éː n i
namhlanje	n á ḿ̩ ɬ áːᶮ d̥ ʒ ě̤
ngcwala	ŋ ǀʷ a̤ː l a
ngoko	ᵑɡ̊ o̤᷈ː k o
ngoku	ᵑɡ̊ o̤᷈ː k u
ngomso	ᵑɡ̊ ǒ̤ m̩ː s ó
ngqengqa	ŋ ǃ e̤ː ŋ ǃ a̤
ngxama	ŋ ǁ a̤ː m a
ngxola	ŋ ǁ o̤ː l a
nkcunkca	ŋ ǀˀ uː ŋ ǀˀ a
nkqo	ŋ ǃˀ ó
nqetha	ŋ ǃ eː tʰ a
nqoma	ŋ ǃ oː m a
nqwema	ŋ ǃʷ eː m a
ntoni	ⁿt óː n í
ntsundu	ⁿt s ûːⁿ d̥ ṳ
nxula	ŋ ǁ uː l a
obo	ôː ɓ o
obu	ôː ɓ u
oko	ôː k o
oku	ôː k u
olo	ôː l o
olu	ôː l u
ozela	ó z̥ e̤ː l a
phakathi	pʰ á k aː tʰ í
phandle	pʰ áːⁿ d̥ ɮ ě̤
phantsi	pʰ áːⁿ t s í
phaya	pʰ á j âː
phesheya	pʰ é ʃ éː j á
phezolo	pʰ é z̥ o̤ː l o
phezu	pʰ éː z̥ ṳ
phezulu	pʰ é z̥ ṳː l u
qala	k ǃ âː l a
qha	k ǃʰ âː
qoqosha	k ǃ o k ǃ oː ʃ a
quba	k ǃ uː ɓ a
rhoqo	x oː k ǃ o
sa	s âː
sebenza	s e ɓ eːⁿ d̥ z a̤
shushu	ʃ uː ʃ ú
thathu	tʰ âː tʰ u
thetha	tʰ êː tʰ a
thina	tʰ îː n á
tshayela	t ʃ a j eː l a
tshisa	t ʃʰ íː s a
tshixa	t ʃ îː k ǁ a
tsiba	t s îː ɓ a
tya	c á
tyisa	c íː s a
ubambo	ú ɓ aːᵐ b̥ o̤
ubawo	ú ɓ aː w ó
ubawomkhulu	ú ɓ a w ó m̩ kʰ ûː l u
ubhejane	ú b̥ ě̤ d̥ ʒ a̤ː n e
ubhuti	ú b̥ ṳː t í
ubisi	ú ɓ îː s i
uboya	ú ɓ oː j á
ububi	ú ɓ uː ɓ í
ubuchopho	ú ɓ ú k ǀʰ oː pʰ o
ubucwecwe	ú ɓ ú k ǀʷ eː k ǀʷ é
ubudlelwane	ú ɓ ú ɮ̥ ě̤ lʷ aː n e
ubugorha	ú ɓ ú ɡ̊ ǒ̤ː x a
ubugqwetha	ú ɓ ú ɡ̊ ǃʷ e̤ː tʰ á
ubugqwirha	ú ɓ ú ɡ̊ ǃʷ ǐ̤ː x a
ubuhlanti	ú ɓ ú ɬ áːⁿ t i
ubuhle	ú ɓ uː ɬ é
ubuhlungu	ú ɓ ú ɬ ûːᵑ ɡ ṳ
ubuhlwempu	ú ɓ ú ɬʷ eːᵐ p ú
ubukrelekrele	ú ɓ ú k x é l é k x eː l e
ubulumko	ú ɓ ú l ú ḿ̩ː k o
ubungcwele	ú ɓ ú ŋ ǀʷ e̤᷈ː l e
ubungqina	ú ɓ ú ŋ ǃ i̤ː n a
ubuntu	ú ɓ úːⁿ t u
ubuntwana	ú ɓ úⁿ tʷ aː n a
ubuqaqawuli	ú ɓ ú k ǃ a k ǃ á w uː l i
ubushushu	ú ɓ ú ʃ uː ʃ ú
ubusi	ú ɓ ûː s i
ubusika	ú ɓ ú s îː k a
ubuso	ú ɓ uː s ó
ubusuku	ú ɓ ú s ûː k u
ubuthongo	ú ɓ ú tʰ oːᵑ ɡ o̤
ucamba	ú k ǀ âːᵐ b̥ a̤
ucango	ú k ǀ aːᵑ ɡ̊ o̤
uchochoyi	ú k ǀʰ o k ǀʰ óː j i
ucwambu	ú k ǀʷ âːᵐ b̥ ṳ
udaka	ú d̥ a̤ː k a
udonga	ú d̥ o̤ːᵑ ɡ̊ ǎ̤
ufele	ú f êː l é
ufudo	ú f ûː d̥ o̤
ugqirha	ú ɡ̊ ǃ i̤ː x a
ugxa	úː ɡ̊ ǁ a̤
uhambo	ú ɦ ǎ̤ᵐ b̥ o̤
ukhophe	ú kʰ ôː pʰ e
ukhuko	ú kʰ ûː k o
ukhula	ú kʰ uː l a
ukrebe	ú k x êː ɓ e
ukubulala	ú k ú ɓ ú l áː l a
ukucula	ú k ú k ǀ uː l a
ukudada	ú k ú d̥ a̤ː d̥ a̤
ukufa	ú k uː f á
ukuhleka	ú k ú ɬ eː k a
ukukhetha	ú k ú kʰ eː tʰ a
ukulima	ú k ú l iː m a
ukulwa	ú k úː lʷ a
ukunene	ú k ú n êː n e
ukungcola	ú k ú ŋ ǀ o̤ː l a
ukuphela	ú k ú pʰ éː l a
ukuqala	ú k ú k ǃ âː l a
ukuqeshwa	ú k ú k ǃ éː ʃʷ a
ukusweleka	ú k ú sʷ é l eː k a
ukuthetha	ú k ú tʰ êː tʰ a
ukutya	ú k uː c á
ukwindla	ú kʷ iːⁿ d̥ ɮ ǎ̤
uloliwe	ú l ó l iː w é
uluhlu	ú l úː ɬ u
ulusu	ú l uː s ú
ulusu	ú l úː s u
uluthi	ú l uː tʰ í
uluvo	ú l úː v̥ o̤
ulwandle	ú lʷ âːⁿ d̥ ɮ e̤
ulwazi	ú lʷ âː z̥ i̤
ulwesibini	ú lʷ é s í ɓ iː n í
ulwesihlanu	ú lʷ é s í ɬ âː n u
ulwesine	ú lʷ é s íː n e
ulwesithathu	ú lʷ é s í tʰ âː tʰ u
ulwimi	ú lʷ îː m i
umakhi	ú m âː kʰ i
umakhulu	ú m á kʰ ûː l u
umalume	ú m á l ûː m e
umama	ú m aː m á
umbala	ú ḿ̩ ɓ âː l a
umbhali	ú ḿ̩ b̥ a̤᷈ː l i
umbhobho	ú ḿ̩ b̥ ǒ̤ː b̥ o̤
umboko	ú ḿ̩ ɓ ôː k o
umbona	úᵐ b̥ ǒ̤ː n a
umbono	ú ḿ̩ ɓ ôː n o
umbulali	ú ḿ̩ ɓ ú l áː l i
umculi	ú ḿ̩ k ǀ uː l i
umculo	ú ḿ̩ k ǀ uː l o
umda	ú m̩ː d̥ ǎ̤
umdlalo	ú ḿ̩ ɮ̥ a̤᷈ː l o
umdyarho	ú ḿ̩ ɟ̥ a̤ː x o
umfana	ú ḿ̩ f áː n a
umfazi	ú ḿ̩ f âː z̥ i̤
umfi	ú m̩ː f í
umfo	ú m̩ː f ó
umfula	ú ḿ̩ f uː l a
umfundi	ú ḿ̩ f úːⁿ d̥ i̤
umfundisi	ú ḿ̩ f úⁿ d̥ i̤ː s i
umfuno	ú ḿ̩ f ûː n o
umgangatho	ú ḿ̩ ɡ̊ ǎ̤ᵑ ɡ̊ a̤ː tʰ o
umgca	ú ḿ̩ː ɡ̊ ǀ a̤
umgodi	ú ḿ̩ ɡ̊ o̤ː d̥ ǐ̤
umgqibelo	ú ḿ̩ ɡ̊ ǃ ǐ̤ ɓ eː l o
umgqomo	ú ḿ̩ ɡ̊ ǃ o̤ː m ó
umgqumo	ú ḿ̩ ɡ̊ ǃ ṳː m o
umgubo	ú ḿ̩ ɡ̊ ṳ᷈ː ɓ o
umgxobhozo	ú ḿ̩ ɡ̊ ǁ ǒ̤ b̥ o̤ː z̥ o̤
umhambi	ú ḿ̩ ɦ ǎ̤ːᵐ b̥ i̤
umhla	ú m̩̂ː ɬ a
umhlaba	ú ḿ̩ ɬ aː ɓ a
umhlaba	ú ḿ̩ ɬ âː ɓ a
umhlakulo	ú ḿ̩ ɬ á k uː l o
umhlali	ú ḿ̩ ɬ aː l i
umhlana	ú ḿ̩ ɬ aː n á
umhleli	ú ḿ̩ ɬ eː l i
umhlobo	ú ḿ̩ ɬ oː ɓ o
umhluzi	ú ḿ̩ ɬ uː z̥ ǐ̤
umkhenkce	ú ḿ̩ kʰ êː ŋ ǀˀ e
umkhonto	ú ḿ̩ kʰ óːⁿ t o
umkhupha	ú ḿ̩ kʰ uː pʰ a
umlenze	ú ḿ̩ l eːⁿ d̥ z e̤
umlilo	ú ḿ̩ l iː l o
umlimi	ú ḿ̩ l iː m i
umlo	ú ḿ̩ː l o
umlomo	ú ḿ̩ l oː m o
umlozi	ú ḿ̩ l ôː z̥ i̤
umlungu	ú ḿ̩ l uːᵑ ɡ ṳ
umlusi	ú ḿ̩ l úː s i
ummi	ú m̩̂ː m i
umndeni	ú ḿ̩ⁿ d̥ e̤ː n i
umnga	ú ḿ̩ːᵑ ɡ̊ a̤
umngcwabo	ú ḿ̩ ŋ ǀʷ a̤ː ɓ o
umngqusho	ú ḿ̩ ŋ ǃ ṳ̌ː ʃ o
umngxuma	ú ḿ̩ ŋ ǁ ṳː m a
umnqamlezo	ú ḿ̩ ŋ ǃ á ḿ̩ l eː z̥ o̤
umnqonqo	ú ḿ̩ ŋ ǃ oː ŋ ǃ o
umnqwazi	ú ḿ̩ ŋ ǃʷ aː z̥ i̤
umnqweno	ú ḿ̩ ŋ ǃʷ eː n o
umntru	ú ḿ̩ːⁿ tʳ u
