abo	a b o
guba	ɡ u b a ʔ
guwatsi	ɡ u w a t̪ s̪ i
guwatsinanggo	ɡ u w a t ʃ i n̪ a ŋ ɡ o
guwatsinanggo	ɡ u w a t̪ s̪ i n̪ a ŋ ɡ o
harina	h a ɾ i n a
hiring	h i ɾ̪ i ŋ
hita	h i t̪ a ʔ
hiusa	h i uː s̪ a
hopia	h o p j a ʔ
hopya	h o p j a ʔ
hulga	h u l ɡ a ʔ
iban	i b a n
igtagurha	iː ɡ t̪ a ɡ u ɾ̪ h a
ihi	ʔ i h i ʔ
ija	i d͡ʒ a
ikaduha	i k a d̪ u h a
ikalima	i k a l̪ i m a
ikanapulo	i k a n a p u l ʊ ʔ
ikapito	i k a p i t̪ o
ikasiyam	i k a s̪ i j ʌ m
ikatulo	i k a t̪ ɔ l ʊ
ikaunom	i k a u n ʊ m
ikaupat	i k a u p a t̪
ikawalo	i k a w ʌ l o
ilag	ʔ i l a ɡ
iloilo	ʔ i l o ʔ i l o
imburnal	ʔ i m b u ɾ n ɐ l
inadlawan	i n̪ a d̪ l̪ a w a n̪
inday	i n̪ d̪ a ɪ
inga	i ŋ a ʔ
inunom	i n u n ʊ m
ipos	i p o s̪
ispat	i s̪ p a t̪
itik	i t̪ i k
itikan	i t̪ i k a n̪
jorge	h o r h ɛ
kaduha	k a d̪ u h a
kalag	k a l̪ a ɡ
kalag	k a ɡ
kalagkalag	k a j a ɡ k a j a ɡ
kalagkalag	k a l̪ a ɡ k a l̪ a ɡ
kalagkalag	k a ɡ k a ɡ
kalatkat	k a l̪ a t̪ k a t̪
kalayo	k a j a j o
kalayo	k a j o
kalayo	k a l̪ a d ʒ o
kalayo	k a l̪ a j o
kalima	k a l̪ i m a
kamot	k a m o t
kapito	k a p i t̪ o
kaputol	k a p u t̪ o l̪
karaan	k a ɾ a ʔ ɐ n
kasiyam	k a s̪ i j ʌ m
katkat	k a t̪ k a t̪
katulo	k a t̪ ɔ l ʊ
kaunom	k a u n ʊ m
kaupat	k a ɔ p a t̪
kausa	k a ɔ s a
kayat	k a d ʒ a t̪
kayat	k a j a t̪
kinaunahan	k i n ʌ u n a h ʌ n
kinaunahan	k ɪ n a ʊ n a h a n
kinhas	k i n̪ h a s̪
kinhason	k i n̪ a s̪ o n̪
kinhason	k i n̪ h a s̪ o n̪
kulukabildo	k u l̪ u k a b i l̪ d̪ o
kuting	k u j i ŋ
kutis	k u t i s
labnot	l̪ a b n̪ o t̪
lagay	j a ɡ a ɪ
lagay	l̪ a ɡ a ɪ
lala	j a j a
lala	l̪ a
lala	l̪ a l̪ a
lanot	l̪ a n̪ o t̪
lapa	l̪ a p a ʔ
lapulapu	l a p u l aˑ p u
layas	l a j a s
layat	l̪ a d ʒ a t̪
layat	l̪ a j a t̪
layo	j a j o
layo	l̪ a d ʒ o
layo	l̪ a j o
liog	l i ʔ o ɡ
lomboy	j o m b ɔ ɪ
lomboy	l̪ o m b ɔ ɪ
lunga	l̪ u ŋ a
lungag	l̪ u ŋ a ʔ ɡ
lusay	l u s a j
luta	l u t̪ a
luta	l u t̪ a ʔ
luto	l̪ u t̪ o
makaduha	m ʌ k a d̪ u h a
makalima	m ʌ k a l̪ i m a
makanapulo	m ʌ k a n a p u l ʊ ʔ
makapito	m ʌ k a p i t̪ o
makasiyam	m ʌ k a s̪ i j ʌ m
makatulo	m ʌ k a t̪ ɔ l ʊ
makaunom	m ʌ k a u n ʊ m
makaupat	m ʌ k a ɔ p a t̪
makausa	m ʌ k a u s̪ a
maluya	m a l u j a
masareal	m a s̪ a ɾ̪ j a l̪
maya	m a j a
maya	m a j a ʔ
milo	m i l̪ o ʔ
minglanilla	m i ŋ ɡ l a n i ʎ a
napulo	n a p u l ʊ ʔ
negro	n ɪ ɡ ɾ u
nga	ŋ a
ngilo	ŋ i l̪ o
nimo	n i m o
niya	n i j a
otap	o t̪ a p
pagdugang	p ʌ ɡ d̪ u ɡ a ŋ
pagkuha	p ʌ ɡ k u h a ʔ
pagpuno	p ʌ ɡ p u n ɔ ʔ
pangitik	p a ŋ i t̪ i k
paso	p a s̪ o
paso	p a s̪ o ʔ
patay	p a t a ɪ
patis	p a t̪ i s̪
pato	p a t̪ u
pato	p a t̪ ɔ
patuka	p a t ɔ k a ʔ
patuka	p a t ɔ k ʌ ʔ
pinito	p i n ɪ t ʊ
pirma	p i ɾ m a
pito	p i t̪ o
plas	p l̪ a s̪
puklo	p u k l o ʔ
rajah	r a d͡ʒ ɐ
rosquillos	ɾ̪ o s̪ k i l̪ j o s̪
sagbot	s̪ a ɡ b o t̪
sala	s̺ a l a
salapi	s a l a p i ʔ
samar	s aˑ m ɐ ɾ
sambag	s ɐ m b ɐ ɡ
sanciangko	s ɐ n t͡ʃ a ŋ k o
sanga	s a ŋ a
sangay	s a ŋ a ɪ
sapa	s a p ɐ ʔ
sapot	s̪ a p o t̪
sapot	s̪ a p o ʔ t̪
sayop	s a j o p
sibuyas	s̪ i b u d ʒ a s̪
sibuyas	s̪ i b u j a s̪
sigay	s̪ i ɡ a ɪ
sikaduha	s̪ i k a d̪ u h a
sikatulo	s̪ i k a t̪ u l o
sikatulo	s̪ i k a t̪ u l ɔ
sipat	s̪ i p a t̪
siya	s i ʎ a
siya	s ɪ j a
siya	s ɪ ʎ a
siyam	s̪ i j ʌ m
suba	s u b a ʔ
suka	s̪ u k a
suka	s̪ u k a ʔ
suko	s u k ɔ
sulod	s̪ u d̪
sulod	s̪ u j o d̪
sulod	s̪ u l̪ o d̪
sulom	s̪ u j o m
sulom	s̪ u l̪ o m
sulom	s̪ u m
taas	t̪ a ʔ a s̪
taga	t̪ a ɡ a
taga	t̪ a ɡ a ʔ
tagiptip	t̪ a ɡ i p t̪ i p
tahod	t̪ a h o d̪
tahod	t̪ a h o d̪ ʔ
takilya	t a k i l j a
taming	t a m i ŋ
tanga	t a ŋ a
tanga	t a ŋ a ʔ
taop	t̪ a ɔ p
tapis	t̪ a p i s̪
tapo	t̪ a p o ʔ
tapo	t̪ a p ɔ ʔ
tata	t̪ a t̪ a
tata	t̪ a ʔ t̪ a ʔ
tawo	t̪ a w o
tawo	t̪ a ʊ̯
tigbahin	t̪ i ɡ b a h i n̪
tigdugang	t̪ i ɡ d̪ u ɡ a ŋ
tigkuha	t̪ i ɡ k u h a ʔ
tigpilo	t̪ i ɡ p i l̪ o ʔ
tigpuno	t̪ i ɡ p u n o ʔ
tingob	t̪ i ŋ o b
tipas	t̪ i p a s̪
tipon	t i p o n
tsapa	t͡ʃ a p a
tulo	t̪ ɔ l ʊ
tulo	t̪ ɔ l ʊ ʔ
tunay	t u n a i̯
tungab	t̪ u ŋ a b
turko	t u ɾ k u
ugay	u ɡ a ɪ
ulaw	u d ʒ a ʊ̯
ulaw	u j a ʊ̯
ulaw	u l̪ a ʊ̯
ulaw	u w a ʊ̯
una	u n a
unahan	u n a h ʌ n
unauna	u n a u n a
usa	u s̪ a
utang	ʔ u t a ŋ
utin	u t̪ i n
venus	b iː n̪ ʊ s
visaya	b i s̺ a j a ʔ
wail	w a i l̪
walo	w ʌ l o
watsinanggo	w a t ʃ i n̪ a ŋ ɡ o
watsinanggo	w a t̪ s̪ i n̪ a ŋ ɡ o
winalo	w i n a l ʊ
yads	j a d ʒ
yads	j a d̪ s̪
