а	ɑ
авіаносець	ɐ ʋʲ i ɐ n ɔ s e t͡sʲ
авіаобприскування	ɐ ʋʲ i ɐ ɔ b p r ɪ s k ʊ ʋ ɐ nʲː ɐ
авіаобприскувач	ɐ ʋʲ i ɐ ɔ b p r ɪ s k ʊ ʋ ɐ t͡ʃ
авіаобробка	ɐ ʋʲ i ɐ ɔ b r ɔ b k ɐ
авіапарк	ɐ ʋʲ i ɐ p ɑ r k
авіапасажир	ɐ ʋʲ i ɐ p ɐ s ɐ ʒ ɪ r
авіапатруль	ɐ ʋʲ i ɐ p ɐ t r u lʲ
авіапатрулювання	ɐ ʋʲ i ɐ p ɐ t r ʊ lʲ ʊ ʋ ɑ nʲː ɐ
авіаперевезення	ɐ ʋʲ i ɐ p e r e ʋ ɛ z e nʲː ɐ
авіаперевізник	ɐ ʋʲ i ɐ p e r e ʋʲ i z n e k
авіапереліт	ɐ ʋʲ i ɐ p e r e lʲ i t
авіаподорож	ɐ ʋʲ i ɐ p ɔ d ɔ r ɔ ʒ
авіаполк	ɐ ʋʲ i ɐ p ɔ ɫ k
авіаполіт	ɐ ʋʲ i ɐ p o lʲ i t
авіапорт	ɐ ʋʲ i ɐ p ɔ r t
авіапошта	ɐ ʋʲ i ɐ p ɔ ʃ t ɐ
авіапромисловість	ɐ ʋʲ i ɐ p r ɔ m e s ɫ ɔ ʋʲ i sʲ tʲ
авіапідживлення	ɐ ʋʲ i ɐ pʲ i d͡ʒ ɪ u̯ ɫ e nʲː ɐ
авіапідприємство	ɐ ʋʲ i ɐ pʲ i d p r e j ɛ m s t w ɔ
авіаракетобудування	ɐ ʋʲ i ɐ r ɐ k e t ɔ b ʊ d ʊ ʋ ɑ nʲː ɐ
авіарейд	ɐ ʋʲ i ɐ r ɛ i̯ d
авіарейс	ɐ ʋʲ i ɐ r ɛ i̯ s
авіарозвідка	ɐ ʋʲ i ɐ r ɔ zʲ ʋʲ i d k ɐ
авіарозвідування	ɐ ʋʲ i ɐ r ɔ zʲ ʋʲ i d ʊ ʋ ɐ nʲː ɐ
авіасалон	ɐ ʋʲ i ɐ s ɐ ɫ ɔ n
авіасекстант	ɐ ʋʲ i ɐ s e k s t ɑ n t
авіасервіс	ɐ ʋʲ i ɐ s ɛ r ʋʲ i s
авіасполучення	ɐ ʋʲ i ɐ s p o ɫ u t͡ʃ e nʲː ɐ
авіаспорт	ɐ ʋʲ i ɐ s p ɔ r t
авіатехнік	ɐ ʋʲ i ɐ t ɛ x nʲ i k
авіатехніка	ɐ ʋʲ i ɐ t ɛ x nʲ i k ɐ
авіатика	ɐ ʋʲ i ɑ t e k ɐ
авіатор	ɐ ʋʲ i ɑ t ɔ r
авіаторпеда	ɐ ʋʲ i ɐ t ɔ r p ɛ d ɐ
авіатравма	ɐ ʋʲ i ɐ t r ɑ u̯ m ɐ
авіатранспорт	ɐ ʋʲ i ɐ t r ɑ n s p ɔ r t
авіатраса	ɐ ʋʲ i ɐ t r ɑ s ɐ
авіаудар	ɐ ʋʲ i ɐ ʊ d ɑ r
авіаучилище	ɐ ʋʲ i ɐ ʊ t͡ʃ ɪ ɫ e ʃ t͡ʃ e
авіафауна	ɐ ʋʲ i ɐ f ɑ ʊ n ɐ
авіафахівець	ɐ ʋʲ i ɐ f ɐ xʲ i ʋ ɛ t͡sʲ
авіахім	ɐ ʋʲ i ɐ xʲ i m
авіахімовець	ɐ ʋʲ i ɐ xʲ i m ɔ ʋ e t͡sʲ
авіаційник	ɐ ʋʲ i ɐ t͡sʲ i i̯ n e k
авіація	ɐ ʋʲ i ɑ t͡sʲ i j ɐ
авіачастина	ɐ ʋʲ i ɐ t͡ʃ ɐ s t ɪ n ɐ
авіашкола	ɐ ʋʲ i ɐ ʃ k ɔ ɫ ɐ
авіашоу	ɐ ʋʲ i ɐ ʃ ɔ ʊ
авіз	ɐ ʋʲ i z
авізо	ɐ ʋʲ i z ɔ
авізування	ɐ ʋʲ i z ʊ ʋ ɑ nʲː ɐ
авіста	ɐ ʋʲ i s t ɐ
авітаміноз	ɐ ʋʲ i t ɐ mʲ i n ɔ z
авіфауна	ɐ ʋʲ i f ɑ ʊ n ɐ
авієтка	ɐ ʋʲ i j ɛ t k ɐ
агава	ɐ ɦ ɑ ʋ ɐ
агнеса	ɐ ɦ n ɛ s ɐ
агресивний	ɐ ɦ r e s ɪ u̯ n e i̯
агресивність	ɐ ɦ r e s ɪ u̯ nʲ i sʲ tʲ
агресія	ɐ ɦ r ɛ sʲ i j ɐ
ад'ютант	ɐ d j ʊ t ɑ n t
адвокат	ɐ d w ɔ k ɑ t
аденозин	ɐ d e n ɔ z ɪ n
адміністративний	ɐ dʲ mʲ i nʲ i s t r ɐ t ɪ u̯ n e i̯
адміністратор	ɐ dʲ mʲ i nʲ i s t r ɑ t ɔ r
адміністрація	ɐ dʲ mʲ i nʲ i s t r ɑ t͡sʲ i j ɐ
адмініструвати	ɐ dʲ mʲ i nʲ i s t r ʊ ʋ ɑ t e
адріан	ɐ dʲ rʲ i ɑ n
аеродром	ɐ e r ɔ d r ɔ m
аероліт	ɐ e r o lʲ i t
аеропорт	ɐ e r ɔ p ɔ r t
аероскопія	ɐ e r ɔ s k o pʲ i j ɐ
аерофлот	ɐ e r ɔ f ɫ ɔ t
азбука	ɑ z b ʊ k ɐ
азербайджан	ɐ z e r b ɐ i̯ d͡ʒ ɑ n
азербайджанський	ɐ z e r b ɐ i̯ d͡ʒ ɑ nʲ sʲ k e i̯
азіатський	ɐ zʲ i ɑ t͡sʲ k e i̯
азія	ɑ zʲ i j ɐ
академічний	ɐ k ɐ d e mʲ i t͡ʃ n e i̯
академія	ɐ k ɐ d ɛ mʲ i j ɐ
акація	ɐ k ɑ t͡sʲ i j ɐ
акації	ɐ k ɑ t͡sʲ i j i
акваріум	ɐ k ʋ ɑ rʲ i ʊ m
акт	ɑ k t
активний	ɐ k t ɪ u̯ n e i̯
активність	ɐ k t ɪ u̯ nʲ i sʲ tʲ
активувати	ɐ k t e w ʊ ʋ ɑ t e
актор	ɐ k t ɔ r
акторка	ɐ k t ɔ r k ɐ
актриса	ɐ k t r ɪ s ɐ
акул	ɐ k u ɫ
акула	ɐ k u ɫ ɐ
акцентувати	ɐ k t͡s e n t ʊ ʋ ɑ t e
акція	ɑ k t͡sʲ i j ɐ
албанець	ɐ ɫ b ɑ n e t͡sʲ
албанка	ɐ ɫ b ɑ n k ɐ
албанський	ɐ ɫ b ɑ nʲ sʲ k e i̯
албанія	ɐ ɫ b ɑ nʲ i j ɐ
але	ɐ ɫ ɛ
алергія	ɐ ɫ e r ɦʲ i j ɐ
алжир	ɐ ɫ ʒ ɪ r
алжирський	ɐ ɫ ʒ ɪ r sʲ k e i̯
алкоголь	ɐ ɫ k ɔ ɦ ɔ lʲ
аллах	ɐ ɫ ɑ x
аллах	ɐ ɫː ɑ x
алло	ɐ ɫː ɔ
алфавіт	ɐ ɫ f ɐ ʋʲ i t
алфавіт	ɐ ɫ f ɑ ʋʲ i t
альбатрос	ɐ lʲ b ɐ t r ɔ s
альв	ɑ lʲ ʋ
альфабет	ɐ lʲ f ɐ b ɛ t
альянс	ɐ lʲ j ɑ n s
алюміній	ɐ lʲ ʊ mʲ i nʲ i i̯
алістер	ɑ lʲ i s t e r
аматор	ɐ m ɑ t ɔ r
америка	ɐ m ɛ r e k ɐ
американець	ɐ m e r e k ɑ n e t͡sʲ
американка	ɐ m e r e k ɑ n k ɐ
американський	ɐ m e r e k ɑ nʲ sʲ k e i̯
американізація	ɐ m e r e k ɐ nʲ i z ɑ t͡sʲ i j ɐ
американізм	ɐ m e r e k ɐ nʲ i z m
амніоти	ɐ m nʲ i ɔ t e
ампер	ɐ m p ɛ r
амстердам	ɐ m s t e r d ɑ m
амфібія	ɐ m fʲ i bʲ i j ɐ
аналіз	ɐ n ɑ lʲ i z
аналізувати	ɐ n ɐ lʲ i z ʊ ʋ ɑ t e
аналітик	ɐ n ɐ lʲ i t e k
аналітичний	ɐ n ɐ lʲ i t ɪ t͡ʃ n e i̯
анамнії	ɐ n ɑ m nʲ i j i
ананас	ɐ n ɐ n ɑ s
анастасія	ɐ n ɐ s t ɑ sʲ i j ɐ
анатолій	ɐ n ɐ t ɔ lʲ i i̯
ангеліна	ɐ n ɦ e lʲ i n ɐ
англійка	ɐ n ɦ lʲ i i̯ k ɐ
англійська	ɐ n ɦ lʲ i i̯ sʲ k ɐ
англійський	ɐ n ɦ lʲ i i̯ sʲ k e i̯
англіканство	ɐ n ɦ lʲ i k ɑ n s t w ɔ
англіцизм	ɐ n ɦ lʲ i t͡s ɪ z m
англія	ɑ n ɦ lʲ i j ɐ
англієць	ɐ n ɦ lʲ i j e t͡sʲ
ангольський	ɐ n ɦ ɔ lʲ sʲ k e i̯
андоррський	ɐ n d ɔ rː sʲ k e i̯
андріан	ɐ n dʲ rʲ i ɑ n
андрій	ɐ n dʲ rʲ i i̯
андріїв	ɐ n dʲ rʲ i j i u̯
анекдот	ɐ n e ɡ d ɔ t
анжеліка	ɐ n ʒ e lʲ i k ɐ
анна	ɑ nː ɐ
антарктичний	ɐ n t ɐ r k t ɪ t͡ʃ n e i̯
антиамериканський	ɑ n t e ɐ m e r e k ɑ nʲ sʲ k e i̯
антибіотик	ɐ n t e bʲ i ɔ t e k
антибіотика	ɐ n t e bʲ i ɔ t e k ɐ
антибіотикам	ɐ n t e bʲ i ɔ t e k ɐ m
антибіотиками	ɐ n t e bʲ i ɔ t e k ɐ m e
