অ	ɔ
আপেল	a p ɛ l
আপোন	a p ʊ n
আপোনাক	a p ʊ n a k
আপোনালোক	a p ʊ n a l ʊ k
আপোনাৰ	a p ʊ n a ɹ
আফচোচ	a p s ʊ s
আফচোচ	a pʰ s ʊ s
আফৰ	a pʰ ɒ ɹ
আবা	a b a
আবিয়ৈ	a b i ɔ ɪ
আবেলি	a b ɛ l i
আব্বা	a b b a
আবৰ	a b ɒ ɹ
আবৰা	a b ɒ ɹ a
আম	a m
আমঠি	a m ɒ tʰ i
আমঠু	a m ɒ tʰ u
আমাৰ	a m a ɹ
আমি	a m i
আমুউৱা	a m u u a
আমুৱা	a m u a
আম্মা	a m m a
আম্মী	a m m i
আল	a l
আলগ	a l ɒ ɡ
আলমাৰী	a l m a ɹ i
আলসুৱা	a l ɒ x u a
আলহী	a l ɔ ɦ i
আলি	a l i
আলু	a l u
আলুগুটি	a l u ɡ u t i
আশী	a x i
আহ	aʱ
আহা	a ɦ a
আহু	a ɦ u
আৰু	a ɹ u
আৰ্চি	a ɹ s i
আৰ্হি	a ɹ ɦ i
আৱাজ	a w a z
আৱাজ	a ʊ a z
ই	i
ই	iː
ইউজাৰ	i u z a ɹ
ইকৰা	i k ɒ ɹ a
ইগ্লো	i ɡ l ʊ
ইজ্জত	i d ʑ ɒ t
ইটানগৰ	i t a n ɒ ɡ ɒ ɹ
ইণ্ডোনেচিয়া	i n d ʊ n ɛ s i a
ইতৰ	i t ɒ ɹ
ইমান	i m a n
ইয়ংচাক	i j ɒ ŋ s a k
ইয়াত	i a t
ইলিছ	i l i s
ইলীহ	i l iʱ
ইলীহি	i l i ɦ i
ইষ্টেবুল	i s t ɛ b u l
ইস্কুল	i s k u l
ইস্ত্ৰি	i s t i
ইস্ত্ৰি	i s t ɹ i
ইস্পাত	i s p a t
ঈ	i
ঈহ	iʱ
উ	u
উঁই	ũ i
উঁইপোক	ũ i p ʊ k
উঁইপৰুৱা	ũ i p ɒ ɹ u a
উঁহ	uʱ
উকল	u k ɒ l
উকহ	u k ɒ ɦ
উকাহ	u k aʱ
উকিল	u k i l
উখৰা	u kʰ ɒ ɹ a
উখৰা	u x ɒ ɹ a
উগাৰ	u ɡ a ɹ
উঘলা	u ɡʱ ɒ l a
উঘাল	u ɡʱ a l
উঘালা	u ɡʱ a l a
উজনি	u z ɒ n i
উজলা	u z ɒ l a
উজান	u z a n
উট	u t
উঠোৱা	u tʰ ʊ a
উতনুৱা	u t ɒ n u a
উতল	u t ɒ l
উতলা	u t ɒ l a
উতলোৱা	u t ɒ l ʊ a
উদ	u d
উদ্যোগ	u d d ʊ ɡ
উদ্যোগ	u ɪ d d ʊ ɡ
উপত্যকা	u p ɒ i t t ɒ k a
উফি	u pʰ i
উভত	u bʱ ɒ t
উভাল	u bʱ a l
উম	u m
উমনি	u m ɒ n i
উমা	u m a
উলিওৱা	u l i ʊ a
উলিয়া	u l i a
উলূ	u l u
উলূম’ৰা	u l u m ɔ ɹ a
উশাহ	u x aʱ
উৰ	u ɹ
উৰহ	u ɹ ɔʱ
উৰহী	u ɹ ɒ ɦ i
ঊ	u
ঊনআশী	u n ɒ a x i
ঊনচল্লিছ	u n s ɒ l l i s
ঊননব্বৈ	u n ɒ n ɒ b b ɔ ɪ
ঊনপঞ্চাছ	u n ɒ p ɒ n s a s
ঊনষাঠি	u n ɒ x a tʰ i
ঊনসত্তৰ	u n ɒ x ɒ t t ɒ ɹ
ঊনৈছ	u n ɔ ɪ s
ঊন্ত্ৰিছ	u n t ɹ i s
ঋ	ɹ i
ঌ	l i
এ	ɛ
এংগাৰ	ɛ ŋ ɡ a ɹ
এই	ɛ i
এইটো	ɛ i t ʊ
এওঁ	ɛ ʊ̃
এওঁলোক	ɛ ʊ̃ l ʊ k
এওঁৰা	ɛ ʊ ɾ a
এক	ɛ k
একচল্লিছ	ɛ k s ɒ l l i s
একত্ৰিছ	ɛ k ɒ t ɹ i s
একনায়ক	ɛ k ɔ n a ɛ ɔ k
একাডেমি	ɛ k a d ɛ m i
একাধিপতি	ɛ k a dʱ i p ɒ t i
একান্নব্বৈ	ɛ k a n n ɒ b b ɔ ɪ
একাশী	ɛ k a x i
একাৱন	ɛ k a ɒ n
একে	ɛ k ɛ
একৈছ	ɛ k ɔ ɪ s
একো	ɛ k ʊ
এখেত	ɛ kʰ ɛ t
এঙাৰ	ɛ ŋ a ɹ
এঙ্গাৰ	ɛ ŋ ɡ a ɹ
এটা	ɛ t a
এটি	ɛ t i
এঠা	ɛ tʰ a
এণ্ড্ৰৈড	ɛ n d ɹ ɔ i d
এতিয়া	ɛ t i a
এনাই	ɛ n a ɪ
এনে	ɛ n ɛ
এনেকে	ɛ n ɛ k ɛ
এনেকৈ	ɛ n ɛ k ɔ ɪ
এন্দুৰ	ɛ n d u ɹ
এন্ধাৰ	ɛ n dʱ a ɹ
এপ	ɛ p
এপ্লিকেচন	ɛ p l i k ɛ s ɒ n
এলাহ	ɛ l aʱ
এলেহুৱা	ɛ l ɛ ɦ u a
এল্পেকা	ɛ l p ɛ k a
এশ	ɛ x ɒ
এষষ্ঠি	ɛ x ɒ s tʰ i
এসত্তৰ	ɛ x ɒ t t ɒ ɹ
এহাজাৰ	ɛ ɦ a z a ɹ
এহেজাৰ	ɛ ɦ ɛ z a ɹ
এৰা	ɛ ɹ a
এৰাখাতী	ɛ ɹ a kʰ a t i
এৰাল	ɛ ɹ a l
এৰোৱা	ɛ ɹ ʊ a
এ’	é
ঐ	ɔ ɪ
ঐতিহ্য	ɔ i t i d ʑ ɔ
ও	ʊ
ওঁ	o m
ওঁ	ʊ m
ওঁঠ	ʊ tʰ
ওঁঠ	ʊ̃ tʰ
ওকালতি	ʊ k a l ɒ t i
ওখ	ʊ kʰ ɒ
ওখল	ʊ kʰ ɒ l
ওখৰ	ʊ kʰ ɒ ɹ
ওচৰ	ʊ s ɒ ɹ
ওজন	ʊ z ɒ n
ওজা	ʊ z a
ওটা	ʊ t a
ওঠৰ	ʊ tʰ ɒ ɹ ɒ
ওপঙা	ʊ p ɒ ŋ a
ওপৰ	ʊ p ɒ ɹ
ওলগ	ʊ l ɒ ɡ
ওলটা	ʊ l ɒ t a
ওলটোৱা	ʊ l ɒ t ʊ a
ওলমা	ʊ l ɒ m a
ওলমোৱা	ʊ l ɒ m ʊ a
ওলা	ʊ l a
ওলোটা	ʊ l ʊ t a
ওলোটোৱা	ʊ l ʊ t ʊ a
ওলোমা	ʊ l ʊ m a
ওলোমোৱা	ʊ l ʊ m ʊ a
ওলোৱা	ʊ l ʊ a
ওস্তাদ	ʊ s t a d
ওৰ	ʊ ɹ
ওৰণি	ʊ ɹ ɒ n i
ওৰোণা	ʊ ɹ ʊ n a
ঔ	ɔ ʊ
ক	k ɔ
কঁকাল	k ɒ̃ k a l
কঁটা	k ɒ̃ t a
কঁঠাল	k ɒ̃ tʰ a l
কঁপা	k ɒ̃ p a
কঁহ	k ɒ̃ ɦ
কঁহকঁহীয়া	k ɒ̃ ɦ k ɒ̃ ɦ i a
কঁহকহীয়া	k ɒ̃ ɦ k ɒ̃ ɦ i a
কঁহাৰ	k ɒ̃ ɦ a ɹ
কঁহুৱা	k ɒ̃ ɦ u a
কংগ্ৰেছ	k ɔ ŋ ɡ ɛ s
কংগ্ৰেছ	k ɔ ŋ ɡ ɹ ɛ s
কইনা	k ɒ i n a
ককা	k ɒ k a
ককাই	k ɒ k a ɪ
কচা	k ɒ s a
কচু	k ɒ s u
কটা	k ɒ t a
কটোৱা	k ɒ t ʊ a
কঢ়া	k ɒ ɹʱ a
কঢ়িওৱা	k ɒ ɦ i ʊ a
কঢ়িওৱা	k ɒ ɹʱ i ʊ a
কণা	k ɒ n a
কণী	k ɒ n i
কথা	k ɒ tʰ a
কন্দা	k ɒ n d a
কন্দুৱা	k ɒ n d u a
কপাহ	k ɒ p aʱ
কপৌ	k ɒ p ɔ ʊ
কপৌফুল	k ɒ p ɔ ʊ pʰ u l
কম	k ɒ m
কমলা	k ɒ m l a
কমলা	k ɒ m ɒ l a
কমা	k ɒ m a
কমোৱা	k ɒ m ʊ a
কলডিল	k ɒ l d i l
কলম	k ɒ l ɒ m
কলহ	k ɒ l ɒ ɦ
কলাঘুমটীয়া	k ɒ l a ɡʱ u m ɒ t i a
কলামলা	k ɒ l a m ɒ l a
কলি	k ɒ l i
কলিজা	k ɒ l i z a
কহা	k ɒ ɦ a
কাঁইট	k ã i t
কাঁইটীয়া	k ã ɪ t i a
কাঁচকল	k ã s k ɒ l
কাঁচি	k ã s i
কাঁটা	k ã t a
কাঁটাচামুচ	k ã t a s a m u s
কাঁড়	k ã ɹ
কাঁহ	k ã ɦ
কাঁহী	k ã ɦ i
কাংকাৰা	k a ŋ k a ɹ a
কাউৰী	k a u ɹ i
কাকত	k a k ɒ t
কাকতি	k a k ɒ t i
কাগজ	k a ɡ ɒ z
কাছ	k a s ɒ
কাছু	k a s u
কাজ	k a z
কাজিয়া	k a z i a
কাট	k a t
কাটা	k a t a
কাঠ	k a tʰ
কাঠফুলা	k a tʰ pʰ u l a
কাঠৰোকা	k a tʰ ɹ ʊ k a
কাঢ়া	k a ɹ a
কাঢ়া	k a ɹʱ a
কাণ	k a n
কানাই	k a n a ɪ
কানি	k a n i
কানিয়া	k a n i a
কানীয়া	k a n i a
কানু	k a n u
কান্দ	k a n
কান্দ	k a n d
কান্দা	k a n d a
কান্ধ	k a n dʱ
কান্ধ	k a nʱ
কাপোৰ	k a p ʊ ɹ
কামি	k a m i
কামিহাড়	k a m i ɦ a ɹ
কামোৰ	k a m ʊ ɹ
কামোৰা	k a m ʊ ɹ a
কায়ম	k a é ɒ m
কাষ্টাৰ	k a s t a ɹ
কাহ	k aʱ
কাহা	k a ɦ a
কাৰখানা	k a ɹ kʰ a n a
কাৰখানা	k a ɹ x a n a
কি	k i
কিচমিচ	k i s m i s
কিছু	k i s u
কিছুমান	k i s u m a n
কিতাপ	k i t a p
কিন	k i n
কিনা	k i n a
কিন্তু	k i n t u
কিবা	k i b a
কিমান	k i m a n
কিয়	k i ɔ
কিলাকুটি	k i l a k u t i
কিলিপ	k i l i p
কিষ্ট	k i s t ɒ
কুঁজ	k ũ z
কুঁজা	k ũ z a
কুঁহিয়াৰ	k ũ ɦ i a ɹ
কুকুহা	k u k u ɦ a
কুকুৰ	k u k u ɹ
কুকুৰা	k u k u ɹ a
কুটা	k u t a
কুটুম	k u t u m
কুঠাৰ	k u tʰ a ɹ
কুপতি	k u p t i
কুপতি	k u p ɔ t i
কুমজেলুকা	k u m z ɛ l u k a
কুমজেলেকুৱা	k u m z ɛ l ɛ k u a
কুমটি	k u m ɒ t i
কুলা	k u l a
কুহুম	k u ɦ u m
কুহুমকাঁটা	k u ɦ u m k ã t a
কুহুমবুলীয়া	k u ɦ u m b u l i a
কুহুমসাৰ	k u ɦ u m x a ɹ
কুৰুই	k u ɹ u i
কুৰুৱা	k u ɹ u a
কৃষ্ণ	k ɹ i s n ɒ
কেঁকো	k ẽ k ʊ
কেঁকোসাপ	k ẽ k ʊ x a p
কেঁকোৰা	k ẽ k ʊ ɹ a
কেঁচি	k ɛ̃ s i
কেঁচুৱা	k ẽ s u a
কেঁথা	k ẽ tʰ a
কেঁহা	k ẽ ɦ a
কেও	k ɛ ʊ
কেকোসাপ	k ɛ k ʊ x a p
কেছাল’	k ɛ s a l ɔ
কেতিয়া	k ɛ t i a
কেতিয়াবা	k ɛ t i a b a
কেনে	k ɛ n ɛ
কেনেকুৱা	k ɛ n ɛ k u a
কেনেকে	k ɛ n ɛ k ɛ
কেনেকৈ	k ɛ n ɛ k ɔ ɪ
কেনেবাকৈ	k ɛ n ɛ b a k ɔ ɪ
কেন্দ্ৰ	k ɛ n d ɹ ɔ
কেপিৱাৰা	k ɛ p i w a ɹ a
কেমটাই	k ɛ m ɒ t a ɪ
কেলেই	k ɛ l e
কেলেই	k ɛ l e ɪ
কেৰাচিন	k ɛ ɹ a s i n
কেৰাহী	k ɛ ɹ a ɦ i
কেৰেলুৱা	k ɛ ɹ ɛ l u a
কেৰ্কেটুৱা	k ɛ ɹ k ɛ t u a
কে’ক	k e k
কোওৱা	k ʊ ʊ a
কোকলোঙা	k ʊ k l ʊ ŋ a
কোকলোঙা	k ʊ k ɒ l ʊ ŋ a
কোটি	k ʊ t i
কোদাল	k ʊ d a l
কোদালি	k ʊ d a l i
কোদো	k ʊ d ʊ
কোন	k ʊ n
কোনোবা	k ʊ n ʊ b a
কোব	k ʊ b
কোবোৱা	k ʊ b ʊ a
কোলা	k ʊ l a
কোৰ	k ʊ ɹ
কোৱা	k ʊ a
ক্ষ	kʱ j ɔ
কৰ	k ɒ ɹ
কৰা	k ɒ ɹ a
কৰোৱা	k ɒ ɹ ʊ a
ক‌’লা	k o l a
ক‌’লা	k ɔ l a
ক‌’লা	k ʊ l a
ক’ত	k ɔ t
ক’ৰবাত	k ó ɹ b a t
ক’ৰবালৈ	k ó ɹ b a l ɒ i
খ	kʱ ɔ
খং	kʰ ɒ ŋ
খং	x ɒ ŋ
খচকা	kʰ ɒ s ɒ k a
খচৰা	kʰ ɒ s ɒ ɹ a
খচৰা	x ɒ s ɒ ɹ a
খজুউৱা	kʰ ɒ z u a
খজুউৱা	kʰ ɒ z uː a
খজুউৱা	x ɒ z u a
খজুউৱা	x ɒ z uː a
খজুটি	kʰ ɒ z u t i
খজুটি	x ɒ z u t i
খজুলি	kʰ ɒ z u l i
খজুলি	x ɒ z u l i
খজুৱতি	kʰ ɒ z u ɒ t i
খজুৱতি	x ɒ z u ɒ t i
খটা	kʰ ɒ t a
খন্তি	kʰ ɒ n t i
খন্তি	x ɒ n t i
খন্দা	kʰ ɒ n d a
খহা	kʰ ɒ ɦ a
খা	kʰ a
খা	x a
খাঁটি	kʰ ã t i
খাজুৰ	kʰ a z u ɹ
খাজুৰ	x a z u ɹ
খাট	kʰ a t
খাটা	kʰ a t a
খানচামা	kʰ a n s a m a
খান্দা	kʰ a n d a
খাল	kʰ a l
খাৰু	kʰ a ɹ u
খিৰিকী	kʰ i ɹ i k i
খিৰিকী	x i ɹ i k i
খিৰোৱা	kʰ i ɹ ʊ a
খিৰোৱা	x i ɹ ʊ a
খীৰ	kʰ i ɹ
খীৰ	x i ɹ
খীৰোৱা	kʰ i ɹ ʊ a
খীৰোৱা	x i ɹ ʊ a
খুঁটি	kʰ ũ t i
খুঁটিয়া	kʰ ũ t i a
খুউৱা	kʰ u u a
খুটা	kʰ u t a
খুটি	kʰ u t i
খুড়া	kʰ u ɹ a
খুড়ী	kʰ u ɹ i
খুন্দ	kʰ u n
খুন্দ	kʰ u n d
খুন্দ	x u n
খুন্দ	x u n d
খুন্দনা	kʰ u n d ɒ n a
খুন্দনা	x u n d ɒ n a
খুন্দনি	kʰ u n d ɒ n i
খুন্দনি	x u n d ɒ n i
খুন্দা	kʰ u n d a
খুন্দা	x u n d a
খুন্দিওৱা	kʰ u n d i ʊ a
খুন্দিয়াখুন্দি	kʰ u n d i a kʰ u n d i
খুন্দোৱা	kʰ u n d ʊ a
খুন্দোৱা	x u n d ʊ a
খুল	kʰ u l
খুৰ	kʰ u ɹ
খুৰ	x u ɹ
খুৰা	kʰ u ɹ a
খুৰা	x u ɹ a
খুৰী	kʰ u ɹ i
খুৰুৱা	kʰ u ɹ u a
খুৰুৱা	x u ɹ u a
খুৰোৱা	kʰ u ɹ ʊ a
খুৰোৱা	x u ɹ ʊ a
খুৱা	kʰ u a
খুৱা	x u a
খেজুৰ	kʰ ɛ z u ɹ
খেজুৰ	x ɛ z u ɹ
খেতি	kʰ e t i
খেতি	x e t i
খেতিয়ক	kʰ e t i ɒ k
খেতিয়ক	x e t i ɒ k
খেদা	kʰ ɛ d a
খেপিওৱা	kʰ ɛ p i ʊ a
খেপিওৱা	x ɛ p i ʊ a
খেলাবস্তু	kʰ ɛ l a b ɒ s t u
খেলিমেলি	kʰ ɛ l i m ɛ l i
খেলুৱৈ	kʰ ɛ l u ɔ ɪ
খেৰ	kʰ ɛ ɹ
খোঁচা	kʰ ʊ̃ s a
খোঁচৰা	kʰ ʊ̃ s ɒ ɹ a
খোওৱা	kʰ ʊ ʊ a
খোজ	kʰ ʊ z
খোজ	x ʊ z
খোজা	kʰ ʊ z a
খোলা	kʰ ʊ l a
খোৱা	kʰ ʊ a
খোৱা	x ʊ a
খোৱাবস্তু	kʰ ʊ a b ɒ s t u
খৰ	kʰ ɒ ɹ
খৰচ	kʰ ɒ ɹ ɒ s
খৰচ	x ɒ ɹ ɒ s
খৰচী	kʰ ɒ ɹ ɒ s i
খৰচী	x ɒ ɹ ɒ s i
খৰম	kʰ ɒ ɹ ɒ m
খৰম	x ɒ ɹ ɒ m
খৰাং	kʰ ɒ ɹ a ŋ
খৰালি	kʰ ɒ ɹ a l i
খৰি	kʰ ɒ ɹ i
খৰিকটীয়া	kʰ ɒ ɹ i k ɒ t i a
গ	ɡ ɔ
গঁড়	ɡ ɒ̃ ɹ
গঁৰাল	ɡ ɒ̃ ɹ a l
গংগাটোপ	ɡ ɒ ŋ ɡ a t ʊ p
গঙা	ɡ ɒ ŋ a
গঙাটোপ	ɡ ɒ ŋ a t ʊ p
গঙ্গাটোপ	ɡ ɒ ŋ ɡ a t ʊ p
গচকা	ɡ ɒ s ɒ k a
গছ	ɡ ɒ s
গজা	ɡ ɒ z a
গজালি	ɡ ɒ z a l i
গঢ়া	ɡ ɒ ɹʱ a
গণা	ɡ ɒ n a
গতোৱা	ɡ ɒ t ʊ a
গধুৰ	ɡ ɒ dʱ u ɹ
গধূলা	ɡ ɒ dʱ u l a
গধূলি	ɡ ɒ dʱ u l i
গন্ধবিৰিণা	ɡ ɒ n dʱ ɒ b i ɹ i n a
গম	ɡ ɒ m
গমা	ɡ ɒ m a
গলা	ɡ ɒ l a
গলোৱা	ɡ ɒ l ʊ a
গহনা	ɡ ɒ ɦ ɒ n a
গা	ɡ aː
গাঁউ	ɡ ã u
গাঁও	ɡ ã ʊ
গাঁঠি	ɡ ã tʰ i
গাঁত	ɡ ã t
গাং	ɡ a ŋ
গাই	ɡ a ɪ
গাউ	ɡ a u
গাখীৰ	ɡ a kʰ i ɹ
গাখীৰ	ɡ a x i ɹ
গাখীৰজাত	ɡ a kʰ i ɹ z a t
গাখীৰদাঁত	ɡ a kʰ i ɹ d ã t
গাগিনী	ɡ a ɡ i n i
গাধ	ɡ a dʱ ɒ
গান্ধবিৰিণা	ɡ a n dʱ ɒ b i ɹ i n a
গাভিনী	ɡ a bʱ i n i
গাভৰু	ɡ a bʱ ɒ ɹ u
গামোচা	ɡ a m ʊ s a
গাল	ɡ a l
গাহৰি	ɡ aʱ ɔ ɹ i
গাৰু	ɡ a ɹ u
গাৱাল	ɡ a w a l
গিলা	ɡ i l a
গিৰি	ɡ i ɹ i
গু	ɡ u
গু	ɡ uː
গুঁই	ɡ ũ i
গুচা	ɡ u s a
গুচোৱা	ɡ u s ʊ a
গুটি	ɡ u t i
গুড়া	ɡ u ɹ a
গুড়ি	ɡ u ɹ i
গুদাম	ɡ u d a m
গুবৰুৱা	ɡ u b ɒ ɹ u a
গুলপীয়া	ɡ u l ɒ p i a
গুলীয়াগুলী	ɡ u l i a ɡ u l i
গুহা	ɡ u ɦ a
গুৰা	ɡ u ɹ a
গুৰি	ɡ u ɹ i
গুৰিওৱা	ɡ u ɹ i ʊ a
গুৰুবাৰ	ɡ u ɹ u b a ɹ
গুৰুমুখীয়া	ɡ u ɹ u m u kʰ i a
গুৱাহাটী	ɡ u a ɦ a t i
গেছ	ɡ ɛ s
গেছীয়	ɡ ɛ s i ɒ
গেছীয়া	ɡ ɛ s i a
গেলা	ɡ ɛ l a
গেলোৱা	ɡ ɛ l ʊ a
গেৰেজ	ɡ ɛ ɹ ɛ z
গেৰোৱা	ɡ ɛ ɹ u a
গোছ	ɡ ʊ s
গোট	ɡ ʊ t
গোটা	ɡ ʊ t a
গোটেই	ɡ ʊ t e
গোটেই	ɡ ʊ t ɛ ɪ
গোটোৱা	ɡ ʊ t ʊ a
গোবৰ	ɡ ʊ b ɒ ɹ
গোমধান	ɡ ʊ m dʱ a n
গোল	ɡ ʊ l
গোলা	ɡ ʊ l a
গোৰ	ɡ ʊ ɹ
গোৱা	ɡ ʊ a
গৰম	ɡ ɔ ɹ ɔ m
গৰাকী	ɡ ɒ ɹ a k i
গৰাহ	ɡ ɒ ɹ aʱ
গৰীয়া	ɡ ɒ ɹ i a
গৰু	ɡ o ɾ u
গৰু	ɡ ɒ ɹ u
ঘ	ɡʱ ɔ
ঘঁহনি	ɡʱ ɒ̃ ɦ ɒ n i
ঘঁহা	ɡʱ ɒ̃ ɦ a
ঘটা	ɡʱ ɒ t a
ঘড়ী	ɡʱ ɒ ɹ i
ঘমা	ɡʱ ɒ m a
ঘা	ɡʱ a
ঘা	ɡʱ ã
ঘাঁহ	ɡʱ ãʱ
ঘাঁহনি	ɡʱ ã ɦ ɒ n i
ঘাউ	ɡʱ a u
ঘাম	ɡʱ a m
ঘামা	ɡʱ a m a
ঘাৰ	ɡʱ a ɹ
ঘিঁউ	ɡʱ i u
ঘিণ	ɡʱ i n
ঘেঁহু	ɡʱ ẽ ɦ u
ঘৈণী	ɡʱ ɔ ɪ n i
ঘোৰঘোৰা	ɡʱ ʊ ɹ ɡʱ ʊ ɹ a
ঘৰ	ɡʱ ɔ ɹ
ঘৰা	ɡʱ ɒ ɹ a
ঙ	ŋ ɔ
চ	s ɔ
চকা	s ɒ k a
চকী	s ɔ k i
চকু	s ɔ k u
চকুপানী	s ɒ k u p a n i
চকুলো	s ɒ k u l ʊ
চক্লেট	s ɒ k l ɛ t
চকৰ	s ɒ k ɒ ɹ
চকৰা	s ɒ k ɒ ɹ a
চকৰি	s ɒ k ɒ ɹ i
চকৰিফেঁটী	s ɒ k ɒ ɹ i pʰ ẽ t i
চকৰী	s ɒ k ɒ ɹ i
চন	s ɒ n
চন্দুক	s ɒ n d u k
চন্দ্ৰ	s ɒ n d ɒ
চন্দ্ৰ	s ɒ n d ɹ ɒ
চবতকে	s ɒ b ɒ t k ɛ
চমু	s ɒ m u
চমুউৱা	s ɒ m u u a
চমুকে	s ɒ m u k ɛ
চমুকৈ	s ɒ m u k ɔ ɪ
চমুটোকা	s ɒ m u t ʊ k a
চলা	s ɒ l a
চলোৱা	s ɒ l ʊ a
চল্লিছ	s ɒ l l i s
চহী	s ɒ ɦ i
চা	s a
চাঁদ	s ã d
চাংমাই	s a ŋ m a ɪ
চাইগা	s a ɪ ɡ a
চাক	s a k
চাকা	s a k a
চাজ	s a z
চাদৰ	s a d ɒ ɹ
চান	s a n
চান্দ	s a n
চান্দ	s a n d
চাপৰ	s a p ɒ ɹ
চাবন	s a b ɒ n
চাবাইচ	s a b a ɪ s
চাবাচ	s a b a s
চাবি	s a b i
চাবোন	s a b ʊ n
চাম	s a m
চায়না	s a é n a
চালগোম	s a l ɡ ʊ m
চালনি	s a l ɒ n i
চালা	s a l a
চাহ	s aʱ
চাহ	s aː
চাহী	s a ɦ i
চাৰি	s a ɹ i
