reconstruction:gothic/𐌲𐌿𐍄𐌰	ɡ u t a
𐌰𐍆𐍈𐌰𐍀𐌽𐌰𐌽	a f ʍ a p n a n
𐌱𐌰𐌹𐍂𐌰𐌽	b ɛ r a n
𐌱𐌰𐌹𐍂𐌲𐌰𐌷𐌴𐌹	b ɛ r ɡ a h iː
𐌱𐌰𐌹𐍂𐌲𐌰𐌽	b ɛ r ɡ a n
𐌱𐌰𐌹𐍂𐌷𐍄𐍃	b ɛ r x t s
𐌱𐌰𐌻𐌸𐌴𐌹	b a l θ iː
𐌱𐌰𐌻𐌸𐌴𐌹𐌸	b a l θ iː θ
𐌱𐌰𐌻𐌸𐌴𐌹𐌽	b a l θ iː n
𐌱𐌰𐌻𐌸𐌴𐌹𐌽𐍃	b a l θ iː n s
𐌱𐌰𐌻𐌸𐌾𐌰𐌽	b a l θ j a n
𐌱𐌰𐌽𐌳𐍅𐌹𐌳𐌿𐌷	b a n d w i d u h
𐌱𐌰𐌿𐌰	b ɔː a
𐌱𐌰𐌿𐌰𐌹	b ɔː ɛː
𐌱𐌰𐌿𐌰𐌹𐌳𐌰	b ɔː i d a
𐌱𐌰𐌿𐌰𐌹𐌼𐌰	b ɔː ɛː m a
𐌱𐌰𐌿𐌰𐌽	b ɔː a n
𐌱𐌰𐌿𐌰𐌽𐌳𐌴𐌹	b ɔː a n d iː
𐌱𐌰𐌿𐌰𐌽𐌳𐍃	b ɔː a n d s
𐌱𐌰𐌿𐌸𐍃	b ɔː θ s
𐌱𐌰𐌿𐌹𐌸	b ɔː i θ
𐌱𐌰𐌿𐍂𐌸𐌴𐌹	b ɔ r θ iː
𐌱𐌰𐌿𐍂𐌸𐌴𐌹𐌽	b ɔ r θ iː n
𐌱𐌰𐍂𐌹𐌶𐌴𐌹𐌽𐌰𐌼	b a r i z iː n a m
𐌱𐌰𐍂𐌹𐌶𐌴𐌹𐌽𐌰𐌽𐍃	b a r i z iː n a n s
𐌱𐌰𐍂𐌹𐌶𐌴𐌹𐌽𐍃	b a r i z iː n s
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌰𐌹	b a r n i s k ɛː
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌴𐌹	b a r n i s k iː
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌴𐌹𐌽𐍃	b a r n i s k iː n s
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌹	b a r n i s k i
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌾𐌰	b a r n i s k j a
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐍃	b a r n i s k s
𐌱𐌴𐌹𐌳𐌰𐌽	b iː ð a n
𐌱𐌴𐌹𐍄𐌰𐌽	b iː t a n
𐌱𐌴𐍂𐌿𐍃𐌾𐍉𐍃	b eː r u s j oː s
𐌱𐌹𐌰𐌱𐍂𐌹𐌳𐌴𐌳𐌿𐌽	b i a b r i d eː d u n
𐌱𐌹𐌰𐌱𐍂𐌾𐌰𐌽	b i a b r j a n
𐌱𐌹𐌰𐌿𐌺	b i ɔː k
𐌱𐌹𐌰𐌿𐌺𐌰𐌳𐌰	b i ɔː k a d a
𐌱𐌹𐌰𐌿𐌺𐌰𐌽	b i ɔː k a n
𐌱𐌹𐌰𐌿𐌺𐌰𐌽𐌳𐍃	b i ɔː k a n d s
𐌱𐌹𐌲𐌰𐌹𐍂𐌳𐌰𐌽	b i ɡ ɛ r d a n
𐌱𐌹𐌲𐌰𐌿𐍂𐌳𐌰𐌽𐍃	b i ɡ ɔ r d a n s
𐌱𐌹𐌳𐌾𐌰𐌹𐌸	b i d j ɛː θ
𐌱𐌹𐌳𐌾𐌰𐌽𐌳𐌰𐌽𐍃𐌿𐌸	b i d j a n d a n s u θ
𐌱𐌹𐌳𐍉𐌼𐌾𐌰𐌹	b i d oː m j ɛː
𐌱𐌹𐌳𐍉𐌼𐌾𐌰𐌽	b i d oː m j a n
𐌱𐌹𐌵𐌹𐌼𐌰𐌽	b i kʷ i m a n
𐌱𐌹𐌵𐌹𐌼𐌹𐌸	b i kʷ i m i θ
𐌱𐌹𐌸𐌴	b i θ eː
𐌱𐌹𐌸𐌴𐌷	b i θ eː x
𐌱𐌹𐌸𐍅𐌰𐌷𐌰𐌽	b i θ w a h a n
𐌱𐌹𐌸𐍅𐌰𐌷𐌰𐌽𐌳𐍃	b i θ w a h a n d s
𐌱𐌹𐌺𐌿𐌺𐌾𐌰𐌽	b i k u k j a n
𐌱𐌹𐌻𐌰𐌹𐍆	b i l ɛː f
𐌱𐌹𐌻𐌴𐌹𐌱𐌰𐌽	b i l iː β a n
𐌱𐌹𐌿𐌷𐍄𐌹	b i uː x t i
𐌱𐌹𐌿𐌷𐍄𐌾𐌰	b i uː x t j a
𐌱𐌹𐌿𐌷𐍄𐍃	b i uː x t s
𐌱𐌹𐍂𐌴𐌹𐌺𐌴𐌹	b i r iː k iː
𐌱𐌹𐍂𐌴𐌹𐌺𐌴𐌹𐌼	b i r iː k iː m
𐌱𐌹𐍂𐌴𐌹𐌺𐌴𐌹𐍃	b i r iː k iː s
𐌱𐌹𐍂𐌴𐌹𐌺𐌾𐌰𐌹	b i r iː k j ɛː
𐌱𐌹𐍂𐌹𐌽𐌽𐌰𐌽	b i r i n n a n
𐌱𐌹𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	b i r i n n a n d a n s
𐌱𐌹𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	b i r i n n a n d s
𐌱𐌹𐍂𐌿𐌽𐌰𐌹𐌽	b i r uː n ɛː n
𐌱𐌹𐍂𐌿𐌽𐌰𐌹𐌽𐍃	b i r uː n ɛː n s
𐌱𐌹𐍂𐌿𐌽𐌽𐌿𐌽	b i r u n n u n
𐌱𐌹𐍂𐍉𐌳𐌴𐌹𐌸	b i r oː d iː θ
𐌱𐌹𐍂𐍉𐌳𐌹𐌳𐌴𐌳𐌿𐌽	b i r oː d i d eː d u n
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽	b i r oː d j a n
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽𐌳𐌴𐌹𐌽	b i r oː d j a n d iː n
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽𐌳𐍃	b i r oː d j a n d s
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌳𐌰	b i s ɔː l i d a
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌳𐌰𐌹𐌼	b i s ɔː l i d ɛː m
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌸𐍃	b i s ɔː l i θ s
𐌱𐌹𐍃𐌰𐌿𐌻𐌽𐌰𐌽	b i s ɔː l n a n
𐌱𐌹𐍃𐌰𐌿𐌻𐌽𐍉𐌳𐌴𐌳𐌴𐌹𐌽𐌰	b i s ɔː l n oː d eː d iː n a
𐌱𐌹𐍃𐌰𐌿𐌻𐌾𐌰𐌽	b i s ɔː l j a n
𐌱𐌹𐍃𐌰𐍄𐌹𐌳𐌰	b i s a t i d a
𐌱𐌹𐍃𐌰𐍄𐌾𐌰𐌽	b i s a t j a n
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽	b i s k a b a n
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽𐍃	b i s k a b a n s
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽𐍉𐌽	b i s k a b a n oː n
𐌱𐌹𐍃𐌺𐌰𐌹𐌽	b i s k ɛː n
𐌱𐌹𐍃𐌺𐌴𐌹𐌽𐌰𐌽	b i s k iː n a n
𐌱𐌹𐍃𐌼𐌰𐌹𐍄	b i s m ɛː t
𐌱𐌹𐍃𐌼𐌴𐌹𐍄𐌰𐌽	b i s m iː t a n
𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌼	b i s n i w a m
𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽	b i s n i w a n
𐌱𐌹𐍃𐌿𐌽𐌾𐌰𐌽𐌴	b i s u n j a n eː
𐌱𐌹𐍃𐍀𐌴𐌹𐍅𐌰𐌳𐌰	b i s p iː w a d a
𐌱𐌹𐍃𐍀𐌴𐌹𐍅𐌰𐌽	b i s p iː w a n
𐌱𐌹𐍃𐍀𐌹𐍅𐌿𐌽	b i s p i w u n
𐌱𐌹𐍃𐍅𐌰𐌹𐍂𐌱𐌰𐌽	b i s w ɛ r b a n
𐌱𐌹𐍃𐍅𐌰𐍂𐌰	b i s w a r a
𐌱𐌹𐍃𐍅𐌰𐍂𐌰𐌽	b i s w a r a n
𐌱𐌹𐍃𐍅𐌰𐍂𐌱	b i s w a r f
𐌱𐌹𐍅𐌰𐌹𐌱𐌹𐌳𐌰𐌽𐌰	b i w ɛː b i d a n a
𐌱𐌹𐍅𐌰𐌹𐌱𐌹𐌸𐍃	b i w ɛː b i θ s
𐌱𐌹𐍅𐌰𐌹𐌱𐌾𐌰𐌽	b i w ɛː b j a n
𐌱𐌹𐍅𐌰𐌹𐌱𐌾𐌰𐌽𐌳	b i w ɛː b j a n d
𐌱𐌹𐍅𐌰𐌽𐌳	b i w a n d
𐌱𐌹𐍅𐌰𐌽𐌳𐌴𐌹	b i w a n d iː
𐌱𐌹𐍅𐌰𐌽𐌳𐌾𐌰𐌽	b i w a n d j a n
𐌱𐌹𐍅𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐌰𐌽𐍃	b i w a n d j a n d a n s
𐌱𐌹𐍅𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐍃	b i w a n d j a n d s
𐌱𐌹𐍅𐌴𐍃𐌾𐌰𐌿	b i w eː s j ɔː
𐌱𐌹𐍅𐌹𐌽𐌳𐌰𐌽	b i w i n d a n
𐌱𐌹𐍅𐌹𐍃𐌰𐌽	b i w i s a n
𐌱𐌹𐍅𐌿𐌽𐌳𐌰𐌽	b i w u n d a n
𐌱𐌹𐍅𐌿𐌽𐌳𐌰𐌽𐍃	b i w u n d a n s
𐌱𐌹𐍈𐌰𐌹𐍂𐌱𐌰𐌽	b i ʍ ɛ r b a n
𐌱𐌹𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳	b i ʍ ɛ r b a n d
𐌱𐌹𐍈𐌴	b i ʍ eː
𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽	b l ɔː θ j a n
𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽𐌳𐌰𐌽𐍃	b l ɔː θ j a n d a n s
𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽𐌳𐍃	b l ɔː θ j a n d s
𐌱𐌻𐌴𐌹𐌸𐌴𐌹	b l iː θ iː
𐌱𐌻𐌴𐌹𐌸𐌴𐌹𐌽𐍃	b l iː θ iː n s
𐌱𐌻𐌴𐌹𐌸𐌴𐌹𐌽𐍉	b l iː θ iː n oː
𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽𐌳𐌰𐌽𐍃	b l iː θ j a n d a n s
𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽𐌳𐍃	b l iː θ j a n d s
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽	b l i ɡ ɡ w a n
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳	b l i ɡ ɡ w a n d
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐌰𐌼	b l i ɡ ɡ w a n d s
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐌰𐌽𐍃	b l i ɡ ɡ w a n d a n s
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐍃	b l i ɡ ɡ w a n d s
𐌱𐌻𐌹𐌽𐌳𐌰𐌽𐌰	b l i n d a n a
𐌱𐌽𐌰𐌿𐌰𐌽	b n ɔː a n
𐌱𐌽𐌰𐌿𐌰𐌽𐌳𐌰𐌽𐍃	b n ɔː a n d a n s
𐌱𐌽𐌰𐌿𐌰𐌽𐌳𐍃	b n ɔː a n d s
𐌱𐌿𐌲𐌾𐌰𐌽	b u ɣ j a n
𐌱𐍂𐌹𐌺𐌰𐌽	b r i k a n
𐌱𐍂𐌹𐌽𐌽𐌰𐌽	b r i nː a n
𐌱𐍂𐌿𐌺𐌾𐌰𐌽	b r uː k j a n
𐌱𐍂𐌿𐌺𐍃	b r uː k s
𐌱𐍂𐍉𐌸𐍂𐌰𐌷𐌰𐌽𐍃	b r oː θ r a h a n s
𐌱𐍅𐍃𐍃𐌰𐌿𐌽	b y s s ɔ n
𐌱𐍉𐍄𐌴𐌹𐌸	b oː t iː θ
𐌱𐍉𐍄𐌹𐌳𐌰	b oː t i d a
𐌱𐍉𐍄𐌾𐌰𐌽	b oː t j a n
𐌲𐌰𐌰𐌲𐌲𐍅𐌴𐌹	ɡ a a ŋ ɡ w iː
𐌲𐌰𐌰𐌲𐌲𐍅𐌴𐌹𐌽	ɡ a a ŋ ɡ w iː n
𐌲𐌰𐌰𐌲𐌲𐍅𐌹𐌳𐌰𐌹	ɡ a a ŋ ɡ w i d ɛː
𐌲𐌰𐌰𐌲𐌲𐍅𐌹𐌸𐍃	ɡ a a ŋ ɡ w i θ s
𐌲𐌰𐌰𐌲𐌲𐍅𐌾𐌰𐌽	ɡ a a ŋ ɡ w j a n
𐌲𐌰𐌰𐌹𐌽𐌰𐌹𐌳𐌰𐌹	ɡ a ɛː n ɛː d ɛː
𐌲𐌰𐌰𐌹𐌽𐌰𐌹𐌸𐍃	ɡ a ɛː n ɛː θ s
𐌲𐌰𐌰𐌹𐌽𐌰𐌽	ɡ a ɛː n aː n
𐌲𐌰𐌰𐌹𐍃𐍄𐌰𐌽	ɡ a ɛː s t aː n
𐌲𐌰𐌰𐌹𐍃𐍄𐌰𐌽𐌳	ɡ a ɛː s t aː n d
𐌲𐌰𐌰𐌿𐌺𐌰𐌹𐌸	ɡ a ɔː k ɛː θ
𐌲𐌰𐌰𐌿𐌺𐌰𐌽	ɡ a ɔː k a n
𐌲𐌰𐌰𐍂𐌱𐌾𐌰	ɡ a a r b j a
𐌲𐌰𐌰𐍂𐌱𐌾𐌰𐌽𐍃	ɡ a a r b j a n s
𐌲𐌰𐌱𐌰𐌹𐌳𐌹𐌳𐌴𐌳𐌿𐌸	ɡ a b ɛː d i d eː d u θ
𐌲𐌰𐌱𐌰𐌹𐌳𐌾𐌰𐌽	ɡ a b ɛː d j a n
𐌲𐌰𐌱𐌰𐌹𐍂𐌲𐌰𐌳𐌰	ɡ a b ɛ r ɡ a d a
𐌲𐌰𐌱𐌰𐌹𐍂𐌲𐌰𐌽	ɡ a b ɛ r ɡ a n
𐌲𐌰𐌱𐌰𐌹𐍂𐌷𐍄𐌴𐌹𐌸	ɡ a b ɛ r h t iː θ
𐌲𐌰𐌱𐌰𐌽𐌳𐍅𐌹𐌳𐌴𐌳𐌿𐌽	ɡ a b a n d w i d eː d u n
𐌲𐌰𐌱𐌰𐌽𐌳𐍅𐌾𐌰𐌽	ɡ a b a n d w j a n
𐌲𐌰𐌱𐌰𐌽𐌳𐍅𐌾𐌰𐌽𐌳𐍃	ɡ a b a n d w j a n d s
𐌲𐌰𐌱𐌰𐌽𐌳𐍅𐌾𐌰𐌽𐌳𐍉𐌽𐌰	ɡ a b a n d w j a n d oː n a
𐌲𐌰𐌱𐌰𐌿𐌰𐌽	ɡ a b ɔː a n
𐌲𐌰𐌱𐌰𐌿𐍂	ɡ a b ɔ r
𐌲𐌰𐌱𐌰𐌿𐍂𐌰𐌼	ɡ a b ɔ r a m
𐌲𐌰𐌱𐌰𐌿𐍂𐌰𐌽	ɡ a b ɔ r a n
𐌲𐌰𐌱𐌰𐌿𐍂𐌰𐌽𐍃	ɡ a b ɔ r a n s
𐌲𐌰𐌱𐌰𐌿𐍂𐌲𐌾𐌰	ɡ a b ɔ r ɡ j a
𐌲𐌰𐌱𐌰𐌿𐍂𐌲𐌾𐌰𐌽𐍃	ɡ a b ɔ r ɡ j a n s
𐌲𐌰𐌱𐌰𐌿𐍂𐌾𐌰𐌱𐌰	ɡ a b ɔ r j a b a
𐌲𐌰𐌱𐌰𐌿𐍂𐍉𐍃	ɡ a b ɔ r oː s
𐌲𐌰𐌱𐌴𐌹𐌳𐌰𐌽	ɡ a b iː d a n
𐌲𐌰𐌱𐌴𐌹𐌳𐌹𐌸	ɡ a b iː d i θ
𐌲𐌰𐌱𐌴𐌹𐍃𐍄𐌴𐌹𐌸	ɡ a b iː s t iː θ
𐌲𐌰𐌱𐌴𐌹𐍃𐍄𐌾𐌰𐌽	ɡ a b iː s t j a n
𐌲𐌰𐌱𐌹𐌲𐌰𐌱𐌰	ɡ a b i ɡ a
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽	ɡ a b i ɡ n a n
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽𐌳𐌰𐌽𐍃	ɡ a b i ɡ n a n d a n s
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽𐌳𐍃	ɡ a b i ɡ n a n d s
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽	ɡ a b i ɡ j a n
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽𐌳𐌰𐌽𐍃	ɡ a b i ɡ j a n d a n s
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽𐌳𐍃	ɡ a b i ɡ j a n d s
𐌲𐌰𐌱𐌹𐌲𐍃	ɣ a β i x s
𐌲𐌰𐌱𐌹𐌳𐌾𐌰𐌹𐌸	ɡ a b i d j ɛː θ
𐌲𐌰𐌱𐌹𐌳𐌾𐌰𐌽	ɡ a b i d j a n
𐌲𐌰𐌱𐌹𐌿𐌲𐌰𐌽	ɡ a b i u̯ ɡ a n
𐌲𐌰𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽	ɡ a b l ɔː θ j a n
𐌲𐌰𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽𐌳𐍃	ɡ a b l ɔː θ j a n d s
𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌾𐌰	ɡ a b l iː θ j a
𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽	ɡ a b l iː θ j a n
𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽𐌳𐍃	ɡ a b l iː θ j a n d s
𐌲𐌰𐌱𐌻𐌹𐌽𐌳𐌹𐌳𐌰	ɡ a b l i n d i d a
𐌲𐌰𐌱𐌻𐌹𐌽𐌳𐌾𐌰𐌽	ɡ a b l i n d j a n
𐌲𐌰𐌱𐌿𐌲𐌰𐌽𐌰𐌹𐌼	ɡ a b u ɡ a n ɛː m
𐌲𐌰𐌱𐌿𐌲𐌰𐌽𐍃	ɡ a b u ɡ a n s
𐌲𐌰𐌱𐌿𐌽𐌳𐌿𐌽	ɡ a b u n d u n
𐌲𐌰𐌱𐍂𐌰𐌺	ɡ a b r a k
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌹𐌳𐌰𐌹	ɡ a b r a n n i d ɛː
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌹𐌳𐌰𐌹𐌶𐍉𐍃	ɡ a b r a n n i d ɛː z oː s
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌹𐌸𐍃	ɡ a b r a n n i θ s
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌹𐌳𐌰𐌿	ɡ a b r a n n j ɛː d ɔː
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌽	ɡ a b r a n n j a n
𐌲𐌰𐌱𐍂𐌹𐌺𐌰𐌽	ɡ a b r i k a n
𐌲𐌰𐌱𐍂𐌹𐌺𐌰𐌽𐌳𐍃	ɡ a b r i k a n d s
𐌲𐌰𐌱𐍂𐌿𐌺𐌰𐌽𐍃	ɡ a b r u k a n s
𐌲𐌰𐌱𐍂𐌿𐌺𐌰𐌽𐍉	ɡ a b r u k a n oː
𐌲𐌰𐌱𐍉𐍄𐌴𐌹𐌸	ɡ a b oː t iː θ
𐌲𐌰𐌱𐍉𐍄𐌾𐌰𐌽	ɡ a b oː t j a n
