a	aː
behaapten	b ə h aː p t ə n
behuelen	b ə h u ə̯ l ə n
behälter	b ə h æ l t ɐ
bei	b ɑ ɪ
bei	b ɑ ɪ̯
beicht	b ɑ ɪ̯ ɕ t
beichtstull	b ɑ ɪ̯ ɕ t ʃ t u l
beidel	b ɑ ɪ̯ d ə l
beim	b ɑ ɪ̯ m
beispill	b ɑ ɪ̯ ʃ p i l
bekassinn	b e k ɑ s i n
beleedegen	b ə l eː d ə ʑ ə n
beleeën	b ə l eː ə n
beleidegen	b ə l ɑ ɪ̯ d ə ʑ ə n
belsch	b æ l t ʃ
belschen	b æ l ʃ ə n
beléift	b ə l ɜ ɪ̯ f t
bemierken	b ə m i ə̯ k ə n
bemierkung	b ə m i ə̯ k u ŋ
beobachten	b ə oː b ɑ χ t ə n
bereien	b ə ʀ ɑ ɪ̯ ə n
beriichten	b ə ʀ iː ɕ t ə n
beruff	b ə ʀ u f
beréieren	b ə ʀ ɜ ɪ̯ ə ʀ ə n
beréierung	b ə ʀ ɜ ɪ̯ ə ʀ u ŋ
beschléissen	b ə ʃ l ɜ ɪ̯ s ə n
beschreiwen	b ə ʃ ʀ ɑ ɪ̯ v ə n
beschränken	b ə ʃ ʀ æ ŋ k ə n
beschwéiert	b ə ʃ w ɜ ɪ̯ ɐ t
besetzen	b ə z æ t s ə n
besonnesch	b ə z o n ə ʃ
bespriechen	b ə ʃ p ʀ i ə̯ ɕ ə n
besserung	b æ s ə ʀ u ŋ
bestanddeel	b ə ʃ t ɑ n d d eː l
bestellen	b ə ʃ t æ l ə n
bestiits	b ə ʃ t iː t s
bestit	b ə ʃ t iː t
bestrofen	b ə ʃ t ʀ oː f ə n
bestueden	b ə ʃ t u ə̯ d ə n
bestuet	b ə ʃ t u ə̯ t
besuch	b ə z u χ
betounen	b ə t ə ʊ̯ n ə n
bettseechesch	b æ d z eː ɕ ə ʃ
beuechten	b ə u ə̯ ɕ t ə n
bevëlkerung	b ə f ə l k ə ʀ u ŋ
bewonnerung	b ə v o n ə ʀ u ŋ
bewäis	b ə v æˑ ɪ̯ s
bezeechnen	b ə t͡s eː ɕ n ə n
bezeechnung	b ə t͡s eː ɕ n u ŋ
bezeien	b ə t͡s ɑ ɪ̯ ə n
bezuch	b ə t͡s u χ
bezuelen	b ə t͡s u ə̯ l ə n
bezweiwelen	b ə t͡s w ɑ ɪ̯ v ə l ə n
bibel	b iː b ə l
biber	b iː b ɐ
bich	b i ɕ
bichelchen	b i ɕ ə l ɕ ə n
bicherbuttek	b i ɕ ɐ b u t e k
bicherwuerm	b i ɕ ɐ v u ə̯ m
bidden	b i d ə n
bidet	b i d eː
bieden	b i ə̯ d ə n
bier	b i ə̯
bier	b iː ɐ
bierg	b i ə̯ ɕ
biergen	b i ə̯ ʑ ə n
bierger	b i ə̯ ʑ ɐ
biergof	b i ə̯ ʑ oː f
biergop	b i ə̯ ʑ o p
bierk	b i ə̯ k
biesem	b i ə̯ z ə m
biewen	b i ə̯ v ə n
bifdeck	b i v d æ k
bigel	b i ʑ ə l
biichten	b iː ɕ t ə n
bijoutier	b i ʒ u t j eː
bilden	b i l d ə n
bildschierm	b i l t͡ʃ i ə̯ m
billard	b i l j aː χ
billen	b i l ə n
bindestréch	b i n d ə ʃ t ʀ ə ɕ
biologie	b i o l o ʒ iː
bir	b i ə̯
bir	b iː ɐ
bitzen	b i t s ə n
biz	b iː t͡s
blann	b l ɑ n
blatlaus	b l aː d l æˑ ʊ̯ s
blatz	b l ɑ t͡s
blatzeg	b l ɑ t͡s ə ɕ
bleech	b l eː ɕ
bleechen	b l eː ɕ ə n
bleiwen	b l ɑ ɪ̯ v ə n
blennen	b l æ n ə n
blessur	b l æ s y ə̯
blessur	b l æ s yː ɐ
blesséieren	b l æ s ɜ ɪ̯ ə ʀ ə n
blietchen	b l i ə̯ t ɕ ə n
blo	b l oː
blobrëschtchen	b l oː b ʁ ə ʃ t ɕ ə n
bloder	b l oː d ɐ
blosen	b l oː z ə n
blouss	b l ə ʊ̯ s
bludden	b l u d ə n
bluttdrock	b l u d d ʀ o k
bluttjonk	b l u d j o ŋ k
bluttrout	b l u d ʀ ə ʊ̯ t
bläi	b l æˑ ɪ̯
bläien	b l æˑ ɪ̯ ə n
bläistëft	b l æˑ ɪ̯ ʃ t ə f t
bléck	b l e k
bléi	b l ɜ ɪ̯
bléien	b l ɜ ɪ̯ ə n
bléis	b l ɜ ɪ̯ s
bléist	b l ɜ ɪ̯ s t
bléit	b l ɜ ɪ̯ t
blénken	b l e ŋ k ə n
blëtz	b l ə t͡s
blëtzen	b l ə t͡s ə n
boma	b oː m aː
bommel	b o m ə l
bord	b oː ɐ
botanesch	b o t aː n ə ʃ
bottel	b o t ə l
botter	b o t ɐ
bottermëllech	b o t ɐ m ə l ə ɕ
botzen	b o t͡s ə n
bou	b ə ʊ̯
bouf	b ə ʊ̯ f
bouillon	b u j õː
boun	b ə ʊ̯ n
bouneschlupp	b ə ʊ̯ n ə ʃ l u p
bouss	b ə ʊ̯ s
brach	b ʀ ɑ χ
braconnéieren	b ʀ ɑ k o n ɜ ɪ̯ ə ʀ ə n
brand	b ʀ ɑ n t
branntewäin	b ʀ ɑ n t ə v æˑ ɪ̯ n
brauchen	b ʀ æˑ ʊ̯ χ ə n
brauen	b ʀ ɑ ʊ̯ ə n
braut	b ʀ æˑ ʊ̯ t
brautrank	b ʀ æˑ ʊ̯ d ʀ ɑ ŋ k
bremsspur	b ʀ æ m p s ʃ p uː ɐ
brennen	b ʀ æ n ə n
brennes	b ʀ æ n ə s
bretzel	b ʀ æ t͡s ə l
bretzen	b ʀ æ t͡s ə n
bridder	b ʀ i d ɐ
briech	b ʀ i ə̯ ɕ
briecheisen	b ʀ i ə̯ ʑ ɑ ɪ̯ z ə n
briechen	b ʀ i ə̯ ɕ ə n
briecht	b ʀ i ə̯ ɕ t
briet	b ʀ i ə̯ t
brigang	b ʀ i ɡ ɑ ŋ
brittesch	b ʀ i t ə ʃ
broden	b ʀ oː d ə n
brodéieren	b ʀ o d ɜ ɪ̯ ə ʀ ə n
brongbrëschtchen	b ʀ o ŋ b ʀ ə ʃ t ɕ ə n
bronkeg	b ʀ o ŋ k ə ɕ
brout	b ʀ ə ʊ̯ t
brudder	b ʀ u d ɐ
bräi	b ʀ æˑ ɪ̯
bräit	b ʀ æˑ ɪ̯ t
bréch	b ʀ ə ɕ
bréchs	b ʀ ə ɕ s
brécht	b ʀ ə ɕ t
bréck	b ʀ e k
bréien	b ʀ ɜ ɪ̯ ə n
bréif	b ʀ ɜ ɪ̯ f
bréifkëscht	b ʀ ɜ ɪ̯ f k ə ʃ t
bréissel	b ʀ ɜ ɪ̯ s ə l
bréit	b ʀ ɜ ɪ̯ t
bréits	b ʀ ɜ ɪ̯ t͡s
bréngen	b ʀ e ŋ ə n
brëll	b ʀ ə l
brëllen	b ʀ ə l ə n
brëtsch	b ʀ ə t͡ʃ
buchen	b u χ ə n
buddelen	b u d ə l ə n
buedduch	b u ə̯ d d u χ
buedem	b u ə̯ d ə m
bueden	b u ə̯ d ə n
buedzëmmer	b u ə̯ t t͡s ə m ɐ
buer	b u ə̯
buer	b uː ɐ
bueren	b u ə̯ ʀ ə n
buerg	b u ə̯ ɕ
buet	b u ə̯ t
bugger	b u ɡ ɐ
busgare	b u z ɡ aː χ
buttek	b u t e k
bäcker	b æ k ɐ
bäckeschdosen	b æ k ə ʒ d oː z ə n
bäikommen	b æˑ ɪ̯ k o m ə n
bäileed	b æˑ ɪ̯ l eː t
bäileeën	b æˑ ɪ̯ l eː ə n
bäisetzen	b æˑ ɪ̯ z æ t͡s ə n
bäiss	b æˑ ɪ̯ s
bäissen	b æˑ ɪ̯ s ə n
bäisst	b æˑ ɪ̯ s t
béchs	b e k s
bécken	b e k ə n
béi	b ɜ ɪ̯
béid	b ɜ ɪ̯ t
béiden	b ɜ ɪ̯ d ə n
béien	b ɜ ɪ̯ ə n
béier	b ɜ ɪ̯ ɐ
béifchen	b ɜ ɪ̯ f ɕ ə n
béis	b ɜ ɪ̯ s
béissen	b ɜ ɪ̯ s ə n
bëbee	b ə b e
bëlleg	b ə l ə ɕ
bënns	b ə n t s
bënnt	b ə n t
bësch	b ə ʃ
bëschof	b ə ʃ oː f
bëselen	b ə z ə l ə n
bëss	b ə s
bëtong	b ə t o ŋ
cabillaud	k ɑ b i j oː
cale	k ɑ l
capabel	k ɑ p aː b ə l
capot	k ɑ p oː
catchen	k ɑ t͡ʃ ə n
chamber	ʃ ɑ̃ː b ɐ
champignon	ʃ ɑ̃ː p i n j õː
chancëgläichheet	ʃ ɑ̃ː s ə ɡ l æˑ ɪ̯ ɕ h eː t
changéieren	ʃ ɑ̃ ʒ ɜ ɪ̯ ə ʀ ə n
chantage	ʃ ɑ̃ː t aː ʃ
charakter	k ɑ ʀ ɑ k t ɐ
chauffer	ʃ oː f ɐ
chauffersflucht	ʃ oː f ɐ s f l u χ t
chauffeur	ʃ oː f øː ɐ
chaufféieren	ʃ o f ɛ ɪ̯ ə ʀ ə n
chimie	ʃ i m iː
choufleur	ʃ uː f l øː ɐ
chrëscht	k ʀ ə ʃ t
chrëschtbeemchen	k ʀ ə ʃ t b eː m ɕ ə n
chrëschtdag	k ʀ ə ʒ d aː χ
chrëschtentum	k ʀ ə ʃ t ə n t uː m
chrëschtlech	k ʀ ə ʃ t l ə ɕ
collaboratioun	k o l ɑ b o ʀ ɑ t s j ə ʊ̯ n
comptoir	k õː t w aː χ
computer	k o m p j uː t ɐ
confirméieren	k o n f i ʁ m ɜ ɪ̯ ə ʀ ə n
constitutioun	k o n s t i t u t s j ə ʊ̯ n
couragéiert	k u ʁ aː ʒ ɜ ɪ̯ ɐ t
cricket	k ʀ i k ə t
da	d aː
daachdecker	d aː ʁ d æ k ɐ
daachen	d aː χ ə n
daachliicht	d aː ʁ l iː ɕ t
dach	d ɑ χ
dachs	d ɑ k s
dacks	d ɑ k s
daimchen	d ɑ ɪ̯ m ɕ ə n
dall	d ɑ l
damm	d ɑ m
damp	d ɑ m p
dangen	d ɑ ŋ ə n
danken	d ɑ ŋ k ə n
dann	d ɑ n
danz	d ɑ n t s
danzen	d ɑ n t s ə n
daper	d aː p ɐ
dapp	d ɑ p
dar	d aː χ
dass	d ɑ s
dat	d ɑ t
datt	d ɑ t
dattel	d ɑ t ə l
datz	d ɑ t s
dauchen	d æˑ ʊ̯ χ ə n
dauer	d ɑ ʊ̯ ɐ
daueren	d ɑ ʊ̯ ə ʀ ə n
dauf	d ɑ ʊ̯ f
daum	d ɑ ʊ̯ m
dausend	d ɑ ʊ̯ z ə n t
de	d ə
dech	d ə ɕ
deckel	d æ k ə l
deckelsmouk	d æ k ə l d z m ə ʊ̯ k
decken	d æ k ə n
deefen	d eː f ə n
deeg	d eː ɕ
deeglech	d eː ʑ l ə ɕ
deelen	d eː l ə n
deemno	d eː m n oː
deemools	d eː m oː l t s
degustéieren	d eː ɡ y s t ɜ ɪ̯ ə ʀ ə n
dehnen	d eː n ə n
deier	d ɑ ɪ̯ ɐ
deiten	d ɑ ɪ t ə n
dem	d ə m
den	d ə n
deng	d e ŋ
dengem	d e ŋ ə m
dengen	d e ŋ ə n
denger	d e ŋ ɐ
denken	d æ ŋ k ə n
der	d ɐ
derhanner	d ɐ h ɑ n ɐ
dezember	d ə t͡s æ m b ɐ
diamant	d i ɑ m ɑ n t
dicht	d i ɕ t
dichteg	d i ɕ t ə ɕ
dichter	d i ɕ t ɐ
dictionnaire	d i k s j o n ɛ ə̯
diddeleng	d i d ə l e ŋ
dier	d i ə̯
dier	d iː ɐ
digel	d i ʑ ə l
dikrech	d i k ʀ ə ɕ
diktéieren	d i k t ɜ ɪ̯ ə ʀ ə n
dillen	d i l ə n
dimmer	d i m ɐ
dir	d i ə̯
dir	d iː ɐ
diskutéieren	d i s k u t ɜ ɪ̯ ə ʀ ə n
ditzen	d i t͡s ə n
do	d oː
dobannen	d o b ɑ n ə n
dobaussen	d o b æˑ ʊ̯ s ə n
dobäi	d o b æˑ ɪ̯
doduerch	d o d u ə̯ ɕ
doen	d oː ə n
dofir	d o f i ə̯
dofir	d o f iː ɐ
doften	d o f t ə n
dogéint	d o ɡ ɜ ɪ̯ n t
dohannen	d o h ɑ n ə n
dohanner	d o h ɑ n ɐ
dohinner	d o h i n ɐ
dokter	d o k t ɐ
doléiner	d oː l ɜ ɪ̯ n ɐ
domat	d oː m ɑ t
donkel	d o ŋ k ə l
donkelheet	d o ŋ k ə l h eː t
donner	d o n ɐ
donneren	d o n ə ʀ ə n
donneschdeg	d o n ə ʒ d ə ɕ
dono	d o n oː
donst	d o n t s t
doran	d o ʀ ɑ n
doran	d oː ʀ ɑ n
doraus	d o ʀ æˑ ʊ̯ s
doraus	d oː ʀ æˑ ʊ̯ s
doriwwer	d o ʀ i v ɐ
doriwwer	d oː ʀ i v ɐ
dorun	d o ʀ u n
dosen	d oː z ə n
dossier	d o s j e
doud	d ə ʊ̯ t
doudesaffer	d ə ʊ̯ d ə z ɑ f ɐ
doudewon	d ə ʊ̯ d ə v oː n
doum	d ə ʊ̯ m
dout	d ə ʊ̯ t
doutmaachen	d ə ʊ̯ d m aː χ ə n
dovunner	d o f u n ɐ
dovunner	d oː f u n ɐ
dozou	d o t͡s ə ʊ̯
dozou	d oː t͡s ə ʊ̯
draleeën	d ʀ ɑ l eː ə n
dran	d ʀ ɑ n
drauf	d ʀ ɑ ʊ̯ f
drauwejus	d ʀ ɑ ʊ̯ v ə ʒ yː
dreemen	d ʀ eː m ə n
dreeën	d ʀ eː ə n
dreif	d ʀ ɑ ɪ̯ f
dreifs	d ʀ ɑ ɪ̯ f s
dreift	d ʀ ɑ ɪ̯ f t
dreiwen	d ʀ ɑ ɪ̯ v ə n
dreschen	d ʀ æ ʃ ə n
driwwer	d ʀ i v ɐ
dro	d ʀ oː
droen	d ʀ oː ə n
droit	d ʀ w aː
droleg	d ʀ oː l ə ɕ
dräi	d ʀ æˑ ɪ̯
dräifach	d ʀ æˑ ɪ̯ f ɑ χ
dräikinneksdag	d ʀ æˑ ɪ̯ k i n e ɡ z d aː χ
dräimol	d ʀ æˑ ɪ̯ m oː l
dräisprong	d ʀ æˑ ɪ̯ ʃ p ʀ o ŋ
dräizéng	d ʀ æˑ ɪ̯ t͡s e ŋ
dräizéngt	d ʀ æˑ ɪ̯ t͡s e ŋ k t
drängen	d ʀ æ ŋ ə n
dränken	d ʀ æ ŋ k ə n
dréchen	d ʀ ə ɕ ə n
dréchent	d ʀ e ɕ ə n t
dréchnen	d ʀ ə ɕ n ə n
drécken	d ʀ e k ə n
drécker	d ʀ e k ɐ
dréi	d ʀ ɜ ɪ̯
dréibänk	d ʀ ɜ ɪ̯ b æ ŋ k
dréien	d ʀ ɜ ɪ̯ ə n
dréinen	d ʀ ɜ ɪ̯ n ə n
dréis	d ʀ ɜ ɪ̯ s
dréischel	d ʀ ɜ ɪ̯ ʃ ə l
dréit	d ʀ ɜ ɪ̯ t
dréiwen	d ʀ ɜ ɪ̯ v ə n
dréngen	d ʀ e ŋ ə n
drénk	d ʀ e ŋ k
drénken	d ʀ e ŋ k ə n
drénks	d ʀ e ŋ k s
drénkt	d ʀ e ŋ k t
drënner	d ʀ ə n ɐ
drëps	d ʀ ə p s
drësseg	d ʀ ə s ə ɕ
drëtt	d ʀ ə t
du	d uː
ducken	d u k ə n
duddelsak	d u d ə l z aː k
duebel	d u ə̯ b ə l
duechter	d u ə̯ ɕ t ɐ
dueder	d u ə̯ d ɐ
duer	d u ə̯
duer	d uː ɐ
duerch	d u ə̯ ɕ
duercherneen	d u ə̯ ɕ ɐ n eː n
duerchsetzen	d u ə̯ ʑ z æ t͡s ə n
duerf	d u ə̯ f
duerleeën	d u ə̯ l eː ə n
duerleeën	d uː ɐ l eː ə n
duerno	d u ə̯ n oː
dugend	d uː ʁ ə n t
duschen	d u ʃ ə n
däerfen	d ɛ ə̯ f ə n
däich	d æˑ ɪ̯ ɕ
däin	d æˑ ɪ̯ n
däischtert	d æˑ ɪ̯ ʃ t ɐ t
däitlech	d æˑ ɪ̯ d l ə ɕ
däitsch	d æˑ ɪ̯ t͡ʃ
däitschland	d æˑ ɪ̯ t͡ʃ l ɑ n t
däitschsproocheg	d æˑ ɪ̯ t ʃ p ʀ oː χ ə ɕ
däiwel	d æˑ ɪ̯ v ə l
dämpen	d æ m p ə n
dänemark	d ɛː n ə m ɑ χ k
dännemees	d æ n ə m eː s
där	d ɛ ə̯
däreldéier	d ɛː ʀ ə l d ɜ ɪ̯ ɐ
déck	d e k
déckt	d e k t
déi	d i
déi	d ɜ ɪ̯
déier	d ɜ ɪ̯ ɐ
déif	d ɜ ɪ̯ f
déifferdeng	d ɜ ɪ̯ f ɐ d e ŋ
déijéineg	d ɜ ɪ̯ ʒ ɜ ɪ̯ n ə ɕ
déngen	d e ŋ ə n
dénger	d e ŋ ɐ
déngscht	d e ŋ k ʃ t
dëll	d ə l
dëllen	d ə l ə n
dëmpen	d ə m p ə n
dënn	d ə n
dënschdeg	d ə n ʒ d ə ɕ
dëppen	d ə p ə n
dës	d ə s
dësch	d ə ʃ
dëschelduch	d ə ʃ ə l d u χ
dëschtel	d ə ʃ t ə l
dëschtennis	d ə ʃ t æ n i s
dësem	d ə z ə m
dësen	d ə z ə n
dëser	d ə z ɐ
dëst	d ə s t
dösen	d øː z ə n
ech	ə ɕ
eckzant	æ k t͡s ɑ n t
educatioun	eː d y k ɑ t s j ə ʊ̯ n
ee	eː
eech	eː ɕ
eechel	eː ɕ ə l
eechen	eː ɕ ə n
eedem	eː d ə m
eegen	eː ʑ ə n
eegennumm	eː ʑ ə n u m
eegentlech	eː ʑ ə n d l ə ɕ
eegiel	eː ɡ i ə̯ l
eekelen	eː k ə l ə n
eelef	eː l ə f
eeleft	eː l ə f t
eemer	eː m ɐ
eenegen	eː n ə ʑ ə n
eenhar	eː n h aː χ
eenzel	eː n t s ə l
eesäiteg	eː z æˑ ɪ̯ t ə ɕ
eeter	eː t ɐ
eeteren	eː t ə ʀ ə n
eewäiss	eː v æˑ ɪ̯ s
eeër	eː ɐ
eeërschuel	eː ɐ ʃ u ə̯ l
eeërstack	eː ɐ ʃ t ɑ k
effikass	æ f i k ɑ s
eidechs	ɑ ɪ̯ d æ k s
eidel	ɑ ɪ̯ d ə l
eil	ɑ ɪ̯ l
eis	ɑ ɪ̯ s
eisebunn	ɑ ɪ z ə b u n
eisekuch	ɑ ɪ̯ z ə k u χ
eisen	ɑ ɪ̯ z ə n
eist	ɑ ɪ̯ s t
elaboratioun	eː l ɑ b o ʀ ɑ t s j ə ʊ̯ n
elch	æ l ɕ
elefant	ə l ə f ɑ n t
eleng	ə l æ ŋ
elfebeen	æ l f ə b eː n
ellen	æ l ə n
elo	ə l oː
els	æ l t s
elteren	æ l t ə ʀ ə n
elterenhaus	æ l t ə ʀ ə n h æˑ ʊ̯ s
em	ə m
email	eː m ɑ ɪ̯
email	ə m ɑ ɪ̯
emissioun	ə m i s j ə ʊ̯ n
en	ə n
