.f	ʔ ɛ f
dšrt	tʼ a ʃ ɾ a ʔ
dšrt	tʼ a ʃ ɾ ə
dḥr	d ɛ ħ ɛ r
dꜣ	d ɑ
dꜣb	d ɑ b
dꜣdꜣ	d ɑ d ɑ
dꜣr	d ɑ r
dꜣt	d ɑ t
fdq	f ɛ d ɛ k
fgn	f ɛ ɡ ɛ n
fk	f ɛ k
fn	f ɛ n
fnḏ	f ɛ n ɛ d͡ʒ
fnḫw	f ɛ n ɛ x uː
fnṯ	f e n t
fnṯ	f i n c u w
fnṯ	f i n t a ʔ
fnṯ	f i n t u w
fnṯ	f ɛ n ɛ t͡ʃ
ftft	f ɛ t f ɛ t
fḫ	f ɛ x
fḫt	f ɛ x ɛ t
fꜣj	f ɑ i
gbb	kʼ eː β
gbb	kʼ uː b a b
gbb	ɡ ɛ b ɛ b
gbtjw	ɡ ɛ b t i uː
gbꜣ	ɡ ɛ b ɑ
gm	ɡ ɛ m
gmgm	kʼ a m kʼ a m
gmgm	kʼ a m kʼ ə m
gmgm	ɡ ɛ m ɡ ɛ m
gmj	kʼ iː m i t
gmj	kʼ iː m i ʔ
gmj	kʼ iː m ə
gmj	ɡ ɛ m i
gmt	ɡ ɛ m ɛ t
gmḥ	ɡ ɛ m ɛ ħ
gmḥt	ɡ ɛ m ħ ɛ t
gnn	ɡ ɛ n ɛ n
gnẖ	ɡ ɛ n ɛ ç
gp	kʼ aː p
gp	kʼ eː p
gp	kʼ oː p
gp	kʼ uː p a w
gp	ɡ ɛ p
gr	kʼ aː ɾ
gr	kʼ aː ʔ
gr	kʼ oː ʔ
gr	ɡ ɛ r
grg	kʼ a l kʼ
grg	kʼ a l kʼ u w
grg	kʼ a l kʼ ə ʔ
grg	ɡ ɛ r ɛ ɡ
grgt	kʼ a ɾ uː kʼ V t
grgt	kʼ a ɾ uː kʼ V ʔ
grgt	kʼ ə ɾ eː kʼ ə
grgt	kʼ ə ɾ uː kʼ a ʔ
grgt	ɡ ɛ r ɡ ɛ t
grt	ɡ ɛ r ɛ t
grw	ɡ ɛ r uː
grḥ	kʼ aː ɾ a ħ
grḥ	kʼ oː ɾ ə ħ
grḥ	ɡ ɛ r ɛ ħ
gs	ɡ ɛ s
gstj	kʼ a s t
gstj	kʼ a s t V j
gstj	ɡ ɛ s t i
gsꜣ	ɡ ɛ s ɑ
gwš	ɡ uː ʃ
gḥs	kʼ a ħ a s
gḥs	kʼ ə ħ a s
gḥs	ɡ ɛ ħ ɛ s
gꜣbt	kʼ a ʀ b a t
gꜣbt	kʼ a ʀ b a ʔ
gꜣbt	kʼ oː β ə
gꜣbt	ɡ ɑ b ɛ t
gꜣw	ɡ ɑ uː
gꜣš	kʼ e ʃ
gꜣš	ɡ ɑ ʃ
h	h ɛ
hb	h ɛ b
hbhb	h ɛ b h ɛ b
hbj	h i b j a w
hbj	h i j b a w
hbj	h iː b ə ʔ
hbj	h iː p
hbj	h ɛ b i
hbnj	h ɛ b n i
hh	h ɛ h
hj	h e j
hj	h i
hj	h i j
hkr	h ɛ k ɛ r
hmhmt	h ɛ m h ɛ m ɛ t
hmy	h ɛ m iː
hn	h ɛ n
hndwꜣy	h ɛ n d uː ɑ iː
hnn	h ɛ n ɛ n
hnw	h iː n
hnw	h iː n a w
hnw	h iː n ə ʔ
hnw	h ɛ n uː
hp	h ɛ p
hp	ħ e p
hp	ħ i p
hrm	h ɛ r ɛ m
hrw	h a ɾ u w w a w
hrw	h a ɾ w u w
hrw	h a ʔ w
hrw	h a ʔ w u w
hrw	h a ʔ w ə ʔ
hrw	h ə ɾ u w w ə ʔ
hrw	h ə ɾ ø w w
hrw	h ɛ r uː
hy	h iː
hꜣ	h ɑ
hꜣb	h ɑ b
hꜣj	h e ʔ j a ʔ
hꜣj	h e ʔ j ə
hꜣj	h i ʀ j i t
hꜣj	h i ʀ j i ʔ
hꜣj	h ɑ i
hꜣkr	h ɑ k ɛ r
hꜣw	h ɑ uː
j	i
j.	i
jb	i b
jb	j i b
jb	ʔ e p
jbhyt	i b h iː t
jbj	i b i
jbj	j iː b i t
jbj	j iː b i ʔ
jbj	ʔ iː β ə
jbr	i b ɛ r
jbt	i b ɛ t
jbt	j iː b a t
jbt	j iː b a ʔ
jbt	ʔ iː β ə
jbḥ	i b ɛ ħ
jbṯt	i b t͡ʃ ɛ t
jbꜣ	i b ɑ
jd	i d
jdb	i d ɛ b
jdbwj	i d ɛ b uː i
jdj	i d i
jdmj	i d m i
jdmj	j V tʼ uː m V j
jdmj	ʔ ə tʼ eː m
jdr	i d ɛ r
jdt	i d ɛ t
jdt	j aː tʼ a t
jdt	j aː tʼ a ʔ
jdt	ʔ oː tʼ ə
jdw	i d uː
jdwmꜥ	i d uː m ɑː
jdyt	i d iː t
jdḥw	i d ħ uː
jf	i f
jfd	i f ɛ d
jfdnw	i f ɛ d n uː
jfdw	i f ɛ d uː
jfdw	j a f tʼ a w
jfdw	ʔ ə f tʼ a w
jgrt	i ɡ r ɛ t
jhm	i h ɛ m
jj	i ʔ i
jj.tj	i ʔ i ʔ t i
jjwj	i ʔ i uː i
jkm	i k ɛ m
jkn	i k ɛ n
jky	i k iː
jm	i m
jmj	i m i
jmj	j a m i j
jmj	j iː m i t
jmj	j iː m i ʔ
jmj	ʔ iː m a ʔ
jmj	ʔ iː m ə
jmj	ʔ ə m e ʔ
jmjtw	i m i t uː
jmn	i m ɛ n
jmn	j a m aː n u w
jmn	j a m iː n i j
jmn	ʔ a m aː n ə ʔ
jmn	ʔ a m iː n
jmn	ʔ a m oː n
jmnt	i m ɛ n ɛ t
jmnt	j a m aː n u t
jmnt	j a m n a t
jmnt	j a m n a ʔ
jmnt	j a m n ə
jmntj	i m ɛ n t i
jmntj	j a m i n t i j
jmntj	ʔ ə m e n t
jmntt	i m ɛ n ɛ t ɛ t
jmntt	j a m i n t i t
jmntt	j a m i n t i ʔ
jmntt	ʔ a m e n t ə
jmr	i m ɛ r
jmstj	i m s ɛ t i
jmw	i m uː
jmwr	i m uː r
jmy	i m iː
jmḏr	i m d͡ʒ ɛ r
jmḥt	i m ħ ɛ t
jmꜣ	i m ɑ
jmꜣt	i m ɑ t
jmꜣḫ	i m ɑ x
jmꜣḫw	i m ɑ x uː
jn	i n
jnb	i n ɛ b
jnbt	i n b ɛ t
jnd	i n ɛ d
jnj	i n i
jnj	j iː n i t
jnj	j iː n i ʔ
jnj	ʔ iː n ə
jnjwbꜣ	i n i uː b ɑ
jnk	i n ɛ k
jnk	j a n a k
jnk	ʔ a n a k
jnm	i n ɛ m
jnn	i n ɛ n
jnn	j a n a n
jnn	ʔ a n a n
jnpw	i n ɛ p uː
jnpw	j a n aː p a w
jnpw	ʔ a n aː p ə ʔ
jnpw	ʔ a n oː p
jnpwt	i n p uː ɛ t
jnq	i n ɛ k
jnr	i n ɛ r
jnr	j aː n a ɾ
jnr	j aː n a ʔ
jnr	ʔ oː n ə
jnst	i n s ɛ t
jnswj	i n s uː i
jnt	i n ɛ t
jntjrwywꜣšꜣ	i n t i r uː iː uː ɑ ʃ ɑ
jnw	i n uː
jnḥ	i n ɛ ħ
jnꜥ	i n ɑː
jp	i p
jpf	i p ɛ f
jpn	i p ɛ n
jpt	i p ɛ t
jpt	ʔ a p a t
jptf	i p t ɛ f
jptn	i p t ɛ n
jptw	i p t uː
jpw	i p uː
jpwj	i p uː i
jpḥ	i p ɛ ħ
jqdw	i k ɛ d uː
jqr	i k ɛ r
jqr	j aː qʼ a ɾ
jqr	j aː qʼ a ʔ
jqr	j aː qʼ i ɾ
jqr	j aː qʼ i ʔ
jqr	j oː qʼ ə
jqḥw	i k ɛ ħ uː
jr	i r
jrj	i r i
jrj	j iː ɾ i t
jrj	j iː ɾ i ʔ
jrj	ʔ iː ɾ a ʔ
jrj	ʔ iː ɾ ə
jrm	i r ɛ m
jrp	i r ɛ p
jrp	j uː ɾ a p
jrp	ʔ eː ɾ ə p
jrsjrnꜣt	i r s i r ɛ n ɑ t
jrt	i r ɛ t
jrt	j iː ɾ a t
jrt	j iː ɾ a ʔ
jrt	ʔ iː ɾ ə
jrtjw	i r t i uː
jrw	i r uː
jrwrꜣ	i r uː r ɑ
jry	i r iː
jrṯt	i r t͡ʃ ɛ t
jrṯt	j V ɾ aː c a t
jrṯt	j V ɾ aː t a ʔ
jrṯt	ʔ ə ɾ oː t ə
js	i s
jspt	i s p ɛ t
jspt	j i s p a t
jspt	j i s p a ʔ
jspt	ʔ e s p a ʔ
jspt	ʔ e s p ə
jsqꜣrnj	i s k ɑ r ɛ n i
jsqꜣrwnj	i s k ɑ r uː n i
jsr	i s ɛ r
jsry	i s r iː
jst	i s ɛ t
jsw	i s uː
jsw	j iː s V w
jsw	ʔ iː s
jsw	ʔ iː s ə ʔ
jswr	i s uː r
jsṯ	i s ɛ t͡ʃ
jt	i t
jt	j a t j a w
jt	j a ʔ t ə
jt	j a ʔ t ə ʔ
jt	j aː t i j
jt	j aː t ə ʔ
jt	j oː t
jtj	i t i
jtmw	i t ɛ m uː
jtn	i t ɛ n
jtn	j aː t i n
jtn	j aː t ə j
jtn	j oː t ə j
jtnw	i t ɛ n uː
jtrt	i t r ɛ t
jtrw	i t ɛ r uː
jtrw	j a t ɾ a w
jtrw	j a ʔ ɾ
jtrw	j a ʔ ɾ a w
jty	i t iː
jtḥ	i t ɛ ħ
jw	i uː
jwd	i uː d
jwdnb	i uː d n ɛ b
jwf	i uː f
jwf	j a w f aː w a w
jwf	j u w f u w
jwf	ʔ a f oː j
jwf	ʔ a ʔ f aː j ə ʔ
jwf	ʔ u ʔ f ə ʔ
jwf	ʔ ø ʔ f
jwh	i uː h
jwj	i uː i
jwjt	i uː i t
jwjw	i uː i uː
jwms	i uː m ɛ s
jwn	i uː n
jwn	j a w i n
jwn	ʔ a w e n
jwn	ʔ a w i n
jwnj	i uː n i
jwnt	i uː n ɛ t
jwntj	i uː n ɛ t i
jwnw	i uː n uː
jwnw	j aː n a w
jwnw	ʔ aː n ə ʔ
jwnw	ʔ oː n ə
jwnyt	i uː n iː t
jwr	i uː r
jwrꜣḥy	i uː r ɑ ħ iː
jwsw	i uː s uː
jwt	i uː t
jwtj	i uː t i
jwtt	i uː t ɛ t
jwwj	i uː ʔ uː i
jwyt	i uː iː t
jwḥ	i uː ħ
jwꜣ	i uː ɑ
jwꜥ	i uː ɑː
jwꜥt	i uː ɑː t
jwꜥw	i uː ɑː uː
jwꜥw	j a w ʕ
jwꜥw	j a w ʕ a w
jwꜥw	j a w ʕ ə ʔ
jyt	i ʔ iː t
jz	i z
jzft	i z f ɛ t
jzft	j a z aː f a t
jzft	ʔ a s aː f a ʔ
jzft	ʔ a s oː f ə
jzftj	i z f ɛ t i
jzkn	i z k ɛ n
jzr	i z ɛ r
jzr	j a s ɾ V w
jzr	j a z ɾ V w
jzr	ʔ a s ɾ
jzwt	i z uː t
jšdt	i ʃ ɛ d ɛ t
jšst	i ʃ ɛ s ɛ t
jšš	i ʃ ɛ ʃ
jḥ	i ħ
jḥ	j a ħ i j
jḥ	j a ħ i w w
jḥ	ʔ ə ħ e w w
jḥ	ʔ ə ħ e ʔ
jḥw	i ħ uː
jḥw	j a ħ aː w a w
jḥw	ʔ ə ħ oː w
jḫ	i x
jḫ	j u χ
jḫ	ʔ u χ
jḫ	ʔ ø χ
jḫmt	i x m ɛ t
jḫt	i x ɛ t
jḫḫw	i x ɛ x uː
jṯj	i t͡ʃ i
jṯꜣ	i t͡ʃ ɑ
jꜣbj	i ɑ b i
jꜣbt	i ɑ b ɛ t
jꜣbt	j a ʀ b a t
jꜣbt	j a ʀ b a ʔ
jꜣbt	j oː β ə
jꜣbtj	i ɑ b t i
jꜣbtj	j a ʀ i b t i j
jꜣbtj	ʔ ə j e β t
jꜣbtt	i ɑ b ɛ t ɛ t
jꜣdw	i ɑ d uː
jꜣjw	i ɑ i uː
jꜣkb	i ɑ k ɛ b
jꜣkbyt	i ɑ k ɛ b iː t
jꜣmw	i ɑ m uː
jꜣq	i ɑ k
jꜣqt	i ɑ k ɛ t
jꜣqt	j u ʀ qʼ a t
jꜣqt	j u ʀ qʼ a ʔ
jꜣqt	ʔ eː qʼ ə
jꜣqt	ʔ uː qʼ a ʔ
jꜣr	i ɑ r
jꜣrrt	i ɑ r ɛ r ɛ t
jꜣrrt	j a ʀ l a l j a t
jꜣrrt	j a ʀ l a l j a ʔ
jꜣrrt	ʔ a l a l ʔ ə
jꜣrw	i ɑ r uː
jꜣs	i ɑ s
jꜣt	i ɑ t
jꜣtjw	i ɑ t i uː
jꜣtt	i ɑ t ɛ t
jꜣw	i ɑ uː
jꜣw	j a ʀ a w
jꜣw	ʔ ə ʔ a w
jꜣwj	i ɑ uː i
jꜣwt	i ɑ uː t
jꜣš	i ɑ ʃ
jꜣḫmjnš	i ɑ x m i n ɛ ʃ
jꜣḫw	i ɑ x uː
jꜣḫw	j a ʀ χ a w
jꜣḫw	j oː χ
jꜣꜣ	i ɑ ʔ ɑ
jꜣꜣt	i ɑ ʔ ɑ t
jꜣꜣyt	i ɑ ʔ ɑ iː t
jꜣꜥ	i ɑ ʔ ɑː
jꜥb	i ɑː b
jꜥf	i ɑː f
jꜥj	i ɑː i
jꜥn	i ɑː n
jꜥn	j a ʕ i n
jꜥn	ʔ a ʕ e n
jꜥnt	i ɑː n ɛ t
jꜥnw	i ɑː n uː
jꜥr	i ɑː r
jꜥrt	i ɑː r ɛ t
jꜥḥ	i ɑː ħ
jꜥḥ	j a j ħ u w
jꜥḥ	j a ʔ ħ
jꜥḥ	j a ʔ ħ ə ʔ
jꜥḥ	j a ʕ ħ u w
jꜥꜣ	i ɑː ʔ ɑ
kbn	k a b a n
kbn	k ə β a n
kbn	k ɛ b ɛ n
kf	k ɛ f
kfj	k ɛ f i
kftjw	k ɛ f t i uː
kftyw	k ɛ f t iː uː
kfꜣ	k ɛ f ɑ
kj	k i
kkw	k ɛ k uː
km	k aː m
km	k eː m
km	k oː m
km	k uː m a w
km	k ɛ m
kmbjṯt	k ɛ m b i t͡ʃ ɛ t
kmm	k ɛ m ɛ m
kmt	k eː m ə
kmt	k uː m a t
kmt	k uː m a ʔ
kmt	k ɛ m ɛ t
kmyt	k ɛ m iː t
kns	k ɛ n ɛ s
knꜥnw	k ɛ n ɑː n uː
krtj	k ɛ r t i
ksj	k ɛ s i
ksw	k ɛ s uː
ktt	k a t a t
ktt	k a t a ʔ
ktt	k ə t a ʔ
ktt	k ɛ t ɛ t
kw	k uː
ky	k iː
kš	k ɛ ʃ
kꜣ	k a ʀ
kꜣ	k a ʔ
kꜣ	k u ʀ
kꜣ	k u ʔ
kꜣ	k ø ʔ
kꜣ	k ɑ
kꜣhs	k ɑ h ɛ s
kꜣj	k ɑ i
kꜣkꜣ	k ɑ k ɑ
kꜣm	k a ʀ m
kꜣm	k a ʀ n V w
kꜣm	k oː m
kꜣm	k ɑ m
kꜣmn	k ɑ m ɛ n
kꜣmw	k a ʀ m i w
kꜣmw	k a ʀ m i w w a w
kꜣmw	k ɑ m uː
kꜣmw	k ə m e ʔ
kꜣmw	k ə m e ʔ w
kꜣnꜥnꜥ	k ɑ n ɑː n ɑː
kꜣp	k aː ʀ a p
kꜣp	k oː ʔ ə p
kꜣp	k ɑ p
kꜣpt	k ɑ p ɛ t
kꜣpw	k ɑ p uː
kꜣr	k ɑ r
kꜣry	k ɑ r iː
kꜣs	k ɑ s
kꜣt	k ɑ t
kꜣw	k ɑ uː
kꜣwtj	k ɑ uː t i
kꜣš	k ɑ ʃ
kꜣštꜣ	k ɑ ʃ t ɑ
m	m a
m	m ə
m	m̩
m	ɛ m
mds	m ɛ d ɛ s
mdt	m aː tʼ a t
mdt	m aː tʼ a ʔ
mdt	m oː tʼ ə
mdt	m ə tʼ ə t
mdt	m ɛ d ɛ t
mdw	m a tʼ u w w
mdw	m aː tʼ a w
mdw	m oː tʼ
mdw	m ə tʼ ø w w
mdw	m ɛ d uː
mdwj	m e tʼ w ə
mdwj	m i tʼ w i t
mdwj	m i tʼ w i ʔ
mdwj	m ɛ d uː i
mfkꜣt	m a f a k ʀ a t
mfkꜣt	m a f a k ʀ a ʔ
mfkꜣt	m ə f a ʔ k ə
mfkꜣt	m ɛ f k ɑ t
mhj	m ɛ h i
mj	m i
mjgꜣdn	m i ɡ ɑ d ɛ n
mjktj	m i k t i
mjn	m i n
mjnb	m i n ɛ b
mjnj	m e ʔ n a ʔ
mjnj	m e ʔ n ə
mjnj	m i j n i t
mjnj	m i j n i ʔ
mjnj	m i n i
mjnt	m i n ɛ t
mjt	m i t
mjtj	m i t i
mjtt	m i t ɛ t
mjtw	m i t uː
mjw	m i uː
mjw	m i ʀ j u w
mjwj	m i uː i
mjzt	m i z ɛ t
mjḫꜣt	m a χ ʀ aː j i t
mjḫꜣt	m a χ ʀ aː j i ʔ
mjḫꜣt	m i x ɑ t
mjḫꜣt	m ə χ oː ʔ
mjḫꜣt	m ə χ ʔ aː ʔ ə ʔ
mkj	m ɛ k i
mkt	m ɛ k ɛ t
mm	m ɛ m
mmj	m ɛ m i
mn	m aː n
mn	m oː n
mn	m ɛ n
mnhz	m a n h a s
mnhz	m a n h a z
mnhz	m a n h ə s
mnhz	m ɛ n h ɛ z
mnj	m a n i j
mnj	m ə n e ʔ
mnj	m ɛ n i
mnjt	m ɛ n i t
mnjw	m ɛ n i uː
mnmn	m ɛ n m ɛ n
mnmnt	m ɛ n m ɛ n ɛ t
mnt	m aː n a t
mnt	m aː n a ʔ
mnt	m oː n ə
mnt	m ɛ n ɛ t
mnty	m V n aː t i j
mnty	m ə n oː t ə
mnty	m ɛ n t iː
mnw	m ɛ n uː
mnwt	m ɛ n uː t
mnyt	m ɛ n iː t
mnḏ	m a n a cʼ
mnḏ	m a n a tʼ
mnḏ	m ə n a tʼ
mnḏ	m ɛ n ɛ d͡ʒ
mnḏm	m ɛ n d͡ʒ ɛ m
mnḏr	m ɛ n d͡ʒ ɛ r
mnḏt	m ɛ n d͡ʒ ɛ t
mnḥ	m ɛ n ɛ ħ
mnḥtj	m ɛ n ħ ɛ t i
mnḫ	m ɛ n ɛ x
mnḫt	m a w n aː χ i t
mnḫt	m a w n aː χ i ʔ
mnḫt	m ə n oː χ ə
mnḫt	m ɛ n x ɛ t
mnṯw	m o n t uː
mnṯw	m ɛ n t͡ʃ uː
mnꜥt	m ɛ n ɑː t
mr	m a ɾ
mr	m a ʔ
mr	m aː ɾ
mr	m e ʔ
mr	m i ʔ
mr	m oː ɾ
mr	m ɛ r
mrj	m e j ʔ ə
mrj	m i j j i ʔ
mrj	m i ɾ j i t
mrj	m ɛ r i
mrkbt	m ɛ r k ɛ b ɛ t
mrrt	m ɛ r ɛ r ɛ t
mrt	m ɛ r ɛ t
mrw	m eː ɾ
mrw	m uː ɾ a w
mrw	m ɛ r uː
mrwryt	m ɛ r uː r iː t
mrwt	m ɛ r uː t
mry	m ɛ r iː
mryt	m a ɾ aː j a t
mryt	m a ɾ aː j a ʔ
mryt	m ə ɾ oː ʔ ə
mryt	m ɛ r iː t
mrḥt	m V ɾ i ħ j a t
mrḥt	m V ɾ i ħ j a ʔ
mrḥt	m ə ɾ e ħ ʔ ə
mrḥt	m ɛ r ħ ɛ t
ms	m e s
ms	m i s
ms	m ɛ s
msdmt	m i s tʼ uː m i t
msdmt	m i s tʼ uː m i ʔ
msdmt	m ə s tʼ eː m ə
msdmt	m ɛ s d ɛ m ɛ t
msdw	m a s cʼ i w
msdw	m a s tʼ
msdw	m a s tʼ i w
msdw	m ɛ s ɛ d uː
msj	m iː s i t
msj	m iː s i ʔ
msj	m iː s ə
msj	m ɛ s i
msjꜣt	m a s j aː ʀ i t
msjꜣt	m a s j aː ʀ i ʔ
msjꜣt	m ə s oː ʔ
msjꜣt	m ə s ʔ aː ʔ ə ʔ
msjꜣt	m ɛ s i ɑ t
msktt	m ɛ s ɛ k t ɛ t
mskꜣ	m ɛ s k ɑ
msn	m ɛ s ɛ n
msqt	m a s qʼ aː ɾ i t
msqt	m a s qʼ aː ɾ i ʔ
msqt	m ə s qʼ aː ɾ a ʔ
msqt	m ə s qʼ oː ɾ ə
msqt	m ɛ s k ɛ t
mswt	m i s j aː w a t
mswt	m i s j aː w a ʔ
mswt	m ə s oː w ə
mswt	m ɛ s uː t
msyt	m ɛ s iː t
msḏj	m e s tʼ ə
msḏj	m i s cʼ i t
msḏj	m i s tʼ i ʔ
msḏj	m ɛ s ɛ d͡ʒ i
msḏr	m e s t͡ʃ a ʔ
msḏr	m e s t͡ʃʼ ə
msḏr	m i s cʼ i ɾ
msḏr	m i s t͡ʃʼ i ʔ
msḏr	m ɛ s d͡ʒ ɛ r
msḥ	m ɛ s ɛ ħ
msḫn	m e s χ ə n
msḫn	m i s χ i n
msḫn	m ɛ s x ɛ n
