あ	a̠
あきはばら	a̠ kʲ i h a̠ b a̠ ɾ a̠
あきびん	a̠ kʲ i bʲ ĩ ɴ
あきふく	a̠ kʲ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
あきや	a̠ kʲ i j a̠
あきらか	a̠ kʲ i ɾ a̠ k a̠
あきらめる	a̠ kʲ i ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あきる	a̠ kʲ i ɾ ɯ̟ᵝ
あきれがお	a̠ kʲ i ɾ e̞ ɡ a̠ o̞
あぎとう	a̠ ɡʲ i t o̞ː
あく	a̠ k ɯ̟ᵝ
あくいあくしょく	a̠ k ɯ̟ᵝ i a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
あくいんあっか	a̠ k ɯ̟ᵝ ĩ ɰ̃ a̠ k̚ k a̠
あくえいきょう	a̠ k ɯ̟ᵝ e̞ː kʲ o̞ː
あくぎゃくひどう	a̠ k ɯ̟ᵝ ɡʲ a̠ k ɯ̟ᵝ ç i d o̞ː
あくしゅかい	a̠ k ɯ̟ᵝ ɕ ɨᵝ k a̠ i
あくしゅけん	a̠ k ɯ̟ᵝ ɕ ɨᵝ k ẽ̞ ɴ
あくしゅみ	a̠ k ɯ̟ᵝ ɕ ɨᵝ mʲ i
あくじき	a̠ k ɯ̟ᵝ ʑ i kʲ i
あくじゅんかん	a̠ k ɯ̟ᵝ ʑ ɨ̃ᵝ ŋ k ã̠ ɴ
あくせく	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
あくた	a̠ k ɯ̟ᵝ t a̠
あくたい	a̠ k ɯ̟ᵝ t a̠ i
あくとう	a̠ k ɯ̟ᵝ t o̞ː
あくとく	a̠ k ɯ̟̊ᵝ t o̞ k ɯ̟ᵝ
あくどい	a̠ k ɯ̟ᵝ d o̞ i
あくにち	a̠ k ɯ̟ᵝ ɲ̟ i t͡ɕ i
あくば	a̠ k ɯ̟ᵝ b a̠
あくび	a̠ k ɯ̟ᵝ bʲ i
あくま	a̠ k ɯ̟ᵝ m a̠
あくみょうだかい	a̠ k ɯ̟ᵝ mʲ o̞ː d a̠ k a̠ i
あくむ	a̠ k ɯ̟ᵝ m ɯ̟ᵝ
あくめ	a̠ k ɯ̟ᵝ m e̞
あくもん	a̠ k ɯ̟ᵝ m õ̞ ɴ
あくやく	a̠ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
あくりょう	a̠ k ɯ̟ᵝ ɾʲ o̞ː
あくろ	a̠ k ɯ̟ᵝ ɾ o̞
あぐり	a̠ ɡ ɯ̟ᵝ ɾʲ i
あけ	a̠ k e̞
あけがた	a̠ k e̞ ɡ a̠ t a̠
あけくれる	a̠ k e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あけぐれ	a̠ k e̞ ɡ ɯ̟ᵝ ɾ e̞
あけち	m e̞ː t͡ɕ i
あけっぱなし	a̠ k e̞ p̚ p a̠ n a̠ ɕ i
あけはなす	a̠ k e̞ h a̠ n a̠ s ɨᵝ
あけび	a̠ k e̞ bʲ i
あけぼの	a̠ k e̞ b o̞ n o̞
あけみ	a̠ k e̞ mʲ i
あける	a̠ k e̞ ɾ ɯ̟ᵝ
あけわたし	a̠ k e̞ ɰᵝ a̠ t a̠ ɕ i
あけわたす	a̠ k e̞ ɰᵝ a̠ t a̠ s ɨᵝ
あげあげ	a̠ ɡ e̞ a̠ ɡ e̞
あげあしをとる	a̠ ɡ e̞ a̠ ɕ i o̞ t o̞ ɾ ɯ̟ᵝ
あげくのはて	a̠ ɡ e̞ k ɯ̟ᵝ n o̞ h a̠ t e̞
あげは	a̠ ɡ e̞ h a̠
あげはちょう	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
あげぽよ	a̠ ɡ e̞ p o̞ j o̞
あげもの	a̠ ɡ e̞ m o̞ n o̞
あげる	a̠ ɡ e̞ ɾ ɯ̟ᵝ
あこがれ	a̠ k o̞ ɡ a̠ ɾ e̞
あこがれる	a̠ k o̞ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ
あご	a̠ ɡ o̞
あごがしゃくれる	a̠ ɡ o̞ ɡ a̠ ɕ a̠ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あごひげ	a̠ ɡ o̞ ç i ɡ e̞
あごひげあざらし	a̠ ɡ o̞ ç i ɡ e̞ a̠ z a̠ ɾ a̠ ɕ i
あさ	a̠ s a̠
あさい	a̠ s a̠ i
あさいろ	a̠ s a̠ i ɾ o̞
あさおき	a̠ s a̠ o̞ kʲ i
あさか	a̠ s a̠ k a̠
あさからばんまで	a̠ s a̠ k a̠ ɾ a̠ b ã̠ m m a̠ d e̞
あさがすみ	a̠ s a̠ ɡ a̠ s ɨᵝ mʲ i
あさがた	a̠ s a̠ ɡ a̠ t a̠
あさぎり	a̠ s a̠ ɡʲ i ɾʲ i
あさくら	a̠ s a̠ k ɯ̟ᵝ ɾ a̠
あさって	a̠ s a̠ t̚ t e̞
あさなわ	a̠ s a̠ n a̠ ɰᵝ a̠
あさぬの	a̠ s a̠ n ɯ̟ᵝ n o̞
あさね	a̠ s a̠ n e̞
あさねぼう	a̠ s a̠ n e̞ b o̞ː
あさのかい	a̠ s a̠ n o̞ k a̠ i
あさはか	a̠ s a̠ h a̠ k a̠
あさひ	a̠ s a̠ ç i̥
あさひかわ	a̠ s a̠ ç i k a̠ ɰᵝ a̠
あさひる	a̠ s a̠ ç i ɾ ɯ̟ᵝ
あさましい	a̠ s a̠ m a̠ ɕ i i
あさもや	a̠ s a̠ m o̞ j a̠
あさやけ	a̠ s a̠ j a̠ k e̞
あさんかちっそ	a̠ s ã̠ ŋ k a̠ t͡ɕ i sː o̞
あざ	a̠ z a̠
あざける	a̠ z a̠ k e̞ ɾ ɯ̟ᵝ
あざとい	a̠ z a̠ t o̞ i
あざなう	a̠ z a̠ n a̠ ɯ̟ᵝ
あざみ	a̠ z a̠ mʲ i
あざむく	a̠ z a̠ m ɯ̟ᵝ k ɯ̟ᵝ
あざやか	a̠ z a̠ j a̠ k a̠
あざらし	a̠ z a̠ ɾ a̠ ɕ i
あざわらう	a̠ z a̠ ɰᵝ a̠ ɾ a̠ ɯ̟ᵝ
あし	a̠ ɕ i
あし	kʲ a̠ k ɯ̟ᵝ
あしあと	a̠ ɕ i a̠ t o̞
あしか	a̠ ɕ i̥ k a̠
あしがる	a̠ ɕ i ɡ a̠ ɾ ɯ̟ᵝ
あしこ	a̠ ɕ i k o̞
あしざま	a̠ ɕ i z a̠ m a̠
あした	a̠ ɕ i̥ t a̠
あしたれぼし	a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i
あしのうら	a̠ ɕ i n o̞ ɯ̟ᵝ ɾ a̠
あしはら	a̠ ɕ i̥ h a̠ ɾ a̠
あしばや	a̠ ɕ i b a̠ j a̠
あしび	a̠ s e̞ bʲ i
あしび	a̠ ɕ i bʲ i
あしまわり	a̠ ɕ i m a̠ ɰᵝ a̠ ɾʲ i
あしもと	a̠ ɕ i m o̞ t o̞
あしゅ	a̠ ɕ ɨᵝ
あしゅう	a̠ ɕ ɨᵝː
あしゅら	a̠ ɕ ɨᵝ ɾ a̠
あしゆ	a̠ ɕ i j ɯ̟ᵝ
あじ	a̠ ʑ i
あじあ	a̠ ʑ i a̠
あじきない	a̠ ʑ i kʲ i n a̠ i
あじさい	a̠ ʑ i s a̠ i
あじさし	a̠ ʑ i s a̠ ɕ i
あじみ	a̠ ʑ i mʲ i
あじむ	a̠ ʑ i m ɯ̟ᵝ
あじわい	a̠ ʑ i ɰᵝ a̠ i
あじわう	a̠ ʑ i ɰᵝ a̠ ɯ̟ᵝ
あすなろ	a̠ s ɨᵝ n a̠ ɾ o̞
あすはわがみ	a̠ s ɨᵝ ɰᵝ a̠ ɰᵝ a̠ ɡ a̠ mʲ i
あずき	a̠ z ɨᵝ kʲ i
あずける	a̠ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
あずさ	a̠ z ɨᵝ s a̠
あずさゆみ	a̠ z ɨᵝ s a̠ j ɯ̟ᵝ mʲ i
あずまうた	a̠ z ɨᵝ m a̠ ɯ̟ᵝ t a̠
あずまくだり	a̠ z ɨᵝ m a̠ k ɯ̟ᵝ d a̠ ɾʲ i
あずまごと	a̠ z ɨᵝ m a̠ ɡ o̞ t o̞
あずまや	a̠ z ɨᵝ m a̠ j a̠
あせ	a̠ s e̞
あせくさい	a̠ s e̞ k ɯ̟̊ᵝ s a̠ i
あせまみれ	a̠ s e̞ m a̠ mʲ i ɾ e̞
あせり	a̠ s e̞ ɾʲ i
あせる	a̠ s e̞ ɾ ɯ̟ᵝ
あそこ	a̠ s o̞ k o̞
あそびごころ	a̠ s o̞ bʲ i ɡ o̞ k o̞ ɾ o̞
あそびにん	a̠ s o̞ bʲ i ɲ̟ ĩ ɴ
あそびば	a̠ s o̞ bʲ i b a̠
あそぶ	a̠ s o̞ b ɯ̟ᵝ
あそん	a̠ s õ̞ ɴ
あたい	a̠ t a̠ i
あたいする	a̠ t a̠ i s ɨᵝ ɾ ɯ̟ᵝ
あたいりく	a̠ t a̠ i ɾʲ i k ɯ̟ᵝ
あたう	a̠ t a̠ ɯ̟ᵝ
あたえる	a̠ t a̠ e̞ ɾ ɯ̟ᵝ
あたかも	a̠ t a̠ k a̠ m o̞
あたくし	a̠ t a̠ k ɯ̟̊ᵝ ɕ i
あたご	a̠ t a̠ ɡ o̞
あたし	a̠ t a̠ ɕ i
あたたか	a̠ t a̠ t a̠ k a̠
あたたかい	a̠ t a̠ t a̠ k a̠ i
あたたまる	a̠ t a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
あたためる	a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あたま	a̠ t a̠ m a̠
あたまごなし	a̠ t a̠ m a̠ ɡ o̞ n a̠ ɕ i
あたまじらみ	a̠ t a̠ m a̠ ʑ i ɾ a̠ mʲ i
あたまだかがた	a̠ t a̠ m a̠ d a̠ k a̠ ɡ a̠ t a̠
あたらしい	a̠ t a̠ ɾ a̠ ɕ iː
あたりや	a̠ t a̠ ɾʲ i j a̠
あたる	a̠ t a̠ ɾ ɯ̟ᵝ
あだ	a̠ d a̠
あだかも	a̠ d a̠ k a̠ m o̞
あだな	a̠ d a̠ n a̠
あだばな	a̠ d a̠ b a̠ n a̠
あちら	a̠ t͡ɕ i ɾ a̠
あちらこちら	a̠ t͡ɕ i ɾ a̠ k o̞ t͡ɕ i ɾ a̠
あっ	a̠ ʔ
あっか	a̠ k̚ k a̠
あっかん	a̠ k̚ k ã̠ ɴ
あっけない	a̠ k̚ k e̞ n a̠ i
あっさく	a̠ sː a̠ k ɯ̟ᵝ
あっさぶ	a̠ sː a̠ b ɯ̟ᵝ
あっさり	a̠ sː a̠ ɾʲ i
あっし	a̠ ɕː i
あっせい	a̠ sː e̞ː
あったかい	a̠ t̚ t a̠ k a̠ i
あっちいけ	a̠ t̚ t͡ɕ i i k e̞
あっというま	a̠ t̚ t o̞ i ɯ̟ᵝ m a̠
あっといわせる	a̠ t̚ t o̞ i ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
あっとうてき	a̠ t̚ t o̞ː t e̞ kʲ i
あっとおどろく	a̠ t̚ t o̞ o̞ d o̞ ɾ o̞ k ɯ̟ᵝ
あっぱれ	a̠ p̚ p a̠ ɾ e̞
あつ	a̠ t͡s ɨᵝ
あつあつ	a̠ t͡s ɨᵝ a̠ t͡s ɨᵝ
あつい	a̠ t͡s ɨᵝ i
あつか	a̠ t͡s ɨᵝ k a̠
あつかう	a̠ t͡s ɨᵝ k a̠ ɯ̟ᵝ
あつかましい	a̠ t͡s ɨᵝ k a̠ m a̠ ɕ i i
あつかん	a̠ t͡s ɨᵝ k ã̠ ɴ
あつがみ	a̠ t͡s ɨᵝ ɡ a̠ mʲ i
あつくるしい	a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あつさしのぎ	a̠ t͡s ɨᵝ s a̠ ɕ i n o̞ ɡʲ i
あつし	a̠ t͡s ɨᵝ ɕ i
あつた	a̠ t͡s ɨᵝ t a̠
あつひろ	a̠ t͡s ɨᵝ ç i ɾ o̞
あつま	a̠ t͡s ɨᵝ m a̠
あつまる	a̠ t͡s ɨᵝ m a̠ ɾ ɯ̟ᵝ
あつめる	a̠ t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
あつらえる	a̠ t͡s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
あつりょく	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ
あつりょくなべ	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ n a̠ b e̞
あて	a̠ t e̞
あてこむ	a̠ t e̞ k o̞ m ɯ̟ᵝ
あてじ	a̠ t e̞ ʑ i
あてずっぽう	a̠ t e̞ z ɨᵝ p̚ p o̞ː
あてにげ	a̠ t e̞ ɲ̟ i ɡ e̞
あてはまる	a̠ t e̞ h a̠ m a̠ ɾ ɯ̟ᵝ
あてはめる	a̠ t e̞ h a̠ m e̞ ɾ ɯ̟ᵝ
あてる	a̠ t e̞ ɾ ɯ̟ᵝ
あと	a̠ t o̞
あとあじ	a̠ t o̞ a̠ ʑ i
あとかぶ	a̠ t o̞ k a̠ b ɯ̟ᵝ
あとがき	a̠ t o̞ ɡ a̠ kʲ i
あとさき	a̠ t o̞ s a̠ kʲ i
あとじたぼいん	k o̞ː z e̞ t͡s ɨᵝ b o̞ ĩ ɴ
あとつぎ	a̠ t o̞ t͡s ɨᵝ ɡʲ i
あとにする	a̠ t o̞ ɲ̟ i s ɨᵝ ɾ ɯ̟ᵝ
あとのまつり	a̠ t o̞ n o̞ m a̠ t͡s ɨᵝ ɾʲ i
あとまわし	a̠ t o̞ m a̠ ɰᵝ a̠ ɕ i
あとり	a̠ t o̞ ɾʲ i
あどけない	a̠ d o̞ k e̞ n a̠ i
あな	a̠ n a̠
あなうさぎ	a̠ n a̠ ɯ̟ᵝ s a̠ ɡʲ i
あながあったらはいりたい	a̠ n a̠ ɡ a̠ a̠ t̚ t a̠ ɾ a̠ h a̠ i ɾʲ i t a̠ i
あなぐま	a̠ n a̠ ɡ ɯ̟ᵝ m a̠
あなご	a̠ n a̠ ɡ o̞
あなた	a̠ n a̠ t a̠
あなたがた	a̠ n a̠ t a̠ ɡ a̠ t a̠
あなたたち	a̠ n a̠ t a̠ t a̠ t͡ɕ i
あなどり	a̠ n a̠ d o̞ ɾʲ i
あなどる	a̠ n a̠ d o̞ ɾ ɯ̟ᵝ
あなば	a̠ n a̠ b a̠
あなん	a̠ n ã̠ ɴ
あに	a n i
あに	a̠ ɲ̟ i
あにうえ	a̠ ɲ̟ i ɯ̟ᵝ e̞
あにき	a̠ ɲ̟ i kʲ i
あにぶん	a̠ ɲ̟ i b ɯ̟̃ᵝ ɴ
あね	a̠ n e̞
あねうえ	a̠ n e̞ ɯ̟ᵝ e̞
あねき	a̠ n e̞ kʲ i
あねったい	a̠ n e̞ t̚ t a̠ i
あねはづる	a̠ n e̞ h a̠ z ɨᵝ ɾ ɯ̟ᵝ
あねぶん	a̠ n e̞ b ɯ̟̃ᵝ ɴ
あの	a̠ n o̞
あのう	a̠ n o̞ː
あのかた	a̠ n o̞ k a̠ t a̠
あのかたがた	a̠ n o̞ k a̠ t a̠ ɡ a̠ t a̠
あのくたらさんみゃくさんぼだい	a̠ n o̞ k ɯ̟ᵝ t a̠ ɾ a̠ s ã̠ mʲː a̠ k ɯ̟ᵝ s ã̠ m b o̞ d a̠ i
あのね	a̠ n o̞ n e̞
あのひと	a̠ n o̞ ç i̥ t o̞
あのひとたち	a̠ n o̞ ç i̥ t o̞ t a̠ t͡ɕ i
あのよ	a̠ n o̞ j o̞
あば	a̠ b a̠
あばく	a̠ b a̠ k ɯ̟ᵝ
あばずれ	a̠ b a̠ z ɨᵝ ɾ e̞
あばよ	a̠ b a̠ j o̞
あばら	a̠ b a̠ ɾ a̠
あばらぼね	a̠ b a̠ ɾ a̠ b o̞ n e̞
あばれる	a̠ b a̠ ɾ e̞ ɾ ɯ̟ᵝ
あひさん	a̠ ç i s ã̠ ɴ
あひる	a̠ ç i ɾ ɯ̟ᵝ
あひるすわり	a̠ ç i ɾ ɯ̟ᵝ s ɨᵝ ɰᵝ a̠ ɾʲ i
あび	a̠ bʲ i
あびきょうかん	a̠ bʲ i kʲ o̞ː k ã̠ ɴ
あびこ	a̠ bʲ i k o̞
あびる	a̠ bʲ i ɾ ɯ̟ᵝ
あふれかえる	a̠ ɸ ɯ̟ᵝ ɾ e̞ k a̠ e̞ ɾ ɯ̟ᵝ
あふれでる	a̠ ɸ ɯ̟ᵝ ɾ e̞ d e̞ ɾ ɯ̟ᵝ
あふれる	a̠ ɸ ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あぶ	a̠ b ɯ̟ᵝ
あぶない	a̠ b ɯ̟ᵝ n a̠ i
あぶなっかしい	a̠ b ɯ̟ᵝ n a̠ k̚ k a̠ ɕ iː
あぶら	a̠ b ɯ̟ᵝ ɾ a̠
あぶらつのざめ	a̠ b ɯ̟ᵝ ɾ a̠ t͡s ɨᵝ n o̞ z a̠ m e̞
あぶらとりがみ	a̠ b ɯ̟ᵝ ɾ a̠ t o̞ ɾʲ i ɡ a̠ mʲ i
あぶらよたか	a̠ b ɯ̟ᵝ ɾ a̠ j o̞ t a̠ k a̠
あぶる	a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
あへがお	a̠ h e̞ ɡ a̠ o̞
あへん	a̠ h ẽ̞ ɴ
あほう	a̠ h o̞ː
あほうどり	a̠ h o̞ː d o̞ ɾʲ i
あほくさい	a̠ h o̞ k ɯ̟ᵝ s a̠ i
あま	a̠ m a̠
あまい	a̠ m a̠ i
あまいろ	a̠ m a̠ i ɾ o̞
あまえる	a̠ m a̠ e̞ ɾ ɯ̟ᵝ
あまえんぼう	a̠ m a̠ ẽ̞ m b o̞ː
あまおと	a̠ m a̠ o̞ t o̞
あまからい	a̠ m a̠ k a̠ ɾ a̠ i
