آب	a w
انگلیسی	ʔ ɪ ŋ ɡ ɪ l iː s iː
انگلیس‌ها	ʔ e ŋ ɡʲ e l iː s h ɒː
انگلیس‌ها	ʔ ɪ ŋ ɡʲ ɪ l iː s ɒː
انگنار	e n ɡ e n ɒː ɾ
انگنار	æ n ɡ e n ɒː ɾ
انگیختن	æ ŋ ɡʲ iː x tʰ æ n
اهواز	æ h v ɒː z
اهورا	ʔ æ h uː ɾ ɒː
اوان	æ v ɒ n
اورانیوم	ʔ o ɾ ɒ n i j o m
اوردن	o v o r d æ n
اورمزد	u ɾ m æ z d
اومدن	u m æ d æ n
اون	ʔ o n
اون	ʔ ʊ n
اوکراین	ʔ o k ɾ ɒ j n
اکتشاف	e k t̪ʰ e ʃ ɒː f
اگر	æ ɡʲ e
اگر	æ ɡʲ æ ɾ
اگه	æ ɡʲ e
ایتالیا	ʔ i t̪ʰ ɑ l i j ɒ
ایجاد	iː d ʒ ɒː d
ایجادها	iː d ʒ ɒː d h ɒː
ایجادها	iː d ʒ ɒː d ɒː
ایرلند	ʔ i ɾ l æ n d̪
ایروان	ʔ iː ɾ æ v ɒ n
ایستادن	iː s tʰ ɒː d æ n
ایسلند	ʔ i s l æ n d̪
ایمان‌دار	iː m ɒː n d̪ ɒː ɾ
اینجا	iː n d ʒ ɒː
این‌ها	i n h ɒː
این‌ها	i n ɒː
این‌ها	iː n h ɒː
این‌ها	iː n ɒː
بابونه	b ɒː b uː n e
باحال	b ɒː h ɒː l
باختن	b ɒː x t̪ʰ æ n
بادام	b ɑː d̪ uː m
بادام	b ɑː d̪ ɒː m
بادبان	b ɒː d̪ b ɒ n
بادکنک	b ɒː t kʰ o n æ kʲ
باران	b ɒː ɾ uː n
بارانی	b ɒː ɾ uː n iː
بارانی	b ɒː ɾ ɒː n iː
بارون	b ɒː ɾ uː n
بازرگانی	b ɒː z æ ɾ ɡ ɒː n iː
بازشناختن	b ɒː z ʃ e n ɒː x t̪ʰ æ n
بازو	b ɒː z uː
بازگشت	b ɒː z ɡʲ æ ʃ t̪
باغچه	b ɒː x t ʃ e
باغچه	b ɒː x t ʃ æ
باغچه	b ɒː ɣ t ʃ æ
بافتن	b ɒː f tʰ æ n
بالا	b ɒː l ɒː
بانگ	b ɒː ŋ ɡ
باکره	b ɒː kʲ e ɾ e
ببا	b ʏ b ɒː
ببخشید	b e b æ x ʃ iː d̪
ببخشید	b e b æ x ʃ iː n
بته‌جقه	b o t̪ t̪ʰ e d͡ʒ e ɣ ɣ e
بحرین	b æ h ɾ e j n
بخشودن	b æ x ʃ uː d̪ æ n
بخشیدن	b æ x ʃ iː d̪ æ n
برادر	b e ɾ ɒː d æ ɾ
برادر	b æ ɾ ɒː d æ ɾ
برادرانه	b e ɾ ɒː d̪ æ ɾ ɒː n æ
برادرانه	b æ ɾ ɒː d̪ æ ɾ uː n e
برادرانه	b æ ɾ ɒː d̪ æ ɾ ɒː n e
برادری	b æ ɾ ɒː d̪ æ ɾ iː
برازیدن	b æ ɾ ɒː z iː d̪ æ n
برجیس	b e ɾ d ʒ e j s
برجیس	b e ɾ d ʒ iː s
برخاستن	b æ ɾ x ɒː s t̪ʰ æ n
برزیل	b e ɾ e z i l
برزیل	b e ɾ e z iː l
برش	b o ɾ e ʃ
برشتن	b e ɾ e ʃ tʰ æ n
برفی	b æ ɾ f iː
برلین	b e ɾ l i n
برنامه	b æ ɾ n ɒː m e
برنج	b e ɾ e n d͡ʒ
برنج	b e ɾ ɪ n d͡ʒ
برنج	b æ ɾ e n d͡ʒ
برهنگی	b e ɾ æ h n e ɡʲ iː
برونئی	b o ɾ uː n e iː
برگ	b æ ɾ ɡ
برگ	b æː ɾ ɡ
برگردان	b æ ɾ ɡʲ æ ɾ d uː n
برگردان	b æ ɾ ɡʲ æ ɾ d ɒː n
برگرداندن	b æ ɾ ɡʲ æ ɾ d ɒ n d æ n
برگردان‌ها	b æ ɾ ɡʲ æ ɾ d ɒː n h ɒː
برگزیدن	b æ ɾ ɡ o z iː d̪ æ n
بزرگمهر	b o z o ɾ ɡ m e h ɾ
بزرگمهر	b ʊ z ʊ ɾ ɡ m ɪ h ɾ
بزرگی	b o z o ɾ ɡʲ iː
بزه	b e z eʰ
بستنی	b æ s t̪ʰ æ n iː
بشکه	b o ʃ kʲ e
بعضی	b æ ʔ z iː
بلاروس	b e l ɒ ɾ u s
بلعیدن	b æ l iː d̪ æ n
بلعیدن	b æː l iː d̪ æ n
بلغارستان	b o l ɣ ɒː ɾ e s t̪ʰ ɒ n
بلند	b o l æ n d̪
بله	b æ l e
بلور	b o l uː ɾ
بلوچی	b æ l uː t͡ʃ iː
بلژیک	b e l ʒ i k
بلیت	b e l iː t
بلیت	b ɪ l iː t
بنگال	b e ŋ ɡ ɒː l
بنگال	b æ ŋ ɡ ɒː l
بنگاله	b e ŋ ɡ ɒː l e
بنگاله	b æ ŋ ɡ ɒː l e
بنگلادش	b æ ŋ ɡ e l ɒː d̪ e ʃ
بنیادگرا	b o n j ɒː d̪ ɡʲ æ ɾ ɒː
بنیادگرایی	b o n j ɒː d̪ ɡʲ æ ɾ ɒː j iː
بنیادی	b o n j ɒː d̪ iː
بنیامین	b e n j ɒː m i n
بنیامین	b e n j ɒː m iː n
بهداد	b e h d ɒː d
بهراد	b e h ɾ ɒː d
بهروز	b e h ɾ uː z
بهزاد	b e h z ɒː d
بهناز	b e h n ɒː z
بهنام	b e h n ɒː m
به‌آفریدی	b e h ɒː f æ ɾ iː d̪ iː
بوته	b uː tʰ e
بود	b uː d̪
بور	b oː ɾ
بور	b uː ɾ
بوروندی	b uː ɾ uː n d iː
بورکینافاسو	b uː ɾ k iː n ɒː f ɒː s o
بوقلمون	b uː ɣ æ l æ m uː n
بوم	b uː m
بومی	b uː m iː
بیدار	b iː d̪ ɒː ɾ
بیرجند	b iː ɾ d͡ʒ æː n d̪
بیروت	b e j ɾ uː t̪
بیستم	b iː s t̪ʰ o m
بیشترین	b iː ʃ t̪ʰ æ ɾ iː n
بیضه	b e i̯ z e
بیضه	b æ i̯ z e
بینش	b iː n e ʃ
بیهوده	b eː h uː d̪ æ
بیهوده	b iː h uː d̪ e
بی‌باک	b eː b ɒː k
بی‌باک	b eː b ɔː k
بی‌باک	b iː b ɒː k
بی‌ستاره	b iː s e t̪ʰ ɒː ɾ e
بی‌صدا	b eː s æ d ɒː
بی‌صدا	b iː s e d ɒː
تاب	t̪ʰ ɒː b
تابستانی	tʰ ɒː b e s tʰ ɒː n iː
تاجبخش	t̪ʰ ɒː d͡ʒ b æ x ʃ
تاجیکی	tʰ ɒː d ʒ iː kʲ iː
تاختن	t ɒː x t æ n
تار	tʰ ɒː ɾ
تاریخدان	t̪ʰ ɒː ɾ iː x d̪ ɒ n
تاریخدان	t̪ʰ ɒː ɾ iː x d̪ ɒː n
تاریک	tʰ ɒː ɾ iː k
تازه‌کار	t̪ʰ ɒː z e kʰ ɒː ɾ
تازی	t̪ʰ ɒː z iː
تازیک	t̪ʰ ɒː z iː kʲ
تاشکند	t̪ʰ ɒː ʃ kʲ æ n d̪
تافتن	t ɒː f t æ n
تانزانیا	t ɒː n z ɒː n j ɒː
تاوستن	t ɒː v e s t̪ʰ æ n
تاپه	tʰ ɒ p p a
تایوان	t̪ʰ ɒ j v ɒ n
تایید	tʰ æː iː d
تبریز	t̪ʰ æ b ɾ iː z
تجدید	t̪ʰ æ ʒ d̪ iː d̪
تحلیلگر	tʰ æ h l iː l ɡʲ æ ɾ
تخت‌روانچی	tʰ æ x tʰ e ɾ æ v ɒ n t͡ʃʰ i
تخس	t o x s
تر	t æ ɾ
ترابری	tʰ æ ɾ ɒː b æ ɾ iː
ترابی	t̪ʰ o ɾ ɒː b iː
تراشیدن	t̪ʰ æ ɾ ɒː ʃ iː d̪ æ n
ترانه	t̪ʰ æ ɾ ɒː n e
ترتیب	t̪ʰ æ ɾ t̪ʰ iː b
ترسا	tʰ æ ɾ s ɒː
ترف	t̪ʰ æ ɾ f
ترکمنستان	t̪ʰ o ɾ kʲ æ m æ n e s t̪ʰ ɒ n
ترکمنستان	t̪ʰ o ɾ kʲ æ m æ n e s t̪ʰ ɒː n
ترکی	t̪ʰ o ɾ kʲ iː
ترکیدن	tʰ e ɾ e kʲ iː d æ n
ترکیدن	tʰ e ɾ kʲ iː d æ n
ترکیدن	tʰ æ ɾ kʲ iː d æ n
ترکیدن	tʰ æ ɾ æ kʲ iː d æ n
ترکیه	t̪ʰ o ɾ kʲ i j e
ترین	t̪ æ ɾ i n
ترین	t̪ æ ɾ iː n
تسبیح	t æ s b iː h
تشک	tʰ o ʃ æ k
تشکیل	t̪ʰ æ ʃ kʲ iː l
تشی	t æ ʃ iː
تصحیح	tʰ æː s iː
تصحیح	tʰ æː s iː h
تعرفه	tʰ æː ɾ e f e
تعلیم	t æ ʔ l iː m
تعلیم	t æː l iː m
تغار	t̪ʰ æ ɣ ɒː ɾ
تغییر	tʰ æː ɣ iː ɾ
تغییرات	tʰ æː ɣ iː ɾ ɒː t
تفسیدن	t æ f s i d æ n
تفضلی	tʰ æ f æ zː o l iː
تقوایی	tʰ æ ɣ v ɒː iː
تقیه	tʰ æ ɣ i j e
تلمود	t̪ʰ æ l m uː d̪
تماشا	t̪ʰ æ m ɒː ʃ ɒː
تمایل	tʰ æ m ɒː j o l
تمب	tʰ o m b
تمبک	tʰ o m b æ kʲ
تمرین	t̪ʰ æ m ɾ iː n
تمشک	tʰ æ m e ʃ k
تمشک‌ها	tʰ æ m e ʃ k h ɒː
تمیز	t̪ʰ æ m iː z
تناسلی	t̪ʰ æ n ɒː s o l iː
تنبسه	tʰ æ n b æ s e
تنبل	tʰ æ m b æ l
تنبک	tʰ o m b æ kʲ
تند	t o n d
تندپز	t o n d p æ z
تنفس	t̪ʰ æ n æ f f o s
تنگه	t̪ʰ æ ŋ ɡ e
تنیدن	tʰ æ n iː d æ n
تهدید	t̪ʰ æ h d̪ iː d̪
تهرانجلس	tʰ e h ɾ ɒ n d͡ʒ e l e s
تهرون	tʰ e h ɾ uː n
تهرون	tʰ eː ɾ uː n
تهرونی	t̪ʰ e h ɾ uː n iː
تو	tʰ o
توانستن	t̪ʰ uː n e s t̪ʰ æ n
توانستن	t̪ʰ uː n e sː æ n
توانستن	t̪ʰ æ v ɒː n e s t̪ʰ æ n
توبره	t oː b ɾ æ
توبره	t uː b ɾ e
توجیه	t o ʊ d͡ʒ iː h
توزیع	tʰ oː z iː
توسکا	tʰ u s kʰ ɒ
توسی	tʰ uː s iː
توصیف	t̪ʰ o s iː f
توصیف	t̪ʰ o ʊ s iː f
تونس	t uː n e s
توهم	t̪ʰ æ v æ hː o m
توژ	t uː ʒ
توگو	t oː ɡ oː
تپه	tʰ æ p pʰ e
تکاپو	tʰ æ kʰ ɒː pʰ uː
تکرار	tʰ e k ɾ ɒː ɾ
تکنولوژی	t̪ʰ e kʰ n o l o ʒ iː
تکه	t e k k e
تکواندو	t̪ʰ e k v ɒ n d̪ o
تکوک	tʰ æ kʰ uː k
تکیه‌گاه	t̪ʰ e kʲ ɪ j e ɡ ɒː h
تک‌شاخ	t̪ʰ æ k ʃ ɒː x
تیر	tʰ iː ɾ
تیرگی	t̪ʰ iː ɾ e ɡʲ iː
تیرگی	t̪ʰ iː ɾ ə ɡʲ iː
تیمچه	t̪ʰ iː m t͡ʃ e
ثابتی	s ɒː b e tʰ i
ثریا	s o ɾ æ j j ɒː
جابر	d͡ʒ ɒː b e ɾ
جاده	d͡ʒ ɒː d̪ d̪ e
جاده	d͡ʒ ɒː d̪ e
جالب	d ʒ ɒː l e b
جانباز	d͡ʒ ɒː m b ɒː z
جاندار	d ʒ ɒː n d̪ ɒː ɾ
جانماز	d͡ʒ ɒː n æ m ɒː z
جاهل	d͡ʒ ɒː h e l
جثه	d͡ʒ o s s e
جستجوها	d ʒ o s tʰ o d ʒ uː h ɒː
جعفر	d͡ʒ æ ʔ f æ r
جعفر	d͡ʒ æː f æ r
جعفری	d͡ʒ æː f æ ɾ i
جغد	d͡ʒ o ɣ d̪
جغه	d͡ʒ e ɣ ɣ e
جفت	d ʒ o f t̪ʰ
جقه	d͡ʒ e ɣ ɣ e
جلاد	d͡ʒ æ lː ɑː d
جلوه	d͡ʒ e l v e
جم	d͡ʒ æ m
جمع	d͡ʒ æː m ʔ
جنبش	d ʒ o n b e ʃ
جنبیدن	d ʒ o m b i d æ n
جنسی	d ʒ e n s iː
جنوبگان	d͡ʒ o n uː b e ɡ ɒː n
جنگ	d ʒ æ ŋ ɡ
جنگجو	d ʒ æ ŋ d ʒ uː
جهاد	d ʒ æ h ɒː d
جهانگیر	d͡ʒ æ h ɒ ŋ ɡʲ iː ɾ
جهانگیری	d͡ʒ æ h ɒ ŋ ɡʲ iː ɾ iː
جهانی	d ʒ æ h ɒː n iː
جهود	d͡ʒ ʊ h uː d
جوجه	d͡ʒ uː d͡ʒ e
جودو	d͡ʒ o d̪ o
جوراب	d͡ʒ uː ɾ ɒː b
جوراب	d͡ʒ ʊ ɾ ɒː b
جوزف	d ʒ o z e f
جوشاندن	d ʒ uː ʃ uː n d æ n
جوشاندن	d ʒ uː ʃ ɒː n d æ n
جوشوندن	d ʒ uː ʃ uː n d æ n
جوغن	d ʒ u ɣ æ n
جگر	d ʒ e ɡʲ æ ɾ
جگر	d ʒ ɪ ɡʲ æ ɾ
جگوار	d ʒ æ ɡ v ɒː ɾ
جیبوتی	d͡ʒ iː b uː t iː
جیجه	d ʒ iː d ʒ e
حالی	h ɒː l eː
حامد	h ɒː m e d
حتی	h æ t̪ʰː ɒː
حجتی	h o d͡ʒː æ tʰ iː
حرف	h e ɾ æ f
حسب‌حال	h æ s b e h ɒː l
حسین	h o s e i̯ n
حشره	h æ ʃ æ ɾ e
حشفه	h æ ʃ f e
حقوق	h o ɣ u ɢ
حقوق	h oː ɢ
حقیقی	h æ ɣ iː ɣ iː
حمید	h æ m iː d
حیف	h e i̯ f
حیف	h æ i̯ f
خائن	x ɒː ʔ e n
خارجی	x ɒː ɾ e d ʒ iː
خال‌کوبی	x ɒː l kʰ uː b iː
خال‌کوبی‌ها	x ɒː l kʰ uː b iː h ɒː
خانم	x ɒː n ʊ m
خانواده‌ها	x u n e v ɒː d̪ e ɒː
خانواده‌ها	x ɒ n e v ɒː d̪ e h ɒː
خایه	x ɒː j e
خایه‌ها	x ɒː j e h ɒː
خبرنگار	x æ b æ ɾ n e ɡ ɒː ɾ
خداحافظ	x o d̪ ɒː f e z
خداحافظت	x o d̪ ɒː h ɒː f e z e t
خدافظ	x o d̪ ɒː f e z
خداوند	x o d ɒː v æ n d
خدایان	x o d ɒː j ɒː n
خدایی	x o d̪ ɒː j iː
خراشیدن	x æ ɾ ɒː ʃ iː d æ n
خرداد	x u ɾ d̪ ɒː d̪
خرسند	x o ɾ s æ n d̪
خرفت	x e ɾ eː f t̪ʰ
خزاعی	x æ z ɒː ʔ iː
خستن	x æ s t æ n
خسیس	x æ s iː s
خصوص	x o s uː s
خطرناک	x æ tʰ æ ɾ n ɒː kʰ
خفاش	x o fː ɒː ʃ
خفتن	x o f t̪ʰ æ n
خمیده	x æ m iː d e
خمیدگی	x æ m iː d e ɡʲ iː
خمیر	x æ m iː ɾ
خندسن	x æ n d e s æ n
خندسن	x æ n d s æ n
خندیدن	x æ n d̪ iː d̪ æ n
خنک	x o n æ kʲ
خو	x o ʊ
خو	x æ v
خوابیدن	x ɒː b i d æ n
خواجه‌امیری	x ɒː d͡ʒ e æ m iː ɾ i
خواستار	x ɒː s t̪ʰ ɒː ɾ
خواهرانه	x ɒː h æ ɾ uː n e
خواهرانه	x ɒː h æ ɾ ɒː n e
خودکار	x o d̪ kʰ ɒː ɾ
خوردن	x o ɾ d̪ æ n
خوروندن	x o ɾ uː n d æ n
خوزستان	x uː z e s tʰ ɒ n
خوسیدن	x o w s iː d æ n
خوش‌مزه	x o ʃ m æ z e
خوش‌نمک	x o ʃ n æ m æ kʲ
خونه	x uː n e
خونیرث	x uː n iː ɾ æ s
خونیرث	xʷ a n iː ɾ a θ
خوی	x e j
خوی	x o j
خوید	x iː d
خوید	xʷ eː d
خوید	xʷ eː ð
خیرات	x e j ɾ ɒː tʰ
خین	x iː n
دادا	d ɒː d ɒː
دادن	d̪ ɒː d̪ æ n
دادگر	d̪ ɒː d̪ ɡ æ ɾ
دارنده	d ɒː ɾ æ n d e
دارنده	d ɒː ɾ æ n d æ
داروخانه	d̪ ɒː ɾ uː x ɒː n e
داروغه	d̪ ɒː ɾ uː ɣ e
دارچین	d̪ ɒː ɾ t͡ʃʰ i n
داریوش	d̪ ɒː ɾ j uː ʃ
داستان	d̪ ɒː s t̪ʰ ɒː n
داغون	d ɒː ɣ uː n
دامنه	d̪ ɒː m æ n e
دانشنامه	d̪ ɒː n e ʃ n ɒː m e
دانمارک	d̪ ɒ n m ɒː ɾ k
دانیال	d ɒ n i j ɒː l
دخترباز	d̪ o x t̪ʰ æ ɾ b ɒː z
دخدر	d o x d e ɾ
در	d a
دربین	d o ɾ b iː n
درخواست	d̪ æ ɾ x ɒː s t̪ʰ
درست	d o ɾ o s t
درونه	d æ ɾ oː n æ
درونه	d ʊ ɾ oː n æ
درونه	d ʊ ɾ uː n e
درویدن	d e ɾ æ v iː d æ n
درگاه	d æ ɾ ɡ ɒː h
دری	d̪ æ ɾ iː
دریا	d e ɾ j ɒː
دریاچه	d æ ɾ j ɒː t ʃʰ e
دزدیدن	d o z d iː d æ n
دزدیدن	d o zː iː d æ n
دستگاه	d æ s t ɡ ɒː h
دشمن	d o ʃ m æ n
دشوارتر	d̪ o ʃ v ɒː ɾ t̪ʰ æ ɾ
دشوارترین	d̪ o ʃ v ɒː ɾ t̪ʰ æ ɾ iː n
دعوت	d æ ʔ v æ t
دعوت	d æː v æ t
دغد	d o ɣ d̪
دقه	d æ ɣ e
دقیقه	d a q a
دقیقه	d e j ɣ e
دلتنگ	d̪ e l t̪ʰ æ ŋ ɡ
دلدار	d e l d ɒː ɾ
دلسوز	d̪ e l s uː z
دلسوز	d̪ ɪ l s oː z
دلفریب	d̪ e l f æ ɾ iː b
دلم	d o l o m
دلگیرتر	d e l ɡʲ iː ɾ tʰ æ ɾ
دلگیرترین	d e l ɡʲ iː ɾ tʰ æ ɾ iː n
دلیجان	d̪ e l iː d͡ʒ ɒː n
دلیل	d æ l iː l
دل‌شکن	d e l ʃ e k æ n
دماغ	d̪ i m ɒː ɣ
دماوند	d̪ æ m ɒː v æ n d̪
دمشق	d̪ æ m e ʃ ɣ
دنبال	d̪ o m b ɒː l
دهانی	d æ h ɒː n iː
دهن	d̪ æ h æ n
دوازده	d u v ɔː z d a h
دوازده	d u w ɑː z d a h
دوازده	d æ v ɒː z d æ h
دوازده	d ʊ w ɒː z d a h
دوانی	d̪ æ v ɒː n iː
دوستانه	d uː s tʰ uː n e
دوستانه	d uː s tʰ ɒː n e
دوش	d uː ʃ
دوشنبه	d̪ o ʃ æ m b e
دونات	dʰ o n ɒː tʰ
دونستن	d uː n e s tʰ æ n
دونستن	d uː n e sː æ n
دونسن	d uː n e sː æ n
دوچرخه	d̪ o t ʃʰ æ ɾ x e
دویی	d̪ o iː
دژاوو	d e ʒ ɒː v uː
دژند	d̪ æ ʒ æ n d̪
دژها	d e ʒ h ɒː
دژها	d e ʒ ɒː
دگرجنس‌گرا	d e ɡʲ æ ɾ d ʒ e n s ɡʲ e ɾ ɒː
دگرگونی	d̪ e ɡʲ æ ɾ ɡ uː n iː
دی	d e j
دیدگاه	d̪ iː d̪ ɡ ɒː h
دیزی	d̪ iː z iː
دینار	d eː n ɑː ɾ
دینار	d iː n ɑː ɾ
دیوید	d e i̯ v i d
ذکر	z æ kʲ æ ɾ
را	a
را	o
را	ɾ a
را	ɾ o
راجستانی	r ɒː d͡ʒ æ s tʰ ɒː n iː
راس	r ɒ s
راست	r ɒː s tʰ
رامین	r ɒː m iː n
ران	r ɒ n
ران	r ɒː n
