ali	a l i
mesti	m ɛ̀ː s t i
met	m ɛ́ t
metla	m ɛ̀ː t l a
mezeg	m ə z ə́ k
mezeg	m ə̀ z ə k
meč	m ɛ́ t͡ʃ
modrejši	m ɔ d r ɛ́ː j ʃ i
mohar	m ɔ̀ː x a r
molsti	m ɔ̀ː ʋ s t i
morski	m ɔ̀ː r s k i
moči	m ɔ̀ː t͡ʃ i
mošeja	m ɔ ʃ ɛ́ː j a
moški	m ɔ̀ː ʃ k i
mošt	m ɔ́ ʃ t
mrkev	m ə̀ r k ə ʋ
mrkva	m ə̀ r k ʋ a
mrtev	m ə̀ r t ə ʋ
muzej	m u z ɛ́ː j
na	n a
nad	n a t
naenkrat	n a ɛ̀ː n k r a t
nasmeh	n a s m ɛ́ x
načelo	n a t͡ʃ ɛ̀ː l ɔ
načrt	n a t͡ʃ ə́ r t
ne	n ɛ
ne	n ɛ́
nedovršen	n ɛ́ d ɔ ʋ ə́ r ʃ ə n
nesti	n ɛ̀ː s t i
nihče	n i x t͡ʃ ɛ́
njegov	n j ɛ ɡ ɔ̀ː ʋ
njegov	n j ɛ ɡ ɔ́ ʋ
nlp	n ə l ə p ə́
noga	n ɔ̀ː ɡ a
nogomet	n ɔ ɡ ɔ m ɛ́ t
noj	n ɔ́ j
nor	n ɔ́ r
nov	n ɔ́ ʋ
november	n ɔ ʋ ɛ̀ː m b ə r
nož	n ɔ́ ʃ
o	ɔ
obed	ɔ b ɛ́ t
objem	ɔ b j ɛ́ m
oblikosloven	ɔ b l i k ɔ s l ɔ́ː ʋ ə n
oblikoslovje	ɔ b l i k ɔ s l ɔ́ː ʋ j ɛ
obrv	ɔ b ə́ r ʋ
od	ɔ t
odeja	ɔ d ɛ́ː j a
odgovor	ɔ d ɡ ɔ́ː ʋ ɔ r
odnos	ɔ d n ɔ́ s
odprt	ɔ t p ə́ r t
ogenj	ɔ̀ː ɡ ə n
okno	ɔ̀ː k n ɔ
on	ɔ́ n
ona	ɔ̀ː n a
one	ɔ̀ː n ɛ
oni	ɔ̀ː n i
ono	ɔ̀ː n ɔ
oreh	ɔ̀ː r ɛ x
orel	ɔ̀ː r ə ʋ
orhideja	ɔ r x i d ɛ́ː j a
osa	ɔ̀ː s a
osel	ɔ̀ː s ə ʋ
osnoven	ɔ s n ɔ́ː ʋ ə n
osnovnejši	ɔ s n ɔ́ː ʋ n ɛ j ʃ i
otok	ɔ̀ː t ɔ k
otrok	ɔ t r ɔ́ k
otroče	ɔ t r ɔ t͡ʃ ɛ́
otrpniti	ɔ t ə̀ r p n i t i
ovca	ɔ̀ː ʋ t͡s a
oven	ɔ̀ː ʋ ə n
oves	ɔ̀ː ʋ ə s
oče	ɔ̀ː t͡ʃ ɛ
pa	p a
pekel	p ə k ə́ ʋ
pekel	p ə̀ k ə ʋ
perverzija	p ɛ r ʋ ɛ̀ː r z i j a
pes	p ə́ s
peta	p ɛ̀ː t a
petelin	p ɛ t ɛ̀ː l i n
peti	p ɛ̀ː t i
peči	p ɛ̀ː t͡ʃ i
plesti	p l ɛ̀ː s t i
po	p ɔ
pod	p ɔ́ t
podel	p ɔ̀ː d ə ʋ
podkev	p ɔ̀ː t k ə ʋ
podla	p ɔ̀ː d l a
podlejši	p ɔ̀ː d l ɛ j ʃ i
pogoj	p ɔ ɡ ɔ́ j
pogoltniti	p ɔ ɡ ɔ̀ː ʋ t n i t i
pogovor	p ɔ ɡ ɔ́ː ʋ ɔ r
pogovoren	p ɔ ɡ ɔ́ː ʋ ɔ r ə n
pokol	p ɔ k ɔ́ l
pokop	p ɔ k ɔ́ p
pokrov	p ɔ k r ɔ́ ʋ
poldan	p ɔ́ː ʋ d a n
polh	p ɔ̀ː ʋ x
polh	p ɔ́ː ʋ x
polkovnica	p ɔ l k ɔ́ː ʋ n i t͡s a
poln	p ɔ́ː ʋ n
polnejši	p ɔ̀ː ʋ n ɛ j ʃ i
polnoč	p ɔ́ː ʋ n ɔ t͡ʃ
polotok	p ɔ l ɔ t ɔ́ k
polž	p ɔ̀ː ʋ ʃ
polž	p ɔ́ː ʋ ʃ
pomen	p ɔ m ɛ́ n
pomenoslovje	p ɔ m ɛ n ɔ s l ɔ́ː ʋ j ɛ
ponos	p ɔ n ɔ́ s
poper	p ɔ̀ː p ə r
popoldan	p ɔ p ɔ́ː ʋ d a n
popolnoma	p ɔ p ɔ́ː ʋ n ɔ m a
por	p ɔ́ r
porod	p ɔ r ɔ́ t
porod	p ɔ̀ː r ɔ t
poročen	p ɔ r ɔ t͡ʃ ɛ́ n
posel	p ɔ̀ː s ə ʋ
posodobiti	p ɔ s ɔ d ɔ̀ː b i t i
posodobiti	p ɔ s ɔ d ɔ́ː b i t i
post	p ɔ́ s t
postrv	p ɔ s t ə́ r ʋ
potem	p ɔ t ɛ́ m
potok	p ɔ̀ː t ɔ k
potres	p ɔ t r ɛ́ s
pozen	p ɔ̀ː z ə n
pozno	p ɔ̀ː z n ɔ
počasneje	p ɔ t͡ʃ a s n ɛ́ː j ɛ
prase	p r a s ɛ́
pred	p r ɛ t
predlog	p r ɛ̀ː d l ɔ k
predmet	p r ɛ̀ː d m ɛ t
predpreteklik	p r ɛ́ t p r ɛ t ɛ̀ː k l i k
preja	p r ɛ̀ː j a
preja	p r ɛ́ː j a
presti	p r ɛ̀ː s t i
prestol	p r ɛ̀ː s t ɔ l
preteklik	p r ɛ t ɛ̀ː k l i k
prevesti	p r ɛ ʋ ɛ̀ː s t i
prevod	p r ɛ ʋ ɔ́ t
prevod	p r ɛ̀ː ʋ ɔ t
prga	p ə̀ r ɡ a
prha	p ə̀ r x a
pri	p r i
prislov	p r i s l ɔ́ ʋ
prisotnost	p r i s ɔ̀ː t n ɔ s t
prost	p r ɔ́ s t
prostor	p r ɔ̀ː s t ɔ r
prst	p ə́ r s t
prstan	p ə̀ r s t a n
prstanec	p ə̀ r s t a n ə t͡s
prt	p ə́ r t
prvi	p ə́ r ʋ i
prvoten	p ə r ʋ ɔ̀ː t ə n
pustejši	p u s t ɛ́ː j ʃ i
ramovš	r a m ɔ́ː ʋ ʃ
razgovor	r a z ɡ ɔ́ː ʋ ɔ r
razpelo	r a s p ɛ̀ː l ɔ
razvoj	r a z ʋ ɔ́ j
rdeč	ə r d ɛ́ t͡ʃ
rebro	r ɛ̀ː b r ɔ
redkejši	r ɛ t k ɛ́ː j ʃ i
redkev	r ɛ̀ː t k ə ʋ
rek	r ɛ́ k
rep	r ɛ́ p
reči	r ɛ̀ː t͡ʃ i
rešeto	r ɛ ʃ ɛ̀ː t ɔ
rojen	r ɔ̀ː j ɛ n
rojstvo	r ɔ̀ː j s t ʋ ɔ
roka	r ɔ̀ː k a
rokomet	r ɔ k ɔ m ɛ́ t
rosa	r ɔ̀ː s a
rovka	r ɔ́ː ʋ k a
rumen	r u m ɛ́ n
rž	ə́ r ʃ
s	s
samomor	s a m ɔ m ɔ́ r
samota	s a m ɔ̀ː t a
sanskrt	s a n s k ə́ r t
se	s ɛ
sedlo	s ɛ̀ː d l ɔ
sel	s ə́ l
sel	s ə́ ʋ
sem	s ə́ m
semenovod	s ɛ m ɛ n ɔ ʋ ɔ́ t
senožet	s ɛ n ɔ̀ː ʒ ɛ t
september	s ɛ p t ɛ̀ː m b ə r
sestra	s ɛ̀ː s t r a
si	s i
sklon	s k l ɔ́ n
skoraj	s k ɔ̀ː r a j
skoraj	s k ɔ́ː r a j
skromen	s k r ɔ̀ː m ə n
skromnejši	s k r ɔ̀ː m n ɛ j ʃ i
sladejši	s l a d ɛ́ː j ʃ i
slon	s l ɔ́ n
slonica	s l ɔ̀ː n i t͡s a
slop	s l ɔ́ p
slovnica	s l ɔ́ː ʋ n i t͡s a
slovničen	s l ɔ́ː ʋ n i t͡ʃ ə n
smo	s m ɔ́
smola	s m ɔ̀ː l a
smrt	s m ə́ r t
smrtonosen	s m ə r t ɔ n ɔ̀ː s ə n
so	s ɔ́
soba	s ɔ̀ː b a
sodoben	s ɔ d ɔ̀ː b ə n
sodobnejši	s ɔ d ɔ̀ː b n ɛ j ʃ i
sokol	s ɔ̀ː k ɔ l
solza	s ɔ̀ː ʋ z a
sorojenec	s ɔ́ r ɔ j ɛ̀ː n ə t͡s
sosed	s ɔ̀ː s ɛ t
sova	s ɔ̀ː ʋ a
spam	s p ɛ́ː m
spem	s p ɛ́ː m
sperma	s p ɛ́ː r m a
splošen	s p l ɔ̀ː ʃ ə n
splošnejši	s p l ɔ̀ː ʃ n ɛ j ʃ i
spodaj	s p ɔ̀ː d a j
spol	s p ɔ́ l
srb	s ə́ r p
srbija	s ə́ r b i j a
srbkinja	s ə́ r p k i n j a
srbski	s ə́ r p s k i
srbščina	s ə́ r p ʃ t͡ʃ i n a
srebrn	s r ɛ b ə́ r n
srednjevaloven	s r ɛ d n j ɛ ʋ a l ɔ́ː ʋ ə n
srečneje	s r ɛ t͡ʃ n ɛ́ː j ɛ
srečnejše	s r ɛ t͡ʃ n ɛ́ː j ʃ ɛ
srečnejši	s r ɛ t͡ʃ n ɛ́ː j ʃ i
srna	s ə̀ r n a
srp	s ə́ r p
sršen	s ə r ʃ ɛ́ n
sršen	s ə̀ r ʃ ɛ n
starejši	s t a r ɛ́ː j ʃ i
ste	s t ɛ́
stegno	s t ɛ̀ː ɡ n ɔ
steklo	s t ɛ̀ː k l ɔ
stetoskop	s t ɛ t ɔ s k ɔ́ p
steza	s t ə̀ z a
stol	s t ɔ́ ʋ
stolp	s t ɔ́ l p
stožec	s t ɔ̀ː ʒ ə t͡s
strgati	s t ə̀ r ɡ a t i
stroj	s t r ɔ́ j
strojen	s t r ɔ́ː j ə n
strop	s t r ɔ́ p
svet	s ʋ ɛ́ t
svetel	s ʋ ə̀ t ə ʋ
svetel	s ʋ ɛ̀ː t ə ʋ
svetloba	s ʋ ɛ t l ɔ̀ː b a
sviloprejka	s ʋ i l ɔ p r ɛ́ː j k a
svoboda	s ʋ ɔ b ɔ̀ː d a
svoboden	s ʋ ɔ b ɔ̀ː d ə n
svobodnejši	s ʋ ɔ b ɔ̀ː d n ɛ j ʃ i
takoj	t a k ɔ́ j
tele	t ɛ̀ː l ɛ
temen	t ə m ə́ n
temen	t ə̀ m ə n
tempelj	t ɛ̀ː m p ə l
tepsti	t ɛ̀ː p s t i
terbij	t ɛ̀ː r b i j
tesen	t ɛ̀ː s ə n
teta	t ɛ̀ː t a
teči	t ɛ̀ː t͡ʃ i
težek	t ɛ̀ː ʒ ə k
tipkovnica	t i p k ɔ́ː ʋ n i t͡s a
toda	t ɔ d a
tok	t ɔ́ k
tolpa	t ɔ̀ː l p a
tolči	t ɔ̀ː ʋ t͡ʃ i
top	t ɔ́ p
topel	t ɔ̀ː p ə ʋ
toplota	t ɔ p l ɔ̀ː t a
topol	t ɔ̀ː p ɔ l
torek	t ɔ̀ː r ə k
trd	t ə́ r t
trener	t r ɛ n ɛ́ː r
trg	t ə́ r k
trgati	t ə̀ r ɡ a t i
trska	t ə̀ r s k a
trst	t ə́ r s t
trši	t ə́ r ʃ i
tudi	t u d i
turoben	t u r ɔ̀ː b ə n
ulic	u l i t s
ulice	u l i t͡s ɛ
ulici	u l i t͡s i
ulico	u l i t͡s ɔ
umor	u m ɔ́ r
univerza	u n i ʋ ɛ́ː r z a
upor	u p ɔ́ r
urok	u r ɔ́ k
uspeh	u s p ɛ́ x
uvel	u ʋ ɛ́ ʋ
učenec	u t͡ʃ ɛ̀ː n ə t͡s
v	ʋ
vdova	ʋ d ɔ́ː ʋ a
vedro	ʋ ɛ̀ː d r ɔ
veja	ʋ ɛ́ː j a
vejati	ʋ ɛ́ː j a t i
vejica	ʋ ɛ́ː j i t͡s a
velik	ʋ ɛ̀ː l i k
vendar	ʋ ə̀ n d a r
vendar	ʋ ə́ n d a r
ves	ʋ ə́ s
veselje	ʋ ɛ s ɛ̀ː l j ɛ
vesti	ʋ ɛ̀ː s t i
več	ʋ ɛ́ t͡ʃ
vhod	ʋ x ɔ́ t
visok	ʋ i s ɔ́ k
vltava	ʋ ə́ l t a ʋ a
voda	ʋ ɔ̀ː d a
vojna	ʋ ɔ̀ː j n a
vojska	ʋ ɔ̀ː j s k a
vol	ʋ ɔ́ ʋ
volga	ʋ ɔ̀ː ʋ ɡ a
volk	ʋ ɔ́ː ʋ k
volna	ʋ ɔ̀ː ʋ n a
vovk	ʋ ɔ́ː ʋ k
vozel	ʋ ɔ̀ː z ə ʋ
vožnja	ʋ ɔ̀ː ʒ n j a
vrba	ʋ ə̀ r b a
vreme	ʋ r ɛ̀ː m ɛ
vretence	ʋ r ɛ t ɛ̀ː n t͡s ɛ
vroč	ʋ r ɔ́ t͡ʃ
vrst	ʋ ə́ r s t
vrsta	ʋ ə̀ r s t a
vrsten	ʋ ə́ r s t ə n
vrstnost	ʋ ə́ r s t n ɔ s t
vrt	ʋ ə́ r t
vrtnica	ʋ ə́ r t n i t͡s a
vrč	ʋ ə́ r t͡ʃ
vrša	ʋ ə̀ r ʃ a
vzhod	ʋ z x ɔ́ t
vzpon	ʋ s p ɔ́ n
z	s
za	z a
zahod	z a x ɔ́ t
zapor	z a p ɔ́ r
zel	z ə́ ʋ
zelen	z ɛ l ɛ́ n
zelena	z ɛ́ː l ɛ n a
zemlja	z ɛ̀ː m l j a
zet	z ɛ́ t
zgoraj	z ɡ ɔ̀ː r a j
zgrešiti	z ɡ r ɛ̀ː ʃ i t i
zlo	z l ɔ́
zlog	z l ɔ́ k
znoj	z n ɔ́ j
zora	z ɔ̀ː r a
zrel	z r ɛ́ ʋ
zrelejši	z r ɛ l ɛ́ː j ʃ i
zrklo	z ə̀ r k l ɔ
zssr	z ə s ə s ə r ə́
zvonec	z ʋ ɔ̀ː n ə t͡s
č	t͡ʃ
čarovnica	t͡ʃ a r ɔ́ː ʋ n i t͡s a
čarovnik	t͡ʃ a r ɔ́ː ʋ n i k
če	t͡ʃ ɛ
čelo	t͡ʃ ɛ̀ː l ɔ
česen	t͡ʃ ɛ̀ː s ə n
četrtek	t͡ʃ ɛ t ə̀ r t ə k
čistota	t͡ʃ i s t ɔ̀ː t a
človek	t͡ʃ l ɔ̀ː ʋ ɛ k
čmrlj	t͡ʃ m ə̀ r l
čoln	t͡ʃ ɔ́ː ʋ n
čopič	t͡ʃ ɔ́ː p i t͡ʃ
črka	t͡ʃ ə̀ r k a
črn	t͡ʃ ə̀ r n
črv	t͡ʃ ə́ r ʋ
šahovnica	ʃ a x ɔ́ː ʋ n i t͡s a
še	ʃ ɛ
še	ʃ ɛ́
šesti	ʃ ɛ̀ː s t i
širok	ʃ i r ɔ́ k
škof	ʃ k ɔ́ f
škorec	ʃ k ɔ̀ː r ə t͡s
štor	ʃ t ɔ́ r
študent	ʃ t u d ɛ́ n t
ž	ʒ
že	ʒ ɛ
že	ʒ ɛ́
žebelj	ʒ ɛ b ə́ l
žebelj	ʒ ɛ̀ː b ə l
želja	ʒ ɛ̀ː l j a
žena	ʒ ɛ̀ː n a
žep	ʒ ɛ́ p
žepar	ʒ ɛ́ː p a r
življenje	ʒ i ʋ l j ɛ̀ː n j ɛ
žolna	ʒ ɔ̀ː ʋ n a
žolt	ʒ ɔ́ː ʋ t
žolč	ʒ ɔ́ː ʋ t͡ʃ
žolčnik	ʒ ɔ́ː ʋ t͡ʃ n i k
žrebe	ʒ r ɛ b ɛ́
žveplo	ʒ ʋ ɛ̀ː p l ɔ
