ア	a̠
アエロフロート	a̠ e̞ ɾ o̞ ɸ ɯ̟ᵝ ɾ o̞ː t o̞
アオザイ	a̠ o̞ z a̠ i
アカウント	a̠ k a̠ ɯ̟̃ᵝ n t o̞
アカシア	a̠ k a̠ ɕ i a̠
アカデミー	a̠ k a̠ d e̞ mʲ iː
アキュートアクセント	a̠ kʲ ɨᵝː t o̞ a̠ k ɯ̟ᵝ s ẽ̞ n t o̞
アキンボ	a̠ kʲ ĩ m b o̞
アクアウオーキング	a̠ k ɯ̟ᵝ a̠ ɯ̟ᵝ o̞ː kʲ ĩ ŋ ɡ ɯ̟ᵝ
アクアサイズ	a̠ k ɯ̟ᵝ a̠ s a̠ i z ɨᵝ
アクアビクス	a̠ k ɯ̟ᵝ a̠ bʲ i k ɯ̟ᵝ s ɨᵝ
アクアマリン	a̠ k ɯ̟ᵝ a̠ m a̠ ɾʲ ĩ ɴ
アクアリウム	a̠ k ɯ̟ᵝ a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
アクサンテギュ	a̠ k ɯ̟ᵝ s ã̠ n t e̞ ɡʲ ɨᵝ
アクシスジカ	a̠ k ɯ̟ᵝ ɕ i s ɨᵝ ʑ i k a̠
アクシデント	a̠ k ɯ̟̊ᵝ ɕ i d ẽ̞ n t o̞
アクセ	a̠ k ɯ̟ᵝ s e̞
アクセサリー	a̠ k ɯ̟̊ᵝ s e̞ s a̠ ɾʲ iː
アクセスカウンタ	a̠ k ɯ̟ᵝ s e̞ s ɨᵝ k a̠ ɯ̟̃ᵝ n t a̠
アクセスカウンター	a̠ k ɯ̟ᵝ s e̞ s ɨᵝ k a̠ ɯ̟̃ᵝ n t a̠ː
アクセント	a̠ k ɯ̟̊ᵝ s ẽ̞ n t o̞
アクチニウム	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アクチニド	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i d o̞
アクチノイド	a̠ k ɯ̟̊ᵝ t͡ɕ i n o̞ i d o̞
アクメ	a̠ k ɯ̟ᵝ m e̞
アクラ	a̠ k ɯ̟ᵝ ɾ a̠
アクリジン	a̠ k ɯ̟ᵝ ɾʲ i ʑ ĩ ɴ
アクリル	a̠ k ɯ̟ᵝ ɾʲ i ɾ ɯ̟ᵝ
アクロバット	a̠ k ɯ̟ᵝ ɾ o̞ b a̠ t̚ t o̞
アコースティック・ギター	a̠ k o̞ː s ɨ̥ᵝ tʲ i k̚ k ɯ̟ᵝ ɡʲ i t a̠ː
アコーディオン	a̠ k o̞ː dʲ i õ̞ ɴ
アコーデオン	a̠ k o̞ː d e̞ õ̞ ɴ
アシ	a̠ ɕ i
アシガバート	a̠ ɕ i ɡ a̠ b a̠ː t o̞
アシスタント	a̠ ɕ i s ɨ̥ᵝ t ã̠ n t o̞
アシスタントディレクター	a̠ ɕ i s ɨ̥ᵝ t ã̠ n t o̞ dʲ i ɾ e̞ k ɯ̟̊ᵝ t a̠ː
アシル	a̠ ɕ i ɾ ɯ̟ᵝ
アジア	a̠ ʑ i a̠
アジスアベバ	a̠ ʑ i s ɨᵝ a̠ b e̞ b a̠
アジト	a̠ ʑ i t o̞
アスキーアート	a̠ s ɨᵝ kʲ iː a̠ː t o̞
アスタチン	a̠ s ɨᵝ t a̠ t͡ɕ ĩ ɴ
アステカ	a̠ s ɨᵝ t e̞ k a̠
アステリスク	a̠ s ɨ̥ᵝ t e̞ ɾʲ i s ɨ̥ᵝ k ɯ̟ᵝ
アストロターフ	a̠ s ɨᵝ t o̞ ɾ o̞ t a̠ː ɸ ɯ̟ᵝ
アスパラ	a̠ s ɨᵝ p a̠ ɾ a̠
アスパラガス	a̠ s ɨ̥ᵝ p a̠ ɾ a̠ ɡ a̠ s ɨᵝ
アスパラギン	a̠ s ɨᵝ p a̠ ɾ a̠ ɡʲ ĩ ɴ
アスピリン	a̠ s ɨ̥ᵝ pʲ i ɾʲ ĩ ɴ
アスファルト	a̠ s ɨ̥ᵝ ɸ a̠ ɾ ɯ̟ᵝ t o̞
アスベスト	a̠ s ɨᵝ b e̞ s ɨ̥ᵝ t o̞
アスペ	a̠ s ɨᵝ p e̞
アスペルギルス	a̠ s ɨᵝ p e̞ ɾ ɯ̟ᵝ ɡʲ i ɾ ɯ̟ᵝ s ɨᵝ
アスンシオン	a̠ s ɨ̃ᵝ ɰ̃ ɕ i õ̞ ɴ
アズレン	a̠ z ɨᵝ ɾ ẽ̞ ɴ
アセチレン	a̠ s e̞ t͡ɕ i ɾ ẽ̞ ɴ
アセティシズム	a̠ s e̞ tʲ i ɕ i z ɨᵝ m ɯ̟ᵝ
アセナフテン	a̠ s e̞ n a̠ ɸ ɯ̟ᵝ t ẽ̞ ɴ
アゼチジン	a̠ z e̞ t͡ɕ i ʑ ĩ ɴ
アゼルバイジャン	a̠ z e̞ ɾ ɯ̟ᵝ b a̠ i ʑ ã̠ ɴ
アソシエーション・フットボール	a̠ s o̞ ɕ i e̞ː ɕ õ̞ ɰ̃ ɸ ɯ̟̊ᵝ t̚ t o̞ b o̞ː ɾ ɯ̟ᵝ
アゾール	a̠ z o̞ː ɾ ɯ̟ᵝ
アタック	a̠ t a̠ k̚ k ɯ̟ᵝ
アタリ	a̠ t a̠ ɾʲ i
アダルティ	a̠ d a̠ ɾ ɯ̟ᵝ tʲ i
アダルティー	a̠ d a̠ ɾ ɯ̟ᵝ tʲ iː
アダルトグッズ	a̠ d a̠ ɾ ɯ̟ᵝ t o̞ ɡ ɯ̟ᵝ d̚ d͡z ɨᵝ
アックス	a̠ k̚ k ɯ̟ᵝ s ɨᵝ
アッシリア	a̠ ɕː i ɾʲ i a̠
アットホーム	a̠ t̚ t o̞ h o̞ː m ɯ̟ᵝ
アッパー	a̠ p̚ p a̠ː
アップ	a̠ p̚ p ɯ̟ᵝ
アップテンポ	a̠ p̚ p ɯ̟ᵝ t ẽ̞ m p o̞
アップライトピアノ	a̠ p̚ p ɯ̟ᵝ ɾ a̠ i t o̞ pʲ i a̠ n o̞
アップル	a̠ p̚ p ɯ̟ᵝ ɾ ɯ̟ᵝ
アップローダー	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d a̠ː
アップロード	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d o̞
アテネ	a̠ t e̞ n e̞
アディスアベバ	a̠ dʲ i s ɨᵝ a̠ b e̞ b a̠
アディダス	a̠ dʲ i d a̠ s ɨᵝ
アデュー	a̠ dʲ ɨᵝː
アトム	a̠ t o̞ m ɯ̟ᵝ
アトリエ	a̠ t o̞ ɾʲ i e̞
アドバイザー	a̠ d o̞ b a̠ i z a̠ː
アドバイス	a̠ d o̞ b a̠ i s ɨ̥ᵝ
アドバルーン	a̠ d o̞ b a̠ ɾ ɯ̟̃ᵝː ɴ
アドベ	a̠ d o̞ b e̞
アドベンチュア	a̠ d o̞ b ẽ̞ ɲ̟ t͡ɕ ɨᵝ a̠
アドリブ	a̠ d o̞ ɾʲ i b ɯ̟ᵝ
アドレナリン	a̠ d o̞ ɾ e̞ n a̠ ɾʲ ĩ ɴ
アナ	a̠ n a̠
アナウンサー	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s a̠ː
アナウンス	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ
アナウンスメント	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ m ẽ̞ n t o̞
アナキスト	a̠ n a̠ kʲ i s ɨ̥ᵝ t o̞
アナキズム	a̠ n a̠ kʲ i z ɨᵝ m ɯ̟ᵝ
アナグラム	a̠ n a̠ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
アナコンダ	a̠ n a̠ k õ̞ n d a̠
アナフィラキシー	a̠ n a̠ ɸʲ i ɾ a̠ kʲ i ɕ iː
アナログ	a̠ n a̠ ɾ o̞ ɡ ɯ̟ᵝ
アナーキスト	a̠ n a̠ː kʲ i s ɨ̥ᵝ t o̞
アナーキズム	a̠ n a̠ː kʲ i z ɨᵝ m ɯ̟ᵝ
アニオン	a̠ ɲ̟ i õ̞ ɴ
アニサキス	a̠ ɲ̟ i s a̠ kʲ i s ɨᵝ
アニメ	a̠ ɲ̟ i m e̞
アニメーション	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɴ
アニメーションスタジオ	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɰ̃ s ɨᵝ t a̠ ʑ i o̞
アノア	a̠ n o̞ a̠
アノラック	a̠ n o̞ ɾ a̠ k̚ k ɯ̟ᵝ
アノード	a̠ n o̞ː d o̞
アバカス	a̠ b a̠ k a̠ s ɨᵝ
アパルトヘイト	a̠ p a̠ ɾ ɯ̟ᵝ t o̞ h e̞ː t o̞
アパート	a̠ p a̠ː t o̞
アビシニアン	a̠ bʲ i ɕ i ɲ̟ i ã̠ ɴ
アピ	a̠ pʲ i
アピア	a̠ pʲ i a̠
アフォ	a̠ ɸ o̞
アフガニスタン	a̠ ɸ ɯ̟ᵝ ɡ a̠ ɲ̟ i s ɨᵝ t ã̠ ɴ
アフガン	a̠ ɸ ɯ̟ᵝ ɡ ã̠ ɴ
アフタヌーンティー	a̠ ɸ ɯ̟ᵝ t a̠ n ɯ̟̃ᵝː n tʲ iː
アフターバーナー	a̠ ɸ ɯ̟̊ᵝ t a̠ː b a̠ː n a̠ː
アフラ・マズダー	a̠ ɸ ɯ̟ᵝ ɾ a̠ m a̠ z ɨᵝ d a̠ː
アフリカ	a̠ ɸ ɯ̟ᵝ ɾʲ i k a̠
アブダビ	a̠ b ɯ̟ᵝ d a̠ bʲ i
アブラムシ	a̠ b ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ ɕ i
アプデ	a̠ p ɯ̟ᵝ d e̞
アプライアンス	a̠ p ɯ̟ᵝ ɾ a̠ i ã̠ ɰ̃ s ɨᵝ
アプリケーション	a̠ p ɯ̟ᵝ ɾʲ i k e̞ː ɕ õ̞ ɴ
アベック	a̠ b e̞ k̚ k ɯ̟ᵝ
アベノミクス	a̠ b e̞ n o̞ mʲ i k ɯ̟ᵝ s ɨᵝ
アホロートル	a̠ h o̞ ɾ o̞ː t o̞ ɾ ɯ̟ᵝ
アボカド	a̠ b o̞ k a̠ d o̞
アポ	a̠ p o̞
アポイントメント	a̠ p o̞ ĩ n t o̞ m ẽ̞ n t o̞
アポストロフィ	a̠ p o̞ s ɨ̥ᵝ t o̞ ɾ o̞ ɸʲ i
アマヌンシス	a̠ m a̠ n ɯ̟̃ᵝ ɰ̃ ɕ i s ɨᵝ
アマビエ	a̠ m a̠ bʲ i e̞
アミジン	a̠ mʲ i ʑ ĩ ɴ
アミノ	a̠ mʲ i n o̞
アミン	a̠ mʲ ĩ ɴ
アムールトラ	a̠ m ɯ̟ᵝː ɾ ɯ̟ᵝ t o̞ ɾ a̠
アメシスト	a̠ m e̞ ɕ i s ɨ̥ᵝ t o̞
アメピン	a̠ m e̞ pʲ ĩ ɴ
アメフト	a̠ m e̞ ɸ ɯ̟̊ᵝ t o̞
アメリカ	a̠ m e̞ ɾʲ i k a̠
アメリカオシ	a̠ m e̞ ɾʲ i k a̠ o̞ ɕ i
アメリカグマ	a̠ m e̞ ɾʲ i k a̠ ɡ ɯ̟ᵝ m a̠
アメリカビーバー	a̠ m e̞ ɾʲ i k a̠ bʲ iː b a̠ː
アメリカン	a̠ m e̞ ɾʲ i k ã̠ ɴ
アメリカンカール	a̠ m e̞ ɾʲ i k ã̠ ŋ k a̠ː ɾ ɯ̟ᵝ
アメリカンドッグ	a̠ m e̞ ɾʲ i k ã̠ n d o̞ ɡ̚ ɡ̊ ɯ̟ᵝ
アメリカンフットボール	a̠ m e̞ ɾʲ i k ã̠ ɰ̃ ɸ ɯ̟̊ᵝ t̚ t o̞ b o̞ː ɾ ɯ̟ᵝ
アメリカンワイヤヘア	a̠ m e̞ ɾʲ i k ã̠ ɰ̃ ɰᵝ a̠ i j a̠ h e̞ a̠
アメリカン・ショートヘア	a̠ m e̞ ɾʲ i k ã̠ ɰ̃ ɕ o̞ː t o̞ h e̞ a̠
アメリシウム	a̠ m e̞ ɾʲ i ɕ i ɯ̟ᵝ m ɯ̟ᵝ
アメージング	a̠ m e̞ː ʑ ĩ ŋ ɡ ɯ̟ᵝ
アメーバ	a̠ m e̞ː b a̠
アモイ	a̠ m o̞ i
アヤトラ	a̠ j a̠ t o̞ ɾ a̠
アラサー	a̠ ɾ a̠ s a̠ː
アラジン	a̠ ɾ a̠ ʑ ĩ ɴ
アラニン	a̠ ɾ a̠ ɲ̟ ĩ ɴ
アラバスター	a̠ ɾ a̠ b a̠ s ɨᵝ t a̠ː
アラフォー	a̠ ɾ a̠ ɸ o̞ː
アリゲーター	a̠ ɾʲ i ɡ e̞ː t a̠ː
アリゾナ	a̠ ɾʲ i z o̞ n a̠
アリツカゲラ	a̠ ɾʲ i t͡s ɨᵝ k a̠ ɡ e̞ ɾ a̠
アリバイ	a̠ ɾʲ i b a̠ i
アリーナフットボール	a̠ ɾʲ iː n a̠ ɸ ɯ̟ᵝ t̚ t o̞ b o̞ː ɾ ɯ̟ᵝ
アルカイック・スマイル	a̠ ɾ ɯ̟ᵝ k a̠ i k̚ k ɯ̟ᵝ s ɨᵝ m a̠ i ɾ ɯ̟ᵝ
アルカン	a̠ ɾ ɯ̟ᵝ k ã̠ ɴ
アルキン	a̠ ɾ ɯ̟ᵝ kʲ ĩ ɴ
アルギニン	a̠ ɾ ɯ̟ᵝ ɡʲ i ɲ̟ ĩ ɴ
アルケン	a̠ ɾ ɯ̟ᵝ k ẽ̞ ɴ
アルケー	a̠ ɾ ɯ̟ᵝ k e̞ː
アルコーブ	a̠ ɾ ɯ̟ᵝ k o̞ː b ɯ̟ᵝ
アルコール	a̠ ɾ ɯ̟ᵝ k o̞ː ɾ ɯ̟ᵝ
アルゴリズム	a̠ ɾ ɯ̟ᵝ ɡ o̞ ɾʲ i z ɨᵝ m ɯ̟ᵝ
アルゴン	a̠ ɾ ɯ̟ᵝ ɡ õ̞ ɴ
アルシン	a̠ ɾ ɯ̟ᵝ ɕ ĩ ɴ
アルジェ	a̠ ɾ ɯ̟ᵝ ʑ e̞
アルジェリア	a̠ ɾ ɯ̟ᵝ ʑ e̞ ɾʲ i a̠
アルゼンチン	a̠ ɾ ɯ̟ᵝ z ẽ̞ ɲ̟ t͡ɕ ĩ ɴ
アルデヒド	a̠ ɾ ɯ̟ᵝ d e̞ ç i d o̞
アルデンテ	a̠ ɾ ɯ̟ᵝ d ẽ̞ n t e̞
アルト	a̠ ɾ ɯ̟ᵝ t o̞
アルトオーボエ	a̠ ɾ ɯ̟ᵝ t o̞ː o̞ b o̞ e̞
アルバ	a̠ ɾ ɯ̟ᵝ b a̠
アルバイト	a̠ ɾ ɯ̟ᵝ b a̠ i t o̞
アルバトロス	a̠ ɾ ɯ̟ᵝ b a̠ t o̞ ɾ o̞ s ɨᵝ
アルバータ	a̠ ɾ ɯ̟ᵝ b a̠ː t a̠
アルパカ	a̠ ɾ ɯ̟ᵝ p a̠ k a̠
アルファ	a̠ ɾ ɯ̟ᵝ ɸ a̠
アルファベット	a̠ ɾ ɯ̟ᵝ ɸ a̠ b e̞ t̚ t o̞
アルブミン	a̠ ɾ ɯ̟ᵝ b ɯ̟ᵝ mʲ ĩ ɴ
アルベド	a̠ ɾ ɯ̟ᵝ b e̞ d o̞
アルペッジョ	a̠ ɾ ɯ̟ᵝ p e̞ d̚ d͡ʑ o̞
アルマジロ	a̠ ɾ ɯ̟ᵝ m a̠ ʑ i ɾ o̞
アルミ	a̠ ɾ ɯ̟ᵝ mʲ i
アルミナ	a̠ ɾ ɯ̟ᵝ mʲ i n a̠
アルミニウム	a̠ ɾ ɯ̟ᵝ mʲ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アルミホイル	a̠ ɾ ɯ̟ᵝ mʲ i h o̞ i ɾ ɯ̟ᵝ
アレイ	a̠ ɾ e̞ː
アレクサ	a̠ ɾ e̞ k ɯ̟ᵝ s a̠
アレクサンドライト	a̠ ɾ e̞ k ɯ̟̊ᵝ s ã̠ n d o̞ ɾ a̠ i t o̞
アレゴリー	a̠ ɾ e̞ ɡ o̞ ɾʲ iː
アレス	a̠ ɾ e̞ s ɨᵝ
アレルギー	a̠ ɾ e̞ ɾ ɯ̟ᵝ ɡʲ iː
アレース	a̠ ɾ e̞ː s ɨᵝ
アロエ	a̠ ɾ o̞ e̞
アンカン	ã̠ ŋ k ã̠ ɴ
アンカー	ã̠ ŋ k a̠ː
アンクレット	ã̠ ŋ k ɯ̟ᵝ ɾ e̞ t̚ t o̞
アングル	ã̠ ŋ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
アンケート	ã̠ ŋ k e̞ː t o̞
アンゲリア	ã̠ ŋ ɡ e̞ ɾʲ i a̠
アンコール	ã̠ ŋ k o̞ː ɾ ɯ̟ᵝ
アンゴラ	ã̠ ŋ ɡ o̞ ɾ a̠
アンサンブル	ã̠ ɰ̃ s ã̠ m b ɯ̟ᵝ ɾ ɯ̟ᵝ
アンジャベル	ã̠ ɲ̟ d͡ʑ a̠ b e̞ ɾ ɯ̟ᵝ
アンダーバー	ã̠ n d a̠ː b a̠ː
アンチスレ	ã̠ ɲ̟ t͡ɕ i s ɨᵝ ɾ e̞
アンチック	ã̠ ɲ̟ t͡ɕ i k̚ k ɯ̟ᵝ
アンチノミー	ã̠ ɲ̟ t͡ɕ i n o̞ mʲ iː
アンチモン	ã̠ ɲ̟ t͡ɕ i m õ̞ ɴ
アンチョビ	ã̠ ɲ̟ t͡ɕ o̞ bʲ i
アンテナ	ã̠ n t e̞ n a̠
アンテロープ	ã̠ n t e̞ ɾ o̞ː p ɯ̟ᵝ
アンデスコンドル	ã̠ n d e̞ s ɨᵝ k õ̞ n d o̞ ɾ ɯ̟ᵝ
アントラセン	ã̠ n t o̞ ɾ a̠ s ẽ̞ ɴ
アンド	ã̠ n d o̞
アンドラ	ã̠ n d o̞ ɾ a̠
アンドロゲン	ã̠ n d o̞ ɾ o̞ ɡ ẽ̞ ɴ
アンニュイ	ã̠ ɲ̟ ɲ̟ ɯ̟ᵝ i
アンニョンハセヨ	ã̠ ɲ̟ ɲ̟ õ̞ ɰ̃ h a̠ s e̞ j o̞
アンプ	ã̠ m p ɯ̟ᵝ
アンプル	ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝ
アンペア	ã̠ m p e̞ a̠
アンマウント	ã̠ mː a̠ ɯ̟̃ᵝ n t o̞
アンマン	ã̠ mː ã̠ ɴ
アンモナイト	ã̠ mː o̞ n a̠ i t o̞
アンラッキー	ã̠ n ɾ a̠ k̚ʲ kʲ iː
アーカイバ	a̠ː k a̠ i b a̠
アーカイバー	a̠ː k a̠ i b a̠ː
アーカイブ	a̠ː k a̠ i b ɯ̟ᵝ
アーカンソー	a̠ː k ã̠ ɰ̃ s o̞ː
アーガイル	a̠ː ɡ a̠ i ɾ ɯ̟ᵝ
アーキビスト	a̠ː kʲ i bʲ i s ɨᵝ t o̞
アーク	a̠ː k ɯ̟ᵝ
アーケード	a̠ː k e̞ː d o̞
アーサー	a̠ː s a̠ː
アース	a̠ː s ɨᵝ
アーチ	a̠ː t͡ɕ i
アーティストインレジデンス	a̠ː tʲ i s ɨᵝ t o̞ ĩ n ɾ e̞ ʑ i d ẽ̞ ɰ̃ s ɨᵝ
アーティチョーク	a̠ː tʲ i̥ t͡ɕ o̞ː k ɯ̟ᵝ
アードウルフ	a̠ː d o̞ ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
アーモンド	a̠ː m õ̞ n d o̞
アール	a̠ː ɾ ɯ̟ᵝ
アールエヌエー	a̠ː ɾ ɯ̟ᵝ e̞ n ɯ̟ᵝ e̞ː
アールヌーボー	a̠ː ɾ ɯ̟ᵝ n ɯ̟ᵝː b o̞ː
アールピージー	a̠ː ɾ ɯ̟ᵝ pʲ iː ʑ iː
イ	i
イェ	j e̞
イエス	i e̞ s ɨᵝ
イエネコ	i e̞ n e̞ k o̞
イエメン	i e̞ m ẽ̞ ɴ
イエライシャン	i e̞ ɾ a̠ i ɕ ã̠ ɴ
イエロー	i e̞ ɾ o̞ː
イオタ	i o̞ t a̠
イオン	i õ̞ ɴ
イギリス	i ɡʲ i ɾʲ i s ɨᵝ
イクメン	i k ɯ̟ᵝ m ẽ̞ ɴ
イクラ	i k ɯ̟ᵝ ɾ a̠
イグアナ	i ɡ ɯ̟ᵝ a̠ n a̠
イグルー	i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː
イケボ	i k e̞ b o̞
イケボイス	i k e̞ b o̞ i s ɨᵝ
イケメンボイス	i k e̞ m ẽ̞ m b o̞ i s ɨᵝ
イコノグラフィー	i k o̞ n o̞ ɡ ɯ̟ᵝ ɾ a̠ ɸʲ iː
イコノロジー	i k o̞ n o̞ ɾ o̞ ʑ iː
イコライザ	i k o̞ ɾ a̠ i z a̠
イスタンブール	i s ɨ̥ᵝ t ã̠ m b ɯ̟ᵝː ɾ ɯ̟ᵝ
イスラエル	i s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
イスラマバード	i s ɨᵝ ɾ a̠ m a̠ b a̠ː d o̞
イスラム	i s ɨᵝ ɾ a̠ m ɯ̟ᵝ
イスラーム	i s ɨᵝ ɾ a̠ː m ɯ̟ᵝ
イズム	i z ɨᵝ m ɯ̟ᵝ
イソシアニド	i s o̞ ɕ i a̠ ɲ̟ i d o̞
イソニトリル	i s o̞ ɲ̟ i t o̞ ɾʲ i ɾ ɯ̟ᵝ
イソロイシン	i s o̞ ɾ o̞ i ɕ ĩ ɴ
イタリア	i t a̠ ɾʲ i a̠
イタリアン	i t a̠ ɾʲ i ã̠ ɴ
イタリー	i t a̠ ɾʲ iː
イタロディスコ	i t a̠ ɾ o̞ dʲ i s ɨᵝ k o̞
イッテルビウム	i t̚ t e̞ ɾ ɯ̟ᵝ bʲ i ɯ̟ᵝ m ɯ̟ᵝ
イットリウム	i t̚ t o̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
イッヌ	ĩ nː ɯ̟ᵝ
イッフィー	i ɸʲː iː
イデオロギー	i d e̞ o̞ ɾ o̞ ɡʲ iː
イニシアル	i ɲ̟ i ɕ i a̠ ɾ ɯ̟ᵝ
イニシャル	i ɲ̟ i ɕ a̠ ɾ ɯ̟ᵝ
イヌワシ	i n ɯ̟ᵝ ɰᵝ a̠ ɕ i
イネーブラー	i n e̞ː b ɯ̟ᵝ ɾ a̠ː
イフルート	i ɸ ɯ̟ᵝ ɾ ɯ̟ᵝː t o̞
イブ	i b ɯ̟ᵝ
イベント	i b ẽ̞ n t o̞
イマジネーション	i m a̠ ʑ i n e̞ː ɕ õ̞ ɴ
イマーム	i m a̠ː m ɯ̟ᵝ
イミダゾール	i mʲ i d a̠ z o̞ː ɾ ɯ̟ᵝ
イミフ	i mʲ i ɸ ɯ̟ᵝ
イメソン	i m e̞ s õ̞ ɴ
イメチェン	i m e̞ t͡ɕ ẽ̞ ɴ
イメージアップ	i m e̞ː ʑ i a̠ p̚ p ɯ̟ᵝ
イメージソング	i m e̞ː ʑ i s õ̞ ŋ ɡ ɯ̟ᵝ
イヤホン	i j a̠ h õ̞ ɴ
イヤホーン	i j a̠ h õ̞ː ɴ
イヤリング	i j a̠ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
イラク	i ɾ a̠ k ɯ̟ᵝ
イラン	i ɾ ã̠ ɴ
イリオモテヤマネコ	i ɾʲ i o̞ m o̞ t e̞ j a̠ m a̠ n e̞ k o̞
イリジウム	i ɾʲ i ʑ i ɯ̟ᵝ m ɯ̟ᵝ
イリュリア	i ɾʲ ɨᵝ ɾʲ i a̠
イルミ	i ɾ ɯ̟ᵝ mʲ i
イルミネーション	i ɾ ɯ̟ᵝ mʲ i n e̞ː ɕ õ̞ ɴ
イワトビペンギン	i ɰᵝ a̠ t o̞ bʲ i p ẽ̞ ŋʲ ɡʲ ĩ ɴ
イン	ĩ ɴ
インキ	ĩ ŋʲ kʲ i
インキュベーター	ĩ ŋʲ kʲ ɨᵝ b e̞ː t a̠ː
インク	ĩ ŋ k ɯ̟ᵝ
イングランド	ĩ ŋ ɡ ɯ̟ᵝ ɾ ã̠ n d o̞
イングリッシュ	ĩ ŋ ɡ ɯ̟ᵝ ɾʲ i ɕː ɯ̟ᵝ
イングリッシュホルン	ĩ ŋ ɡ ɯ̟ᵝ ɾʲ i ɕː ɯ̟ᵝ h o̞ ɾ ɯ̟̃ᵝ ɴ
インジウム	ĩ ɲ̟ d͡ʑ i ɯ̟ᵝ m ɯ̟ᵝ
インスタ	ĩ ɰ̃ s ɨᵝ t a̠
インスタント	ĩ ɰ̃ s ɨ̥ᵝ t ã̠ n t o̞
インスタントカメラ	ĩ ɰ̃ s ɨ̥ᵝ t ã̠ n t o̞ k a̠ m e̞ ɾ a̠
インスタントラーメン	ĩ ɰ̃ s ɨᵝ t ã̠ n t o̞ ɾ a̠ː m ẽ̞ ɴ
インスト	ĩ ɰ̃ s ɨᵝ t o̞
インストゥルメンタル	ĩ ɰ̃ s ɨᵝ t ɯ̟ᵝ ɾ ɯ̟ᵝ m ẽ̞ n t a̠ ɾ ɯ̟ᵝ
