abaich	a p ɪ ç
bior	p i ɾ
bioran	p ɪ ɾ a n
blasta	p l̪ˠ a s̪ t̪ ə
bliadhna	b l i ə n̪ˠ ə
blialam	p l i ə ɫ̪ ə m
bliochdan	p l i x k a n
blàr	b ɫ̪ aː ɾ
blàth	p ɫ̪ aː
boc	p ɔ x k
bocan	b ɔ x ɡ a n
bodach	p ɔ t̪ ə x
bodhaig	p o ɪ kʲ
bodhar	p o ə ɾ
bogha	p o ə
boireannach	p ɔ ɾʲ ə n̪ˠ ə x
bonnach	b o n ə x
borb	p ɔ r ɔ p
bothan	p ɔ h a n
bradan	b r a t ə n
bratach	p r a h t ə x
bratag	p r a h t a k
breisleachail	b r ɛ ʃ lʲ a x a l
briathrach	p rʲ i ə r ə x
brice	p rʲ iʰ kʰʲ ə
briogais	p ɾʲ i k ɪ ʃ
broc	p ɾ ɔ x k
broinn	p ɾ ə i ɲ
brot	p ɾ ɔ h t̪
bruidhinn	p ɾ i ɪ ɲ
brà	p ɾ aː
brèagha	b rʲ i ə
brìghde	p ɾʲ iː ʝ tʲ ə
brùid	b̥ r uː dʲ
buabhaill	p u ə ə l
buabhall	p u ə ə l̪ˠ
buadhair	p u ə ɣ ɛ ɾʲ
buail	b u ɪ l
bualadh	p u ə l̪ˠ ə ɣ
buidhe	p u j ə
buidseachd	b u dʲ ʃ ə x ɡ
bun	p u n
burras	p ʊ rˠ ə s
bàirneach	p aː ɾʲ ɲ ə x
bàn	p aː n
bàrd	p aː r ʃ t̪
bàrr	p aː rˠ
bàta	p aːʰ t̪ ə
bàth	p aː
bìodach	p iː t ə x
bò	p oː
bòc	p ɔː x k
bòcan	b ɔː x ɡ a n
bògas	p ɔː k ə s
bòid	b̊ ɔː d̊ʲ
bòid	p ɔː tʲ
bòidhchead	b ɔː ɪ xʲ a d
bòl	p ɔː ɫ̪
bòrd	p ɔː ɾ ʃ t̪
bó	p oː
bùrach	p uː r ə x
bùrn	b u r n
cabadaich	kʰ a p ə t̪ ɪ ç
cabhag	kʰ a v a k
cabhlach	kʰ a u ɫ̪ ə x
cadal	kʰ a t̪ a ɫ̪
caidil	kʰ a tʲ ɪ l
caidreach	kʰ a tʲ ɾʲ ə x
caifean	k ɛ f a n
caifein	kʰ a f ɛ ɲ
caileag	kʰ a l a k
caill	kʰ a i ʎ
cailleach	kʰ a ʎ ə x
caillte	kʰ a i ʎ tʰʲ ɪ
cainnt	kʰ a i ɲ tʰʲ
cait	kʰ ɛʰ tʲ
caitrìona	k a tʲ ɾ i ə n ə
calltainn	kʰ a u ɫ̪ t̪ʰ ɪ ɲ
calman	kʰ a ɫ̪ a m a n
calpach	kʰ a l̪ˠ p ə x
cam	k aː m
cam	kʰ a u m
campa	kʰ a u m pʰ ə
camshron	k a m a r ə n
cana	kʰ a n ə
caoimhe	k ɤ i v ə
caoimhe	kʰ ɤ i v ə
caoimhneas	kʰ ɯ i v ɲ ə s̪
caoin	k ɯː n
caol	kʰ ɯː ɫ̪
caomh	kʰ ɯː v
caraich	kʰ a ɾ ɪ ç
caran	kʰ a ɾ a n
carbad	kʰ a ɾ ə p a t̪
cas	kʰ a s
casag	kʰ a s a k
casaid	k a s a dʲ
casan	kʰ a s̪ ə n
castan	kʰ a s̪ t̪ a n
cat	kʰ aʰ t̪
cath	k a h
cead	kʲʰ e t̪
ceann	kʲ a u n
ceannaich	kʰʲ a n̪ˠ ɪ ç
ceannard	kʰʲ a n̪ˠ a ɾ ʃ t̪
ceannasach	kʰʲ a n̪ˠ ə s̪ ə x
ceap	kʲʰ ɛ h p
cearban	kʲ a r a b a n
cearban	kʲ ɛ r ɛ b a n
cearc	kʲ ɛ r x k
cearclach	kʰʲ ɛ r x k l̪ˠ ə x
cearr	kʰʲ aː rˠ
ceart	kʲʰ a rˠ s t
ceart	kʲʰ a rˠ ʃ t
ceathrar	kʰʲ ɛ ɾ ə ɾ
ceud	kʰʲ i a t̪
ceudamh	kʰʲ eː t̪ ə v
ceum	kʰʲ eː m
ceàrnach	kʰʲ aː rˠ n̪ˠ ə x
ceàrr	kʰʲ aː rˠ
ceò	kʰʲ ɔː
ceòl	kʰʲ ɔː ɫ̪
cha	x a
chaidh	x a ɪ
chaidreach	x a tʲ ɾʲ ə x
chaneil	χ a n j e l
cheana	ç ɛ n ə
chirce	ç i ɾ̥ c ə
chuala	x u ə l ə
ciall	kʰʲ i a ɫ̪
ciallach	kʰʲ i ə l̪ˠ ə x
ciar	kʰ i a ɾ
cidsin	kʲʰ i tʲ ʃ ɪ n
cinn	kʲʰ iː ɲ
cinnte	kʰʲ ĩː ɲ tʲ ə
cinnteach	kʰʲ ĩː ɲ tʲ ə x
cionn	kʰʲ ũː n̪ˠ
cipean	kʰʲ iʰ pʰ a n
ciùil	kʰʲ uː l
ciùin	kʰʲ uː ɲ
ciùrr	kʰʲ uː rˠ
ciùrradh	kʰʲ uː rˠ ə ɣ
clach	k l̪ˠ a x
claidheamh	kʰ ɫ̪ a j ə v
clann	kʰ l̪ˠ a u n̪ˠ
cliath	k l i ə
cliùiteach	kʰ l uː h tʲ ə x
cluinneadh	k ɫ̪ ɯ ɲ ə ɣ
cneap	k r ɛʰ p
cneasda	kʰʲ rʲ e s̪ t̪ ə
cneasta	k rʲ e s̪ t̪ ə
cnoc	k ɾ ɔ̃ʰ k
cnàmh	kʰ ɾ ãː v
cnàmhlach	kʰ rˠ ãː v l̪ˠ ə x
cnèatag	kʰ ɾ i aʰ t̪ʰ a k
cnòthan	k ɾ ɔː ə n
cobhan	kʰ o a n
cogadh	kʰ o k ə ɣ
coileach	kʰ ɤ l ə x
coille	kʰ ɤ ʎ ə
coimheach	k ɔ̃ j ə x
coimpiutair	kʰ ə m pʰʲ u tʰ ə ɾʲ
coinneach	k o i nʲ a x
coinneamh	kʰ ɤ ɲ ə v
coinnlear	k ɤ̃ ĩ ɲ ʎ ɛ r
coire	kʰ ɔ ɾʲ ə
coire	kʰ ɤ ɾʲ ə
colainn	k ɔ l̪ˠ ə ɲ
colaiste	kʰ ɔ ɫ̪ ɪ ʃ tʲ ə
colann	k ɔ l̪ˠ ə n̪ˠ
coltas	k ɔ ɫ t ə s
coma	k o m ə
comann	kʰ o m ə n̪ˠ
comannach	kʰ o m ə n̪ˠ ə x
comasach	kʰ o m ə s̪ ə x
comhairle	kʰ ɔ̃ ə rˠ ʎ ə
connsachail	kʰ ɔ̃ ũ n̪ˠ s̪ ə x a l
connspaideach	kʰ ɔ̃ ũ n̪ˠ s̪ p ɪ tʲ ə x
cop	kʰ ɔ h p
copar	kʰ ɔ h p ə ɾ
cosgais	k o s ɡ ɪ ʃ
cothromach	kʰ ɔ rˠ ə m ə x
craicte	kʰ r ɛ ç dʲ ə
crann	k r a u n̪ˠ
craobh	k ɾ ɯː v
craosach	kʰ ɾ ɯː s̪ ə x
creag	kʰ ɾ e k
creagan	kʰ ɾ e k ə n
creutair	kʰ ɾ eːʰ t̪ ɛ ɾʲ
cridhe	kʰ ɾʲ i ə
croch	kʰ ɾ ɔ x
crom	kʰ ɾ ɔ u m
cruinn	kʰ r u ɪ ɲ
crè	kʰ r ɛː
crìoch	kʰ ɾ iː x
cròileagan	k r ɔː l a ɡ a n
cròthais	ə x r ɔː ɪ ʃ
cròthaisis	k ɾ ɔː ɪ ʃ ɪ ʃ
crùn	k r uː n
cuaigear	kʰ u ə kʲ ə ɾ
cuan	kʰ u a n
cudrom	kʰ u t̪ r ə m
cudromach	kʰ u t̪ r ə m ə x
cuilean	kʰ u l a n
cuileann	kʰ u l ə n̪ˠ
cuimhne	kʰ u i ɲ ə
cuimhneachadh	kʰ u i ɲ ə x ə ɣ
cuimris	k ɯ m ɯ rʲ ɪ ʃ
cuine	kʰ u ɲ ə
cuing	kʰ ɯ̃ ĩ ŋʲ kʲ
cuip	kʰ u iʰ p
cuir	kʰ u ɾʲ
cuireadh	kʰ u ɾʲ ə ɣ
cultarach	kʰ u l̪ˠ t̪ ə ɾ ə x
cum	kʰ uː m
cumhachd	kʰ ũ ə x ɡ
cumhachdach	kʰ ũ ə x ɡ ə x
cupa	kʰ uʰ pʰ ə
càch	kʰ aː x
càil	kʰ aː l
càin	kʰ aː ɲ
càineadh	kʰ aː ɲ ə ɣ
càise	kʰ aː ʃ ə
càite	kʰ aː h tʲ ə
càmhal	k ãː ə l̪ˠ
càrnadh	kʰ aː ɾ n ə ɣ
cèile	kʰʲ eː l ə
cèilidh	kʰʲ eː l i
cèireach	kʰʲ eː ɾʲ ə x
cìobair	kʲʰ iː p ɛ ɾʲ
cìoch	kʰʲ i ə x
cìr	kʰʲ iː ɾʲ
còig	kʰ oː kʲ
còmhla	kʰ ɔ̃ː ɫ̪ ə
còrr	kʰ ɔː rˠ
cù	k uː
cùirtear	kʰ uː rˠ ʃ tʲ ə ɾ
cùis	kʰ uː ʃ
cùiseach	kʰ uː ʃ ə x
cùl	kʰ uː ɫ̪
cùm	kʰ uː m
d'	d̊
d'	d̊ʲ
dachaigh	d a x ɪ
dadamach	d a d ə m ə x
dallag	t a ɫ̪ a k
dath	d a h
de	tʲ e
deagh	tʲ oː
dealg	tʲ a l̪ˠ a k
dearg	tʲ ɛ r ɛ k
dearrs	tʲ aː rˠ s̪
dearrsach	tʲ aː rˠ s ə x
dearrsadh	t̪ʲ aː rˠ s̪ ə ɣ
deas	t͡ʃ ɛ s
deich	dʲ e ç
deicheach	dʲ e ç ə x
deirdre	tʲ ɛ r t ɾ ə
deirdre	tʲ ɛ ʈ ɾ ə
deiseil	tʲ e ʃ a l
deoch	tʲ ɔ x
deoghail	tʲ o a l
deur	d̥ʲ i a ɾ
deàrsadh	t̪ʲ aː rˠ s̪ ə ɣ
deònach	tʲ ɔː n ə x
dhachaigh	ɣ a x ɪ
dhomh	ɣ ɔː
dhuibh	ɣ ɯ i v
dhà	ɣ aː
dhìol	ʝ i ə ɫ̪
dhìth	ʝ iː
dia	tʲ i a
dian	t͡ʃ i a n
diog	dʲ i k
diù	tʲ uː
diùid	tʲ uː tʲ
doilleir	d ɔ ɪ ʎ ɛ r
doilleir	d ɔ ʎ ɛ r
doimhne	t̪ ɤ ĩ n ə
doimhneachd	t̪ ɔ i ɲ ə x k
doirbh	d̪̊ ɤ rʲ ɤ v
doirbh	t̪ ɤ ɾʲ ɤ v
dona	t̪ ɔ n ə
donn	t̪ ɔ u n̪ˠ
donnchadh	t̪ ɔ n̪ˠ ɔ x ə ɣ
doras	t̪ ɔ ɾ ə s̪
dorcha	d ɔ ɾ ɔ x ə
dorra	t̪ ɔ rˠ ə
dotair	d ɔ h d ɛ ɾʲ
drabasda	t̪ ɾ a p ə s̪ t̪ ə
drabasdach	t̪ ɾ a p ə s̪ t̪ ə x
drabasdachd	t̪ rˠ a p a s̪ t̪ a x k
dragh	t̪ ɾ ɤ ɣ
dranndan	t̪ ɾ ã ũ n̪ˠ t̪ a n
dranndanach	t̪ ɾ ã ũ n̪ˠ t a n ə x
draoidheachd	d r ɯ ɪʲ a x k
dreuchd	t̪ ɾʲ i a x k
droigheann	t̪ ɾ ɔ j ə n̪ˠ
druim	t̪ ɾ ɯ i m
dròn	t r ɔː n
drùidh	d r uː j
drùidhteach	d r uː dʲ ə x
drùis	t̪ ɾ uː ʃ
drùiseach	t̪ ɾ uː ʃ a x
drùisealachd	t̪ rˠ uː ʃ ɛ l̪ˠ a x k
drùiseantachd	t̪ rˠ uː ʃ ə n̪ t̪ʰ a x k
drùisear	t̪ rˠ uː ʃ ɛ rˠ
drùisearachd	t̪ rˠ uː ʃ ɛ rˠ a x k
drùiseil	t r uː ʃ ɛ l
drùisire	t̪ rˠ uː ʃ i ɾ ə
duais	t̪ u ə ʃ
dual	t̪ u ə ɫ̪
dualchasach	t u ə l̪ˠ x ə s̪ ə x
dubh	t̪ u
dubh	t̪ u h
dubh	t̪ u v
dubh	t̪ uː
dubh	t̪ uː v
duilich	t ɯ lʲ ɪ ç
duilleach	d ɯ ʎ ə x
duine	t̪ ɯ ɲ ə
dàimheach	d a i v ə x
dàn	d̥ aː n
dàrna	d aː rˠ n̪ˠ ə
dàrnach	d aː rˠ n̪ˠ ə x
dè	tʲ eː
dèan	tʲ i a n
dèidh	tʲ eː
dèine	d͡ʒʲ ɛː ɲʲ ə
dèine	tʲ eː n ə
dìbhe	tʲ i v ə
dìcheall	tʲ iː ç ə ɫ̪
dìle	dʲ iː l ə
dìlleachd	tʲ iː ʎ ə x ɡ
dìlleachdach	tʲ iː ʎ ə x ɡ ə x
dìlleachdan	tʲ iː ʎ ə x ɡ a n
dìlleachdanachd	tʲ iː ʎ ə x ɡ a n ə x ɡ
dìlleachdas	tʲ iː ʎ ə x ɡ ə s̪
dìoghaltach	tʲ i ə ə l̪ˠ t̪ʰ ə x
dìol	t ʃ iː lˠ
dìomhain	tʲ i ə v ɛ ɲ
dìonadair	dʲ i ə n ə d ɛ rʲ
dòchas	t̪ ɔː x ə s
dòchasach	t̪ ɔː x ə s̪ ə x
dòmhnall	t̪ oː n a ɫ
dòmhnall	t̪ oː v n a ɫ
dòmhnall	t̪ ɔ̃ː ə ɫ̪
dòrainneach	t̪ ɔː ɾ ə ɲ ə x
dòrnan	t̪ ɔː ɾ n a n
dùil	t uː l
dùin	t̪ uː ɲ
dùisg	t̪ uː ʃ kʲ
dùn	t̪ uː n
dùth	t̪ uː
dùthaich	t uː ɪ ç
dùthchas	m a h a n
each	j a x
each	ɛ x
eadar	e d̪̊ ə ɾ
eadar	e t̪ ə ɾ
eadh	ɤ ɣ
eala	ɛ lˠ a
ealasaid	ɛ ɫ̪ ə s̪ ə tʲ
eallach	j a ɫ̪ ə x
earrach	j a rˠ ə x
earrann	j a rˠ ə n̪ˠ
earrann	ɛ rˠ ə n̪ˠ
eigh	e j
eile	e l ə
eilid	e l ɪ tʲ
eiridinn	e ɾ ɪ tʲ ɪ ɲ
eiridnich	e rʲ ɪ dʲ n ɪ ç
eisimeileachd	e ʃ ɪ m ə l ə x ɡ
eithne	ɛ nʲ ə
eudail	eː t̪ a l
eug	eː k
eul	i ə l̪ˠ
eòghan	j oː a n
eòghan	j oː ə n
eòin	j ɔː nʲ
eòin	j ɔː ɲ
eòlas	j ɔː ɫ̪ ə s̪
eòrpach	j ɔː r b ə x
facal	f a x k ə ɫ
faclair	f a x k l ˠ̪ ə ɾʲ
fada	f a t̪ ə
faiceallach	f a ç kʲ ə l̪ˠ ə x
faing	f a i ŋʲ kʲ
faireachdainn	f a ɾ ə x k ɪ ɲ
falbh	f a ʟ a v
faobh	f ɯː v
faod	f ɯː t̪
faoileag	f ɯː l a k
faoin	f ɯː ɲ
faramach	f a r ə m ə x
farsaing	f a ɾ s̪ ɪ ŋʲ kʲ
fastaidh	f a s d ɪ
fathan	f a h a n
feabhas	f j o ə s
feabhasach	f j o ə s ə x
feadh	f j ɤ ɣ
feamainn	f e m ɪ ɲ
fear	f ɛ ɾ
fearachas	f ɛ r ə x ə s
fearail	f ɛ r a l
fearchar	f ɛ r a x ə r
fearchar	f ɛ r ɛ x ə r
fearghas	f ɛ r ɛ ɣ ə s
feis	f e ʃ
feum	f eː m
feumach	f eː m ə x
feur	f i ə ɾ
feàrna	f j aː ɾ n ə
feàrr	f j aː rˠ
feòil	f j ɔː l
feòl	f j ɔː ɫ̪
feòrag	f j ɔː ɾ a k
fhear	ɛ ɾ
fheis	e ʃ
fheur	i ə ɾ
fhios	i s̪
fiar	f j i ə ɾ
figh	f i
figheadair	f i ə t̪ ɛ ɾʲ
fill	f iː ʎ
fionnar	f j u n̪ˠ ə ɾ
fionntach	f j uː n̪ˠ t̪ʰ ə x
fios	f i s̪
fios	f ɪ s
fiughar	f j u ə ɾ
fiùghantach	f j uː ə n t̪ ə x
fiùran	f j uː r a n
fleadh	f l ɤ ɣ
fliuch	f l u x
foghain	f o ɪ ɲ
foghar	f o ə r
fogharach	f o ə ɾ ə x
foighidneach	f ɤ j ɪ dʲ n ə x
fois	f o ʃ
follais	f ɔ ɫ̪ ɪ ʃ
follaiseach	f ɔ l̪ˠ ɪ ʃ ə x
fonn	f ɔ u n̪ˠ
fosgail	f ɔ s k a l
fraing	ə n rˠ a ŋʲ kʲ
freagair	f rʲ e k ɪ rʲ
freagarrach	f ɾʲ e k ə rˠ ə x
freagarrachd	f ɾʲ e k ə rˠ ə x k
freasdalach	f ɾʲ e s̪ t̪ ə l̪ˠ ə x
freasdalachd	f ɾʲ e s̪ t̪ ə l̪ˠ ə x ɡ
freumh	f ɾʲ ɪ ə v
frids	f rˠ i dʲ ʃ
fuar	f u ə ɾ
fuil	f u l
fuin	f u ɲ
fuineadair	f u ɲ ə d ɛ rʲ
fuineall	f u ɲ ə l̪ˠ
fuirich	f u ɾʲ ɪ ç
fulang	f u ɫ̪ ə ŋ ɡ
fàg	f aː k
fàilte	f aː l tʲ ə
fèill	f eː ʎ
fèineag	fʲ eː nʲ ə k
fèis	f eː ʃ
féill	f eː ʎ
fìon	f i ə n
fìor	f iː ɾ
fòghnaidh	f oː n ɪ
gabh	k a v
gach	k a x
gad	k a t̪
gadhar	k ɤ ə r
gafann	k a f ə n ˠ̪
gairm	k ɤ ɾʲ ə m
gal	k a l̪ˠ
galla	k a ɫ̪ ə
gaoisid	ɡ ɯː ʃ i d͡ʒ
gaol	k ɯː ɫ̪
gaothach	k ɯː ə x
garaids	k a ɾ ɪ tʲ ʃ
gasda	k a s̪ t̪ ə
geal	kʲ a ɫ̪
geall	kʲ a u l̪ˠ
gealladh	kʲ a ɫ̪ ə ɣ
geamhradh	kʲ ɛ u ɾ ə ɣ
geas	kʲ e s
geasachd	kʲ ɛ s a x k
geata	kʲ ɛʰ t̪ ə
geàrr	kʲ aː rˠ
gheall	j a u l̪ˠ
ghille	ʝ i ʎ ə
ghlais	ɣ l̪ˠ a ʃ
ghuth	ɣ u h
gile	kʲ i l ə
gille	kʲ i ʎ ə
gimleid	k i m i l a tʲ
gin	ɡʲ i n
giomach	ɡ i m ə x
gionach	kʲ i n ə x
glacadh	k l̪ˠ a x k ə ɣ
glais	k l̪ˠ a ʃ
glaodh	k l̪ˠ ɯː
glas	k l̪ˠ a s
glaschu	k ɫ̪ a s̪ x u
glè	k l eː
glé	k l eː
glòir	k ɫ̪ ɔː ɾʲ
glòr	k l̪ˠ ɔː ɾ
gnè	k r ɛː
gob	k o p
gobhar	ɡ o ə ɾ
goibhle	k ə i l ə
goibhnean	k ə i n ə n
goid	k ɤ tʲ
goilf	k ɔ l f
goirid	k ɤ ɾʲ ɪ tʲ
goirt	k ɔ r t͡ʃʲ
goistidh	ɡ ɔ ʃ dʲ ɪ
gorm	k ɔ r ɔ̃ m
gort	k ɔ rˠ ʃ t̪
gram	ɡ r a m
greannach	kʲ ɾʲ ɛ n̪ˠ ə x
greim	k ɾ e i m
griogair	ɡ̊ ɾʲ i ɡ̊ ɪ ɾʲ
gràdh	k r aː ɣ
grìbhean	c ɾ iː v a n
gu	k u
guga	k u k ə
guib	k ɤ p
guirmean	k ɯ ɾʲ ɯ m a n
gunna	ɡ ʊ n ə
guth	k u h
gàd	ɡ aː d
gàidheal	k ɛː ə ɫ̪
gàidhealtachd	k ɛː ə l̪ˠ t ə x k
gàidhlig	k aː l ɪ kʲ
gèar	kʲ i a ɾ
gèill	kʲ eː ʎ
gòrach	ɡ ɔː r ə x
hallo	h a ɫ oː
hearach	h ɛ ɾ ə x
iarla	i ə rˠ l̪ˠ ə
iarraidh	i ə rˠ ɪ
iasgaich	i ə s k ɪ ç
idir	i dʲ ɪ ɾʲ
imlich	i m i l ɪ ç
innis	ĩː ʃ
ioghnadh	i ə n ə ɣ
iomadh	i m ə ɣ
iomall	i m ə l̪ˠ
iomradh	i m i ɾ ə ɣ
iongantach	ĩ ə̃ n̪ˠ t̪ ə x
iongnadh	ĩ ə̃ n ə ɣ
ionnsaich	j ũː n̪ˠ s ɪ ç
ith	i ç
iubhar	j u ə ɾ
lachan	ɫ̪ a x a n
ladhran	ɫ̪ ɤː ɾ a n
lagh	ɫ̪ ɤ ɣ
laghail	ɫ̪ ɤ ɣ a l
lainnir	ɫ̪ a ɲ ɪ ɾʲ
lann	ɫ̪ a n̪ˠ ə n
lann	ɫ̪ a u n̪ˠ
laoch	ɫ̪ ɯː x
laogh	ɫ̪ ɯː ɣ
le	l e
le	lʲ ɛ
leabaidh	ʎ e p ɪ
leabhar	ʎ o ə ɾ
leac	ʎ ɛ x k
lean	ʎ ɛ n
leann	ʎ a u n̪ˠ
leannan	ʎ ɛ n̪ˠ a n
leatromach	ʎ ɛ h t̪ ɾ ə m ə x
leig	ʎ e kʲ
leigheas	ʎ e ə s
leisgeul	ʎ e ʃ kʲ ə l̪ˠ
leithid	ʎ e ɪ tʲ
leitir	ʎ e h tʲ ɪ ɾʲ
leotha	ʎ o ə
leth	ʎ e
leum	ʎ eː m
leòmhann	ʎ ɔː ə n̪ˠ
leòsan	ɫ̪ʲ ɔː s a n
liath	ʎ i ə
lice	ʎ iʰ kʰʲ ə
linn	ʎ iː ɲ
liogh	ʎ ɤ ɣ
lionn	ʎ uː n̪ˠ
lionntachd	ʎ uː n̪ˠ t̪ʰ ə x k
lios	ʎ i s̪
litir	ʎ iʰ tʲ ɪ ɾʲ
lobhte	l̪ˠ ɔ v t ə
loch	ɫ̪ ɔ x
lochan	ɫ̪ ɔ x a n
lochlannach	l̪ˠ ɔ x l̪ˠ ə n̪ˠ ə x
lofa	ɫ̪ ɔ f ə
loisgean	lˠ ɔ ʃ kʲ a n
luach	l̪ˠ u ə x
luath	l̪ˠ u ə
luchag	ɫ̪ u x a k
luchd	ɫ̪ u x k
luinneag	l̪ˠ ɯ ɲ a k
làimh	ɫ̪ a i v
làireach	l̪ˠ aː ɾʲ ə x
làn	l̪ˠ ɑː n
làthair	ɫ̪ aː ɪ ɾʲ
làthaireach	l̪ˠ aː ɪ ɾʲ ə x
lèigh	ʎ eː
lèigheadaireachd	ʎ eː ə t ɪ ɾʲ ə x k
lùbach	l̪ˠ uː p ə x
lùnastal	l̪ˠ uː n ə s̪ t̪ ə l̪ˠ
macgriogair	m a x ɡ̊ ɾʲ i ɡ̊ ɪ ɾʲ
maide	m a tʲ ə
maighdean	m ə i tʲ ə n
maighdeann	m ə i tʲ ə n
maise	m a ʃ ə
maiseach	m a ʃʲ a x
mall	m a u ɫ
mamaidh	m a m i
maoidh	m ɤ j
maoin	m ɯː nʲ
maol	m ɯː ɫ̪
marbh	m a ɾ a v
marc	m a r x k
math	m a h
math	m aː
mathan	m a h a n
meacan	m ɛ x k a n
meall	m j a u ɫ̪
mean	m ɛ n
meanbh	m ɛ n ɛ v
mearanach	m ɛ r a n a x
meas	m e s
measg	m e s k
measgaichte	m e s k ɪ ç tʲ ə
meilc	m e l ç kʲ
meirg	m e ɾʲ e kʲ
meòg	m j ɔː k
meòir	m j ɔː ɾʲ
mhac	v a x k
mheall	v j a u ɫ̪
mhealladh	v j a ɫ̪ ə ɣ
mhil	v j i l
mholainn	v ɔ ɫ̪ ɪ ɲ
mhàiri	v aː ɪ r i
mhàthair	v aː h ə ɾʲ
mil	m i l
mil	mʲ i l
milis	m i l ə ʃ
mill	m iː ʎ
min	m j i n
mire	mʲ i ɾʲ ə
mocheirigh	m ɔ x ə rʲ ɪ
mochthrath	m ɔ x r a
modh	m ɔ ɣ
modhail	m ɔ ɣ a l
mol	m o l
molta	m ɔ ɫ̪ t̪ʰ ə
monadh	m ɔ n ə ɣ
motha	m o ə
mucan	m uʰ k ə n
muinntir	m w i ɲ tʰʲ ɪ ɾʲ
mult	m u l̪ˠ t̪ˠ
mura	m u ɾ ə
mustais	m u s d a ʃ
màg	m aː k
màiri	m aː ɪ r i
màla	m aː ɫ̪ ə
màmag	m aː m a k
màthair	m aː h ə ɾʲ
màthair	m eː ɾʲ
mìltean	m iː l tʰʲ ə n
mìn	m iː n
mìos	m i ə s̪
mòrail	m ɔː r a l
mùrn	m uː ɾ n
nach	n a x
naidheachd	n ɛ ə x ɡ
naoi	n ɯː i
neach	n̠ʲ a x
nead	ɲ e t
neart	ɲ ɛ ɾ ʃ t̪
neul	ɲ i a ɫ̪
nigh	ɲ iː
nighean	ɲ iː a n̪ˠ
nigheann	ɲ iː a n̪ˠ
nighneag	ɲ iː n a k
nis	n i ʃ
niseag	ɲ i ʃ a ɡ
norrag	n̪ˠ ɔ rˠ a k
nàbaidh	n̪ˠ aː p i
