aa	ɑː
aapeli	ɑː p e̞ l i
aapinen	ɑː p i n e̞ n
aapiskirja	ɑː p i s̠ k i r j ɑ
aapo	ɑː p o̞
aappo	ɑː pː o̞
aaretti	ɑː r e̞ t̪ː i
aari	ɑː r i
aaria	ɑː r i ɑ
aarne	ɑː r n e̞
aarni	ɑː r n i
aarnialue	ɑː r n i ɑ l u e̞ ʔ
aarnikotka	ɑː r n i k o̞ t̪ k ɑ
aarnio	ɑː r n i o̞
aarniometsä	ɑː r n i o̞ m e̞ t s̠ æ
aarno	ɑː r n o̞
aaro	ɑː r o̞
aaron	ɑː r o̞ n
aaroninsauva	ɑː r o̞ n i n s̠ ɑ u̯ ʋː ɑ
aarre	ɑː rː e̞ ʔ
aarrearkku	ɑː rː e̞ ʔ ɑ r kː u
aarrelöytö	ɑː rː e̞ l l ø̞ y̯ t̪ ø̞
aarresaari	ɑː rː e̞ s̠ s̠ ɑː r i
aasa	ɑː s̠ ɑ
aasainuskoinen	ɑː s̠ ɑ i̯ n u s̠ k o̞ i̯ n e̞ n
aasi	ɑː s̠ i
aasia	ɑː s̠ i ɑ
aasialainen	ɑː s̠ i ɑ l ɑ i̯ n e̞ n
aasimainen	ɑː s̠ i m ɑ i̯ n e̞ n
aasitamma	ɑː s̠ i t̪ ɑ mː ɑ
aatami	ɑː t̪ ɑ m i
aataminaikainen	ɑː t̪ ɑ m i n ɑ i̯ k ɑ i̯ n e̞ n
aataminomena	ɑː t̪ ɑ m i n o̞ m e̞ n ɑ
aate	ɑː t̪ e̞ ʔ
aateli	ɑː t̪ e̞ l i
aatelinen	ɑː t̪ e̞ l i n e̞ n
aatelismies	ɑː t̪ e̞ l i s̠ m i e̞̯ s̠
aatelisnainen	ɑː t̪ e̞ l i s̠ n ɑ i̯ n e̞ n
aatelisneiti	ɑː t̪ e̞ l i s̠ n e̞ i̯ t̪ i
aatelisrouva	ɑː t̪ e̞ l i s̠ r o̞ u̯ ʋː ɑ
aatelisto	ɑː t̪ e̞ l i s̠ t̪ o̞
aateloida	ɑː t̪ e̞ l o̞ i̯ d ɑ ʔ
aateloiminen	ɑː t̪ e̞ l o̞ i̯ m i n e̞ n
aatelointi	ɑː t̪ e̞ l o̞ i̯ n̪ t̪ i
aato	ɑː t̪ o̞
aatos	ɑː t̪ o̞ s̠
aatra	ɑː t̪ r ɑ
aatteellinen	ɑː t̪ː e̞ː l l i n e̞ n
aatto	ɑː t̪ː o̞
aava	ɑː ʋ ɑ
aave	ɑː ʋ e̞ ʔ
aavemainen	ɑː ʋ e̞ m ɑ i̯ n e̞ n
aavikko	ɑː ʋ i kː o̞
aavikkoilves	ɑː ʋ i kː o̞ i l ʋ e̞ s̠
aavikkokenguru	ɑː ʋ i kː o̞ k e̞ ŋː u r u
aavikkolokki	ɑː ʋ i kː o̞ l o̞ kː i
aavikkopöllö	ɑː ʋ i kː o̞ p ø̞ lː ø̞
aavikoituakseen	ɑː ʋ i k o̞ i̯ t̪ u ɑ k s̠ e̞ː n
aavikoituminen	ɑː ʋ i k o̞ i̯ t̪ u m i n e̞ n
aavistaa	ɑː ʋ i s̠ t̪ ɑː ʔ
aavistamaton	ɑː ʋ i s̠ t̪ ɑ m ɑ t̪ o̞ n
aavistamatta	ɑː ʋ i s̠ t̪ ɑ m ɑ t̪ː ɑ
aavistaminen	ɑː ʋ i s̠ t̪ ɑ m i n e̞ n
aavisteleminen	ɑː ʋ i s̠ t̪ e̞ l e̞ m i n e̞ n
aavistus	ɑː ʋ i s̠ t̪ u s̠
abakus	ɑ b ɑ k u s̠
abbedissa	ɑ bː e̞ d i s̠ː ɑ
abbreviaatio	ɑ bː r e̞ ʋ i ɑː t̪ i o̞
abdikaatio	ɑ b d i k ɑː t̪ i o̞
abdominaalinen	ɑ b d o̞ m i n ɑː l i n e̞ n
aberraatio	ɑ b e̞ r r ɑː t̪ i o̞
abessiivi	ɑ b e̞ s̠ s̠ iː ʋ i
abessinialainen	ɑ b e̞ s̠ː i n i ɑ l ɑ i̯ n e̞ n
abi	ɑ b i
abioottinen	ɑ b i o̞ː t̪ː i n e̞ n
ablatiivi	ɑ b l ɑ t̪ iː ʋ i
ablaut	ɑ b l ɑ u t̪
abnormaali	ɑ b n o̞ r m ɑː l i
abnormi	ɑ b n o̞ r m i
aboriginaali	ɑ b o̞ r i ɡ i n ɑː l i
abortoida	ɑ b o̞ r t̪ o̞ i̯ d ɑ ʔ
abortti	ɑ b o̞ r t̪ː i
abrakadabra	ɑ b r ɑ k ɑ d ɑ b r ɑ
absessi	ɑ b s̠ e̞ s̠ː i
absintti	ɑ b s̠ i n̪ t̪ː i
absolutismi	ɑ b s̠ o̞ l u t̪ i s̠ m i
absolutistinen	ɑ b s̠ o̞ l u t̪ i s̠ t̪ i n e̞ n
absoluutti	ɑ b s̠ o̞ l uː t̪ː i
absorboida	ɑ b s̠ o̞ r b o̞ i̯ d ɑ ʔ
absorboiminen	ɑ b s̠ o̞ r b o̞ i̯ m i n e̞ n
absorboitua	ɑ b s̠ o̞ r b o̞ i̯ t̪ u ɑ ʔ
absorboituakseen	ɑ b s̠ o̞ r b o̞ i̯ t̪ u ɑ k s̠ e̞ː n
absorboituminen	ɑ b s̠ o̞ r b o̞ i̯ t̪ u m i n e̞ n
absorptio	ɑ b s̠ o̞ r p t̪ i o̞
absorptiokyky	ɑ b s̠ o̞ r p t̪ i o̞ k y k y
absorptioviiva	ɑ b s̠ o̞ r p t̪ i o̞ ʋ iː ʋ ɑ
abstrahoida	ɑ b s̠ t̪ r ɑ h o̞ i̯ d ɑ ʔ
abstrahoiminen	ɑ b s̠ t̪ r ɑ h o̞ i̯ m i n e̞ n
abstrahointi	ɑ b s̠ t̪ r ɑ h o̞ i̯ n̪ t̪ i
abstrahoitua	ɑ b s̠ t̪ r ɑ h o̞ i̯ t̪ u ɑ
abstrahoitua	ɑ b s̠ t̪ r ɑ h o̞ i̯ t̪ u ɑ ʔ
abstrahoituma	ɑ b s̠ t̪ r ɑ h o̞ i̯ t̪ u m ɑ
abstrahoituminen	ɑ b s̠ t̪ r ɑ h o̞ i̯ t̪ u m i n e̞ n
abstrakti	ɑ b s̠ t̪ r ɑ k t̪ i
abstraktinen	ɑ b s̠ t̪ r ɑ k t̪ i n e̞ n
abstraktio	ɑ b s̠ t̪ r ɑ k t̪ i o̞
abstraktistaminen	ɑ b s̠ t̪ r ɑ k t̪ i s̠ t̪ ɑ m i n e̞ n
abstraktistuminen	ɑ b s̠ t̪ r ɑ k t̪ i s̠ t̪ u m i n e̞ n
abstraktoida	ɑ b s̠ t̪ r ɑ k t̪ o̞ i̯ d ɑ ʔ
absurdi	ɑ b s̠ u r d i
absurdisti	ɑ b s̠ u r d i s̠ t̪ i
absurdisti	ɑ b s̠ u r d i s̠ t̪ i ʔ
abyssaalinen	ɑ b y s̠ s̠ ɑː l i n e̞ n
adamantiini	ɑ d ɑ m ɑ n̪ t̪ iː n i
adamiitti	ɑ d ɑ m iː t̪ː i
adapteri	ɑ d ɑ p t̪ e̞ r i
adapterit	ɑ d ɑ p t̪ e̞ r i t̪
adaptiivinen	ɑ d ɑ p t̪ iː ʋ i n e̞ n
adaptoida	ɑ d ɑ p t̪ o̞ i̯ d ɑ ʔ
adaptoiminen	ɑ d ɑ p t̪ o̞ i̯ m i n e̞ n
adaptoitua	ɑ d ɑ p t̪ o̞ i̯ t̪ u ɑ
adaptoitua	ɑ d ɑ p t̪ o̞ i̯ t̪ u ɑ ʔ
addiktio	ɑ dː i k t̪ i o̞
addiktoiva	ɑ dː i k t̪ o̞ i̯ ʋ ɑ
additiivinen	ɑ dː i t̪ iː ʋ i n e̞ n
additioreaktio	ɑ dː i t̪ i o̞ r e̞ ɑ k t̪ i o̞
addressi	ɑ dː r e̞ s̠ː i
adekvaatti	ɑ d e̞ k ʋ ɑː t̪ː i
adessiivi	ɑ d e̞ s̠ s̠ iː ʋ i
adiabaatti	ɑ d i ɑ b ɑː t̪ː i
adiabaattinen	ɑ d i ɑ b ɑː t̪ː i n e̞ n
adipolyysi	ɑ d i p o̞ l yː s̠ i
adjektiivi	ɑ d j e̞ k t̪ iː ʋ i
adjungaatti	ɑ d j u ŋ ɡ ɑː t̪ː i
admittanssi	ɑ d m i t̪ t̪ ɑ n s̠ː i
adoptio	ɑ d o̞ p t̪ i o̞
adoptoida	ɑ d o̞ p t̪ o̞ i̯ d ɑ ʔ
adoptoiminen	ɑ d o̞ p t̪ o̞ i̯ m i n e̞ n
adoptointi	ɑ d o̞ p t̪ o̞ i̯ n̪ t̪ i
adpositio	ɑ d p o̞ s̠ i t̪ i o̞
adrenaliini	ɑ d r e̞ n ɑ l iː n i
adressi	ɑ d r e̞ s̠ː i
adressia	ɑ d r e̞ s̠ s̠ i ɑ
adsorboiminen	ɑ d s̠ o̞ r b o̞ i̯ m i n e̞ n
adsorboitua	ɑ d s̠ o̞ r b o̞ i̯ t̪ u ɑ
adsorboitua	ɑ d s̠ o̞ r b o̞ i̯ t̪ u ɑ ʔ
adsorboituminen	ɑ d s̠ o̞ r b o̞ i̯ t̪ u m i n e̞ n
adsorptiokromatografia	ɑ d s̠ o̞ r p t̪ i o̞ k r o̞ m ɑ t̪ o̞ ɡ r ɑ f i ɑ
adsukipapu	ɑ d s̠ u k i p ɑ p u
adventti	ɑ d ʋ e̞ n̪ t̪ː i
adventtikalenteri	ɑ d ʋ e̞ n̪ t̪ː i k ɑ l e̞ n t̪ e̞ r i
adverbi	ɑ d ʋ e̞ r b i
adverbiaali	ɑ d ʋ e̞ r b i ɑː l i
adverbiaalinen	ɑ d ʋ e̞ r b i ɑː l i n e̞ n
adverbilauseke	ɑ d ʋ e̞ r b i l ɑ u̯ s̠ e̞ k e̞ ʔ
adversatiivinen	ɑ d ʋ e̞ r s̠ ɑ t̪ iː ʋ i n e̞ n
aedeagus	ɑ e̞ d e̞ ɑː ɡ u s̠
aerobic	ɑ e̞ r o̞ b i kː i
aerobikata	ɑ e̞ r o̞ b i k ɑ t̪ ɑ ʔ
aerobinen	ɑ e̞ r o̞ b i n e̞ n
aerodynaaminen	ɑ e̞ r o̞ d y n ɑː m i n e̞ n
aerodynamiikka	ɑ e̞ r o̞ d y n ɑ m iː kː ɑ
aerologia	ɑ e̞ r o̞ l o̞ ɡ i ɑ
aerometri	ɑ e̞ r o̞ m e̞ t̪ r i
aerometria	ɑ e̞ r o̞ m e̞ t̪ r i ɑ
aeronomi	ɑ e̞ r o̞ n o̞ m i
aeronomia	ɑ e̞ r o̞ n o̞ m i ɑ
aerosoli	ɑ e̞ r o̞ s̠ o̞ l i
affiliaatio	ɑ fː i l i ɑː t̪ i o̞
afgaani	ɑ f ɡ ɑː n i
afgaaninvinttikoira	ɑ f ɡ ɑː n i n ʋ i n̪ t̪ː i k o̞ i̯ r ɑ
afganistanilainen	ɑ f ɡ ɑ n i s̠ t̪ ɑ n i l ɑ i̯ n e̞ n
aforismi	ɑ f o̞ r i s̠ m i
aforistinen	ɑ f o̞ r i s̠ t̪ i n e̞ n
afrikaans	ɑ f r i k ɑː n s̠
afrikkalainen	ɑ f r i kː ɑ l ɑ i̯ n e̞ n
afrosuomalainen	ɑ f r o̞ s̠ u o̞ m ɑ l ɑ i̯ n e̞ n
agaave	ɑ ɡ ɑː ʋ e̞
agalmatoliitti	ɑ ɡ ɑ l m ɑ t̪ o̞ l iː t̪ː i
agentti	ɑ ɡ e̞ n̪ t̪ː i
agglutinoida	ɑ ɡː l u t̪ i n o̞ i̯ d ɑ ʔ
aggregaatio	ɑ ɡː r e̞ ɡ ɑː t̪ i o̞
aggregoida	ɑ ɡː r e̞ ɡ o̞ i̯ d ɑ ʔ
aggressiivinen	ɑ ɡː r e̞ s̠ s̠ iː ʋ i n e̞ n
aggressiivisuus	ɑ ɡ r e̞ s̠ s̠ iː ʋ i s̠ uː s̠
aggressiivisuus	ɑ ɡː r e̞ s̠ s̠ iː ʋ i s̠ uː s̠
agility	ɑ ɡ i l i t̪ y
agitoida	ɑ ɡ i t̪ o̞ i̯ d ɑ ʔ
agitoiminen	ɑ ɡ i t̪ o̞ i̯ m i n e̞ n
agnostikko	ɑ ɡ n o̞ s̠ t̪ i kː o̞
agnostinen	ɑ ɡ n o̞ s̠ t̪ i n e̞ n
agnostisismi	ɑ ɡ n o̞ s̠ t̪ i s̠ i s̠ m i
agnostisuus	ɑ ɡ n o̞ s̠ t̪ i s̠ uː s̠
agogiikka	ɑ ɡ o̞ ɡ iː kː ɑ
agogo	ɑ ɡ o̞ ɡ o̞
agonaalinen	ɑ ɡ o̞ n ɑː l i n e̞ n
agonia	ɑ ɡ o̞ n i ɑ
agonisti	ɑ ɡ o̞ n i s̠ t̪ i
agorafobia	ɑ ɡ o̞ r ɑ f o̞ b i ɑ
agrologia	ɑ ɡ r o̞ l o̞ ɡ i ɑ
agronomia	ɑ ɡ r o̞ n o̞ m i ɑ
ah	ɑ h
aha	ɑ ɦ ɑ ʔ
ahaa	ɑ ɦ ɑː
ahava	ɑ ɦ ɑ ʋ ɑ
ahavoittaa	ɑ ɦ ɑ ʋ o̞ i̯ t̪ː ɑː ʔ
ahavoittaminen	ɑ ɦ ɑ ʋ o̞ i̯ t̪ː ɑ m i n e̞ n
ahavoitua	ɑ ɦ ɑ ʋ o̞ i̯ t̪ u ɑ ʔ
ahavoituminen	ɑ ɦ ɑ ʋ o̞ i̯ t̪ u m i n e̞ n
ahdas	ɑ x d ɑ s̠
ahdata	ɑ x d ɑ t̪ ɑ ʔ
ahde	ɑ x d e̞ ʔ
ahdin	ɑ x d i n
ahdinko	ɑ x d i ŋ k o̞
ahdistaa	ɑ x d i s̠ t̪ ɑː ʔ
ahdistaminen	ɑ x d i s̠ t̪ ɑ m i n e̞ n
ahdisteleminen	ɑ x d i s̠ t̪ e̞ l e̞ m i n e̞ n
ahdistelu	ɑ x d i s̠ t̪ e̞ l u
ahdistua	ɑ x d i s̠ t̪ u ɑ ʔ
ahdistuminen	ɑ x d i s̠ t̪ u m i n e̞ n
ahdistus	ɑ x d i s̠ t̪ u s̠
ahdistushäiriö	ɑ x d i s̠ t̪ u s̠ h æ i̯ r i ø̞
ahdos	ɑ x d o̞ s̠
ahertaa	ɑ ɦ e̞ r t̪ ɑː ʔ
ahertaminen	ɑ ɦ e̞ r t̪ ɑ m i n e̞ n
ahjo	ɑ x j o̞
ahjohiili	ɑ x j o̞ h iː l i
ahkera	ɑ x k e̞ r ɑ
ahkeroida	ɑ x k e̞ r o̞ i̯ d ɑ ʔ
ahkeroiminen	ɑ x k e̞ r o̞ i̯ m i n e̞ n
ahkeroitseminen	ɑ x k e̞ r o̞ i̯ t s̠ e̞ m i n e̞ n
ahkio	ɑ x k i o̞
ahma	ɑ x m ɑ
ahmaiseminen	ɑ x m ɑ i̯ s̠ e̞ m i n e̞ n
ahmaista	ɑ x m ɑ i̯ s̠ t̪ ɑ ʔ
ahmatti	ɑ x m ɑ t̪ː i
ahmia	ɑ x m i ɑ ʔ
ahmiminen	ɑ x m i m i n e̞ n
ahmimishäiriö	ɑ x m i m i s̠ h æ i̯ r i ø̞
ahmintahäiriö	ɑ x m i n̪ t̪ ɑ h æ i̯ r i ø̞
ahnas	ɑ x n ɑ s̠
ahnasta	ɑ x n ɑ s̠ t̪ ɑ
ahne	ɑ x n e̞ ʔ
ahnehtia	ɑ x n e̞ h t̪ i ɑ ʔ
ahnehtiminen	ɑ x n e̞ h t̪ i m i n e̞ n
ahneus	ɑ x n e̞ u s̠
aho	ɑ ɦ o̞
ahola	ɑ ɦ o̞ l ɑ
aholainen	ɑ ɦ o̞ l ɑ i̯ n e̞ n
aholeinikki	ɑ ɦ o̞ l e̞ i̯ n i kː i
ahomansikka	ɑ ɦ o̞ m ɑ n s̠ i kː ɑ
ahosuolaheinä	ɑ ɦ o̞ s̠ u o̞̯ l ɑ h e̞ i̯ n æ
ahtaa	ɑ x t̪ ɑː ʔ
ahtaanpaikankammo	ɑ x t̪ ɑː m p ɑ i̯ k ɑ ŋ k ɑ mː o̞
ahtaminen	ɑ x t̪ ɑ m i n e̞ n
ahtaneeksi	ɑ x t̪ ɑ n e̞ː k s̠ i
ahtaneella	ɑ x t̪ ɑ n e̞ː lː ɑ
ahtaneelle	ɑ x t̪ ɑ n e̞ː lː e̞ ʔ
ahtaneelta	ɑ x t̪ ɑ n e̞ː l t̪ ɑ
ahtaneen	ɑ x t̪ ɑ n e̞ː n
ahtaneena	ɑ x t̪ ɑ n e̞ː n ɑ
ahtaneeseen	ɑ x t̪ ɑ n e̞ː s̠ e̞ː n
ahtaneessa	ɑ x t̪ ɑ n e̞ː s̠ː ɑ
ahtaneesta	ɑ x t̪ ɑ n e̞ː s̠ t̪ ɑ
ahtaneetta	ɑ x t̪ ɑ n e̞ː t̪ː ɑ
ahtanutta	ɑ x t̪ ɑ n u t̪ː ɑ
ahtauma	ɑ x t̪ ɑ u m ɑ
ahtaus	ɑ x t̪ ɑ u s̠
ahtauttaa	ɑ x t̪ ɑ u t̪ː ɑː ʔ
ahtauttaminen	ɑ x t̪ ɑ u t̪ː ɑ m i n e̞ n
ahtautua	ɑ x t̪ ɑ u t̪ u ɑ ʔ
ahtautuminen	ɑ x t̪ ɑ u t̪ u m i n e̞ n
ahtera	ɑ x t̪ e̞ r ɑ
ahteri	ɑ x t̪ e̞ r i
ahti	ɑ x t̪ i
ahto	ɑ x t̪ o̞
ahtojää	ɑ x t̪ o̞ j æː
ahtoutuminen	ɑ x t̪ o̞ u t̪ u m i n e̞ n
ahven	ɑ x ʋ e̞ n
ahvenanmaa	ɑ x ʋ e̞ n ɑ m m ɑː
ahvenanmaanlammas	ɑ x ʋ e̞ n ɑ m m ɑː n l ɑ mː ɑ s̠
ahvenanmeri	ɑ x ʋ e̞ n ɑ m m e̞ r i
ahvenkala	ɑ x ʋ e̞ ŋ k ɑ l ɑ
ahvenkalat	ɑ x ʋ e̞ ŋ k ɑ l ɑ t̪
ahvenmuhennos	ɑ x ʋ e̞ m m u ɦ e̞ nː o̞ s̠
ahvo	ɑ x ʋ o̞
ai	ɑ i̯
aiai	ɑ i̯ ɑ i̯
aidanteko	ɑ i̯ d ɑ n t̪ e̞ k o̞
aidas	ɑ i̯ d ɑ s̠
aidata	ɑ i̯ d ɑ t̪ ɑ ʔ
aidattu	ɑ i̯ d ɑ t̪ː u
aidoittaminen	ɑ i̯ d o̞ i̯ t̪ t̪ ɑ m i n e̞ n
aids	ɑ i̯ d s̠
aie	ɑ i̯ e̞ ʔ
aientaa	ɑ i̯ e̞ n̪ t̪ ɑː
aientaa	ɑ i̯ e̞ n̪ t̪ ɑː ʔ
aientaminen	ɑ i̯ e̞ n t̪ ɑ m i n e̞ n
aihe	ɑ i̯ ɦ e̞ ʔ
aiheellistaa	ɑ i̯ ɦ e̞ː l l i s̠ t̪ ɑː ʔ
aiheellistaminen	ɑ i̯ ɦ e̞ː l l i s̠ t̪ ɑ m i n e̞ n
aiheellistuminen	ɑ i̯ ɦ e̞ː l l i s̠ t̪ u m i n e̞ n
aiheeton	ɑ i̯ ɦ e̞ː t̪ o̞ n
aihekokonaisuus	ɑ i̯ ɦ e̞ k̚ k o̞ k o̞ n ɑ i̯ s̠ uː s̠
aihetodiste	ɑ i̯ ɦ e̞ t̪̚ t̪ o̞ d i s̠ t̪ e̞ ʔ
aiheuttaa	ɑ i̯ ɦ e̞ u t̪ː ɑː ʔ
aiheuttaminen	ɑ i̯ ɦ e̞ u t̪ː ɑ m i n e̞ n
aiheutua	ɑ i̯ ɦ e̞ u t̪ u ɑ ʔ
aiheutuminen	ɑ i̯ ɦ e̞ u t̪ u m i n e̞ n
aihio	ɑ i̯ ɦ i o̞
aija	ɑ i̯ jː ɑ
aijai	ɑ i̯ jː ɑ i̯
aika	ɑ i̯ k ɑ
aikaan	ɑ i̯ k ɑː n
aikaansaada	ɑ i̯ k ɑː n s̠ ɑː d ɑ ʔ
aikaansaaminen	ɑ i̯ k ɑː n s̠ ɑː m i n e̞ n
aikaansaavuus	ɑ i̯ k ɑː n s̠ ɑː ʋ uː s̠
aikaerotteinen	ɑ i̯ k ɑ e̞ r o̞ t̪ t̪ e̞ i̯ n e̞ n
aikaikkuna	ɑ i̯ k ɑ i kː u n ɑ
aikaileminen	ɑ i̯ k ɑ i̯ l e̞ m i n e̞ n
aikailla	ɑ i̯ k ɑ i̯ lː ɑ ʔ
aikaillen	ɑ i̯ k ɑ i̯ lː e̞ n
aikainen	ɑ i̯ k ɑ i̯ n e̞ n
aikaisemmin	ɑ i̯ k ɑ i̯ s̠ e̞ mː i n
aikaisheteisyys	ɑ i̯ k ɑ i̯ s̠ h e̞ t̪ e̞ i̯ s̠ yː s̠
aikaisimmin	ɑ i̯ k ɑ i̯ s̠ i mː i n
aikaistaa	ɑ i̯ k ɑ i̯ s̠ t̪ ɑː ʔ
aikaistaminen	ɑ i̯ k ɑ i̯ s̠ t̪ ɑ m i n e̞ n
aikaistua	ɑ i̯ k ɑ i̯ s̠ t̪ u ɑ ʔ
aikaistuminen	ɑ i̯ k ɑ i̯ s̠ t̪ u m i n e̞ n
aikajakso	ɑ i̯ k ɑ j ɑ k s̠ o̞
aikakatkaista	ɑ i̯ k ɑ k ɑ t̪ k ɑ i̯ s̠ t̪ ɑ ʔ
aikakatkaisu	ɑ i̯ k ɑ k ɑ t̪ k ɑ i̯ s̠ u
aikakausi	ɑ i̯ k ɑ k ɑ u̯ s̠ i
aikakauslehtipaperi	ɑ i̯ k ɑ k ɑ u̯ s̠ l e̞ h t̪ i p ɑ p e̞ r i
aikakoodi	ɑ i̯ k ɑ k o̞ː d i
aikalainen	ɑ i̯ k ɑ l ɑ i̯ n e̞ n
aikalaskelma	ɑ i̯ k ɑ l ɑ s̠ k e̞ l m ɑ
aikamatka	ɑ i̯ k ɑ m ɑ t̪ k ɑ
aikamatkaaja	ɑ i̯ k ɑ m ɑ t̪ k ɑː j ɑ
aikamatkailu	ɑ i̯ k ɑ m ɑ t̪ k ɑ i̯ l u
aikamoinen	ɑ i̯ k ɑ m o̞ i̯ n e̞ n
aikamuoto	ɑ i̯ k ɑ m u o̞̯ t̪ o̞
aikana	ɑ i̯ k ɑ n ɑ
aikanaan	ɑ i̯ k ɑ n ɑː n
aikaohjaus	ɑ i̯ k ɑ o̞ x j ɑ u s̠
aikapallo	ɑ i̯ k ɑ p ɑ lː o̞
aikapula	ɑ i̯ k ɑ p u l ɑ
aikaraja	ɑ i̯ k ɑ r ɑ j ɑ
aikasakko	ɑ i̯ k ɑ s̠ ɑ kː o̞
aikasarja	ɑ i̯ k ɑ s̠ ɑ r j ɑ
aikatauluttaa	ɑ i̯ k ɑ t̪ ɑ u̯ l u t̪ː ɑː ʔ
aikatauluttaminen	ɑ i̯ k ɑ t̪ ɑ u l u t̪ː ɑ m i n e̞ n
aikatyö	ɑ i̯ k ɑ t̪ y ø̞̯
aikaväli	ɑ i̯ k ɑ ʋ æ l i
aikeissa	ɑ i̯ k e̞ i̯ s̠ː ɑ
aikido	ɑ i̯ k i d o̞
aikoa	ɑ i̯ k o̞ ɑ ʔ
