абдж	ʔ aː b d͡ʒ
дакъэ	d aː q a
дамэ	d aː m a
данэ	d aː n a
дарий	d aː r i j
дауэ	d aː w a
делэ	d e l a
джанэ	d͡ʒ aː n a
джаур	d͡ʒ aː w ə r
джей	d͡ʒ e j
джыдэ	d͡ʒ ə d a
джэгу	d͡ʒ a ɡʷ
джэгун	d͡ʒ a ɡʷ ə n
джэд	d͡ʒ a d
джэдгъалӏэфлъэ	d͡ʒ a d ʁ aː ɬʼ a f ɬ a
джэдгъалӏэфлъэ	d͡ʒ a d ʁ aː ɬʼ a xʷ ɬ a
джэдкъаз	d͡ʒ a d q aː z
джэду	d͡ʒ a d ə w
джэдыкӏэ	d͡ʒ a d ə t͡ʃ a
джэш	d͡ʒ a ʃ
дзажэ	d͡z aː ʒ a
дзасэ	d͡z aː s a
дзыгъуэ	d͡z ə ʁʷ a
дзыдзэ	d͡z ə d͡z a
дзын	d͡z ə n
дзэ	d͡z a
дзэкъэн	d͡z a q a n
дзэл	d͡z a ɮ
дзэлъэщӏ	d͡z a ɬ a ɕʼ
дзэху	d͡z a xʷ
дудакъ	d w d a q
дыгъуасэ	d ə ʁʷ aː s a
дыгъужь	d ə ʁʷ ə ʑ
дыгъурыгъу	d ə ʁʷ r ə ʁʷ ə
дыгъуэн	d ə ʁʷ a n
дыгъэ	d ə ʁ a
дыдж	d ə d͡ʒ
дыжьын	d ə ʑ ə n
дыкъуакъуэ	d ə qʷ aː qʷ a
дыркъуэ	d ə r qʷ a
дыхьэшх	d ə ħ a ʃ x
дыхьэшхын	d ə ħ a ʃ x ə n
дыщэ	d ə ɕ a
дэ	d a
дэгу	d a ɡʷ
дэкун	d a kʷ ə n
дэлъху	d a ɬ xʷ ə
дэлъэн	d a ɬ a n
дэн	d a n
дэнэ	d a n a
ебгъэн	j a b ʁ a n
еблагъэ	j a b l aː ʁ a
егъэджэн	ʁ a d͡ʒ a n
егъэхьын	j a ʁ a ħ ə n
еджапӏэ	j a d͡ʒ aː pʼ a
еджэн	j a d͡ʒ a n
ежьэн	j a ʑ a n
езы	j a z ə
езэшын	j a z a ʃ ə n
еижын	j a j ə ʒ ə n
емыкӏу	j a m ə kʷʼ
енэпэуэн	n a p a w a n
енэпэфэуэн	n a p a f a w a n
енэцӏын	j a n a t͡sʼ ə n
епэмын	j a p a m ə n
есын	j a s ə n
етын	j a t ə n
еукӏын	j a w ə t͡ʃʼ ə n
ефакӏуэ	j a f aː kʷʼ a
ефыгъуэн	j a f ə ʁʷ ə n
ефэн	j a f a n
ехъуэхъун	j a χʷ a χʷ ə n
ехын	j a x ə
ехьэлӏэн	j a ħ a ɬʼ a n
ещӏэн	j a ʃʼ a n
еӏусын	j a ʔʷ ə s ə n
жагъуэ	ʒ aː ʁʷ
жан	ʒ aː n
жантий	ʒ aː n t ə j
жей	ʒ e j
жыг	ʒ ə ɣ
жыжьэ	ʒ ə ʑ a
жылэ	ʒ ə l a
жылэ	ʒ ə ɮ a
жылэдэс	ʒ ə ɮ a d a s
жыхапхъэ	ʒ ə x aː p χ a
жыӏэн	ʒ ə ʔ a n
жьакӏэ	ʑ aː t ʃʼ a
жьауэ	ʑ aː w a
жьы	ʑ ə
жьыщӏэн	ʑ ə ɕʼ a n
жьэ	ʑ a
жьэжьэй	ʑ a ʑ a j
жьэн	ʑ a n
жьэрыкуей	ʑ a r ə kʷ a j
жьэхъу	ʑ a χʷ ə
жэгъуэгъу	ʒ a ʁʷ ə ɡʷ
жэгъуэгъун	d͡ʒ a ʁʷ ə ɡʷ ə n
жэм	ʒ a m
жэн	ʒ a n
жэщ	ʒ a ɕ
жэщтеу	ʒ a ɕ t a j w
занщӏэ	z aː n ɕʼ a
занщӏэу	z aː n ɕʼ a w
зауэ	z aː w a
захуэ	z aː xʷ a
зылӏэжын	z aː ɬʼ a ʒ ə n
зыплъыхьын	z ə p ɬ ə ħ ə n
зэ	z a
зэвы	z a v ə
зэплъэкӏын	z a p ɬ a t͡ʃʼ ə n
зэтеувэн	z a t a j w v a n
зэуакӏуэ	z a w aː kʷʼ a
зэхэхын	z a x a x ə n
зэхэшын	z a x a ʃ ə n
зэшын	z a ʃ ə n
ибэ	j ə b a
иджырей	j ə d͡ʒ ə r e j
ижь	j ə ʑ
изы	j ə z ə
икӏи	j ə t͡ʃ i
илъэс	j ə ɬ a s
ины	j ə n ə
ипщэ	i p ɕ a
итхъун	j ə t χʷ ə n
ищхъэрэ	i ɕ χ a r a
иӏэн	j ə ʔ a n
куу	kʷ ə w ə
куэ	kʷ a
куэд	kʷ a d
куэдрэ	kʷ a d r a
куэпкъ	kʷ a p q
кхъуей	q͡χʷ eː j
кхъужьы	q͡χʷ ə ʑ ə
кхъухь	q͡χʷ ə ħ
кхъухьтедзапӏэ	q χʷ ə ħ t e d͡z aː pʼ a
кхъуэ	q͡χʷ a
кхъыӏэ	q͡χʷ ə ʔ a
кхъэ	q͡χ a
къабзэ	q aː b z a
къаз	q aː z
къалэ	q aː ɮ a
къамэ	q aː m a
къаплъэн	q aː p ɬ a n
къафэ	q aː f a
къитхъун	q j ə t χʷ ə n
кърухугу	q r u xʷ ə ɡʷ
къуагъыщхъуэ	qʷ aː ʁ ə ɕ χʷ a
къуажэ	qʷ aː ʒ a
къуалэбзу	qʷ aː l a b z ə w
къуаншэ	qʷ aː n ʃ a
къуапсэ	qʷ aː p s a
къугъын	qʷ ə ʁ ə n
къулыкъу	q w ɮ ə qʷ
къупщхьэ	qʷ p ɕ ħ a
къухьэпӏэ	qʷ ħ a p a
къущхьэ	qʷ ə ɕ ħ a
къуэ	qʷ a
къуэкӏыпӏэ	qʷ a t͡ʃʼ ə p a
къуэлэн	qʷ a ɮ a n
къуэрылъху	qʷ a r ə ɬ xʷ
къыкъ	q ə q
къылъыфын	q ə ɬ ə xʷ ə n
къыу	qʷ ə w
къыцэ	q ə t͡s a
къэб	q a b
къэбэкъауэ	q a b a q aː w a
къэбэрдей	q a b a r d e j
къэбэрдэйбзэ	q a b a r d a j b z a
къэкӏуэн	q a kʷʼ a n
къэлэдэс	q a ɮ a d a s
къэрал	q a r aː ɮ
къэрэндащ	q a r a n d aː ɕ
къэсэхыжын	q a s a x ə ʒ ə n
къэфэн	q a f a n
къэхьыпэ	q a ħ ə p a
къэхьэуафэ	q a ħ a w aː f a
къэцыфын	q a t͡sʼ ə f ə n
кӏагуэ	t͡ʃʼ aː ɡʷ a
кӏагъэпшагъэ	t͡ʃʼ aː ʁ a p ʃ aː ʁ a
кӏакӏы	t͡ʃ aː t͡ʃ ə
кӏапсэ	t͡ʃʼ aː p s a
кӏапсэрыкӏуэ	t͡ʃʼ aː p s a r ə kʷʼ a
кӏасэ	t͡ʃʼ aː s a
кӏахэ	t͡ʃʼ aː x a
кӏуасэ	kʷʼ aː s a
кӏуэдыгъуафӏэ	kʷʼ a d ə ʁʷ a fʼ
кӏуэдын	kʷʼ a d ə n
кӏуэн	kʷʼ a n
кӏуэцӏышыхьын	kʷʼ a t͡sʼ ə ʃ ə ħ ə n
кӏыгуугу	t͡ʃ ə ɡʷ ə w ə ɡʷ
кӏыхь	t͡ʃʼ ə ħ
кӏэ	kʲʼ a
кӏэрахъуэ	t͡ʃʼ a r aː χʷ a
кӏэупшӏэн	t͡ʃʼ a w p t ʃʼ a n
лъагъуныгъэ	ɬ a ʁʷ n ə ʁ a
лъагэ	ɬ aː ɣ a
лъакъуэ	ɬ aː qʷ a
лъакъуэрыгъажэ	ɬ a qʷ a r ə ʁ aː ʒ a
лъапцӏэ	ɬ aː p t͡sʼ a
лъапӏэ	ɬ aː pʼ a
лъащхьэдий	ɬ aː ɕ ħ a d ə j
лъхугъэ	ɬ xʷ ə ʁ a
лъхуэн	ɬ xʷ a n
лъы	ɬ ə
лъын	ɬ ə n
лъынэ	ɬ ə n a
лъыхугъэ	ɬ xʷ ə ʁ a
лъыхъун	ɬ ə χʷ ə n
лъэ	ɬ a
лъэбакъуэ	ɬ a b aː qʷ a
лъэгуажьэ	ɬ a ɡʷ aː ʑ a
лъэдий	ɬ a d ə j
лъэкъуэцӏэ	ɬ a qʷ aː t͡sʼ a
лъэкӏьапӏэ	ɬ a kʲʼ aː pʼ a
лъэмыж	ɬ a m ə ʒ
лъэн	ɬ a n
лъэнкӏапӏ	ɬ a n t͡ʃʼ aː pʼ
лъэнкӏапӏэ	ɬ a n t͡ʃʼ aː pʼ a
лъэныкъу	ɬ a n ə qʷ
лъэпкъ	ɬ a p q
лъэпкъэгъу	ɬ a p q
лъэпхъуамбэ	ɬ a p χʷ aː m b a
лъэпэд	ɬ a p a d
лъэс	ɬ a s
лъэтэн	ɬ a t a n
лъэщ	ɬ a ɕ
лъэщӏын	ɬ a ɕʼ ə n
лы	l ə
лы	ɮ ə
лыц	ɮ ə t͡s
лэгъунэ	ɮ a ʁʷ n a
лэгъупэжь	ɮ a ʁʷ ə p a ʑ
лэжьэн	l a ʑ a n
лэн	l a n
лэн	ɮ a n
лэпс	l a p s
лэпс	ɮ a p s
лӏо	ɬʼ a w
лӏы	t͡ɬʼ ə
лӏы	ɬʼ ə
лӏыжьы	ɬʼ ə ʑ ə
лӏэкъуэцӏэ	ɬʼ a qʷ aː t͡sʼ a
лӏэн	ɬʼ a n
лӏэныгъ	ɬˤʼ a n ə ʁ
лӏэужь	ɬʼ a w ə ʑ
лӏэужьыгъуэ	ɬʼ a w ʑ ə ʁʷ a
мажьэ	m aː ʑ a
мазэ	m aː z a
макъ	m aː q a
макъэ	m aː q a
малъхъэ	m aː ɬ χ a
мафӏэ	m aː fʼ a
махуэ	m aː xʷ a
махъсымэ	m aː χ s ə m a
махэ	m aː x a
мацӏэ	m aː t͡sʼ a
мащэ	m aː ɕ a
мащӏэ	m aː ɕʼ a
модэ	m a w d a
мывэ	m ə v a
мыгъуэ	m ə ʁʷ a
мыдэ	m ə d a
мылъку	m ə ɬ ə kʷ
мылъхукъуэ	m ə ɬ xʷ qʷ a
мыхъумыбз	m ə χʷ ə m ə b z
мыхьэнэ	m ə ħ a n a
мышынэ	m ə ʃ ə n a
мыщэ	m ə ɕ a
мыӏэрыс	m ə ʔ a r ə s
мэджэрэзын	m a d͡ʒ a r a z ə n
мэз	m a z
мэзджэд	m a z d͡ʒ a d
мэзэшын	ʁ a z a ʃ ə n
мэлыхъуэгъу	m a ɮ ə χʷ a ʁʷ
мэпсэлъэн	m a p s a ɬ a n
мэрем	m a r e m
мэхуэку	m a xʷ a kʷ
набгъэ	n aː b ʁ a
набдзэ	n aː b d͡z a
напэ	n aː p a
напэкӏуэнцӏ	n aː p a kʷʼ a n t͡sʼ
нарт	n aː r t
нартыху	n aː r t ə xʷ
насып	n aː s ə p
натӏэ	n aː tʼ a
нащэ	n aː ɕ a
нобэ	n oː b a
нтӏэ	n tʼ a
ныбгъуэ	n ə b ʁʷ a
ныбджьэгъу	n ə b d ʑ a ʁʷ
ныбжьыщӏэ	n ə b ʑ ə ɕʼ a
ныбжьэгъу	n ə b ʑ a ʁʷ
ныбэ	n ə b a
ныкъуэ	n ə qʷ a
нысэ	n ə s a
нытӏэ	n ə tʼ a
ныуэ	n ə w a
нэгъуэщӏ	n a ʁʷʼ a ɕʼ
нэжэгужэ	n a ʒ a ɡʷ ə ʒ a
нэз	n a z ə
нэзы	n a z ə
нэмщӏыр	n a m ɕʼ ə r
нэмыс	n a m ə s
нэмыщӏ	n a m ɕʼ
нэмыщӏыр	n a m ə ɕʼ ə r
нэмэз	n a m a z
нэпс	n a p s
нэпэуэн	n a p a w a n
нэпэфэуэн	n a p a f a w a n
нэпэӏэплъэщӏ	n a p a ʔ a p ɬ a ɕʼ
нэф	n a f
нэху	n aː xʷ
нэхъ	n a χ
нэхь	n a ħ
нэцӏэн	n a t͡sʼ a n
нэчыхьытх	n a t͡ʃ ə ħ ə t x
нэщанэ	n a ɕ a n a
нэщэнэ	n a ɕ a n a
нэщӏ	n a ɕʼ
нэӏаплъэщӏ	n a ʔ aː p ɬ a ɕʼ
пагэ	p aː ɣ a
пакъ	p aː q
папцӏэ	p aː p t͡sʼ a
папщӏэ	p aː p ɕʼ a
папщӏэкӏэ	p aː p ɕʼ a t͡ʃʼ a
пасэ	p aː c a
пацэ	p aː t͡s a
пащтыхь	p aː ɕ t ə ħ
пжэндэхъу	p ʒ a n d a χʷ
пкъы	p q ə
плъыжьы	p ɬ ə ʑ ə
плъэн	p ɬ a n
плӏы	p ɬʼ ə
псей	p s e j
псо	p s a w
псори	p s a w r i
псы	p s ə
псыбыб	p s ə b ə b
псыджэд	p s ə d͡ʒ a d
псыдыуэ	p s ə d ə w a
псынщӏэ	p s ə n ɕʼ a
псынщӏэу	p s ə n ɕʼ a w
псыунэ	p s ə w n a
псыунэ	p s ə w ə n a
псыфалъэ	p s ə f aː ɬ a
псыфэнд	p s ə f a n d
псыхъо	p s ə χʷ a
псэ	p s a
псэлъыхъун	p s a ɬ ə χʷ ə n
псэлъэкъуэн	p s a ɬ a qʷ a n
псэлъэн	m a p s a ɬ a n
псэущхьэ	p s a w ɕ ħ
псэхэлӏэ	p s a x a ɬʼ z
пуд	pʰ u d
пхъампэ	p χ aː m p a
пхъу	p χʷ ə
пхъурылъху	p χ ə r ə ɬ xʷ
пхъы	p χ ə
пхъэ	p χ a
пхъэдзакӏэ	p χ a d͡z aː t͡ʃ a
пхэ	p x a
пхэнж	p x a n ʒ
пцӏанэ	p t͡sʼ aː n a
пцӏы	p t͡sʼ ə
пшагъо	p ʃ aː ʁʷ a
пшахъуэ	p ʃ a χʷ a
пшынэ	p ʃ ə n a
пщащэ	p ɕ aː ɕ a
пщтыр	p ɕ t ə r
пщы	p ɕ ə
пщылӏы	p ɕ ə ɬʼ
пщылӏыгъуэ	p ɕ ə ɬʼ ə ʁʷ a
пщынауэ	p ɕ ə n aː w a
пщыхьэщхьэ	p ɕ ə ħ a ɕ ħ a
пщэдджыжь	p ɕ a d d͡ʒ ə ʑ
пщэдей	p ɕ a d a j
пщэдыкъ	p ɕ a d ə q
пщэры	p ɕ a r ə
пщӏантӏэпс	p ɕʼ aː n tʼ a p s
пщӏатӏэ	p ɕʼ aː tʼ a
пщӏы	p ɕʼ ə
пщӏыхь	p ɕʼ ə ħ
пщӏыхьапӏэ	p ɕʼ ə ħ aː pʼ a
пычын	p ə t͡ʃ ə n
пэ	p a
пэж	p a ʒ
пэш	p a ʃ
пэщын	p a ɕ ə n
пӏалъэ	pʼ aː ɬ a
пӏастэ	pʼ aː s t a
пӏащӏэ	pʼ aː ɕʼ a
пӏэнкӏын	pʼ a n t͡ʃʼ ə m
пӏэтепхъуэ	pʼ a t e p χʷ a
сабый	s aː b ə j
сабын	s aː b ə n
санэ	s aː n a
сахъэ	s aː χ a
сымаджэ	s ə m aː d͡ʒ a
сыр	s ə r
сысын	s ə s ə n
сыт	s ə t
сэ	s a
сэкъат	s a q aː t
сэшхо	s a ʃ xʷ a
танэ	t aː n a
тегъэсыкӏын	t a j ʁ a s ə t͡ʃʼ ə n
телъэдэн	t a j ɬ a d a n
тенджыз	t e n d͡ʒ ə z
теувэн	t a j v a n
техакӏуэ	t a j x aː kʷʼ a
техьэн	t a j ħ aː n
тутын	t ə w t ə n
тху	t xʷ ə
тхуей	t xʷ e j
тхъо	t χʷ a
тхъун	t χʷ ə n
тхыбзэ	t x ə b z a
тхыгъэ	t x ə ʁ a
тхыдэ	t x ə d a
тхылъ	t x ə ɬ
тхылъымпӏэ	t x ə ɬ ə m pʼ a
тхыпкъылъэ	t x ə p q ə ɬ a
тхыпкъэ	t x ə p q a
тхьэ	t ħ a
тхьэв	t ħ a v
тхьэкӏумэ	t ħ a kʷʼ m a
тхьэмадэ	t ħ a m aː d a
тхьэмахуэ	t ħ a m aː xʷ a
тхьэмбылыфэ	t ħ a m b ə l ə f a
тхьэмпэ	t ħ aː p a
тхьэмыщкӏэ	t ħ aː m ə ɕ t͡ʃ a
тхьэрыкъу	t ħ a r ə qʷ
тхьэшхуэ	t ħ a ʃ xʷ a
тхьэщӏын	t ħ a ɕʼ ə n
тхэн	t x a n
тынш	t ə n ʃ
тэджын	t a d͡ʒ ə n
тэлай	t a l a j
тӏатӏэ	tʼ aː tʼ a
тӏы	tʼ ə
тӏын	tʼ ə n
тӏысын	tʼ ə s ə n
тӏэкӏу	tʼ a kʷʼ
тӏэпӏын	tʼ s a pʼ ə n
тӏэтэн	tʼ a t a n
уанэ	w aː n a
уасэ	w aː s a
уафэ	w aː f a
уашхэ	w aː ʃ x a
убжьытхэн	m a ʒʷ ə t x a n
увын	w v ə n
уд	w ə d
удж	w ə d͡ʒ
уджын	w d͡ʒ ə n
удз	w ə d͡z
удзыфэ	w ə d͡z ə f a
удзэгун	w ə d͡z a ɡʷ ə n
ужьэ	w ʑ a
ужэгъун	w ə ʒ a ʁʷ ə n
уз	w ə z
узыншагъэ	w ə z ə n ʃ a ʁ a
укӏын	w ə t͡ʃʼ ə n
укӏыт	w t͡ʃ ə t
укӏытэн	w t͡ʃ ə t a n
унагъуэ	w n aː ʁʷ a
унагъуэбзэ	w ə n aː ʁʷ a b z a
унагъуэцӏэ	w n aː ʁʷ a t͡sʼ a
унафэ	w ə n aː ʂʷ a
унащхьэ	w n aː ɕ ħ a
унэ	w ə n a
унэгъуэцӏэ	w ə n a ʁʷ a t͡sʼ a
унэӏут	w n a ʔʷ t
упщӏэ	w ə p ɕʼ a
урыс	w ə r ə s
ухуэнщӏын	w xʷ a n ɕʼ ə n
ущхъухьын	w ə ɕ χʷ ħ ə n
ущыгун	w ə ɕ ə ɡʷ ə n
уэ	w a
уэд	w a d
уэн	w a n
уэндэгъу	w a n d a ʁʷ
уэрэд	w a r a d
уэрэджыӏакӏуэ	w a r a d ʒ ə ʔ aː kʷʼ a
уэс	w a s ə
уэфэгу	w a f a ɡʷ
уэфӏ	w a fʼ
уэшх	w a ʃ x
фащэ	f aː ɕ a
фиин	f ə j a n
фо	f a w
фоч	f o t͡ʃ
фошыгъу	f a w ʃ ə ʁʷ
фты	f ə t ə
фыз	f ə z
фызабэ	f ə z aː b a
фэ	f a
фэу	f a w
фӏалъэ	fʼ aː ɬ a
фӏамыщӏ	fʼ aː m ə ɕʼ
фӏей	fʼ e j
фӏы	fʼ ə
фӏыцӏафэ	fʼ ə t͡sʼ aː f a
фӏыцӏэ	fʼ ə t͡sʼ a
фӏыщӏэ	fʼ ə ɕʼ a
фӏэкӏ	b aː ɮ ə d͡ʒ a
фӏэхъус	fʼ a χʷ ə s
фӏэщ	fʼ a ɕ
фӏэщӏын	fʼ a ɕʼ ə n
хадэ	x aː d a
хамэ	x aː m a
хуабжь	xʷ aː b ʑ
хуабэ	xʷ aː b a
хугу	xʷ ə ɡʷ
хуеин	xʷ e j ə n
хужьы	xʷ ə ʑ ə
хун	xʷ ə n
хущхъуэ	xʷ ə ɕ χʷ a
хуэгуэшын	xʷ a ɡʷ a ʃ ə n
хуэгъэгъун	xʷ a ʁ a ʁʷ ə n
хуэд	xʷ a d
хуэпэн	xʷ a p a n
хуэфӏ	z aː ɬʼ a ʒ ə n
хуэщӏын	xʷ a ɕʼ ə n
хуэӏаз	xʷ a ʔ aː z
хъарбыз	χ aː r b ə z
хъу	χʷ ə
хъуанэ	χʷ aː n a
хъужын	χʷ ə ʒ ə n
хъулъхугъэ	χʷ ə ɬ xʷ ə ʁ a
хъумбылэ	χʷ ə m b ə ɮ a
хъумпӏэцӏэдж	χʷ m pʼ a t͡ʃʼ a d͡ʒ
хъумэн	χʷ ə m a n
хъунщӏакӏуэ	χʷ n ɕʼ aː kʷʼ a
хъурей	χʷ ə r eː j
хъуэжэн	χʷ a ʑ a n
хъуэнэн	χʷ a n a n
хъуэпсэн	χʷ a p s a n
хъыджэбз	χ ə d͡ʒ a b z
хъэн	χ a n
хы	x ə
хыкхъуэ	x ə q͡χʷ a
хьакӏэкхъуакӏэ	ħ aː t͡ʃ a q χʷ aː t͡ʃ a
хьамцӏырачэ	ħ aː m t͡sʼ ə r aː t͡ʃ a
хьащӏэ	ħ aː ɕʼ a
хьейнапэ	ħ a j ə n aː p
хьэ	ħ a
хьэв	ħ a v
хьэвэ	ħ a v a
хьэдэ	ħ a d a
хьэжыгъэ	ħ a ʒ ə ʁ a
хьэку	ħ a kʷ
хьэкъмакъ	ħ a q m aː q
хьэлъэ	ħ a ɬ a
хьэлэмэт	ħ a ɮ a m a t
хьэмашэ	ħ a m aː ʃ a
хьэмбылыу	ħ a m b ə l ə w
хьэндырабгъуэ	ħ a n d ə r aː b ʁʷ a
хьэндыркъуакъуэ	ħ a n d ə r qʷ aː qʷ a
хьэнцэ	ħ a n t͡s a
хьэпӏацӏэ	ħ a pʼ aː t͡sʼ a
хьэрыф	ħ a r ə f
хьэрыфылъэ	ħ a r ə f ə ɬ a
хьэуэ	ħ a w a
хьэщомыщ	ħ a ɕ a w m ə ɕ
хьэщхьэрыӏуэ	ħ a ɕ ħ a r ə ʔʷ
хэдзын	x a d͡z ə n
хэкъутыхьын	x a qʷ ə t ə ħ ə n
хэкӏын	x a t͡ʃʼ ə n
хэлъын	x a ɬ ə n
хэт	x a t
хэхын	x a x ə n
хэщӏын	x a ɕʼ ə n
цакуэ	t͡s aː kʷ a
цы	t͡s ə
цӏакӏэ	t͡sʼ aː t͡ʃ a
цӏуун	t͡sʼ ə w ə n
цӏыкӏу	t͡sʼ ə kʷʼ
цӏыху	t͡sʼ ə xʷ ə
цӏыхун	t͡sʼ ə xʷ ə n
цӏэ	t͡sʼ a
чы	t͡ʃ ə
чыл	t͡ʃ ə ɮ
чэ	t͡ʃ a
чэнж	t͡ʃ a n ʒ
шабзэ	ʃ a b z a
шае	ʃ aː j a
шатэ	ʃ aː t a
шу	ʃ ə w
шхуэ	ʃ xʷ a
шхыӏэн	ʃ x ə ʔ a n
шыбжий	ʃ ə b ʒ i j
шыгъу	ʃ ə ʁʷ
шыд	ʃ ə d
шыды	ʃ ə d
шылъэгу	ʃ ə ɬ a ɡʷ ə
