a	ɛ aː
gløgg	k l œ kː
gløggur	k l œ kː ʊ ɹ
glúmur	k l ʉ uː m ʊ ɹ
gníggja	k n ʊ i t͡ʃː a
gonga	k ɔ ŋ k a
gongd	k ɔ ŋ k t
gongur	k ɔ ŋ k ʊ ɹ
gosoyggj	ɡ oː s ɔ i t͡ʃː
goti	k oːʰ t ɪ
gotland	k ɔːʰ t l a n t
goði	k oː j ɪ
grann	k ɾ a nː
granni	k ɾ a nː ɪ
gras	k ɹ ɛ aː s
graður	k ɾ ɛ aː v ʊ ɹ
greipa	k ɹ a iː p a
greivi	k r a iː v ɪ
greypfrukt	k ɾ ɛ iː p f ɾ ʊʰ k t
grikkaland	k ɾ ɪʰ kː a l a n t
grikki	k ɾ ɪʰ t͡ʃː ɪ
grikskur	k ɾ ɪ s k ʊ ɹ
grindahvalur	k r ɪ n t a kʰ v ɛ aː l ʊ ɹ
grundøki	k ɹ ʊ n t øːʰ t ʃ ɪ
gráspurvur	k r ɔ ɑː s p ʊ ɹ v ʊ ɹ
grátur	k r ɔ ɑːʰ t ʊ ɹ
grækarismessa	k ɹ ɛ aːʰ k a ɹ ɪ s m ɛ sː a
grótbræðing	k ɾ ɔ uː t p ɾ ɛ aː j ɪ ŋ k
grønland	k ɹ œ n l a n t
grønlendskt	k ɾ œ n l ɛ ŋ̊ k s t
grønleykur	k ɾ œ n l ɛ iː k ʊ ɹ
grønmeti	k ɹ œ n m eːʰ t ɪ
grøta	k ɾ øːʰ t a
grøv	k ɾ øː v
gudfrøði	k ʊ fː ɾ øː j ɪ
gull	k ʊ t l
gullasj	k ʊ lː a ʃ
gulur	k uː l ʊ ɹ
gunnar	k ʊ nː a ɹ
gunnleygur	k ʊ nː l ɛ iː j ʊ ɹ
gustav	k ʊ s t a v
guð	k uː
guðrun	k uː ɹ ʊ n
gvagg	k v a kː
gylvi	t͡ʃ ɪ l v ɪ
gyðja	t͡ʃ iː j a
gágga	k ɔ kː a
gágguskel	k ɔ kː ʊ ʃ eː l
gás	k ɔ ɑː s
gáta	k ɔ ɑː t a
gáva	k ɔ ɑː v a
gávur	k ɔ ɑː v ʊ ɹ
gæs	ɡ ɛ a s
gísli	k ʊ i ʃ l ɪ
góðska	k œ s k a
góður	k ɔ uː w ʊ ɹ
gø	k øː
gøta	k øːʰ t a
gøtuskeggi	k øːʰ t ʊ ʃ ɛ t͡ʃː ɪ
gýtt	k ʊ iʰ tː
gýðingur	k ʊ iː j ɪ ŋ k ʊ ɹ
h	h
hagfrøði	h a k f ɹ øː j ɪ
hagi	h ɛ aː j ɪ
hali	h ɛ aː l ɪ
hallur	h a t l ʊ ɹ
hamara	h ɛ aː m a ɹ a
hampur	h a m̥ p ʊ ɹ
handil	h a n t ɪ l
handski	h a n̥ː ʃ ɪ
happ	h aʰ pː
hara	h ɛ aː ɹ a
harpa	h a ɹ̥ p a
hassj	h a ʃː
hattur	h aʰ tː ʊ ɹ
hattvíkingur	h aʰ tː ɪ ʃ ɪ ŋ k ʊ ɹ
hattvíkingur	h aʰ tː ʃ ɪ ŋ k ʊ ɹ
hatur	h ɛ aːʰ t ʊ ɹ
hav	h ɛ aː v
havandi	h ɛ aː v a n t ɪ
havið	h ɛ aː v ɪ
havn	h a u n
havn	h a v n
havur	h ɛ aː v ʊ ɹ
havørn	h ɛ aː v œ ɻ ɳ
hegri	h ɛ k ɹ ɪ
heilagur	h a iː l a v ʊ ɹ
heim	h a iː m
heimta	h a i m̥ t a
heimur	h a iː m ʊ ɹ
heiti	h a i t ɪ
heiðarýpa	h a iː j a ɹ ʊ iː p a
heiði	h a iː j ɪ
heiðra	h a i r a
heiður	h a i j ʊ r
helvt	h ɛ l̥ t
hendi	h ɛ n t ɪ
her	h eː ɹ
herbúni	h eː r p ʉ u n ɪ
hertogi	h ɛ ɹ̥ tʰ ɔ j ɪ
herðablað	h eː ɹ a p l a ɛː
herðar	h eː ɹ a ɹ
heslinøt	h ɛ s l ɪ n øːʰ t
hest	h ɛ s t
hestur	h ɛ s t ʊ ɹ
hevur	h eː v ʊ ɹ
heyst	h ɛ s t
hildur	h ɪ l t ʊ ɹ
himmal	h ɪ mː a l
hin	h iː n
hind	h ɪ n t
hiplingur	h ɪʰ p l ɪ ŋ k ʊ ɹ
hiti	h iː t ɪ
hittittiskur	h ɪʰ tː ɪʰ t ɪ s k ʊ ɹ
hjallur	t͡ʃʰ a t l ʊ ɹ
hjalti	j a l̥ t ɪ
hjálmar	t ʃʰ ɔ l m a ɹ
hjálmur	t͡ʃʰ ɔ l m ʊ ɹ
hjørdis	j œ ɻ ʈ ɪ s
hjørtur	j œ ɻ̥ ʈ ʊ ɹ
hjørð	j øː ɹ
hjún	t ʃʰ ʉ uː n
hjúpa	t͡ʃʰ ʉ uː p a
hobbi	h o pː ɪ
hol	h oː l
hond	h ɔ n t
hora	h oː ɹ a
horn	h ɔ t n
horur	h oː ɹ ʊ ɹ
hoyggj	h ɔ i t ʃ
hugsan	h ʊ k s a n
hugur	h uː v ʊ ɹ
hunangur	h uː n ɛ ŋ k ʊ ɹ
hundur	h ʊ n t ʊ ɹ
hurð	h uː ɹ
hvala	k v ɛ aː l a
hvalur	kʰ v ɛ aː l ʊ ɹ
hvassur	k v a sː ʊ ɹ
hvat	k v ɛ aːʰ t
hvæl	k v ɛ aː l
hví	kʰ v ʊ iː
hvølpur	kʰ v œ l̥ p ʊ ɹ
hvønn	k f œ nː
hvønn	k v œ nː
hvørkikyn	k f œ ɹ̥ t ʃ ɪ t ʃʰ iː n
hvørsfall	k v œ ʂ f a t l
há	h ɔ ɑː
hákallur	h ɔ ɑː k a t l ʊ ɹ
hálka	h ɔ l̥ k a
hár	h ɔ aː ɹ
hársápa	h ɔ ɑː ɹ s ɔ ɑːʰ p a
hársápa	h ɔ ʂ ɔ ɑːʰ p a
háur	h ɔ ɑː v ʊ ɹ
hávur	h ɔ ɑː v ʊ ɹ
hædd	h a tː
hæl	h ɛ aː l
hælur	h ɛ aː l ʊ ɹ
hít	h ʊ iː t
hópur	h ɔ uː w p ʊ ɹ
høggmynd	h œ ɡː m ɪ n d
høggormur	h œ kː ɔ ɹ m ʊ ɹ
høgguslokkur	h œ kː s l ɔʰ kː ʊ ɹ
høgur	h øː v ʊ ɹ
høkja	h øːʰ t͡ʃ a
høll	h œ t l
hørgur	h œ ɹ k ʊ ɹ
hørpa	h œ ɹ̥ p a
hørur	h øː ɹ ʊ ɹ
hørður	h øː ɹ ʊ ɹ
høskuldur	h œ s k ʊ l t ʊ ɹ
høsn	h œ s n
høvn	h œ v n
høvur	h øː v ʊ ɹ
húgva	h ɪ k v a
húni	h ʉ uː n ɪ
hús	h ʉ uː s
húsbóndi	h ʏ s p œ n t ɪ
húsfrú	h ʉ uː s f r ʉ uː
hýsa	h ʊ iː j s a
ikki	ɪʰ t ʃː ɪ
illa	ɪ t l a
illur	ɪ t l ʊ ɹ
inda	ɪ n t a
india	ɪ n t i a
inga	ɪ ŋː k a
ingibjørg	ɪ ɲ t͡ʃ ɪ p j œ r k
ingimundur	ɪ ɲ t͡ʃ ɪ m ʊ n t ʊ ɹ
innbúgv	ɪ nː p ɪ k f
iran	iː ɹ a n
itu	iː t u
iva	iː v a
ivi	iː v ɪ
ið	ʊ iː j
j	j
ja	j ɛ aː
jaga	j eː a
jakki	j aʰ t͡ʃː ɪ
jaksla	j a k s l a
jaksli	j a k s l ɪ
jakslur	j a k s l ʊ ɹ
jaksul	j a k s ʊ l
jallur	j a t l ʊ ɹ
japan	j aː p a n
jarma	j a ɹ m a
jarn	j a t n
jarðarkjarni	j ɛ aː ɹ a ɹ kʰ a t n ɪ
jarðarskorpa	j ɛ aː ɹ a ɹ ʂ k ɔ ɻ̥ p a
jarðber	j a ɹ p e ɛː ɹ
jarðnøt	j a ɹ n œʰ t
jarðskjálvti	j a ɹ̥ ʃ ɔ l̥ t ɪ
jennur	j ɛ nː ʊ ɹ
jeppur	j ɛʰ pː ʊ ɹ
jesus	j eː s ʊ s
jesuspápi	j ɛː s ʊ pʰ ɔ ɑːʰ p ɪ
jiddiskur	j ɪ tː ɪ s k ʊ ɹ
jodd	j ɔ tː
john	j ɔ nː
jonn	j ɔ nː
judo	j uː t o
jákup	j ɔ ɑːʰ k ʊ p
játta	j ɔʰ tː a
jól	j ɔ uː l
jólakort	j ɔ uː l a kʰ ɔ ɹ̥ ʈ
jólamaður	j ɔ uː l a m ɛ aː v ʊ ɹ
jólatræ	j ɔ uː l a tʰ ɹ ɛ aː
jónatan	j o uː n a tʰ a nː
jørð	j øː ɹ
jú	j ʉ uː w
júgur	j ʉ uː w ʊ ɹ
júgv	j ɪ k f
júst	j ʏ s t
k	kʰ
kagari	kʰ e̞ː a ɹ ɪ
kahútt	kʰ a h ʏʰ tː
kai	kʰ a iː
kalkun	kʰ a l̥ kʰ uː n
kallkyn	kʰ a l̥ t ʃʰ iː n
kallur	kʰ aʰ t l ʊ ɹ
kambur	kʰ a m p ʊ ɹ
kanada	k a n a t a
kanning	kʰ a nː ɪ ŋ k
karin	kʰ ɛ aː ɹ ɪ n
karniffil	kʰ a ɹ n ɪ fː ɪ l
kassi	k a sː ɪ
kasta	kʰ a s t a
kattar	kʰ aʰ tː a ɹ
kava	kʰ ɛ aː v a
kavi	kʰ ɛ aː v ɪ
kaðal	k e̞ː a l
keisari	kʰ a iː s a ɹ ɪ
keks	kʰ ɛʰ k s
kelda	t ʃʰ ɛ l t a
kelling	t ʃʰ ɛ t l ɪ ŋ k
kengura	kʰ ɛ ŋ k uː ɹ a
kenna	t͡ʃʰ ɛ nː a
kenniorð	t ʃʰ ɛ nː ɪ oː ɹ
kettlingur	t͡ʃʰ ɛʰ t l i ŋ k ʊ ɹ
kettu	t͡ʃʰ ɛʰ tː ʊ
keypmannahavn	t ʃʰ ɛʰ p m a nː a h a v n
keypmaður	t ʃʰ ɛʰ pː m ɛ aː v ʊ ɹ
kikari	t͡ʃʰ iː k a ɹ ɪ
kili	t͡ʃʰ iː l ɪ
kins	t͡ʃ ɪ n̥ s
kiribati	k i ɹ i p ɑː t i
kirkja	t͡ʃʰ ɪ r̥ t͡ʃ a
kirna	t͡ʃ ɪ t n a
kirsuber	t͡ʃʰ ɪ ɻ̊ ʂ ʊ p eː ɹ
