ab	a b
dimenge	d i m e n d͡ʒ e
dissabte	d i s a t t e
distància	d i s t a n s i
distància	d i s t a n s j o̞
dit	d i t
divendres	d i β e n d r e s
dolor	d u l u
eissugar	e j s y ɣ a
elefant	e l e f a n t
erau	e r a w
eruga	e r y ɣ o
erugas	e r y ɣ o s
espatla	e s p a l l o
esquiròl	e s k i ɾ ɔ l
estornèl	e s t u r n ɛ l
exsudar	e t͡s y ð a
familha	f a m i ʎ o
felicitacion	f e l i s i t a s j u
felicitacion	f e l i s i t a s j u n
felicitat	f e l i s i t a t
femna	f e n n o
fenèstra	f e n ɛ s t r o
fiu	f i w
formiga	f u r m i ɣ o
fraire	f r a j r e
frais	f r a j s
fraisse	f r a j s e
frema	f r e m o
fuèlha	f ɥ ɛ ʎ o
fèr	f ɛ r
fèrre	f ɛ r r e
gal	ɡ a l
galina	ɡ a l i n o
gard	ɡ a r
garganta	ɡ a r ɡ a n t o
garir	ɡ a r i
gasconha	ɡ a s k u ɲ o
gat	ɡ a t
genolh	d ʒ e n u l
gos	ɡ u s
guèine	ɡ ɛ j n e
gènoa	d ʒ ɛ n w o
hemna	h e n n o
hèr	h ɛ r
ieu	j e w
ivèrn	i β ɛ r n
jardin	d ʒ a r d i
joan	d͡ʒ u a n
lach	l a t͡ʃ
laissar	l a j s a
laissar	l a j ʃ a
laissar	l e j s a
laüt	l a y t
lenga	l e ŋ ɡ o
libre	l i β ɾ e
liech	l j e
literari	l i t e ɾ a ɾ i
lièch	l j ɛ t͡ʃ
lop	l u p
lua	l y o
luec	l j ɛ k
luna	l y n o
luxemborg	l y t͡s e m b u r k
làmia	l a m j o
lèbre	l ɛ β ɾ e
lèit	l ɛ j t
maire	m a j ɾ e
mairina	m a j ɾ i n o
maitot	m a j t u t
malaisit	m a l a j z i t
man	m a
mandolina	m a n d u l i n ɔ
mandra	m a n d ɾ o
marcejada	m a r s e d ʒ a ð o
maridatge	m a r i ð a d ʒ e
masatge	m a z a d ʒ e
massar	m a s s a r
mestierau	m e s t j ɛ r a w
meteis	m e t e j s
microscòpi	m i k r u s k ɔ p i
milh	m i l
milhòc	m i ʎ ɔ k
mina	m i n ɔ
mirga	m i r ɣ o
mièg	m j ɛ t ʃ
monin	m u n i
mozambic	m u z a m b i k
mura	m u r o
mèlsa	m ɛ l s o
navegar	n a β e ɣ a
nuèch	n ɥ ɛ t ʃ
nèbia	n ɛ β j o
nèbla	n ɛ β l o
nèblas	n ɛ β l o s
nèu	n ɛ w
occitan	u t s i t a
octòbre	u t t ɔ β ɾ e
ongla	u ŋ ɡ l o
ora	u r o
pagar	p a ɣ a
paire	p a j ɾ e
pairin	p a j ɾ i
palmon	p a l m u
pantèra	p a n t ɛ ɾ o
paradís	p a ɾ a ð i s
patz	p a t s
pebre	p e β r e
pegaurelha	p e ɡ a ʊ ɾ e ʎ ɒ
pera	p e ɾ o
pereu	p e ɾ e w
perfièch	p e r f j ɛ t ʃ
perpinhan	p e r p i ɲ a
pintar	p i n t a
pluèja	p l ɥ ɛ d ʒ o
polit	p u l i t
poma	p u m o
ponh	p u n
prima	p r i m o
profecia	p r u f e s i o
punh	p y n
pè	p ɛ
pèira	p ɛ j ɾ o
pòrta	p ɔ r t o
quiet	k j e t
rabàs	r a β a s
rainal	r a j n a l
raiç	r r a i s
ratapenada	r a t o p e n a ð o
ratuga	r a t y ɣ o
resson	r e s u
riba	r i β o
riu	r r i w
rossinhòl	r u s i ɲ ɔ l
ròsa	r ɔ z o
ròtle	r ɔ t l e
sabla	s a β l o
sanha	s a ɲ o
sason	s a z u
sauma	s a w m o
sedaç	s e ð a s
sentiment	s e n t i m e n
septimània	s e p t i m a n j ɔ
singlar	s i ŋ ɡ l a
social	s u s j a l
solelh	s u l e l
straa	s t r a o
suve	s y v e
sènso	s ɛ n s o
sèt	s ɛ t
sòrre	s ɔ r e
tais	t a j s
tanben	t a b e
tard	t a r t
taula	t a w l o
taupa	t a w p o
temperatura	t e m p e ɾ a t y ɾ o
teulat	t e w l a t
teule	t e w l e
tochar	t u t ʃ a r
traite	t r a i t e
trauc	t r a w k
traïdor	t r a i ð u
tresaur	t r e s a w r
trobador	t r u β a ð u
ulhauç	y ʎ a w s
uman	y m a
uman	y m ãᵑ
umilitat	y m i l i t a
umilitat	y m i l i t a t
ungla	y ŋ ɡ l o
ussa	y s o
utilizaire	y t i l i z a j r e
utilizaires	y t i l i z a j r e s
vendeire	b e n d e j ɾ e
vergonha	b e r ɣ u ɲ o
viatge	b i a d ʒ e
viatjaire	b i a d ʒ a j r e
vilatge	b i l a d ʒ e
vin	v i
vinha	b i ɲ o
voltor	b u l t u
voutor	v a w t u r
vulcanologia	b y l k a n u l u d ʒ i o
vòtz	v ɔ t s
ària	a r j o
àustria	a w s t r j o
èga	ɛ ɣ o
èrba	ɛ r β o
òc	o
òc	ɔ
òme	ɔ m e
òs	ɔ s
