ং	ŋ
খারাপ	kʰ a ɾ a p
খালি	kʰ a l i
খালী	kʰ a l i
খুব	kʰ u b
খুশি	kʰ u ʃ i
খেজুর	kʰ e d ʒ u r
খেয়াল	kʰ e a l
খেলা	kʱ æ l a
খোঁজা	kʰ o d z a
খোঁজা	kʰ o d ʒ a
খোঁজা	kʰ o z a
খোলা	kʰ o l a
গ	ɡ ɔ
গণিকা	ɡ ɔ n i k a
গন্ডার	ɡ ɔ n ɖ ɑ ɹ
গন্ডার	ɡ ɔ n ɖ ɑ ɾ
গন্ধতৃণ	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
গন্ধভাদাল	ɡ ɔ n dʱ ɔ bʱ a d a l
গরম	ɡ ɔ ɽ ɔ m
গরম	ɡ ɔ ɾ ɔ m
গরিলা	ɡ ɔ ɹ i l a
গরিলা	ɡ ɔ ɾ i l a
গর্দান	ɡ ɔ ɾ d̪ a n
গলা	ɡ ɔ l a
গল্প	ɡ ɔ l p o
গাঁজা	ɡ a d z a
গাঁজা	ɡ a d ʒ a
গাঁজা	ɡ a n d z a
গাঁজা	ɡ a n d ʒ a
গাঁজা	ɡ ã d ʒ a
গাঁজা	ɡ ã n d ʒ a
গাছ	ɡ ɑ s
গাছ	ɡ ɑ t ʃʰ
গাড়ি	ɡ a ɽ i
গাড়ী	ɡ a ɽ i
গুজরাট	ɡ u d ʒ ɔ ɾ a ʈ
গুম	ɡ u m
গুরুত্বপূর্ণ	ɡ u r u tː ɔ p u r n ɔ
গোশ	ɡ o ʃ
গোশত	ɡ o ʃ t̪ o
গোস্ত	ɡ o s t̪ o
গ্রন্থাগার	ɡ ɾ o n tʰ a ɡ a ɾ
গ্রেপ্তার	ɡ ɾ e p t̪ a ɾ
গ্রেফতার	ɡ ɾ e f t̪ a ɾ
গ্লাস	ɡ l a s
গ্লাস	ɡ l a ʃ
ঘ	ɡʱ ɔ
ঘর	ɡ ɔ ɹ
ঘর	ɡʱ ɔ ɹ
ঘর	ɡʱ ɔ ɾ
ঘাড়	ɡʱ a ɽ
ঘুড়ি	ɡ u ɽ i
ঘুড়ি	ɡʱ u ɽ i
ঘোড়া	ɡʱ o ɽ a
ঙ	ŋ ɔ
চ	t͡s ɔ
চ	t͡ɕ ɔ
চ	t͡ʃ ɔ
চর্বি	t ʃ o r b i
চশমা	t ʃ ɔ ʃ m a
চা	t ʃ a
চাউল	c a u̯ l
চাকা	t ʃ a k a
চাটা	t ʃ a ʈ a
চালতা	c a l t a
চিড়িয়াখানা	t ʃ i ɽ i a kʰ a n a
চিনি	t ʃ i n i
চিলমচি	t ʃ i l ɔ m t ʃ i
চুম্বন	t ʃ u m b ɔ n
চুল	t s u l
চুল	t ʃ u l
চেয়ে	t͡ʃ e j e
চোখ	t ʃ o kʰ
চোষা	t s o ʃ ɑ
চোষা	t ʃ o ʃ ɑ
ছ	t͡sʰ ɔ
ছ	t͡ɕʰ ɔ
ছ	t͡ʃʰ ɔ
ছবি	t ʃʰ o b i
ছাত্র	t ʃʰ a t̪ ɾ o
ছিটমহল	t ʃʰ i ʈ m ɔ ɦ ɔ l
ছেলে	s e l e
ছেলে	t ʃʰ e l e
জ	d͡ʒ ɔ
জন্মদিন	d ʒ ɔ n m o d̪ i n
জন্যে	d ʒ ɔ nː æ
জবাই	d ʒ ɔ b a i
জমি	d ʒ o m i
জমিন	d ʒ o m i n
জল	d z ɔ l
জল	d ʒ ɔ l
জল	z ɔ l
জাদু	d ʒ a d̪ u
জায়গা	d ʒ a e̯ ɡ a
জিনিস	d ʒ i n i ʃ
জীবন	ʒ i b ə ʊ n
জোস	d ʒ o s
জোস	d ʒ o ʃ
জ্যোৎস্না	d ʒ o t s n a
ঝ	d͡ʒʱ ɔ
ঝাল	ɟʱ a l
ঝিঙা	ɟʱ i ŋ a
ঝিঙ্গা	ɟʱ i ŋ ɡ a
ঞ	n ɔ
ঞ	ɲ ɔ
ট	ʈ ɔ
টানা	ʈ a n a
টুপি	ʈ u p i
ট্যাক্সি	ʈ æ k s i
ঠ	ʈʱ ɔ
ঠাঁঁই	ʈʰ ã i
ঠাঁই	ʈʰ ã i
ঠোঁট	tʰ o t
ঠোঁট	tʰ u t
ড	ɖ ɔ
ড়	ɽ ɔ
ডাক্তার	ɖ a k t̪ a ɾ
ডিম	ɖ i m
ডিলডো	ɖ i l ɖ o
ডিল্ডো	ɖ i l ɖ o
ঢ	ɖʱ ɔ
ঢ়	ɽʱ ɔ
ঢাকা	ɖʱ a k a
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
ণ	n ɔ
ত	t ɔ
তটিনী	t o ʈ i n i
তড়িৎ	t̪ ɔ ɽ i t̪
তবু	t̪ ɔ b u
তবুও	t̪ ɔ b u o
তবে	t̪ ɔ b e
তল্লাশি	t̪ ɔ l l a ʃ i
তাঁরা	t̪ ã r a
তাই	t̪ a͡i
তাওয়া	t̪ a w a
তাকান	t̪ a k a n̪ o
তাজ	t̪ a d ʒ
তাজা	t̪ a z a
তামা	t a m a
তামাশা	t̪ a m a ʃ a
তার	t̪ a r
তারা	t̪ a r a
তারিফ	t̪ a ɾ i f
তালাশ	t̪ a l a ʃ
তিনি	t̪ ɪ n̪ ɪ
তিমি	t̪ i m i
তিসি	t i ʃ i
তীর	t̪ ɪː ɾ
তুই	t̪ ʊ i
তুফান	t̪ u f a n
তুমি	t̪ u m i
তুলনামূলক	t u l n a m u l ɔ k
তৃতীয়	t̪ r i t̪ i j ɔ
তেঁতুল	t ẽ t u l
তেল	t̪ e l
তোমাদের	t̪ o m ɑ d̪ ɛ ɹ
তোশক	t̪ o ʃ o k
ত্রিপত্র	t ɾ i p ɔ tː ɾ ɔ
থ	tʱ ɔ
থাকা	t̪ʰ ɑ k ɑ
থানকুনি	tʰ a n k u n i
দ	d̪ ɔ
দখল	d̪ ɔ kʰ o l
দপ্তর	d̪ ɔ p t̪ o ɾ
দফতর	d̪ ɔ f t̪ o ɾ
দফা	d̪ ɔ f a
দরজা	d̪ ɔ ɾ o d ʒ a
দরিয়া	d̪ o r i j a
দাঁড়ানো	d̪ a ɹ a n o
দাঁড়ানো	d̪ a ɽ a n o
দাঁড়ানো	d̪ a ɾ a n o
দাঁড়ানো	d̪ ã ɽ a n o
দাঁত	d̪ ɑ t̪
দাঁত	d̪ ɑ̃ t̪
দাউদাউ	d̪ a u̯ d̪ a u̯
দাওয়াত	d̪ a w a t̪
দাখিল	d̪ a kʰ i l
দাড়ি	d a ɽ i
দুঃখ	d u k kʰ o
দুপুর	d̪ u p u ɾ
দেখা	d̪ æ kʰ a
দেশ	d̪ e ʃ
দেশি	d̪ e ʃ i
দোতারা	d̪ o t̪ a ɾ a
দোলনা	d o l n a
দ্বিতীয়	t̪ r i t̪ i j ɔ
দ্রুত	d̪ ɾ ʊ t̪ o
ধ	dʱ ɔ
ধন	d̪ ɔ n
ধন	d̪ʱ ɔ n
ধনিয়া	dʱ o n i a
ধনে	dʱ o n e
ধুতুরা	d̪ʱ u t̪ u ɽ ɑ
ধুতুরা	d̪ʱ u t̪ u ɾ ɑ
ন	n ɔ
নকল	n ɔ k o l
নগ্ন	n ɔ ɡ n o
নগ্নতা	n ɔ ɡ n o t̪ a
নতুন	n ɔ t̪ u n
নমাজ	n ɔ m a z
নরম	n ɔ ɾ o m
নাগেশ্বর	n a ɡ e ʃː ɔ ɾ
নাঙ্গা	n a ŋ a
নাঙ্গা	n a ŋ ɡ a
নাদান	n a d̪ a n
নাম	n a m
নামহীন	n a m ɦ i n
নামাজ	n a m a z
নারাজ	n a r a d ʒ
নারাজ	n a r a z
নিমন্ত্রণ	n i m o n t̪ ɾ o n
নিষিদ্ধ	n i ʃ i d̪ːʱ o
নীহারিকা	n i ɦ a ɽ i k a
নীহারিকা	n i ɦ a ɾ i k a
নুনু	n u n u
নেমন্তন্ন	n e m o n t̪ o n n o
প	p ɔ
পক্ষে	p ɔ kːʰ e
পছন্দ	p ɔ s o n d̪ o
পছন্দ	p ɔ t ʃʰ o n d̪ o
পটোল	p ɔ ʈ o l
পড়া	p ɔ ɹ a
পড়া	p ɔ ɽ a
পদ্ম	p ɔ d̪ː ɔ
পয়গম্বর	p ɔ j ɡ ɔ m b ɔ ɾ
পরা	p ɔ ɹ a
পরা	p ɔ ɾ a
পর্বত	p ɔ r b ɔ t
পা	p a
পাকস্থলী	p a k ɔ s tʰ o l i
পাখি	p a kʰ i
পাছা	p a s a
পাছা	p a t ʃʰ a
পাঠা	p a ʈʰ a
পাঠানো	p ɑ ʈʰ ɑ n o
পাতা	p a t a
পাত্তা	p ä t̪ t̪ äˑ
পানি	p ɑː n iː
পানিয়ালা	p a n i a l a
পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
পান্না	p a nː a
পারা	p a ɹ a
পারা	p a ɽ a
পারা	p a ɾ a
পার্থক্য	p a ɹ t̪ʰ ɔ kː o
পার্থক্য	p a ɾ t̪ʰ ɔ kː o
পিতা	p i t̪ aː
পিপলী	p i p ɔ l i
পিপ্পল	p i pː ɔ l
পিয়ানো	p i ɑ n o
পুটকি	p u ʈ k i
পুদিনা	p u d̪ i n a
পুষ্প	p u ʃ p ɔ
পুস্তক	p u s t ɔ k
পূতিবাত	p u t i b a t
পেঁচা	p ɛ̃ t ʃ a
পেখম	p e kʰ ɔ m
পেরেশান	p e r e ʃ a n
প্যাঁচা	p ɛ̃ t ʃ a
প্রশ্ন	p ɹ ɔ ʃ n o
প্রশ্ন	p ɾ ɔ ʃ n o
প্রসব	p ɾ o ʃ ɔ b
প্লিজ	p l i z
প্লীজ	p l i z
ফ	f ɔ
ফ	ɸ ɔ
ফড়িং	f ɔ ɹ i ŋ
ফড়িং	pʰ ɔ ɽ i ŋ
ফল	f ɔ l
ফল	pʰ ɔ l
ফলসা	pʰ ɔ l ʃ a
ফাটাফাটি	f a ʈ a f a ʈ i
ফায়দা	f a j d̪ a
ফারাক	f a r a k
ফুটি	pʰ u ʈ i
ফুল	f u l
ফুল	pʰ u l
ফেলা	f ɛ l ɑ
ফেলা	pʰ ɛ l ɑ
ফ্লপি	pʰ l ɔ p i
ব	b ɔ
বকুল	b o k u l
বগল	b o ɡ o l
বঙ্গ	b ɔ ŋ ɡ ɔ
বজ্র	b ɔ ɟ ɾ ɔ
বদলে	b ɔ d o l e
বন	b ɔ n
বন্ধুহীন	b ɔ n d̪ u ɦ i n
বন্ধুহীন	b ɔ n d̪ʱ u ɦ i n
বন্যা	b ɔ nː æ
বরফ	b ɔ r ɔ f
বরফ	b ɔ r ɔ pʰ
বলা	b ɔ l a
বসা	b ɔ ʃ a
বস্তু	b ɔ s t̪ u
বহেড়া	b ɔ h e ɽ a
বা	b ɑ
বাঁচাও	b ã c a o
বাঁদর	b a d̪ ɔ ɹ
বাঁদর	b a d̪ ɔ ɾ
বাঁশি	b ã ʃ i
বাংলাদেশ	b a ŋ l a d̪ e ʃ
বাংলাদেশি	b a ŋ l a d̪ e ʃ i
বাংলাদেশী	b a ŋ l a d̪ e ʃ i
বাঃ	b aʱ
বাইট	b a i ʈ
বাকি	b a k i
বাকী	b a k i
বাগ	b a ɡ
বাগান	b a ɡ a n
বাগিচা	b a ɡ i t ʃ a
বাঘ	b a ɡ
বাঘ	b a ɡʱ
বাঙালি	b a ŋ a l i
বাজ	b a d ʒ
বাজ	b a z
বাজার	b a d ʒ a ɾ
বাজার	b a z a ɾ
বাদ	b a d̪
বাদশাহ	b a d̪ ʃ a ɦ
বাদুড়	b a d̪ u ɹ
বাদুড়	b a d̪ u ɽ
বান	b a n
বানর	b a n ɔ ɹ
বানর	b a n ɔ ɾ
বাবা	b a b a
বাবুর্চি	b a b u r t ʃ i
বারি	b a ɾ i
বাল	b a l
বালিশ	b a l i ʃ
বাহ	b aʱ
বাহির	b a ɦ i ɾ
বিজ্ঞান	b i ɡː æ n
বিজ্ঞাপন	b i ɡ j a p ɔ n
বিদেশ	b i d̪ e ʃ
বিদেশি	b i d̪ e ʃ i
বিদেশী	b i d̪ e ʃ i
বিনা	b i n a
বিন্দু	b i n d̪ u
বিবাদ	b i b ɑ d̪
বিভাগ	b i bʱ ɑ ɡ
বিভাগ	b i v ɑ ɡ
বিরুদ্ধে	b i r u d̪ːʱ e
বিল্ব	b i lː ɔ
বিশ্রী	b i s ɾ i
বিসর্গ	b i ʃ o r ɡ o
বীচি	b i s i
বীচি	b i t s i
বীচি	b i t ʃ i
বৃক্ষ	b r i k kʰ o
বেকুব	b e k u b
বেগুন	b e ɡ u n
বেপরোয়া	b e p ɔ r w a
বেল	b e l
বেশী	b e ʃ i
বৈঁচি	b õ ĩ̯ c i
বৈকঙ্কত	b o i̯ k ɔ ŋ k ɔ t
বোকা	b o k a
বোঝা	b o d ʒ ɑ
বোঝা	b o d ʒʱ ɑ
বোঝা	b o z ɑ
বোন	b o n
বোরকা	b o ɹ k ɑ
বোরকা	b o ɾ k ɑ
ব্যক্তি	b æ k t̪ i
ব্যাঘ্র	b æ ɡʱ ɾ ɔ
ব্যাধি	b æ dʱ i
ব্লগ	b l ɔ ɡ
ভ	bʱ ɔ
ভগাঙ্কুর	bʱ ɔ ɡ ɑ ŋ k u ɾ
ভগাঙ্কুর	v ɔ ɡ ɑ ŋ k u ɹ
ভয়	bʱ ɔ e̯
ভাই	bʱ a j
ভাঙা	bʱ a ŋ a
ভাঙা	v a ŋ a
ভাজা	bʱ a j a
ভাত	bʱ a t
ভারত	b a ɹ ɔ t̪
ভারত	bʱ a ɾ ɔ t̪
ভাল	bʱ ɑ l o
ভাল	v ɑ l o
ভালবাসা	b a l o b a ʃ a
ভালবাসা	bʱ a l o b a ʃ a
ভালবাসা	v a l o b a ʃ a
ভালভা	v a l v a
ভালুক	bʱ a l u k
ভালুক	v a l u k
ভালো	bʱ a l o
ভালো	v a l o
ভালোবাসা	bʱ a l o b a ʃ a
ভাল্লুক	bʱ a lː u k
ভাল্লুক	v a lː u k
ভাষা	bʱ a ʂ aː
ভাষা	v ɑ ʃ ɑ
ভিয়েতনাম	v i j e t̪ n a m
ভেড়া	bʱ e ɽ ɑ
ভেড়া	v e ɽ ɑ
ভোদা	b o d̪ a
ভোদা	bʱ o d̪ a
ভোদা	v o d̪ a
ম	m ɔ
মত	m ɔ t̪ o
মতো	m ɔ t̪ o
ময়ূর	m ɔ j u ɹ
ময়ূর	m ɔ j u ɽ
ময়ূর	m ɔ j u ɾ
ময়ূরী	m ɔ j u ɹ i
ময়ূরী	m ɔ j u ɽ i
ময়ূরী	m ɔ j u ɾ i
মরণ	m ɒ ɹ ɒ n
মরা	m ɔ ɹ a
মরা	m ɔ ɾ a
মরিচ	m o ɾ i t ʃ
মলম	m ɔ l o m
মস্তিষ্ক	m ɔ s t̪ i ʃ k o
মাকড়শা	m a k ɔ ɽ ʃ ɑ
মাকড়শা	m a k ɔ ɾ ʃ ɑ
মাকড়সা	m a k ɔ ɽ ʃ ɑ
মাকড়সা	m a k ɔ ɾ ʃ ɑ
মাখন	m ɑ kʰ ɔ n
মাছ	m ɑ s
মাছ	m ɑ t ʃʰ
মাছি	m a s i
মাছি	m a t ʃʰ i
মাতৃভাষা	m aː t̪ r ɪ bʱ aː ʂ aː
মাথা	m a t̪ʰ a
মাধ্যমে	m a d̪ːʱ ɔ m e
মানুষ	m a n u ʃ
মানে	m a n e
মাল	m ɑ l
মালূর	m a l u ɾ
মাশাআল্লাহ্	m a ʃ a a l l aʱ
মুক্তা	m u k t a
মুখ	m u kʰ
মুরগি	m u r ɡ i
মুরগী	m u r ɡ i
মুহাজির	m u h a j i r
মূত্র	m u t̪ t̪ ɾ ɔ̝ˑ
মূত্রনালি	m u t̪ t̪ ɾ ɔ̝ n ä l iˑ
মৃত্যু	m r i t̪ t̪ u
মেজাজ	m e d ʒ a d ʒ
মেথী	m e tʰ i
মেয়ে	m e e
মেয়েমানুষ	m ɛ ə m ɜː n ʊ ʃ
মোটা	m o ʈ a
মোরগ	m o r ɔ ɡ
মৌচাক	m o u̯ t ʃ a k
মৌল	m o u̯ l
মৌসুম	m o u ʃ u m
মৌসুমি	m o u ʃ u m i
য	d͡ʒ ɔ
য়	e ɔ
য়	j ɔ
যুবক	d ʒ u b ɔ k
যুবতী	d ʒ u b ɔ t̪ i
র	r ɔ
রওনা	r ɔ o n a
রওয়ানা	r ɔ w a n a
রসায়ন	ɹ o ɹ ʃ j n
রাং	ɾ a ŋ
রাজি	r a d ʒ i
রাজি	r a z i
রাস্তা	ɾ a s t̪ a
রীতি	ɽ i t̪ i
রীতি	ɾ i t̪ i
রোগ	ɾ o ɡ
রোজা	ɾ o z a
ল	l ɔ
লক্ষ্মীপেঁচা	l o kːʰ i p æ̃ c a
লক্ষ্মীফল	l o kːʰ i pʰ ɔ l
লড়া	l ɔ ɹ a
লড়া	l ɔ ɽ a
লবণ	l ɔ b o n
লাইব্রেরী	l a i b ɾ e ɾ i
লাউ	l a u
লাও	l a o
লাগা	l ɑ ɡ ɑ
লাভ	l a bʱ
লালা	l a l a
লাশ	l a ʃ
লেবু	l e b u
শ	s ɔ
শ	ʃ ɔ
শক্ত	ʃ ɔ k t̪ ɔ
শঙ্খচূড়	ʃ ɔ ŋ kʰ o t ʃ u ɽ
শয়তান	ʃ ɔ j t̪ a n
শরাব	s h ô r a b
শহর	ʃ ɔ ɦ ɔ ɽ
শহর	ʃ ɔ ɦ ɔ ɾ
শাণ্ডিল্য	ʃ a n ɖ i lː ɔ
শাবাশ	ʃ a b a ʃ
শামিয়ানা	ʃ a m i j a n a
শামুক	ʃ a m u k
শালগম	ʃ a l ɡ ɔ m
শিকার	ʃ i k a r
শিকারি	ʃ i k a r i
শিক্ষা	ʃ i kːʰ ɑ
শিক্ষামূলক	ʃ i kːʰ a m u l ɔ k
শিবদ্রুম	ʃ i b d r u m
শিরীষ	ʃ i ɾ i ʃ
শুরু	ʃ u ɾ u
শুলফা	ʃ u l pʰ a
শেখা	ʃ e kʰ a
শৈবাল	ʃ o i̯ b a l
শৈলুষ	ʃ o i̯ l u ʃ
শোনা	ʃ o n ɑ
শ্মশ্রু	ʃ w ɔ ʃ ɾ u
শ্মশ্রু	ʃ õ s ʃ ɾ u
শ্রীফল	s ɾ i pʰ ɔ l
শ্রীবৃক্ষ	s ɾ i b ɾ i kːʰ ɔ
ষ	ʃ ɔ
স	s ɔ
স	ʃ ɔ
সংক্রামক	ʃ ɔ ŋ k ɾ a m ɔ k
সংবাদ	ʃ ɔ ŋ b ɑ d̪
সঙ্গে	ʃ ɔ ŋ ɡ e
সত্যফল	ʃ o tː ɔ pʰ ɔ l
সদর	ʃ ɔ d̪ o ɾ
সদরদপ্তর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদরদফতর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদাই	ʃ ɔ d̪ a i
সনদ	ʃ ɔ n o d̪
সনদপত্র	ʃ ɔ n o d̪ p ɔ t̪ ɾ o
সফর	s ɔ f o r
সফর	ʃ ɔ pʰ o r
সবজি	ʃ ɔ b d ʒ i
সবজি	ʃ ɔ b z i
সমকামিতা	s ɔ m ɔ k a m i t̪ a
সমকামিতা	ʃ ɔ m ɔ k a m i t̪ a
সমকামী	s ɔ m ɔ k a m i
সমকামী	ʃ ɔ m ɔ k a m i
সময়কাল	ʃ ɔ m ɔ j k a l
সমীরণ	ʃ o m i ɾ ɔ n
সরকার	ʃ ɔ ɾ k a ɾ
সলিল	ʃ o l i l
সাগর	ʃ a ɡ ɔ ɾ
সাদা	ʃ a d̪ a
সাপ	ʃ ɑ p
সাফ	s a f
সাফ	s a pʰ
সাবান	ʃ a b a n
সাবাশ	ʃ a b a ʃ
সাবাস	ʃ a b a ʃ
সার	ʃ a ɾ
সালাম	s a l a m
সিগারেট	s i ɡ ɑ r e ʈ
সিন্দুক	ʃ i n d̪ u k
সিন্ধু	ʃ i n d̪ u
সিন্ধু	ʃ i n d̪ʱ u
সিন্ধুঘোটক	ʃ i n d̪ u ɡ o ʈ ɔ k
সিন্ধুঘোটক	ʃ i n d̪ʱ u ɡʱ o ʈ ɔ k
সুন্দর	ʃ u n d̪ ɔ ɾ
সুন্দরী	ʃ u n d̪ ɔ ɾ i
সুভদ্রক	ʃ u bʱ ɔ dː ɾ ɔ k
সুরত	s u r ô t
সুলতান	s u l t̪ a n
সুলতানা	s u l t̪ a n a
সে	ʃ e
সৌন্দর্য	s o u n d̪ ɔ ɹ d ʒ o
সৌন্দর্য	s o u n d̪ ɔ ɹ z o
সৌন্দর্য	s o u n d̪ ɔ ɾ d ʒ o
সৌন্দর্য	ʃ o u n d̪ ɔ ɹ d ʒ o
সৌন্দর্য	ʃ o u n d̪ ɔ ɹ z o
সৌন্দর্য	ʃ o u n d̪ ɔ ɾ d ʒ o
স্নেহ	s n e ɦ o
স্ফটিক	ʃ pʰ o ʈ i k
স্বপ্ন	ʃ ɔ p n o
স্বাস্থ্য	ʃ a s tʰ j ɔ
স্রেফ	s ɾ e f
সৎ	s ɔ t̪
হ	h ɔ
হঠাত্	ɦ ɔ ʈʰ a t̪
হতাশা	ɦ ɔ t̪ ɑ ʃ ɑ
হয়রান	ɦ ɔ e̯ ɾ a n
হরীতকী	h o ɾ i t o k i
হাঁ	h æ̃ː
হাঁটা	ɦ a ʈ a
হাঁটু	ɦ a ʈ u
হাঁটু	ɦ ã ʈ u
হাগা	ɦ a ɡ a
হাগু	ɦ a ɡ u
হাত	ɦ a t̪
