ئا	a
قۇدۇق	q u d u q
قۇش	q u ʃ
قۇم	q u m
قەغەز	q æ ʁ æ z
قەلەم	q æ l æ m
ك	k
ك	k e
كارۋات	k ɑ r w ɑ t
كىتاب	k i t ɑ p
كىچىك	k i t͡ʃ i k
كۆز	k ø z
كۆل	k ø l
كەسىپ	k ɛ s ɪ p
كەچۈرۈڭ	k e t ʃ i r i ŋ
كەچۈرۈڭ	k ɛ t ʃ y r y ŋ
ل	l
ل	l e
لۇغەت	l u ʁ æ t
لەڭمەن	l æ ʁ m ɑ n
م	m
م	m e
مايمۇن	m ɑ j m u n
مىليارد	m i l j ɑ r t
مىليون	m i l j o n
مىڭ	m i ŋ
مۇھەببەت	m u h ɛ p b ɛ t
مۈشۈك	m y ʃ y k̚
مەن	m æ n
مەھەممەت	m æ m æ t̚
مەھەممەت	m ɛ m ɛ t̚
ن	n
ن	n e
نۆل	n ø l
نۆل	n œ l
نۆلىنچى	n ø l i n t͡ʃ i
نۆلىنچى	n œ l i n t͡ʃ i
نېفىت	n e f i t
نېمە	n e m ɛ
ى	i
ي	j
ي	j e
ياخشى	j ɑ χ ʃ i
ياخشىمۇسىز	j ɑ χ ʃ i m u s i z
ياخشىمۇسىلەر	j a kʰ ʃ i m u s i l æ r
ياخشىمۇسىلەر	j a kʰ ʃ i m u s i l ɛ r
ياخشىمۇسىلەر	j ɑ x ʃ i m u s i l æ r
ياخشىمۇسىلەر	j ɑ x ʃ i m u s i l ɛ r
ياق	j ɑ q
يالغان	j ɑ l ʁ ɑ n
يانفون	j ɑ ŋ p o n
يىل	j i l
يىلان	j i l ɑ n
يىگىرمە	j i ɡ i r m æ
يىگىرمە	j i ɡ i r m ɛ
يۇلتۇز	j u l t u z
يۈز	j y z
يېشىل	j e ʃ i l
يەتتىنچى	j ɛ t t i n t ʃ i
يەتتە	j æ t t æ
يەتتە	j æ t̚ t æ
يەتتە	j ɛ t t ɛ
يەتتە	j ɛ t̚ t ɛ
يەتمىش	j ɛ t m i ʃ
يەكشەنبە	j æ k ʃ æ m b æ
يەكشەنبە	j æ x ʃ æ m b æ
يەكشەنبە	j ɛ k ʃ ɛ m b ɛ
يەكشەنبە	j ɛ x ʃ ɛ m b ɛ
پ	p
پ	p e
پروفېسسور	p r o p e s s o r
پويىز	p o j i z
پىشلاق	p i ʃ l ɑ q
پەيشەنبە	p æ j ʃ æ n b æ
پەيشەنبە	p ɛ j ʃ ɛ n b ɛ
چ	t͡ʃ
چ	t͡ʃ e
چارشەنبە	t ʃ a r ʃ æ n b æ
چارشەنبە	t ʃ a r ʃ ɛ n b ɛ
چارشەنبە	t ʃ ɑ r ʃ æ n b æ
چارشەنبە	t ʃ ɑ r ʃ ɛ n b ɛ
چاشكا	t͡ʃ ɑ ʃ k ɑ
چاي	t͡ʃ ɑ j
چوكا	t͡ʃ o k ɑ
چىش	t͡ʃ i ʃ
چېركاۋ	t͡ʃ e r k ɑ w
چېچەك	t͡ʃ e t͡ʃ æ k̚
چېچەك	t͡ʃ e t͡ʃ ɛ k̚
ژ	ʒ
ژ	ʒ e
ژۇرنال	ʒ u r n ɑ l
ڭ	ŋ
ڭ	ŋ e
گ	ɡ
گ	ɡ e
گۈل	ɡ y l
گۈللەر	ɡ y l l æ r
گۈللەر	ɡ y l l æː
گۈللەر	ɡ y l l ɛ r
گېزىت	ɡ e z i t
ھ	h
ھ	h e
ھازىر	ɦ ɑ z ɪ r
ھازىرقى	ɦ ɑ z ɪ r q ɨ
ھايات	h ɑ j ɑ t
ھېكايە	h i k ɑ j æ
ھەئە	h ɛ ʔ ɛ
ھەيكەل	h æ j k æ l
ھەپتە	h æ p t æ
ھەپتە	h æ p̚ t æ
ھەپتە	h ɛ p t ɛ
ھەپتە	h ɛ p̚ t ɛ
ھەپتە	ɦ æ p t æ
ھەپتە	ɦ æ p̚ t æ
ھەپتە	ɦ ɛ p t ɛ
ھەپتە	ɦ ɛ p̚ t ɛ
ۋ	w
ۋ	w e
ۋېلسىپىت	w e l s i p i t
