a	ɑ
prepozītsijõ	p r e p o z iː t̪ s i j ə
pärsōn	p æ r s oː n
pānda	p ɑː n d ə
pōr	p ɒː r
pōrkimdõ	p ɒː r k i m d ə
pōŗ	p ɒː rʲ
pōŗkimdõ	p ɒː rʲ k i m d ə
pū	p uː
pūoga	p uː o ɡ ɑ
pūojmer	p uː o j m e r
pūolpǟva	p uː o l p æː v ɑ
pūoļmō	p uː o ʎ m ɒː
pūošt	p uː o ʃ t̪
pǟ	p æː
pǟgiņlug	p æː ɡ i ɲ l u ɡ
pǟrnov	p æː r n o v
pǟrnov	p æː r n o w
pǟva	p æː v ɑ
pǟvaīe	p æː v ɑ iː e
pȯis	p ɤ i s
pȯiški	p ɤ i ʃ k i
r	r
rištīng	r i ʃ t iː ŋ ɡ
rumāņmō	r u m ɑː ɲ m ɒː
rumēnij	r u m eː n i j
rõkāndiji	r ɯ k ɑː n d̪ i j i
rõkāndõ	r ɯ k ɑː n d̪ ə
rānda	r ɑː n d̪ ɑ
rīgõ	r iː ɡ ə
rō	r ɒːˀ
rōntõz	r oː n t ə z
rūnõ	r uː n ə
rūnõmō	r uː n ə m ɒː
rūoj	r uː o j
rūotšmō	r uː o t ʃ m ɒː
s	s
saksāmō	s ɑ k s ɑː m ɒː
salāts	s ɑ l ɑː t s
seistuoistõn	s e i s t u o i s t ə n
septembõr	s e p t e m b ə r
serbij	s e r b i j
setkimdõ	s e t k i m d ə
sibīrij	s i b iː r i j
sigā	s i ɡ ɑː
sigžkū	s i ɡ ʒ k uː
sinā	s i n ɑː
siḑīmsõnā	s i ɟ iː m s ɯ n ɑː
slovēnij	s l o v eː n i j
spāņ	s p ɑː ɲ
spāņmō	s p ɑː ɲ m ɒː
statsij	s t ɑ t s i j
sukā	s u k ɑː
sõnā	s ɯ n ɑː
sõnārōntõz	s ɯ n ɑː r oː n t̪ ə z
sīemi	s iː e m i
sīkrõg	s iː k r ə ɡ
sīlma	s iː l m ɑ
sōrmō	s oː r m ɒː
sūo	s uː o
sūomli	s uː o m l i
sūomõmō	s uː o m ə m ɒː
sǟnag	s æː n ɑ ɡ
t	t̪
tint	t i n t
tirkmō	t i r k m ɒː
tsukkõr	t̪ s u kː ə r
tsībõrmō	t s iː b ə r m ɒː
tukāmō	t u k ɑː m ɒː
tuoistõn	t u o i s t ə n
tuoistõnz	t u o i s t ə n z
tämā	t æ m ɑː
tēg	t̪ eː ɡ
tēriņtš	t̪ eː r i ɲ t̪ ʃ
tēḑ	t̪ eː ʔ ɟ
tīemizsõnā	t iː e m i z s ɯ n ɑː
tīepǟva	t iː e p æː v ɑ
tōvaz	t oː v ɑ z
tūlda	t uː l d ə
tūoiznapǟva	t u o i z n ɑ p æː v ɑ
u	u
um	u m
ummitsõnā	u mː i t s ɯ n ɑː
ungārmō	u ŋ ɡ ɑː r m ɒː
v	v
vaid	v ɑ i d
vanā	v ɑ n ɑː
vel	v e l
veļ	v e ʎ
vež	v e ʒ
vidumō	v i d u m ɒː
vidūmō	v i d uː m ɒː
vigā	v i ɡ ɑː
värb	v æ r b
vāldakrīevmō	v ɑː l d ɑ k r iː e v m ɒː
vāldamer	v ɑː l d ɑ m e r
vēna	v eː n ɑ
vīmkū	v iː m k uː
vīļakū	v iː ʎ ɑ k uː
vīžtuoistõn	v iː ʒ t u o i s t ə n
vīțsõnā	v iː c s ɯ n ɑː
vǟnta	v æː n t ɑ
vȯl	v ɤ l
vȯlmsõnā	v ɤ l m s ɯ n ɑː
vȯņ	v ɤ ɲː
vȱlda	v ɤː l d ɑ
vȱntsa	v ɤː n t s ɑ
z	z
ä	æ
äb	æ b
äbknaš	æ b k n ɑ ʃ
äd	æ d
äl	æ lː
äm	æ m
ämār	æ m ɑː r
ät	æ t
õ	ə
õ	ɯ
ā	ɑː
āigast	ɑː i ɡ ɑ s t̪
āinakū	ɑː i n ɑ k uː
ē	eː
ēstimō	eː s t i m ɒː
ī	iː
īdõkssadā	iː d ə k s s ɑ d ɑː
īdõkstuoistõn	iː d ə k s t u o i s t ə n
īdõkstuoistõnz	iː d ə k s t u o i s t ə n z
īevad	iː e v ɑ d̪
īra	iː r ɑ
īrõmō	iː r ə m ɒː
īsland	iː s l ɑ n d
ļ	ʎ
ņ	ɲ
ō	oː
ōj	ɒː j
ŗ	rʲ
š	ʃ
šveits	ʃ v e i t s
ū	uː
ūomõg	uː o m ə ɡ
ūžkilā	uː ʃ k i l ɑː
ž	ʒ
ǟ	æː
ǟma	æː m ɑ
ț	c
ȭ	ə
ȭ	ɯː
ȭdõg	ɯː d ə ɡ
ȯ	ɤ
ȱ	ɤː
ḑ	ɟ
