अ	ə
अज़दहा	ə d͡ʒ d̪ ə ɦ ɑː
अज़दहा	ə z d̪ ə ɦ ɑː
अज़रबैजान	ə d͡ʒ ə ɾ b ɛː d͡ʒ ɑː n
अज़रबैजान	ə z ə ɾ b ɛː d͡ʒ ɑː n
अज़ान	ə d͡ʒ ɑː n
अज़ान	ə z ɑː n
अज़ाब	ə d͡ʒ ɑː b
अज़ाब	ə z ɑː b
अज़ीज़	ə d͡ʒ iː d͡ʒ
अज़ीज़	ə z iː z
अज़ीम	ə d͡ʒ iː m
अज़ीम	ə z iː m
अजान	ə d͡ʒ ɑː n
अजायबघर	ə d͡ʒ ɑː j ə b ɡʱ ə ɾ
अजिल्द	ə d͡ʒ ɪ l d̪
अजी	ə d͡ʒ iː
अजीब	ə d͡ʒ iː b
अजीर्ण	ə d͡ʒ iː ɾ ɳ
अजूबा	ə d͡ʒ uː b ɑː
अजेंडा	ə d͡ʒ eː ɳ ɖ ɑː
अज्ञात	ə ɡ j aː t̪
अज्ञानपन	ə ɡ j ɑː n p ə n
अझ़दहा	ə d͡ʒ d̪ ə ɦ ɑː
अझ़दहा	ə z d̪ ə ɦ ɑː
अटक	ə ʈ ə k
अटकना	ə ʈ ə k n ɑː
अटकल	ə ʈ k ə l
अटकलपच्चू	ə ʈ k ə l p ə t͡ʃ t͡ʃ uː
अटकाना	ə ʈ k ɑː n ɑː
अटकाव	ə ʈ k ɑː ʋ
अटपटा	ə ʈ p ə ʈ ɑː
अटल	ə ʈ ə l
अटारी	ə ʈ ɑː ɾ iː
अटूट	ə ʈ uː ʈ
अटैची	ə ʈ ɛː t͡ʃ iː
अट्ठा	ə ʈ ʈʰ ɑː
अट्ठाईस	ə ʈ ʈʰ ɑː iː s
अट्ठानवे	ə ʈ ʈʰ ɑː n ʋ eː
अट्ठावन	ə ʈ ʈʰ ɑː ʋ ə n
अट्ठासी	ə ʈ ʈʰ ɑː s iː
अठन्नी	ə ʈʰ ə n n iː
अठपहिया	ə ʈʰ p ə iː j ɑː
अठपहिया	ə ʈʰ p ə ɦ iː j ɑː
अठहत्तर	ə ʈʰ ɦ ə t̪ t̪ ə ɾ
अठारह	ə ʈʰ ɑː ɾ əʱ
अड़ंगा	ə ɽ ə ŋ ɡ ɑː
अड़चन	ə ɽ t͡ʃ ə n
अड़तालीस	ə ɽ t̪ ɑː l iː s
अड़तीस	ə ɽ t̪ iː s
अड़ना	ə ɽ n ɑː
अड़सठ	ə ɽ s ə ʈʰ
अड़ाना	ə ɽ ɑː n ɑː
अड़ियल	ə ɽ iː j ə l
अडिग	ə ɖ ɪ ɡ
अणु	ə ɳ uː
अतः	ə t̪ əʰ
अतएव	ə t̪ ə ‿ eː ʋ
अतएव	ə t̪ ə ‿ eː ʋ ə
अति	ə t̪ iː
अतिकाल	ə t̪ ɪ k ɑː l
अतिवाद	ə t̪ ɪ ʋ ɑː d̪
अतिवादी	ə t̪ ɪ ʋ ɑː d̪ iː
अतिशयोक्ति	ə t̪ ɪ ʃ j oː k t̪ iː
अतिसंवेदनशील	ə t̪ ɪ s ə m ʋ eː d̪ ə n ʃ iː l
अतिसार	ə t̪ ɪ s ɑː ɾ
अतीत	ə t̪ iː t̪
अतुलित	ə t̪ ʊ l ɪ t̪
अतुल्य	ə t̪ ʊ l jᵊ
अत्फ़ाल	ə t̪ f ɑː l
अत्फ़ाल	ə t̪ pʰ ɑː l
अत्यंत	ə t̪ j ə n t̪
अत्याचार	ə t̪ j ɑː t͡ʃ ɑː ɾ
अत्याचारी	ə t̪ j ɑː t͡ʃ ɑː ɾ iː
अत्यावश्यक	ə t̪ j ɑː ʋ ə ʃ j ə k
अत्युत्तम	ə t̪ j ʊ t̪ t̪ ə m
अथक	ə t̪ʰ ə k
अथवा	ə t̪ʰ ʋ ɑː
अथाह	ə t̪ʰ ɑːʱ
अदब	ə d̪ ə b
अदरक	ə d̪ ɾ ə k
अदहन	ə d̪ ɦ ə n
अदा	ə d̪ ɑː
अदाकार	ə d̪ ɑː k ɑː ɾ
अदालती	ə d̪ ɑː l ə t̪ iː
अदावत	ə d̪ ɑː ʋ ə t̪
अदिश	ə d̪ ɪ ʃ
अद्यतन	ə d̪ j ə t̪ ə n
अधर्म	ə d̪ʱ ə ɾ m
अधश्चेतक	ə d̪ʱ ə ʃ t͡ʃ eː t̪ ə k
अधिकतम	ə d̪ʱ ɪ k t̪ ə m
अधिकता	ə d̪ʱ ɪ k t̪ ɑː
अधिकरण	ə d̪ʱ ɪ k ə ɾ ə ɳ
अधिकार	ə d̪ʱ ɪ k ɑː ɾ
अधिकृत	ə d̪ʱ ɪ k ɾ ɪ t̪
अधिनायक	ə d̪ʱ ɪ n ɑː j ə k
अधिनियम	ə d̪ʱ ɪ n iː j ə m
अधिभार	ə d̪ʱ ɪ bʱ ɑː ɾ
अधिमास	ə d̪ʱ ɪ m ɑː s
अधिलाभ	ə d̪ʱ ɪ l ɑː bʱ
अधिवक्ता	ə d̪ʱ ɪ ʋ ə k t̪ ɑː
अधिवार्षिकी	ə d̪ʱ ɪ ʋ ɑː ɾ ʂ ɪ k iː
अधिवेशन	ə d̪ʱ ɪ ʋ eː ʃ ə n
अधिसूचना	ə d̪ʱ ɪ s uː t͡ʃ n ɑː
अधिसूचित	ə d̪ʱ ɪ s uː t͡ʃ ɪ t̪
अधीक्षक	ə d̪ʱ iː k ʂ ə k
अधीक्षण	ə d̪ʱ iː k ʂ ə ɳ
अधीन	ə d̪ʱ iː n
अधीनता	ə d̪ʱ iː n t̪ ɑː
अधीर	ə d̪ʱ iː ɾ
अधीरता	ə d̪ʱ iː ɾ t̪ ɑː
अधीश	ə d̪ʱ iː ʃ
अधूरा	ə d̪ʱ uː ɾ ɑː
अधेड़	ə d̪ʱ eː ɽ
अधोहस्ताक्षरी	ə d̪ʱ oː ɦ ə s t̪ ɑː k ʂ ə ɾ iː
अध्यक्षता	ə d̪ʱ j ə k ʂ t̪ ɑː
अध्ययन	ə d̪ʱ j ə j ə n
अध्ययन	ə d̪ʱ j ə n
अध्यादेश	ə d̪ʱ j ɑː d̪ eː ʃ
अध्यापक	ə d̪ʱ j ɑː p ə k
अनंतपुर	ə n ə n t̪ p ʊ ɾ
अनकहा	ə n k ə ɦ ɑː
अनखिला	ə n kʰ ɪ l ɑː
अनगढ़	ə n ɡ ə ɽʱ
अनगिनत	ə n ɡ ɪ n ə t̪
अनचाहा	ə n t͡ʃ ɑː ɦ ɑː
अनजाना	ə n d͡ʒ ɑː n ɑː
अनजाने	ə n d͡ʒ ɑː n eː
अनदेखा	ə n d̪ eː kʰ ɑː
अनन्नास	ə n ə n n ɑː s
अनपच	ə n p ə t͡ʃ
अनपढ़	ə n p ə ɽʱ
अनब्याहा	ə n b j ɑː ɦ ɑː
अनमना	ə n m ə n ɑː
अनमोल	ə n m oː l
अनर्थ	ə n ə ɾ t̪ʰ
अनशन	ə n ʃ ə n
अनसुना	ə n s ʊ n ɑː
अनस्तित्व	ə n ə s t̪ ɪ t̪ ʋᵊ
अनहोनी	ə n ɦ oː n iː
अनाचार	ə n ɑː t͡ʃ ɑː ɾ
अनाज	ə n ɑː d͡ʒ
अनाड़ी	ə n ɑː ɽ iː
अनातोली	ə n ɑː t̪ oː l iː
अनाथालय	ə n ɑː t̪ʰ ɑː l ə j
अनाधिकारिक	ə n ɑː d̪ʱ ɪ k ɑː ɾ ɪ k
अनामिका	ə n ɑː m ɪ k ɑː
अनार	ə n ɑː ɾ
अनारदाना	ə n ɑː ɾ d̪ ɑː n ɑː
अनिच्छा	ə n ɪ t͡ʃ t͡ʃʰ ɑː
अनिद्रा	ə n ɪ d̪ ɾ ɑː
अनियंत्रित	ə n iː j ə n t̪ ɾ ɪ t̪
अनियमित	ə n iː j ə m ɪ t̪
अनियमितता	ə n iː j ə m ɪ t̪ t̪ ɑː
अनिवार्य	ə n ɪ ʋ ɑː ɾ jᵊ
अनिवार्यतः	ə n ɪ ʋ ɑː ɾ j ə t̪ əʰ
अनिश्चित	ə n ɪ ʃ t͡ʃ ɪ t̪
अनिश्चितता	ə n ɪ ʃ t͡ʃ ɪ t̪ t̪ ɑː
अनुकरण	ə n ʊ k ə ɾ ə ɳ
अनुकूल	ə n ʊ k uː l
अनुकूलन	ə n ʊ k uː l ə n
अनुगृहीत	ə n ʊ ɡ ɾ ɪ ɦ iː t̪
अनुग्रह	ə n ʊ ɡ ɾ əʱ
अनुचित	ə n ʊ t͡ʃ ɪ t̪
अनुच्छेद	ə n ʊ t͡ʃ t͡ʃʰ eː d̪
अनुज्ञप्ति	ə n ʊ ɡ j ə p t̪ iː
अनुदान	ə n ʊ d̪ ɑː n
अनुनय	ə n ʊ n ə j
अनुनाद	ə n ʊ n ɑː d̪
अनुनासिक	ə n ʊ n ɑː s ɪ k
अनुनासिकता	ə n ʊ n ɑː s ɪ k t̪ ɑː
अनुपजाऊ	ə n ʊ p d͡ʒ ɑː uː
अनुपयोगी	ə n ʊ p j oː ɡ iː
अनुपस्थित	ə n uː p ə s t̪ʰ ɪ t̪
अनुपस्थिति	ə n ʊ p ə s t̪ʰ ɪ t̪ iː
अनुपात	ə n ʊ p ɑː t̪
अनुपूरक	ə n ʊ p uː ɾ ə k
अनुप्रयुक्त	ə n ʊ p ɾ ə j ʊ k t̪
अनुप्रास	ə n ʊ p ɾ ɑː s
अनुभवी	ə n ʊ bʱ ə ʋ iː
अनुभूति	ə n ʊ bʱ uː t̪ iː
अनुमानतः	ə n ʊ m ɑː n t̪ əʰ
अनुमानित	ə n ʊ m ɑː n ɪ t̪
अनुमोदन	ə n̪ ʊ m o d̪ ə n̪
अनुयायी	ə n ʊ j ɑː j iː
अनुरक्षण	ə n ʊ ɾ ə k ʂ ə ɳ
अनुरागहीनता	ə n ʊ ɾ ɑː ɡ ɦ iː n t̪ ɑː
अनुरूप	ə n ʊ ɾ uː p
अनुरोध	ə n ʊ ɾ oː d̪ʱ
अनुवांशिक	ə n ʊ ʋ ɑː n ʃ ɪ k
अनुवांशिकी	ə n ʊ ʋ ɑː n ʃ ɪ k iː
अनुवाद	ə n ʊ ʋ ɑː d̪
अनुवादित	ə n ʊ ʋ ɑː d̪ ɪ t̪
अनुशासन	ə n ʊ ʃ ɑː s ə n
अनुशासित	ə n ʊ ʃ ɑː s ɪ t̪
अनुशीलन	ə n ʊ ʃ iː l ə n
अनुष्ठान	ə n ʊ ʂ ʈʰ ɑː n
अनुसंधान	ə n ʊ s ə n d̪ʱ ɑː n
अनुसरण	ə n ʊ s ə ɾ ə ɳ
अनुस्वार	ə n ʊ s ʋ ɑː ɾ
अनूठा	ə n uː ʈʰ ɑː
अनूदित	ə n uː d̪ ɪ t̪
अनेक	ə n eː k
अनेकता	ə n eː k t̪ ɑː
अनेकानेक	ə n eː k ɑː n eː k
अनौपचारिक	ə n ɔː p t͡ʃ ɑː ɾ ɪ k
अन्तरिक्ष	ə n t̪ ə ɾ ɪ k ʂ
अन्दर	ə n d̪ ə ɾ
अन्न	ə n nᵊ
अन्य	ə n j ə
अन्यथा	ə n j ə t̪ʰ ɑː
अन्याय	ə n j ɑː j
अन्यायपूर्ण	ə n j ɑː j p uː ɾ ɳ
अन्यायी	ə n j ɑː j iː
अपकार	ə p k ɑː ɾ
अपकीर्ति	ə p k iː ɾ t̪ iː
अपक्व	ə p ə k ʋ ə
अपतट	ə p t̪ ə ʈ
अपत्य	ə p ə t̪ jᵊ
अपदेश	ə p d̪ eː ʃ
अपना	ə p n ɑː
अपमान	ə p m ɑː n
अपमानजनक	ə p m ɑː n d͡ʒ ə n ə k
अपमानित	ə p m ɑː n ɪ t̪
अपयश	ə p j ə ʃ
अपराध	ə p ɾ ɑː d̪ʱ
अपराधी	ə p ɾ ɑː d̪ʱ iː
अपरिचित	ə p ə ɾ ɪ t͡ʃ ɪ t̪
अपरिपक्व	ə p ɾ ɪ p ə k ʋᵊ
अपरिमेय	ə p ə ɾ ɪ m eː j
अपरिरुद्ध	ə p ə ɾ ɪ ɾ ʊ d̪ d̪ʱ
अपर्याप्त	ə p ə ɾ j ɑː p t̪
अपलक	ə p ə l ə k
अपवाद	ə p ʋ ɑː d̪
अपवित्र	ə p ə ʋ ɪ t̪ ɾᵊ
अपव्यय	ə p ʋ j ə j
अपशकुन	ə p ʃ ə k ʊ n
अपसामान्य	ə p s ɑː m ɑː n jᵊ
अपहरण	ə pʰ ə ɾ ə ɳ
अपहर्ता	ə pʰ ə ɾ t̪ ɑː
अपितु	ə p ɪ t̪ uː
अपुष्ट	ə p ʊ ʂ ʈ
अपूर्ण	ə p uː ɾ ɳ
अपूर्व	ə p uː ɾ ʋ ə
अपेक्षा	ə p eː k ʂ ɑː
अपेक्षाकृत	ə p eː k ʂ ɑː k ɾ ɪ t̪
अपेक्षित	ə p eː k ʂ ɪ t̪
अपॉइंटमेंट	ə p ɔ ɪ ɳ ʈ m eː ɳ ʈ
अप्रकट	ə p ɾ ə k ə ʈ
अप्रकाशित	ə p ɾ ə k ɑː ʃ ɪ t̪
अप्रचलित	ə p ɾ ə t͡ʃ ə l ɪ t̪
अप्रत्यक्ष	ə p ɾ ə t̪ j ə k ʂ
अप्रत्याशित	ə p ɾ ə t̪ j ɑː ʃ ɪ t̪
अप्रसन्न	ə p ɾ ə s ə n nᵊ
अप्रिय	ə p ɾ ɪ j
अप्रैल	ə p ɾ ɛː l
अप्सरा	ə p s ə ɾ ɑː
अफरना	ə pʰ ə ɾ n ɑː
अफ़लातून	ə f l ɑː t̪ uː n
अफ़लातून	ə pʰ l ɑː t̪ uː n
अफ़वाह	ə f ʋ ɑːʱ
अफ़वाह	ə pʰ ʋ ɑːʱ
अफ़सर	ə f s ə ɾ
अफ़सर	ə pʰ s ə ɾ
अफ़साना	ə f s ɑː n ɑː
अफ़साना	ə pʰ s ɑː n ɑː
अफ़सोसजनक	ə f s oː s d͡ʒ ə n ə k
अफ़सोसजनक	ə pʰ s oː s d͡ʒ ə n ə k
अफ़ीम	ə f iː m
अफ़ीम	ə pʰ iː m
अफ़ीमची	ə f iː m t͡ʃ iː
अफ़ीमची	ə pʰ iː m t͡ʃ iː
अफ़्ग़ानिस्तान	ə f ɣ ɑː n ɪ s t̪ ɑː n
अफ़्ग़ानिस्तान	ə pʰ ɡ ɑː n ɪ s t̪ ɑː n
अफ़्रीका	ə f ɾ iː k ɑː
अफ़्रीका	ə pʰ ɾ iː k ɑː
अफ़्साना	ə f s ɑː n ɑː
अफ़्साना	ə pʰ s ɑː n ɑː
अबटाबाद	ə b ʈ ɑː b ɑː d̪
अबाबील	ə b ɑː b iː l
अबिचल	ə b ɪ t͡ʃ ə l
अबिवात्त	ə b ɪ ʋ ɑː t̪ t̪
अबीर	ə b iː ɾ
अबोध	ə b oː d̪ʱ
अब्जद	ə b d͡ʒ ə d̪
अब्बा	ə b b ɑː
अब्र	ə b ɾᵊ
अब्रू	ə b ɾ uː
अभागा	ə bʱ ɑː ɡ ɑː
अभाव	ə bʱ ɑː ʋ
अभिकथन	ə bʱ ɪ k ə t̪ʰ ə n
अभिकलित्र	ə bʱ ɪ k ə l ɪ t̪ ɾᵊ
अभिकारक	ə bʱ ɪ k ɑː ɾ ə k
अभिक्रिया	ə bʱ ɪ k ɾ iː j ɑː
अभिगम	ə bʱ ɪ ɡ ə m
अभिदृश्यक	ə bʱ ɪ d̪ ɾ ɪ ʃ j ə k
अभिनय	ə bʱ ɪ n ə j
अभिनेता	ə bʱ ɪ n eː t̪ ɑː
अभिनेत्री	ə bʱ ɪ n eː t̪ ɾ iː
अभिप्राय	ə bʱ ɪ p ɾ ɑː j
अभिभावक	ə bʱ ɪ bʱ ɑː ʋ ə k
अभिभूत	ə bʱ ɪ bʱ uː t̪
अभिमानी	ə bʱ ɪ m ɑː n iː
अभियंता	ə bʱ iː j ə n t̪ ɑː
अभियंत्रण	ə bʱ iː j ə n t̪ ɾ ə ɳ
अभियंत्रिकी	ə bʱ iː j ə n t̪ ɾ ɪ k iː
अभियांत्रिकी	ə bʱ iː j ɑː n t̪ ɾ ɪ k iː
अभियान	ə bʱ iː j ɑː n
अभियुक्त	ə bʱ i j ʊ k t̪
अभियोक्ता	ə bʱ iː j oː k t̪ ɑː
अभियोग	ə bʱ iː j oː ɡ
अभियोजक	ə bʱ iː j oː d͡ʒ ə k
अभिरुचि	ə bʱ ɪ ɾ ʊ t͡ʃ iː
अभिलाषा	ə bʱ ɪ l ɑː ʂ ɑː
अभिवादन	ə bʱ ɪ ʋ ɑː d̪ ə n
अभिव्यक्त	ə bʱ ɪ ʋ j ə k t̪
अभिव्यक्ति	ə bʱ ɪ ʋ j ə k t̪ iː
अभी	ə bʱ iː
अभूतपूर्व	ə bʱ uː t̪ p uː ɾ ʋᵊ
अभ्यस्त	ə bʱ j ə s t̪
अभ्यागत	ə bʱ j ɑː ɡ ə t̪
अभ्यास	ə bʱ j ɑː s
अभ्यासक्रम	ə bʱ j ɑː s k ɾ ə m
अभ्यासवश	ə bʱ j ɑː s ʋ ə ʃ
अभ्रक	ə bʱ ɾ ə k
अमचूर	ə m t͡ʃ uː ɾ
अमन	ə m ə n
अमरावती	ə m ɾ ɑː ʋ ə t̪ iː
अमरीका	ə m ɾ iː k ɑː
अमरूद	ə m ɾ uː d̪
अमल	ə m ə l
अमानत	ə m ɑː n ə t̪
अमानती	ə m ɑː n ə t̪ iː
अमानवीय	ə m ɑː n ə ʋ iː jᵊ
अमानवीयता	ə m ɑː n ə ʋ iː j ə t̪ ɑː
अमान्य	ə m ɑː n jᵊ
अमावस	ə m ɑː ʋ ə s
अमाशय	ə m ɑː ʃ ə j
अमिट	ə m ɪ ʈ
अमीर	ə m iː ɾ
अमीरी	ə m iː ɾ iː
अमुक	ə m ʊ k
अमूल्य	ə m uː l jᵊ
अमेरिका	ə m eː ɾ ɪ k ɑː
अमेरिकी	ə m eː ɾ ɪ k iː
अमोघ	ə m oː ɡʱ
अम्बर	ə m b ə ɾ
अम्मा	ə m m ɑː
अम्माँ	ə m m ɑ̃ː
अम्मी	ə m m iː
अम्ल	ə m lᵊ
अम्लता	ə m l ə t̪ ɑː
अम्लता	ə m lᵊ t̪ ɑː
अम्लपित्त	ə m l ə p ɪ t̪ t̪
अम्लपित्त	ə m lᵊ p ɪ t̪ t̪
अम्लीय	ə m l iː jᵊ
अयस्	ə j ə s
अयस्क	ə j ə s k
अयोग्यता	ə j oː ɡ j ə t̪ ɑː
अयोध्या	ə j oː d̪ʱ j ɑː
