آٹا	ɑː ʈ ɑː
ਪਿੱਠ	p ɪ ʈʰ
ਪੀਣਾ	p iː ɳ ɑː
ਪੈਰ	p ɛː ɾ
ਪ੍ਰਭੂ	p ɾ ə́ b uː
ਫ	pʰ ə
ਫ਼	f ə
ਫ਼	f ə
ਬ	b ə
ਬਾਂਹ	b ɑ́ː
ਬਾਘ	b ɑ́ː ɡ
ਬਿੰਦੀ	b ɪ n d̪ iː
ਬੂਹਾ	b uː ɦ ɑː
ਬੋਲਣਾ	b ō l ɳ ɑː
ਭ	p ə̀
ਭਰੋਸਾ	p ə ˨ ɾ oː ˨ s ɑː
ਭਾਈ	p ɑː ˩˨ iː
ਭਾਰਤ	p àː r ə t̪
ਭਾਰਾ	p ɑː ˩˨ ɾ ɑː
ਭਿੰਡੀ	p ɪ ɳ ˩˨ ɖ iː
ਮ	m ə
ਮਸੀਤ	m ə s iː t̪ᵊ
ਮਾਸੀ	m ɑː s s iː
ਮਿਨਟ	m ɪ ɳ ʈᵊ , m ɪ n ə ʈ ʈᵊ
ਮੱਛੀ	m ə t͡ʃʰː iː
ਯ	j ə
ਯ	j ə
ਰ	ɾ ə
ਰੁੱਤ	ɾ ʊ t̪ːᵊ
ਰੌਲ਼ਾ	ɾ ɔː ɭ ɑː
ਰੱਬ	r ə bːᵊ
ਲ	l ə
ਲ	l ə
ਲ਼	ɭ ə
ਲ਼	ɭ ə
ਲੂੰਬੜ	l uː m b ə ɽ
ਲੂੰਬੜੀ	l uː m ɽ i
ਲੂੰਬੜੀ	l uː m b ə ɽ i
ਲੈਣਾ	l ɛː ɳ ɑː
ਲੋਡ਼	l oː ɽᵊ
ਵ	ʋ ə
ਵ	ʋ ə
ਵਸਤੂ	b ə s t̪
ਵਹੁਟੀ	ʋ ɔ ʈ iː
ਵਾਲ	ʋ ɑː l
ਵਾਹਿਗੁਰੂ	ʋ ɑː ǽ ɡ ʊ r uː
ਵਿਅਸਤ	ʋ j ə s t̪ᵊ
ਵਿਅਸਤ	ʋ ɪ j ə s t̪ᵊ
ਵਿਸ਼ਾਣੂ	ʋ ɪ ʃ ɑː ɳ uː
ਸ	s ə
ਸਰੀਰ	s ə ɾ iː ɾ
ਸ਼	ʃ ə
ਸ਼	ʃ ə
ਸ਼ਲਗਮ	ʃ ə l ɡ ə m
ਸਾਰਾ	s ɑː ɾ ɑː
ਸਾਵਾ	s ɑː ʋ ɑː
ਸਾਹਿਬ	s ɑː ˦ ɦ ə bᵊ
ਸੋਹਣਾ	s óː ɳ ɑː
ਸੱਟ	s ə ʈːᵊ
ਹ	ɦ ə
ਹ	ɦ ə
ਹਲਦੀ	ɦ ə l d̪ iː
ਹੜ੍ਹ	ɦ a ɽʱ
ਾ	äː
ਾ	äː
ਿ	ɪ
ਿ	ɪ
ੀ	iː
ੀ	iː
ੁ	ʊ
ੁ	ʊ
ੂ	uː
ੂ	uː
ੇ	e
ੇ	e
ੈ	ɛ
ੈ	ɛ
ੋ	o
ੋ	o
ੌ	ɔ
ੌ	ɔ
ੜ	ɽ ə
ੜ	ɽ ə
