'ch	χ
achos	a χ ɔ s
achos	aː χ ɔ s
achos	χ ɔ s
achosaf	a χ ɔ s a v
achosi	a χ ɔ s i
achres	a χ r ɛ s
achub	a χ ɪ b
achub	aː χ ɪ b
achubiaeth	a χ ɪ b j a i̯ θ
achubiaeth	a χ ɪ b j ɛ θ
achubol	a χ iː b ɔ l
achubol	a χ ɪ b ɔ l
achubwr	a χ iː b ʊ r
achubwr	a χ ɪ b ʊ r
achwyn	a χ ʊ i̯ n
achwyn	aː χ ʊ i̯ n
achwyniad	a χ ʊ i̯ n j a d
achwyniadau	a χ ʊ i̯ n j a d a i̯
achwyniadau	a χ ʊ i̯ n j a d ɛ
achwyniadau	a χ ʊ i̯ n j aː d a i̯
achwyniadau	a χ ʊ i̯ n j aː d ɛ
achwynwr	a χ ʊ i̯ n j ʊ r
achwynwyr	a χ ʊ i̯ n w ɪ r
achwynydd	a χ ʊ i̯ n j ɪ ð
achydd	a χ ɪ ð
achydd	aː χ ɪ ð
achyddiaeth	a χ ə ð j a i̯ θ
achyddiaeth	a χ ə ð j ɛ θ
achyddion	a χ ə ð j ɔ n
achyddol	a χ ə ð ɔ l
act	a k t
acti	a k t i
actiaf	a k t j a v
actio	a k t j ɔ
actor	a k t ɔ r
actores	a k t oː r ɛ s
actores	a k t ɔ r ɛ s
acw	a k u
ad	aː d
adael	a d a i̯ l
adael	a d ɛ l
adael	aː d a i̯ l
adael	aː d ɛ l
adain	a d a i̯ n
adain	a d ɛ n
adain	aː d a i̯ n
adain	aː d ɛ n
adanedd	a d a n ɛ ð
adanedd	a d aː n ɛ ð
adar	a d a r
adar	aː d a r
adar duon	a d a r d iː ɔ n
adar duon	aː d a r d iː ɔ n
adar o'r unlliw hedant i'r unlle	a d a r ɔ r ɪ n ɬ ɪ u̯ h ɛ d a n t ɪ r ɪ n ɬ ɛ
adar o'r unlliw hedant i'r unlle	aː d a r ɔ r ɪ n ɬ ɪ u̯ h eː d a n t ɪ r ɪ n ɬ ɛ
adar y bwn	a d a r ə b ʊ n
adar y bwn	aː d a r ə b ʊ n
adara	a d a r a
adara	a d aː r a
adardai	a d a r d a i̯
adardy	a d a r d i
adareg	a d a r ɛ ɡ
adareg	a d aː r ɛ ɡ
adaregol	a d a r eː ɡ ɔ l
adaregol	a d a r ɛ ɡ ɔ l
adaregwyr	a d a r ɛ ɡ w ɪ r
adaregydd	a d a r eː ɡ ɪ ð
adaregydd	a d a r ɛ ɡ ɪ ð
adargi	a d a r ɡ i
adargraffiad	a d a r ɡ r a f j a d
adargraffiadau	a d a r ɡ r a f j a d a i̯
adargraffiadau	a d a r ɡ r a f j a d ɛ
adargraffiadau	a d a r ɡ r a f j aː d a i̯
adargraffiadau	a d a r ɡ r a f j aː d ɛ
adargraffu	a d a r ɡ r a f i
adargwn	a d a r ɡ ʊ n
adarwr	a d a r ʊ r
adarwr	a d aː r ʊ r
adarwyr	a d a r w ɪ r
adarydd	a d a r ɪ ð
adarydd	a d aː r ɪ ð
adarydda	a d a r ə ð a
adaryddiaeth	a d a r ə ð j a i̯ θ
adaryddiaeth	a d a r ə ð j ɛ θ
adaryddion	a d a r ə ð j ɔ n
adawed	a d a u̯ ɛ d
adborth	a d b ɔ r θ
adborthion	a d b ɔ r θ j ɔ n
addas	a ð a s
addas	aː ð a s
addasu	a ð a s i
addawa	a ð a u̯ a
addaweb	a ð a u̯ ɛ b
addef	a ð ɛ v
addef	aː ð ɛ v
addo	a ð ɔ
addo	aː ð ɔ
addoldy	a ð ɔ l d i
addolgar	a ð ɔ l ɡ a r
addoliad	a ð ɔ l j a d
addolwr	a ð oː l ʊ r
addolwr	a ð ɔ l ʊ r
addurn	a ð ɪ r n
addurn	aː ð ɪ r n
addurno	a ð ɪ r n ɔ
addysg	a ð ɪ s ɡ
addysg	aː ð ɪ s ɡ
addysgu	a ð ə s ɡ i
adeg	a d ɛ ɡ
adeg	aː d ɛ ɡ
adegau	a d eː ɡ a i̯
adegau	a d eː ɡ ɛ
adegau	a d ɛ ɡ a i̯
adegau	a d ɛ ɡ ɛ
adeilad	a d e i̯ l a d
adeiladaeth	a d e i̯ l a d a i̯ θ
adeiladaeth	a d e i̯ l a d ɛ θ
adeiladaeth	a d e i̯ l aː d a i̯ θ
adeiladaeth	a d e i̯ l aː d ɛ θ
adeiladol	a d e i̯ l a d ɔ l
adeiladol	a d e i̯ l aː d ɔ l
adeiladu	a d e i̯ l a d i
adeiladu	a d e i̯ l aː d i
adeiladwaith	a d e i̯ l a d w a i̯ θ
adeiladwaith	a d e i̯ l a d w ɛ θ
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a i̯
adeiladweithiau	a d e i̯ l a d w e i̯ θ j ɛ
adeiladwr	a d e i̯ l a d ʊ r
adeiladwr	a d e i̯ l aː d ʊ r
adeiladwyr	a d e i̯ l a d w ɪ r
adeiniog	a d e i̯ n j ɔ ɡ
aden	a d ɛ n
aden	aː d ɛ n
adenedigaeth	a d ɛ n ɛ d iː ɡ a i̯ θ
adenedigaeth	a d ɛ n ɛ d iː ɡ ɛ θ
adenedigaeth	a d ɛ n ɛ d ɪ ɡ a i̯ θ
adenedigaeth	a d ɛ n ɛ d ɪ ɡ ɛ θ
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e i̯ θ a i̯
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e i̯ θ ɛ
adennill	a d ɛ n ɪ ɬ
adenydd	a d eː n ɪ ð
adenydd	a d ɛ n ɪ ð
aderyn	a d eː r ɪ n
aderyn	a d ɛ r ɪ n
aderyn	d eː r ɪ n
aderyn	d ɛ r ɪ n
aderyn du	a d eː r ɪ n d iː
aderyn du	a d ɛ r ɪ n d iː
aderyn du	d eː r ɪ n d iː
aderyn du	d ɛ r ɪ n d iː
aderyn y bwn	a d eː r ɪ n ə b ʊ n
aderyn y bwn	a d ɛ r ɪ n ə b ʊ n
adfail	a d v a i̯ l
adfeddiannu	a d v ɛ ð j a n i
adfeiliad	a d v e i̯ l j a d
adfeiliadau	a d v e i̯ l j a d a i̯
adfeiliadau	a d v e i̯ l j a d ɛ
adfeiliadau	a d v e i̯ l j aː d a i̯
adfeiliadau	a d v e i̯ l j aː d ɛ
adfeiliedig	a d v e i̯ l j eː d ɪ ɡ
adfeiliedig	a d v e i̯ l j ɛ d ɪ ɡ
adfeilio	a d v e i̯ l j ɔ
adfeilion	a d v e i̯ l j ɔ n
adfent	a d v ɛ n t
adfer	a d v ɛ r
adferadwy	a d v ɛ r a d ʊ i̯
adferadwy	a d v ɛ r aː d ʊ i̯
adferaf	a d v eː r a
adferaf	a d v eː r a v
adferaf	a d v ɛ r a
adferaf	a d v ɛ r a v
adferant	a d v eː r a n t
adferant	a d v ɛ r a n t
adferent	a d v eː r ɛ n t
adferent	a d v ɛ r ɛ n t
adferf	a d v ɛ r v
adferfol	a d v ɛ r v ɔ l
adferiad	a d v ɛ r j a d
adferiadau	a d v ɛ r j a d a i̯
adferiadau	a d v ɛ r j a d ɛ
adferiadau	a d v ɛ r j aː d a i̯
adferiadau	a d v ɛ r j aː d ɛ
adferiadwyr	a d v ɛ r j a d ə ð w ɪ r
adferiadydd	a d v ɛ r j a d ɪ ð
adferiadydd	a d v ɛ r j aː d ɪ ð
adferiadyddion	a d v ɛ r j a d ə ð j ɔ n
adferiedydd	a d v ɛ r j eː d ɪ ð
adferiedydd	a d v ɛ r j ɛ d ɪ ð
adfero	a d v eː r ɔ
adfero	a d v ɛ r ɔ
adferol	a d v eː r ɔ l
adferol	a d v ɛ r ɔ l
adferwr	a d v eː r ʊ r
adferwr	a d v ɛ r ʊ r
adferwyr	a d v ɛ r w ɪ r
adfilwr	a d v iː l ʊ r
adfilwr	a d v ɪ l ʊ r
adfilwyr	a d v ɪ l w ɪ r
adflas	a d v l a s
adflasau	a d v l a s a i̯
adflasau	a d v l a s ɛ
adfyd	a d v ɪ d
adfydau	a d v ə d a i̯
adfydau	a d v ə d ɛ
adfydus	a d v ə d ɪ s
adfyw	a d v ɪ u̯
adfywiad	a d v ɪ u̯ j a d
adfywiadau	a d v ɪ u̯ j a d a i̯
adfywiadau	a d v ɪ u̯ j a d ɛ
adfywiadau	a d v ɪ u̯ j aː d a i̯
adfywiadau	a d v ɪ u̯ j aː d ɛ
adfywio	a d v ɪ u̯ j ɔ
adfywiol	a d v ɪ u̯ j ɔ l
adio	a d j ɔ
adladd	a d l a ð
adlais	a d l a i̯ s
adlam	a d l a m
adlamau	a d l a m a i̯
adlamau	a d l a m ɛ
adlamu	a d l a m i
adlaw	a d l a u̯
adlef	a d l ɛ v
adlefau	a d l eː v a i̯
adlefau	a d l eː v ɛ
adlefau	a d l ɛ v a i̯
adlefau	a d l ɛ v ɛ
adleisiau	a d l e i̯ s j a i̯
adleisiau	a d l e i̯ s j ɛ
adleisiau	a d l e i̯ ʃ a i̯
adleisiau	a d l e i̯ ʃ ɛ
adleisio	a d l e i̯ s j ɔ
adleisio	a d l e i̯ ʃ ɔ
adlyn	a d l ɪ n
adlynol	a d l ə n ɔ l
adlynu	a d l ə n i
adlŷn	a d l iː n
adnabod	a d n a b ɔ d
adnabod	a d n aː b ɔ d
adnabyddant	a d n a b ə ð a n t
adnabyddi	a d n a b ə ð i
adnabyddus	a d n a b ə ð ɪ s
adnabyddwch	a d n a b ə ð ʊ χ
adnabyddwn	a d n a b ə ð ʊ n
adnebydd	a d n eː b ɪ ð
adnebydd	a d n ɛ b ɪ ð
adnodd	a d n ɔ ð
adolygu	a d ɔ l ə ɡ i
adra	a d r a
adran	a d r a n
adre	a d r ɛ
adref	a d r ɛ
adref	a d r ɛ v
adrodd	a d r ɔ ð
adroddaf	a d r oː ð a
adroddaf	a d r oː ð a v
adroddaf	a d r ɔ ð a
adroddaf	a d r ɔ ð a v
adroddiad	a d r ɔ ð j a d
adwaen	a d w a i̯ n
adwaenai	a d w e i̯ n a i̯
adwaenant	a d w e i̯ n a n t
adwaenech	a d w e i̯ n ɛ χ
adwaenem	a d w e i̯ n ɛ m
adwaenent	a d w e i̯ n ɛ n t
adwaenid	a d w e i̯ n ɪ d
adwaenir	a d w e i̯ n ɪ r
adwaenit	a d w e i̯ n ɪ t
adwaenoch	a d w e i̯ n ɔ χ
adwaenom	a d w e i̯ n ɔ m
adwaenost	a d w e i̯ n ɔ s d
adwaenwch	a d w e i̯ n ʊ χ
adwaenwn	a d w e i̯ n ʊ n
adwaenynt	a d w e i̯ n ɪ n t
adweinaf	a d w e i̯ n a v
adweini	a d w e i̯ n i
adweinid	a d w e i̯ n ɪ d
adweinir	a d w e i̯ n ɪ r
adweitheg	a d w e i̯ θ ɛ ɡ
adweithegwyr	a d w e i̯ θ ɛ ɡ w ɪ r
adweithegydd	a d w e i̯ θ eː ɡ ɪ ð
adweithegydd	a d w e i̯ θ ɛ ɡ ɪ ð
adwen	a d w ɛ n
adwthio	a d ʊ θ j ɔ
aeaf	e i̯ a
aeaf	e i̯ a v
aech	a i̯ χ
aed	a i̯ d
aeddfed	a i̯ ð v ɛ d
ael	a i̯ l
aeled	e i̯ l ɛ d
aelod	e i̯ l ɔ d
aelod cynulliad	e i̯ l ɔ d k ə n ɪ ɬ j a d
aelod o'r senedd	e i̯ l ɔ d ɔ r s eː n ɛ ð
aelod o'r senedd	e i̯ l ɔ d ɔ r s ɛ n ɛ ð
aelod seneddol	e i̯ l ɔ d s ɛ n eː ð ɔ l
aelod seneddol	e i̯ l ɔ d s ɛ n ɛ ð ɔ l
aelwyd	e i̯ l ʊ i̯ d
aem	a i̯ m
aen	a i̯ n
aent	a i̯ n t
aer	a i̯ r
aer	aː r
aeron	e i̯ r ɔ n
aeronen	e i̯ r oː n ɛ n
aeronen	e i̯ r ɔ n ɛ n
aet	a i̯ t
aeth	a i̯ θ
aeth	aː θ
aethai	e i̯ θ a i̯
aethant	e i̯ θ a n t
aethech	e i̯ θ ɛ χ
aethem	e i̯ θ ɛ m
aethent	e i̯ θ ɛ n t
aethid	e i̯ θ ɪ d
aethit	e i̯ θ ɪ t
aethnen	e i̯ θ n ɛ n
aethnenni	e i̯ θ n ɛ n i
aethoch	e i̯ θ ɔ χ
aethoch	ɛ θ ɔ χ
aethom	e i̯ θ ɔ m
aethon	e i̯ θ ɔ n
aethon	ɛ θ ɔ n
aethont	e i̯ θ ɔ n t
aethost	e i̯ θ ɔ s d
aethpwyd	e i̯ θ p ʊ i̯ d
aethwn	e i̯ θ ʊ n
aetsh	a i̯ t ʃ
af	aː
af	aː v
afal	a v a l
afal	aː v a l
afal cariad	a v a l k a r j a d
afal cariad	aː v a l k a r j a d
afalau	a v a l a i̯
afalau	a v a l ɛ
afalau	a v aː l a i̯
afalau	a v aː l ɛ
afalau	v a l ɛ
afalau	v aː l ɛ
afalau cariad	a v a l a i̯ k a r j a d
afalau cariad	a v a l ɛ k a r j a d
afalau cariad	a v aː l a i̯ k a r j a d
afalau cariad	a v aː l ɛ k a r j a d
afallen	a v a ɬ ɛ n
afan	a v a n
afan	aː v a n
afanc	a v a ŋ k
afanc	aː v a ŋ k
afancod	a v a ŋ k ɔ d
afanen	a v a n ɛ n
afanen	a v aː n ɛ n
affrica	a f r ɪ k a
affwys	a f ʊ i̯ s
affwysedd	a f ʊ i̯ s ɛ ð
affwysol	a f ʊ i̯ s ɔ l
afiach	a v j a χ
aflafar	a v l a v a r
aflafar	a v l aː v a r
aflwyddiannus	a v l ʊ i̯ ð j a n ɪ s
afocado	a v ɔ k a d ɔ
afocado	a v ɔ k aː d ɔ
afocados	a v ɔ k a d ɔ z
afocados	a v ɔ k aː d ɔ z
afon	a v ɔ n
afon	aː v ɔ n
afonfarch	a v ɔ n v a r χ
afonfeirch	a v ɔ n v e i̯ r χ
afr	a v a r
afr	a v r
afr	aː v a r
afraid	a v r a i̯ d
afreolaidd	a v r ɛ oː l a i̯ ð
afreolaidd	a v r ɛ oː l ɛ ð
afreolaidd	a v r ɛ ɔ l a i̯ ð
afreolaidd	a v r ɛ ɔ l ɛ ð
afu	a v i
afu	aː v i
ag	a ɡ
ager	a ɡ ɛ r
ager	aː ɡ ɛ r
agerddlong	a ɡ ɛ r ð l ɔ ŋ
agerlong	a ɡ ɛ r l ɔ ŋ
agerlongau	a ɡ ɛ r l ɔ ŋ a i̯
agerlongau	a ɡ ɛ r l ɔ ŋ ɛ
agor	a ɡ ɔ r
agor	aː ɡ ɔ r
agora	a ɡ oː r a
agora	a ɡ ɔ r a
agoraf	a ɡ oː r a
agoraf	a ɡ oː r a v
agoraf	a ɡ ɔ r a
agoraf	a ɡ ɔ r a v
agorai	a ɡ oː r a i̯
agorai	a ɡ ɔ r a i̯
agoret	a ɡ oː r ɛ t
agoret	a ɡ ɔ r ɛ t
agori	a ɡ oː r i
agori	a ɡ ɔ r i
agoriad	a ɡ ɔ r j a d
agos	a ɡ ɔ s
agos	aː ɡ ɔ s
agosáu	a ɡ ɔ s a i̯
agweddi	a ɡ w eː ð i
agweddi	a ɡ w ɛ ð i
ai	a i̯
aidd	a i̯ ð
aiff	a i̯ f
aifft	a i̯ f t
ail	a i̯ l
aildrefnu	a i̯ l d r e v n i
ailfeddiannu	a i̯ l v ɛ ð j a n i
aillt	a i̯ ɬ d
ailosod	a i̯ l ɔ s ɔ d
air	a i̯ r
ais	a i̯ s
ait	a i̯ t
alan	a l a n
alan	aː l a n
alannon	a l a n ɔ n
alar	a l a r
alar	aː l a r
alarch	a l a r χ
alarch	aː l a r χ
alaw	a l a u̯
alaw	aː l a u̯
alban	a l b a n
alban arthan	a l b a n a r θ a n
alban cyntefin	a l b a n k ə n t eː v ɪ n
alban cyntefin	a l b a n k ə n t ɛ v ɪ n
alban eilir	a l b a n e i̯ l ɪ r
alban elfed	a l b a n ɛ l v ɛ d
alban hefin	a l b a n h eː v ɪ n
alban hefin	a l b a n h ɛ v ɪ n
alban hyfed	a l b a n h ə v ɛ d
albanau	a l b a n a i̯
albanau	a l b a n ɛ
albanau	a l b aː n a i̯
albanau	a l b aː n ɛ
albaneg	a l b a n ɛ ɡ
albwm	a l b ʊ m
alfarch	a l v a r χ
all	aː ɬ
alla	a ɬ a
allai	a ɬ a i̯
allai	a ɬ ɛ
allan	a ɬ a n
allanfa	a ɬ a n v a
allanfa dân	a ɬ a n v a d aː n
allanol	a ɬ a n ɔ l
allant	a ɬ a n t
allblyg	a ɬ b l ɪ ɡ
allen	a ɬ ɛ n
aller	a ɬ ɛ r
allforiadwy	a ɬ v ɔ r j a d ʊ i̯
allforiadwy	a ɬ v ɔ r j aː d ʊ i̯
allforio	a ɬ v ɔ r j ɔ
allforion	a ɬ v ɔ r j ɔ n
allforiwr	a ɬ v ɔ r j ʊ r
allforwyr	a ɬ v ɔ r w ɪ r
allforyn	a ɬ v oː r ɪ n
allforyn	a ɬ v ɔ r ɪ n
allfudo	a ɬ v iː d ɔ
allfudo	a ɬ v ɪ d ɔ
allgofnodi	a ɬ ɡ ɔ v n oː d i
allgofnodi	a ɬ ɡ ɔ v n ɔ d i
alli	a ɬ i
allo	a ɬ ɔ
allor	a ɬ ɔ r
allt	a ɬ d
alltud	a ɬ d ɪ d
allwedd	a ɬ w ɛ ð
allwedd	a ɬ w ɛ θ
allweddell	a ɬ w eː ð ɛ ɬ
allweddell	a ɬ w ɛ ð ɛ ɬ
allwthio	a ɬ ʊ θ j ɔ
almaen	ə r a l m a i̯ n
almaeneg	a l m e i̯ n ɛ ɡ
almaenwr	a l m e i̯ n ʊ r
almanac	a l m a n a k
alwminiwm	a l ʊ m ɪ n j ʊ m
am	a m
am byth	a m b ɪ θ
amaethyddiaeth	a m e i̯ θ ə ð j a i̯ θ
amaethyddiaeth	a m e i̯ θ ə ð j ɛ θ
amanita	a m a n ɪ t a
amanita benfelen	a m a n ɪ t a b ɛ n v eː l ɛ n
amanita benfelen	a m a n ɪ t a b ɛ n v ɛ l ɛ n
amanita borffor	a m a n ɪ t a b ɔ r f ɔ r
amanita droednoeth	a m a n ɪ t a d r ɔ i̯ d n ɔ i̯ θ
amanita'r gwybed	a m a n ɪ t a r ɡ w ə b ɛ d
amau	a m a i̯
amau	a m ɛ
ambell	a m b ɛ ɬ
ambeutu	a m b e i̯ t i
ambiti	a m b ɪ t i
ambiwlans	a m b ɪ u̯ l a n s
amcan	a m k a n
amcangyfrif	a m k a ŋ ɡ ə v r i
amcangyfrif	a m k a ŋ ɡ ə v r ɪ v
amddiffyn	a m ð ɪ f ɪ n
amddiffynnaf	a m ð ɪ f ə n a v
ameba	a m eː b a
ameba	a m ɛ b a
america	a m ɛ r ɪ k a
amethyst	a m ɛ θ ɪ s d
amffibiad	a m f ɪ b j a d
amguedd	a m ɡ i ɛ ð
amguedd	a m ɡ iː ɛ ð
amgueddfa	a m ɡ i ɛ ð v a
amgueddfa	a m ɡ j ɛ ð v a
amgyffred	a m ɡ ə f r ɛ d
amgylch	a m ɡ ɪ l χ
amgylchedd	a m ɡ ə l χ ɛ ð
amgylcheddol	a m ɡ ə l χ eː ð ɔ l
amgylcheddol	a m ɡ ə l χ ɛ ð ɔ l
amgáu	a m ɡ a i̯
amhenodol	a m h ɛ n oː d ɔ l
amhenodol	a m h ɛ n ɔ d ɔ l
amheuaeth	a m h e i̯ a i̯ θ
amheuaeth	a m h e i̯ ɛ θ
amheuaf	a m h e i̯ a
amheuaf	a m h e i̯ a v
amlach	a m l a χ
amlen	a m l ɛ n
amlwg	a m l ʊ ɡ
amnewid	a n n ɛ u̯ ɪ d
amobr	a m ɔ b r
amod	a m ɔ d
amodi	a m oː d i
amodi	a m ɔ d i
amodiad	a m ɔ d j a d
amrant	a m r a n t
amrantiad	a m r a n t j a d
amrwd	a m r ʊ d
amryw	a m r ɪ u̯
amrywedd	a m r ɪ u̯ j ɛ ð
amrywiad	a m r ɪ u̯ j a d
amrywiaeth	a m r ɪ u̯ j a i̯ θ
amrywiaeth	a m r ɪ u̯ j ɛ θ
amrywio	a m r ɪ u̯ j ɔ
amrywiol	a m r ɪ u̯ j ɔ l
amser	a m s ɛ r
amserlen	a m s ɛ r l ɛ n
amserlenni	a m s ɛ r l ɛ n i
amwythig	a m ʊ i̯ θ ɪ ɡ
anabl	a n a b l
anabl	aː n a b l
anabledd	a n a b l ɛ ð
anableddau	a n a b l eː ð a i̯
anableddau	a n a b l eː ð ɛ
anableddau	a n a b l ɛ ð a i̯
anableddau	a n a b l ɛ ð ɛ
anadlu	a n a d l i
anaf	a n a v
anaf	aː n a v
anafa	a n a v a
anafa	a n aː v a
anafai	a n a v a i̯
anafai	a n aː v a i̯
anafais	a n a v a i̯ s
anafais	a n a v ɛ s
anafais	a n aː v a i̯ s
anafais	a n aː v ɛ s
anafes	a n a v ɛ s
anafes	a n aː v ɛ s
anafu	a n a v i
anafu	a n aː v i
anawsterau	a n a u̯ s d eː r a i̯
anawsterau	a n a u̯ s d eː r ɛ
anawsterau	a n a u̯ s d ɛ r a i̯
anawsterau	a n a u̯ s d ɛ r ɛ
aneiriol	a n e i̯ r j ɔ l
anelu	a n eː l i
anelu	a n ɛ l i
anfantais	a n v a n t a i̯ s
anfantais	a n v a n t ɛ s
anfanteision	a n v a n t e i̯ s j ɔ n
anfanteision	a n v a n t e i̯ ʃ ɔ n
anffodus	a n f oː d ɪ s
anffodus	a n f ɔ d ɪ s
anffurfiol	a n f ɪ r v j ɔ l
anfon	a n v ɔ n
anfonaf	a n v oː n a v
anfonaf	a n v ɔ n a v
angel	a ŋ a l
angel	a ŋ ɛ l
angen	a ŋ ɛ n
angharad	a ŋ h a r a d
angharad	a ŋ h aː r a d
angheuol	a ŋ h e i̯ ɔ l
anghlod	a ŋ h l ɔ d
anghlodwiw	a ŋ h l ɔ d w ɪ u̯
anghofio	a ŋ h ɔ v j ɔ
anghofrwydd	a ŋ h ɔ v r ʊ i̯ ð
anghofus	a ŋ h oː v ɪ s
anghofus	a ŋ h ɔ v ɪ s
anghofuster	a ŋ h ɔ v ɪ s d ɛ r
anghydfod	a ŋ h ə d v ɔ d
anghydradd	a ŋ h ə d r a ð
anghydraddoldeb	a ŋ h ə d r a ð ɔ l d ɛ b
anghydsynio	a ŋ h ɪ d s ə n j ɔ
anghydweld	a ŋ h ɪ d w ɛ l d
anghydwelediad	a ŋ h ɪ d w ɛ l ɛ d j a d
anghyfartal	a ŋ h ə v a r t a l
anghyflawn	a ŋ h ə v l a u̯ n
anghyflogaeth	a ŋ h ə v l oː ɡ a i̯ θ
anghyflogaeth	a ŋ h ə v l oː ɡ ɛ θ
anghyflogaeth	a ŋ h ə v l ɔ ɡ a i̯ θ
anghyflogaeth	a ŋ h ə v l ɔ ɡ ɛ θ
anghyfreithlon	a ŋ h ə v r e i̯ θ l ɔ n
anghymdeithasol	a ŋ h ə m d e i̯ θ a s ɔ l
anghymreigio	a ŋ h ə m r e i̯ ɡ j ɔ
anghyseinedd	a ŋ h ə s e i̯ n ɛ ð
anghytgord	a ŋ h ə t ɡ ɔ r d
anghytuno	a ŋ h ə t iː n ɔ
anghytuno	a ŋ h ə t ɪ n ɔ
anghytuno	a ŋ ə t iː n ɔ
anghytuno	a ŋ ə t ɪ n ɔ
anghywir	a ŋ h ə u̯ ɪ r
angladd	a ŋ l a ð
angladdau	a ŋ l a ð a i̯
angladdau	a ŋ l a ð ɛ
angladdau	a ŋ l aː ð a i̯
angladdau	a ŋ l aː ð ɛ
angof	a ŋ ɔ v
angylaidd	a ŋ ə l a i̯ ð
angylaidd	a ŋ ə l ɛ ð
angyles	a ŋ ə l ɛ s
angylesau	a ŋ ə l ɛ s a i̯
angylesau	a ŋ ə l ɛ s ɛ
angylion	a ŋ ə l j ɔ n
anhawster	a n h a u̯ s d ɛ r
anialwch	a n j a l ʊ χ
anialwch	a n j aː l ʊ χ
anifail	a n iː v a i̯ l
anifail	a n iː v ɛ l
anifail	a n ɪ v a i̯ l
anifail	a n ɪ v ɛ l
animeiddiad	a n ɪ m e i̯ ð j a d
animeiddiadau	a n ɪ m e i̯ ð j j a d a i̯
animeiddiadau	a n ɪ m e i̯ ð j j a d ɛ
animeiddiadau	a n ɪ m e i̯ ð j j aː d a i̯
animeiddiadau	a n ɪ m e i̯ ð j j aː d ɛ
animeiddio	a n ɪ m e i̯ ð j ɔ
animeiddiwr	a n ɪ m e i̯ ð j ʊ r
animeiddwyr	a n ɪ m e i̯ ð w ɪ r
annedd	a n a ð
