־טום	t ʊ m
זאָגט	z ɔ k t
זאָגן	z ʊ ɡ ŋ̩
זון	z i n
זון	z iː n
זון	z ɨ n
זון	z ɪ n
זון	z ʊ n
זיבן	z i b m̩
זייער	z ɛ j ə r
זינגען	z ɪ ŋ ɡ ŋ̩
זיצטרין	z ɪ t s t ʁ ɪ n
זײַן	z a ɪ n
זײַנען	z a ɪ n ə n
חבֿרטע	χ a v r̩ t ə
חופּה	χ ɨ p ə
חופּה	χ ɪ p ə
חופּה	χ ʊ p ə
חזיר	χ a z ə ʁ
חלום	χ u l ə m
חלום	χ uː l ə m
חלום	χ ɔ l ə m
חן	χ a ɪ̯ n
חן	χ ɛ ɪ̯ n
טאַטע	t a t ə
טאָן	t ɔ n
טייטן	t ɛ j t n̩
טשאָלנט	t ʃ u l ə n t
טשאָלנט	t ʃ uː l ə n t
טשאָלנט	t ʃ ɔ l ə n t
יאָ	j ɔ
יאָר	j u ʁ
יאָר	j uː ʁ
יאָר	j ɔ ʁ
יום־טובֿ	j ɔ n t ɪ f
ייִד	j i d
ייִדן	j i d n̩
ישׂראל	j ɪ s ʀ ɔ ɪ̯ ɫ
כּלבֿ	k e j l ɪ f
כּלבֿ	k ɛ l ə v
לאַנג	l a ŋ ɡ
לאַנג	l a ɪ̯ ŋ ɡ
לאַקס	l a k s
ליבן	l i b m̩
ליד	l ɪ d
לייב	l a ɪ b
לייב	l ɛ ɪ b
לעבן	l e ɪ b m̩
לעבן	l ɛ b m̩
לענדער	l ɛ n d ə r
לײַב	l a b
לײַב	l a ɪ b
לײַב	l aː b
מאַמע	m a m ə
מאַמע	m ɔ m ə
מאַראַנץ	m a ʁ a n t s
מאַרך	m a ʁ χ
מאָגן	m ɔ ɡ ə n
מאָגן	m ʊ ɡ ə n
מאָנאָפּאָל	m ɔ n ɔ p ɔ l
מוזיק	m ʊ z ɪ k
מוח	m e ɪ ə χ
מוח	m ɔ ɪ ə χ
מוטער	m ɪ t ə ʁ
מוטער	m ʊ t ə ʁ
מוטערשייד	m ɪ t ə ʁ ʃ a ɪ d
מוטערשייד	m ʊ t ə ʁ ʃ ɛ ɪ d
מויז	m ɔ j z
מומע	m i m ə
מומע	m iː m ə
מומע	m ʊ m ə
מיליאָן	m i l j ɔ n
מענטש	m ɛ n t͡ʃ
מעקסיקע	m ɛ k s i k ə
מער	m e j ə
מער	m eː ʀ
מער	m ɛ ʁ
משפּחהדיק	m ɪ ʃ p ɔ χ ə d ɪ k
משפּחהדיקן	m ɪ ʃ p ɔ χ ə d ɪ k ŋ̩
משפּחהדיקס	m ɪ ʃ p ɔ χ ə d ɪ k s
משפּחהדיקע	m ɪ ʃ p ɔ χ ə d ɪ k ə
משפּחהדיקער	m ɪ ʃ p ɔ χ ə d ɪ k ə ʁ
משפּחות	m ɪ ʃ p ɔ χ ə s
ניט	n i t
ניין	n ɛ j n
נישט	n ɪ ʃ t
סטרונע	s t ʁ i n ə
סטרונע	s t ʁ ɪ n ə
סטרונע	s t ʁ ʊ n ə
ס׳	s
עט	ɛ t
ענגליש	ɛ ŋ ɡ l i ʃ
עס	ɛ s
עפּל	ɛ p ə l
פּויק	p a ʊ k
פּויק	p oː k
פּויק	p u k
פּויק	p ɔ ɪ k
פּויק	p ɔ ʊ k
פּויק	p ɔː k
פּויק	p ʊ k
פּויק	p ʊ ɪ k
פּורים	p i ʁ ə m
פּורים	p iː ʁ ə m
פּורים	p ʊ ʁ ə m
פּירגע	p ɪ r ɡ ə
פּלוצלינג	p l ʊ t͡s l ɪ ŋ ɡ
פּנים	p u n ə m
פּנים	p uː n ə m
פּנים	p ɔ n ə m
פֿאַראייניקט	f a r ɛ j n i k t
פֿאַראייניקטע שטאַטן	f a r ɛ j n i k t ə ʃ t a t n̩
פֿאָטער	f ɔ t ə ʁ
פֿאָטער	f ʊ t ə ʁ
פֿאָלק	f ɔ ɫ k
פֿאָלקס	f ɔ l k s
פֿון	f ɪ n
פֿון	f ʊ n
פֿוס	f ɪ s
פֿוס	f ʊ s
פֿוקס	f i k s
פֿוקס	f ɪ k s
פֿוקס	f ʊ k s
פֿייגעלע	f e j ɡ ə l ə
פֿינגער	f ɪ ŋ ɡ ə ʁ
פֿינגערל	f ɪ ŋ ɡ ə ʁ ə l
פֿיסל	f ɪ s ə l
פֿלוים	f l e ɪ m
פֿלוים	f l ɔː m
פֿלייש	f l a ɪ ʃ
פֿלייש	f l ɛ ɪ ʃ
פֿערשקע	f ɛ ʁ ʃ k ə
פֿרוכט	f ʁ ɪ χ t
פֿרוכט	f ʁ ʊ χ t
פֿרום	f ʁ ɨ m
פֿרום	f ʁ ɪ m
פֿרום	f ʁ ʊ m
פֿרעגן	f r ɛ ɡ ŋ̩
פֿרעגן	f ʁ ɛ ɡ ŋ̩
פֿײַפֿל	f a ɪ̯ f ɫ̩
פֿײַפֿל	f aː f ɫ̩
פֿײַפֿן	f a ɪ̯ f n̩
פֿײַפֿן	f aː f n̩
צאָן	t s u n
צאָן	t s uː n
צאָן	t s ɔ n
צוויי	t s v ɛ j
צוזאַמען	t͡s ʊ z a m ə n
צונג	t s ɪ ŋ ɡ
צונג	t s ʊ ŋ ɡ
צענטערס	t s ɛ n t ə r s
קאַנאַדע	k a n a d ə
קאַץ	k a t s
קאָנטינענטן	k ɔ n t i n ɛ n t n̩
קאָנטע	k ɔ n t ə
קהלת	k ə h e ɪ̯ l ə s
קהלת	k ə h ɛ l ə s
קו	k iː
קו	k ʊ
קוועטשן	k v ɛ t ʃ n̩
קומען	k ɨ m ə n
קומען	k ɪ m ə n
קומען	k ʊ m ə n
קוקן	k ʊ k ŋ̩
קורווע	k u r v ə
קורווע	k ʊ r v ə
קורווע	k ʊ ə v ə
קורווע	k ʊ ʁ v ə
קין	k ɪ n
קישקע	k ɪ ʃ k ə
קלײַבן	k l a ɪ b n̩
קני	k n ɪ
קעז	k ɛ z
קרעפּל	k ʁ ɛ p l̩
ראַטעווען	ʁ a t ə v ə n
רבֿקה	r ɪ f k ə
רעד	r ɛ d
רעדט	r ɛ t
רעדט	ʁ ɛ t
רעדן	ʁ ɛ d n̩
רעדסט	r ɛ t s t
רעדסט	ʁ ɛ t s t
שאָטן	ʃ ɔ t n̩
שבת	ʃ a b ə s
שדכן	ʃ a t χ n̩
שטאַפּל	ʃ t a p l̩
שטאָט	ʃ t ɔ t
שטום	ʃ t ɨ m
שטום	ʃ t ɪ m
שטום	ʃ t ʊ m
שטופּן	ʃ t ʊ p m̩
שטעטל	ʃ t e ɪ t l̩
שטעטל	ʃ t ɛ t l̩
שטערן	ʃ t ɛ ʁ ə n
שייד	ʃ a ɪ d
שייד	ʃ ɛ ɪ d
שיר	ʃ ɪ ʁ
שלאַנג	ʃ l a ŋ ɡ
שלאַנג	ʃ l a ɪ̯ ŋ ɡ
שלום	ʃ u l ə m
שלום	ʃ uː l ə m
שלום	ʃ ɔ l ə m
שלעפּן	ʃ ɫ ɛ p m̩
שמאַלץ	ʃ m a ɫ t͡s
שמאַלציק	ʃ m a ɫ t͡s ɪ k
שמאַלציקן	ʃ m a ɫ t͡s ɪ k ŋ̩
שמאַלציקע	ʃ m a ɫ t͡s ɪ k ə
שמאַלציקער	ʃ m a ɫ t͡s ɪ k ə ʁ
שפּאַניש	ʃ p a n i ʃ
שפּראַך	ʃ p r a x
שפּריצן	ʃ p ʁ ɪ t͡s n̩
שרײַבן	ʃ r a ɪ b m̩
שרײַבן	ʃ r aː b m̩
תּורה	t e ɪ ʁ ə
תּורה	t ɔ ɪ ʁ ə
תּחת	t ɔ χ ə s
תּחת	t ʊ χ ə s
תּפֿילה	t f ɨ l ə
תּפֿילה	t f ɪ l ə
