آش	ɑː ʃ
ظل	ðˤ ə lˤ
ظل	ðˤ ɪ lˤ
عايلة	ʕ ɑː j l ə
عباية	ʕ ə b ɑː j a
عبيط	ʕ ə b iː tˤ
عتيج	ʕ ɪ t iː d͡ʒ
عربانة	ʕ ə r ə b ɑ n ə
عرموط	ʕ ə r m uː tˤ
عشا	ʕ ə ʃ ə
عصاية	ʕ ə sˤ ɑː j ə
عطار	ʕ ə tˤː ɑː r
علبنة	ʕ ə l ə b ʊ nː ə
علطول	ʕ ə l ə tˤ uː l
علوقة	ʕ ə l l uː ɡ ə
علچ	ʕ ɪ l t͡ʃ
عوار	ʕ ə w ɑː r
عود	ʕ oː d
عود	ʕ uː d
عود	ʕ ə wː ə d
عيش	ʕ eː ʃ
عيش	ʕ iː ʃ
عيش	ʕ ə jː ə ʃ
عيش	ʕ ə jː ɪ ʃ
عيل	ʕ ə jː ə l
عيم	ʕ ə j ə m
عيوز	ʕ ə j uː z
غدا	ɣ ə d ə
غشمرة	ʁ ə ʃ m ə r ə
غطا	ʁ ə tˤ ə
غمض	ʁ ə mː ə ðˤ
غوري	q uː r i
غوري	ʁ uː r i
فار	f ɑ r
فاشنستا	f ɑ ʃ ɪ n ɪ s t ə
فاشنستا	f ə ʃ ɪ n ɪ s t ə
فحم	f ɐ ħ ə m
فرصة	f ʊ r sˤ ə
فرن	f ɪ r ɪ n
فريزر	f r eː z ə r
فضا	f ə ðˤ ə
فضا	f ɪ ðˤ ə
فطيرة	f ə tˤ iː r ə
فطيرة	f ə tˤ iː r ə t
فقع	f ɘ ɡ ɪ ʕ
فلوس	f l uː s
فنيان	f ɪ n j ɑː n
فهرس	f ə h r ə s
في	f i
فير	f ə j ɪ r
فيشة	f iː ʃ ə
فيشة	f iː ʃ ə t
قاري	ɡ ɑ r i
قام	ɡ ɑː m
قبقب	ɡ ʊ b ɡ ʊ b
قحص	ɡ ə ħː ə sˤ
قرا	ɡ ə r ə
قرا	ɡ ɪ r ə
قراج	ɡ ə r ɑː d͡ʒ
قراية	ɡ r ɑ j ə
قراية	ɡ ə r r ɑ j ə
قرد	q ɪ r d
قروب	ɡ r uː b
قز	ɡ ɐ z
قص	ɡ ə sˤ
قطر	ɡ ɪ tˤ ə r
قطن	ɡ ɪ tˤ ɪ n
قطو	ɡ ə tˤ ʊ
قطوة	ɡ ə tˤ w ə
قطوة	ɡ ə tˤ w ə t
قلاص	ɡ lˤ ɑː sˤ
قلب	ɡ ə ɫ b
قلب	ɡ ɪ ɫ ə b
قلم	q ə l ə m
قلم	ɡ ə l ə m
قمر	ɡ ʊ m ə r
قند	q ə n d
قند	ʁ ə n d
قنفة	q ə n ə f ə
قنفة	ʁ ə n ə f ə
قهوة	ɡ h a w a
قهوة	ɡ ə h w ə
قوس	q oː s
قولچي	ɡ oː ɫ t͡ʃ i
قيمر	ɡ eː m ə r
كار	k ɑː r
كاشير	k ɑː ʃ eː r
كاغد	k ɑː ʁ ə d
كافيه	k ɑː f eː
كافيه	k ə f eː
كب	k ə b bˤ
كبت	k ə b ə t
كبر	k ɪ b ɐ r
كبوت	k ə bː uː t
كبير	k b iː r
كتكوت	k ə t k uː t
كربون	k ɪ r b uː n
كرفتة	k ə r ə f ɪ t t ə
كرفتة	k ə r ə f ɪ t t ə t
ككاو	k ə kː ɑː w
كلاس	k l ɑː s
كلش	k ɪ l l ɪ ʃ
كلمة	k ɪ l m ə
كلمة	k ɪ l m ə t ‿
كلى	k ə l ə
كلى	k ɪ l ə
كلينكس	k l eː n ə k s
كلينكس	k l ɪ n ɪ k s
كمام	k ə mː ɑː m
كنديشن	k ə n d eː ʃ ɪ n
كنسل	k ə n s ə l
كهربا	k ə h r ə b ə
كهربچي	k ə h r ə b t͡ʃ i
كهف	k ə h f
كوجة	k oː d͡ʒ ə
كورس	k o r s
كوكتيل	k oː k t eː l
كوكتيل	k ʊ k t eː l
كيكة	k eː k ə
كيكة	k eː k ə t
لابچين	l ɑː b t͡ʃ iː n
لبن	l ɪ b ə n
لنج	l ə n d͡ʒ
لهجة	l ə h d͡ʒ ə
لون	l oː n
ليت	l e t
ليت	l eː t
ليث	l e θ
ليزر	l eː z ə r
ليش	l e ʃ
ماشة	m ɑː ʃ ə
ماشة	m ɑː ʃː ə
ماصخ	m ɑː sˤ ɪ χ
ماي	m ɑ j
مبلتع	m b ə l t ə ʕ
مبچر	m b ə t͡ʃː ɪ r
متأخر	m ɪ t ʔ ə χː ɪ r
متخلف	m ɪ t χ ə lː ɪ f
متلوث	m ɪ t l ə wː ɪ θ
مجنون	m e ɪ j n uː n
محقق	m ʊ ħ ɐ q q ɪ q
محنة	m ɪ ħ n ə
مداحر	m d ɑː ħ ə r
مرة	m ə r r ə
مرة	m ə r ə
مرة	m ʊ r r ə
مزاج	m ə z ɑː d͡ʒ
مزاج	m ɪ z ɑː d͡ʒ
مزمن	m ʊ z m ɪ n
مسلسل	m s ə l s ə l
مسلسل	m ʊ s ə l s ə l
مسود	m ɪ s w ɐ d̚
مسيد	m ə s j ə d
مسيد	m ə s j ɪ d
مشى	m ɨ ʃ ə
مصخرة	m ə sˤ χ ə r ə
مطارة	m ə tˤː ɑː r ə
مطر	m ə tˤː ə r
مطر	m ʊ tˤ ə r
معكرونية	m ə ʕ k ə r oː n j ə
مقارنة	m ʊ q ɑ r ə n ə
مقارنة	m ʊ q ɑ r ə n ə t
مقلة	m ɪ ɡ lˤ ə
مقولة	m ɐ q uː l ə
مكوك	m ə kː uː k
مكياج	m ɪ k j ɑː d͡ʒ
ملابس	m ə l a b ɪ s
ملاس	m ɪ lː ɑ s
ملف	m ə l ə f
ملفوف	m ə l f uː f
ملقوف	m ə l ɡ uː f
منطقة	m ə n tˤ ə q ə
منطقة	m ə n tˤ ə ɡ ə
منظرة	m ə n ðˤ ə r ə
منظرة	m ə n ðˤ ə r ə t
منو	m ɪ n u
منيو	m ɪ n j ʊ
مهتمل	m h ə t m ə l
مواعين	m w ɑː ʕ iː n
موت	m oː t
موت	m ə wː ə t
موعد	m ə w ʕ ɪ d
مينون	m ə j n uː n
ميوة	m eː w ə
ميوة	m eː w ə t ‿
نحن	n ɪ ħ ɪ n
نط	n a tˤː
نفنوف	n ə f n uː f
نفيش	n ʊ fː eː ʃ
نكتة	n ɪ k t ə
نكهة	n ə k h ə
نكهة	n ə k h ə t
نوخذة	n oː χ ɪ ð ə
نوخذة	n oː χ ɪ ð ə t
نوط	n oː tˤ
نيس	n ə jː ɪ s
نيشن	n eː ʃ ə n
هامور	h ɑː m uː r
هدوم	h d uː m
هرن	h ɪ r ɪ n
هستر	h ə s t ə r
هناك	h n ɑː k
هني	h n iː
هوشة	h oː ʃ ə
وارث	w ɑː r ɪ θ
واير	w ɑː j ɪ r
ورقة	w r ɪ ɡ ə
ورقة	w r ɪ ɡ ə t
وقت	w a k t
وناسة	w ə n ɑː s ə
ويه	w eː
ويه	w eː h
ويه	w ə ɪ̯ h
يا	j aː
ياثوم	j ɑː θ uː m
ياخور	j ɑː χ uː r
يار	j ɑ r
ياز	j ɑ z
ياهل	j ɑː h ɪ l
يم	j ə m
يمناوي	y ɪ m n ɑː w i
يني	j ɪ n n i
يوع	j uː ʕ
يوم	j oː m
پايپ	b ɑː j b
پايپ	p ɑː j p
پيپ	b eː b
پيپ	p eː p
چان	t͡ʃ ɑː n
چاي	t͡ʃ ɑː j
چبريت	t͡ʃ ɪ b r iː t
چف	t͡ʃ ə f
چلب	t͡ʃ ə l b
چم	t͡ʃ ə m
چنه	t͡ʃ ɪ nː ə
چولة	t͡ʃ uː l ə
چي	t͡ʃ i
چيس	t͡ʃ iː s
چيك	t͡ʃ eː k
چيك	t͡ʃ iː k
چيك	t͡ʃ ə jː ə k
کمبل	k ɐ m b ə l
