அ	ʌ
அடித்தளம்	ʔ a ɖ i t̪ː a ɭ a m
அடிநிலை	ʔ a ɖ i n̪ i l̪ a ɪ̯
அடிப்பகுதி	ʔ a ɖ i pː a ɡ u d̪ i
அடிப்பாகம்	ʔ a ɖ i pː aː ɡ a m
அடிமுடி	ʔ a ɖ i m u ɖ i
அடிமை	ʔ a ɖ i m a ɪ̯
அடுத்த	ʔ a ɖ u t̪ː a
அடுப்பு	ʔ a ɖ u pː u
அடை	ʔ a ɖ a ɪ̯
அடைக்கலக்குருவி	ʔ a ɖ a ɪ̯ kː a l̪ a kː u ɾ̪ u ʋ i
அடைக்காய்	ʔ a ɖ a ɪ̯ kː aː j
அடைப்பு	ʔ a ɖ a ɪ̯ pː u
அட்டம்	ʔ a ʈː a m
அட்டை	ʔ a ʈː a ɪ̯
அணிகம்	ʔ a ɳ i ɡ a m
அணியம்	ʔ a ɳ i j a m
அணில்	ʔ a ɳ i l̪
அணு	ʔ a ɳ u
அண்டை	ʔ a ɳ ɖ a ɪ̯
அண்ணன்	ʔ a ɳː a n
அண்ணா	ʔ a ɳː aː
அண்ணி	ʔ a ɳː i
அதனால்	ʔ a d̪ a n aː l̪
அதிகாரம்	ʔ a d̪ i ɡ aː ɾ̪ a m
அதிர்ச்சி	ʔ a d̪ i ɾ̪ t͡ʃː i
அது	ʔ a d̪ u
அதோள்	ʔ a d̪ oː ɭ
அத்தனை	ʔ a t̪ː a n a ɪ̯
அத்தியாபகன்	ʔ a t̪ː i j aː b a ɡ a n
அத்தை	ʔ a t̪ː a ɪ̯
அந்த	ʔ a n̪ d̪ a
அந்தண்டை	ʔ a n̪ d̪ a ɳ ɖ a ɪ̯
அந்தந்த	ʔ a n̪ d̪ a n̪ d̪ a
அந்நின்று	ʔ a n̪ː i n r u
அந்நிலை	ʔ a n̪ː i l̪ a ɪ̯
அனுபவம்	ʔ a n u b a ʋ a m
அனுமன்	ʔ a n u m a n
அனை	ʔ a n a ɪ̯
அனைய	ʔ a n a ɪ̯ j a
அன்னம்	ʔ a nː a m
அன்பளிப்பு	ʔ a n p a ɭ i pː u
அன்பு	ʔ a n p u
அன்று	ʔ a n r u
அபிமானம்	ʔ a b i m aː n a m
அபிஷேகம்	ʔ a b i ʂ eː ɡ a m
அப்படி	ʔ a pː a ɖ i
அப்பம்	ʔ a pː a m
அப்பா	ʔ a pː aː
அப்பால்	ʔ a pː aː l̪
அப்புறம்	ʔ a pː u r a m
அப்பொழுது	ʔ a pː o ɻ u d̪ u
அமரம்	ʔ a m a ɾ̪ a m
அமிர்தம்	ʔ a m i ɾ̪ t̪ a m
அமெரிக்கா	ʔ a m e ɾ̪ i kː aː
அமைதி	ʔ a m a ɪ̯ t̪ i
அமையம்	ʔ a m a ɪ̯ j a m
அம்பரம்	ʔ a m b a ɾ̪ a m
அம்பர்	ʔ a m b a ɾ̪
அம்பு	ʔ a m b u
அம்மா	ʔ a mː aː
அம்மாய்	ʔ a mː aː j
அயர்ச்சி	ʔ a j a ɾ̪ t͡ʃː i
அயோத்தி	ʔ a j oː t̪ː i
அரசன்	ʔ a ɾ̪ a s a n
அரசாங்கம்	ʔ a ɾ̪ a s aː ŋ ɡ a m
அரசி	ʔ a ɾ̪ a s i
அரசு	ʔ a ɾ̪ a s u
அரண்மனை	ʔ a ɾ̪ a ɳ m a n a ɪ̯
அரவிந்தம்	ʔ a ɾ̪ a ʋ i n̪ d̪ a m
அராவாரம்	ʔ a ɾ̪ aː ʋ aː ɾ̪ a m
அரிசி	ʔ a ɾ̪ i s i
அரிவாள்	ʔ a ɾ̪ i ʋ aː ɭ
அரிவாள்மணை	ʔ a ɾ̪ i ʋ aː ɭ m a ɳ a ɪ̯
அருகு	ʔ a ɾ̪ u ɡ u
அருக்கன்	ʔ a ɾ̪ u kː a n
அருக்கன்வீதி	ʔ a ɾ̪ u kː a n ʋ iː d̪ i
அருப்பம்	ʔ a ɾ̪ u pː a m
அருமை	ʔ a ɾ̪ u m a ɪ̯
அரைநெல்லி	ʔ a ɾ̪ a ɪ̯ n̪ e l̪ː i
அர்ஜுனன்	ʔ a ɾ̪ d͡ʑ u n a n
அறக்கட்டளை	ʔ a r a kː a ʈː a ɭ a ɪ̯
அறம்	ʔ a r a m
அறி	ʔ a r i
அறிஞர்	ʔ a r i ɲ a ɾ̪
அறிப்பு	ʔ a r i pː u
அறிவாய்வியல்	ʔ a r i ʋ aː j ʋ i j a l̪
அறிவி	ʔ a r i ʋ i
அறிவிப்பு	ʔ a r i ʋ i pː u
அறிவியல்	ʔ a r i ʋ i j a l̪
அறிவு	ʔ a r i ʋ u
அறு	ʔ a r u
அறுகோணம்	ʔ a r u ɡ oː ɳ a m
அறுதி	ʔ a r u d̪ i
அறுப்பு	ʔ a r u pː u
அறுவடை	ʔ a r u ʋ a ɖ a ɪ̯
அறை	ʔ a r a ɪ̯
அற்பகதம்	ʔ a r p a ɡ a d̪ a m
அலகு	ʔ a l̪ a ɡ u
அலர்த்தி	ʔ a l̪ a ɾ̪ t̪ː i
அலுவம்	ʔ a l̪ u ʋ a m
அலுவல்	ʔ a l̪ u ʋ a l̪
அலை	ʔ a l̪ a ɪ̯
அலைதாடி	ʔ a l̪ a ɪ̯ t̪ aː ɖ i
அலைப்	ʔ a l̪ a ɪ̯ p
அலைப்பு	ʔ a l̪ a ɪ̯ pː u
அலைப்பேசி	ʔ a l̪ a ɪ̯ pː eː s i
அல்	ʔ a l̪
அளவு	ʔ a ɭ a ʋ u
அளவுகோல்	ʔ a ɭ a ʋ u ɡ oː l̪
அளவை	ʔ a ɭ a ʋ a ɪ̯
அளி	ʔ a ɭ i
அளேரியம்	ʔ a ɭ eː ɾ̪ i j a m
அழகு	ʔ a ɻ a ɡ u
அழி	ʔ a ɻ i
அழிபு	ʔ a ɻ i b u
அழிப்பு	ʔ a ɻ i pː u
அழிவாய்	ʔ a ɻ i ʋ aː j
அழிவு	ʔ a ɻ i ʋ u
அழு	ʔ a ɻ u
அழைப்பு	ʔ a ɻ a ɪ̯ pː u
அவசியம்	ʔ a ʋ a s i j a m
அவண்	ʔ a ʋ a ɳ
அவதாரம்	ʔ a ʋ a d̪ aː ɾ̪ a m
அவதி	ʔ a ʋ a d̪ i
அவன்	ʔ a ʋ a n
அவரை	ʔ a ʋ a ɾ̪ a ɪ̯
அவரோகணம்	ʔ a ʋ a ɾ̪ oː ɡ a ɳ a m
அவர்	ʔ a ʋ a ɾ̪
அவர்கள்	ʔ a ʋ a ɾ̪ k a ɭ
அவல்	ʔ a ʋ a l̪
அவள்	ʔ a ʋ a ɭ
அவித்துருமம்	ʔ a ʋ i t̪ː u ɾ̪ u m a m
அவுஸ்திரேலியா	ʔ a ʋ u s t̪ i ɾ̪ eː l̪ i j aː
அவை	ʔ a ʋ a ɪ̯
அவ்	ʔ a ʋ
அவ்வண்ணம்	ʔ a ʋː a ɳː a m
அவ்வது	ʔ a ʋː a d̪ u
அவ்வருகு	ʔ a ʋː a ɾ̪ u ɡ u
அவ்வழி	ʔ a ʋː a ɻ i
அவ்வாறு	ʔ a ʋː aː r u
அவ்விடம்	ʔ a ʋː i ɖ a m
அவ்வோ	ʔ a ʋː oː
அவ்வோன்	ʔ a ʋː oː n
அஹம்	ʔ a h a m
ஆ	ʔ aː
ஆகையால்	ʔ aː ɡ a ɪ̯ j aː l̪
ஆக்கம்	ʔ aː kː a m
ஆங்கிலம்	ʔ aː ŋ ɡ i l̪ a m
ஆசினி	ʔ aː s i n i
ஆசிரியர்	ʔ aː s i ɾ̪ i j a ɾ̪
ஆசிருந்தம்	ʔ aː s i ɾ̪ u n̪ d̪ a m
ஆசீர்வதி	ʔ aː s iː ɾ̪ ʋ a d̪ i
ஆசை	ʔ aː s a ɪ̯
ஆடம்பரம்	ʔ aː ɖ a m b a ɾ̪ a m
ஆடல்	ʔ aː ɖ a l̪
ஆடு	ʔ aː ɖ u
ஆடுமாடு	ʔ aː ɖ u m aː ɖ u
ஆடை	ʔ aː ɖ a ɪ̯
ஆட்சி	ʔ aː ʈ t͡ʃ i
ஆட்டன்	ʔ aː ʈː a n
ஆட்டுப்பால்	ʔ aː ʈː u pː aː l̪
ஆணவம்	ʔ aː ɳ a ʋ a m
ஆணை	ʔ aː ɳ a ɪ̯
ஆணையம்	ʔ aː ɳ a ɪ̯ j a m
ஆண்	ʔ aː ɳ
ஆண்கள்	ʔ aː ɳ k a ɭ
ஆண்குறி	ʔ aː ɳ k u r i
ஆண்டவன்	ʔ aː ɳ ɖ a ʋ a n
ஆண்டு	ʔ aː ɳ ɖ u
ஆண்பால்	ʔ aː ɳ p aː l̪
ஆண்மை	ʔ aː ɳ m a ɪ̯
ஆதாம்	ʔ aː d̪ aː m
ஆதி	ʔ aː d̪ i
ஆந்தை	ʔ aː n̪ d̪ a ɪ̯
ஆன்மீகம்	ʔ aː n m iː ɡ a m
ஆபரணம்	ʔ aː b a ɾ̪ a ɳ a m
ஆபிச்	ʔ aː b i t͡ʃ
ஆமை	ʔ aː m a ɪ̯
ஆம்பி	ʔ aː m b i
ஆயத்தம்	ʔ aː j a t̪ː a m
ஆயர்	ʔ aː j a ɾ̪
ஆயிட்டு	ʔ aː j i ʈː u
ஆயிரம்	ʔ aː j i ɾ̪ a m
ஆயுதம்	ʔ aː j u d̪ a m
ஆயுள்	ʔ aː j u ɭ
ஆய்	ʔ aː j
ஆய்வு	ʔ aː j ʋ u
ஆரம்	ʔ aː ɾ̪ a m
ஆராய்ச்சி	ʔ aː ɾ̪ aː j t͡ʃː i
ஆர்த்தி	ʔ aː ɾ̪ t̪ː i
ஆர்மீனியா	ʔ aː ɾ̪ m iː n i j aː
ஆறு	ʔ aː r u
ஆலம்	ʔ aː l̪ a m
ஆலயம்	ʔ aː l̪ a j a m
ஆளி	ʔ aː ɭ i
ஆளுவல்லி	ʔ aː ɭ u ʋ a l̪ː i
ஆள்	ʔ aː ɭ
ஆழிப்பேரலை	ʔ aː ɻ i pː eː ɾ̪ a l̪ a ɪ̯
ஆவல்	ʔ aː ʋ a l̪
ஆவி	ʔ aː ʋ i
ஆஸ்திரேலியா	ʔ aː s t̪ i ɾ̪ eː l̪ i j aː
இ	ʔ i
இகழ்ச்சி	ʔ i ɡ a ɻ t͡ʃː i
இக்கு	ʔ i kː u
இங்கண்	ʔ i ŋ ɡ a ɳ
இங்கிட்டு	ʔ i ŋ ɡ i ʈː u
இங்கு	ʔ i ŋ ɡ u
இங்குத்தை	ʔ i ŋ ɡ u t̪ː a ɪ̯
இங்குஷேத்தியா	ʔ i ŋ ɡ u ʂ eː t̪ː i j aː
இங்கே	ʔ i ŋ ɡ eː
இங்ஙனம்	ʔ i ŋː a n a m
இசுலாம்	ʔ i s u l̪ aː m
இசை	ʔ i s a ɪ̯
இசைக்கருவி	ʔ i s a ɪ̯ kː a ɾ̪ u ʋ i
இசைப்பாட்டு	ʔ i s a ɪ̯ pː aː ʈː u
இசைவு	ʔ i s a ɪ̯ ʋ u
இஞ்சி	ʔ i ɲ d͡ʑ i
இடப்பு	ʔ i ɖ a pː u
இடப்பெயர்	ʔ i ɖ a pː e j a ɾ̪
இடி	ʔ i ɖ i
இடியப்பம்	ʔ i ɖ i j a pː a m
இடியாப்பம்	ʔ i ɖ i j aː pː a m
இடு	ʔ i ɖ u
இடுப்பு	ʔ i ɖ u pː u
இடையினம்	ʔ i ɖ a ɪ̯ j i n a m
இட்டம்	ʔ i ʈː a m
இட்டு	ʔ i ʈː u
இட்லி	ʔ i ʈ l̪ i
இணக்கு	ʔ i ɳ a kː u
இணை	ʔ i ɳ a ɪ̯
இதயம்	ʔ i d̪ a j a m
இது	ʔ i d̪ u
இத்தனை	ʔ i t̪ː a n a ɪ̯
இத்தால்	ʔ i t̪ː aː l̪
இந்த	ʔ i n̪ d̪ a
இந்தி	ʔ i n̪ d̪ i
இந்தியர்	ʔ i n̪ d̪ i j a ɾ̪
இந்தியா	ʔ i n̪ d̪ i j aː
இந்து	ʔ i n̪ d̪ u
இனப்படுகொலை	ʔ i n a pː a ɖ u ɡ o l̪ a ɪ̯
இனம்	ʔ i n a m
இன்கண்	ʔ i n k a ɳ
இன்னும்	ʔ i nː u m
இன்பம்	ʔ i n p a m
இன்று	ʔ i n r u
இபங்கம்	ʔ i b a ŋ ɡ a m
இப்படி	ʔ i pː a ɖ i
இப்பொழுது	ʔ i pː o ɻ u d̪ u
இப்போது	ʔ i pː oː d̪ u
இமம்	ʔ i m a m
இயக்கு	ʔ i j a kː u
இயக்குரோதம்	ʔ i j a kː u ɾ̪ oː d̪ a m
இயங்கு	ʔ i j a ŋ ɡ u
இயங்குதளம்	ʔ i j a ŋ ɡ u d̪ a ɭ a m
இயம்	ʔ i j a m
இயல்	ʔ i j a l̪
இயல்பு	ʔ i j a l̪ p u
இயல்புகணம்	ʔ i j a l̪ p u ɡ a ɳ a m
இயேசு	ʔ i j eː s u
இயைபு	ʔ i j a ɪ̯ p u
இரசாயனம்	ʔ i ɾ̪ a s aː j a n a m
இரசிதம்	ʔ i ɾ̪ a s i d̪ a m
இரணியம்	ʔ i ɾ̪ a ɳ i j a m
இரண்டு	ʔ i ɾ̪ a ɳ ɖ u
இரந்தை	ʔ i ɾ̪ a n̪ d̪ a ɪ̯
இரவு	ʔ i ɾ̪ a ʋ u
இராகம்	ʔ i ɾ̪ aː ɡ a m
இராசகுமாரி	ʔ i ɾ̪ aː s a ɡ u m aː ɾ̪ i
இராசி	ʔ i ɾ̪ aː s i
இராஜாளி	ʔ i ɾ̪ aː d͡ʑ aː ɭ i
இராமாயணம்	ʔ i ɾ̪ aː m aː j a ɳ a m
இரு	ʔ i ɾ̪ u
இருபால்சேர்க்கை	ʔ i ɾ̪ u b aː l̪ t͡ʃ eː ɾ̪ kː a ɪ̯
இருப்புப்பாதை	ʔ i ɾ̪ u pː u pː aː d̪ a ɪ̯
இருமல்	ʔ i ɾ̪ u m a l̪
இரும்பு	ʔ i ɾ̪ u m b u
இருளுவா	ʔ i ɾ̪ u ɭ u ʋ aː
இருளை	ʔ i ɾ̪ u ɭ a ɪ̯
இருள்	ʔ i ɾ̪ u ɭ
இரை	ʔ i ɾ̪ a ɪ̯
இரைப்பை	ʔ i ɾ̪ a ɪ̯ pː a ɪ̯
இறகு	ʔ i r a ɡ u
இறக்கை	ʔ i r a kː a ɪ̯
இறால்	ʔ i r aː l̪
இறைச்சி	ʔ i r a ɪ̯ t͡ʃː i
இலக்கணம்	ʔ i l̪ a kː a ɳ a m
இலக்கிய	ʔ i l̪ a kː i j a
இலக்கியம்	ʔ i l̪ a kː i j a m
இலக்கு	ʔ i l̪ a kː u
இலங்கை	ʔ i l̪ a ŋ ɡ a ɪ̯
இலட்சம்	ʔ i l̪ a ʈ t͡ʃ a m
இலட்சுமணன்	ʔ i l̪ a ʈ t͡ʃ u m a ɳ a n
இலத்தீன்	ʔ i l̪ a t̪ː iː n
இலவசம்	ʔ i l̪ a ʋ a s a m
இலை	ʔ i l̪ a ɪ̯
இல்	ʔ i l̪
இல்லகம்	ʔ i l̪ː a ɡ a m
இல்லக்கிழத்தி	ʔ i l̪ː a kː i ɻ a t̪ː i
இல்லத்தரசி	ʔ i l̪ː a t̪ː a ɾ̪ a s i
இல்லம்	ʔ i l̪ː a m
இல்லாள்	ʔ i l̪ː aː ɭ
இல்லை	ʔ i l̪ː a ɪ̯
இள	ʔ i ɭ a
இளநீர்	ʔ i ɭ a n̪ iː ɾ̪
இளம்பிறை	ʔ i ɭ a m b i r a ɪ̯
இளம்பிள்ளைவாதம்	ʔ i ɭ a m b i ɭː a ɪ̯ ʋ aː d̪ a m
இளைப்பாறு	ʔ i ɭ a ɪ̯ pː aː r u
இளைப்பாறுதல்	ʔ i ɭ a ɪ̯ pː aː r u d̪ a l̪
இளைப்பாற்று	ʔ i ɭ a ɪ̯ pː aː ʈː ɾ u
இளைப்பு	ʔ i ɭ a ɪ̯ pː u
இழப்பீடு	ʔ i ɻ a pː iː ɖ u
இழப்பு	ʔ i ɻ a pː u
இழிப்பு	ʔ i ɻ i pː u
இழிவு	ʔ i ɻ i ʋ u
இழுக்கம்	ʔ i ɻ u kː a m
இழுக்கு	ʔ i ɻ u kː u
இழுது	ʔ i ɻ u d̪ u
இழுதை	ʔ i ɻ u d̪ a ɪ̯
இழுப்பறை	ʔ i ɻ u pː a r a ɪ̯
இவள்	ʔ i ʋ a ɭ
இஸ்லாமாபாத்	ʔ i s l̪ aː m aː b aː t̪
ஈ	ʔ iː
ஈகை	ʔ iː ɡ a ɪ̯
ஈடு	ʔ iː ɖ u
ஈட்டு	ʔ iː ʈː u
ஈனில்	ʔ iː n i l̪
ஈரல்	ʔ iː ɾ̪ a l̪
ஈழம்	ʔ iː ɻ a m
உ	ʔ u
உஃப	ʔ u f a
உகளம்	ʔ u ɡ a ɭ a m
உசுபெக்கிசுத்தான்	ʔ u s u b e kː i s u t̪ː aː n
உச்சரிப்பு	ʔ u t͡ʃː a ɾ̪ i pː u
உச்சவம்	ʔ u t͡ʃː a ʋ a m
உச்சி	ʔ u t͡ʃː i
உடனே	ʔ u ɖ a n eː
உடம்பு	ʔ u ɖ a m b u
உடல்	ʔ u ɖ a l̪
உடுக்கை	ʔ u ɖ u kː a ɪ̯
உட்கருத்து	ʔ u ʈ k a ɾ̪ u t̪ː u
உட்பொருள்	ʔ u ʈ p o ɾ̪ u ɭ
உணர்ச்சி	ʔ u ɳ a ɾ̪ t͡ʃː i
உணர்த்தி	ʔ u ɳ a ɾ̪ t̪ː i
உணர்ப்பு	ʔ u ɳ a ɾ̪ pː u
உணர்வு	ʔ u ɳ a ɾ̪ ʋ u
உணவு	ʔ u ɳ a ʋ u
உண்	ʔ u ɳ
உண்டா	ʔ u ɳ ɖ aː
உண்டாக	ʔ u ɳ ɖ aː ɡ a
உண்டாக்கு	ʔ u ɳ ɖ aː kː u
உண்டுபடு	ʔ u ɳ ɖ u b a ɖ u
உண்டுபடுத்து	ʔ u ɳ ɖ u b a ɖ u t̪ː u
உண்ணி	ʔ u ɳː i
உண்மை	ʔ u ɳ m a ɪ̯
உதடு	ʔ u d̪ a ɖ u
உதவி	ʔ u d̪ a ʋ i
உதவு	ʔ u d̪ a ʋ u
உத்தரி	ʔ u t̪ː a ɾ̪ i
உன்	ʔ u n
உன்னம்	ʔ u nː a m
உன்னல்	ʔ u nː a l̪
உன்னு	ʔ u nː u
உபோதம்	ʔ u b oː d̪ a m
உப்பு	ʔ u pː u
உப்புமா	ʔ u pː u m aː
உப்புவாயு	ʔ u pː u ʋ aː j u
உம்	ʔ u m
உயரம்	ʔ u j a ɾ̪ a m
உயர்ச்சி	ʔ u j a ɾ̪ t͡ʃː i
உயிரணு	ʔ u j i ɾ̪ a ɳ u
உயிரியல்	ʔ u j i ɾ̪ i j a l̪
உயிரிழப்பு	ʔ u j i ɾ̪ i ɻ a pː u
உயிரெழுத்து	ʔ u j i ɾ̪ e ɻ u t̪ː u
உயிர்	ʔ u j i ɾ̪
உயிர்த்தெழு	ʔ u j i ɾ̪ t̪ː e ɻ u
உயிர்வேதியியல்	ʔ u j i ɾ̪ ʋ eː d̪ i j i j a l̪
உரிமை	ʔ u ɾ̪ i m a ɪ̯
உருசியா	ʔ u ɾ̪ u s i j aː
உருத்திரன்	ʔ u ɾ̪ u t̪ː i ɾ̪ a n
உருப்பம்	ʔ u ɾ̪ u pː a m
உருப்பு	ʔ u ɾ̪ u pː u
உருமேறு	ʔ u ɾ̪ u m eː r u
உரும்	ʔ u ɾ̪ u m
உருளைக்கிழங்கு	ʔ u ɾ̪ u ɭ a ɪ̯ kː i ɻ a ŋ ɡ u
உரை	ʔ u ɾ̪ a ɪ̯
உரோமம்	ʔ u ɾ̪ oː m a m
உரோம்	ʔ u ɾ̪ oː m
உறக்கம்	ʔ u r a kː a m
உறப்பு	ʔ u r a pː u
உறல்	ʔ u r a l̪
உறழ்ச்சி	ʔ u r a ɻ t͡ʃː i
உறழ்வு	ʔ u r a ɻ ʋ u
உறவு	ʔ u r a ʋ u
உறுகண்	ʔ u r u ɡ a ɳ
உறுகோள்	ʔ u r u ɡ oː ɭ
உறுதி	ʔ u r u d̪ i
உறுதிபூசுதல்	ʔ u r u d̪ i b uː s u d̪ a l̪
உறுப்பிசைக்குறி	ʔ u r u pː i s a ɪ̯ kː u r i
உலகம்	ʔ u l̪ a ɡ a m
உலர்ச்சி	ʔ u l̪ a ɾ̪ t͡ʃː i
உலோகம்	ʔ u l̪ oː ɡ a m
உளவு	ʔ u ɭ a ʋ u
உள்	ʔ u ɭ
உள்ளங்கை	ʔ u ɭː a ŋ ɡ a ɪ̯
உள்ளுறை	ʔ u ɭː u r a ɪ̯
உழவர்	ʔ u ɻ a ʋ a ɾ̪
உழவு	ʔ u ɻ a ʋ u
உவமை	ʔ u ʋ a m a ɪ̯
உவர்மம்	ʔ u ʋ a ɾ̪ m a m
ஊ	ʔ uː
ஊடகம்	ʔ uː ɖ a ɡ a m
ஊடுகதிர்	ʔ uː ɖ u ɡ a d̪ i ɾ̪
ஊட்டி	ʔ uː ʈː i
ஊதியம்	ʔ uː d̪ i j a m
ஊது	ʔ uː d̪ u
ஊத்தப்பம்	ʔ uː t̪ː a pː a m
ஊனம்	ʔ uː n a m
ஊர்	ʔ uː ɾ̪
ஊர்காவல்	ʔ uː ɾ̪ k aː ʋ a l̪
ஊர்க்கதை	ʔ uː ɾ̪ kː a d̪ a ɪ̯
ஊர்வன	ʔ uː ɾ̪ ʋ a n a
ஊர்வலம்	ʔ uː ɾ̪ ʋ a l̪ a m
ஊறுகாய்	ʔ uː r u ɡ aː j
ஊற்று	ʔ uː ʈː ɾ u
ஊழல்	ʔ uː ɻ a l̪
எ	ʔ e
எஃகு	ʔ e ɡ u
எகின்	ʔ e ɡ i n
எங்கண்	ʔ e ŋ ɡ a ɳ
எங்கித்தை	ʔ e ŋ ɡ i t̪ː a ɪ̯
எங்கு	ʔ e ŋ ɡ u
எங்கும்	ʔ e ŋ ɡ u m
எங்கே	ʔ e ŋ ɡ eː
எசுத்தோனியா	ʔ e s u t̪ː oː n i j aː
எச்சம்	ʔ e t͡ʃː a m
எடு	ʔ e ɖ u
எடுத்துக்காட்டு	ʔ e ɖ u t̪ː u kː aː ʈː u
எட்டு	ʔ e ʈː u
எண்ணங்கள்	ʔ e ɳː a ŋ ɡ a ɭ
எண்ணம்	ʔ e ɳː a m
எண்ணிக்கை	ʔ e ɳː i kː a ɪ̯
எண்ணெய்	ʔ e ɳː e j
எதிர்ச்சி	ʔ e d̪ i ɾ̪ t͡ʃː i
எதிர்பால்சேர்க்கை	ʔ e d̪ i ɾ̪ p aː l̪ t͡ʃ eː ɾ̪ kː a ɪ̯
எத்தனை	ʔ e t̪ː a n a ɪ̯
என்	ʔ e n
என்ன	ʔ e nː a
என்னர்	ʔ e nː a ɾ̪
என்னோரும்	ʔ e nː oː ɾ̪ u m
எப்படி	ʔ e pː a ɖ i
எப்பேர்ப்பட்ட	ʔ e pː eː ɾ̪ pː a ʈː a
எமன்	ʔ e m a n
எரி	ʔ e ɾ̪ i
எரிமலை	ʔ e ɾ̪ i m a l̪ a ɪ̯
எருது	ʔ e ɾ̪ u d̪ u
எருமை	ʔ e ɾ̪ u m a ɪ̯
எறும்பு	ʔ e r u m b u
எற்பாடு	ʔ e r p aː ɖ u
எலி	ʔ e l̪ i
எலும்பு	ʔ e l̪ u m b u
எல்லாரும்	ʔ e l̪ː aː ɾ̪ u m
எல்லை	ʔ e l̪ː a ɪ̯
எழுச்சி	ʔ e ɻ u t͡ʃː i
எழுது	ʔ e ɻ u d̪ u
எழுதுகோல்	ʔ e ɻ u d̪ u ɡ oː l̪
எழுத்து	ʔ e ɻ u t̪ː u
எழுவாய்	ʔ e ɻ u ʋ aː j
எஸ்பெராண்டோ	ʔ e s p e ɾ̪ aː ɳ ɖ oː
ஏ	ʔ eː
ஏகாந்தம்	ʔ eː ɡ aː n̪ d̪ a m
ஏணி	ʔ eː ɳ i
ஏதடை	ʔ eː d̪ a ɖ a ɪ̯
ஏதின்மை	ʔ eː d̪ i n m a ɪ̯
ஏத்து	ʔ eː t̪ː u
