abl	a b l̩
nheigr	n̥ e i̯ ɡ r̩
ocr	ɔ k r̩
odl	ɔ d l̩
osgoi	ɔ s k ɔ i̯
pasg	pʰ aː s k
pasta	pʰ a s t a
pastai	pʰ a s t a i̯
pasteiod	pʰ a s t e i̯ ɔ d
pedr	pʰ ɛ d r̩
pedrongl	pʰ ɛ d r ɔ ŋ l̩
pedrsill	pʰ ɛ d r̩ s ɪ ɬ
pellter	pʰ ɛ ɬ t ɛ r
pelydr x	pʰ ɛ l ɨ̞ d r ɛ k s
pelydr x	pʰ ɛ l ɨ̞ d r̩ ɛ k s
pendrist	pʰ ɛ n d r ɪ s t
pesto	pʰ ɛ s t ɔ
phasta	f a s t a
phastai	f a s t a i̯
phobl	f ɔ b l̩ˠ
picl	pʰ ɪ kʰ l̩
picls	pʰ ɪ kʰ l̩ s
plastig	p lʰ a s t ɪ ɡ
pobl	pʰ ɔ b l̩ˠ
post	pʰ oː s t
poster	pʰ ɔ s t a r
poster	pʰ ɔ s t ɛ r
posteri	pʰ ɔ s t ɛ r i
protestaniaeth	p r̥ʰ ɔ tʰ ɛ s t a n j a ɨ̯ θ
protestaniaeth	p r̥ʰ ɔ tʰ ɛ s t a n j ɛ θ
protestaniaid	p r̥ʰ ɔ tʰ ɛ s t a n j a i̯ d
protestaniaid	p r̥ʰ ɔ tʰ ɛ s t a n j ɛ d
protestannaidd	p r̥ʰ ɔ tʰ ɛ s t a n a i̯ ð
protestannaidd	p r̥ʰ ɔ tʰ ɛ s t a n ɛ ð
protestant	p r̥ʰ ɔ tʰ ɛ s t a n tʰ
prysglwyn	pʰ r ə s k l ʊ ɨ̯ n
prysglwyni	pʰ r ə s k l ʊ ɨ̯ n ɪ
pumongl	pʰ ɨ̞ m ɔ ŋ l̩
pysgod	pʰ ə s k ɔ d
pysgodyn	p ə s k ɔ d ɨ̯ n
pysgota	pʰ ə s k ɔ tʰ a
rhaeadr	r̥ʰ e ɨ̯ a d r̩
rhestr	r̥ʰ ɛ s t r̩
rhestrau	r̥ʰ ɛ s t r a
rhestrau	r̥ʰ ɛ s t r a ɨ̯
rhestrau	r̥ʰ ɛ s t r ɛ
rhestri	r̥ʰ ɛ s t r i
rhisgl	r̥ ɪ s k l̩
rhwystr	r̥ʰ ʊ ɨ̯ s t r̩
rhwystrau	r̥ʰ ʊ ɨ̯ s t r a
rhwystrau	r̥ʰ ʊ ɨ̯ s t r a ɨ̯
rhwystrau	r̥ʰ ʊ ɨ̯ s t r ɛ
rhwystredig	r̥ʰ ʊ ɨ̯ s t r ɛ d ɨ̞ ɡ
rhwystredigaeth	r̥ʰ ʊ ɨ̯ s t r ɛ d ɨ̞ ɡ a ɨ̯ θ
rhwystredigaeth	r̥ʰ ʊ ɨ̯ s t r ɛ d ɨ̞ ɡ a θ
rhwystredigaeth	r̥ʰ ʊ ɨ̯ s t r ɛ d ɨ̞ ɡ ɛ θ
rhwystredigaethau	r̥ʰ ʊ ɨ̯ s t r ɛ d ɨ̞ ɡ e ɨ̯ θ a
rhwystredigaethau	r̥ʰ ʊ ɨ̯ s t r ɛ d ɨ̞ ɡ e ɨ̯ θ a ɨ̯
rhwystredigaethau	r̥ʰ ʊ ɨ̯ s t r ɛ d ɨ̞ ɡ e ɨ̯ θ ɛ
rhwystro	r̥ʰ ʊ ɨ̯ s t r ɔ
salamandr	s a l a m a n d r̩
sawdl	s a u̯ d l̩
sbageti	s p a ɡ ɛ t i
sbectol	s p ɛ k t ɔ l
sbwriel	s p ʊ r j a lˠ
sbwriel	s p ʊ r j ɛ lˠ
seithongl	s e i̯ θ ɔ ŋ l̩
sgandinafaidd	s k a n d ɪ n a v a i̯ ð
sgandinafia	s k a n d ɪ n a v j a
sgarff	s k a r f
sgerbwd	s k ɛ r b ʊ d
sgert	s k ɛ r t
sgiwen	s k i u̯ ɛ n
sglodion	s k l ɔ d j ɔ n
sglodyn	s k l ɔ d ɨ̞ n
sgrech	s k r eː χ
sgrechian	s ɡ r ɛ χ j a n
sgri	s k r iː
sgriau	s k r iː a
sgriau	s k r iː a ɨ̯
sgriau	s k r iː ɛ
sgrin	s k r iː n
sgriniau	s k r ɪ n j a
sgriniau	s k r ɪ n j a ɨ̯
sgriniau	s k r ɪ n j ɛ
sgrinio	s k r i n j ɔ
sgwariau	s k w a r j a
sgwariau	s k w a r j a ɨ̯
sgwariau	s k w a r j ɛ
sgwd	s k uː d
sgwrs	s k ʊ r s
sgwrsio	s k ʊ r ʃ o
sgwâr	s k w aː r
sgydau	s k ə d a
sgydau	s k ə d a ɨ̯
sgydau	s k ə d ɛ
sgythia	s k ə θ j a
sgôr	s k oː r
siwgr	ʃ ʊ ɡ r̩
sosban	s ɔ s p a n
stafell	s t a v a ɬ
stafell	s t a v ɛ ɬ
stemar	s t ɛ m a r
stemars	s t ɛ m a r s
stopi	s t ɔ p i
stopiem	s t ɔ p j ɛ m
stopio	s t ɔ p j ɔ
stori	s t ɔ r i
storïau	s t ɔ r iː a
storïau	s t ɔ r iː a ɨ̯
storïau	s t ɔ r iː ɛ
strach	s t r aː χ
straeon	s t r e ɨ̯ ɔ n
streic	s t r e i̯ kʰ
streiciau	s t r e i̯ k j̊ʰ a
streiciau	s t r e i̯ k j̊ʰ a ɨ̯
streiciau	s t r e i̯ k j̊ʰ ɛ
streicio	s t r e i̯ k j̊ʰ ɔ
stryd	s t r ɨː d
stwrsiwn	s t ʊ r ʃ ʊ n
stwrsiynod	s t ʊ r ʃ ə n ɔ d
stŵr	s t uː r
sustem	s ɨ̞ s t ɛ m
swistir	ə s w ɪ s t ɪ r
swllt	s uː ɬ t
syfl	s ɨ̞ v l̩ˠ
syllta	s ə ɬ t a
syml	s ɨ̞ m l̩
system	s ɨ̞ s t ɛ m
tanau gwyllt	tʰ a n a ɡ w ɨː ɬ t
tanau gwyllt	tʰ a n a ɨ̯ ɡ w ɨː ɬ t
tanau gwyllt	tʰ a n ɛ ɡ w ɨː ɬ t
taradr	tʰ a r a d r̩
teifl	tʰ e i̯ v l̩
teigr	tʰ e i̯ ɡ r̩
teitl	tʰ e i̯ tʰ l̩
terfysg	tʰ ɛ r v ɨ̞ s k
terfysgaeth	tʰ ɛ r v ə s k a ɨ̯ θ
terfysgaeth	tʰ ɛ r v ə s k ɛ θ
terfysgaidd	tʰ ɛ r v ə s k a i̯ ð
terfysglyd	tʰ ɛ r v ə s k l ɨ̞ d
terfysgoedd	tʰ ɛ r v ə s k ɔ ɨ̯ ð
terfysgu	tʰ ɛ r v ə s k ɨ
terfysgwr	tʰ ɛ r v ə s k ʊ r
terfysgwyr	tʰ ɛ r v ə s k w ɨ̞ r
terydr	tʰ ɛ r ɨ̞ d r̩
theigr	θ e i̯ ɡ r̩
trawstrefa	t r̥ʰ a u̯ s t r ɛ v a
triongl	tʰ r iː ɔ ŋ l̩
trwbl	t r̥ʰ ʊ b l̩ˠ
trwsgl	t r ʊ s k l̩
tyst	tʰ ɨː s t
tân gwyllt	tʰ aː ŋ ɡ w ɨː ɬ t
tâp masgio	tʰ aː pʰ m a s k j ɔ
wfft	ʊ f t
wybr	ʊ ɨ̯ b r̩
wysg	uː ɨ̯ s k
wystl	w ɨ̞ s t l̩ˠ
wythongl	ʊ ɨ̯ θ ɔ ŋ l̩
ych a fi	ə χ a v iː
ydw	n d u
ydw	n̩ d u
ydy	n d i
ydy	n̩ d i
ymeifl	ə m e i̯ v l̩
ymherodr	ə m h ɛ r ɔ d r̩
ysboncio	ə s p ɔ ŋ k j ɔ
ysbryd	ə s p r ɨ̞ d
ysbrydion	ə s p r ə d j ɔ n
ysbrydol	ə s p r ə d ɔ l
ysbrydoli	ə s p r ə d ɔ l i
ysbyty	s p ə t ɨ
ysbyty	ə s p ə t ɨ
ysgafnder	ə s k a v n d ɛ r
ysgafnhad	ə s k a v n h aː d
ysgafnhau	ə s k a v n h a ɨ̯
ysgaw	ə s k a u̯
ysgawen	ə s k a u̯ a n
ysgawen	ə s k a u̯ ɛ n
ysglodyn	s k l ɔ d ɨ̞ n
ysglodyn	ə s k l ɔ d ɨ̞ n
ysgol	ə s k ɔ l
ysgrifbin	ə s k r ɪ v b ɪ n
ysgrifen	s k r ɪ v a n
ysgrifen	s k r ɪ v ɛ n
ysgrifen	ə s k r ɪ v ɛ n
ysgrifennu	s k r ɪ v ɛ n ɨ
ysgrifennu	s k w ɛ n ɨ
ysgrifennu	ə s k r ɪ v ɛ n ɨ
ysgubor	ə s k ɨ̞ b ɔ r
ysguthan	s k ɨ̞ θ a n
ysguthan	ə s k ɨ̞ θ a n
ysgwydd	ə s k w ɨ̞ ð
ystafell	s t a v a ɬ
ystafell	s t a v ɛ ɬ
ystafell	ə s t a v ɛ ɬ
ystifflog	ə s t ɪ f l ɔ ɡ
ystiflogod	ə s t ɪ f l ɔ ɡ ɔ d
ystlum	ə s t l ɨ̞ m
ystod	ə s t ɔ d
ystradwel	ə s t r a d w ɛ l
ystyr	ə s t ɨ̞ r
ystyried	ə s t ə r j ɛ d
