't	t
aghamwika	a ɡ h a m w i k a ʔ
aghimo	ʔ a ɡ h i m o ʔ
aghimuan	ʔ a ɡ h i m u ʔ a n
aghimuin	ʔ a ɡ h i m u ʔ i n
agila	ʔ a ɡ i l a
agimat	ʔ a ɡ i m a t
agimatan	ʔ a ɡ i m a t a n
agiw	ʔ a ɡ i u
agosto	a ɡ o s t o
agrabyado	ʔ a ɡ ɾ a b j a d o
agsikap	ʔ a ɡ s i k a p
agsikapan	ʔ a ɡ s i k a p a n
aguas	ʔ a ɡ u a s
aguda	ʔ a ɡ u d a
aguilera	ʔ a ɡ i l ɛ ɾ a
aguirre	ʔ a ɡ i ɾ ɛ
agustin	ʔ a ɡ u s t i n
agwa	a ɡ w ɐ
agwat	ʔ a ɡ w a t
ahensya	ɑ ɦ ɛ n sʲ ɑ
ahensya	ɑ ɦ ɛ n ɕ ɑ
aklat	ɐ k l a t
aklatan	ɐ k l aː t ɐ n
aksayado	ʔ a k s a j a d o
alam	a l a m
alam	ɐ l a m
alambre	ʔ a l a m b ɾ ɛ
alamin	ʔ a l a m i n
alcaide	ʔ a l k a i d ɛ
aldover	ʔ a l d o b ɛ ɾ
alegre	ʔ a l ɛ ɡ ɾ ɛ
alfaro	a l f a ɾ o
alila	ʔ a l i l a ʔ
alimasag	ʔ a l i m a s a ɡ
alimuom	a l i m u o m
alipin	ʔ a l i p i n
alis	ʔ a l i s
almaden	ʔ a l m a d ɛ n
almarez	ʔ a l m a ɾ ɛ s
almario	ʔ a l m a ɾ i o
almendrala	ʔ a l m ɛ n d ɾ a l a
almirol	ʔ a l m i ɾ o l
almohadilya	a l m o h a d i l j a ʔ
alonte	ʔ a l o n t ɛ
alonto	ʔ a l o n t o
alperes	ʔ a l p ɛ ɾ ɛ s
altapresyon	ʔ a l t a p ɾ ɛ s j o n
alulod	ɐ l u l ɔ d
alusitha	ʔ a l u s i t h a ʔ
alviar	ʔ a l b j a ɾ
alzaga	a l s a ɡ a
amante	ʔ a m a n t ɛ
ambag	ʔ a m b a ɡ
amerikana	ʔ a m ɛ ɾ i k a n a
amin	ʔ a m i n
aminado	ʔ a m i n a d o
aming	a m i ŋ
aminin	a m i n i n
amo	ʔ a m o
amon	ʔ a m o n
amoranto	ʔ a m o ɾ a n t o
ampaw	ʔ a m p a u
amurao	ʔ a m u ɾ a u
analisis	ʔ a n a l i s i s
anatomiya	ʔ a n a t o m i a
anay	ʔ a n a i
anayin	ʔ a n a j i n
anda	a n d a
andal	ʔ a n d a l
andaya	a n d a y a
ang	a ŋ
anga	ʔ a ŋ a
angaw	a ŋ a w
anggo	ʔ a ŋ ɡ o
anghel	ʔ a ŋ h ɛ l
angis	ʔ a ŋ i s
angkla	ʔ a ŋ k l a
ango	ʔ a ŋ o
angot	ʔ a ŋ o t
anim	ʔ a n i m
animnapu	a n i m n a p u ʔ
anis	ʔ a n i s
ano	a n o
anos	ʔ a n o s
anta	ʔ a n t a
antas	ʔ a n t a s
antipona	ʔ a n t i p o n a
antok	ʔ a n t o k
antukin	ʔ a n t u k i n
anunsyo	ɑ n u n sʲ ɔ
anunsyo	ɑ n u n ɕ ɔ
anyayahan	ʔ a n j a j a h a n
apahap	ʔ a p a h a p
apalit	ʔ a p a l i t
apat	a p a t
apatnapu	a p a t n a p u ʔ
apatnaraan	a p a t n a r a a n
apela	ʔ a p ɛ l a
apilado	ʔ a p i l a d o
apostasiya	ʔ a p o s t a s i a
aral	a ɾ ɐ l
aranda	ʔ a ɾ a n d a
araw	a ɾ ɐ w
araw	ɐ ɾ a w
aray	ʔ a ɾ a i
arañas	ʔ a ɾ a ɲ a s
arce	ʔ a ɾ s ɛ
arcega	ʔ a ɾ s ɛ ɡ a
arceo	ʔ a ɾ s ɛ o
arcilla	ʔ a ɾ s i l l a
arcillas	ʔ a ɾ s i l l a s
arcinas	ʔ a ɾ s i n a s
arenas	ʔ a ɾ ɛ n a s
arevalo	ʔ a ɾ ɛ b a l o
argente	ʔ a ɾ ɡ ɛ n t ɛ
arguelles	a ɾ ɡ w e l j e s
arkila	ʔ a ɾ k i l a
arlene	a r l i n
arnibal	a r n i b a l
arquiza	ʔ a ɾ k i s a
arriola	ʔ a ɾ i o l a
arrogante	ʔ a ɾ o ɡ a n t ɛ
artiaga	ʔ a ɾ t j a ɡ a
artista	a r t i s t a
arzadon	ʔ a ɾ s a d o n
ashley	a ʃ l i
asilo	ʔ a s i l o
asinta	ʔ a s i n t a
aso	a s o
asukal	a s uː k a l
asul	ʔ a s u l
asungot	ʔ a s u ŋ o t
at	ʔ a t
ataul	ʔ a t a ʔ u l
atendido	ʔ a t ɛ n d i d o
atip	a t i p
auyong	a w j ɔ ŋ
avanceña	ʔ a b a n s ɛ ɲ a
avendaño	ʔ a b ɛ n d a ɲ o
awat	ʔ a w a t
away	a w a j
awayin	a w a j i n
awyoung	a w j ɐ ŋ
ay	ʔ a i
ayam	a y a m
ayson	ʔ a i s o n
azaña	ʔ a s a ɲ a
azucena	ʔ a s u s ɛ n a
ba	b a
ba't	b a t
babae	b a b a ʔ ɛ
babaero	b a b a ʔ ɛ ɾ o
babaihin	b a b a i h i n
babao	b a b a u
babasa	b a b a s a
babasagin	b a b a s a ɡ i n
babasahin	b a b a s a h i n
bacani	b a k a n i
baclig	b a k l i ɡ
bacsa	b a k s a
bactol	b a k t o l
baculi	b a k u l i
badayos	b a d a j o s
baga	b a ɡ a
baga	b a ɡ a ʔ
bagaman	b a ɡ a m a n
bagamat	b a ɡ a m a t
bagang	b a ɡ a ŋ
bagang	b a ɡ ʔ a ŋ
bagaoisan	b a ɡ a w i s a n
baging	b a ɡ i ŋ
bagon	b a ɡ o n
bagsak	b a ɡ s a k
bagsik	b a ɡ s i k
bagsit	b a ɡ s i t
bagunsakupin	b a ɡ u n s a k u p i n
bahaghari	b a h a ɡ h a ɾ i ʔ
bahaw	b a h a w
bahay	b a h a j
bahing	b a h i ŋ
bahon	b a h o n
baka	b a k a
baka	b ɐ k a ʔ
bakahan	b a k a h a n
bakas	b a k a s
bakasyon	b a k a s j o n
bakasyon	b a k a ʃ o n
bakit	b a k i t
bakit	b a k ɛ t
baklad	b a k l a d
bakulaw	b a k u l a u
bakuna	b a k u n a
bakunahan	b a k u n a h a n
bakuran	b a k u ɾ a n
balae	b a l a ʔ ɛ
balaguer	b a l a ɡ ɛ ɾ
balahak	b a l a h a k
balahakan	b a l a h a k a n
balahibo	b a l a h i b o
balakubak	b a l a k u b a k
balani	b ɐ l a n i ʔ
balasa	b a l a s a
balasabas	b a l a s a b a s
balat	b a l a t
balato	b a l a t o
balatong	b a l a t o ŋ
balbas	b a l b a s
balde	b a l d e
baldonado	b a l d o n a d o
baldosa	b ɐ l d o s ɐ
bali	b a l i ʔ
baligtad	b a l i ɡ t a d
balik	b a l i k
balimbing	b ɐ l i m b i ŋ
balingit	b a l i ŋ i t
balisa	b a l i s a ʔ
balisacan	b a l i s a k a n
balisungsong	b a l i s u ŋ s ɔ ŋ
balita	b ɐ l i t a ʔ
balite	b a l i t ɛ
balnian	b a l n i a n
balo	b a l o
balo	b a l o ʔ
balon	b a l o n
baluga	b a l u ɡ a ʔ
balukay	b a l u k a j
baluktot	b a l u k t o t
balwarte	b a l w a ɾ t ɛ
banawa	b a n a w a
bandila	b a n d i l a ʔ
bangaw	b a ŋ a u
bangkay	b a ŋ k a i
bangkiling	b a ŋ k i l i ŋ
bango	b a ŋ o
baniaga	b a n j a ɡ a
banig	b a n i ɡ
banlaw	b a n l a u
banta	b a n t a ʔ
bantay	b a n t a i
bantayog	b a n t a j o ɡ
bantog	b a n t o ɡ
banyaga	b a n j a ɡ a ʔ
banyuhay	b ɐ n y u h ɐ j
bao	b a o
baog	b a ʔ o ɡ
baon	b a ʔ o n
baquiran	b a k i ɾ a n
bara	b a ɾ a
barado	b a ɾ a d o
baraha	b a ɾ a h a
barangay	b a r a ŋ ɡ a j
barbosa	b a ɾ b o s a
barquilla	b a ɾ k i l l a
barrios	b a ɾ j o s
bartolome	b a ɾ t o l o m ɛ
barya	b a ɾ j a
basa	b a s a
basag	b a s a ɡ
basahan	b a s a h a n
basakay	b a s a k a j
basallote	b ɐ s ɐ l j o t ɛ
basco	b a s k o
base	b a s ɛ
basehan	b a s ɛ h a n
basilan	b a s i l a n
basta	b a s t a
bastos	b a s t o s
basurahan	b a s u ɾ a h a n
basurero	b a s u ɾ ɛ ɾ o
basyo	b a s y o
basyo	b a ʃ o
basyuhin	b a s j u h i n
basyuhin	b a ʃ u h i n
bata	b a t a
bata	b a t a ʔ
bata	b ɐ t a
batallones	b a t a l l o n ɛ s
batalyon	b a t a l j o n
batangas	b a t a n ɡ a s
batas	b a t a s
bathalaan	b a t h a l a ʔ a n
bati	b a t i
bati	b a t i ʔ
bato	b a t o
bato	b a t o ʔ
batok	b a t o k
batugan	b a t u ɡ a n
batukan	b a t u k a n
batya	b a t j a ʔ
batyaw	b a t ɕ a w
batyaw	b a tʲ a w
baunan	b a ʔ u n a n
bauzon	b a u s o n
bawang	b aː w a ŋ
bayabas	b a j a b a s
bayad	b a j a d
bayanihan	b a j ɐ n ɪ h a n
bayarin	b a y a r i n
bayawak	b a j a w a k
bayna	b a j n a
bayong	b a i ʔ o ŋ
bayong	b a j o ŋ
bayugo	b a j u ɡ o
baywang	b a i w a ŋ
baywang	b ɛ w a ŋ
bañaga	b a ɲ a ɡ a
bebot	b ɛː b ɔ t
bejasa	b ɛ d͡ʒ a s a
belhiko	b ɛ l h i k o
belmonte	b ɛ l m o n t ɛ
beltran	b ɛ l t ɾ a n
benepisyo	b ɛ n ɛ p i s j o
benipayo	b ɛ n i p a j o
benta	b e n t a
berde	b ɛ ɾ d ɛ
bergonia	b ɛ ɾ ɡ o n j a
beripikahin	b ɛ r i p i k a h i n
bermudez	b ɛ ɾ m u d ɛ s
beshie	b e s h i
bibe	b i b e
bibili	b i b i l i
bibingka	b i b i ŋ k a
bigat	b i ɡ a t
bigat	b i ɡ ʔ a t
bigo	b i ɡ o ʔ
bigote	b i ɡ ɔ t ɛ
bigti	b i ɡ t i ʔ
biguin	b i ɡ u i n
bihag	b i h a ɡ
bihira	b i h i ɾ a ʔ
bihis	b i h i s
biik	b i i k
bilang	b iː l a ŋ
bilangguan	b i l a ŋ ɡ u ʔ a n
bilao	b i l a o
bilas	b i l a s
bilhan	b i l h a n
bilhin	b i l h i n
bili	b i l i
bilog	b i l ɔ ɡ
bilot	b i l o t
biloy	b i l o j
bilubilo	b i l u b i l o
bilugan	b i l u ɡ a n
binabae	b i n a b a ʔ ɛ
binatilyo	b i n a t i l j o
binaysok	b i n a j s o k
bingwit	b i ŋ w i t
bintag	b i n t a ɡ
bintana	b i n t a n a
bintang	b i n t a ŋ
bintog	b i n t o ɡ
binutil	b i n u t i l
binuya	b i n u j a
biro	b iː ɾ o ʔ
bisaya	b i s a j a ʔ
biscocho	b i s k o t͡ʃ o
bisikleta	b i s i k l ɛ t a
bisita	b i s i t a
bisitahin	b i s i t a h i n
bitamina	b ɪ t ɐ m i n ɐ
bitay	b i t a i
biyas	b i a s
biyaya	b i a j a ʔ
biyernes	b j ɛ ɾ n ɛ s
biyolohiya	b i j o l o h i j ɐ
biyuda	b i u d a
bobadilla	b o b a d i l l a
bobo	b o b o
bobotante	b ɔ b ɔ t a n t ɛ
bodega	b o d ɛ ɡ a
boksing	b o k s i ŋ
bolante	b o l a n t ɛ
bolaños	b o l a ɲ o s
bolpen	b o l p ɛ n
boluntaryo	b o l u n t a ɾ j o
bonifacio	b o n i f a ʃ o
bonilla	b o n i l l a
boongaling	b o o ŋ ɡ a l i ŋ
borbon	b o ɾ b o n
borillo	b o ɾ i l l o
borlaza	b o ɾ l a s a
boso	b o s o
botante	b o t a n t ɛ
bote	b o t ɛ
botelya	b o t ɛ l j a
botika	b o t i k a
botohan	b o t o h a n
braso	b ɾ a s o
brillantes	b ɾ i l l a n t ɛ s
bruha	b ɾ u h a
bubo	b u b o
bubo	b u b o ʔ
bubog	b u b o ɡ
bubuli	b u b u l i
budhi	b u d h i ʔ
buenafe	b u ɛ n a p ɛ
buga	b u ɡ a
bugarin	b u ɡ a ɾ i n
bugat	b u ɡ a t
bugaw	b u ɡ a u
bugayong	b u ɡ a j o ŋ
bughaw	b u ɡ h a w
bugnit	b u ɡ n i t
bugtong	b u ɡ t o ŋ
buhag	b u h a ɡ
buhaghag	b u h a ɡ h a ɡ
buhagsigan	b u h a ɡ s i ɡ a n
buhagsigwasan	b u h a ɡ s i ɡ w a s a n
buhagtigilan	b u h a ɡ t i ɡ i l a n
buhawi	b u h a w i ʔ
buhok	b u h o k
bukambibig	b u k a m b i b i ɡ
bukas	b u k a s
bukbok	b u k b o k
buking	b u k i ŋ
bukot	b u k o t
bula	b u l a
bula	b u l a ʔ
bulaan	b u l a ʔ a n
bulahaw	b u l a h a u
bulalakaw	b u l a l a k a u
bulalay	b u l a l a j
bulanadi	b u l a n a d i
bulandal	b u l a n d a l
bulanhagui	b u l a n h a ɡ i
bulati	b u l a t i
bulatlat	b u l a t l a t
bulaw	b u l a u
bulbol	b u l b o l
bulig	b u l i ɡ
bulok	b u l o k
bulutong	b u l u t o ŋ
bulyaw	b u l j a u
bumaba	b u m a b a ʔ
bumagsak	b u m a ɡ s a k
bumagyo	l u m i w a n a ɡ
bumaha	b u m a h a ʔ
bumahin	b u m a h i n
bumahing	b u m a h i ŋ
bumalik	b u m a l i k
bumalintong	b u m a l i n t ɔ ŋ
bumbunan	b u m b u n a n
bumibili	b u m i b i l i
bumili	b u m i l i
bumilis	b u m i l i s
bumisita	b u m i s i t a
bumiyahe	b u m j a h ɛ
bumuo	b u m u ʔ o ʔ
bumuwelta	b u m u w ɛ l t a
bunag	b u n a ɡ
bunga	b u ŋ a
bungkos	b u ŋ k o s
bungo	b u ŋ o ʔ
bungot	b u ŋ ɔ t
buno	b u n o ʔ
bunso	b u n s o ʔ
bunso	b u ŋ s o ʔ
bunto	b u n t o ʔ
bunyi	b u n j i
buo	b u o ʔ
buol	b u ʔ o l
buquid	b u k i d
bura	b u ɾ aː
burahin	b u r a h i n
burgis	b u ɾ ɡ i s
buryong	b u ɾ j o ŋ
bus	b u s
buson	b u s o n
butac	b u t a k
butaka	b u t a k a
butang	b u t a ŋ
butas	b u t a s
buto	b u t o
buto	b u t ʔ o
butod	b u t o d
butudkaphay	b u t o d k a p h a j
butudkilos	b u t o d k i l o s
buturan	b u t u ɾ a n
buuin	b u ʔ u ʔ i n
buwag	b u a ɡ
buwakaw	b w a k a u
buwanan	b u a n a n
buwaya	b u a j a
buwelta	b u w ɛ l t a
buwelta	b w ɛ l t a
buweltahan	b w ɛ l t a h a n
buwisit	b u i s i t
buyo	b u j o
cabahug	k a b a h u ɡ
cabanayan	k a b a n a j a n
cabanlit	k a b a n l i t
cabasag	k a b a s a ɡ
cabiling	k a b i l i ŋ
cabral	k a b ɾ a l
cabuhat	k a b u h a t
cabungcal	k a b u ŋ k a l
cacdac	k a k d a k
cadano	k a d a n o
cadapan	k a d a p a n
cadayona	k a d a j o n a
cagalingan	k a ɡ a l i ŋ a n
caguiat	k a ɡ j a t
caguioa	k a ɡ i w a
calalo	k a l a l o
calaunan	k a l a ʔ u n a n
calaycay	k a l a i k a i
calinawan	k a l i n a w a n
calingasan	k a l i ŋ a s a n
calinisan	k a l i n i s a n
calma	k a l m a
campo	k a m p o
cancio	k a n s i o
canicosa	k a n i k o s a
canilao	k a n i l a u
cantiveros	k a n t i b ɛ ɾ o s
cantos	k a n t o s
caparas	k a p a ɾ a s
capinpin	k a p i n p i n
cardiño	k a ɾ d i ɲ o
cariaso	k a ɾ j a s o
carillo	k a ɾ i l l o
carlos	k ɐ ɾ l ɔ s
carrillo	k a ɾ ɾ i l l o
casal	k a s a l
casanova	k a s a n o b a
casao	k a s a o
caseda	k a s ɛ d a
castañeda	k a s t a ɲ ɛ d a
castrence	k a s t ɾ ɛ n s ɛ
catapang	k a t a p a ŋ
catibog	k a t i b o ɡ
catimbang	k a t i m b a ŋ
catipon	k a t i p o n
catral	k a t ɾ a l
cauilan	k a w i l a n
caw	k a w
cedeño	s ɛ d ɛ ɲ o
cenizal	s ɛ n i s a l
cereno	s ɛ ɾ ɛ n o
cerillo	s ɛ ɾ i l l o
chan	t͡ʃ a n
cheng	c h ɛ ŋ
chi	t ʃ i
ching	t͡ʃ i ŋ
chong	t ʃ o ŋ
chu	t ʃ ʊ
chua	t ʃ u w a
chua	t ʃ w a
chung	t ʃ ʊ ŋ
cinco	s i n k o
closa	k l o s a
co	k ɔ
collado	k o l l a d o
cometa	k o m ɛ t a
comia	k o m i a
condez	k o n d ɛ s
coo	k uː
coquia	k o k i a
corcuera	k o ɾ k w ɛ ɾ a
cornejo	k o ɾ n ɛ d͡ʒ o
coronel	k o ɾ o n ɛ l
corrales	k o ɾ ɾ a l ɛ s
correa	k o ɾ ɾ ɛ a
corro	k o ɾ ɾ o
cosico	k o s i k o
cruzat	k ɾ u s a t
cua	k u w a
cua	k w a
cuasay	k w a s a i
cubacub	k u b a k u b
cueto	k w ɛ t o
cuizon	k u i s o n
custodio	k u s t o d j o
daan	d a ʔ a n
dabarkads	d a b a r k a d s
dacanay	d a k a n a i
dado	d a d o
daga	d a ɡ a ʔ
dagadagaan	d a ɡ a d a ɡ a ʔ a n
dagat	d a ɡ a t
dagipik	d a ɡ i p i k
dagisikan	d a ɡ i s i k a n
dagitban	d a ɡ i t b a n
dagitigilan	d a ɡ i t i ɡ i l a n
dagitsigan	d a ɡ i t s i ɡ a n
dagta	d a ɡ t a ʔ
dahas	d a h a s
dahilan	d a h i l a n
dahilig	d a h i l i ɡ
dahon	d a h o n
dakip	d a k i p
daktao	d a k t a ʔ ɔ
daktinig	d a k t i n i ɡ
dalagita	d a l a ɡ i t a
dalang	d a l a ŋ
dalaw	d a l a u
dalawa	d a l a w a
dalawampu	d a l a w a m p u ʔ
dalawit	d a l a w i t
dalmasya	d ɑ l m ɑ sʲ ɑ
dalmasya	d ɑ l m ɑ ɕ ɑ
dalubhasa	d a l u b h a s a ʔ
dalubituinan	d a l u b b i t u i n a n
dalubtalaan	d a l u b t a l a ʔ a n
dalubtauhan	d a l u b t a ʔ u h a n
dalubwikaan	d a l u b w i k a ʔ a n
dalusong	d a l u s o ŋ
dama	d a m a
dama	d ɐ m a
damit	d a m i t
damo	d a m o
damot	d a m o t
damuhan	d ɐ m u h a n
damuho	d a m u h o ʔ
dantay	d a n t a i
danum	d a n u m
danumsigwasan	d a n u m s i ɡ w a s a n
danumtigilan	d a n u m t i ɡ i l a n
dao	d a ʔ o
dapat	d a p a t
dapdap	d a p d a p
datapwa	d a t a p w a ʔ
dati	d a t i
dating	d ɐ t i ŋ
datinguinoo	d a t i ŋ i n o o
davao	d a b a u
daw	d a u
daw	ɾ a u
daya	d a j a ʔ
dayag	d a j a ɡ
dayami	d a j a m i
dayang	d a j a ŋ
dayanghirang	d a j a ŋ h i ɾ a ŋ
dayrit	d a i ɾ i t
dazo	d a s o
deang	d j a ŋ
deboto	d ɛ b o t o
decena	d ɛ s ɛ n a
dee	d i
dehado	d ɛ h a d o
dekada	d ɛ k a d a
dekorasyon	d ɛ k o ɾ a s j o n
dekreto	d ɛ k ɾ ɛ t o
delegasyon	d ɛ l ɛ ɡ a s j o n
demonyo	d ɛ m o n j o
dentista	d ɛ n t i s t a
depensahan	d ɛ p ɛ n s a h a n
desisyon	d ɛ s i s j o n
destino	d ɛ s t i n o
di	d i
di	d ɛ
diamante	d i a m a n t ɛ
diigkasin	d i ʔ i ɡ k a s i n
diin	d i ʔ i n
dijamco	d i d͡ʒ a m k o
diklap	d i k l a p
dila	d i l a ʔ
dilaan	d i l a a n
dilaw	d i l a u
dilikas	d i l i k a s
dilim	d i l i m
dimaala	d i m a a l a
dimaandal	d i m a a n d a l
dimaapi	d i m a a p i
dimacali	d i m a k a l i
dimagiba	d i m a ɡ i b a
dimailig	d i m a i l i ɡ
dimalaluan	d i m a l a l u a n
dimalanta	d i m a l a n t a
dimapilis	d i m a p i l i s
dimaranan	d i m a ɾ a n a n
dimatatac	d i m a t a t a k
din	d i n
dinagipik	d i n a ɡ i p i k
dinamita	d i n a m i t a
dinding	d i n d i ŋ
dine	d i n ɛ
dingding	d i n d i ŋ
diokno	d i o k n o
dipasupil	d i p a s u p i l
diplomasya	d i p l o m a s j a
disisais	d i s i s a ʔ i s
diskumpiyado	d i s k u m p i a d o
dismayado	d i s m a j a d o
dito	d i t o
diyablo	d i a b l o
diyamante	d i a m a n t ɛ
diño	d i ɲ o
doctolero	d o k t o l ɛ ɾ o
dolores	d o l o ɾ ɛ s
domantay	d o m a n t a i
domingo	d o m i n ɡ o
doon	d o ʔ o n
dos	d o s
dueñas	d u ɛ ɲ a s
duhansipat	d u h a n s i p a t
duhat	d u h a t
dukot	d u k o t
dukwang	d u k w a ŋ
dulay	d u l a i
duldol	d u l d o l
dulos	d u l o s
dumaan	d u m a a n
dumaguing	d u m a ɡ i ŋ
dumapa	d u m a p â
dumating	d u m a t i ŋ
dumi	d u m ɪː
dumighay	d u m i ɡ h a y
dumilim	d u m i l i m
dumlao	d u m l a o
dumpit	d u m p i t
dumulas	d u m u l a s
dumungaw	d u m u ŋ a u
dumura	d u m u ɾ a ʔ
dungaw	d u ŋ a u
dunggot	d u ŋ ɡ o t
dupil	d u p i l
dura	d u ɾ a ʔ
durante	d u ɾ a n t ɛ
durungawan	d u ɾ u ŋ a w a n
dutaan	d u t a ʔ a n
duwag	d u a ɡ
duyan	d u j a n
dy	d iː
dyahe	d͡ʒ a h ɛ
dyaket	d͡ʒ a k ɛ t
dyanitor	d j a n i t o ɾ
dyaryo	d ʑ ɑ rʲ ɔ
dyaryo	dʲ ɑ rʲ ɔ
dyaryo	ɟ ʝ ɑ rʲ ɔ
echano	ʔ ɛ t͡ʃ a n o
echevarria	ʔ ɛ t͡ʃ ɛ b a ɾ j a
edad	ɛ d a d
edisyon	ʔ ɛ d i s j o n
ekis	ʔ ɛ k i s
ekisan	ʔ ɛ k i s a n
ekonomiya	ʔ ɛ k o n o m i a
elamparo	ʔ ɛ l a m p a ɾ o
elegansya	ɛ l ɛ ɡ a n ʃ a
elizaga	ʔ ɛ t͡ʃ ɛ b a ɾ j a
encarnado	ʔ ɛ n k a ɾ n a d o
encinas	ʔ ɛ n s i n a s
endaya	ʔ ɛ n d a j a
endozo	ʔ ɛ n d o s o
enero	ɛ n ɛ ɾ o
engkanto	ʔ ɛ ŋ k a n t o
entusyasmo	ɛ n t u s j a s m o
epal	ɛ p a l
epekto	ʔ ɛ p ɛ k t o
epidemya	ʔ ɛ p i d ɛ m j a
episyente	ɛ p i s j ɛ n t ɛ
episyente	ɛ p i ʃ ɛ n t ɛ
erehe	ʔ ɛ ɾ ɛ h ɛ
ermitanyo	ʔ ɛ ɾ m i t a n j o
escalona	ʔ ɛ s k a l o n a
escaño	ʔ ɛ s k a ɲ o
esguerra	ʔ ɛ s ɡ ɛ ɾ ɾ a
eskaparate	ʔ ɛ s k a p a ɾ a t ɛ
espadahan	ʔ ɛ s p a d a h a n
espasyo	ʔ ɛ s p a s j o
espinoza	ʔ ɛ s p i n o s a
esquivel	ʔ ɛ s k i b ɛ l
estabillo	ʔ ɛ s t a b i l l o
estrella	ʔ ɛ s t ɾ ɛ l l a
eugenio	j u h ɛ n j o
exconde	ʔ ɛ k s k o n d ɛ
fabregas	p a b ɾ ɛ ɡ a s
fabros	p a b ɾ o s
fajardo	p a d͡ʒ a ɾ d o
falcon	p a l k o n
faltado	p a l t a d o
fernandez	p ɛ ɾ n a n d ɛ s
ferriols	p ɛ ɾ ɾ i o l s
festejo	p ɛ s t ɛ d͡ʒ o
figueras	p i ɡ ɛ ɾ a s
figueroa	p i ɡ ɛ ɾ o a
filipino	p i l i p i n o
flojo	p l o d͡ʒ o
fojas	p o d͡ʒ a s
fonacier	p o n a s i ɛ ɾ
fontelera	p o n t ɛ l ɛ ɾ a
fontillas	p o n t i l l a s
forteza	p o ɾ t ɛ s a
fortich	p o ɾ t i t͡ʃ
frias	p ɾ i a s
fronda	p ɾ o n d a
fuentebella	p u ɛ n t ɛ b ɛ l l a
fung	p u ŋ
furagganan	p u ɾ a ɡ ɡ a n a n
gabi	ɡ a b i
gabiana	ɡ a b i a n a
gacula	ɡ a k u l a
gacusan	ɡ a k u s a n
gacutan	ɡ a k u t a n
gadgad	ɡ a d ɡ a d
galamay	ɡ a l a m a i
galapong	ɡ a l a p o ŋ
galauran	ɡ a l a ʔ u ɾ a n
galawan	ɡ a l a w a n
galing	ɡ a l i ŋ
galis	ɡ a l i s
galit	ɡ a l i t
gallo	ɡ a l l o
galos	ɡ a l o s
gan	ɡ a n
ganap	ɡ a n a p
gancayco	ɡ a n k a i k o
ganda	ɡ a n d a
