ա	ɑ
ազգուտակ	ɑ z ɡ u t ɑ k
ազդ	ɑ z d
ազդակ	ɑ z d ɑ k
ազդանշան	ɑ z d ɑ n ə ʃ ɑ n
ազդարար	ɑ z d ɑ ɾ ɑ ɾ
ազդարարել	ɑ z d ɑ ɾ ɑ ɾ ɛ l
ազդել	ɑ z d ɛ l
ազդեցիկ	ɑ z d ɛ t͡sʰ i k
ազդեցություն	ɑ z d ɛ t͡sʰ u tʰ j u n
ազդող	ɑ z d ɔ ʁ
ազդու	ɑ z d u
ազդվել	ɑ z d v ɛ l
ազդր	ɑ z d ə ɾ
ազդրոսկր	ɑ z d ɾ ɔ s k ə ɾ
ազերի	ɑ z ɛ ɾ i
ազիկ	ɑ z i k
ազնավոր	ɑ z n ɑ v ɔ ɾ
ազնավուր	ɑ z n ɑ v u ɾ
ազնիվ	ɑ z n i v
ազնվական	ɑ z n ə v ɑ k ɑ n
ազնվամորի	ɑ z n ə v ɑ m ɔ ɾ i
ազոխ	ɑ z ɔ χ
ազոտ	ɑ z ɔ t
ազորներ	ɑ z ɔ ɾ n ɛ ɾ
աթաբեկ	ɑ tʰ ɑ b ɛ k
աթեիզմ	ɑ tʰ ɛ j i z m
աթեիստ	ɑ tʰ ɛ i s t
աթենք	ɑ tʰ ɛ ŋ kʰ
աթլաս	ɑ tʰ l ɑ s
աթլետիկա	ɑ tʰ l ɛ t i k ɑ
աթոռ	ɑ tʰ ɔ r
աթոռակ	ɑ tʰ ɔ r ɑ k
աթս	ɑ tʰ ə s ə
աժ	ɑ ʒ ə
աժան	ɑ ʒ ɑ n
աժդահա	ɑ ʒ d ɑ h ɑ
աժդահակ	ɑ ʒ d ɑ h ɑ k
ալ	ɑ l
ալադին	ɑ l ɑ d i n
ալազան	ɑ l ɑ z ɑ n
ալաժահրի	ɑ l ɑ ʒ ɑ h ɾ i
ալամ	ɑ l ɑ m
ալան	ɑ l ɑ n
ալանի	ɑ l ɑ n i
ալանք	ɑ l ɑ ŋ kʰ
ալավերդի	ɑ l ɑ v ɛ ɾ d i
ալարել	ɑ l ɑ ɾ ɛ l
ալբաներեն	ɑ l b ɑ n ɛ ɾ ɛ n
ալբանիա	ɑ l b ɑ n j ɑ
ալբատրոս	ɑ l b ɑ t ɾ ɔ s
ալբերտ	ɑ l b ɛ ɾ t
ալբոմ	ɑ l b ɔ m
ալբուխարա	ɑ l b u χ ɑ ɾ ɑ
ալգորիթմ	ɑ l ɡ ɔ ɾ i tʰ m
ալեբաստր	ɑ l ɛ b ɑ s t ə ɾ
ալեզարդ	ɑ l ɛ z ɑ ɾ tʰ
ալեկոծ	ɑ l ɛ k ɔ t͡s
ալեկոծել	ɑ l ɛ k ɔ t͡s ɛ l
ալեհավաք	ɑ l ɛ h ɑ v ɑ kʰ
ալեհերձ	ɑ l ɛ h ɛ ɾ d͡z
ալեմաներեն	ɑ l ɛ m ɑ n ɛ ɾ ɛ n
ալերգիա	ɑ l ɛ ɾ ɡ j ɑ
ալեւոր	ɑ l ɛ v ɔ ɾ
ալեքսանդր	ɑ l ɛ kʰ s ɑ n d ə ɾ
ալեքսանդրիա	ɑ l ɛ kʰ s ɑ n d ɾ j ɑ
ալժիր	ɑ l ʒ i ɾ
ալի	ɑ l i
ալիբի	ɑ l i b i
ալիգատոր	ɑ l i ɡ ɑ t ɔ ɾ
ալիեւ	ɑ l i j ɛ v
ալինա	ɑ l i n ɑ
ալիստեր	ɑ l i s t ɛ ɾ
ալիք	ɑ l i kʰ
ալլահ	ɑ lː ɑ h
ալկայոս	ɑ l k ɑ j ɔ s
ալկաշ	ɑ l k ɑ ʃ
ալկիբիադես	ɑ l k i b j ɑ d ɛ s
ալկիոն	ɑ l k i ɔ n
ալկման	ɑ l k m ɑ n
ալկմենե	ɑ l k m ɛ n ɛ
ալկոգել	ɑ l k ɔ ɡ ɛ l
ալկոհոլ	ɑ l k ɔ h ɔ l
ալկոհոլային	ɑ l k ɔ h ɔ l ɑ j i n
ալկոհոլիզմ	ɑ l k ɔ h ɔ l i z m
ալկոհոլիկ	ɑ l k ɔ h ɔ l i k
ալմաթի	ɑ l m ɑ tʰ i
ալմանախ	ɑ l m ɑ n ɑ χ
ալմաս	ɑ l m ɑ s
ալմաստ	ɑ l m ɑ s t
ալյանս	ɑ l j ɑ n s
ալյասկա	ɑ l j ɑ s k ɑ
ալյումին	ɑ l j u m i n
ալյումինում	ɑ l j u m i n u m
ալյուր	ɑ l j u ɾ
ալոե	ɑ l ɔ ɛ
ալոճ	ɑ l ɔ t͡ʃ
ալոճենի	ɑ l ɔ t͡ʃ ɛ n i
ալոջ	ɑ l ɔ d͡ʒ
ալուցք	ɑ l u t͡sʰ kʰ
ալպագա	ɑ l p ɑ ɡ ɑ
ալպակ	ɑ l p ɑ k
ալպակա	ɑ l p ɑ k ɑ
ալպեր	ɑ l p ɛ ɾ
ալպինիզմ	ɑ l p i n i z m
ալպինիստ	ɑ l p i n i s t
ալջունիդ	ɑ l d͡ʒ u n i d
ալտ	ɑ l t
ալտերնատիվ	ɑ l t ɛ ɾ n ɑ t i v
ալք	ɑ l kʰ
ալքիմիա	ɑ l kʰ i m j ɑ
ալքիմիկոս	ɑ l kʰ i m i k ɔ s
ախալցխա	ɑ χ ɑ l t͡sʰ ə χ ɑ
ախալքալաք	ɑ χ ɑ l kʰ ɑ l ɑ kʰ
ախալքալաքի	ɑ χ ɑ l kʰ ɑ l ɑ kʰ i
ախոյան	ɑ χ ɔ j ɑ n
ախոռ	ɑ χ ɔ r
ախորժ	ɑ χ ɔ ɾ ʒ
ախորժակ	ɑ χ ɔ ɾ ʒ ɑ k
ախուրյան	ɑ χ u ɾ j ɑ n
ախպար	ɑ χ p ɑ ɾ
ախպեր	ɑ χ p ɛ ɾ
ախտ	ɑ χ t
ախտաբան	ɑ χ t ɑ b ɑ n
ախտարար	ɑ χ t ɑ ɾ ɑ ɾ
ախտորոշել	ɑ χ t ɔ ɾ ɔ ʃ ɛ l
ախտորոշում	ɑ χ t ɔ ɾ ɔ ʃ u m
ած	ɑ t͡s
ածական	ɑ t͡s ɑ k ɑ n
ածականային	ɑ t͡s ɑ k ɑ n ɑ j i n
ածանց	ɑ t͡s ɑ n t͡sʰ
ածանցել	ɑ t͡s ɑ n t͡sʰ ɛ l
ածանցյալ	ɑ t͡s ɑ n t͡sʰ j ɑ l
ածել	ɑ t͡s ɛ l
ածելի	ɑ t͡s ɛ l i
ածեր	ɑ t͡s ɛ ɾ
ածիլել	ɑ t͡s i l ɛ l
ածիկ	ɑ t͡s i k
ածխաթթու	ɑ t͡s χ ɑ tʰ ə tʰ u
ածխածին	ɑ t͡s χ ɑ t͡s i n
ածու	ɑ t͡s u
ածուխ	ɑ t͡s u χ
ածք	ɑ t͡s kʰ
ակ	ɑ k
ակադեմիա	ɑ k ɑ d ɛ m j ɑ
ակահ	ɑ k ɑ h
ական	ɑ k ɑ n
ականակիտ	ɑ k ɑ n ɑ k i t
ականավոր	ɑ k ɑ n ɑ v ɔ ɾ
ականատես	ɑ k ɑ n ɑ t ɛ s
ականի	ɑ k ɑ n i
ականջ	ɑ k ɑ n d͡ʒ
ականջակալ	ɑ k ɑ n d͡ʒ ɑ k ɑ l
ականջատ	ɑ k ɑ n d͡ʒ ɑ t
ականջօղ	ɑ k ɑ n d͡ʒ ɔ ʁ
ակիշ	ɑ k i ʃ
ակն	ɑ k ə n
ակնաբանություն	ɑ k n ɑ b ɑ n u tʰ j u n
ակնաբուժություն	ɑ k n ɑ b u ʒ u tʰ j u n
ակնախնձոր	ɑ k n ɑ χ ə n d͡z ɔ ɾ
ակնածալի	ɑ k n ɑ t͡s ɑ l i
ակնածալից	ɑ k n ɑ t͡s ɑ l i t͡sʰ
ակնածական	ɑ k n ɑ t͡s ɑ k ɑ n
ակնածանք	ɑ k n ɑ t͡s ɑ ŋ kʰ
ակնածել	ɑ k n ɑ t͡s ɛ l
ակնածելի	ɑ k n ɑ t͡s ɛ l i
ակնածիածան	ɑ k n ɑ t͡s i j ɑ t͡s ɑ n
ակնածոտ	ɑ k n ɑ t͡s ɔ t
ակնածու	ɑ k n ɑ t͡s u
ակնածություն	ɑ k n ɑ t͡s u tʰ j u n
ակնակապիճ	ɑ k n ɑ k ɑ p i t͡ʃ
ակնաղբյուր	ɑ k n ɑ χ p j u ɾ
ակնամոմ	ɑ k n ɑ m ɔ m
ակնային	ɑ k n ɑ j i n
ակնարկ	ɑ k n ɑ ɾ k
ակնեղեն	ɑ k n ɛ ʁ ɛ n
ակներեւ	ɑ k n ɛ ɾ ɛ v
ակներեւաբար	ɑ k n ɛ ɾ ɛ v ɑ b ɑ ɾ
ակներեւապես	ɑ k n ɛ ɾ ɛ v ɑ p ɛ s
ակներեւորեն	ɑ k n ɛ ɾ ɛ v ɔ ɾ ɛ n
ակնթարթ	ɑ k ə n tʰ ɑ ɾ tʰ
ակնկալել	ɑ k ə ŋ k ɑ l ɛ l
ակնկալիք	ɑ k ə ŋ k ɑ l i kʰ
ակնհայտ	ɑ k ə n h ɑ j t
ակնհայտնի	ɑ k ə n h ɑ j t n i
ակնոց	ɑ k n ɔ t͡sʰ
ակոս	ɑ k ɔ s
ակորդեոն	ɑ k ɔ ɾ d ɛ ɔ n
ակութ	ɑ k u tʰ
ակումբ	ɑ k u m b
ակունք	ɑ k u ŋ kʰ
ակուշկա	ɑ k u ʃ k ɑ
ակռա	ɑ k r ɑ
ակտինիում	ɑ k t i n i j u m
ակտիվ	ɑ k t i v
ակտիվորեն	ɑ k t i v ɔ ɾ ɛ n
ակրոբատ	ɑ k ɾ ɔ b ɑ t
ակրոպոլիս	ɑ k ɾ ɔ p ɔ l i s
ահ	ɑ h
ահաբեկ	ɑ h ɑ b ɛ k
ահաբեկել	ɑ h ɑ b ɛ k ɛ l
ահաբեկիչ	ɑ h ɑ b ɛ k i t͡ʃʰ
ահաբեկություն	ɑ h ɑ b ɛ k u tʰ j u n
ահաբեկում	ɑ h ɑ b ɛ k u m
ահաբեկչական	ɑ h ɑ b ɛ k t͡ʃʰ ɑ k ɑ n
ահաբեկչություն	ɑ h ɑ b ɛ k t͡ʃʰ u tʰ j u n
ահաբեկվածություն	ɑ h ɑ b ɛ k v ɑ t͡s u tʰ j u n
ահաբեկվել	ɑ h ɑ b ɛ k v ɛ l
ահագին	ɑ h ɑ ɡ i n
ահագնանալ	ɑ h ɑ ɡ n ɑ n ɑ l
ահազանգ	ɑ h ɑ z ɑ ŋ ɡ
ահազանգել	ɑ h ɑ z ɑ ŋ ɡ ɛ l
ահազանգում	ɑ h ɑ z ɑ ŋ ɡ u m
ահազարհուր	ɑ h ɑ z ɑ ɾ h u ɾ
ահազդ	ɑ h ɑ z d
ահազդեցիկ	ɑ h ɑ z d ɛ t͡sʰ i k
ահազդիկ	ɑ h ɑ z d i k
ահազդու	ɑ h ɑ z d u
ահահար	ɑ h ɑ h ɑ ɾ
ահարոն	ɑ h ɑ ɾ ɔ n
ահեղ	ɑ h ɛ ʁ
ահրիման	ɑ h ɾ i m ɑ n
աղ	ɑ ʁ
աղա	ɑ ʁ ɑ
աղագավ	ɑ ʁ ɑ ɡ ɑ v
աղաթոն	ɑ ʁ ɑ tʰ ɔ n
աղալ	ɑ ʁ ɑ l
աղախին	ɑ ʁ ɑ χ i n
աղաղակ	ɑ ʁ ɑ ʁ ɑ k
աղաղակել	ɑ ʁ ɑ ʁ ɑ k ɛ l
աղաման	ɑ ʁ ɑ m ɑ n
աղամող	ɑ ʁ ɑ m ɔ ʁ
աղայան	ɑ ʁ ɑ j ɑ n
աղանդ	ɑ ʁ ɑ n d
աղանդավոր	ɑ ʁ ɑ n d ɑ v ɔ ɾ
աղանդավորական	ɑ ʁ ɑ n d ɑ v ɔ ɾ ɑ k ɑ n
աղանդավորություն	ɑ ʁ ɑ n d ɑ v ɔ ɾ u tʰ j u n
աղանդեր	ɑ ʁ ɑ n d ɛ ɾ
աղանձ	ɑ ʁ ɑ n d͡z
աղանձել	ɑ ʁ ɑ n d͡z ɛ l
աղաչանք	ɑ ʁ ɑ t͡ʃʰ ɑ ŋ kʰ
աղաչել	ɑ ʁ ɑ t͡ʃʰ ɛ l
աղասի	ɑ ʁ ɑ s i
աղավաղ	ɑ ʁ ɑ v ɑ ʁ
աղավաղել	ɑ ʁ ɑ v ɑ ʁ ɛ l
աղավնի	ɑ ʁ ɑ v n i
աղատ	ɑ ʁ ɑ t
աղատել	ɑ ʁ ɑ t ɛ l
աղարտել	ɑ ʁ ɑ ɾ t ɛ l
աղաց	ɑ ʁ ɑ t͡sʰ
աղաֆոն	ɑ ʁ ɑ f ɔ n
աղբ	ɑ χ p
աղբաման	ɑ ʁ b ɑ m ɑ n
աղբանոց	ɑ χ p ɑ n ɔ t͡sʰ
աղբարկղ	ɑ χ p ɑ ɾ k ə ʁ
աղբերակ	ɑ χ p ɛ ɾ ɑ k
աղբյուս	ɑ χ p j u s
աղբյուր	ɑ χ p j u ɾ
աղբյուրակ	ɑ χ p j u ɾ ɑ k
աղբուտ	ɑ χ p u t
աղդամ	ɑ ʁ d ɑ m
աղեբեկ	ɑ ʁ ɛ b ɛ k
աղեկ	ɑ ʁ ɛ k
աղեղ	ɑ ʁ ɛ ʁ
աղետ	ɑ ʁ ɛ t
աղերս	ɑ ʁ ɛ ɾ s
աղերսանք	ɑ ʁ ɛ ɾ s ɑ ŋ kʰ
աղերսել	ɑ ʁ ɛ ɾ s ɛ l
աղի	ɑ ʁ i
աղիճ	ɑ ʁ i t͡ʃ
աղիողորմ	ɑ ʁ i ɔ ʁ ɔ ɾ m
աղիք	ɑ ʁ i kʰ
աղլուխ	ɑ ʁ l u χ
աղխ	ɑ χː
աղկաղկ	ɑ χ k ɑ χ k
աղճատ	ɑ χ t͡ʃ ɑ t
աղճատել	ɑ χ t͡ʃ ɑ t ɛ l
աղմկել	ɑ ʁ m ə k ɛ l
աղմուկ	ɑ ʁ m u k
աղյուս	ɑ ʁ j u s
աղյուսակ	ɑ ʁ j u s ɑ k
աղյուսե	ɑ ʁ j u s ɛ
աղյուսյակ	ɑ ʁ j u s j ɑ k
աղոթակեր	ɑ ʁ ɔ tʰ ɑ k ɛ ɾ
աղոթել	ɑ ʁ ɔ tʰ ɛ l
աղոթկեր	ɑ ʁ ɔ tʰ k ɛ ɾ
աղոթք	ɑ ʁ ɔ tʰ kʰ
աղոտ	ɑ ʁ ɔ t
աղորի	ɑ ʁ ɔ ɾ i
աղորիք	ɑ ʁ ɔ ɾ i kʰ
աղու	ɑ ʁ u
աղուն	ɑ ʁ u n
աղունիկ	ɑ ʁ u n i k
աղջամուղջ	ɑ ʁ d͡ʒ ɑ m u ʁ d͡ʒ
աղջիկ	ɑ χ t͡ʃʰ i k
աղջություն	ɑ ʁ d͡ʒ u tʰ j u n
աղվամազ	ɑ ʁ v ɑ m ɑ z
աղվան	ɑ ʁ v ɑ n
աղվանք	ɑ ʁ v ɑ ŋ kʰ
աղվաշ	ɑ ʁ v ɑ ʃ
աղվես	ɑ ʁ v ɛ s
աղվեսենի	ɑ ʁ v ɛ s ɛ n i
աղվոր	ɑ ʁ v ɔ ɾ
աղտ	ɑ χ t
աղտամուղտ	ɑ χ t ɑ m u χ t
աղտեղի	ɑ χ t ɛ ʁ i
աղտոտ	ɑ χ t ɔ t
աղտոտել	ɑ χ t ɔ t ɛ l
աղցան	ɑ χ t͡sʰ ɑ n
աղքատ	ɑ χ kʰ ɑ t
աղքատները	ɑ χ kʰ ɑ t n ɛ ɾ ə
աղքատություն	ɑ χ kʰ ɑ t u tʰ j u n
աճ	ɑ t͡ʃ
աճապարել	ɑ t͡ʃ ɑ p ɑ ɾ ɛ l
աճառյան	ɑ t͡ʃ ɑ r j ɑ n
աճացնել	ɑ t͡ʃ ɑ t͡sʰ n ɛ l
աճել	ɑ t͡ʃ ɛ l
աճեմ	ɑ t͡ʃ ɛ m
աճեմյան	ɑ t͡ʃ ɛ m j ɑ n
աճեցնել	ɑ t͡ʃ ɛ t͡sʰ n ɛ l
աճյուն	ɑ t͡ʃ j u n
աճուկ	ɑ t͡ʃ u k
աճուրդ	ɑ t͡ʃ u ɾ tʰ
աճպարարություն	ɑ t͡ʃ p ɑ ɾ ɑ ɾ u tʰ j u n
ամ	ɑ m
ամազոն	ɑ m ɑ z ɔ n
ամայանալ	ɑ m ɑ j ɑ n ɑ l
ամայի	ɑ m ɑ j i
աման	ɑ m ɑ n
ամանակ	ɑ m ɑ n ɑ k
ամանոս	ɑ m ɑ n ɔ s
ամանոր	ɑ m ɑ n ɔ ɾ
ամանորյա	ɑ m ɑ n ɔ ɾ j ɑ
ամաչել	ɑ m ɑ t͡ʃʰ ɛ l
ամաչկոտ	ɑ m ɑ t͡ʃʰ k ɔ t
ամառ	ɑ m ɑ r
ամառային	ɑ m ɑ r ɑ j i n
ամառանոց	ɑ m ɑ r ɑ n ɔ t͡sʰ
ամարաստան	ɑ m ɑ ɾ ɑ s t ɑ n
ամբակում	ɑ m b ɑ k u m
ամբաստանյալ	ɑ m b ɑ s t ɑ n j ɑ l
ամբաստանք	ɑ m b ɑ s t ɑ ŋ kʰ
ամբար	ɑ m b ɑ ɾ
ամբարիշտ	ɑ m b ɑ ɾ i ʃ t
ամբարհավաճություն	ɑ m b ɑ ɾ h ɑ v ɑ t͡ʃ u tʰ j u n
ամբարտակ	ɑ m b ɑ ɾ t ɑ k
ամբարտավան	ɑ m b ɑ ɾ t ɑ v ɑ n
ամբարտավանական	ɑ m b ɑ ɾ t ɑ v ɑ n ɑ k ɑ n
ամբարտավանանալ	ɑ m b ɑ ɾ t ɑ v ɑ n ɑ n ɑ l
ամբարտավանել	ɑ m b ɑ ɾ t ɑ v ɑ n ɛ l
ամբարտավանորեն	ɑ m b ɑ ɾ t ɑ v ɑ n ɔ ɾ ɛ n
ամբարտավանություն	ɑ m b ɑ ɾ t ɑ v ɑ n u tʰ j u n
ամբիցիոզ	ɑ m b i t͡sʰ i ɔ z
ամբոխ	ɑ m b ɔ χ
ամբողջ	ɑ m b ɔ χ t͡ʃʰ
ամբողջություն	ɑ m b ɔ χ t͡ʃʰ u tʰ j u n
ամեհի	ɑ m ɛ h i
ամեն	ɑ m ɛ n
ամենաբարձր	ɑ m ɛ n ɑ b ɑ ɾ t͡sʰ ə ɾ
ամենագետ	ɑ m ɛ n ɑ ɡ ɛ t
ամենազոր	ɑ m ɛ n ɑ z ɔ ɾ
ամենալավ	ɑ m ɛ n ɑ l ɑ v
ամենակալ	ɑ m ɛ n ɑ k ɑ l
ամենամեծ	ɑ m ɛ n ɑ m ɛ t͡s
ամենայն	ɑ m ɛ n ɑ j n
ամենեւին	ɑ m ɛ n ɛ v i n
