अ	ɐ
अङ्गसङ्ग	ɐ ŋ ɡ ɐ s̪ ɐ ŋ ɡ ɐ
अङ्गसङ्ग	ɐ́ ŋ ɡ ɐ s̪ ɐ ŋ ɡ ɐ
अङ्गार	ɐ ŋ ɡ ɑː ɾ ɐ
अङ्गार	ɐ́ ŋ ɡ ɑː ɾ ɐ
अङ्गिरस्	ɐ ŋ ɡ i ɾ ɐ s̪
अङ्गिरस्	ɐ́ ŋ ɡ i ɾ ɐ s̪
अङ्गुलि	ɐ ŋ ɡ u l̪ i
अङ्गुलि	ɐ ŋ ɡ ú l̪ i
अङ्गुली	ɐ ŋ ɡ u l̪ iː
अङ्गुष्ठ	ɐ ŋ ɡ u ʂ ʈʰ ɐ
अङ्गुष्ठ	ɐ ŋ ɡ ú ʂ ʈʰ ɐ
अच्युत	ɐ t͡ɕ j u t̪ ɐ
अज	ɐ d͡ʑ ɐ
अज	ɐ d͡ʑ ɐ́
अजति	ɐ d͡ʑ ɐ t̪ i
अजति	ɐ́ d͡ʑ ɐ t̪ i
अजर्बैजान	ɐ d͡ʑ ɐ ɾ b ɑ j d͡ʑ ɑː n̪ ɐ
अजिगांसत्	ɐ d͡ʑ i ɡ ɑ̃ː s̪ ɐ t̪
अजिरायति	ɐ d͡ʑ i ɾ ɑː j ɐ t̪ i
अज्ञ	ɐ d͡ʑ ɲ ɐ
अज्ञान	ɐ d͡ʑ ɲ ɑː n̪ ɐ
अज्र	ɐ d͡ʑ ɾ ɐ
अज्र	ɐ́ d͡ʑ ɾ ɐ
अज्र्य	ɐ d͡ʑ ɾ j ɐ
अज्र्य	ɐ d͡ʑ ɾ j ɐ́
अञ्च्	ɐ ɲ t͡ɕ
अञ्जना	ɐ ɲ d͡ʑ ɐ n̪ ɑː
अञ्जस्	ɐ ɲ d͡ʑ ɐ s̪
अञ्जस्	ɐ́ ɲ d͡ʑ ɐ s̪
अट्टालिका	ɐ ʈ ʈ ɑː l̪ i k ɑː
अणु	ɐ ɳ u
अतल	ɐ t̪ ɐ l̪ ɐ
अति	ɐ t̪ i
अति	ɐ́ t̪ i
अतिथि	ɐ t̪ i t̪ʰ i
अतिथि	ɐ́ t̪ i t̪ʰ i
अतिथिपति	ɐ t̪ i t̪ʰ i p ɐ t̪ i
अतिथिपति	ɐ́ t̪ i t̪ʰ i p ɐ t̪ i
अतुल्य	ɐ t̪ u l̪ j ɐ
अत्क	ɐ t̪ k ɐ
अत्क	ɐ́ t̪ k ɐ
अत्ति	ɐ t̪ t̪ i
अत्ति	ɐ́ t̪ t̪ i
अत्यद्भुत	ɐ t̪ j ɐ d̪ bʱ u t̪ ɐ
अत्र	ɐ t̪ ɾ ɐ
अत्र	ɐ́ t̪ ɾ ɐ
अथर्वन्	ɐ t̪ʰ ɐ ɾ ʋ ɐ n̪
अथर्वन्	ɐ́ t̪ʰ ɐ ɾ ʋ ɐ n̪
अदर	ɐ d̪ ɐ ɾ ɐ
अदस्	ɐ d̪ ɐ s̪
अदस्	ɐ d̪ ɐ́ s̪
अदाक्षिण्य	ɐ d̪ ɑː k ʂ i ɳ j ɐ
अद्	ɐ d̪
अद्ग	ɐ d̪ ɡ ɐ
अद्ग	ɐ́ d̪ ɡ ɐ
अद्य	ɐ d̪ j ɐ
अद्य	ɐ d̪ j ɐ́
अद्यापि	ɐ d̪ j ɑː p i
अद्यैव	ɐ d̪ j ɑ j ʋ ɐ
अद्यैव	ɐ d̪ j ɑ́ː j ʋ ɐ
अद्राक्षीत्	ɐ d̪ ɾ ɑː k ʂ iː t̪
अद्रि	ɐ d̪ ɾ i
अद्रि	ɐ́ d̪ ɾ i
अधम	ɐ d̪ʱ ɐ m ɐ
अधम	ɐ d̪ʱ ɐ m ɐ́
अधर	ɐ d̪ʱ ɐ ɾ ɐ
अधर	ɐ́ d̪ʱ ɐ ɾ ɐ
अधस्	ɐ d̪ʱ ɐ s̪
अधस्	ɐ d̪ʱ ɐ́ s̪
अधात्	ɐ d̪ʱ ɑː t̪
अधात्	ɐ́ d̪ʱ ɑː t̪
अधिक	ɐ d̪ʱ i k ɐ
अधिकार	ɐ d̪ʱ i k ɑː ɾ ɐ
अधिकारिणी	ɐ d̪ʱ i k ɑː ɾ i ɳ iː
अधिकारिन्	ɐ d̪ʱ i k ɑː ɾ i n̪
अधिकारी	ɐ d̪ʱ i k ɑː ɾ iː
अधुना	ɐ d̪ʱ u n̪ ɑː
अधुना	ɐ d̪ʱ u n̪ ɑ́ː
अध्यापक	ɐ d̪ʱ j ɑː p ɐ k ɐ
अध्वन्	ɐ d̪ʱ ʋ ɐ n̪
अध्वन्	ɐ́ d̪ʱ ʋ ɐ n̪
अन	ɐ n̪ ɐ
अन	ɐ n̪ ɐ́
अनक्ति	ɐ n̪ ɐ k t̪ i
अनङ्ग	ɐ n̪ ɐ ŋ ɡ ɐ
अनङ्ग	ɐ n̪ ɐ ŋ ɡ ɐ́
अननुमेय	ɐ n̪ ɐ n̪ u m eː j ɐ
अननुमेय	ɐ n̪ ɐ n̪ u m ɐ́ j j ɐ
अनन्य	ɐ n̪ ɐ n̪ j ɐ
अनन्य	ɐ n̪ ɐ n̪ j ɐ́
अनवपृग्ण	ɐ n̪ ɐ ʋ ɐ p r̩ ɡ ɳ ɐ
अनवपृग्ण	ɐ́ n̪ ɐ ʋ ɐ p r̩ ɡ ɳ ɐ
अनस्	ɐ n̪ ɐ s̪
अनस्	ɐ́ n̪ ɐ s̪
अनिन्द्रिय	ɐ n̪ i n̪ d̪ ɾ i j ɐ
अनिन्द्रिय	ɐ n̪ i n̪ d̪ ɾ i j ɐ́
अनीक	ɐ n̪ iː k ɐ
अनीक	ɐ́ n̪ iː k ɐ
अनु	ɐ n̪ u
अनु	ɐ́ n̪ u
अनुक	ɐ n̪ u k ɐ
अनुक	ɐ́ n̪ u k ɐ
अनुनासिक	ɐ n̪ u n̪ ɑː s̪ i k ɐ
अनुमेय	ɐ n̪ u m eː j ɐ
अनुमेय	ɐ n̪ u m ɐ́ j j ɐ
अनुसार	ɐ n̪ u s̪ ɑː ɾ ɐ
अनूक	ɐ n̪ uː k ɐ
अनूक	ɐ́ n̪ uː k ɐ
अनूप	ɐ n̪ uː p ɐ
अनूप	ɐ n̪ uː p ɐ́
अनृक्षर	ɐ n̪ r̩ k ʂ ɐ ɾ ɐ
अनृक्षर	ɐ n̪ r̩ k ʂ ɐ ɾ ɐ́
अन्तःपात्र	ɐ n̪ t̪ ɐ́ ɸ p ɑː t̪ ɾ ɐ́
अन्तःपुर	ɐ n̪ t̪ ɐ h p u ɾ ɐ
अन्तर	ɐ n̪ t̪ ɐ ɾ ɐ
अन्तर	ɐ́ n̪ t̪ ɐ ɾ ɐ
अन्तर्	ɐ n̪ t̪ ɐ ɾ
अन्तर्	ɐ n̪ t̪ ɐ́ ɾ
अन्तर्जाल	ɐ n̪ t̪ ɐ ɾ d͡ʑ ɑː l̪ ɐ
अन्तर्जालेन	ɐ n̪ t̪ ɐ ɾ d͡ʑ ɑː l̪ eː n̪ ɐ
अन्ति	ɐ n̪ t̪ i
अन्त्र	ɐ n̪ t̪ ɾ ɐ
अन्त्र	ɐ́ n̪ t̪ ɾ ɐ
अन्ध	ɐ n̪ d̪ʱ ɐ
अन्ध	ɐ n̪ d̪ʱ ɐ́
अन्धकार	ɐ n̪ d̪ʱ ɐ k ɑː ɾ ɐ
अन्धस्	ɐ n̪ d̪ʱ ɐ s̪
अन्धस्	ɐ́ n̪ d̪ʱ ɐ s̪
अन्न	ɐ n̪ n̪ ɐ
अन्न	ɐ́ n̪ n̪ ɐ
अन्य	ɐ n̪ j ɐ
अन्य	ɐ n̪ j ɐ́
अन्यथा	ɐ n̪ j ɐ t̪ʰ ɑː
अन्यथा	ɐ n̪ j ɐ́ t̪ʰ ɑː
अप	ɐ p ɐ
अप	ɐ́ p ɐ
अपगम	ɐ p ɐ ɡ ɐ m ɐ
अपत्य	ɐ p ɐ t̪ j ɐ
अपत्य	ɐ́ p ɐ t̪ j ɐ
अपदेश	ɐ p ɐ d̪ eː ɕ ɐ
अपदेश	ɐ p ɐ d̪ ɐ j ɕ ɐ
अपद्रव्य	ɐ p ɐ d̪ ɾ ɐ ʋ j ɐ
अपनह्यति	ɐ p ɐ n̪ ɐ ɦ j ɐ t̪ i
अपर	ɐ p ɐ ɾ ɐ
अपर	ɐ́ p ɐ ɾ ɐ
अपराधिनी	ɐ p ɐ ɾ ɑː d̪ʱ i n̪ iː
अपराधिन्	ɐ p ɐ ɾ ɑː d̪ʱ i n̪
अपशब्द	ɐ p ɐ ɕ ɐ b d̪ ɐ
अपसर्जन	ɐ p ɐ s̪ ɐ ɾ d͡ʑ ɐ n̪ ɐ
अपाय	ɐ p ɑː j ɐ
अपि	ɐ p i
अपि	ɐ́ p i
अपितु	ɐ p i t̪ u
अपूप	ɐ p uː p ɐ
अपूप	ɐ p uː p ɐ́
अप्	ɐ p
अप्	ɐ́ p
अप्सरस्	ɐ p s̪ ɐ ɾ ɐ s̪
अप्सरस्	ɐ p s̪ ɐ ɾ ɐ́ s̪
अप्सस्	ɐ p s̪ ɐ s̪
अप्सस्	ɐ́ p s̪ ɐ s̪
अबुध्न	ɐ b u d̪ʱ n̪ ɐ
अबुध्न	ɐ b u d̪ʱ n̪ ɐ́
अब्जित्	ɐ b d͡ʑ i t̪
अब्जित्	ɐ b d͡ʑ í t̪
अब्द	ɐ b d̪ ɐ
अभयारण्य	ɐ bʱ ɐ j ɑː ɾ ɐ ɳ j ɐ
अभवत्	ɐ bʱ ɐ ʋ ɐ t̪
अभवत्	ɐ́ bʱ ɐ ʋ ɐ t̪
अभि	ɐ bʱ i
अभि	ɐ bʱ í
अभितस्	ɐ bʱ i t̪ ɐ s̪
अभितस्	ɐ bʱ í t̪ ɐ s̪
अभिनय	ɐ bʱ i n̪ ɐ j ɐ
अभियन्ता	ɐ bʱ i j ɐ n̪ t̪ ɑː
अभियन्तृ	ɐ bʱ i j ɐ n̪ t̪ r̩
अभिवृष्ट	ɐ bʱ i ʋ r̩ ʂ ʈ ɐ
अभिवृष्ट	ɐ bʱ í ʋ r̩ ʂ ʈ ɐ
अभिषचते	ɐ bʱ i ʂ ɐ t͡ɕ ɐ t̪ eː
अभिषचते	ɐ bʱ i ʂ ɐ t͡ɕ ɐ t̪ ɐ j
अभिष्टिद्युम्न	ɐ bʱ i ʂ ʈ i d̪ j u m n̪ ɐ
अभिष्टिद्युम्न	ɐ bʱ i ʂ ʈ í d̪ j u m n̪ ɐ
अभ्यङ्ग	ɐ bʱ j ɐ ŋ ɡ ɐ
अभ्यलंकृत	ɐ bʱ j ɐ l̪ ɐ ŋ k r̩ t̪ ɐ
अभ्र	ɐ bʱ ɾ ɐ
अभ्र	ɐ bʱ ɾ ɐ́
अमनत्	ɐ m ɐ n̪ ɐ t̪
अमनस्	ɐ m ɐ n̪ ɐ s̪
अमनस्	ɐ́ m ɐ n̪ ɐ s̪
अमरावती	ɐ m ɐ ɾ ɑː ʋ ɐ t̪ iː
अमवत्	ɐ m ɐ ʋ ɐ t̪
अमवत्	ɐ́ m ɐ ʋ ɐ t̪
अमृत	ɐ m r̩ t̪ ɐ
अमृत	ɐ m ŕ̩ t̪ ɐ
अमृता	ɐ m r̩ t̪ ɑː
अम्नस्	ɐ m n̪ ɐ s̪
अम्नस्	ɐ m n̪ ɐ́ s̪
अम्बर	ɐ m b ɐ ɾ ɐ
अम्बर	ɐ́ m b ɐ ɾ ɐ
अम्बा	ɐ m b ɑː
अम्बा	ɐ m b ɑ́ː
अयजत्	ɐ j ɐ d͡ʑ ɐ t̪
अयन	ɐ j ɐ n̪ ɐ
अयन	ɐ́ j ɐ n̪ ɐ
अयनान्त	ɐ j ɐ n̪ ɑː n̪ t̪ ɐ
अयम्	ɐ j ɐ m
अयम्	ɐ j ɐ́ m
अयस्	ɐ j ɐ s̪
अयस्	ɐ́ j ɐ s̪
अयस्कार	ɐ j ɐ s̪ k ɑː ɾ ɐ
अयस्कार	ɐ́ j ɐ s̪ k ɑː ɾ ɐ
अयुत	ɐ j u t̪ ɐ
अयुत	ɐ j ú t̪ ɐ
अरण	ɐ ɾ ɐ ɳ ɐ
अरण	ɐ́ ɾ ɐ ɳ ɐ
अरणि	ɐ ɾ ɐ ɳ i
अरणि	ɐ ɾ ɐ́ ɳ i
अरण्य	ɐ ɾ ɐ ɳ j ɐ
अरण्य	ɐ́ ɾ ɐ ɳ j ɐ
अरत्नि	ɐ ɾ ɐ t̪ n̪ i
अरत्नि	ɐ ɾ ɐ t̪ n̪ í
अरमति	ɐ ɾ ɐ m ɐ t̪ i
अरमति	ɐ ɾ ɐ́ m ɐ t̪ i
अरित्र	ɐ ɾ i t̪ ɾ ɐ
अरित्र	ɐ ɾ í t̪ ɾ ɐ
अरित्र	ɐ́ ɾ i t̪ ɾ ɐ
अरोधत्	ɐ ɾ oː d̪ʱ ɐ t̪
अरोधत्	ɐ ɾ ɐ w d̪ʱ ɐ t̪
अर्क	ɐ ɾ k ɐ
अर्क	ɐ ɾ k ɐ́
अर्घ	ɐ ɾ ɡʱ ɐ
अर्चति	ɐ ɾ t͡ɕ ɐ t̪ i
अर्चति	ɐ́ ɾ t͡ɕ ɐ t̪ i
अर्चा	ɐ ɾ t͡ɕ ɑː
अर्चा	ɐ ɾ t͡ɕ ɑ́ː
अर्चि	ɐ ɾ t͡ɕ i
अर्चि	ɐ ɾ t͡ɕ í
अर्चिस्	ɐ ɾ t͡ɕ i s̪
अर्चिस्	ɐ ɾ t͡ɕ í s̪
अर्जन	ɐ ɾ d͡ʑ ɐ n̪ ɐ
अर्जनम्	ɐ ɾ d͡ʑ ɐ n̪ ɐ m
अर्जनयोः	ɐ ɾ d͡ʑ ɐ n̪ ɐ j oː h
अर्जनयोः	ɐ ɾ d͡ʑ ɐ n̪ ɐ j ɐ w h
अर्जनस्य	ɐ ɾ d͡ʑ ɐ n̪ ɐ s̪ j ɐ
अर्जनात्	ɐ ɾ d͡ʑ ɐ n̪ ɑː t̪
अर्जनाभ्याम्	ɐ ɾ d͡ʑ ɐ n̪ ɑː bʱ j ɑː m
अर्जनाय	ɐ ɾ d͡ʑ ɐ n̪ ɑː j ɐ
अर्जने	ɐ ɾ d͡ʑ ɐ n̪ eː
अर्जने	ɐ ɾ d͡ʑ ɐ n̪ ɐ j
अर्जनेन	ɐ ɾ d͡ʑ ɐ n̪ eː n̪ ɐ
अर्जनेन	ɐ ɾ d͡ʑ ɐ n̪ ɐ j n̪ ɐ
अर्जित	ɐ ɾ d͡ʑ i t̪ ɐ
अर्जुन	ɐ ɾ d͡ʑ u n̪ ɐ
अर्जुन	ɐ́ ɾ d͡ʑ u n̪ ɐ
अर्ज्	ɐ ɾ d͡ʑ
अर्णव	ɐ ɾ ɳ ɐ ʋ ɐ
अर्णव	ɐ ɾ ɳ ɐ́ ʋ ɐ
अर्थ	ɐ ɾ t̪ʰ ɐ
अर्थात्	ɐ ɾ t̪ʰ ɑː t̪
अर्थालंकार	ɐ ɾ t̪ʰ ɑː l̪ ɐ ŋ k ɑː ɾ ɐ
अर्ध	ɐ ɾ d̪ʱ ɐ
अर्धपथ	ɐ ɾ d̪ʱ ɐ p ɐ t̪ʰ ɐ
अर्धपथ	ɐ ɾ d̪ʱ ɐ́ p ɐ t̪ʰ ɐ
अर्धपथे	ɐ ɾ d̪ʱ ɐ p ɐ t̪ʰ eː
अर्धपथे	ɐ ɾ d̪ʱ ɐ́ p ɐ t̪ʰ ɐ j
अर्भ	ɐ ɾ bʱ ɐ
अर्भ	ɐ́ ɾ bʱ ɐ
अर्यमन्	ɐ ɾ j ɐ m ɐ n̪
अर्यमन्	ɐ ɾ j ɐ m ɐ́ n̪
अर्यमा	ɐ ɾ j ɐ m ɑː
अर्यमा	ɐ ɾ j ɐ m ɑ́ː
अर्श	ɐ ɾ ɕ ɐ
अर्शस्	ɐ ɾ ɕ ɐ s̪
अर्शस्	ɐ́ ɾ ɕ ɐ s̪
अर्हति	ɐ ɾ ɦ ɐ t̪ i
अर्हति	ɐ́ ɾ ɦ ɐ t̪ i
अर्हित	ɐ ɾ ɦ i t̪ ɐ
अर्ह्	ɐ ɾ ɦ
अल	ɐ l̪ ɐ
अलंकार	ɐ l̪ ɐ ŋ k ɑː ɾ ɐ
अलंकृ	ɐ l̪ ɐ ŋ k r̩
अलंकृत	ɐ l̪ ɐ ŋ k r̩ t̪ ɐ
अलम्	ɐ l̪ ɐ m
अलम्	ɐ́ l̪ ɐ m
अलाबु	ɐ l̪ ɑː b u
अलाबु	ɐ l̪ ɑ́ː b u
अलाबुक	ɐ l̪ ɑː b u k ɐ
अलाबुका	ɐ l̪ ɑː b u k ɑː
अलाबू	ɐ l̪ ɑː b uː
अलि	ɐ l̪ i
अलिन्	ɐ l̪ i n̪
अल्पप्राण	ɐ l̪ p ɐ p ɾ ɑː ɳ ɐ
अव	ɐ ʋ ɐ
अव	ɐ́ ʋ ɐ
अवकर्षति	ɐ ʋ ɐ k ɐ ɾ ʂ ɐ t̪ i
अवगच्छति	ɐ ʋ ɐ ɡ ɐ t t͡ɕʰ ɐ t̪ i
अवति	ɐ ʋ ɐ t̪ i
अवति	ɐ́ ʋ ɐ t̪ i
अवधारण	ɐ ʋ ɐ d̪ʱ ɑː ɾ ɐ ɳ ɐ
अवरिफ्	ɐ ʋ ɐ ɾ i pʰ
अववर्जति	ɐ ʋ ɐ ʋ ɐ ɾ d͡ʑ ɐ t̪ i
अवसर्पिणी	ɐ ʋ ɐ s̪ ɐ ɾ p i ɳ iː
अवि	ɐ ʋ i
अवि	ɐ́ ʋ i
अविक	ɐ ʋ i k ɐ
अविद्या	ɐ ʋ i d̪ j ɑː
अविद्या	ɐ́ ʋ i d̪ j ɑː
अविद्वस्	ɐ ʋ i d̪ ʋ ɐ s̪
अविद्वस्	ɐ́ ʋ i d̪ ʋ ɐ s̪
अशनि	ɐ ɕ ɐ n̪ i
अशनि	ɐ́ ɕ ɐ n̪ i
अशिर	ɐ ɕ i ɾ ɐ
अशीति	ɐ ɕ iː t̪ i
अशीति	ɐ ɕ iː t̪ í
अश्मन्	ɐ ɕ m ɐ n̪
अश्मन्	ɐ́ ɕ m ɐ n̪
अश्रि	ɐ ɕ ɾ i
अश्रि	ɐ́ ɕ ɾ i
अश्रीर	ɐ ɕ ɾ iː ɾ ɐ
अश्रीर	ɐ ɕ ɾ iː ɾ ɐ́
अश्रु	ɐ ɕ ɾ u
अश्रु	ɐ́ ɕ ɾ u
अश्रोत्	ɐ ɕ ɾ oː t̪
अश्रोत्	ɐ́ ɕ ɾ ɐ w t̪
अश्व	ɐ ɕ ʋ ɐ
अश्व	ɐ́ ɕ ʋ ɐ
अश्वमेध	ɐ ɕ ʋ ɐ m eː d̪ʱ ɐ
अश्वमेध	ɐ ɕ ʋ ɐ m ɐ j d̪ʱ ɐ́
अश्वमेध	ɐ́ ɕ ʋ ɐ m ɐ j d̪ʱ ɐ
अश्वश्चन्द्र	ɐ ɕ ʋ ɐ ɕ t͡ɕ ɐ n̪ d̪ ɾ ɐ
अश्वश्चन्द्र	ɐ́ ɕ ʋ ɐ ɕ t͡ɕ ɐ n̪ d̪ ɾ ɐ
अश्वा	ɐ ɕ ʋ ɑː
अश्वा	ɐ́ ɕ ʋ ɑː
अषाढ	ɐ ʂ ɑː ɖʱ ɐ
अषाढ	ɐ́ ʂ ɑː ɖʱ ɐ
अषाळ्ह	ɐ ʂ ɑː ɭ̆ ɦ ɐ
अषाळ्ह	ɐ́ ʂ ɑː ɭ̆ ɦ ɐ
अष्ट	ɐ ʂ ʈ ɐ
अष्ट	ɐ ʂ ʈ ɐ́
अष्टादश	ɐ ʂ ʈ ɑː d̪ ɐ ɕ ɐ
अष्टादश	ɐ ʂ ʈ ɑ́ː d̪ ɐ ɕ ɐ
अष्टाविंशति	ɐ ʂ ʈ ɑː ʋ ĩ ɕ ɐ t̪ i
अष्टाविंशति	ɐ ʂ ʈ ɑ́ː ʋ ĩ ɕ ɐ t̪ i
अष्ट्रा	ɐ ʂ ʈ ɾ ɑː
अष्ट्रा	ɐ́ ʂ ʈ ɾ ɑː
अष्ठीवत्	ɐ ʂ ʈʰ iː ʋ ɐ t̪
अष्ठीवत्	ɐ ʂ ʈʰ iː ʋ ɐ́ t̪
असंकॢप्त	ɐ s̪ ɐ ŋ k l̩ p t̪ ɐ
असङ्ख्येय	ɐ s̪ ɐ ŋ kʰ j eː j ɐ
असङ्ख्येय	ɐ s̪ ɐ ŋ kʰ j ɐ j j ɐ
असत्	ɐ s̪ ɐ t̪
असत्	ɐ́ s̪ ɐ t̪
असनिष्यत	ɐ s̪ ɐ n̪ i ʂ j ɐ t̪ ɐ
असनिष्यत्	ɐ s̪ ɐ n̪ i ʂ j ɐ t̪
असनीत्	ɐ s̪ ɐ n̪ iː t̪
असनोत्	ɐ s̪ ɐ n̪ oː t̪
असनोत्	ɐ s̪ ɐ n̪ ɐ w t̪
असाधारण	ɐ s̪ ɑː d̪ʱ ɑː ɾ ɐ ɳ ɐ
असाधारण	ɐ s̪ ɑ́ː d̪ʱ ɑː ɾ ɐ ɳ ɐ
असानीत्	ɐ s̪ ɑː n̪ iː t̪
असार	ɐ s̪ ɑː ɾ ɐ
असि	ɐ s̪ i
असि	ɐ s̪ í
असिन्व	ɐ s̪ i n̪ ʋ ɐ
असिन्व	ɐ s̪ i n̪ ʋ ɐ́
असिर	ɐ s̪ i ɾ ɐ
असुर	ɐ s̪ u ɾ ɐ
असुर	ɐ́ s̪ u ɾ ɐ
असृक्	ɐ s̪ r̩ k
असृक्	ɐ́ s̪ r̩ k
असृज्	ɐ s̪ r̩ d͡ʑ
असृज्	ɐ́ s̪ r̩ d͡ʑ
अस्	ɐ s̪
अस्त	ɐ s̪ t̪ ɐ
अस्त	ɐ́ s̪ t̪ ɐ
अस्ति	ɐ s̪ t̪ i
अस्ति	ɐ́ s̪ t̪ i
अस्तित्व	ɐ s̪ t̪ i t̪ ʋ ɐ
अस्तु	ɐ s̪ t̪ u
अस्थन्	ɐ s̪ t̪ʰ ɐ n̪
अस्थन्	ɐ s̪ t̪ʰ ɐ́ n̪
अस्थात्	ɐ s̪ t̪ʰ ɑː t̪
अस्थात्	ɐ́ s̪ t̪ʰ ɑː t̪
अस्थि	ɐ s̪ t̪ʰ i
अस्थि	ɐ́ s̪ t̪ʰ i
अस्मद्	ɐ s̪ m ɐ d̪
अस्माक	ɐ s̪ m ɑː k ɐ
अस्माक	ɐ s̪ m ɑ́ː k ɐ
अस्मान्	ɐ s̪ m ɑː n̪
अस्मान्	ɐ s̪ m ɑ́ː n̪
अस्माभिः	ɐ s̪ m ɑː bʱ i h
