't	t
dräifach	d ʀ æ i̯ f a χ
dräikinneksdag	d ʀ æ i̯ k i n e k s d aː χ
dräimol	d ʀ æ i̯ m oː l
dräisprong	d ʀ æ i̯ ʃ p ʀ o ŋ
dräizéng	d ʀ æ i̯ t s e ŋ
dräizéngt	d ʀ æ i̯ t s e ŋ t
drängen	d ʀ æ ŋ e n
dränk	d ʀ æ ŋ k
dränken	d ʀ æ ŋ k e n
dréchen	d ʀ e χ e n
dréchent	d ʀ e χ e n t
dréchnen	d ʀ e χ n e n
drécken	d ʀ e k e n
drécker	d ʀ e k e ʀ
dréi	d ʀ e i̯
dréibänk	d ʀ e i̯ b æ ŋ k
dréien	d ʀ e i̯ e n
dréif	d ʀ ɜ ɪ f
dréinen	d ʀ e i̯ n e n
dréis	d ʀ e i̯ s
dréischel	d ʀ e i̯ ʃ e l
dréit	d ʀ e i̯ t
dréit	d ʀ ɜ ɪ̯ t
dréiwen	d ʀ e i̯ v e n
dréngen	d ʀ e ŋ e n
drénk	d ʀ e ŋ k
drénken	d ʀ e ŋ k e n
drénks	d ʀ e ŋ s
drénkt	d ʀ e ŋ t
drënner	d ʀ e n e ʀ
drëps	d ʀ e p s
drësseg	d ʀ e s e χ
drëtt	d ʀ e t
drüs	d ʁ yː s
du	d u
duch	d u χ
ducken	d u k e n
duddelsak	d u d e l z aː k
duebel	d u e̯ b e l
duechter	d u e̯ χ t e ʀ
dueder	d u e̯ d e ʀ
duer	d uː ʀ
duerch	d u e̯ χ
duercherneen	d u e̯ χ e ʀ n eː n
duercherneen	d uː ʀ χ e ʀ n eː n
duerchsetzen	d u e̯ χ z æ t s e n
duerf	d u e̯ f
duerleeën	d uː ʀ l e e n
duerno	d u e̯ n o
dugend	d uː ʁ e n t
dunn	d u n
dusch	d u ʃ
duschen	d u ʃ e n
duuscht	d uː ʃ t
duuss	d uː s
dystopie	d i s t o p iː
däerfen	d eː ʀ f e n
däich	d æ i̯ χ
däin	d æ i̯ n
däischtert	d æ i̯ ʃ t e ʀ t
däitlech	d æ i̯ t l e χ
däitsch	d æ i̯ t ʃ
däitschland	d æ i̯ t ʃ l a n t
däitschsproocheg	d æ i̯ t ʃ ʃ p ʀ oː χ e χ
däiwel	d æ i̯ v e l
dämpen	d æ m p e n
dänemark	d æː n e m a ʀ k
dänn	d æ n
dännemees	d æ n e m eː s
där	d eː ʀ
däreldéier	d eː ʀ e l d e i̯ e ʀ
déck	d e k
déckt	d e k t
déi	d e i̯
déi	d i
déier	d e i̯ e ʀ
déif	d e i̯ f
déifferdeng	d e i̯ f e ʀ d e ŋ
déift	d ɜ ɪ̯ f t
déijéineg	d e i̯ ʒ e i̯ n e χ
déngen	d e ŋ e n
dénger	d e ŋ e ʀ
déngscht	d e ŋ ʃ t
dëll	d e l
dëllen	d e l e n
dëmpen	d e m p e n
dënn	d e n
dënschdeg	d e n ʃ d e χ
dëppen	d e p e n
dës	d e s
dësch	d e ʃ
dëschelduch	d e ʃ e l d u χ
dëschtel	d e ʃ t e l
dëschtennis	d e ʃ t æ n i s
dësem	d e z e m
dësen	d e z e n
dëser	d e z e ʀ
dëst	d e s t
dösen	d øː z e n
ech	e χ
eck	æ k
eckzant	æ k t s a n t
eddy	æ d i
educatioun	eː d y k a t s j e u̯ n
ee	e
eech	eː χ
eechel	eː χ e l
eechen	eː χ e n
eed	eː t
eedem	eː d e m
eegen	eː ʁ e n
eegennumm	eː ʁ e n n u m
eegentlech	eː ʁ e n t l e χ
eegiel	eː ɡ i e̯ l
eekelen	eː k e l e n
eelef	eː l e f
eeleft	eː l e f t
eemer	eː m e ʀ
eemol	eː m oː l
een	eː n
eenegen	eː n e ʁ e n
eenhar	eː n h aː ʀ
eent	eː n t
eenzel	eː n t s e l
eesch	eː ʃ
eescht	eː ʃ t
eess	eː s
eesäiteg	eː z æ i̯ t e χ
eeter	eː t e ʀ
eeteren	eː t e ʀ e n
eewäiss	eː v æ i̯ s
eeër	e e ʀ
eeërschuel	e e ʀ ʃ u e̯ l
eeërstack	e e ʀ ʃ t a k
effikass	æ f i k a s
eidechs	a i̯ d æ k s
eidel	a i̯ d e l
eigentlech	ɑ ɪ ʑ ə n d l ə ɕ
eil	a i̯ l
einfach	ɑ ɪ̯ n f ɑ χ
eis	a i̯ s
eisebunn	a i̯ z e b u n
eisekuch	a i̯ z e k u χ
eisen	a i̯ z e n
eist	a i̯ s t
elaboratioun	eː l a b o ʀ a t s j e u̯ n
elch	æ l χ
elefant	e l e f a n t
elektriker	e l æ k t ʁ i k ɐ
eleng	e l æ ŋ
elfebeen	æ l f e b eː n
ellen	æ l e n
elo	e l o
els	æ l s
elteren	æ l t e ʀ e n
elterenhaus	æ l t e ʀ e n h æ u̯ s
em	e m
email	e m a i̯
email	eː m a i̯
emissioun	eː m i s j e u̯ n
