అ	a
కొవ్వు	k o ʋː u
కో	k oː
కోక	k oː k a
కోట	k oː ʈ a
కోన	k oː n a
కోయు	k oː j u
కౌమారము	k a u m aː r a m u
క్రొత్త	k r o tː a
క్షోణి	k ʂ oː ɳ i
గంగ	ɡ ã ŋ ɡ a
గట్టు	ɡ a ʈː u
గడ్డ	ɡ a ɖː a
గడ్డి	ɡ a ɖː i
గతి	ɡ a t i
గద్ద	ɡ a d̪ː a
గాడిదగుడ్డు	ɡ aː ɖ i d a ɡ u ɖː u
గాతి	ɡ aː t i
గిడ్డ	ɡ i ɖː a
గిబ్బ	ɡ i bː a
గీ	ɡ iː
గీతి	ɡ iː t i
గుచ్చు	ɡ u t ʃː u
గుట్టు	ɡ u ʈː u
గుడి	ɡ u ɖ i
గుడ్డ	ɡ u ɖː a
గుడ్డు	ɡ u ɖː u
గుద్ద	ɡ u d̪ː a
గుబ్బ	ɡ u bː a
గూడు	ɡ uː ɖ u
గొడ్డు	ɡ o ɖː u
గొప్ప	ɡ o pː a
గోల	ɡ oː l a
గ్రద్ద	ɡ r̪ a d̪ː a
గ్రుడ్డు	ɡ r u ɖː u
ఙ	ŋ a
చ	t͡ʃ a
చంద్రుడు	t͡ʃ ã n̪ d̪ r u ɖ u
చక్రపాణి	t͡ʃ a k r a p aː ɳ i
చన్ను	t͡ʃ a n̪ː u
చాకిరీ	t ʃ aː k i r iː
చాప	t͡ʃ aː p a
చారుడు	t͡ʃ aː r u ɖ u
చిక్కు	t͡ʃ i kː u
చిచ్చు	t ʃ i t ʃː u
చిట్టు	t͡ʃ i ʈː u
చిత్త	t͡ʃ i tː a
చిత్తు	t͡ʃ i tː u
చిప్ప	t͡ʃ i pː a
చిరునవ్వు	t͡ʃ i r u n a ʋː u
చీ	t͡ʃ iː
చుక్క	t͡ʃ u kː a
చుల్ల	t͡ʃ u lː a
చెంగు	t͡ʃ ẽ ŋ ɡ u
చెక్కు	t͡ʃ e kː u
చెట్టు	t͡ʃ e ʈː u
చెడ్డ	t͡ʃ e ɖː a
చెత్త	t͡ʃ e tː a
చేప	t͡ʃ eː p a
చేయు	t͡ʃ e jː u
జ	d͡ʒ a
జబ్బ	d ʒ a bː a
జల్లు	d͡ʒ a lː u
జాతి	d ʒ aː t i
జారు	d͡ʒ aː r u
జున్ను	d͡ʒ u n̪ː u
జ్యేష్ఠము	d͡ʒ j eː ʂ ʈʰ a m u
టా	ʈ aː
టాక్సీ	ʈ aː k s iː
టూ	ʈ uː
టె	ʈ e
టే	ʈ eː
ఠా	ʈʰ aː
ఠి	ʈʰ i
డప్పు	ɖ a pː u
డి	ɖ i
డు	ɖ u
తగ్గు	t a ɡː u
తట్ట	t a ʈː a
తన	t̪ a n̪ a
తప్పు	t̪ a pː u
తల	t a l a
తవ్వు	t a ʋː u
తాకు	t̪ aː k u
తాబేలు	t̪ aː b eː l u
తిక్క	t i kː a
తిట్టు	t i ʈː u
తిప్ప	t i pː a
తిప్పు	t̪ i pː u
తిరు	t i r u
తీర్పు	t iː r p u
తుప్పు	t̪ u pː u
తెడ్డు	t e ɖː u
తెన్ను	t̪ e n̪ː u
తెప్ప	t e pː a
తెలుగు	t̪ ɛ l ʊ ɡ ʊ
తేజస్సు	t eː d͡ʒ a sː u
తేలు	t eː l u
తొక్క	t o kː a
తొన	t̪ o n̪ a
తొలి	t o l̪ i
త్రవ్వు	t r a ʋː u
థ	t̪ʰ a
దక్కు	d̪ a kː u
దగ్గు	d a ɡː u
దబ్బ	d a bː a
దాడి	d aː ɖ i
దారి	d aː r i
ది	d i
దిక్కు	d̪ i kː u
దినమణి	d i n a m a ɳ i
దివ్యవాణి	d i ʋ j a ʋ aː ɳ i
దీవి	d iː ʋ i
దుః	d̪ uʱ
దుక్కి	d̪ u kː i
దువ్వు	d u ʋː u
దెప్పు	d̪ e pː u
దెబ్బ	d e bː a
దొడ్డ	d o ɖː a
దొడ్డి	d o ɖː i
దొప్ప	d̪ o pː a
ధరణి	d̪ʱ a r a ɳ i
ధరిత్రి	dʱ a r i t r i
ధాత్రి	dʱ aː t r i
ధీ	dʱ iː
ధూర్జటి	d̪ʱ uː r d͡ʒ a ʈ i
నక్క	n a kː a
నక్కు	n a kː u
నట్టు	n̪ a ʈː u
నత్త	n a tː a
నది	n̪ a d̪ i
నళ	n a ɭ a
నవ్వు	n a ʋː u
నాగు	n aː ɡ u
నాతి	n aː t i
నాది	n aː d i
నాభి	n aː bʱ i
నారి	n aː r i
నాలుగు	n̪ aː l̪ u ɡ u
ని	n i
నిగుడు	n i ɡ u ɖ u
నిగ్గు	n̪ i ɡː u
నిట్టు	n i ʈː u
నిమ్మగడ్డి	n i mː a ɡ a ɖː i
నీ	n iː
నీతి	n iː t i
నీది	n iː d i
నుడి	n u ɖ i
నువ్వు	n u ʋː u
నూక	n̪ uː k a
నూగు	n uː ɡ u
నెగ్గు	n e ɡː u
నెట్టు	n̪ e ʈː u
నేడు	n eː ɖ u
నొక్కు	n o kː u
నోరు	n oː r u
నోరులేని	n oː r u l eː n i
పక్క	p a kː a
పగ	p a ɡ a
పట్టు	p a ʈː u
పడ్డ	p a ɖː a
పతి	p a t i
పత్రి	p a t r i
పది	p a d̪ i
పని	p a n̪ i
పన్ను	p a n̪ː u
పప్ప	p a pː a
పప్పు	p a pː u
పరీక్ష	p a r iː k ʂ a
పల్లకి	p a lː a k i
పాకు	p aː k u
పాట	p aː ʈ a
పాణి	p aː ɳ i
పాప	p aː p a
పాము	p aː m u
పాలపిట్ట	p aː l a p i ʈː a
పాలు	p aː l u
పిక్క	p i kː a
పిట్ట	p i ʈː a
పిన	p i n̪ a
పిన్న	p i n̪ː a
పిన్ను	p i n̪ː u
పిరికి	p i r i k i
పిర్ర	p i rː a
పిల్ల	p i l̪ː a
పీట	p iː ʈ a
పుట	p u ʈ a
పుట్ట	p u ʈː a
పుడమి	p u ɖ a m i
పుత్రి	p u t r i
పులి	p u l̪ i
పుల్ల	p u l̪ː a
పువ్వు	p u ʋː u
పుష్పకము	p u ʂ p a k a m u
పుష్పము	p u ʂ p a m u
పూకు	p uː k u
పెగ్గు	p e ɡː u
పెట్టు	p e ʈː u
పేట	p eː ʈ a
పొట్ట	p o ʈː a
పొన్న	p o nː a
పో	p oː
ప్రక్క	p r a kː a
ఫణి	pʰ a ɳ i
బలి	b a l̪ i
బల్ల	b a lː a
బల్లి	b a lː i
బస్సు	b a sː u
బాకు	b aː k u
బాజా	b aː d ʒ aː
బాబా	b aː b aː
బావి	b aː ʋ i
బిడ్డ	b i ɖː a
బిల్లు	b i lː u
బీర	b iː r̪ a
బుడ్డ	b u ɖː a
బుర్ర	b u rː a
బెడ్డ	b e ɖː a
బొక్క	b o kː a
బొట్టు	b o ʈː u
బొడ్డు	b o ɖː u
భరణి	bʱ a r̪ a ɳ i
భువి	bʱ u ʋ i
భూమి	bʱ uː m i
మంటపము	m ã ɳ ʈ a p a m u
మండపము	m ã ɳ ɖ a p a m u
మండలము	m ã ɳ ɖ a l a m u
మగ	m a ɡ a
మడ్డి	m a ɖː i
మణి	m a ɳ i
మతి	m a t i
మది	m a d̪ i
మన	m a n̪ a
మనది	m a n a d i
మన్ను	m a n̪ː u
మాట	m aː ʈ a
మాది	m aː d i
మార్పు	m aː r p u
మిథునము	m i t̪ʰ u n̪ a m u
మినప	m i n̪ a p a
మిన్ను	m i n̪ː u
మీ	m iː
ముక్క	m u kː a
ముగ్గు	m u ɡː u
ముగ్గురు	m u ɡː u r̪ u
ముడ్డి	m u ɖː i
మునగ	m u n̪ a ɡ a
మున్ను	m u n̪ː u
ముల్లు	m u lː u
మువ్వురు	m u ʋː u r̪ u
మూడు	m uː ɖ u
మూతి	m uː t i
మెలి	m e l̪ i
మెల్ల	m e l̪ː a
మేక	m eː k a
మేనత్త	m eː n a tː a
మైత్రి	m a i t r i
మొక్క	m o kː a
మొక్కు	m o kː u
మొడ్డ	m o ɖː a
మొప్ప	m o pː a
మ్రొక్కు	m r o kː u
య	j a
యొక్క	j o kː a
రట్టు	r̪ a ʈː u
రమణి	r a m a ɳ i
రాకుమారి	r aː k u m aː r i
రాజు	r aː d ʒ u
రాజ్యము	r aː d ʒ a m u
రాత్రి	r aː t r i
రీతి	r iː t i
రువ్వు	r u ʋː u
రెక్క	r e kː a
రెడ్డి	r e ɖː i
రెప్ప	r e pː a
రేకు	r eː k u
రోజు	r oː d ʒ u
రోహిణి	r oː x i ɳ i
లంచము	l a ɳ t ʃ a m u
లక్క	l a kː a
లక్ష	l a k ʂ a
లెక్క	l e kː a
లేఖిని	l eː kʰ i n i
లేగ	l̪ eː ɡ a
లో	l oː
ళ	ɭ
వచ్చు	ʋ a t ʃː u
వాకిలి	v aː k i l̪ i
వాగు	ʋ aː ɡ u
వాణి	ʋ aː ɳ i
వార్పు	v a aː r p u
వాలి	v aː l̪ i
విరి	ʋ i r i
విలు	ʋ i l u
విల్లు	ʋ i lː u
వు	ʋ u
వెలగ	ʋ e l̪ a ɡ a
వెలి	v e l̪ i
వెల్ల	ʋ e l̪ː a
వెల్లుల్లి	ʋ e l̪ː u l̪ː i
వేట	ʋ eː ʈ a
వేరు	ʋ eː r u
వైరి	ʋ a j r i
వ్రక్క	ʋ r a kː a
శ	ɕ a
శిక్ష	ɕ i k ʂ a
శిరస్సు	ɕ i r a sː u
శుచి	ɕ u t ʃ i
శ్రీ	ɕ r iː
శ్రేష్ఠము	ɕ r eː ʂ ʈʰ a m u
శ్వేతము	ʃ ʋ eː t a m u
ష	ʂ a
స	s̪ a
సతి	s a t i
సదస్సు	s a d a sː u
సరస్సు	s a r a sː u
సర్పము	s̪ a r̪ p a m u
సాగు	s̪ aː ɡ u
సిగ్గు	s i ɡː u
సిరా	s i r aː
సుడి	s u ɖ i
సుతి	s u t i
సొరుగు	s o r u ɡ u
స్తనము	s t a n a m u
హ	x a
హరిణి	x a r̪ i ɳ i
హెచ్చు	x e t ʃː u
ీ	iː
ూ	uː
ృ	r u
ౄ	r uː
ె	e
ే	eː
ై	a j
ౌ	a w
ౠ	r uː
ౢ	l̥
ౣ	l̥̄
