achtu	a t͡ʃ t u
tal	t aː l
taltusan	t aː l t uː s a ŋ
tamal	t a m a l
tamal	t a m a ɬ
tamal	t aː m a l
tami	t a m i
tapua	t a p u w a
tapui	t a p u w i
tashkal	t a ʃ k a l
tashkal	t a ʃ k a lʲ
tawial	t a w i j a l
tay	t aː j
tejemet	t e h e m e t
tekit	t e k i t
tekit	t e ɣ i t
tekiti	t e k i t i
tekiti	t e ɣ i t i
tekulut	t e k u l uː t
tekulut	t e k u lʲ u t
tekulut	t e k u ɬ u t
tekulut	t e ɣ u l uː t
tekwani	t eː kʷ a n i
ten	t e ŋ
ten	t eː ŋ
tenkal	t eː ŋ k a l
tenkal	t eː ŋ ɡ a l
tijlan	t i h l a ŋ
tijlan	t i h lʲ a ŋ
tijlan	t i h ɬ a ŋ
tit	t iː t
tuchti	t u t͡ʃ t i
tujti	t uː h t i
tukat	t u k a t
tukat	t u ɣ a t
tumat	t u m a t
tunal	t u n a l
tunal	t u n a ɬ
tunal	t uː n a l
tutulin	t u t u l i ŋ
tutut	t uː t u t
tzakwa	t͡s a kʷ a
tzanat	t͡s a n a t
tzikat	t͡s iː k a t
tzikat	t͡s iː ɣ a t
tzinakan	t͡s i n a k a
tzinakan	t͡s i n a k a ŋ
tzinakan	t͡s i n aː k a ŋ
tzinakan	t͡s i n aː ɣ a ŋ
ukpa	u k p a
ulut	u l u t
ume	uː m e
unpual	uː m p u w a l
uselut	u s e l u t
usumati	u s u m a t i
wakash	w aː k aː ʃ
wakash	w aː ɣ aː ʃ
wan	w a ŋ
weli	w e l i
wilut	w iː l u t
witz	w iː t͡s
witzitzil	w iː t͡s i t͡s i l
witztakwatzin	w i t͡s t a kʷ a t͡s i ŋ
yaja	j a h a
yalua	j a l u w a
yalua	j a lʲ u w a
yalua	j aː l u w a
yawi	j a w i
yejemet	j e h e m e t
yek	j eː k
yeshpual	j eː ʃ p u w a l
yey	j eː j
