ँ	ə̃
अकड़न	ə k ɽ ə̃ n̪
अकड़ना	ə k ə ɽ n̪ äː
अकर्मण्यता	ə k ə ɾ m ə̃ ɳ j ə t̪ äː
अकस्मात्	ə k ə s̪ m äː t̪
अक़्ल	ə k l̪ᵊ
अक़्ल	ə k ə l̪
अक़्ल	ə q l̪ᵊ
अक़्ल	ə q ə l̪
अक़्लमंद	ə k l̪ᵊ m ə̃ n̪ d̪
अक़्लमंद	ə k ə l̪ m ə̃ n̪ d̪
अक़्लमंद	ə q l̪ᵊ m ə̃ n̪ d̪
अक़्लमंद	ə q ə l̪ m ə̃ n̪ d̪
अकाज	ə k äː d͡ʒ
अकादमिक	ə k äː d̪ m ɪ k
अकादमी	ə k äː d̪ m iː
अकारण	ə k äː ɾ ə̃ ɳ
अकारथ	ə k äː ɾ ə t̪ʰ
अकाल	ə k äː l̪
अकेला	ə k eː l̪ äː
अकेलापन	ə k eː l̪ äː p ə̃ n̪
अक्खड़	ə k̚ kʰ ə ɽ
अक्खा	ə k̚ kʰ äː
अक्षत	ə k ʃ ə t̪
अक्षम्य	ə k ʃ ə̃ m jᵊ
अक्षर	ə k ʃ ə ɾ
अक्षरारंभ	ə k ʃ ə ɾ äː ɾ ə̃ m bʱ
अक्स	ə k s̪
अक्सर	ə k s̪ ə ɾ
अखंड	ə kʰ ə̃ ɳ ɖ
अखंडता	ə kʰ ə̃ ɳ ɖ t̪ äː
अखबार	ə kʰ b äː ɾ
अखबार	ə x b äː ɾ
अखरना	ə kʰ ə ɾ n̪ äː
अख़बार	ə kʰ b äː ɾ
अख़बार	ə x b äː ɾ
अख़बारवाला	ə kʰ b äː ɾ ʋ äː l̪ äː
अख़बारवाला	ə x b äː ɾ ʋ äː l̪ äː
अखाड़ा	ə kʰ äː ɽ äː
अखिल	ə kʰ ɪ l̪
अखिलेश	ə kʰ ɪ l̪ eː ʃ
अगरतला	ə ɡ ə ɾ t̪ ə l̪ äː
अगरबत्ती	ə ɡ ə ɾ b ə t̪̚ t̪ iː
अगला	ə ɡ l̪ äː
अगवानी	ə ɡ ʋ äː n̪ iː
अगस्त	ə ɡ ə s̪ t̪
अगाऊ	ə ɡ äː uː
अगिन	ə ɡ ɪ̃ n̪
अगुआ	ə ɡ ʊ äː
अग्नि	ə ɡ n̪ iː
अग्निपरीक्षा	ə ɡ n̪ ɪ p ə ɾ iː k ʃ äː
अग्निशस्त्र	ə ɡ n̪ ɪ ʃ ə s̪ t̪ ɾᵊ
अग्निशामक	ə ɡ n̪ ɪ ʃ äː m ə k
अग्न्याशय	ə ɡ n̪ j äː ʃ ə j
अग्रवाल	ə ɡ ɾᵊ ʋ äː l̪
अग्रहायण	ə ɡ ɾ ə ɦ äː j ə̃ ɳ
अग्रिम	ə ɡ ɾ ɪ̃ m
अग्रिमता	ə ɡ ɾ ɪ̃ m t̪ äː
अचंभा	ə t͡ʃ ə̃ m bʱ äː
अचकन	ə t͡ʃ k ə̃ n̪
अचानक	ə t͡ʃ äː n̪ ə k
अच्छा	ə t̚ t͡ʃʰ äː
अच्छाई	ə t̚ t͡ʃʰ äː iː
अच्छापन	ə t̚ t͡ʃʰ äː p ə̃ n̪
अछना	ə t͡ʃʰ n̪ äː
अछूता	ə t͡ʃʰ uː t̪ äː
अजनबियत	ə d͡ʒ n̪ ə b i j ə t̪
अजनबी	ə d͡ʒ n̪ ə b iː
अजवाइन	ə d͡ʒ ʋ äː ɪ̃ n̪
अज़दहा	ə d͡ʒ d̪ ə ɦ äː
अज़दहा	ə z d̪ ə ɦ äː
अज़रबैजान	ə d͡ʒ ə ɾ b ɛː d͡ʒ ä̃ː n̪
अज़रबैजान	ə z ə ɾ b ɛː d͡ʒ ä̃ː n̪
अज़ान	ə d͡ʒ ä̃ː n̪
अज़ान	ə z ä̃ː n̪
अज़ाब	ə d͡ʒ äː b
अज़ाब	ə z äː b
अज़ीम	ə d͡ʒ ĩː m
अज़ीम	ə z ĩː m
अजाइब	ə d͡ʒ äː ɪ b
अजान	ə d͡ʒ ä̃ː n̪
अजायबघर	ə d͡ʒ äː j ə b ɡʱ ə ɾ
अजिल्द	ə d͡ʒ ɪ l̪ d̪
अजूबा	ə d͡ʒ uː b äː
अजेंडा	ə d͡ʒ ẽː ɳ ɖ äː
अज्ञात	ə ɡ j äː t̪
अज्ञानपन	ə ɡ j ä̃ː n̪ p ə̃ n̪
अज्ञेयवाद	ə ɡ j eː j ʋ äː d̪
अज्ञेयवादी	ə ɡ j eː j ʋ äː d̪ iː
अझ़दहा	ə z d̪ ə ɦ äː
अझ़दहा	ə ʒ d̪ ə ɦ äː
अटकना	ə ʈ ə k n̪ äː
अटकल	ə ʈ k ə l̪
अटकलपच्चू	ə ʈ k ə l̪ p ə t̚ t͡ʃ uː
अटकाना	ə ʈ k äː n̪ äː
अटकाव	ə ʈ k äː ʋ
अटपटा	ə ʈ p ə ʈ äː
अटल	ə ʈ ə l̪
अटारी	ə ʈ äː ɾ iː
अट्टालिका	ə ʈ̚ ʈ äː l̪ ɪ k äː
अट्ठा	ə ʈ̚ ʈʰ äː
अट्ठाईस	ə ʈ̚ ʈʰ äː iː s̪
अट्ठानवे	ə ʈ̚ ʈʰ ä̃ː n̪ w eː
अट्ठावन	ə ʈ̚ ʈʰ äː ʋ ə̃ n̪
अट्ठासी	ə ʈ̚ ʈʰ äː s̪ iː
अठन्नी	ə ʈʰ ə̃ n̪ n̪ iː
अठपहिया	ə ʈʰ p ə iː j äː
अठपहिया	ə ʈʰ p ə ɦ i j äː
अठहत्तर	ə ʈʰ ɦ ə t̪̚ t̪ ə ɾ
अठारह	ə ʈʰ äː ɾ ə ɦ
अड़ंगा	ə ɽ ə̃ ŋ ɡ äː
अड़चन	ə ɽ t͡ʃ ə̃ n̪
अड़तालीस	ə ɽ t̪ äː l̪ iː s̪
अड़तीस	ə ɽ t̪ iː s̪
अड़ना	ə ɽ n̪ äː
अड़सठ	ə ɽ s̪ ə ʈʰ
अड़ाना	ə ɽ äː n̪ äː
अड़ियल	ə ɽ i j ə l̪
अण्डा	ə̃ ɳ ɖ äː
अतिकाल	ə t̪ ɪ k äː l̪
अतिवाद	ə t̪ ɪ ʋ äː d̪
अतिवादी	ə t̪ ɪ ʋ äː d̪ iː
अतिसंवेदनशील	ə t̪ ɪ s̪ ə̃ m w eː d̪ ə̃ n̪ ʃ iː l̪
अतिसार	ə t̪ ɪ s̪ äː ɾ
अतुलित	ə t̪ ʊ l̪ ɪ t̪
अतुल्य	ə t̪ ʊ l̪ jᵊ
अत्फ़ाल	ə t̪ f äː l̪
अत्फ़ाल	ə t̪ pʰ äː l̪
अत्यंत	ə t̪ j ə̃ n̪ t̪
अत्यन्त	ə t̪ j ə̃ n̪ t̪
अत्याचार	ə t̪ j äː t͡ʃ äː ɾ
अत्याचारी	ə t̪ j äː t͡ʃ äː ɾ iː
अत्यावश्यक	ə t̪ j äː ʋ ə ʃ j ə k
अत्युत्तम	ə t̪ j ʊ t̪̚ t̪ ə̃ m
अथवा	ə t̪ʰ ʋ äː
अथाह	ə t̪ʰ äː ɦ
अदहन	ə d̪ ɦ ə̃ n̪
अदा	ə d̪ äː
अदाकार	ə d̪ äː k äː ɾ
अदालत	ə d̪ äː l̪ ə t̪
अदालती	ə d̪ äː l̪ ə t̪ iː
अदावत	ə d̪ äː ʋ ə t̪
अद्यतन	ə d̪ j ə t̪ ə̃ n̪
अद्यापि	ə d̪ j äː p iː
अधिकतम	ə d̪ʱ ɪ k t̪ ə̃ m
अधिकता	ə d̪ʱ ɪ k t̪ äː
अधिकरण	ə d̪ʱ ɪ k ə ɾ ə̃ ɳ
अधिकार	ə d̪ʱ ɪ k äː ɾ
अधिकारिणी	ə d̪ʱ ɪ k äː ɾ ɪ ɳ iː
अधिकारिता	ə d̪ʱ ɪ k äː ɾ ɪ t̪ äː
अधिकारी	ə d̪ʱ ɪ k äː ɾ iː
अधिनायक	ə d̪ʱ ɪ n̪ äː j ə k
अधिनियम	ə d̪ʱ ɪ n̪ i j ə̃ m
अधिभार	ə d̪ʱ ɪ bʱ äː ɾ
अधिमास	ə d̪ʱ ɪ m äː s̪
अधिलाभ	ə d̪ʱ ɪ l̪ äː bʱ
अधिवक्ता	ə d̪ʱ ɪ ʋ ə k t̪ äː
अधिवार्षिकी	ə d̪ʱ ɪ ʋ äː ɾ ʃ ɪ k iː
अधिवेशन	ə d̪ʱ ɪ ʋ eː ʃ ə̃ n̪
अधिसूचना	ə d̪ʱ ɪ s̪ uː t͡ʃ n̪ äː
अधिसूचित	ə d̪ʱ ɪ s̪ uː t͡ʃ ɪ t̪
अधीक्षक	ə d̪ʱ iː k ʃ ə k
अधीक्षण	ə d̪ʱ iː k ʃ ə̃ ɳ
अधीन	ə d̪ʱ ĩː n̪
अधीनता	ə d̪ʱ ĩː n̪ t̪ äː
अधीरता	ə d̪ʱ iː ɾ t̪ äː
अधुना	ə d̪ʱ ʊ n̪ äː
अधूरा	ə d̪ʱ uː ɾ äː
अधोहस्ताक्षरी	ə d̪ʱ oː ɦ ə s̪ t̪ äː k ʃ ə ɾ iː
अध्यक्ष	ə d̪ʱ j ə k ʃ
अध्यक्षता	ə d̪ʱ j ə k ʃ t̪ äː
अध्ययन	ə d̪ʱ j ə j ə̃ n̪
अध्ययन	ə d̪ʱ j ə̃ n̪
अध्यादेश	ə d̪ʱ j äː d̪ eː ʃ
अध्यापक	ə d̪ʱ j äː p ə k
अध्यापिका	ə d̪ʱ j äː p ɪ k äː
अध्याय	ə d̪ʱ j äː j
अनंतपुर	ə n̪ ə̃ n̪ t̪ p ʊ ɾ
अनकटा	ə̃ n̪ k ə ʈ äː
अनकहा	ə̃ n̪ k ə ɦ äː
अनखिला	ə̃ n̪ kʰ ɪ l̪ äː
अनगढ़	ə̃ n̪ ɡ ə ɽʱ
अनगिनत	ə̃ n̪ ɡ ɪ n̪ ə t̪
अनचखा	ə̃ n̪ t͡ʃ ə kʰ äː
अनचाहा	ə̃ n̪ t͡ʃ äː ɦ äː
अनजाना	ə̃ n̪ d͡ʒ äː n̪ äː
अनजाने	ə̃ n̪ d͡ʒ äː n̪ eː
अनदेखा	ə̃ n̪ d̪ eː kʰ äː
अननुमेय	ə̃ n̪ n̪ ʊ m eː j
अनन्नास	ə n̪ ə̃ n̪ n̪ äː s̪
अनपच	ə̃ n̪ p ə t͡ʃ
अनपढ़	ə̃ n̪ p ə ɽʱ
अनब्याहा	ə̃ n̪ b j äː ɦ äː
अनमना	ə̃ n̪ m ə n̪ äː
अनमोल	ə̃ n̪ m oː l̪
अनर्थ	ə n̪ ə ɾ t̪ʰ
अनशन	ə̃ n̪ ʃ ə̃ n̪
अनसुना	ə̃ n̪ s̪ ʊ n̪ äː
अनस्तित्व	ə n̪ ə s̪ t̪ ɪ t̪ wᵊ
अनहोनी	ə̃ n̪ ɦ oː n̪ iː
अनाचार	ə n̪ äː t͡ʃ äː ɾ
अनाज	ə n̪ äː d͡ʒ
अनाड़ी	ə n̪ äː ɽ iː
अनातोली	ə n̪ äː t̪ oː l̪ iː
अनाथालय	ə n̪ äː t̪ʰ äː l̪ ə j
अनाधिकारिक	ə n̪ äː d̪ʱ ɪ k äː ɾ ɪ k
अनाम	ə n̪ ä̃ː m
अनामिका	ə n̪ äː m ɪ k äː
अनार	ə n̪ äː ɾ
अनारदाना	ə n̪ äː ɾ d̪ äː n̪ äː
अनावश्यक	ə n̪ äː ʋ ə ʃ j ə k
अनिच्छा	ə n̪ ɪ t̚ t͡ʃʰ äː
अनिद्रा	ə n̪ ɪ d̪ ɾ äː
अनियंत्रित	ə n̪ i j ə̃ n̪ t̪ ɾ ɪ t̪
अनियमित	ə n̪ i j ə m ɪ t̪
अनियमितता	ə n̪ i j ə m ɪ t̪̚ t̪ äː
अनिवार्य	ə n̪ ɪ ʋ äː ɾ jᵊ
अनिवार्यतः	ə n̪ ɪ ʋ äː ɾ j ə t̪ ə ɦ
अनिश्चित	ə n̪ ɪ ʃ t͡ʃ ɪ t̪
अनिश्चितता	ə n̪ ɪ ʃ t͡ʃ ɪ t̪̚ t̪ äː
अनुकरण	ə n̪ ʊ k ə ɾ ə̃ ɳ
अनुकूल	ə n̪ ʊ k uː l̪
अनुकूलन	ə n̪ ʊ k uː l̪ ə̃ n̪
अनुगृहीत	ə n̪ ʊ ɡ ɾ ɪ ɦ iː t̪
अनुग्रह	ə n̪ ʊ ɡ ɾ ə ɦ
अनुचित	ə n̪ ʊ t͡ʃ ɪ t̪
अनुच्छेद	ə n̪ ʊ t̚ t͡ʃʰ eː d̪
अनुज्ञप्ति	ə n̪ ʊ ɡ j ə p t̪ iː
अनुदान	ə n̪ ʊ d̪ ä̃ː n̪
अनुनय	ə n̪ ʊ n̪ ə j
अनुनाद	ə n̪ ʊ n̪ äː d̪
अनुनासिक	ə n̪ ʊ n̪ äː s̪ ɪ k
अनुनासिकता	ə n̪ ʊ n̪ äː s̪ ɪ k t̪ äː
अनुपजाऊ	ə n̪ ʊ p d͡ʒ äː uː
अनुपम	ə n̪ ʊ p ə̃ m
अनुपयोगी	ə n̪ ʊ p j oː ɡ iː
अनुपस्थित	ə n̪ ʊ p ə s̪ t̪ʰ ɪ t̪
अनुपस्थिति	ə n̪ ʊ p ə s̪ t̪ʰ ɪ t̪ iː
अनुपात	ə n̪ ʊ p äː t̪
अनुपूरक	ə n̪ ʊ p uː ɾ ə k
अनुप्रयुक्त	ə n̪ ʊ p ɾ ə j ʊ k t̪
अनुप्रास	ə n̪ ʊ p ɾ äː s̪
अनुभव	ə n̪ ʊ bʱ ə ʋ
अनुभवी	ə n̪ ʊ bʱ ə ʋ iː
अनुभूति	ə n̪ ʊ bʱ uː t̪ iː
अनुमति	ə n̪ ʊ m ə t̪ iː
अनुमान	ə n̪ ʊ m ä̃ː n̪
अनुमानतः	ə n̪ ʊ m ä̃ː n̪ t̪ ə ɦ
अनुमानित	ə n̪ ʊ m äː n̪ ɪ t̪
अनुमेय	ə n̪ ʊ m eː j
अनुमोदन	ə n̪ ʊ m oː d̪ ə̃ n̪
अनुमोदित	ə n̪ ʊ m oː d̪ ɪ t̪
अनुयायी	ə n̪ ʊ j äː j iː
अनुरक्षण	ə n̪ ʊ ɾ ə k ʃ ə̃ ɳ
अनुरागहीनता	ə n̪ ʊ ɾ äː ɡ ɦ ĩː n̪ t̪ äː
अनुरूप	ə n̪ ʊ ɾ uː p
अनुरोध	ə n̪ ʊ ɾ oː d̪ʱ
अनुवांशिक	ə n̪ ʊ ʋ ä̃ː n̪ ʃ ɪ k
अनुवांशिकी	ə n̪ ʊ ʋ ä̃ː n̪ ʃ ɪ k iː
अनुवाद	ə n̪ ʊ ʋ äː d̪
अनुवादक	ə n̪ ʊ ʋ äː d̪ ə k
अनुवादित	ə n̪ ʊ ʋ äː d̪ ɪ t̪
अनुशासन	ə n̪ ʊ ʃ äː s̪ ə̃ n̪
अनुशासित	ə n̪ ʊ ʃ äː s̪ ɪ t̪
अनुशीलन	ə n̪ ʊ ʃ iː l̪ ə̃ n̪
अनुष्ठान	ə n̪ ʊ ʃ ʈʰ ä̃ː n̪
अनुसंधान	ə n̪ ʊ s̪ ə̃ n̪ d̪ʱ ä̃ː n̪
अनुसरण	ə n̪ ʊ s̪ ə ɾ ə̃ ɳ
अनुस्वार	ə n̪ ʊ s̪ ʋ äː ɾ
अनूठा	ə n̪ uː ʈʰ äː
अनूदित	ə n̪ uː d̪ ɪ t̪
अनूप	ə n̪ uː p
अनेक	ə n̪ eː k
अनेकता	ə n̪ eː k t̪ äː
अनेकानेक	ə n̪ eː k äː n̪ eː k
अनौपचारिक	ə n̪ ɔː p t͡ʃ äː ɾ ɪ k
अन्त	ə̃ n̪ t̪
अन्तरिक्ष	ə̃ n̪ t̪ ə ɾ ɪ k ʃ
अन्तर्गत	ə̃ n̪ t̪ ə ɾ ɡ ə t̪
अन्दर	ə̃ n̪ d̪ ə ɾ
अन्न	ə̃ n̪ n̪ᵊ
अन्य	ə̃ n̪ j ə
अन्यथा	ə̃ n̪ j ə t̪ʰ äː
अन्याय	ə̃ n̪ j äː j
अन्यायपूर्ण	ə̃ n̪ j äː j p uː ɾ ɳ
अन्यायी	ə̃ n̪ j äː j iː
अपकार	ə p k äː ɾ
अपक्व	ə p ə k w ə
अपना	ə p n̪ äː
अपमान	ə p m ä̃ː n̪
अपमानजनक	ə p m ä̃ː n̪ d͡ʒ ə n̪ ə k
अपमानित	ə p m äː n̪ ɪ t̪
अपराध	ə p ɾ äː d̪ʱ
अपराधिनी	ə p ɾ äː d̪ʱ ɪ n̪ iː
अपराधी	ə p ɾ äː d̪ʱ iː
अपरिपक्व	ə p ɾ ɪ p ə k wᵊ
अपर्याप्त	ə p ə ɾ j äː p t̪
अपलक	ə p ə l̪ ə k
अपवाद	ə p w äː d̪
अपव्यय	ə p w j ə j
अपशकुन	ə p ʃ ə k ʊ̃ n̪
अपसामान्य	ə p s̪ äː m ä̃ː n̪ jᵊ
अपहरण	ə p ɦ ə ɾ ə̃ ɳ
अपहर्ता	ə pʰ ə ɾ t̪ äː
अपाहिज	ə p äː ɦ ɪ d͡ʒ
अपेक्षा	ə p eː k ʃ äː
अपेक्षाकृत	ə p eː k ʃ äː k ɾ ɪ t̪
अपेक्षित	ə p eː k ʃ ɪ t̪
अपॉइंटमेंट	ə p ɔ ɪ̃ ɳ ʈ m ẽː ɳ ʈ
अप्रकाशित	ə p ɾ ə k äː ʃ ɪ t̪
अप्रचलित	ə p ɾ ə t͡ʃ ə l̪ ɪ t̪
अप्रत्यक्ष	ə p ɾ ə t̪ j ə k ʃ
अप्रत्याशित	ə p ɾ ə t̪ j äː ʃ ɪ t̪
अप्रसन्न	ə p ɾ ə s̪ ə̃ n̪ n̪ᵊ
अप्रैल	ə p ɾ ɛː l̪
अप्सरा	ə p s̪ ə ɾ äː
अफगानिस्तान	ə f ɣ äː n̪ ɪ s̪ t̪ ä̃ː n̪
अफगानिस्तान	ə pʰ ɡ äː n̪ ɪ s̪ t̪ ä̃ː n̪
अफरना	ə pʰ ə ɾ n̪ äː
अफसर	ə f s̪ ə ɾ
अफसर	ə pʰ s̪ ə ɾ
अफ़लातून	ə f l̪ äː t̪ ũː n̪
अफ़लातून	ə pʰ l̪ äː t̪ ũː n̪
अफ़वाह	ə f ʋ äː ɦ
अफ़वाह	ə pʰ ʋ äː ɦ
अफ़सर	ə f s̪ ə ɾ
अफ़सर	ə pʰ s̪ ə ɾ
अफ़साना	ə f s̪ äː n̪ äː
अफ़साना	ə pʰ s̪ äː n̪ äː
अफ़सोसजनक	ə f s̪ oː s̪ d͡ʒ ə n̪ ə k
अफ़सोसजनक	ə pʰ s̪ oː s̪ d͡ʒ ə n̪ ə k
अफ़ीम	ə f ĩː m
अफ़ीम	ə pʰ ĩː m
अफ़ीमची	ə f ĩː m t͡ʃ iː
अफ़ीमची	ə pʰ ĩː m t͡ʃ iː
अफ़्ग़ानिस्तान	ə f ɣ äː n̪ ɪ s̪ t̪ ä̃ː n̪
अफ़्ग़ानिस्तान	ə pʰ ɡ äː n̪ ɪ s̪ t̪ ä̃ː n̪
अफ़्रीका	ə f ɾ iː k äː
अफ़्रीका	ə pʰ ɾ iː k äː
अफ़्साना	ə f s̪ äː n̪ äː
अफ़्साना	ə pʰ s̪ äː n̪ äː
अफीम	ə f ĩː m
अफीम	ə pʰ ĩː m
अबटाबाद	ə b ʈ äː b äː d̪
अबाबील	ə b äː b iː l̪
अबिचल	ə b ɪ t͡ʃ ə l̪
अबिवात्त	ə b ɪ ʋ äː t̪ t̪
अब्बा	ə b̚ b äː
अभयारण्य	ə bʱ j äː ɾ ə̃ ɳ jᵊ
अभागा	ə bʱ äː ɡ äː
अभाव	ə bʱ äː ʋ
अभिकथन	ə bʱ ɪ k ə t̪ʰ ə̃ n̪
अभिकलित्र	ə bʱ ɪ k ə l̪ ɪ t̪ ɾᵊ
अभिकारक	ə bʱ ɪ k äː ɾ ə k
अभिक्रिया	ə bʱ ɪ k ɾ i j äː
अभिगम	ə bʱ ɪ ɡ ə̃ m
अभिनंदन	ə bʱ ɪ n̪ ə̃ n̪ d̪ ə̃ n̪
अभिनय	ə bʱ ɪ n̪ ə j
अभिनेता	ə bʱ ɪ n̪ eː t̪ äː
