अं	ə̃
खँग्वःसफू	kʰ ə̃ ɡ w əː s ə pʰ uː
खँत्वा	kʰ ə̃ t w a
खा	kʰ a
खाखिपः	kʰ a kʰ i p əː
खाता	kʰ a t a
खि	kʰ i
खिचा	kʰ i t͡ɕ a
खिपः	kʰ i p əː
खुकुं	kʰ u k ũ
खुसि	kʰ u s i
ख्युं	kʰ j ũ
ख्वबि	kʰ w ə b i
ख्वल्चाघाँय्	kʰ w ə l t͡ɕ a ɡʱ ã j
ख्वाः	kʰ w aː
गंल्वय्	ɡ ə̃ l w ə j
गःपः	ɡ əː p əː
गल्छि	ɡ ə l t͡ɕʰ i
गल्लिछि	ɡ ə l l i t͡ɕʰ i
गसा	ɡ ə s a
गसु	ɡ ə s u
गा	ɡ a
गालि	ɡ a l i
गिसा	ɡ i s a
गुँजला	ɡ ũ d͡ʑ ə l a
गुं	ɡ ũ
गुनकेरा	ɡ u n ə k e r a
गेँसु	ɡ ẽ s u
ग्याना	ɡ j a n a
ग्याये	ɡ j a j e
ग्वालि	ɡ w a l i
घः	ɡʱ əː
घःचा	ɡʱ əː t͡ɕ a
घाँय्	ɡʱ ã j
घाः	ɡʱ aː
घौ	ɡʱ ə u
ङ	ŋ ə
चा	t͡ɕ a
चाःति	t͡ɕ aː t i
चाकः	t͡ɕ a k əː
चाकुहि	t͡ɕ a k u h i
चासु	t͡ɕ a s u
चाहिलिगु	t͡ɕ a h i l i ɡ u
चि	t͡ɕ i
चिं	t͡ɕ ĩ
चिकं	t͡ɕ i k ə̃
चिकंसि	t͡ɕ i k ə̃ s i
चिकित्सक	t͡ɕ i k i t s ə k
चिकित्सालय	t͡ɕ i k i t s a l ə j ə
चीन	t͡ɕ iː n
चुसि	t͡ɕ u s i
च्याकुं	t͡ɕ j a k ũ
च्वखँ	t͡ɕ w ə kʰ ə̃
च्वये	t͡ɕ w ə j e
च्वल्वहं	t͡ɕ w ə l w ə h ə̃
च्वापुखु	t͡ɕ w a p u kʰ u
च्वापुगुं	t͡ɕ w a p u ɡ ũ
च्वापुहुर	t͡ɕ w a p u h u r
च्वाम्वःसा	t͡ɕ w a m w əː s a
च्वेगु	t͡ɕ w e ɡ u
छ	t͡ɕʰ ə
छिगु	t͡ɕʰ i ɡ u
छेँ	t͡ɕʰ ẽ
छेंगू	t͡ɕʰ e ŋ ɡ uː
छ्यं	t͡ɕʰ j ə̃
जः	d͡ʑ əː
जलासें	d͡ʑ ə l a s ẽ
जवाःज्या	d͡ʑ ə w aː d͡ʑ j a
जाकि	d͡ʑ a k i
जि	d͡ʑ i
जिलंज्या	d͡ʑ i l ə ɲ d͡ʑ j a
जीस्वां	d͡ʑ iː s w ã
जुजु	d͡ʑ u d͡ʑ u
जुये	d͡ʑ u j e
झंगः	d͡ʑʱ ə ŋ ɡ əː
झासु	d͡ʑʱ a s u
झिगु	d͡ʑʱ i ɡ u
झ्याः	d͡ʑʱ j aː
झ्वलझंगः	d͡ʑʱ w ə l ə d͡ʑʱ ə ŋ ɡ əː
झ्वाला	d͡ʑʱ w a l a
झ्वास्या	d͡ʑʱ w a s j a
ड्वाकु	ɖ w a k u
तँय्	t ə̃ j
तं	t ə̃
तःहाःनगु	t əː h aː n ə ɡ u
तकुस्वां	t ə k u s w ã
तछ्व	t ə t͡ɕʰ w ə
तजिलजि	t ə d͡ʑ i l ə d͡ʑ i
तथ्याङ्क	t ə tʰ j a ŋ k ə
तनेज्या	t ə n e d͡ʑ j a
तपाय्	t ə p a j
तरवार	t ə r ə w a r
ता	t a
ताल्ला	t a l l a
ति	t i
तिँधुँ	t ĩ dʱ ũ
तिबः	t i b əː
तिमिला	t i m i l a
तिसा	t i s a
तीमा	t iː m a
तुकं	t u k ə̃
तुति	t u t i
तुपः	t u p əː
तुयु	t u j u
त्वँसा	t w ə̃ s a
थां	tʰ ã
थाय्	tʰ a j
थिँभः	tʰ ĩ bʱ əː
थ्व	tʰ w ə
दँ	d ə̃
दथु	d ə tʰ u
दनासु	d ə n a s u
दबलि	d ə b ə l i
दबू	d ə b uː
दां	d ã
दाः	d aː
दिं	d ĩ
दुगःक्वँय्	d u ɡ əː k w ə̃ j
दुगु	d u ɡ u
दुरु	d u r u
दुरुल्वहं	d u r u l w ə h ə̃
दुसिका	d u s i k a
दुसे	d u s e
देय्	d e j
द्यःख्यालः	d j əː kʰ j a l əː
द्वहँ	d w ə h ə̃
धर्म	dʱ ə r m ə
धुँ	dʱ ũ
ध्यबा	dʱ j ə b a
ध्वः	dʱ w əː
ध्वायेज्या	dʱ w a j e d͡ʑ j a
नँ	n ə̃
नकिं	n ə k ĩ
नखः	n ə kʰ əː
नगर	n ə ɡ ə r
नगु	n ə ɡ u
नगुमां	n ə ɡ u m ã
नये	n ə j e
नवःघाँय्	n ə w əː ɡʱ ã j
नसात्वँसा	n ə s a t w ə̃ s a
नहाः	n ə h aː
नां	n ã
निर्वाचन	n i r w a t͡ɕ ə n
नुगः	n u ɡ əː
नुगःद्यः	n u ɡ əː d j əː
ने	n e
नेवाः	n e w aː
न्या	n j a
न्याकुं	n j a k ũ
न्वकू	n w ə k uː
न्हाय्	nʱ a j
न्हि	nʱ i
न्हिकांझंगः	nʱ i k a ɲ d͡ʑʱ ə ŋ ɡ əː
न्हु	nʱ u
न्हेकुं	nʱ e k ũ
न्हेपु	nʱ e p u
न्ह्यब्वसा	nʱ j ə b w ə s a
न्ह्याकं	nʱ j a k ə̃
न्ह्यापं	nʱ j a p ə̃
न्ह्यापंपिलि	nʱ j a p ə m p i l i
पञ्जाबी	p ə ɲ d͡ʑ a b iː
पतिं	p ə t ĩ
परमप्रभु	p ə r ə m p r ə bʱ u
पलः	p ə l əː
पलेस्वां	p ə l e s w ã
पाः	p aː
पाहां	p a h ã
पुलि	p u l i
पुलिक्वँय्	p u l i k w ə̃ j
पे	p e
पेच	p e t͡ɕ
प्यकुं	p j ə k ũ
प्याखं	p j a kʰ ə̃
प्रवेग	p r ə w e ɡ
प्वलाख	p w ə l a kʰ
फइ	pʰ ə i
फय्	pʰ ə j
फय्‌खः	pʰ ə j kʰ əː
फा	pʰ a
फि	pʰ i
फिगः	pʰ i ɡ əː
फिपू	pʰ i p uː
फिसःबुँ	pʰ i s əː b ũ
फुति	pʰ u t i
बंमेय्	b ə m m e j
बःसि	b əː s i
बःहँय्	b əː h ə̃ j
बखुं	b ə kʰ ũ
बनय्‌ज्या	b ə n ə j d͡ʑ j a
बमू	b ə m uː
बला	b ə l a
बहनि	b ə h ə n i
बाः	b aː
बाजं	b a d͡ʑ ə̃
बिदा	b i d a
बुँछुँ	b ũ t͡ɕʰ ũ
बुँज्या	b ũ d͡ʑ j a
बुखँपौ	b u kʰ ə̃ p ə u
बुधबाः	b u dʱ ə b aː
बुलि	b u l i
बुसा	b u s a
बूबः	b uː b əː
बेला	b e l a
ब्यांचा	b j a ɲ t͡ɕ a
ब्यांपासि	b j a m p a s i
ब्वह	b w ə h ə
ब्वहः	b w ə h əː
भातः	bʱ a t əː
भाय्	bʱ a j
भाय्‌लचं	bʱ a j l ə t͡ɕ ə̃
भाषा	bʱ a ʂ a
भुखा	bʱ u kʰ a
भुखाचा	bʱ u kʰ a t͡ɕ a
भुतू	bʱ u t uː
भुयु	bʱ u j u
भुलूखा	bʱ u l uː kʰ a
भूगोल	bʱ uː ɡ o l
भौ	bʱ ə u
भ्वं	bʱ w ə̃
भ्वय्	bʱ w ə j
मंगलबाः	m ə ŋ ɡ ə l ə b aː
मचा	m ə t͡ɕ a
मतिना	m ə t i n a
मतैक्य	m ə t ə i k j ə
मपउ	m ə p ə u
मयैगु	m ə j ə i ɡ u
महाराष्ट्र	m ə h a r a ʂ ʈ r ə
मा	m a
माँ	m ã
माकःधुँ	m a k əː dʱ ũ
मि	m i
मिखा	m i kʰ a
मिजंमचा	m i d͡ʑ ə m m ə t͡ɕ a
मिपुचः	m i p u t͡ɕ əː
मिसामचा	m i s a m ə t͡ɕ a
मुगः	m u ɡ əː
मे	m e
मेय्	m e j
म्ये	m j e
म्वाय्	m w a j
म्हकुचा	mʱ ə k u t͡ɕ a
म्हगःस	mʱ ə ɡ əː s
म्हासु	mʱ a s u
म्हुतु	mʱ u t u
म्हुतुसि	mʱ u t u s i
म्ह्याय्	mʱ j a j
म्ह्य्‌खा	mʱ j kʰ a
या	j a
यासु	j a s u
येँ	j ẽ
येत्	j e t
रङ्ग	r ə ŋ ɡ ə
लँ	l ə̃
लः	l əː
लःखः	l əː kʰ əː
लइँचा	l ə̃ i t͡ɕ a
लगानी	l ə ɡ a n iː
लघ्वातु	l ə ɡʱ w a t u
लहना	l ə h ə n a
ला	l a
लाकां	l a k ã
लायेलामा	l a j e l a m a
ली	l iː
लुँ	l ũ
लुमन्ति	l u m ə n t i
लुसाः	l u s aː
लेताईगु	l e t a iː ɡ u
लैङ्गिक	l ə i ŋ ɡ i k
ल्याः	l j aː
ल्याःज्या	l j aː d͡ʑ j a
ल्वहं	l w ə h ə̃
ल्वहंचा	l w ə h ə ɲ t͡ɕ a
ल्वाभः	l w a bʱ əː
ल्हाः	lʱ aː
ल्ह्वकफाक	lʱ w ə k ə pʰ a k
वचु	w ə t͡ɕ u
वसः	w ə s əː
वहः	w ə h əː
वा	w a
वांगु	w a ŋ ɡ u
वासा	w a s a
विचाः	w i t͡ɕ aː
विडूर	w i ɖ uː r
शनिबाः	ɕ ə n i b aː
शुक्रबाः	ɕ u k r ə b aː
सँ	s ə̃
सँक्वः	s ə̃ k w əː
संकिपा	s ə ŋ k i p a
संदेय्	s ə n d e j
सः	s əː
सख्वाःल्वहं	s ə kʰ w aː l w ə h ə̃
सन्त्रासि	s ə n t r a s i
सफू	s ə pʰ uː
सफूधुकू	s ə pʰ uː dʱ u k uː
समाःज्वलं	s ə m aː d͡ʑ w ə l ə̃
सर्गः	s ə r ɡ əː
सल	s ə l
सलाइ	s ə l a i
सा	s a
सि	s i
सिँ	s ĩ
सिनःसिँ	s i n əː s ĩ
सिन्हः	s i nʱ əː
सियु	s i j u
सी	s iː
सीजः	s iː d͡ʑ əː
सुपाँय्	s u p ã j
सूर्द्य	s uː r d j ə
सें	s ẽ
सो	s o
सोमबाः	s o m ə b aː
स्याउ	s j a u
स्याये	s j a j e
स्व	s w ə
स्वँ	s w ə̃
स्वकुं	s w ə k ũ
स्वां	s w ã
स्वांमा	s w a m m a
स्वाने	s w a n e
हँ	h ə̃
हँय्	h ə̃ j
हताः	h ə t aː
हथं	h ə tʰ ə̃
हलिम	h ə l i m
हा	h a
हाकु	h a k u
हासा	h a s a
हि	h i
हिँकिं	h ĩ k ĩ
हिति	h i t i
हेरा	h e r a
ह्यांगु	h j a ŋ ɡ u
ह्वज्या	h w ə d͡ʑ j a
