ae	ʔ a i ˨˦
bouxsai	p o u ˦˨ θ aː i ˨˦
bouxyaej	p o u ˦˨ j a i ˥
buh	p u ˧
buhbeu	p u ˧ p eː u ˨˦
buhbing	p u ˧ p i ŋ ˨˦
buhdakhanh	p u ˧ t aː k ˧˥ h aː n ˧
bujdunghva	p u ˥ t u ŋ ˧ β a ˨˦
buzdauzyaz	p u ˧˩ t aː u ˧˩ j a ˧˩
bwn	p ɯ n ˨˦
bwt	p ɯ t ˥
bwzgingh	p ɯ ˧˩ k i ŋ ˧
bwzhaij	p ɯ ˧˩ h aː i ˥
bwzswz	p ɯ ˧˩ θ ɯ ˧˩
bya	pʲ a ˨˦
bya'ndoek	pʲ a ˨˦ ɗ o k ˥
byacaek	pʲ a ˨˦ ɕ a k ˥
byaek	pʲ a k ˥
byaekbohcaiq	pʲ a k ˥ p o ˧ ɕ aː i ˧˥
byaeklinzgaeq	pʲ a k ˥ l i n ˧˩ k a i ˧˥
byaekmbungj	pʲ a k ˥ ɓ u ŋ ˥
byagaq	pʲ a ˨˦ k a ˧˥
byagim	pʲ a ˨˦ k i m ˨˦
byahaux	pʲ a ˨˦ h aː u ˦˨
byaij	pʲ aː i ˥
byaj	pʲ a ˥
byalae	pʲ a ˨˦ l a i ˨˦
byaleix	pʲ a ˨˦ l e i ˦˨
byalingz	pʲ a ˨˦ l i ŋ ˧˩
byanouq	pʲ a ˨˦ n o u ˧˥
byaraiz	pʲ a ˨˦ ɣ aː i ˧˩
byavanx	pʲ a ˨˦ β aː n ˦˨
byayouzyiz	pʲ a ˨˦ j o u ˧˩ j i ˧˩
byoem	pʲ o m ˨˦
byoengq hangx saez	pʲ o ŋ ˧˥ h aː ŋ ˦˨ θ a i ˧˩
byoenh	pʲ o n ˧
cabceiq	ɕ aː p ˧ ɕ e i ˧˥
caekhaex	ɕ a k ˥ h a i ˦˨
caem	ɕ a m ˨˦
caencik	ɕ a n ˨˦ ɕ i k ˥
caet	ɕ a t ˥
caeuq	ɕ a u ˧˥
caezgya	ɕ a i ˧˩ kʲ a ˨˦
cag	ɕ aː k ˧
cam	ɕ aː m ˨˦
camhgyah	ɕ aː m ˧ kʲ a ˧
cancwngh	ɕ aː n ˨˦ ɕ ɯ ŋ ˧
cangh	ɕ aː ŋ ˧
canghfwen	ɕ aː ŋ ˧ f ɯː n ˨˦
canghyw	ɕ aː ŋ ˧ j ɯ ˨˦
cangz	ɕ aː ŋ ˧˩
cangzcunh	ɕ aː ŋ ˧˩ ɕ u n ˧
cangzsah	ɕ aː ŋ ˧˩ θ a ˧
cauhsi	ɕ aː u ˧ θ i ˧˥
cauj	ɕ aː u ˥
caux	ɕ aː u ˦˨
cauzsenh	ɕ aː u ˧˩ θ eː n ˧
cawx	ɕ a ɯ ˦˨
cax	ɕ a ˦˨
caz	ɕ a ˧˩
ced	ɕ eː t ˧
ceh	ɕ e ˧
ceih	ɕ e i ˧
ceij	ɕ e i ˥
ceiq	ɕ e i ˧˥
cej	ɕ e ˥
cengh	ɕ eː ŋ ˧
cenh	ɕ eː n ˧
ceuq	ɕ eː u ˧˥
cezgyangh	ɕ e ˧˩ kʲ aː ŋ ˧
ci	ɕ i ˨˦
cib	ɕ i p ˧
cib bet	ɕ i p ˧ p eː t ˧˥
cib caet	ɕ i p ˧ ɕ a t ˥
cib gouj	ɕ i p ˧ k o u ˥
cib haj	ɕ i p ˧ h a ˥
cib it	ɕ i p ˧ ʔ i t ˥
cib loeg	ɕ i p ˧ l o k ˧
cib ngeih	ɕ i p ˧ ŋ e i ˧
cib sam	ɕ i p ˧ θ aː m ˨˦
cib seiq	ɕ i p ˧ θ e i ˧˥
cibuh	ɕ i ˨˦ p u ˧
cien	ɕ iː n ˨˦
ciencwng	ɕ iː n ˨˦ ɕ ɯ ŋ ˨˦
cieng	ɕ iː ŋ ˨˦
ciengh	ɕ iː ŋ ˧
ciengq	ɕ iː ŋ ˧˥
ciengqyouz	ɕ iː ŋ ˧˥ j o u ˧˩
ciengz	ɕ iː ŋ ˧˩
cienh	ɕ iː n ˧
cienzngaenz	ɕ iː n ˧˩ ŋ a n ˧˩
cifeiz	ɕ i ˨˦ f e i ˧˩
cih	ɕ i ˧
cihsaw	ɕ i ˧ θ a ɯ ˨˦
cij	ɕ i ˥
cijgaeng	ɕ i ˥ k a ŋ ˨˦
cijvaiz	ɕ i ˥ β aː i ˧˩
cim	ɕ i m ˨˦
cinanz	ɕ i ˧˥ n aː n ˧˩
cinghhaij	ɕ i ŋ ˧ h aː i ˥
cingjsoq	ɕ i ŋ ˥ θ o ˧˥
cinz	ɕ i n ˧˩
ciq	ɕ i ˧˥
coemx	ɕ o m ˦˨
coeng	ɕ o ŋ ˨˦
coenz	ɕ o n ˧˩
cogya	ɕ o ˨˦ kʲ a ˨˦
coh	ɕ o ˧
coihnaj	ɕ oː i ˧ n a ˥
congh	ɕ oː ŋ ˧
conghcueng	ɕ oː ŋ ˧ ɕ uː ŋ ˨˦
conghlaep	ɕ oː ŋ ˧ l a p ˥
conghndaeng	ɕ oː ŋ ˧ ɗ a ŋ ˨˦
congz	ɕ oː ŋ ˧˩
cou	ɕ o u ˨˦
couh	ɕ o u ˧
couj	ɕ o u ˥
cueng	ɕ uː ŋ ˨˦
cuengh	ɕ uː ŋ ˧
cukgiuz	ɕ u k ˥ k i u ˧˩
cung	ɕ u ŋ ˨˦
cungdaeuz	ɕ u ŋ ˨˦ t a u ˧˩
cungguek	ɕ u ŋ ˨˦ k uː k ˧˥
cungguek gungcanjdangj	ɕ u ŋ ˨˦ k uː k ˧˥ k u ŋ ˨˦ ɕ aː n ˥ t aː ŋ ˥
cunghgoz	ɕ u ŋ ˧ k o ˧˩
cunghvaz	ɕ u ŋ ˧ β a ˧˩
cunghvaz yinzminz gunghozgoz	ɕ u ŋ ˧ β a ˧˩ j i n ˧˩ m i n ˧˩ k u ŋ ˧˥ h o ˧˩ k o ˧˩
cunghyoz	ɕ u ŋ ˧ j o ˧˩
cungq	ɕ u ŋ ˧˥
cungsim	ɕ u ŋ ˨˦ θ i m ˨˦
cungzcoj	ɕ u ŋ ˧˩ ɕ o ˥
cungzging	ɕ u ŋ ˧˩ k i ŋ ˧˥
cunhyenz	ɕ u n ˧ j eː n ˧˩
cuzbanj	ɕ u ˧˩ p aː n ˥
cuzbanjse	ɕ u ˧˩ p aː n ˥ θ e ˧˥
cwngci	ɕ ɯ ŋ ˧˥ ɕ i ˧˥
cwngciyoz	ɕ ɯ ŋ ˧˥ ɕ i ˧˥ j o ˧˩
cwngcouh	ɕ ɯ ŋ ˧˥ ɕ o u ˧
cwngcwz	ɕ ɯ ŋ ˨˦ ɕ ɯ ˧˩
cwngfuj	ɕ ɯ ŋ ˨˦ f u ˥
cwngzduh	ɕ ɯ ŋ ˧˩ t u ˧
cwz	ɕ ɯ ˧˩
cwzyoz	ɕ ɯ ˧˩ j o ˧˩
da	t a ˨˦
daeg	t a k ˧
daegsaek	t a k ˧ θ a k ˥
daehbuh	t a i ˧ p u ˧
daek	t a k ˥
daekdaeq	t a k ˥ t a i ˧˥
daekmax	t a k ˥ m a ˦˨
daemq	t a m ˧˥
daemz	t a m ˧˩
daengloengz	t a ŋ ˨˦ l o ŋ ˧˩
daengngoenz	t a ŋ ˨˦ ŋ o n ˧˩
daengq	t a ŋ ˧˥
daengz	t a ŋ ˧˩
daep	t a p ˥
daeuh	t a u ˧
daeuhfouh	t a u ˧ f o u ˧
daeuj	t a u ˥
daeuq	t a u ˧˥
dah	t a ˧
dahmbwn	t a ˧ ɓ ɯ n ˨˦
dai	t aː i ˨˦
daibingzyangz	t aː i ˨˦ p i ŋ ˧˩ j aː ŋ ˧˩
daigoz	t aː i ˨˦ k o ˧˩
daih	t aː i ˧
daihhag	t aː i ˧ h aː k ˧
daihyangz	t aː i ˧ j aː ŋ ˧˩
daiq	t aː i ˧˥
daiyenz	t aː i ˧˥ j eː n ˧˩
daiz	t aː i ˧˩
daizbwz	t aː i ˧˩ p ɯ ˧˩
daizvanh	t aː i ˧˩ β aː n ˧
dajcim	t a ˥ ɕ i m ˨˦
danci	t aː n ˨˦ ɕ i ˨˦
danghnaeuz	t aː ŋ ˧ n a u ˧˩
dangq	t aː ŋ ˧˥
dangqdaeuj	t aː ŋ ˧˥ t a u ˥
dangz	t aː ŋ ˧˩
dangzrwi	t aː ŋ ˧˩ ɣ ɯː i ˨˦
danq	t aː n ˧˥
dansuijvahozvuz	t aː n ˧˥ θ uː i ˥ β a ˧˥ h o ˧˩ β u ˧˩
danz	t aː n ˧˩
dauj	t aː u ˥
dawh	t a ɯ ˧
daxmeh	t a ˦˨ m e ˧
dayoz	t a ˧˥ j o ˧˩
de	t e ˨˦
deih	t e i ˧
dem	t eː m ˨˦
dem gyaeuj dem rieng	t eː m ˨˦ kʲ a u ˥ t eː m ˨˦ ɣ iː ŋ ˨˦
demh	t eː m ˧
deng	t eː ŋ ˨˦
denhcinh	t eː n ˧ ɕ i n ˧
denhvwnz	t eː n ˧ β ɯ n ˧˩
dennauj	t eː n ˨˦ n aː u ˥
densi	t eː n ˧˥ θ i ˧˥
denva	t eː n ˧˥ β a ˧˥
denyingj	t eː n ˧˥ j i ŋ ˥
di	t i ˨˦
dicuj	t i ˧˥ ɕ u ˥
dieg	t iː k ˧
diegyouq	t iː k ˧ j o u ˧˥
diemj	t iː m ˥
diemz	t iː m ˧˩
diengzhaex	t iː ŋ ˧˩ h a i ˦˨
dienh	t iː n ˧
diet	t iː t ˧˥
dijyuz	t i ˥ j u ˧˩
din	t i n ˨˦
dinghmeg	t i ŋ ˧ m eː k ˧
dinj	t i n ˥
dinz	t i n ˧˩
diuz	t i u ˧˩
doeg	t o k ˧
doek	t o k ˥
doem	t o m ˨˦
doeng	t o ŋ ˨˦
doengh	t o ŋ ˧
doenghduz	t o ŋ ˧ t u ˧˩
doenghgo	t o ŋ ˧ k o ˨˦
doenghyiengh	t o ŋ ˧ j iː ŋ ˧
doengj	t o ŋ ˥
doengxhaemh	t o ŋ ˦˨ h a m ˧
doengxhaet	t o ŋ ˦˨ h a t ˥
doengxhwnz	t o ŋ ˦˨ h ɯ n ˧˩
doengxngoenz	t o ŋ ˦˨ ŋ o n ˧˩
doengz	t o ŋ ˧˩
doengzeiq	t o ŋ ˧˩ ʔ e i ˧˥
doj	t o ˥
doq	t o ˧˥
dou	t o u ˨˦
doxgaiq	t o ˦˨ k aː i ˧˥
dub	t u p ˧
duh	t u ˧
duix	t uː i ˦˨
dungcuz	t u ŋ ˨˦ ɕ u ˧˩
dungx	t u ŋ ˦˨
dungzci	t u ŋ ˧˩ ɕ i ˧˥
duz	t u ˧˩
duzbeuq	t u ˧˩ p eː u ˧˥
duzciengh	t u ˧˩ ɕ iː ŋ ˧
duzdoengz	t u ˧˩ t o ŋ ˧˩
duzdoq	t u ˧˩ t o ˧˥
duzfix	t u ˧˩ f i ˦˨
duzgyau	t u ˧˩ kʲ aː u ˨˦
duzmbangq	t u ˧˩ ɓ aː ŋ ˧˥
duznou	t u ˧˩ n o u ˨˦
duzrug	t u ˧˩ ɣ u k ˧
duzsuhgvanj	t u ˧˩ θ u ˧ kʷ aː n ˥
duzyiuh	t u ˧˩ j i u ˧
dwg	t ɯ k ˧
dwzgoz	t ɯ ˧˩ k o ˧˩
eij	ʔ e i ˥
eiseng	ʔ e i ˨˦ θ eː ŋ ˨˦
ek	ʔ eː k ˧˥
ep	ʔ eː p ˧˥
ep meuz gwn meiq	ʔ eː p ˧˥ m eː u ˧˩ k ɯ n ˨˦ m e i ˧˥
faen	f a n ˨˦
faencung	f a n ˨˦ ɕ u ŋ ˨˦
faenz	f a n ˧˩
faeqfwj	f a i ˧˥ f ɯ ˥
faex	f a i ˦˨
faexcuk	f a i ˦˨ ɕ u k ˥
faiq	f aː i ˧˥
fangz	f aː ŋ ˧˩
fangzcwngzgangj	f aː ŋ ˧˩ ɕ ɯ ŋ ˧˩ k aː ŋ ˥
fanh	f aː n ˧
faplwd	f aː p ˧˥ l ɯ t ˧
fatcaiz	f aː t ˧˥ ɕ aː i ˧˩
fatseng	f aː t ˧˥ θ eː ŋ ˨˦
fatyaem	f aː t ˧˥ j a m ˨˦
fax	f a ˦˨
faz	f a ˧˩
fazgoz	f a ˧˩ k o ˧˩
feih	f e i ˧
feihcouh	f e i ˧ ɕ o u ˧
feihgih	f e i ˧ k i ˧
feihlizbinh	f e i ˧ l i ˧˩ p i n ˧
feiyenz	f e i ˧˥ j eː n ˧˩
feiz	f e i ˧˩
fouj	f o u ˥
fouq	f o u ˧˥
fouz	f o u ˧˩
fuengbienh	f uː ŋ ˨˦ p iː n ˧
fuengz	f uː ŋ ˧˩
funghvuengz	f u ŋ ˧ β uː ŋ ˧˩
fuz	f u ˧˩
fuzcouh	f u ˧˩ ɕ o u ˧
fuzgen	f u ˧˩ k eː n ˧˥
fuzsanh	f u ˧˩ θ aː n ˧
fw	f ɯ ˨˦
fwed	f ɯː t ˧
fwen	f ɯː n ˨˦
fwj	f ɯ ˥
fwn	f ɯ n ˨˦
fwngz	f ɯ ŋ ˧˩
fwngzyinx	f ɯ ŋ ˧˩ j i n ˦˨
ga	k a ˨˦
gaej	k a i ˥
gaemmeg	k a m ˨˦ m eː k ˧
gaemxgienz	k a m ˦˨ k iː n ˧˩
gaeng	k a ŋ ˨˦
gaenh	k a n ˧
gaeq	k a i ˧˥
gaeqboux	k a i ˧˥ p o u ˦˨
gaeqhangh	k a i ˧˥ h aː ŋ ˧
gaeqmeh	k a i ˧˥ m e ˧
gaeqseng	k a i ˧˥ θ eː ŋ ˨˦
gaeu	k a u ˨˦
gag	k aː k ˧
gaggaj	k aː k ˧ k a ˥
gahfeih	k a ˧ f e i ˧
gai	k aː i ˨˦
gaiq	k aː i ˧˥
gaiq gaiq	k aː i ˧˥ k aː i ˧˥
gaiqgaiq	k aː i ˧˥ k aː i ˧˥
gaj	k a ˥
gajlaeng	k a ˥ l a ŋ ˨˦
gakcungj	k aː k ˧˥ ɕ u ŋ ˥
gamj	k aː m ˥
gamjcingz	k aː m ˥ ɕ i ŋ ˧˩
gangj	k aː ŋ ˥
ganhsuz	k aː n ˧ θ u ˧˩
gauhgiz	k aː u ˧ k i ˧˩
gauhgiz cunghyoz	k aː u ˧ k i ˧˩ ɕ u ŋ ˧ j o ˧˩
gaujvaq	k aː u ˥ β a ˧˥
gawq	k a ɯ ˧˥
geijlai	k e i ˥ l aː i ˨˦
geiz	k e i ˧˩
geizhanh	k e i ˧˩ h aː n ˧
gemj	k eː m ˥
gen	k eː n ˨˦
genzli	k eː n ˧˩ l i ˧˥
geuz	k eː u ˧˩
gi'gvanh	k i ˨˦ kʷ aː n ˧
giceh	k i ˧˥ ɕ e ˧
gieng	k iː ŋ ˨˦
gienz	k iː n ˧˩
gig	k i k ˧
gih	k i ˧
gihgvanh	k i ˧ kʷ aː n ˧
gij	k i ˥
gijgwn	k i ˥ k ɯ n ˨˦
gijmaz	k i ˥ m a ˧˩
gijngoz	k i ˥ ŋ o ˧˩
gik	k i k ˥
gim	k i m ˨˦
gimqcij	k i m ˧˥ ɕ i ˥
ginghcuz	k i ŋ ˧ ɕ u ˧˩
gingj	k i ŋ ˥
gingj boemx loengx	k i ŋ ˥ p o m ˦˨ l o ŋ ˦˨
gingjcaz	k i ŋ ˥ ɕ a ˧˩
gingqda	k i ŋ ˧˥ t a ˨˦
gingsingz	k i ŋ ˨˦ θ i ŋ ˧˩
ginhcouh	k i n ˧ ɕ o u ˧
ginzcaiq	k i n ˧˩ ɕ aː i ˧˥
giujdin	k i u ˥ t i n ˨˦
giuz	k i u ˧˩
gizcangj	k i ˧˩ ɕ aː ŋ ˥
gizlinz	k i ˧˩ l i n ˧˩
go	k o ˨˦
godumh	k o ˨˦ t u m ˧
goemz	k o m ˧˩
goeng	k o ŋ ˨˦
goengda	k o ŋ ˨˦ t a ˨˦
goengleix	k o ŋ ˨˦ l e i ˦˨
goep	k o p ˥
gohyoz	k o ˧ j o ˧˩
gojsiz	k o ˥ θ i ˧˩
golinxvaiz	k o ˨˦ l i n ˦˨ β aː i ˧˩
golinzgaeq	k o ˨˦ l i n ˧˩ k a i ˧˥
got	k oː t ˧˥
gou	k o u ˨˦
gouh	k o u ˧
gouj	k o u ˥
goujcau	k o u ˥ ɕ aː u ˧˥
goujyanghdangz	k o u ˥ j aː ŋ ˧ t aː ŋ ˧˩
gozciz	k o ˧˩ ɕ i ˧˩
guek	k uː k ˧˥
guekgya	k uː k ˧˥ kʲ a ˨˦
guengjdoeng	k uː ŋ ˥ t o ŋ ˨˦
guengjsae	k uː ŋ ˥ θ a i ˨˦
guenjleix	k uː n ˥ l e i ˦˨
guh	k u ˧
guhduh	k u ˧ t u ˧
guk	k u k ˥
gun	k u n ˨˦
gung	k u ŋ ˨˦
gungcanj	k u ŋ ˧˥ ɕ aː n ˥
gungcanjcujyi	k u ŋ ˧˥ ɕ aː n ˥ ɕ u ˥ j i ˧˥
gungcanjcujyicej	k u ŋ ˧˥ ɕ aː n ˥ ɕ u ˥ j i ˧˥ ɕ e ˥
gungcanjdangj	k u ŋ ˧˥ ɕ aː n ˥ t aː ŋ ˥
gungh'anhgiz	k u ŋ ˧ ʔ aː n ˧ k i ˧˩
gunghcoz	k u ŋ ˧ ɕ o ˧˩
gunghminz	k u ŋ ˧ m i n ˧˩
gunghozgoz	k u ŋ ˧˥ h o ˧˩ k o ˧˩
gunghswh	k u ŋ ˧ θ ɯ ˧
gungjcoz	k u ŋ ˥ ɕ o ˧˩
gungq	k u ŋ ˧˥
gunhmingz	k u n ˧ m i ŋ ˧˩
gva	kʷ a ˨˦
gvak	kʷ aː k ˧˥
gvangjcouh	kʷ aː ŋ ˥ ɕ o u ˧
gvangjdungh	kʷ aː ŋ ˥ t u ŋ ˧
gvangjsih	kʷ aː ŋ ˥ θ i ˧
gvangq	kʷ aː ŋ ˧˥
gvaq	kʷ a ˧˥
gvaz	kʷ a ˧˩
gvehoengz	kʷ e ˨˦ h o ŋ ˧˩
gveicouh	kʷ e i ˧˥ ɕ o u ˧
gveigangj	kʷ e i ˧˥ k aː ŋ ˥
gveilinz	kʷ e i ˧˥ l i n ˧˩
gveiyangz	kʷ e i ˧˥ j aː ŋ ˧˩
gvej	kʷ e ˥
gvi	kʷ i ˨˦
gwd	k ɯ t ˧
gwh	k ɯ ˧
gwih	k ɯː i ˧
gwn	k ɯ n ˨˦
gwn haeux rog	k ɯ n ˨˦ h a u ˦˨ ɣ oː k ˧
gwnz	k ɯ n ˧˩
gwz	k ɯ ˧˩
gwzlaujcuz	k ɯ ˧˩ l aː u ˥ ɕ u ˧˩
gwzlujgizya	k ɯ ˧˩ l u ˥ k i ˧˩ j a ˨˦
gyae	kʲ a i ˨˦
gyaep	kʲ a p ˥
gyaeq	kʲ a i ˧˥
gyaeqhak	kʲ a i ˧˥ h aː k ˧˥
gyaeqhenj	kʲ a i ˧˥ h eː n ˥
gyaeu	kʲ a u ˨˦
gyaeuj	kʲ a u ˥
gyaeujhoq	kʲ a u ˥ h o ˧˥
gyaez	kʲ a i ˧˩
gyahfeih	kʲ a ˧ f e i ˧
gyahnazda	kʲ a ˧ n a ˧˩ t a ˧˥
gyanghaemh	kʲ aː ŋ ˨˦ h a m ˧
gyanghsih	kʲ aː ŋ ˧ θ i ˧
gyanghsuh	kʲ aː ŋ ˧ θ u ˧
gyanghwnz	kʲ aː ŋ ˨˦ h ɯ n ˧˩
gyangngoenz	kʲ aː ŋ ˨˦ ŋ o n ˧˩
gyaq	kʲ a ˧˥
gyau	kʲ aː u ˨˦
gyauvei	kʲ aː u ˧˥ β e i ˧˥
gyauyuz	kʲ aː u ˨˦ j u ˧˩
gyawj	kʲ a ɯ ˥
gyoengq	kʲ o ŋ ˧˥
gyoengqde	kʲ o ŋ ˧˥ t e ˨˦
gyoij	kʲ oː i ˥
gyong	kʲ oː ŋ ˨˦
gyu	kʲ u ˨˦
haemh	h a m ˧
haemhneix	h a m ˧ n e i ˦˨
haemz	h a m ˧˩
haeuj	h a u ˥
haeux	h a u ˦˨
haeuxyangz	h a u ˦˨ j aː ŋ ˧˩
haex	h a i ˦˨
hagdangz	h aː k ˧ t aː ŋ ˧˩
hagseng	h aː k ˧ θ eː ŋ ˨˦
hah'wjbinh	h a ˧ ʔ ɯ ˥ p i n ˧
hai	h aː i ˨˦
haih	h aː i ˧
haij	h aː i ˥
haijdai	h aː i ˥ t aː i ˨˦
haijgouj	h aː i ˥ k o u ˥
haijnanz	h aː i ˥ n aː n ˧˩
haiz	h aː i ˧˩
haj	h a ˥
hangh	h aː ŋ ˧
hangz	h aː ŋ ˧˩
hangzcouh	h aː ŋ ˧˩ ɕ o u ˧
hanq	h aː n ˧˥
hanzgoz	h aː n ˧˩ k o ˧˩
hau	h aː u ˨˦
hauh	h aː u ˧
hauxseng	h aː u ˦˨ θ eː ŋ ˨˦
hawj	h a ɯ ˥
hawq	h a ɯ ˧˥
hawsingz	h a ɯ ˨˦ θ i ŋ ˧˩
hawsingz guenjleix	h a ɯ ˨˦ θ i ŋ ˧˩ k uː n ˥ l e i ˦˨
heiq	h e i ˧˥
heiqhaeuh	h e i ˧˥ h a u ˧
hek	h eː k ˧˥
heu	h eː u ˨˦
heuh	h eː u ˧
heuj	h eː u ˥
hing	h i ŋ ˨˦
hix	h i ˦˨
ho	h o ˨˦
hocouh	h o ˧˥ ɕ o u ˧
hoengjlungz	h o ŋ ˥ l u ŋ ˧˩
hoengq	h o ŋ ˧˥
hoengz	h o ŋ ˧˩
hoenx	h o n ˦˨
hoiq	h oː i ˧˥
hoj	h o ˥
hojceh	h o ˥ ɕ e ˧
hong	h oː ŋ ˨˦
hoz	h o ˧˩
hozbwz	h o ˧˩ p ɯ ˧˩
hozciz	h o ˧˩ ɕ i ˧˩
hozfeiz	h o ˧˩ f e i ˧˩
hozlanz	h o ˧˩ l aː n ˧˩
hoznamz	h o ˧˩ n aː m ˧˩
hoznanz	h o ˧˩ n aː n ˧˩
hucau	h u ˨˦ ɕ aː u ˨˦
huhhozhaudwz	h u ˧ h o ˧˩ h aː u ˨˦ t ɯ ˧˩
hung	h u ŋ ˨˦
husw	h u ˧˥ θ ɯ ˧˥
huz	h u ˧˩
huzbwz	h u ˧˩ p ɯ ˧˩
huznamz	h u ˧˩ n aː m ˧˩
huznanz	h u ˧˩ n aː n ˧˩
hwet	h ɯː t ˧˥
hwk	h ɯ k ˥
hwnj	h ɯ n ˥
hwnz	h ɯ n ˧˩
hwzlungzgyangh	h ɯ ˧˩ l u ŋ ˧˩ kʲ aː ŋ ˧
ien	ʔ iː n ˨˦
imq	ʔ i m ˧˥
iq	ʔ i ˧˥
it	ʔ i t ˥
itdingh	ʔ i t ˥ t i ŋ ˧
ityiengh	ʔ i t ˥ j iː ŋ ˧
iucij	ʔ i u ˨˦ ɕ i ˥
lab	l aː p ˧
laeg	l a k ˧
laehcei	l a i ˧ ɕ e i ˨˦
laeng	l a ŋ ˨˦
laep	l a p ˥
laeuj	l a u ˥
laeujbizciuj	l a u ˥ p i ˧˩ ɕ i u ˥
lahsaz	l a ˧ θ a ˧˩
lai	l aː i ˨˦
laizbinh	l aː i ˧˩ p i n ˧
laj	l a ˥
lajmbwn	l a ˥ ɓ ɯ n ˨˦
lan	l aː n ˨˦
langh bit roengz raemx	l aː ŋ ˧ p i t ˥ ɣ o ŋ ˧˩ ɣ a m ˦˨
lanmbwk	l aː n ˨˦ ɓ ɯ k ˥
lansai	l aː n ˨˦ θ aː i ˨˦
lanz	l aː n ˧˩
lanzcouh	l aː n ˧˩ ɕ o u ˧
laujvoh	l aː u ˥ β o ˧
lauxbaeg	l aː u ˦˨ p a k ˧
lauxbaeghoengz	l aː u ˦˨ p a k ˧ h o ŋ ˧˩
lauxsae	l aː u ˦˨ θ a i ˨˦
lauz	l aː u ˧˩
lek	l eː k ˧˥
lenzbangh	l eː n ˧˩ p aː ŋ ˧
lenzhozgoz	l eː n ˧˩ h o ˧˩ k o ˧˩
lieng	l iː ŋ ˨˦
liengz	l iː ŋ ˧˩
liengzsim	l iː ŋ ˧˩ θ i m ˨˦
lienh	l iː n ˧
lienzhab	l iː n ˧˩ h aː p ˧
