aaleniano	aleˈnjano
abejarrón	abexaˈron
abejorreada	abexoreˈada
abejorrear	abexoreˈaɾ
abemoladas	abemoˈladas
aberrado	abeˈrado
aberrados	abeˈrados
aberrante	abeˈrante
aberrar	abeˈraɾ
abertura	aberˈtuɾa
abés	aˈbes
abiertamente	abjertaˈmente
abigarramiento	abiɡaraˈmjento
abiótico	aˈbjotiko
abisagradas	abisaˈɡɾadas
abisagrados	abisaˈɡɾados
abjaso	abˈxaso
abjurados	abxuˈɾados
abjuramos	abxuˈɾamos
abjurar	abxuˈɾaɾ
abjure	abˈxuɾe
abjuro	abˈxuɾo
ablacionado	ablaθjoˈnado
ablacionado	ablasjoˈnado
ablandado	ablanˈdado
ablandamiento	ablandaˈmjento
ablandar	ablanˈdaɾ
ablandarse	ablanˈdarse
ablución	abluˈθjon
ablución	abluˈsjon
abluida	aˈblwida
abluido	aˈblwido
abnegación	abneɡaˈθjon
abnegación	abneɡaˈsjon
abnegar	abneˈɡaɾ
abobado	aboˈbado
abocadas	aboˈkadas
abocados	aboˈkados
abocinado	aboθiˈnado
abocinado	abosiˈnado
abogado	aboˈɡado
abolicionista	aboliθjoˈnista
abolicionista	abolisjoˈnista
abolir	aboˈliɾ
abombarse	abomˈbarse
abominable	abomiˈnable
abominada	abomiˈnada
abominar	abomiˈnaɾ
abordable	aborˈdable
abordada	aborˈdada
abordar	aborˈdaɾ
abordaras	aborˈdaɾas
abordares	aborˈdaɾes
abordaste	aborˈdaste
abordes	aˈbordes
aborigen	aboˈɾixen
aboriginal	aboɾixiˈnal
aborrecíamos	aboreˈθiamos
aborrecíamos	aboreˈsiamos
aborrecidas	aboreˈθidas
aborrecidas	aboreˈsidas
abortadas	aborˈtadas
abortara	aborˈtaɾa
abortas	aˈbortas
abortistas	aborˈtistas
aboyada	aboˈɟ͡ʝada
aboyadas	aboˈɟ͡ʝadas
abra	ˈabɾa
abrasada	abɾaˈsada
abrasadora	abɾasaˈdoɾa
abrasar	abɾaˈsaɾ
abrasaríamos	abɾasaˈɾiamos
abrase	aˈbɾase
abrasé	abɾaˈse
abrazada	abɾaˈθada
abrazada	abɾaˈsada
abrazadora	abɾaθaˈdoɾa
abrazadora	abɾasaˈdoɾa
abrazo	aˈbɾaθo
abrazo	aˈbɾaso
abre	ˈabɾe
abrebotellas	abɾeboˈteʎas
abrebotellas	abɾeboˈteɟ͡ʝas
ábrego	ˈabɾeɡo
abrevadero	abɾebaˈdeɾo
abreviada	abɾeˈbjada
abrevias	aˈbɾebjas
abríamos	aˈbɾiamos
abrigado	abɾiˈɡado
abrigaño	abɾiˈɡaɲo
abrigar	abɾiˈɡaɾ
ábrigo	ˈabɾiɡo
abrillantar	abɾiʎanˈtaɾ
abrillantar	abɾiɟ͡ʝanˈtaɾ
abrogable	abɾoˈɡable
abrogadas	abɾoˈɡadas
abrogados	abɾoˈɡados
abrojo	aˈbɾoxo
abroncados	abɾonˈkados
abrotoñar	abɾotoˈɲaɾ
abrumadas	abɾuˈmadas
abscedamos	absθeˈdamos
abscedamos	absseˈdamos
absconder	abskonˈdeɾ
absintio	abˈsintjo
absolutismo	absoluˈtismo
absolutizada	absolutiˈθada
absolutizada	absolutiˈsada
absolutizáramos	absolutiˈθaɾamos
absolutizáramos	absolutiˈsaɾamos
absolver	absolˈbeɾ
absolverás	absolbeˈɾas
absorber	absorˈbeɾ
absorbido	absorˈbido
abstenían	absteˈnian
abstenías	absteˈnias
abstiene	absˈtjene
abstinencia	abstiˈnenθja
abstinencia	abstiˈnensja
abstracción	abstɾaɡˈθjon
abstracción	abstɾaɡˈsjon
abstraído	abstɾaˈido
abstraídos	abstɾaˈidos
absueltas	abˈsweltas
abulia	aˈbulja
abunda	aˈbunda
abundar	abunˈdaɾ
abunde	aˈbunde
abundes	aˈbundes
aburguesado	aburɡeˈsado
aburguesamiento	aburɡesaˈmjento
abusados	abuˈsados
abuse	aˈbuse
abuses	aˈbuses
acabadas	akaˈbadas
acabado	akaˈbado
acabamiento	akabaˈmjento
acabáramos	akaˈbaɾamos
acabose	akaˈbose
acacia	aˈkaθja
acacia	aˈkasja
academia	akaˈdemja
académico	akaˈdemiko
academizadas	akademiˈθadas
academizadas	akademiˈsadas
academizados	akademiˈθados
academizados	akademiˈsados
academizando	akademiˈθando
academizando	akademiˈsando
acaecimiento	akaeθiˈmjento
acaecimiento	akaesiˈmjento
acaireladas	akaiɾeˈladas
acallado	akaˈʎado
acallado	akaˈɟ͡ʝado
acalmadas	akalˈmadas
acalmamos	akalˈmamos
acaloramiento	akaloɾaˈmjento
acamellado	akameˈʎado
acamellado	akameˈɟ͡ʝado
acampada	akamˈpada
acampadas	akamˈpadas
acampado	akamˈpado
acampados	akamˈpados
acampanado	akampaˈnado
acampar	akamˈpaɾ
acañoneada	akaɲoneˈada
acañoneados	akaɲoneˈados
acañonear	akaɲoneˈaɾ
acantilada	akantiˈlada
acaparamiento	akapaɾaˈmjento
acardenalar	akardenaˈlaɾ
acaricia	akaˈɾiθja
acaricia	akaˈɾisja
acariciado	akaɾiˈθjado
acariciado	akaɾiˈsjado
acariciando	akaɾiˈθjando
acariciando	akaɾiˈsjando
acariciares	akaɾiˈθjaɾes
acariciares	akaɾiˈsjaɾes
acariciés	akaɾiˈθjes
acariciés	akaɾiˈsjes
acarrear	akareˈaɾ
acartonado	akartoˈnado
acartonarse	akartoˈnarse
acatadas	akaˈtadas
acatados	akaˈtados
acatarrado	akataˈrado
accidental	aɡθidenˈtal
accidental	aɡsidenˈtal
accidente	aɡθiˈdente
accidente	aɡsiˈdente
aceitando	aθeiˈtando
aceitando	aseiˈtando
aceituna	aθeiˈtuna
aceituna	aseiˈtuna
aceituno	aθeiˈtuno
aceituno	aseiˈtuno
acémila	aˈθemila
acémila	aˈsemila
acemilero	aθemiˈleɾo
acemilero	asemiˈleɾo
acendrado	aθenˈdɾado
acendrado	asenˈdɾado
acendrar	aθenˈdɾaɾ
acendrar	asenˈdɾaɾ
acento	aˈθento
acento	aˈsento
aceptados	aθebˈtados
aceptados	asebˈtados
aceptor	aθebˈtoɾ
aceptor	asebˈtoɾ
aceptores	aθebˈtoɾes
aceptores	asebˈtoɾes
acerbas	aˈθerbas
acerbas	aˈserbas
acercar	aθerˈkaɾ
acercar	aserˈkaɾ
acerería	aθeɾeˈɾia
acerería	aseɾeˈɾia
acerico	aθeˈɾiko
acerico	aseˈɾiko
acerillo	aθeˈɾiʎo
acerillo	aseˈɾiɟ͡ʝo
ácero	ˈaθeɾo
ácero	ˈaseɾo
acerola	aθeˈɾola
acerola	aseˈɾola
acerolas	aθeˈɾolas
acerolas	aseˈɾolas
acerolo	aθeˈɾolo
acerolo	aseˈɾolo
acerrojadas	aθeroˈxadas
acerrojadas	aseroˈxadas
acerrojados	aθeroˈxados
acerrojados	aseroˈxados
acertante	aθerˈtante
acertante	aserˈtante
acertar	aθerˈtaɾ
acertar	aserˈtaɾ
acervo	aˈθerbo
acervo	aˈserbo
acetal	aθeˈtal
acetal	aseˈtal
acetifica	aθetiˈfika
acetifica	asetiˈfika
acetificadas	aθetifiˈkadas
acetificadas	asetifiˈkadas
acetificado	aθetifiˈkado
acetificado	asetifiˈkado
acetificar	aθetifiˈkaɾ
acetificar	asetifiˈkaɾ
acetificarás	aθetifikaˈɾas
acetificarás	asetifikaˈɾas
acetifico	aθetiˈfiko
acetifico	asetiˈfiko
acetifiquemos	aθetifiˈkemos
acetifiquemos	asetifiˈkemos
acetil	aθeˈtil
acetil	aseˈtil
acetiluro	aθetiˈluɾo
acetiluro	asetiˈluɾo
acetrero	aθeˈtɾeɾo
acetrero	aseˈtɾeɾo
achacar	at͡ʃaˈkaɾ
achampanado	at͡ʃampaˈnado
achantado	at͡ʃanˈtado
achatada	at͡ʃaˈtada
achatarrada	at͡ʃataˈrada
achichincle	at͡ʃiˈt͡ʃinkle
achín	aˈt͡ʃin
achiote	a.ˈtʃjo.te
acíclico	aˈθikliko
acíclico	aˈsikliko
acícula	aˈθikula
acícula	aˈsikula
acidifica	aθidiˈfika
acidifica	asidiˈfika
acidificada	aθidifiˈkada
acidificada	asidifiˈkada
acidificaremos	aθidifikaˈɾemos
acidificaremos	asidifikaˈɾemos
acidulando	aθiduˈlando
acidulando	asiduˈlando
aciemadas	aθjeˈmadas
aciemadas	asjeˈmadas
ácimo	ˈaθimo
ácimo	ˈasimo
acimutal	aθimuˈtal
acimutal	asimuˈtal
acitronar	aθitɾoˈnaɾ
acitronar	asitɾoˈnaɾ
aclamarás	aklamaˈɾas
aclame	aˈklame
aclamo	aˈklamo
aclarar	aklaˈɾaɾ
aclaratorio	aklaɾaˈtoɾjo
aclareo	aklaˈɾeo
aclimatados	aklimaˈtados
aclimatar	aklimaˈtaɾ
acobardados	akobarˈdados
acobardara	akobarˈdaɾa
acobardaras	akobarˈdaɾas
acobardares	akobarˈdaɾes
acobardas	akoˈbardas
acobardemos	akobarˈdemos
acodarse	akoˈdarse
acogotadas	akoɡoˈtadas
acogotar	akoɡoˈtaɾ
acojonadas	akoxoˈnadas
acojonante	akoxoˈnante
acojonar	akoxoˈnaɾ
acojonarse	akoxoˈnarse
acolada	akoˈlada
acollador	akoʎaˈdoɾ
acollador	akoɟ͡ʝaˈdoɾ
acometidas	akomeˈtidas
acometido	akomeˈtido
acomodamiento	akomodaˈmjento
acomodamos	akomoˈdamos
acomodando	akomoˈdando
acomodes	akoˈmodes
acondicionadas	akondiθjoˈnadas
acondicionadas	akondisjoˈnadas
aconfesional	akonfesjoˈnal
acontece	akonˈteθe
acontece	akonˈtese
acontecida	akonteˈθida
acontecida	akonteˈsida
acontecidos	akonteˈθidos
acontecidos	akonteˈsidos
acopiar	akoˈpjaɾ
acopladas	akoˈpladas
acoplado	akoˈplado
acoplamos	akoˈplamos
acoplas	aˈkoplas
acoplaste	akoˈplaste
acoquinar	akokiˈnaɾ
acordada	akorˈdada
acordados	akorˈdados
acordar	akorˈdaɾ
acordares	akorˈdaɾes
acordarse	akorˈdarse
acorralado	akoraˈlado
acorrer	akoˈreɾ
acortamiento	akortaˈmjento
acostillado	akostiˈʎado
acostillado	akostiˈɟ͡ʝado
acotados	akoˈtados
acotar	akoˈtaɾ
acotolada	akotoˈlada
acrecentamiento	akɾeθentaˈmjento
acrecentamiento	akɾesentaˈmjento
acrecentar	akɾeθenˈtaɾ
acrecentar	akɾesenˈtaɾ
acreción	akɾeˈθjon
acreción	akɾeˈsjon
acreditativos	akɾeditaˈtibos
acreencia	akɾeˈenθja
acreencia	akɾeˈensja
acreídas	akɾeˈidas
acrianzada	akɾjanˈθada
acrianzada	akɾjanˈsada
acribillamiento	akɾibiʎaˈmjento
acribillamiento	akɾibiɟ͡ʝaˈmjento
acribillar	akɾibiˈʎaɾ
acribillar	akɾibiˈɟ͡ʝaɾ
acrilato	akɾiˈlato
acriminados	akɾimiˈnados
acromático	akɾoˈmatiko
acrónimo	aˈkɾonimo
activa	aɡˈtiba
activos	aɡˈtibos
acto	ˈaɡto
actor	aɡˈtoɾ
actual	aɡˈtwal
actualizada	aɡtwaliˈθada
actualizada	aɡtwaliˈsada
actualizado	aɡtwaliˈθado
actualizado	aɡtwaliˈsado
actualizaríamos	aɡtwaliθaˈɾiamos
actualizaríamos	aɡtwalisaˈɾiamos
actualizases	aɡtwaliˈθases
actualizases	aɡtwaliˈsases
actuarial	aɡtwaˈɾjal
actuario	aɡˈtwaɾjo
acuartelado	akwarteˈlado
acuartelamiento	akwartelaˈmjento
acuartelar	akwarteˈlaɾ
acuatizados	akwatiˈθados
acuatizados	akwatiˈsados
acuciar	akuˈθjaɾ
acuciar	akuˈsjaɾ
acudí	akuˈdi
acuitado	akwiˈtado
aculturar	akultuˈɾaɾ
acumulación	akumulaˈθjon
acumulación	akumulaˈsjon
acumulada	akumuˈlada
acumulador	akumulaˈdoɾ
acumuladoras	akumulaˈdoɾas
acumulados	akumuˈlados
acumulamiento	akumulaˈmjento
acumulamos	akumuˈlamos
acúmulo	aˈkumulo
acuñista	akuˈɲista
acurrucados	akuruˈkados
acusando	akuˈsando
acusante	akuˈsante
adaguadas	adaˈɡwadas
Adam	aˈdam
adanista	adaˈnista
adaptación	adabtaˈθjon
adaptación	adabtaˈsjon
adaptivo	adabˈtibo
adarvada	adarˈbada
adecentamiento	adeθentaˈmjento
adecentamiento	adesentaˈmjento
Adela	aˈdela
adelantada	adelanˈtada
adelantados	adelanˈtados
adelantar	adelanˈtaɾ
adelanto	adeˈlanto
adelantón	adelanˈton
ademar	adeˈmaɾ
además	adeˈmas
adequadas	adeˈkadas
adestrada	adesˈtɾada
adeudado	adeuˈdado
adherible	adeˈɾible
adheridas	adeˈɾidas
adición	adiˈθjon
adición	adiˈsjon
adicionado	adiθjoˈnado
adicionado	adisjoˈnado
adictivamente	adiɡtibaˈmente
adiestrable	adjesˈtɾable
adiestradas	adjesˈtɾadas
adiestrar	adjesˈtɾaɾ
adinerada	adineˈɾada
adiós	aˈdjos
adiposas	adiˈposas
adiposo	adiˈposo
adivinadas	adibiˈnadas
adivinador	adibinaˈdoɾ
adjetivado	adxetiˈbado
adjetival	adxetiˈbal
adjetivando	adxetiˈbando
adjudicación	adxudikaˈθjon
adjudicación	adxudikaˈsjon
adjudicada	adxudiˈkada
adjudicados	adxudiˈkados
adjudicar	adxudiˈkaɾ
adjudicatario	adxudikaˈtaɾjo
adjuntado	adxunˈtado
adlátere	aˈdlateɾe
administradas	adminisˈtɾadas
administrar	adminisˈtɾaɾ
admira	adˈmiɾa
admirable	admiˈɾable
admirada	admiˈɾada
admirar	admiˈɾaɾ
admirara	admiˈɾaɾa
admirarás	admiɾaˈɾas
admiras	adˈmiɾas
admire	adˈmiɾe
admires	adˈmiɾes
admiro	adˈmiɾo
admisibilidad	admisibiliˈdad
admisible	admiˈsible
admonitorio	admoniˈtoɾjo
adobada	adoˈbada
adobados	adoˈbados
adobar	adoˈbaɾ
adobe	aˈdobe
adocenado	adoθeˈnado
adocenado	adoseˈnado
adocenamiento	adoθenaˈmjento
adocenamiento	adosenaˈmjento
adoctrinada	adoɡtɾiˈnada
adoctrinado	adoɡtɾiˈnado
adoctrinados	adoɡtɾiˈnados
adoctrinamiento	adoɡtɾinaˈmjento
adolescente	adolesˈθente
adolescente	adolesˈsente
Adolfito	adolˈfito
adolorido	adoloˈɾido
adónde	aˈdonde
adoptivo	adobˈtibo
adoquinados	adokiˈnados
adorable	adoˈɾable
adorada	adoˈɾada
adorado	adoˈɾado
adormecidas	adormeˈθidas
adormecidas	adormeˈsidas
adormecido	adormeˈθido
adormecido	adormeˈsido
adormecidos	adormeˈθidos
adormecidos	adormeˈsidos
adornado	adorˈnado
adornar	adorˈnaɾ
adquiridos	adkiˈɾidos
adquirir	adkiˈɾiɾ
adquisitivo	adkisiˈtibo
adrede	aˈdɾede
adrenal	adɾeˈnal
adrenalina	adɾenaˈlina
Adri	ˈadɾi
Adriana	aˈdɾjana
Adriano	aˈdɾjano
adsorción	adsoɾˈθjon
adsorción	adsorˈsjon
aducida	aduˈθida
aducida	aduˈsida
aducir	aduˈθiɾ
aducir	aduˈsiɾ
adueñada	adweˈɲada
adujado	aduˈxado
adujados	aduˈxados
adujo	aˈduxo
adulación	adulaˈθjon
adulación	adulaˈsjon
adulada	aduˈlada
adulado	aduˈlado
adulador	adulaˈdoɾ
adulteración	adulteɾaˈθjon
adulteración	adulteɾaˈsjon
adulterada	adulteˈɾada
adulterar	adulteˈɾaɾ
adulterare	adulteˈɾaɾe
adulteré	adulteˈɾe
adulterino	adulteˈɾino
adultez	adulˈteθ
adultez	adulˈtes
adulticida	adultiˈθida
adulticida	adultiˈsida
adulto	aˈdulto
adurido	aduˈɾido
advenir	adbeˈniɾ
adventicio	adbenˈtiθjo
adventicio	adbenˈtisjo
adverbial	adberˈbjal
advertida	adberˈtida
advertido	adberˈtido
advocad	adboˈkad
advocando	adboˈkando
adware	ˈadweɾ
adyacencia	adɟ͡ʝaˈθenθja
adyacencia	adɟ͡ʝaˈsensja
aera	aˈeɾa
aerara	aeˈɾaɾa
aerare	aeˈɾaɾe
aerareis	aeˈɾaɾeis
aero	aˈeɾo
aerolínea	aeɾoˈlinea
aerolito	aeɾoˈlito
aeronauta	aeɾoˈnauta
aeronaval	aeɾonaˈbal
aeropuerto	aeɾoˈpwerto
aerosol	aeɾoˈsol
aerotransportados	aeɾotɾansporˈtados
aes	ˈaes
afanado	afaˈnado
afanoso	afaˈnoso
afeada	afeˈada
afeados	afeˈados
afear	afe̞ˈaɾ
afectable	afeɡˈtable
afectadas	afeɡˈtadas
afecto	aˈfeɡto
afectuosidad	afeɡtwosiˈdad
afeitado	afeiˈtado
afeminada	afemiˈnada
afeminemos	afemiˈnemos
afemines	afeˈmines
aferrados	afeˈrados
affair	aˈfeɾ
afiche	aˈfit͡ʃe
aficionado	afiθjoˈnado
aficionado	afisjoˈnado
áfido	ˈafido
afiebrar	afjeˈbɾaɾ
afijo	aˈfixo
afilada	afiˈlada
afiladera	afilaˈdeɾa
afilado	afiˈlado
afiliado	afiˈljado
afiligranados	afiliɡɾaˈnados
afinar	afiˈnaɾ
afincadas	afinˈkadas
afincar	afinˈkaɾ
afirmativo	afirmaˈtibo
aforar	afoˈɾaɾ
afores	aˈfoɾes
aforradas	afoˈradas
aforrar	afoˈraɾ
afortunadamente	afortuˌnadaˈmente
afrancesada	afɾanθeˈsada
afrancesada	afɾanseˈsada
afrancesado	afɾanθeˈsado
afrancesado	afɾanseˈsado
africanizar	afɾikaniˈθaɾ
africanizar	afɾikaniˈsaɾ
afro	ˈafɾo
afroamericano	afɾoameɾiˈkano
afroecuatoriana	afɾoekwatoˈɾjana
afroestadounidense	afɾoestadouniˈdense
afrontado	afɾonˈtado
afrontamos	afɾonˈtamos
afrontando	afɾonˈtando
afros	ˈafɾos
after	ˈafteɾ
afuste	aˈfuste
agachada	aɡaˈt͡ʃada
agachadiza	aɡat͡ʃaˈdiθa
agachadiza	aɡat͡ʃaˈdisa
agacharse	aɣaˈtʃaɾse
agáloco	aˈɡaloko
agamí	aɡaˈmi
agar	aˈɡaɾ
agarrados	aɡaˈrados
agasajado	aɡasaˈxado
agauchado	aɡauˈt͡ʃado
agavero	aɡaˈbeɾo
agavillamiento	aɡabiʎaˈmjento
agavillamiento	aɡabiɟ͡ʝaˈmjento
agazapar	aɡaθaˈpaɾ
agazapar	aɡasaˈpaɾ
agenciado	axenˈθjado
agenciado	axenˈsjado
agenda	aˈxenda
agendada	axenˈdada
agente	aˈxente
agilipollarse	axilipoˈʎarse
agilipollarse	axilipoˈɟ͡ʝarse
agiotista	axjoˈtista
agitados	axiˈtados
agite	aˈxite
agité	axiˈte
agitó	axiˈto
aglomeración	aɡlomeɾaˈθjon
aglomeración	aɡlomeɾaˈsjon
aglomerado	aɡlomeˈɾado
aglonema	aɡloˈnema
aglutina	aɡluˈtina
aglutinación	aɡlutinaˈθjon
aglutinación	aɡlutinaˈsjon
aglutinada	aɡlutiˈnada
aglutinadas	aɡlutiˈnadas
agobiada	aɡoˈbjada
agobiadísimo	aɡobjaˈdisimo
agolpada	aɡolˈpada
agonal	aɡoˈnal
agónico	aˈɡoniko
ágora	ˈaɡoɾa
agorafobia	aɡoɾaˈfobja
agostero	aɡosˈteɾo
agotadas	aɡoˈtadas
agotar	aɡoˈtaɾ
agra	ˈaɡɾa
agracejo	aɡɾaˈθexo
agracejo	aɡɾaˈsexo
agraciando	aɡɾaˈθjando
agraciando	aɡɾaˈsjando
agradecer	aɡɾadeˈθeɾ
agradecer	aɡɾadeˈseɾ
agrandado	aɡɾanˈdado
agrandamiento	aɡɾandaˈmjento
agrarista	aɡɾaˈɾista
agras	ˈaɡɾas
agravados	aɡɾaˈbados
agravante	aɡɾaˈbante
agredidos	aɡɾeˈdidos
agregaduría	aɡɾeɡaduˈɾia
agremiar	aɡɾeˈmjaɾ
agres	ˈaɡɾes
agriado	aˈɡɾjado
agrietar	aɡɾjeˈtaɾ
agringar	aɡɾinˈɡaɾ
agriparse	aɡɾiˈparse
agrisadas	aɡɾiˈsadas
agro	ˈaɡɾo
agroecológico	aɡɾoekoˈloxiko
agroecológicos	aɡɾoekoˈloxikos
agrológico	aɡɾoˈloxiko
agros	ˈaɡɾos
agrupada	aɡɾuˈpada
agruparse	aɡɾuˈparse
agua	ˈaɡwa
aguaitada	aɡwaiˈtada
aguaitadas	aɡwaiˈtadas
aguantada	aɡwanˈtada
aguar	aˈɡwaɾ
aguardada	aɡwarˈdada
aguas	ˈaɡwas
Aguascalientes	ˌaɡwaskaˈljentes
agudeza	aɡuˈdeθa
agudeza	aɡuˈdesa
agudizado	aɡudiˈθado
agudizado	aɡudiˈsado
Águeda	ˈaɡeda
aguijados	aɡiˈxados
aguijoneadas	aɡixoneˈadas
aguililla	aɡiˈliʎa
aguililla	aɡiˈliɟ͡ʝa
Aguirre	aˈɡire
agüitados	aɡwiˈtados
aguja	aˈɡuxa
agujerar	aɡuxeˈɾaɾ
agujereada	aɡuxeɾeˈada
Agún	aˈɡun
agur	aˈɡuɾ
agusanar	aɡusaˈnaɾ
Agustín	aɡusˈtin
agustino	aɡusˈtino
aguzada	aɡuˈθada
aguzada	aɡuˈsada
ah	ˈa
ahechada	aeˈt͡ʃada
ahechadas	aeˈt͡ʃadas
ahechar	aeˈt͡ʃaɾ
aherrojada	aeroˈxada
aherrumbrado	aerumˈbɾado
aherrumbrarse	aerumˈbɾarse
ahí	aˈi
ahijado	aiˈxado
ahijamiento	aixaˈmjento
ahilada	aiˈlada
ahilado	aiˈlado
ahincado	ainˈkado
ahínco	aˈinko
ahinojar	ainoˈxaɾ
ahistóricas	aisˈtoɾikas
ahitada	aiˈtada
ahitado	aiˈtado
ahitados	aiˈtados
ahogadas	aoˈɡadas
ahondadas	aonˈdadas
ahondar	aonˈdaɾ
ahorcado	aorˈkado
ahorcador	aorkaˈdoɾ
ahorcados	aorˈkados
ahorcajada	aorkaˈxada
ahorcajado	aorkaˈxado
ahorcamiento	aorkaˈmjento
ahorcar	aorˈkaɾ
ahormadas	aorˈmadas
ahormados	aorˈmados
ahorquillados	aorkiˈʎados
ahorquillados	aorkiˈɟ͡ʝados
ahorquillar	aorkiˈʎaɾ
ahorquillar	aorkiˈɟ͡ʝaɾ
ahorrar	aoˈraɾ
ahorrista	aoˈrista
ahuate	aˈwate
ahuecada	aweˈkada
ahuecado	aweˈkado
ahuevonado	aweboˈnado
ahuizote	awiˈθote
ahuizote	awiˈsote
ahusado	auˈsado
ahuyentada	auɟ͡ʝenˈtada
ahuyentados	auɟ͡ʝenˈtados
Aída	aˈida
Aimar	aiˈmaɾ
aireación	aiɾeaˈθjon
aireación	aiɾeaˈsjon
aireador	aiɾeaˈdoɾ
aireados	aiɾeˈados
airear	aiɾeˈaɾ
airoso	aiˈɾoso
aislados	aisˈlados
ajado	aˈxado
ajamos	aˈxamos
ajar	aˈxaɾ
ajardinar	axardiˈnaɾ
ajebe	aˈxebe
ajedrea	axeˈdɾea
ajedrecista	axedɾeˈθista
ajedrecista	axedɾeˈsista
ajedrecístico	axedɾeˈθistiko
ajedrecístico	axedɾeˈsistiko
ajete	aˈxete
ajetreado	axetɾeˈado
ajolote	axoˈlote
ajonjolí	axonxoˈli
ajúa	aˈxua
ajuaradas	axwaˈɾadas
ajuntar	axunˈtaɾ
ajustadas	axusˈtadas
ajustador	axustaˈdoɾ
ajusticiados	axustiˈθjados
ajusticiados	axustiˈsjados
ajusticiar	axustiˈθjaɾ
ajusticiar	axustiˈsjaɾ
akita	aˈkita
al	ˈal
ala	ˈala
alabada	alaˈbada
alabancia	alaˈbanθja
alabancia	alaˈbansja
alacrán	alaˈkɾan
alada	aˈlada
aladas	aˈladas
alambique	alamˈbike
alambrado	alamˈbɾado
Alán	aˈlan
alana	aˈlana
alar	aˈlaɾ
alaraca	alaˈɾaka
alardear	alardeˈaɾ
alargadas	alarˈɡadas
alarmada	alarˈmada
alarmante	alarˈmante
alarmismo	alarˈmismo
alarmista	alarˈmista
alas	ˈalas
Alaska	aˈlaska
alba	ˈalba
Alba	ˈalba
albacea	albaˈθea
albacea	albaˈsea
albacetense	albaθeˈtense
albacetense	albaseˈtense
albahaca	albaˈaka
albañil	albaˈɲil
albañilería	albaɲileˈɾia
Albano	alˈbano
albano	alˈbano
albar	alˈbaɾ
albarán	albaˈɾan
albarca	alˈbarka
albarda	alˈbarda
albardado	albarˈdado
albardón	albarˈdon
albardonería	albardoneˈɾia
albaricoque	albaɾiˈkoke
albaricoquero	albaɾikoˈkeɾo
albedrío	albeˈdɾio
albéitar	alˈbeitaɾ
alberca	alˈberka
albercada	alberˈkada
albergada	alberˈɡada
albergado	alberˈɡado
albergar	alberˈɡaɾ
albergo	alˈberɡo
albergue	alˈberɡe
albero	alˈbeɾo
albertismo	alberˈtismo
Alberto	alˈberto
albillo	alˈbiʎo
albillo	alˈbiɟ͡ʝo
Albireo	albiˈɾeo
albirrojo	albiˈroxo
albita	alˈbita
albo	ˈalbo
albor	alˈboɾ
alboreada	alboɾeˈada
alboreado	alboɾeˈado
alborear	alboɾeˈaɾ
albornoz	alborˈnoθ
albornoz	alborˈnos
alborotadísimo	alboɾotaˈdisimo
alborotados	alboɾoˈtados
alboroto	alboˈɾoto
alborozadas	alboɾoˈθadas
alborozadas	alboɾoˈsadas
alborozados	alboɾoˈθados
alborozados	alboɾoˈsados
albricias	alˈbɾiθjas
albricias	alˈbɾisjas
albúmenes	alˈbumenes
albuminuria	albumiˈnuɾja
albura	alˈbuɾa
Alburquerque	alburˈkerke
