'da	d a
dagidi	d ɐ ɡ ɪ d i
dagidiay	d ɐ ɡ i d͡ʒ a ɪ̯
dagidiay	d ɐ ɡ i d i j a ɪ̯
dagijai	d ɐ ɡ i d͡ʒ a ɪ̯
dagitay	d ɐ ɡ ɪ t a i
dagsen	d ɐ ɡ s e n
dagsen	d ɐ ɡ s ɯ n
Daguioman	d ɐ ɡ j o m a n
Daguioman	d ɐ ɡ i ʊ̯ m a n
dagum	d ɐ ɡ u m
dagus	d a ɡ o s
dagus	d ɐ ɡ o s
daig	d a ʔ ɛ ɡ
daing	d a ʔ ɛ ŋ
dait	d ɐ ʔ i t
dakami	d ɐ k ɐ m i
dakap	d ɐ k a p
dakay	d ɐ x a ɪ̯
dakayo	d ɐ x ɐ j o
dakayo	d ɐ x ɐ j u
dakkel	d ɐ k k e l
dakkel	d ɐ k k ɯ l
daklis	d ɐ k l i s
dakulap	d ɐ k u l a p
dalan	d ɐ l a n
dalayap	d ɐ l a j a p
dalem	d ɐ l e m
dalem	d ɐ l ɯ m
dalos	d ɐ l o s
dalus	d ɐ l u s
damag	d ɐ m a ɡ
Dancel	d ɐ n s e l
danum	d ɐ n u m
Danglas	d ɐ ŋ l a s
dapo	d ɐ p o
Daquioag	d ɐ k i w a ɡ
dara	d ɐ ɾ a
darat	d ɐ ɾ a t
data	d aː t a
data	d ɐ t a
Data	d ɐ t a
datayo	d ɐ t ɐ j o
datayo	d ɐ t ɐ j u
daya	d ɐ j a
daya	d ɐ j a
dayag	d ɐ j a ɡ
dayaw	d a j a u
daydiay	d a i d͡ʒ a i
debosion	d e b o ʃ o n
delikado	d e l i k a d o
demonio	d e m o ɲ o
dengdeng	d e ŋ d e ŋ
dengdeng	d ɯ ŋ d e ŋ
diding	d i d i ŋ
dies	d͡ʒ e s
dies	d i j e s
digo	d ɪ ɡ u
digos	d i ɡ o s
digra	d i ɡ ɾ a
digus	d i ɡ o s
diksionario	d i k ʃ o n a ɾ j o
dila	d i l a
dili	d i l i
dinengdeng	d i n e ŋ d e ŋ
dinengdeng	d i n ɯ ŋ d e ŋ
disinuebe	d i s i n w e b e
disiotso	d i s i ʔ o t͡ʃ o
disisais	d i s i s a ʔ i s
disisiete	d i s i ʃ e t e
disisiete	d i s i s i j e t e
disnugen	d i s n u ɡ e n
disnugen	d i s n u ɡ ɯ n
distansia	d i s t a n ʃ a
Dominggo	d o m i n ɡ o
dominggo	d o m i ŋ ɡ o
Domingo	d o m i n ɡ o
dos	d o s
dose	d o s e
dre	d ɾ e
dua	d w ɐ
duapulo	d w ɐ p u l o
Ducusin	d u k u s i n
Ducusin	d u k u s i n
dudon	d u d o n
duggong	d u ɡ ɡ o ŋ
dugyot	d u ɡ j o t
Duldulao	d u l d u l a ʊ̯
duling	d ʊ l i ŋ
Dumlao	d u m l a ʊ̯
dundon	d u n d o n
duog	d u ʔ o ɡ
ebolusion	ʔ e b o l u ʃ o n
Echague	ʔ e t͡ʃ a ɡ e
edukasion	ʔ e d u k a ʃ o n
edukasion	ʔ e d u k ɐ s i j o n
eleksion	ʔ ɛ l ɛ k ʃ o n
elepante	ʔ e l e p a n t e
eramienta	ʔ e ɾ ɐ m j e n t a
eropuerto	ʔ e ɾ o p w e ɾ t o
Escoda	ʔ e s k o d a
espada	ʔ e s p a d a
estimar	ʔ e s t i m a ɾ
Fariñas	f ɐ ɾ i ɲ ɐ s
Fonacier	f o n a s j e ɾ
gabat	ɡ ɐ b a t
gabay	ɡ ɐ b a ɪ̯
Gacusan	ɡ ɐ k u s a n
Gacutan	ɡ ɐ k u t a n
gaddil	ɡ ɐ d d i l
gadia	ɡ ɐ d͡ʒ ɐ
gading	ɡ ɐ d i ŋ
Galicinao	ɡ ɐ l i s i n a ʊ̯
galod	ɡ ɐ l o d
gamed	ɡ ɐ m e d
gamed	ɡ ɐ m ɯ d
Gamiao	ɡ ɐ m j a ʊ̯
Gaoiran	ɡ ɐ w i ɾ a n
Garalde	ɡ ɐ ɾ a l d e
garami	ɡ ɐ ɾ a m i
Garcia	ɡ ɐ ɾ s i ɐ
garod	ɡ ɐ ɾ o d
garud	ɡ ɐ ɾ u d
gasut	ɡ ɐ s u t
gayaman	ɡ ɐ j a m a n
gayyem	ɡ a ɪ̯ j e m
gayyem	ɡ a ɪ̯ j ɯ m
gimong	ɡ i m o ŋ
gingined	ɡ i ŋ i n e d
gingined	ɡ i ŋ i n ɯ d
grasia	ɡ ɾ ɐ ʃ a
Gresia	ɡ ɾ e ʃ a
gripo	ɡ ɾ i p o
gubat	ɡ u b a t
gurigor	ɡ u ɾ i ɡ o ɾ
ha'n	h a n
haan	h ɐ ʔ a n
Hillside	h i l s a ɪ̯ d
Huebes	h w e b e s
idiay	ʔ i d͡ʒ a ɪ̯
idiay	ʔ i d d͡ʒ a ɪ̯
idiay	ʔ i d i j a ɪ̯
Igorotak	ʔ i ɡ o ɾ o t a k
iha	ʔ i h a
iho	ʔ i h o
ijy	ʔ i d͡ʒ a ɪ̯
ikan	ʔ i k a n
ikit	ʔ i k i t
ili	ʔ i l i
immuko	ʔ i m m u k o
impierno	ʔ i m p j e ɾ n o
inapoy	ʔ i n a p o ɪ̯
innem	ʔ i n n e m
inumen	ʔ i n u m e n
inumen	ʔ i n u m ɯ n
ipes	ʔ i p e s
ipes	ʔ i p ɯ s
Irisan	ʔ i ɾ i s a n
isem	ʔ i s e m
isem	ʔ i s ɯ m
istoria	ʔ i s t o ɾ j ɐ
isuda	i s uː d a
isuna	i s uː n a
iyot	ʔ i j o t
jy	d͡ʒ a ɪ̯
kaamaan	k ɐ ɐ m a ɐ n
kaano	k ɐ a n o
kaasiannakami	k ɐ s j a n n ɐ k ɐ m i
kaasiannakami	k ɐ ʃ a n n ɐ k ɐ m i
kabalio	k ɐ b a l j o
kabos	k ɐ b o s
kabugaw	k ɐ b ʊ ɡ a u
kabus	k ɐ b u s
kabusor	k ɐ b ʊ s u r
kadakami	k ɐ d ɐ x ɐ m i
kadakayo	k ɐ d ɐ x ɐ j o
kadakayo	k ɐ d ɐ k ɐ j u
kadakuada	k ɐ d ɐ k w aː d a
kadata	k ɐ d ɐ t a
kadatayo	k ɐ d ɐ t ɐ j o
kadatayo	k ɐ d ɐ t ɐ j u
kagaw	k ɐ ɡ a ʊ̯
kalamansi	k ɐ l ɐ m a n s i
kalding	k ɐ l d i ŋ
kalendario	k ɐ l e n d a ɾ j o
kampana	k ɐ m p a n a
kampilan	k ɐ m p i l a n
kamposanto	k ɐ m p o s a n t o
kanawan	k ɐ n ɐ w a n
kaniada	k ɐ n j aː d a
kaniada	k ɐ ɲ aː d a
kaniak	k ɐ n j a k
kaniak	k ɐ ɲ a k
kaniam	k ɐ n j a m
kaniam	k ɐ ɲ a m
kaniami	k ɐ n j aː m i
kaniami	k ɐ ɲ aː m i
kaniana	k ɐ n j aː n a
kaniana	k ɐ ɲ aː n a
kaniata	k ɐ n j aː t a
kaniata	k ɐ ɲ aː t a
kaniatayo	k ɐ n j a t ɐ j o
kaniatayo	k ɐ n j a t ɐ j o
kaniatayo	k ɐ ɲ a t ɐ j o
kaniatayo	k ɐ ɲ a t ɐ j o
kaniatayo	k ɐ n j a t ɐ j u
kaniatayo	k ɐ n j a t ɐ j u
kaniatayo	k ɐ ɲ a t ɐ j u
kaniatayo	k ɐ ɲ a t ɐ j u
kaniayo	k ɐ n j aː j o
kaniayo	k ɐ ɲ aː j o
kaniayo	k ɐ n j aː j u
kaniayo	k ɐ ɲ aː j u
kanigid	k ɐ n i ɡ i d
Kankanaey	k ɐ n k ɐ n a ʔ e ɪ̯
Kankanaey	k ɐ n k ɐ n a ʔ ɯ ɪ̯
kanta	k ɐ n t a
kantaen	k ɐ n t ɐ e n
kantaen	k ɐ n t ɐ ɯ n
kanyayo	k ɐ n j a j o
kapas	k ɐ p a s
kapilia	k ɐ p i ʎ ɐ
karabukob	k ɐ ɾ ɐ b u k o b
kararag	k ɐ ɾ a ɾ a ɡ
kararua	k ɐ ɾ ɐ ɾ w ɐ
kararwa	k ɐ ɾ ɐ ɾ w ɐ
karerakit	k ɐ ɾ e ɾ a k i t
kasinsin	k ɐ s i n s i n
kaspagarigan	k ɐ s p ɐ ɡ ɐ ɾ i ɡ a n
katorse	k ɐ t o ɾ s e
kawes	k ɐ w e s
kawit	k ɐ w i t
kayas	k ɐ j a s
kayat	k ɐ j a t
kayat	k ɐ j a t
kenkuana	k ɛ n k w aː n a
kenkuana	k ɛ ŋ k w aː n a
kenkuana	k ɯ n k w aː n a
kenkuana	k ɯ ŋ k w aː n a
Kias	k j ɐ s
Kias	k i j a s
Kibungan	k i b u ŋ a n
kiling	k i l i ŋ
kinse	k i n s e
kisame	k i s ɐ m e
koleksion	k o l e k ʃ o n
koleksion	k o l e k s i j o n
komedia	k o m e d͡ʒ ɐ
komediante	k o m e d͡ʒ a n t e
komunikasion	k o m u n i k a ʃ o n
komunikasion	k o m u n i k ɐ s i j o n
konsiensia	k o n ʃ e n ʃ a
koriente	k o ɾ j e n t e
kotse	k o t͡ʃ e
krimen	k ɾ i m e n
Kristianismo	k ɾ i s t͡ʃ ɐ n i s m o
Kristiano	k ɾ i s t j a n o
kua	k w a
kuak	k w a k
Kuaresma	k w ɐ ɾ e s m a
kuarta	k w ɐ ɾ t a
kuarto	k w ɐ ɾ t o
kuatro	k w ɐ t ɾ o
kueba	k w e b a
kukua	k u k w a
kukuada	k u k w aː d a
kukuak	k u k w a k
kukuam	k u k w a m
kukuami	k u k w aː m i
kukuana	k u k w aː n a
kukuata	k u k w aː t a
kukuatayo	k u k w aː t ɐ j o
kukuatayo	k u k w aː t ɐ j o
kukuatayo	k u k w aː t ɐ j u
kukuatayo	k u k w aː t ɐ j u
kukuayo	k u k w aː j o
kukuayo	k u k w aː j u
kulalanti	k u l ɐ l a n t i
kulambo	k u l ɐ m b o
kuneng	k u n e ŋ
kurba	k u ɾ b a
kuripot	k u ɾ i p o t
kuto	k u t o
kutsara	k u t͡ʃ a ɾ a
kutsarita	k u t͡ʃ ɐ ɾ i t a
kutsarita	k u t͡s ɐ ɾ i t a
kutsilio	k u t͡ʃ i ʎ o
labaha	l ɐ b a h a
Lacub	l ɐ k u b
ladawan	l ɐ d a w a n
ladingit	l ɐ d i ŋ i t
Lagangilang	l ɐ ɡ ɐ ŋ i l a ŋ
Lagayan	l ɐ ɡ a j a n
Lagmay	l ɐ ɡ m a ɪ̯
lako	l ɐ k o
laktaw	l ɐ k t a ʊ̯
lampara	l ɐ m p ɐ ɾ a
lampin	l ɐ m p i n
landok	l ɐ n d o k
lansangan	l ɐ n s a ŋ a n
lanseta	l ɐ n s e t a
Langiden	l ɐ ŋ i d e n
langit	l ɐ ŋ i t
langoy	l ɐ ŋ o ɪ̯
lapayag	l ɐ p a j a ɡ
Lapeña	l ɐ p e ɲ ɐ
lasona	l ɐ s o n a
laud	l ɐ ʔ u d
lawas	l ɐ w a s
laya	l ɐ j a
Leaño	l e a ɲ o
letsuga	l e t͡ʃ u ɡ a
libreria	l i b ɾ e ɾ j ɐ
libro	l i b ɾ o
Libtong	l i b t o ŋ
lima	l i m a
limus	l i m u s
Llanes	ʎ ɐ n e s
Loakan	l o w a k a n
Lopez	l o p e s
Luba	l u b a
lubong	l u b o ŋ
lubung	l u b u ŋ
Lucban	l u k b a n
Lucnab	l u k n a b
lugan	l u ɡ a n
Lunes	l u n e s
lungon	l u ŋ o n
Lupao	l u p a ʊ̯
mabolo	m ɐ b o l o
madaddan	m ɐ d ɐ d d a n
Madarang	m ɐ d a ɾ a ŋ
Madarang	m ɐ d a ɾ a ŋ
Madriaga	m ɐ d ɾ j a ɡ a
makataktakki	m ɐ k ɐ t ɐ k t ɐ k k i
makita	m ɐ k i t a
Malibcong	m ɐ l i b k o ŋ
mama	m ɐ m a
Mamaclay	m ɐ m ɐ k l a ɪ̯
mamam	m ɐ m a m
Mamuad	m ɐ m w ɐ d
Mamuad	m ɐ m w ɐ d
Mamuad	m ɐ m w ɐ d
Manabo	m ɐ n a b o
Mankayan	m ɐ ŋ k a j a n
mannanakaw	m ɐ n n ɐ n a k a ʊ̯
manong	m ɐ n o ŋ
Manglicmot	m ɐ ŋ l i k m o t
Manglicmot	m ɐ ŋ l i k m o t
mapa	m ɐ p a
Marso	m ɐ ɾ s o
Martes	m ɐ ɾ t e s
Martinez	m ɐ ɾ t i n e s
mata	m ɐ t a
Mayo	m ɐ j o
maysa	m a ɪ̯ s a
met	m e t
met	m ɯ t
Mierkoles	m j e ɾ k o l e s
mil	m i l
mt	m e t
munisipio	m u n i s i p j o
mura	m u ɾ a
nabaaw	n ɐ b a ʔ a u
nabanglo	n ɐ b ɐ ŋ l o
nabartek	n ɐ b ɐ ɾ t ɛ k
nabartek	n ɐ b ɐ ɾ t ɯ k
nabasa	n ɐ b ɐ s a
nadagsen	n ɐ d ɐ ɡ s e n
nadagsen	n ɐ d ɐ ɡ s ɯ n
nadalus	n ɐ d a l u s
nagan	n ɐ ɡ a n
Naguey	n ɐ ɡ ɯ ɪ̯
naid	n ɐ i d
naimas	n ɐ ʔ i m a s
namaga	n ɐ m ɐ ɡ a
Namarsua	n ɐ m ɐ ɾ s w ɐ
namayat	n ɐ m ɐ j a t
nanang	n ɐ n a ŋ
napintas	n ɐ p i n t a s
napudot	n ɐ p u d o t
naruot	n ɐ ɾ u ʔ o t
nasadut	n ɐ s ɐ d u t
