ء	ʔ
آری	ɑː ɾ eː
آری	ɒː ɾ eː
آری	ɒː ɾ iː
آری	ɔː ɾ e
آزاد	ɑː z ɑː d
آزاد	ɒː z ɒː d
آزاد	ɔː z ɔː d
آزادی	ɑː z ɑː d iː
آزادی	ɒː z ɒː d iː
آزادی	ɔː z ɔː d iː
آزردن	ɒː z o ɾ d æ n
آزمایش	ɑː z m ɑː j i ʃ
آزمایش	ɒː z m ɒː j e ʃ
آزمایش	ɒː z m ɒː j ɪ ʃ
آزمایش	ɔː z m ɔː j i ʃ
آزموده	ɑː z m uː d a
آزموده	ɒː z m uː d a
آزموده	ɒː z m uː d e
آزموده	ɔː z m u d a
آسام	ɑː s ɑː m
آسام	ɒː s ɒː m
آسام	ɔː s ɔː m
آسان	ɑː s ɑː n
آسان	ɒː s ɒː n
آسان	ɔː s ɔː n
آستانه	ɑː s t ɑː n a
آستانه	ɒː s t ɒː n a
آستانه	ɒː s t ɒː n e
آستانه	ɔː s t ɔː n a
آسمان	ɑː s m ɑː n
آسمان	ɒː s m ɒː n
آسمان	ɔː s m ɔː n
آسمانخراش	ɑː s m ɑː n x a ɾ ɑː ʃ
آسمانخراش	ɒː s m ɒː n x a ɾ ɒː ʃ
آسمانخراش	ɒː s m ɒː n x æ ɾ ɒː ʃ
آسمانخراش	ɔː s m ɔː n x a ɾ ɔː ʃ
آسیا	ɒː s ɪ j ɒː
آسیاب	ɒː s i j ɒː b
آش	ʔ ɒː ʃ
آشتی	ɒː ʃ t iː
آشفته	ɑː ʃ u f t a
آشفته	ɒː ʃ o f t e
آشفته	ɒː ʃ ʊ f t a
آشفته	ɔː ʃ u f t a
آشوب	ɑː ʃ oː b
آشوب	ɒː ʃ oː b
آشوب	ɒː ʃ uː b
آشوب	ɔː ʃ ɵː b
آشوب‌ها	ɒː ʃ uː b h ɒː
آغا	ɑː ɣ ɑː
آغا	ɒː ɣ ɒː
آغا	ɔː ɣ ɔː
آغاز	ɑː ɣ ɑː z
آغاز	ɒː ɣ ɒː z
آغاز	ɔː ɣ ɔː z
آغوش	ɑː ɣ uː ʃ
آغوش	ɒː ɣ uː ʃ
آغوش	ɔː ɣ u ʃ
آفتاب	ɑː f t ɑː b
آفتاب	ɒː f t ɒː b
آفتاب	ɔː f t ɔː b
آفریدن	ɒː f æ ɾ iː d æ n
آفرین	ɑː f a ɾ iː n
آفرین	ɒː f a ɾ iː n
آفرین	ɒː f æ ɾ iː n
آفرین	ɔː f a ɾ i n
آقا	ɑː q ɑː
آقا	ɒː q ɒː
آقا	ɒː ɣ ɒː
آقا	ɔː q ɔː
آلت	ɑː l a t
آلت	ɒː l a t
آلت	ɒː l æ t
آلت	ɔː l a t
آلفته	ɑː l u f t a
آلفته	ɒː l o f t e
آلفته	ɒː l ʊ f t a
آلفته	ɔː l u f t a
آلودن	ɑː l uː d a n
آلودن	ɒː l uː d a n
آلودن	ɒː l uː d æ n
آلودن	ɔː l u d a n
آمار	ɑː m ɑː ɾ
آمار	ɒː m ɒː ɾ
آمار	ɔː m ɔː ɾ
آمارگر	ʔ ɒː m ɒː ɾ ɡ æ ɾ
آمدن	ɑː m a d a n
آمدن	ɒː m a d a n
آمدن	ɒː m æ d æ n
آمدن	ɔː m a d a n
آمرزیدن	ɑː m u ɾ z iː d a n
آمرزیدن	ɒː m o ɾ z iː d æ n
آمرزیدن	ɒː m ʊ ɾ z iː d a n
آمرزیدن	ɔː m u ɾ z i d a n
آموختن	ɑː m oː x t a n
آموختن	ɒː m oː x t a n
آموختن	ɒː m uː x t æ n
آموختن	ɔ m ɵ x t a n
آموزش	ɑː m oː z i ʃ
آموزش	ɒː m oː z e ʃ
آموزش	ɒː m uː z e ʃ
آموزش	ɔ m ɵ z ɪ ʃ
آموزگار	ɑː m oː z ɡ ɑː ɾ
آموزگار	ɒː m oː z ɡ ɒː ɾ
آموزگار	ɒː m uː z ɡ ɒː ɾ
آموزگار	ɔː m ɵː z ɡ ɔː ɾ
آمیختن	ɑː m eː x t a n
آمیختن	ɒː m eː x t a n
آمیختن	ɒː m iː x t æ n
آمیختن	ɔː m e x t a n
آمیزش	ɒː m iː z e ʃ
آن	ɑː n
آن	ɒː n
آن	ɔː n
آنجا	ɑː n d͡ʒ ɑː
آنجا	ɒː n d͡ʒ ɒː
آنجا	ɔː n d͡ʒ ɔː
آنغوزه	ɑː n ɣ u z a
آنغوزه	ɒː n ɣ o z e
آنغوزه	ɒː n ɣ ʊ z a
آنغوزه	ɔː n ɣ u z a
آنقدر	ɑː n q a d ɾ
آنقدر	ɒː n q a d ɾ
آنقدر	ɒː n ɣ æ d ɾ
آنقدر	ɔː n q a d ɾ
آهار	ɑː h ɑː ɾ
آهار	ɒː h ɒː ɾ
آهار	ɔː h ɔː ɾ
آهسته	ɑː h i s t a
آهسته	ɒː h e s t e
آهسته	ɒː h ɪ s t a
آهسته	ɔː h i s t a
آوا	ɑː v ɑː
آوا	ɒː v ɒː
آوا	ɒː w ɒː
آوا	ɔː v ɔː
آواز	ɑː v ɑː z
آواز	ɒː v ɒː z
آواز	ɒː w ɒː z
آواز	ɔː v ɔː z
آوازه	ɑː v ɑː z a
آوازه	ɒː v ɒː z e
آوازه	ɒː w ɒː z a
آوازه	ɔː v ɔː z a
آویختن	ɑː v eː x t a n
آویختن	ɒː v iː x t æ n
آویختن	ɒː w eː x t a n
آویختن	ɔː v e x t a n
آچار	ɑː t͡ʃ ɑː ɾ
آچار	ɒː t͡ʃ ɒː ɾ
آچار	ɔː t͡ʃ ɔː ɾ
آژیر	ɑː ʔ ʒ iː ɾ
آژیر	ɒː ʔ ʒ iː ɾ
آژیر	ɔː ʔ ʒ i ɾ
آکندن	ʔ ɒː k æ n d æ n
آیت‌الله	ɑː j a t u l l ɑː h
آیت‌الله	ɒː j a t ʊ l l ɒː h
آیت‌الله	ɒː j æ t o l l ɒː h
آیت‌الله	ɔː j a t u l l ɔː h
آینده	ɑː j a n d a
آینده	ɒː j a n d a
آینده	ɒː j æ n d e
آینده	ɔː j a n d a
ا	e
ا	o
ا	æ
ا	ɒː
ابتدا	e b t e d ɒː
ابتدا	i b t i d ɑː
ابتدا	i b t i d ɔː
ابتدا	ɪ b t ɪ d ɒː
ابتکار	e b t e k ɒː ɾ
ابتکار	i b t i k ɑː ɾ
ابتکار	i b t i k ɔː ɾ
ابتکار	ɪ b t ɪ k ɒː ɾ
ابر	a b a ɾ
ابر	a b ɾ
ابر	æ b æ ɾ
ابر	æ b ɾ
ابراهیم	e b ɾ ɒː h iː m
ابراهیم	i b ɾ ɑː h iː m
ابراهیم	i b ɾ ɔː h i m
ابراهیم	ɪ b ɾ ɒː h iː m
ابرش	æ b ɾ æ ʃ
ابرنواختر	a b a ɾ n a v a x t a ɾ
ابرنواختر	a b a ɾ n a w a x t a ɾ
ابرنواختر	æ b æ ɾ n o w æ x t æ ɾ
ابرو	a b ɾ u
ابرو	a b ɾ uː
ابرو	æ b ɾ uː
ابری	ʔ æ b ɾ iː
ابریشم	a b ɾ i ʃ a m ~ a b ɾ i ʃ u m
ابریشم	a b ɾ iː ʃ a m ~ a b ɾ iː ʃ u m
ابریشم	a b ɾ iː ʃ a m ~ a b ɾ iː ʃ ʊ m
ابریشم	æ b ɾ iː ʃ æ m ~ æ b ɾ iː ʃ o m
ابریق	e b ɾ iː ɣ
ابریق	i b ɾ i q
ابریق	i b ɾ iː q
ابریق	ɪ b ɾ iː q
ابری‌ساز	ʔ æ b ɾ iː s ɒː z
ابری‌سازی	ʔ æ b ɾ iː s ɒː z iː
ابزار	a b z ɑː ɾ
ابزار	a b z ɒː ɾ
ابزار	a b z ɔː ɾ
ابزار	æ b z ɒː ɾ
ابلیس	e b l iː s
ابلیس	i b l i s
ابلیس	i b l iː s
ابلیس	ɪ b l iː s
ابهام	e b h ɒː m
ابهام	i b h ɑː m
ابهام	i b h ɔː m
ابهام	ɪ b h ɒː m
ابوبکر	a b u b a k ɾ
ابوبکر	a b uː b a k ɾ
ابوبکر	æ b uː b æ k ɾ
اتاق	o tʰ ɒː ɣ
اتحادیه	e t t e h ɒː d iː j e
اتحادیه	i t t i h ɑː d iː j a
اتحادیه	i t t i h ɔː d i j a
اتحادیه	ɪ t t ɪ h ɒː d iː j a
اتراق	o t ɾ ɒː ɣ
اتراق	u t ɾ ɑː q
اتراق	u t ɾ ɔː q
اتراق	ʊ t ɾ ɒː q
اتفاق	e tː e f ɒː ɣ
اتم	æ t o m
اتمام	e t m ɒː m
اتم‌ها	æ t o m h ɒː
اثبات	e s b ɒː t
اثبات	i s b ā t
اثبات	i s b ɑː t
اثبات	i s b ɔː t
اثبات	ɪ s b ɒː t
اثر	æ s æ ɾ
اجازه	e d͡ʒ ɒː z e
اجازه	i d͡ʒ ɑː z a
اجازه	i d͡ʒ ɔː z a
اجازه	ɪ d͡ʒ ɒː z a
اجاق	o d͡ʒ ɒː ɣ
اجاق	u d͡ʒ ɑː q
اجاق	u d͡ʒ ɔː q
اجاق	ʊ d͡ʒ ɒː q
اجتماع	e d͡ʒ t e m ɒː ʔ
اجتماع	i d͡ʒ t i m ɑː ʔ
اجتماع	i d͡ʒ t i m ɔː ʔ
اجتماع	ɪ d͡ʒ t ɪ m ɒː ʔ
احترام	i h t̪ i ɾ ɒː m
احترام	ɪ h t̪ ɪ ɾ ɒː m
احتمال	e h t e m ɒː l
احتمال	e h t i m ɔː l
احتمال	i h t i m ɑː l
احتمال	ɪ h t ɪ m ɒː l
احساس	e h s ɒː s
احساس	e h s ɔː s
احساس	i h s ɑː s
احساس	ɪ h s ɒː s
احمدی‌نژاد	a h m a d i n i ʒ ɔː d
احمدی‌نژاد	a h m a d iː n i ʒ ɑː d
احمدی‌نژاد	a h m a d iː n ɪ ʒ ɒː d
احمدی‌نژاد	æ h m æ d iː n e ʒ ɒː d
احمق	a h m a q
احمق	æ h m æ ɣ
اخبار	a x b ɑː ɾ
اخبار	a x b ɒː ɾ
اخبار	a x b ɔː ɾ
اخبار	æ x b ɒː ɾ
اخترمار	a x t a ɾ m ɑː ɾ
اخترمار	a x t a ɾ m ɒː ɾ
اخترمار	a x t a ɾ m ɔː ɾ
اخترمار	æ x t æ ɾ m ɒː ɾ
اختصار	e x t e s ɒː ɾ
اختصار	i x t i s ɑː ɾ
اختصار	i x t i s ɔː ɾ
اختصار	ɪ x t ɪ s ɒː ɾ
اختیار	e x t i j ɒː ɾ
اختیار	i x t i j ɑː ɾ
اختیار	i x t i j ɔː ɾ
اختیار	ɪ x t i j ɒː ɾ
اخذ	ʔ a x z
اخذ	ʔ æ x z
ادا	a d ɑː
ادا	a d ɒː
ادا	a d ɔː
ادا	æ d ɒː
اداره	e d ɒː ɾ e
اداره	i d ɑː ɾ a
اداره	i d ɔː ɾ a
اداره	ɪ d ɒː ɾ a
ادبیات	a d a b i j ɑː t
ادبیات	a d a b i j ɒː t
ادبیات	a d a b i j ɔː t
ادبیات	æ d æ b i j ɒː t
ادغام	e d ɣ ɒː m
ادغام	i d ɣ ɑː m
ادغام	i d ɣ ɔː m
ادغام	ɪ d ɣ ɒː m
ادویه	a d v i j a
ادویه	a d w i j a
ادویه	æ d v i j e
ادیان	æ d j ɒː n
ارادت	e ɾ ɒː d æ t
اراده	e ɾ ɒː d e
ارتش	a ɾ t i ʃ
ارتش	a ɾ t ɪ ʃ
ارتش	æ ɾ t e ʃ
ارتعاش	e ɾ t e ʔ ɒː ʃ
ارتعاش	i ɾ t i ʔ ɑː ʃ
ارتعاش	i ɾ t i ʔ ɔː ʃ
ارتعاش	ɪ ɾ t ɪ ʔ ɒː ʃ
ارده	a ɾ d a
ارده	æ ɾ d e
اردیبهشت	o ɾ d iː b e h e ʃ t
اردیبهشت	u ɾ d i b i h i ʃ t
اردیبهشت	u ɾ d iː b i h i ʃ t
اردیبهشت	ʊ ɾ d iː b ɪ h ɪ ʃ t
ارزان	a ɾ z ɑː n
ارزان	a ɾ z ɒː n
ارزان	a ɾ z ɔː n
ارزان	æ ɾ z ɒː n
ارزش	a ɾ z i ʃ
ارزش	a ɾ z ɪ ʃ
ارزش	æ ɾ z e ʃ
ارزیدن	a ɾ z i d a n
ارزیدن	a ɾ z iː d a n
ارزیدن	æ ɾ z iː d æ n
ارس	a ɾ a s
ارس	æ ɾ æ s
ارسطو	a ɾ a s t u
ارسطو	a ɾ a s t uː
ارسطو	æ ɾ æ s t uː
ارشد	a ɾ ʃ a d
ارشد	æ ɾ ʃ æ d
ارض	a ɾ z
ارض	æ ɾ z
ارغنون	æ ɾ ɣ æ n uː n
ارغوان	a ɾ ɣ a v ɑː n ~ a ɾ ɣ u v ɑː n
ارغوان	a ɾ ɣ a v ɔː n ~ a ɾ ɣ u v ɔː n
ارغوان	a ɾ ɣ a w ɒː n ~ a ɾ ɣ ʊ w ɒː n
ارغوان	æ ɾ ɣ æ v ɒː n ~ æ ɾ ɣ o v ɒː n
ارگ	o ɾ ɡ
ارگ	æ ɾ ɡ
اریحا	a ɾ i h ɔː
اریحا	a ɾ iː h ɑː
اریحا	a ɾ iː h ɒː
اریحا	æ ɾ iː h ɒː
از	æ z
ازبکستان	o z b æ k e s t ɒː n
ازبکستان	u z b a k i s t ɑː n
ازبکستان	u z b a k i s t ɔː n
ازبکستان	ʊ z b a k ɪ s t ɒː n
ازگیل	a z ɡ i l
ازگیل	a z ɡ iː l
ازگیل	æ z ɡ iː l
اساتید	a s ɑː t iː d
اساتید	a s ɒː t iː d
اساتید	a s ɔː t i d
اساتید	æ s ɒː t iː d
اسب	ʔ æ s b
اسبغول	e s b æ ɣ uː l
اسبغول	i s b a ɣ oː l
اسبغول	i s b a ɣ ɵː l
اسبغول	ɪ s b a ɣ oː l
استاد	o s t ɒː d
استاد	u s t ɑː d
استاد	u s t ɔː d
استاد	ʊ s t ɒː d
استادانه	ʔ o s tʰ ɒː d̪ ɒː n e
استادانه	ʔ u s tʰ ɑː d̪ ɑː n a
استادانه	ʔ u s tʰ ɔː d̪ ɔː n a
استادانه	ʔ ʊ s tʰ ɒː d̪ ɒː n a
استان	o s t ɒː n
استان	u s t ɑː n
استان	u s t ɔː n
استان	ʊ s t ɒː n
استاندار	o s tʰ uː n d ɒː ɾ
استاندار	o s tʰ ɒː n d ɒː ɾ
استخوان	o s t o x ɒ n
استعداد	e s t e ʔ d ɒː d
استعداد	i s t e ʔ d ɔː d
استعداد	i s t i ʔ d ɑː d
استعداد	ɪ s t ɪ ʔ d ɒː d
استیون	e s t iː v e n
اسطوره	o s t uː ɾ e
اسطوره	u s t u ɾ a
اسطوره	u s t uː ɾ a
اسطوره	ʊ s t uː ɾ a
اسفرزه	e s f æ ɾ z e
اسفرزه	i s f a ɾ z a
اسفرزه	ɪ s f a ɾ z a
اسفناج	e s f e n ɒː d͡ʒ
اسفند	e s f æ n d̪
اسلام	ʔ e s l ɒː m
اسلام	ʔ i s l ɑː m
اسلام	ʔ i s l ɔː m
اسلام	ʔ ɪ s l ɒː m
اسلامی	e s l ɒː m iː
اسلامی	i s l ɑː m iː
اسلامی	i s l ɔː m iː
اسلامی	ɪ s l ɒː m iː
اسلوب	o s l uː b
اسلوب	u s l u b
اسلوب	u s l uː b
اسلوب	ʊ s l uː b
اسلیمی	e s l iː m iː
اسلیمی	i s l i m iː
اسلیمی	i s l iː m iː
اسلیمی	ɪ s l iː m iː
اسم	e s m
اسم	i s m
اسم	ɪ s m
اسپرزه	e s p æ ɾ z e
اسپرزه	i s p a ɾ z a
اسپرزه	ɪ s p a ɾ z a
اسپریس	ʔ e s p æ ɾ eː s
اسپریس	ʔ æ s p æ ɾ eː s
اسپریس	ʔ æ s p ɾ eː s
اسپغول	e s p æ ɣ uː l
اسپغول	i s p a ɣ oː l
اسپغول	i s p a ɣ ɵː l
اسپغول	ɪ s p a ɣ oː l
اسپندان	e s p æ n d ɒː n
اسپندان	i s p a n d ɑː n
اسپندان	i s p a n d ɔː n
اسپندان	ɪ s p a n d ɒː n
اسپهسالار	ʔ e s p æ h s ɒː l ɒː ɾ
اسپهسالار	ʔ ɪ s p æ h s ɒː l ɒː ɾ
اسکدار	a s k u d ɑː ɾ
اسکدار	a s k u d ɔː ɾ
اسکدار	a s k ʊ d ɒː ɾ
اسکدار	æ s k o d ɒː ɾ
اسکندر	e s k æ n d æ ɾ
اسکندر	i s k a n d a ɾ
اسکندر	ɪ s k a n d a ɾ
اشتر	ʔ o ʃ t o ɾ
اشترخار	o ʃ t o ɾ x ɒː ɾ
اشترخار	u ʃ t u ɾ x ɑː ɾ
اشترخار	u ʃ t u ɾ x ɔː ɾ
اشترخار	ʊ ʃ t ʊ ɾ x ɒː ɾ
اشترغار	o ʃ t o ɾ ɣ ɒː ɾ
اشترغار	u ʃ t u ɾ ɣ ɑː ɾ
اشترغار	u ʃ t u ɾ ɣ ɔː ɾ
اشترغار	ʊ ʃ t ʊ ɾ ɣ ɒː ɾ
اشرج	æ ʃ r æ d ʒ
اشک	a ʃ k
اشک	æ ʃ k
اصطبل	e s t æ b l
اصطبل	i s t a b l
اصطبل	ɪ s t a b l
اصفهان	e s f æ h ɒː n
اصفهان	i s f a h ɑː n
اصفهان	i s f a h ɔː n
اصفهان	ɪ s f a h ɒː n
اصل	a s l
اصل	æ s l
اصلی	æ s l iː
اصیل	a s i l
اصیل	a s iː l
اصیل	æ s iː l
اضافه	e z ɒː f e
اضافه	i z ɔː f a
اضافه	i ð ɑː f a
اضافه	ɪ z ɒː f a
اطمینان	e t m iː n ɒː n
اطمینان	i t m iː n ɑː n
اطمینان	ɪ t m ɪ n ɔ n
اظهار	e z h ɒː ɾ
اظهار	i z h ɑː ɾ
اظهار	i z h ɔː ɾ
اظهار	ɪ z h ɒː ɾ
اعتقاد	e ʔ t e ɣ ɒː d
اعتقاد	e ʔ t i q ɔː d
اعتقاد	i ʔ t i q ɑː d
اعتقاد	ɪ ʔ t ɪ q ɒː d
اعضا	æ ʔ z ɒ
اغوا	e ɣ v ɒː
اغوا	i ɣ v ɑː
اغوا	i ɣ v ɔː
اغوا	ɪ ɣ w ɒː
افتادن	o f t ɒː d æ n
افتادن	u f t ɑː d a n
افتادن	u f t ɔː d a n
افتادن	ʊ f t ɒː d a n
افتخار	e f t e x ɒː ɾ
افتخار	i f t i x ɑː ɾ
افتخار	i f t i x ɔː ɾ
افتخار	ɪ f t ɪ x ɒː ɾ
افرنگ	a f ɾ a n ɡ
افرنگ	æ f ɾ æ n ɡ
افزودن	a f z u d a n
افزودن	a f z uː d a n
افزودن	æ f z uː d æ n
افسانه	a f s ɑː n a
افسانه	a f s ɒː n a
افسانه	a f s ɔː n a
افسانه	æ f s ɒː n e
افسر	a f s a ɾ
افسر	æ f s æ ɾ
افسوس	a f s oː s
افسوس	a f s ɵː s
افسوس	æ f s uː s
افشاندن	a f ʃ ɑː n d a n
افشاندن	a f ʃ ɒː n d a n
افشاندن	a f ʃ ɔː n d a n
افشاندن	æ f ʃ ɒː n d æ n
افشردن	æ f ʃ o ɾ d æ n
افطار	e f t ɒː ɾ
افطار	i f t ɑː ɾ
افطار	i f t ɔː ɾ
افطار	ɪ f t ɒː ɾ
افغان	a f ɣ ɑː n
افغان	a f ɣ ɒː n
افغان	a f ɣ ɔː n
افغان	æ f ɣ ɒː n
افغانستان	a f ɣ ɑː n i s t ɑː n
افغانستان	a f ɣ ɒː n ɪ s t ɒː n
افغانستان	a f ɣ ɔː n i s t ɔː n
افغانستان	æ f ɣ ɒː n e s t ɒː n
افیون	ʔ æ f j uː n
اقرار	e ɣ ɾ ɒː ɾ
اقرار	i q ɾ ɑː ɾ
اقرار	i q ɾ ɔː ɾ
اقرار	ɪ q ɾ ɒː ɾ
اقلا	a q a l l a n
اقلا	æ ɣ æ l l æ n
اقیانوس	o ɣ j ɒː n uː s
اقیانوس	u q j ɑː n uː s
اقیانوس	u q j ɔː n u s
اقیانوس	ʊ q j ɒː n uː s
الان	ʔ a l ʔ ɑː n
الان	ʔ a l ʔ ɒː n
الان	ʔ a l ʔ ɔː n
الان	ʔ æ l ʔ ɒː n
البرز	ʔ æ l b o ɾ z
البرز	ʔ æ l b u ɾ z
القاعده	a l q ɑː ʔ i d a
القاعده	a l q ɒː ʔ ɪ d a
القاعده	a l q ɔː ʔ i d a
القاعده	æ l ɣ ɒː ʔ e d e
الماس	a l m ɑː s
الماس	a l m ɒː s
الماس	a l m ɔː s
الماس	æ l m ɒː s
الماس‌ها	æ l m ɒː s h ɒː
المزده	æ l æ m z æ d e
الموت	ʔ æ l æ m uː t
اله	e l ɒː h
اله	i l ɑː h
اله	i l ɔː h
اله	ɪ l ɒː h
ام	e m
ام	i m
ام	ɪ m
امام	e m ɒː m
امام	i m ɑː m
امام	i m ɔː m
امام	ɪ m ɒː m
امتحان	e m t e h ɒː n
امتحان	i m t i h ɑː n
امتحان	i m t i h ɔː n
امتحان	ɪ m t ɪ h ɒː n
امروز	e m ɾ uː z
امروز	i m ɾ oː z
امروز	i m ɾ ɵː z
امروز	ɪ m ɾ oː z
امسال	e m s ɒː l
امسال	i m s ɑː l
امسال	i m s ɔː l
امسال	ɪ m s ɒː l
امشب	e m ʃ æ b
امشب	i m ʃ a b
امشب	ɪ m ʃ a b
امضاء	e m z ɒː
امید	o m iː d
امید	u m e d
امید	u m eː d
امید	ʊ m eː d
امیدیار	ʔ o m iː d y ɒː ɾ
امین	æ m iː n
امین‌ها	æ m iː n h ɒː
ان	ɑː n
ان	ɒː n
ان	ɔː n
انار	a n ɑː ɾ
انار	a n ɒː ɾ
انار	a n ɔː ɾ
انار	æ n ɒː ɾ
انبار	ʔ æ m b ɒː ɾ
انتحار	e n t e h ɒː ɾ
انتحار	i n t i h ɑː ɾ
انتحار	i n t i h ɔː ɾ
انتحار	ɪ n t ɪ h ɒː ɾ
انتخاب	e n t e x ɒː b
انتخاب	i n t i x ɑː b
انتخاب	i n t i x ɔː b
انتخاب	ɪ n t ɪ x ɒː b
انتشار	e n t e ʃ ɒː ɾ
انتشار	i n t i ʃ ɑː ɾ
انتشار	i n t i ʃ ɔː ɾ
انتشار	ɪ n t ɪ ʃ ɒː ɾ
انتقاد	e n t e ɣ ɒː d
انتقاد	i n t i q ɑː d
انتقاد	i n t i q ɔː d
انتقاد	ɪ n t ɪ q ɒː d
انتقام	e n t e ɣ ɒː m
انتقام	i n t i q ɑː m
انتقام	i n t i q ɔː m
انتقام	ɪ n t ɪ q ɒː m
انجام	a n d͡ʒ ɑː m
انجام	a n d͡ʒ ɒː m
انجام	a n d͡ʒ ɔː m
انجام	æ n d͡ʒ ɒː m
انجمن	ʔ æ n d͡ʒ o m æ n
اندی	æ n d eː
اندیشه	a n d e ʃ a
اندیشه	a n d eː ʃ a
اندیشه	æ n d iː ʃ e
انزال	e n z ɒː l
انزال	i n z ɑː l
انزال	i n z ɔː l
انزال	ɪ n z ɒː l
انزروت	a n z a ɾ u t
انزروت	a n z a ɾ uː t
انزروت	æ n z æ ɾ uː t
انسان	e n s ɒː n
انسان	i n s ɑː n
انسان	i n s ɔː n
انسان	ɪ n s ɒː n
انطاکیه	a n t ɑː k i j a
انطاکیه	a n t ɒː k i j a
انطاکیه	a n t ɔː k i j a
انطاکیه	æ n t ɒː k i j e
انعکاس	e n ʔ e k ɒː s
انفجار	e n f e d͡ʒ ɒː ɾ
انفجار	i n f i d͡ʒ ɑː ɾ
انفجار	i n f i d͡ʒ ɔː ɾ
انفجار	ɪ n f ɪ d͡ʒ ɒː ɾ
انقلاب	e n ɣ e l ɒː b
انقلاب	i n q i l ɑː b
انقلاب	i n q i l ɔː b
انقلاب	ɪ n q ɪ l ɒː b
انقلابی	e n ɣ e l ɒː b iː
انقلابی	i n q i l ɑː b iː
انقلابی	i n q i l ɔː b iː
انقلابی	ɪ n q ɪ l ɒː b iː
انه	ɑː n a
انه	ɒː n a
انه	ɒː n e
انه	ɔː n a
انکار	e n k ɒː ɾ
انکار	i n k ɑː ɾ
انکار	i n k ɔː ɾ
انکار	ɪ n k ɒː ɾ
انگبین	a n ɡ u b i n ~ a n ɡ a b i n
انگبین	a n ɡ u b iː n ~ a n ɡ a b iː n
انگبین	a n ɡ ʊ b iː n ~ a n ɡ a b iː n
انگبین	æ n ɡ o b iː n ~ æ n ɡ æ b iː n
انگشت	a n ɡ i ʃ t
انگشت	a n ɡ u ʃ t
انگشت	a n ɡ ɪ ʃ t
انگشت	a n ɡ ʊ ʃ t
انگشت	æ n ɡ e ʃ t
انگشت	æ n ɡ o ʃ t
انگلستان	e n ɡ e l e s t ɒː n
انگلستان	i n ɡ i l i s t ɑː n
انگلستان	i n ɡ i l i s t ɔː n
انگلستان	ɪ n ɡ ɪ l ɪ s t ɒː n
انگلیس	ʔ e ŋ ɡʲ e l iː s
انگور	a n ɡ u ɾ
انگور	a n ɡ uː ɾ
انگور	æ n ɡ uː ɾ
