є	j ɛ
інакше	i n ɑ k ʃ e
інвалід	i n ʋ ɐ lʲ i d
інвестиційний	i n ʋ e s t e t͡sʲ i i̯ n e i̯
інвестиція	i n ʋ e s t ɪ t͡sʲ i j ɐ
інвестор	i n ʋ ɛ s t ɔ r
інвестувати	i n ʋ e s t ʊ ʋ ɑ t e
інгредієнт	i n ɦ r e dʲ i j ɛ n t
індієць	i nʲ dʲ i j e t͡sʲ
індійка	i nʲ dʲ i i̯ k ɐ
індійський	i nʲ dʲ i i̯ sʲ k e i̯
індія	i nʲ dʲ i j ɐ
індекс	i n d e k s
індексувати	i n d e k s ʊ ʋ ɑ t e
індивід	i n d e ʋʲ i d
індивідуалізація	i n d e ʋʲ i d ʊ ɐ lʲ i z ɑ t͡sʲ i j ɐ
індивідуалізувати	i n d e ʋʲ i d ʊ ɐ lʲ i z ʊ ʋ ɑ t e
індивідуальний	i n d e ʋʲ i d ʊ ɑ lʲ n e i̯
індивідуально	i n d e ʋʲ i d ʊ ɑ lʲ n ɔ
індонезія	i n d ɔ n ɛ zʲ i j ɐ
індустріалізація	i n d ʊ s tʲ rʲ i ɐ lʲ i z ɑ t͡sʲ i j ɐ
індустріалізувати	i n d ʊ s tʲ rʲ i ɐ lʲ i z ʊ ʋ ɑ t e
індустріальний	i n d ʊ s tʲ rʲ i ɑ lʲ n e i̯
індустрія	i n d u s tʲ rʲ i j ɐ
інерцією	i n ɛ r t͡sʲ i j e j ʊ
інерції	i n ɛ r t͡sʲ i j i
інерційний	i n e r t͡sʲ i i̯ n e i̯
інерцію	i n ɛ r t͡sʲ i j ʊ
інерція	i n ɛ r t͡sʲ i j ɐ
інженер	i n ʒ e n ɛ r
інженерія	i n ʒ e n ɛ rʲ i j ɐ
інженерка	i n ʒ e n ɛ r k ɐ
інквілін	i n k ʋʲ i lʲ i n
інколи	i n k ɔ ɫ e
інна	i nː ɐ
інноваційний	i nː ɔ ʋ ɐ t͡sʲ i i̯ n e i̯
інновація	i nː ɔ ʋ ɑ t͡sʲ i j ɐ
іноді	i n ɔ dʲ i
іноземець	i n ɔ z ɛ m e t͡sʲ
іноземка	i n ɔ z ɛ m k ɐ
іноземна	i n ɔ z ɛ m n ɐ
іноземний	i n ɔ z ɛ m n e i̯
інохідь	i n ɔ xʲ i dʲ
іноходець	i n ɔ x ɔ d e t͡sʲ
інспектор	i n s p ɛ k t ɔ r
інспектувати	i n s p e k t ʊ ʋ ɑ t e
інспекція	i n s p ɛ k t͡sʲ i j ɐ
інсталятор	i n s t ɐ lʲ ɑ t ɔ r
інстинктивний	i n s t e n k t ɪ u̯ n e i̯
інститут	i n s t e t u t
інституційний	i n s t e t ʊ t͡sʲ i i̯ n e i̯
інституція	i n s t e t u t͡sʲ i j ɐ
інструкціє	i n s t r u k t͡sʲ i j e
інструкцією	i n s t r u k t͡sʲ i j e j ʊ
інструкції	i n s t r u k t͡sʲ i j i
інструкцій	i n s t r u k t͡sʲ i i̯
інструкцію	i n s t r u k t͡sʲ i j ʊ
інструкція	i n s t r u k t͡sʲ i j ɐ
інструкціям	i n s t r u k t͡sʲ i j ɐ m
інструкціями	i n s t r u k t͡sʲ i j ɐ m e
інструкціях	i n s t r u k t͡sʲ i j ɐ x
інструмент	i n s t r ʊ m ɛ n t
інсценувати	i n s t͡s e n ʊ ʋ ɑ t e
інтеграція	i n t e ɦ r ɑ t͡sʲ i j ɐ
інтегрувати	i n t e ɦ r ʊ ʋ ɑ t e
інтелігенція	i n t e lʲ i ɦ ɛ nʲ t͡sʲ i j ɐ
інтелект	i n t e ɫ ɛ k t
інтелектуалізація	i n t e ɫ e k t ʊ ɐ lʲ i z ɑ t͡sʲ i j ɐ
інтелектуалізувати	i n t e ɫ e k t ʊ ɐ lʲ i z ʊ ʋ ɑ t e
інтелектуальний	i n t e ɫ e k t ʊ ɑ lʲ n e i̯
інтенсивність	i n t e n s ɪ u̯ nʲ i sʲ tʲ
інтенсивний	i n t e n s ɪ u̯ n e i̯
інтенсифікація	i n t e n s e fʲ i k ɑ t͡sʲ i j ɐ
інтенсифікувати	i n t e n s e fʲ i k ʊ ʋ ɑ t e
інтерактивний	i n t e r ɐ k t ɪ u̯ n e i̯
інтерв'ю	i n t e r ʋ j u
інтервал	i n t e r ʋ ɑ ɫ
інтерес	i n t e r ɛ s
інтересувати	i n t e r e s ʊ ʋ ɑ t e
інтермецо	i n t e r m ɛ t͡s ɔ
інтернаціональний	i n t e r n ɐ t͡sʲ i ɔ n ɑ lʲ n e i̯
інтерпретація	i n t e r p r e t ɑ t͡sʲ i j ɐ
інтерпретувати	i n t e r p r e t ʊ ʋ ɑ t e
інтуїтивність	i n t ʊ j i t ɪ u̯ nʲ i sʲ tʲ
інтуїтивний	i n t ʊ j i t ɪ u̯ n e i̯
інтуїтивно	i n t ʊ j i t ɪ u̯ n ɔ
інтуїція	i n t ʊ j i t͡sʲ i j ɐ
інфікування	i nʲ fʲ i k ʊ ʋ ɑ nʲː ɐ
інфікувати	i nʲ fʲ i k ʊ ʋ ɑ t e
інфекцією	i n f ɛ k t͡sʲ i j e j ʊ
інфекції	i n f ɛ k t͡sʲ i j i
інфекцій	i n f ɛ k t͡sʲ i i̯
інфекційний	i n f e k t͡sʲ i i̯ n e i̯
інфекцію	i n f ɛ k t͡sʲ i j ʊ
інфекція	i n f ɛ k t͡sʲ i j ɐ
інфекціям	i n f ɛ k t͡sʲ i j ɐ m
інфекціями	i n f ɛ k t͡sʲ i j ɐ m e
інфекціях	i n f ɛ k t͡sʲ i j ɐ x
інфляція	i n f lʲ ɑ t͡sʲ i j ɐ
інформатика	i n f ɔ r m ɑ t e k ɐ
інформаційне	i n f ɔ r m ɐ t͡sʲ i i̯ n e
інформаційний	i n f ɔ r m ɐ t͡sʲ i i̯ n e i̯
інформація	i n f ɔ r m ɑ t͡sʲ i j ɐ
інформувати	i n f ɔ r m ʊ ʋ ɑ t e
інфраструктура	i n f r ɐ s t r ʊ k t u r ɐ
інфраструктурний	i n f r ɐ s t r ʊ k t u r n e i̯
інцидент	i n t͡s e d ɛ n t
інциденті	i n t͡s e d ɛ nʲ tʲ i
інцидентів	i n t͡s e d ɛ nʲ tʲ i u̯
інцидентам	i n t͡s e d ɛ n t ɐ m
інцидентами	i n t͡s e d ɛ n t ɐ m e
інцидентах	i n t͡s e d ɛ n t ɐ x
інциденти	i n t͡s e d ɛ n t e
інцидентові	i n t͡s e d ɛ n t ɔ ʋʲ i
інцидентом	i n t͡s e d ɛ n t ɔ m
інциденту	i n t͡s e d ɛ n t ʊ
інший	i n ʃ e i̯
іншими	i n ʃ e m e
іншого	i n ʃ ɔ ɦ ɔ
іпотека	i p ɔ t ɛ k ɐ
ірак	i r ɑ k
іран	i r ɑ n
іржа	i r ʒ ɑ
іржавий	i r ʒ ɑ ʋ e i̯
ірина	i r ɪ n ɐ
ірландія	i r ɫ ɑ nʲ dʲ i j ɐ
ірландець	i r ɫ ɑ n d e t͡sʲ
ірландка	i r ɫ ɑ n d k ɐ
ірландський	i r ɫ ɑ n d͡zʲ sʲ k e i̯
ірод	i r ɔ d
іскра	i s k r ɐ
іслам	i s ɫ ɑ m
ісламський	i s ɫ ɑ m sʲ k e i̯
ісландія	i s ɫ ɑ nʲ dʲ i j ɐ
ісландець	i s ɫ ɑ n d e t͡sʲ
ісландка	i s ɫ ɑ n d k ɐ
ісландський	i s ɫ ɑ n d͡zʲ sʲ k e i̯
існування	i s n ʊ ʋ ɑ nʲː ɐ
існувати	i s n ʊ ʋ ɑ t e
існуючий	i s n u j ʊ t͡ʃ e i̯
іспанія	i s p ɑ nʲ i j ɐ
іспанський	i s p ɑ nʲ sʲ k e i̯
іспит	i s p e t
істерія	i s t e rʲ i j ɐ
істеричний	i s t e r ɪ t͡ʃ n e i̯
істина	i s t e n ɐ
історія	i s t ɔ rʲ i j ɐ
історичний	i s t ɔ r ɪ t͡ʃ n e i̯
істота	i s t ɔ t ɐ
істотний	i s t ɔ t n e i̯
ісус	i s u s
італієць	i t ɐ lʲ i j e t͡sʲ
італійка	i t ɐ lʲ i i̯ k ɐ
італійський	i t ɐ lʲ i i̯ sʲ k e i̯
італія	i t ɑ lʲ i j ɐ
іти	i t ɪ
ішак	i ʃ ɑ k
ішли	i ʃ ɫ ɪ
ї	j i
її	j i j i
їбати	j i b ɑ t e
їдальня	j i d ɑ lʲ nʲ ɐ
їдиш	j i d e ʃ
їжа	j i ʒ ɐ
їжак	j i ʒ ɑ k
їжакевич	j i ʒ ɐ k ɛ ʋ e t͡ʃ
їздити	j i z d e t e
їй	j i i̯
їм	j i m
їстівний	j i sʲ tʲ i u̯ n ɪ i̯
їсти	j i s t e
їх	j i x
їхати	j i x ɐ t e
їхній	j i x nʲ i i̯
а	ɑ
а	ɑ
аб'юрація	ɐ b j ʊ r ɑ t͡sʲ i j ɐ
абіогенез	ɐ bʲ i ɔ ɦ e n ɛ z
абісаль	ɐ bʲ i s ɑ lʲ
абіссінець	ɐ bʲ i sʲː i n e t͡sʲ
абіссінка	ɐ bʲ i sʲː i n k ɐ
абітурієнт	ɐ bʲ i t ʊ rʲ i j ɛ n t
абітурієнтка	ɐ bʲ i t ʊ rʲ i j ɛ n t k ɐ
абажур	ɐ b ɐ ʒ u r
абажурчик	ɐ b ɐ ʒ u r t͡ʃ e k
абаз	ɐ b ɑ z
абазія	ɐ b ɑ zʲ i j ɐ
абазин	ɐ b ɐ z ɪ n
абазинець	ɐ b ɐ z ɪ n e t͡sʲ
абазинка	ɐ b ɐ z ɪ n k ɐ
абак	ɐ b ɑ k
абака	ɐ b ɑ k ɐ
абандон	ɐ b ɐ n d ɔ n
абат	ɐ b ɑ t
абатиса	ɐ b ɐ t ɪ s ɐ
абатство	ɐ b ɑ t͡s t w ɔ
абвер	ɑ b ʋ e r
абдикація	ɐ b d e k ɑ t͡sʲ i j ɐ
абдомінопластика	ɐ b d ɔ mʲ i n ɔ p ɫ ɑ s t e k ɐ
аберація	ɐ b e r ɑ t͡sʲ i j ɐ
абетка	ɐ b ɛ t k ɐ
абеткування	ɐ b e t k ʊ ʋ ɑ nʲː ɐ
абзац	ɐ b z ɑ t͡s
аби	ɐ b ɪ
абиде	ɐ b ɪ d e
абиколи	ɐ b ɪ k ɔ ɫ e
абикуди	ɐ b ɪ k ʊ d e
абихто	ɐ b ɪ x t ɔ
абичого	ɐ b ɪ t͡ʃ ɔ ɦ ɔ
абищиця	ɐ b ɪ ʃ t͡ʃ e t͡sʲ ɐ
абищо	ɐ b ɪ ʃ t͡ʃ ɔ
абияк	ɐ b ɪ j ɐ k
аблактування	ɐ b ɫ ɐ k t ʊ ʋ ɑ nʲː ɐ
абластика	ɐ b ɫ ɑ s t e k ɐ
аблатив	ɐ b ɫ ɐ t ɪ u̯
абляція	ɐ b lʲ ɑ t͡sʲ i j ɐ
або	ɐ b ɔ
аболіціонізм	ɐ b ɔ lʲ i t͡sʲ i o nʲ i z m
аболіціоніст	ɐ b ɔ lʲ i t͡sʲ i o nʲ i s t
аболіція	ɐ b o lʲ i t͡sʲ i j ɐ
абонемент	ɐ b ɔ n e m ɛ n t
абонент	ɐ b ɔ n ɛ n t
абонентка	ɐ b ɔ n ɛ n t k ɐ
абонування	ɐ b ɔ n ʊ ʋ ɑ nʲː ɐ
абордаж	ɐ b ɔ r d ɑ ʒ
абориген	ɐ b ɔ r e ɦ ɛ n
аборигенка	ɐ b ɔ r e ɦ ɛ n k ɐ
аборт	ɐ b ɔ r t
абортування	ɐ b ɔ r t ʊ ʋ ɑ nʲː ɐ
абортувати	ɐ b ɔ r t ʊ ʋ ɑ t e
абразія	ɐ b r ɑ zʲ i j ɐ
абразив	ɐ b r ɐ z ɪ u̯
абразивність	ɐ b r ɐ z ɪ u̯ nʲ i sʲ tʲ
абракадабра	ɐ b r ɐ k ɐ d ɑ b r ɐ
абракадабризм	ɐ b r ɐ k ɐ d ɐ b r ɪ z m
абревіатура	ɐ b r e ʋʲ i ɐ t u r ɐ
абревіація	ɐ b r e ʋʲ i ɑ t͡sʲ i j ɐ
абреже	ɐ b r e ʒ ɛ
абрек	ɐ b r ɛ k
абрикос	ɐ b r e k ɔ s
абрикосівка	ɐ b r e k ɔ sʲ i u̯ k ɐ
абрикоса	ɐ b r e k ɔ s ɐ
абрикосник	ɐ b r e k ɔ s n e k
абрикотин	ɐ b r e k ɔ t ɪ n
абрис	ɑ b r e s
аброгація	ɐ b r ɔ ɦ ɑ t͡sʲ i j ɐ
абруптив	ɐ b r ʊ p t ɪ u̯
абсанс	ɐ b s ɑ n s
абсент	ɐ b s ɛ n t
абсентеїзм	ɐ b s e n t e j i z m
абсида	ɐ b s ɪ d ɐ
абсолют	ɐ b s o lʲ u t
абсолютизація	ɐ b s ɔ lʲ ʊ t e z ɑ t͡sʲ i j ɐ
абсолютизм	ɐ b s ɔ lʲ ʊ t ɪ z m
абсолютизування	ɐ b s ɔ lʲ ʊ t e z ʊ ʋ ɑ nʲː ɐ
абсолютист	ɐ b s ɔ lʲ ʊ t ɪ s t
абсолютистка	ɐ b s ɔ lʲ ʊ t ɪ s t k ɐ
абсолютність	ɐ b s o lʲ u tʲ nʲ i sʲ tʲ
абсолютний	ɐ b s o lʲ u t n e i̯
абсолютно	ɐ b s o lʲ u t n ɔ
абсолюція	ɐ b s o lʲ u t͡sʲ i j ɐ
абсорбент	ɐ b s ɔ r b ɛ n t
абсорбер	ɐ b s ɔ r b e r
абсорбування	ɐ b s ɔ r b ʊ ʋ ɑ nʲː ɐ
абсорбціометр	ɐ b s ɔ r b t͡sʲ i ɔ m e t r
абсорбція	ɐ b s ɔ r b t͡sʲ i j ɐ
абстинент	ɐ b s t e n ɛ n t
абстинентка	ɐ b s t e n ɛ n t k ɐ
абстиненція	ɐ b s t e n ɛ nʲ t͡sʲ i j ɐ
абстрагованість	ɐ b s t r ɐ ɦ ɔ ʋ ɐ nʲ i sʲ tʲ
абстрагування	ɐ b s t r ɐ ɦ ʊ ʋ ɑ nʲː ɐ
абстракт	ɐ b s t r ɑ k t
абстрактність	ɐ b s t r ɑ k tʲ nʲ i sʲ tʲ
абстрактний	ɐ b s t r ɑ k t n e i̯
абстракціонізм	ɐ b s t r ɐ k t͡sʲ i o nʲ i z m
абстракціоніст	ɐ b s t r ɐ k t͡sʲ i o nʲ i s t
абстракціоністка	ɐ b s t r ɐ k t͡sʲ i o nʲ i s t k ɐ
абстракція	ɐ b s t r ɑ k t͡sʲ i j ɐ
абсурд	ɐ b s u r d
абсурдизм	ɐ b s ʊ r d ɪ z m
абсурдист	ɐ b s ʊ r d ɪ s t
абсурдистка	ɐ b s ʊ r d ɪ s t k ɐ
абсурдність	ɐ b s u r dʲ nʲ i sʲ tʲ
абсурдний	ɐ b s u r d n e i̯
абсурдно	ɐ b s u r d n ɔ
абсцес	ɐ b s t͡s ɛ s
абсциса	ɐ b s t͡s ɪ s ɐ
абузус	ɐ b u z ʊ s
абулія	ɐ b ʊ lʲ i j ɐ
абхаз	ɐ b x ɑ z
абхазець	ɐ b x ɑ z e t͡sʲ
абхазка	ɐ b x ɑ z k ɐ
абшит	ɐ b ʃ ɪ t
авієтка	ɐ ʋʲ i j ɛ t k ɐ
авіабілет	ɐ ʋʲ i ɐ bʲ i ɫ ɛ t
авіабаза	ɐ ʋʲ i ɐ b ɑ z ɐ
авіабензин	ɐ ʋʲ i ɐ b e n z ɪ n
авіабомба	ɐ ʋʲ i ɐ b ɔ m b ɐ
авіабудівник	ɐ ʋʲ i ɐ b ʊ dʲ i u̯ n ɪ k
авіабудівництво	ɐ ʋʲ i ɐ b ʊ dʲ i u̯ n ɪ t͡s t w ɔ
авіабудування	ɐ ʋʲ i ɐ b ʊ d ʊ ʋ ɑ nʲː ɐ
авіавдар	ɐ ʋʲ i ɐ u̯ d ɑ r
авіавиставка	ɐ ʋʲ i ɐ ʋ ɪ s t ɐ u̯ k ɐ
авіагармата	ɐ ʋʲ i ɐ ɦ ɐ r m ɑ t ɐ
авіагоризонт	ɐ ʋʲ i ɐ ɦ ɔ r e z ɔ n t
авіагосподарство	ɐ ʋʲ i ɐ ɦ ɔ s p ɔ d ɑ r s t w ɔ
авіадвигун	ɐ ʋʲ i ɐ d ʋ e ɦ u n
авіадесант	ɐ ʋʲ i ɐ d e s ɑ n t
авіадесантник	ɐ ʋʲ i ɐ d e s ɑ n t n e k
авіадесантування	ɐ ʋʲ i ɐ d e s ɐ n t ʊ ʋ ɑ nʲː ɐ
авіадивізія	ɐ ʋʲ i ɐ d e ʋʲ i zʲ i j ɐ
авіадиспетчер	ɐ ʋʲ i ɐ d e s p ɛ t͡ʃː e r
авіаекспрес	ɐ ʋʲ i ɐ e k s p r ɛ s
авіаескадрилья	ɐ ʋʲ i ɐ e s k ɐ d r ɪ lʲ j ɐ
авіаз'єднання	ɐ ʋʲ i ɐ z j ɛ d n ɐ nʲː ɐ
авіазавод	ɐ ʋʲ i ɐ z ɐ w ɔ d
авіазагін	ɐ ʋʲ i ɐ z ɐ ɦʲ i n
авіазасіб	ɐ ʋʲ i ɐ z ɑ sʲ i b
авіазв'язок	ɐ ʋʲ i ɐ z ʋ j ɐ z ɔ k
авіакаса	ɐ ʋʲ i ɐ k ɑ s ɐ
авіакатастрофа	ɐ ʋʲ i ɐ k ɐ t ɐ s t r ɔ f ɐ
авіаквиток	ɐ ʋʲ i ɐ k ʋ e t ɔ k
авіаклуб	ɐ ʋʲ i ɐ k ɫ u b
авіаколедж	ɐ ʋʲ i ɐ k ɔ ɫ e d͡ʒ
авіакомпанія	ɐ ʋʲ i ɐ k ɔ m p ɑ nʲ i j ɐ
авіакомплекс	ɐ ʋʲ i ɐ k ɔ m p ɫ e k s
авіаконструктор	ɐ ʋʲ i ɐ k o n s t r u k t ɔ r
авіаконструювання	ɐ ʋʲ i ɐ k ɔ n s t r ʊ j ʊ ʋ ɑ nʲː ɐ
авіалінія	ɐ ʋʲ i ɐ lʲ i nʲ i j ɐ
авіалайнер	ɐ ʋʲ i ɐ ɫ ɑ i̯ n e r
авіаль	ɐ ʋʲ i ɑ lʲ
авіамайстерня	ɐ ʋʲ i ɐ m ɐ i̯ s t ɛ r nʲ ɐ
авіаматка	ɐ ʋʲ i ɐ m ɑ t k ɐ
авіамаяк	ɐ ʋʲ i ɐ m ɐ j ɑ k
авіаметеослужба	ɐ ʋʲ i ɐ m e t e o s ɫ u ʒ b ɐ
авіаметеостанція	ɐ ʋʲ i ɐ m e t e ɔ s t ɑ nʲ t͡sʲ i j ɐ
авіамеханік	ɐ ʋʲ i ɐ m e x ɑ nʲ i k
авіамоделізм	ɐ ʋʲ i ɐ m ɔ d e lʲ i z m
авіамоделіст	ɐ ʋʲ i ɐ m ɔ d e lʲ i s t
авіамодель	ɐ ʋʲ i ɐ m ɔ d ɛ lʲ
авіамотор	ɐ ʋʲ i ɐ m ɔ t ɔ r
авіамоторобудування	ɐ ʋʲ i ɐ m ɔ t ɔ r ɔ b ʊ d ʊ ʋ ɑ nʲː ɐ
авіаносець	ɐ ʋʲ i ɐ n ɔ s e t͡sʲ
авіаобприскування	ɐ ʋʲ i ɐ ɔ b p r ɪ s k ʊ ʋ ɐ nʲː ɐ
авіаобприскувач	ɐ ʋʲ i ɐ ɔ b p r ɪ s k ʊ ʋ ɐ t͡ʃ
авіаобробка	ɐ ʋʲ i ɐ ɔ b r ɔ b k ɐ
авіапідживлення	ɐ ʋʲ i ɐ pʲ i d͡ʒ ɪ u̯ ɫ e nʲː ɐ
авіапідприємство	ɐ ʋʲ i ɐ pʲ i d p r e j ɛ m s t w ɔ
авіапарк	ɐ ʋʲ i ɐ p ɑ r k
авіапасажир	ɐ ʋʲ i ɐ p ɐ s ɐ ʒ ɪ r
авіапатруль	ɐ ʋʲ i ɐ p ɐ t r u lʲ
авіапатрулювання	ɐ ʋʲ i ɐ p ɐ t r ʊ lʲ ʊ ʋ ɑ nʲː ɐ
авіаперевізник	ɐ ʋʲ i ɐ p e r e ʋʲ i z n e k
авіаперевезення	ɐ ʋʲ i ɐ p e r e ʋ ɛ z e nʲː ɐ
авіапереліт	ɐ ʋʲ i ɐ p e r e lʲ i t
авіаподорож	ɐ ʋʲ i ɐ p ɔ d ɔ r ɔ ʒ
авіаполіт	ɐ ʋʲ i ɐ p o lʲ i t
авіаполк	ɐ ʋʲ i ɐ p ɔ ɫ k
авіапорт	ɐ ʋʲ i ɐ p ɔ r t
авіапошта	ɐ ʋʲ i ɐ p ɔ ʃ t ɐ
авіапромисловість	ɐ ʋʲ i ɐ p r ɔ m e s ɫ ɔ ʋʲ i sʲ tʲ
авіаракетобудування	ɐ ʋʲ i ɐ r ɐ k e t ɔ b ʊ d ʊ ʋ ɑ nʲː ɐ
авіарейд	ɐ ʋʲ i ɐ r ɛ i̯ d
авіарейс	ɐ ʋʲ i ɐ r ɛ i̯ s
авіарозвідка	ɐ ʋʲ i ɐ r ɔ zʲ ʋʲ i d k ɐ
авіарозвідування	ɐ ʋʲ i ɐ r ɔ zʲ ʋʲ i d ʊ ʋ ɐ nʲː ɐ
авіасалон	ɐ ʋʲ i ɐ s ɐ ɫ ɔ n
авіасекстант	ɐ ʋʲ i ɐ s e k s t ɑ n t
авіасервіс	ɐ ʋʲ i ɐ s ɛ r ʋʲ i s
авіасполучення	ɐ ʋʲ i ɐ s p o ɫ u t͡ʃ e nʲː ɐ
авіаспорт	ɐ ʋʲ i ɐ s p ɔ r t
авіатехнік	ɐ ʋʲ i ɐ t ɛ x nʲ i k
авіатехніка	ɐ ʋʲ i ɐ t ɛ x nʲ i k ɐ
авіатика	ɐ ʋʲ i ɑ t e k ɐ
авіатор	ɐ ʋʲ i ɑ t ɔ r
авіаторпеда	ɐ ʋʲ i ɐ t ɔ r p ɛ d ɐ
авіатравма	ɐ ʋʲ i ɐ t r ɑ u̯ m ɐ
авіатранспорт	ɐ ʋʲ i ɐ t r ɑ n s p ɔ r t
авіатраса	ɐ ʋʲ i ɐ t r ɑ s ɐ
авіаудар	ɐ ʋʲ i ɐ ʊ d ɑ r
авіаучилище	ɐ ʋʲ i ɐ ʊ t͡ʃ ɪ ɫ e ʃ t͡ʃ e
авіафауна	ɐ ʋʲ i ɐ f ɑ ʊ n ɐ
авіафахівець	ɐ ʋʲ i ɐ f ɐ xʲ i ʋ ɛ t͡sʲ
авіахім	ɐ ʋʲ i ɐ xʲ i m
авіахімовець	ɐ ʋʲ i ɐ xʲ i m ɔ ʋ e t͡sʲ
