𐌰𐌱𐌿	a β u
𐌱𐌹𐌰𐌿𐌺𐌰𐌳𐌰	b i ɔː k a ð a
𐌱𐌹𐌲𐌰𐌹𐍂𐌳𐌰𐌽	b i ɡ ɛ r ð a n
𐌱𐌹𐌲𐌰𐌿𐍂𐌳𐌰𐌽𐍃	b i ɡ ɔ r ð a n s
𐌱𐌹𐌳𐌾𐌰𐌹𐌸	b i ð j ɛː θ
𐌱𐌹𐌳𐌾𐌰𐌽𐌳𐌰𐌽𐍃𐌿𐌸	b i ð j a n d a n s u θ
𐌱𐌹𐍂𐍉𐌳𐌴𐌹𐌸	b i r oː ð iː θ
𐌱𐌹𐍂𐍉𐌳𐌹𐌳𐌴𐌳𐌿𐌽	b i r oː ð i ð eː ð u n
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽	b i r oː ð j a n
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽𐌳𐌴𐌹𐌽	b i r oː ð j a n d iː n
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽𐌳𐍃	b i r oː ð j a n d s
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌳𐌰	b i s ɔː l i ð a
𐌱𐌹𐍃𐌰𐌿𐌻𐌹𐌳𐌰𐌹𐌼	b i s ɔː l i ð ɛː m
𐌱𐌹𐍃𐌰𐌿𐌻𐌽𐍉𐌳𐌴𐌳𐌴𐌹𐌽𐌰	b i s ɔː l n oː ð eː ð iː n a
𐌱𐌹𐍃𐌰𐍄𐌹𐌳𐌰	b i s a t i ð a
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽	b i s k a β a n
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽𐍃	b i s k a β a n s
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽𐍉𐌽	b i s k a β a n oː n
𐌱𐌹𐍃𐍀𐌴𐌹𐍅𐌰𐌳𐌰	b i s p iː w a ð a
𐌱𐌹𐍃𐍅𐌰𐌹𐍂𐌱𐌰𐌽	b i s w ɛ r β a n
𐌱𐌹𐍅𐌰𐌹𐌱𐌹𐌳𐌰𐌽𐌰	b i w ɛː β i ð a n a
𐌱𐌹𐍅𐌰𐌹𐌱𐌹𐌸𐍃	b i w ɛː β i θ s
𐌱𐌹𐍅𐌰𐌹𐌱𐌾𐌰𐌽	b i w ɛː β j a n
𐌱𐌹𐍅𐌰𐌹𐌱𐌾𐌰𐌽𐌳	b i w ɛː β j a n d
𐌱𐌹𐍈𐌰𐌹𐍂𐌱𐌰𐌽	b i ʍ ɛ r β a n
𐌱𐌹𐍈𐌰𐌹𐍂𐌱𐌰𐌽𐌳	b i ʍ ɛ r β a n d
𐌱𐍉𐍄𐌹𐌳𐌰	b oː t i ð a
𐌲𐌰𐌰𐌲𐌲𐍅𐌹𐌳𐌰𐌹	ɡ a a ŋ ɡ w i ð ɛː
𐌲𐌰𐌰𐌹𐌽𐌰𐌹𐌳𐌰𐌹	ɡ a ɛː n ɛː ð ɛː
𐌲𐌰𐌱𐌰𐌹𐌳𐌹𐌳𐌴𐌳𐌿𐌸	ɡ a b ɛː ð i ð eː ð u θ
𐌲𐌰𐌱𐌰𐌹𐌳𐌾𐌰𐌽	ɡ a b ɛː ð j a n
𐌲𐌰𐌱𐌰𐌹𐍂𐌲𐌰𐌳𐌰	ɡ a b ɛ r ɣ a ð a
𐌲𐌰𐌱𐌰𐌹𐍂𐌲𐌰𐌽	ɡ a b ɛ r ɣ a n
𐌲𐌰𐌱𐌰𐌽𐌳𐍅𐌹𐌳𐌴𐌳𐌿𐌽	ɡ a b a n d w i ð eː ð u n
𐌲𐌰𐌱𐌰𐌿𐍂𐌾𐌰𐌱𐌰	ɡ a b ɔ r j a β a
𐌲𐌰𐌱𐌴𐌹𐌳𐌰𐌽	ɡ a b iː ð a n
𐌲𐌰𐌱𐌴𐌹𐌳𐌹𐌸	ɡ a b iː ð i θ
𐌲𐌰𐌱𐌹𐌲𐌰𐌱𐌰	ɡ a β i ɣ a
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽	ɡ a b i ɣ n a n
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽𐌳𐌰𐌽𐍃	ɡ a b i ɣ n a n d a n s
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽𐌳𐍃	ɡ a b i ɣ n a n d s
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽	ɡ a b i ɣ j a n
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽𐌳𐌰𐌽𐍃	ɡ a b i ɣ j a n d a n s
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽𐌳𐍃	ɡ a b i ɣ j a n d s
𐌲𐌰𐌱𐌹𐌳𐌾𐌰𐌹𐌸	ɡ a b i ð j ɛː θ
𐌲𐌰𐌱𐌹𐌳𐌾𐌰𐌽	ɡ a b i ð j a n
𐌲𐌰𐌱𐌹𐌿𐌲𐌰𐌽	ɡ a b i u̯ ɣ a n
𐌲𐌰𐌱𐌻𐌹𐌽𐌳𐌹𐌳𐌰	ɡ a b l i n d i ð a
𐌲𐌰𐌱𐌿𐌲𐌰𐌽𐌰𐌹𐌼	ɡ a b u ɣ a n ɛː m
𐌲𐌰𐌱𐌿𐌲𐌰𐌽𐍃	ɡ a b u ɣ a n s
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌹𐌳𐌰𐌹	ɡ a b r a n n i ð ɛː
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌹𐌳𐌰𐌹𐌶𐍉𐍃	ɡ a b r a n n i ð ɛː z oː s
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌹𐌳𐌰𐌿	ɡ a b r a nː j ɛː ð ɔː
𐌲𐌰𐌲𐌿𐌳𐌰𐌱𐌰	ɡ a ɡ u ð a β a
𐌲𐌰𐌲𐌿𐌳𐌴𐌹	ɡ a ɡ u ð iː
𐌲𐌰𐌲𐌿𐌳𐌴𐌹𐌽	ɡ a ɡ u ð iː n
𐌲𐌰𐌲𐌿𐌳𐌴𐌹𐌽𐍃	ɡ a ɡ u ð iː n s
𐌲𐌰𐌳𐌰𐌿𐌱𐌹𐌳𐌰	ɡ a d ɔː β i ð a
𐌲𐌰𐌳𐌰𐌿𐌱𐌾𐌰𐌽	ɡ a d ɔː β j a n
𐌲𐌰𐌳𐌹𐌲𐌰𐌽	ɡ a d i ɣ a n
𐌲𐌰𐌳𐌹𐌲𐌰𐌽𐍃	ɡ a d i ɣ a n s
𐌲𐌰𐌳𐌹𐌲𐌹𐍃	ɡ a d i ɣ i s
𐌲𐌰𐌳𐌹𐌿𐍀𐌹𐌳𐌰	ɡ a d i u̯ p i ð a
𐌲𐌰𐌳𐍂𐌹𐌲𐌺𐌰𐌹𐍃	ɡ a d r i ŋ k ɛː s
𐌲𐌰𐌳𐍂𐌹𐌲𐌺𐌰𐌽	ɡ a d r i ŋ k a n
𐌲𐌰𐌳𐍂𐍉𐌱𐌽𐌰𐌽	ɡ a d r oː β n a n
𐌲𐌰𐌳𐍂𐍉𐌱𐌽𐍉𐌳𐌰	ɡ a d r oː β n oː ð a
𐌲𐌰𐌷𐌰𐌹𐌻𐌹𐌳𐌰	ɡ a h ɛː l i ð a
𐌲𐌰𐌷𐌰𐌹𐌻𐌹𐌳𐌰𐌹	ɡ a h ɛː l i ð ɛː
𐌲𐌰𐌷𐌰𐌼𐍉𐌳𐌰𐌹	ɡ a h a m oː ð ɛː
𐌲𐌰𐌷𐌰𐌿𐌽𐌹𐌳𐌰	ɡ a h ɔː n i ð a
𐌲𐌰𐌷𐌼𐌴𐌻𐌹𐌳𐌰	ɡ a h m eː l i ð a
𐌲𐌰𐌷𐌽𐌰𐌹𐍅𐌹𐌳𐌰𐌽𐍃	ɡ a h n ɛː w i ð a n s
𐌲𐌰𐌷𐌽𐌰𐌹𐍅𐌾𐌰𐌳𐌰	ɡ a h n ɛː w j a ð a
𐌲𐌰𐌷𐌿𐌻𐌹𐌳𐌰	ɡ a h u l i ð a
𐌲𐌰𐌷𐌿𐌻𐌹𐌳𐌰𐌼𐌼𐌰	ɡ a h u l i ð a m m a
𐌲𐌰𐌷𐍉𐌱𐌰𐌹𐌽𐍃	ɡ a h oː β ɛː n s
𐌲𐌰𐌷𐍉𐍂𐌹𐌽𐍉𐌳𐌰	ɡ a h oː r i n oː ð a
𐌲𐌰𐌹𐍂𐌳𐌰	ɡ ɛ r ð a
𐌲𐌰𐌺𐌰𐌿𐍃𐌹𐌳𐌴𐌳𐌿𐌼	ɡ a k ɔː s i ð eː ð u m
𐌲𐌰𐌺𐍂𐍉𐍄𐍉𐌳𐌰	ɡ a k r oː t oː ð a
𐌲𐌰𐌼𐌰𐌲𐌰𐌽	ɡ a m a ɣ a n
𐌲𐌰𐌼𐌰𐌻𐍅𐌹𐌳𐌰𐌽𐍃	ɡ a m a l w i ð a n s
𐌲𐌰𐌼𐌰𐌿𐍂𐌲𐌹𐌳𐌴𐌳𐌹	ɡ a m ɔ r ɡ i ð eː ð i
𐌲𐌰𐌼𐌰𐍄𐌹𐌳𐌴𐌳𐌿𐌽	ɡ a m a t i ð eː ð u n
𐌲𐌰𐌼𐌹𐌺𐌹𐌻𐌹𐌳𐌰	ɡ a m i k i l i ð a
𐌲𐌰𐌽𐌰𐌲𐌻𐌾𐌰𐌽	ɡ a n a ɣ l j a n
𐌲𐌰𐌽𐌰𐌲𐌻𐌾𐌰𐌽𐌳𐍃	ɡ a n a ɣ l j a n d s
𐌲𐌰𐌽𐌰𐌹𐍄𐌹𐌳𐌰𐌽𐌰	ɡ a n ɛː t i ð a n a
𐌲𐌰𐌽𐌰𐍃𐌹𐌳𐌰𐌹	ɡ a n a s i ð ɛː
𐌲𐌰𐌽𐌰𐍄𐌹𐌳𐌰	ɡ a n a t i ð a
𐌲𐌰𐌽𐌰𐍅𐌹𐍃𐍄𐍂𐍉𐌳𐌰𐌹	ɡ a n a w i s t r oː ð ɛː
𐌲𐌰𐍃𐌰𐌲𐌲𐌵	ɡ a s a ŋ kʷ
𐌲𐌰𐍃𐌹𐌲𐌲𐌵𐌰𐌹	ɡ a s i ŋ kʷ ɛː
𐌲𐌰𐍃𐌹𐌲𐌲𐌵𐌰𐌽	ɡ a s i ŋ kʷ a n
𐌲𐌰𐍃𐍄𐌹𐌲𐍉𐌳𐌴𐌹	ɡ a s t i ɣ oː ð iː
𐌲𐌰𐍃𐍄𐌹𐌲𐍉𐌸𐍃	ɡ a s t i ɣ oː θ s
𐌲𐌰𐍄𐌰𐌽𐌳𐌹𐌳𐌰	ɡ a t a n d i ð a
𐌲𐌰𐍆𐌴𐌷𐌰𐌱𐌰	ɡ a f eː h a β a
𐌲𐍂𐌰𐌱𐌰𐌽	ɡ r a β a n
𐌲𐍂𐌴𐌳𐌰𐌲𐍃	ɡ r eː ð a x s
𐌲𐍂𐍉𐌱𐌰	ɡ r oː β a
𐌲𐍂𐍉𐌱𐍉𐍃	ɡ r oː β oː s
𐌳𐌰𐌲𐍃	d a x s
𐌳𐌰𐌿𐌸𐌿𐌱𐌻𐌴𐌹𐍃	d ɔː θ u β l iː s
𐌳𐌰𐌿𐌸𐌿𐌱𐌻𐌾𐌰𐌽𐍃	d ɔː θ u β l j a n s
𐌳𐌹𐌲𐌰𐌽	d i ɣ a n
𐌳𐌹𐌲𐌰𐌽𐌰	d i ɣ a n a
𐌳𐌹𐌲𐌰𐌽𐌳𐌹𐌽	d i ɣ a n d i n
𐌳𐌹𐌲𐌰𐌽𐌳𐍃	d i ɣ a n d s
𐌳𐌹𐌲𐌰𐌽𐍃	d i ɣ a n s
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌹𐌳𐌰	d i s d ɛː l i ð a
𐌳𐌹𐍃𐌷𐌽𐌿𐍀𐌽𐍉𐌳𐌴𐌳𐌿𐌽	d i s h n u p n oː ð eː ð u n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽	d i s s k ɛː ð a n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽𐌳𐌴𐌹𐌽	d i s s k ɛː ð a n d iː n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽𐌳𐍃	d i s s k ɛː ð a n d s
𐌳𐌹𐍃𐍄𐌰𐌷𐌹𐌳𐌰	d i s t a h i ð a
𐌳𐌹𐍃𐍄𐌰𐌷𐌹𐌳𐌴𐌳𐌹	d i s t a h i ð eː ð i
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌰𐌳𐌰	d i s t a h j a ð a
𐌳𐌿𐌲𐌰𐍅𐌹𐌽𐌳𐌰𐌽	d u ɣ a w i n d a n
𐌳𐌿𐌲𐌰𐍅𐌹𐌽𐌳𐌹𐌸	d u ɣ a w i n d i θ
𐌳𐌿𐌲𐌹𐌽𐌽𐌰𐌽	d u ɣ i n n a n
𐌳𐌿𐌲𐌹𐌽𐌽𐌹𐌳	d u ɣ i n n i θ
𐌳𐌿𐌲𐌹𐌽𐌽𐌹𐌸	d u ɣ i n n i θ
𐌳𐌿𐍃𐍄𐍉𐌳𐌴𐌹𐌸	d u s t oː ð iː θ
𐌳𐌿𐍃𐍄𐍉𐌳𐌹𐌳𐌰	d u s t oː ð i ð a
𐌳𐌿𐍃𐍄𐍉𐌳𐌾𐌰𐌽	d u s t oː ð j a n
𐌳𐍂𐌰𐌲𐌺𐌾𐌰𐌽	d r a ŋ k j a n
𐌳𐍂𐌹𐌲𐌺𐌰𐌽	d r i ŋ k a n
𐌳𐍂𐌹𐌿𐌲𐌰𐌹𐍃	d r i u̯ ɣ ɛː s
𐌳𐍂𐌹𐌿𐌲𐌰𐌽	d r i u̯ ɣ a n
𐌳𐍂𐍉𐌱𐌾𐌰𐌽	d r oː β j a n
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐌰𐌼	d r oː β j a n d a m
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐌰𐌽𐍃	d r oː β j a n d a n s
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐍃	d r oː β j a n d s
𐌷𐌰𐌱𐌰𐌹𐌳𐌴𐌳𐌿𐌽	h a β ɛː ð eː ð u n
𐌷𐌰𐌱𐌰𐌽	h a β aː n
𐌷𐌻𐌴𐌹𐌳𐌿𐌼𐌰	h l iː ð u m a
𐌷𐌻𐌴𐌹𐌳𐌿𐌼𐌴𐌹	h l iː ð u m iː
𐌷𐌻𐌴𐌹𐌳𐌿𐌼𐌴𐌹𐌽	h l iː ð u m iː n
𐌷𐌻𐌴𐌹𐌳𐌿𐌼𐍉𐌽𐌰	h l iː ð u m oː n a
𐌷𐌿𐌲𐌾𐌰𐌽	h u ɣ j a n
𐌷𐍂𐌰𐌹𐍅𐌰𐌳𐌿𐌱𐍉	h r ɛː w a d uː β oː
𐌷𐍂𐌰𐌹𐍅𐌰𐌳𐌿𐌱𐍉𐌽𐍉	h r ɛː w a d uː β oː n oː
𐌸𐌹𐌿𐌱𐌹	θ i u̯ β i
𐌸𐌹𐌿𐌳𐌰	θ i u̯ ð a
𐌹𐌽𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌳𐌰	i n b r a nː j a ð a
𐌹𐌽𐌿𐌷𐍃𐌰𐌽𐌳𐌹𐌳𐌴𐌳𐌿𐌽	i n u h s a n d i ð eː ð u n
𐌻𐌰𐌿𐌱𐍉𐍃	l ɔː β oː s
𐌼𐌰𐌽𐌰𐍃𐌴𐌳𐌰𐌹	m a n a s eː ð ɛː
𐌼𐌰𐌽𐌰𐍃𐌴𐌳𐌰𐌹𐍃	m a n a s eː ð ɛː s
𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳	m i ð j u n ɡ a r d
𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳𐌹𐍃	m i ð j u n ɡ a r d i s
𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳𐍃	m i ð j u n ɡ a r d s
𐌽𐌰𐌳𐍂𐌴	n a ð r eː
𐌽𐌰𐌳𐍂𐍃	n a ð r s
𐌽𐌹𐌳𐍅𐌰	n i ð w a
𐌿𐍃𐌳𐌰𐌿𐌳𐌴𐌹	u s d ɔː ð iː
𐍀𐌴𐌹𐌺𐌰𐌱𐌰𐌲𐌼𐌴	p iː k a b a ɣ m eː
𐍀𐌴𐌹𐌺𐌰𐌱𐌰𐌲𐌼𐍃	p iː k a b a ɣ m s
𐍂𐌹𐌲𐌽	r i ɣ n
𐍂𐌹𐌲𐌽𐌴𐌹𐌸	r i ɣ n iː θ
𐍂𐌹𐌲𐌽𐌹𐌳𐌰	r i ɣ n i ð a
𐍂𐌹𐌲𐌽𐌾𐌰𐌽	r i ɣ n j a n
𐍃𐌰𐌲𐌲𐌵𐌰	s a ŋ kʷ a
𐍃𐌰𐌲𐌲𐍅𐍃	s a ŋ ɡʷ s
𐍃𐌰𐌲𐌵	s a ŋ kʷ
𐍃𐌹𐌲𐌵𐌰𐌽	s i ŋ kʷ a n
𐍃𐌺𐌰𐌹𐌳𐌰𐌹	s k ɛː ð ɛː
𐍃𐌺𐌰𐌹𐌳𐌰𐌽	s k ɛː ð a n
𐍃𐌺𐌰𐌹𐌳𐌹𐌸	s k ɛː ð i θ
𐍃𐌼𐌰𐌺𐌺𐌰𐌱𐌰𐌲𐌼	s m a k k a b a ɣ m
𐍃𐌼𐌰𐌺𐌺𐌰𐌱𐌰𐌲𐌼𐌰	s m a k k a b a ɣ m a
𐍃𐌼𐌰𐌺𐌺𐌰𐌱𐌰𐌲𐌼𐍃	s m a k k a b a ɣ m s
𐍃𐌿𐌲𐌵𐌿𐌽	s u ŋ kʷ u n
𐍄𐌰𐌲𐍂𐌹𐌳𐌰	t a ɣ r i ð a
𐍄𐌰𐌲𐍂𐌾𐌰𐌽	t a ɣ r j a n
𐍄𐌿𐌲𐌲𐌻	t u ŋ ɡ l
𐍄𐍅𐌰𐌻𐌹𐌱𐍅𐌹𐌽𐍄𐍂𐌿𐍃	t w a l i β w i n t r u s
𐍅𐌰𐍂𐌼𐌹𐌳𐌴𐌳𐌿𐌽	w a r m i ð eː ð u n
𐍅𐌴𐌲𐌰	w eː ɣ a
𐍅𐌴𐌲𐌹𐌼	w eː ɣ i m
𐍅𐌴𐌲𐍃	w eː x s
𐍅𐌴𐌲𐍉𐍃	w eː ɣ oː s
𐍅𐌹𐌲𐌰𐌳𐌴𐌹𐌽𐍉𐌼	w i ɣ a d iː n oː m
𐍅𐌹𐍄𐌰𐌹𐌳𐌰	w i t ɛː ð a
𐍅𐌹𐍄𐌰𐌹𐌳𐌴𐌳𐌿𐌽	w i t ɛː ð eː ð u n
𐍆𐌰𐌳𐌰𐍂	f a ð a r
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐌲𐌰𐌹𐍃	f ɛ h u ɡ iː ɣ ɛː s
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐌲𐌰𐌽	f ɛ h u ɡ iː ɣ a n
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌳𐌴𐌳𐌹	f ɛ r i n oː ð eː ð i
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌿𐌲𐌹𐌳𐌰	f ɔ r a ɣ a h u ɣ i ð a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌿𐌲𐌾𐌰𐌽	f ɔ r a ɣ a h u ɣ j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌹𐌳𐌰	f ɔ r a ɣ a l iː k ɛː ð a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌽	f ɔ r a ɣ a l iː k aː n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌹𐌳𐌰	f ɔ r a ɣ a m a n w i ð a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌹𐌽𐌰	f ɔ r a ɣ a m a n w j ɛː n a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽	f ɔ r a ɣ a m a n w j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌳𐌰	f ɔ r a ɣ a m eː l i ð a
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌸	f ɔ r a ɣ a m eː l i θ
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌹𐌸𐍃	f ɔ r a ɣ a m eː l i θ s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌾𐌰𐌽	f ɔ r a ɣ a m eː l j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌰𐌹𐍂𐍉𐌸	f ɔ r a ɣ a r ɛː r oː θ
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽	f ɔ r a ɣ a r eː d a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽𐌰𐌹	f ɔ r a ɣ a r eː ð a n ɛː
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽𐍃	f ɔ r a ɣ a r eː ð a n s
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐍄𐌾𐌰𐌽	f ɔ r a ɣ a s a t j a n
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐍄𐌾𐌹𐌸	f ɔ r a ɣ a s a t j i θ
𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌹	f ɔ r a ð ɔ r i
𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌾𐌰	f ɔ r a ð ɔ r j a
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌹𐌳𐍉	f ɔ r l a ɣ i ð oː
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌹𐌸𐍃	f ɔ r l a ɣ i θ s
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌾𐌰𐌹𐌳𐌰𐌿	f ɔ r l a ɣ j ɛː ð ɔː
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌾𐌰𐌽	f ɔ r l a ɣ j a n
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽	f ɔ r s i ɣ l j a n
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽𐌳𐌰𐌽𐍃	f ɔ r s i ɣ l j a n d a n s
𐍆𐌰𐌿𐍂𐍃𐌹𐌲𐌻𐌾𐌰𐌽𐌳𐍃	f ɔ r s i ɣ l j a n d s
𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌽	f a r i ð eː ð u n
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌹	f a s t u β n i
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌾𐌰	f a s t u β n j a
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌾𐌰𐌼	f a s t u β n j a m
𐍆𐌹𐌻𐌴𐌲𐍂𐌹	f i l eː ɣ r i
𐍆𐌹𐌻𐌴𐌲𐍂𐌾𐌰	f i l eː ɣ r j a
𐍆𐌹𐌻𐌹𐌲𐍂𐌹	f i l i ɣ r i
𐍆𐌹𐌻𐌹𐌲𐍂𐌾𐌰	f i l i ɣ r j a
𐍆𐌹𐌻𐌿𐌲𐌰𐌻𐌰𐌿𐌱𐌹𐍃	f i l u ɣ a l ɔː β i s
𐍆𐌹𐌻𐌿𐌲𐌰𐌻𐌰𐌿𐍆𐍃	f i l u ɣ a l ɔː f s
𐍆𐌹𐌻𐌿𐌳𐌴𐌹𐍃𐌴𐌹	f i l u ð iː s iː
𐍆𐌹𐌻𐌿𐌳𐌴𐌹𐍃𐌴𐌹𐌽	f i l u ð iː s iː n
𐍆𐌿𐌲𐌻𐌰𐌼	f u ɣ l a m
𐍆𐌿𐌲𐌻𐍃	f u ɣ l s
𐍆𐌿𐌲𐌻𐍉𐍃	f u ɣ l oː s
𐍆𐌿𐌻𐌻𐌰𐍆𐌰𐌷𐌹𐌳𐌰	f u l l a f a h i ð a
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌹𐌳𐌰	f r a kʷ i s t i ð a
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌹𐌳𐌰𐌹	f r a kʷ i s t i ð ɛː
𐍆𐍂𐌰𐌼𐌰𐌸𐌹𐌳𐌰𐌽𐍃	f r a m a θ i ð a n s
𐍆𐍂𐌰𐌼𐍅𐌹𐌲𐌹𐍃	f r a m w i ɣ i s
𐍆𐍂𐌰𐍅𐌰𐍂𐌳𐌹𐌳𐌰𐌹𐌶𐌴	f r a w a r d i ð ɛː z eː
𐍆𐍂𐌴𐌹𐌳𐌹𐌳𐌰	f r iː ð i ð a
𐍆𐍂𐌴𐌹𐌳𐌾𐌰	f r iː ð j a
𐍆𐍂𐌴𐌹𐌳𐌾𐌰𐌹	f r iː ð j ɛː
𐍆𐍂𐌴𐌹𐌳𐌾𐌰𐌽	f r iː ð j a n
