Ё	ʲo
ақтару	ɑ q t ɑ r u
ақша	æ q ʃ ɑ
ақша	ɑ q ʃ ɑ
ақыл	ɑ q ə l
аққу	æ q q o̙ w
аққу	æ q q u
аққу	ɑ q q o̙ w
аққу	ɑ q q u
аңғар	ɑ ŋ ʁ ɑ r
б	b
бай	b ɑ j
байрақ	b ɑ j r ɑ q
байтақ	b ɑ j t ɑ q
байы	b ɑ j ə
бала	b ɑ l ɑ
балабақша	b ɑ l ɑ b ɑ q ʃ ɑ
баласы	b ɑ l ɑ s ə
балық	b ɑ l ə q
балға	b ɑ l ʁ ɑ
бапа	b ɑ p ɑ
барлық	b ɑ r l ə q
барсам	b ɑ r s ɑ m
бару	b ɑ r ʊ w
бастық	b ɑ s t ə q
басқарма	b ɑ s q ɑ r m ɑ
батыс	b ɑ t s
батыс	b ɑ t ə s
бауырмалдық	b ɑ w ə r m ɑ ɫ d ə q
бауырсақ	b ɑ w ə r s ɑ q
баю	b ɑ j ʊ w
баға	b ɑ ʁ ɑ
бағбан	b ɑ ʁ b ɑ n
бағдарлама	b ɑ ʁ d ɑ r l ɑ m ɑ
бағдарламалық	b ɑ ʁ d ɑ r l ɑ m ɑ l ə q
бағдаршам	b ɑ ʁ d ɑ r ʃ ɑ m
бақа	b ɑ q ɑ
бақташы	b ɑ q t ɑ ʃ ə
беде	b e d e
бейәдеби	b e j æ d e b ɘ j
бек	b e k
бекіту	b e k t ɘ w
бекіту	b e k ɘ t ɘ w
берер	b e r e r
беру	b e r ɘ w
берік	b e r ɘ k
бес	b e s
бесбармақ	b e s b ɑ r m ɑ q
бесті	b e s t ɘ
бесік	b e s ɘ k
бесінші	b e s ɘ n ʃ ɘ
бесқонақ	b e s q o n ɑ q
бет	b e t
би	b ɘ j
бидай	b ɘ j d ɑ j
бие	b ɘ j j e
болашақ	b o l ɑ ʃ ɑ q
болу	b o l ʊ w
бос	b o s
боқтау	b o q t ɑ w
біз	b ɘ z
біл	b ɘ l
білезік	b ɘ l e z ɘ k
білеу	b ɘ l e w
білу	b ɘ l ʉ w
білуге	b ɘ l ʉ w ɡ e
білуден	b ɘ l ʉ w d e n
білуді	b ɘ l ʉ w d ɘ
білім	b ɘ l ɘ m
біліппін	b ɘ l ɘ p p ɘ n
біліңдер	b ɘ l ɘ ŋ d e r
біліңіз	b ɘ l ɘ ŋ ɘ z
біліңіздер	b ɘ l ɘ ŋ ɘ z d e r
бір	b ɘ r
біреу	b ɘ r e w
бірінші	b ɘ r ɘ n ʃ ɘ
бірқазан	b ɘ r q ɑ z ɑ n
біту	b ɘ t ʉ w
бүгін	b ʉ ɡ ɘ n
бүйту	b ʉ j t ʉ w
бүкіләлемдік	b ʉ k ɘ l æ l e m d ɘ k
бүлдіршін	b ʏ l d ɪ ɾ ɕ ɪ n
бұзау	b ʊ z ɑ w
бұйым	b ʊ j ə m
бұлбұл	b ʊ l b ʊ l
бұрыш	b ʊ r ə ʃ
бұт	b ʊ t
бұта	b ʊ t ɑ
бұтақ	b ʊ t ɑ q
бөлме	b ɵ l m e
бөлік	b ɵ l ɘ k
бөтен	b ɵ t e n
в	v
г	ɡ
гүл	ɡ ʉ l
гүлстан	ɡ ʉ l s t ɑ n
гүлстан	ɡ ʉ l ɘ s t ɑ n
д	d
дайын	d ɑ j ə n
данышпан	d ɑ n ə ʃ p ɑ n
даршын	d ɑ r ʃ ə n
дауыл	d ɑ w ə l
дауыс	d ɑ w ə s
дағдарыс	d ɑ ʁ d ɑ r ə s
дағдарыссыз	d ɑ ʁ d ɑ r s s ə z
дағдарыссыз	d ɑ ʁ d ɑ r ə s s ə z
даңқ	d ɑ ŋ q
дейін	d e j ɘ n
деу	d e w
дзәт	d z æ t
диаметр	d ɪ j ɑ m j ɪ t r
дыбыс	d ɯ b ɯ s
діни	d ɘ n i j
діріл	d ɘ r ɘ l
дүние	d ʉ n ʉ j j e
дүниежүзілік	d ʉ n ɘ j j e ʒ ʉ z ɘ l ɘ k
дәмқосар	d æ m q o s ɑ r
дәптер	d æ p t e r
дәрі	d æ r ɘ
дәрігер	d æ r ɘ ɡ e r
дәрісхана	d æ r ɘ s χ ɑ n ɑ
дәріхана	d æ r ɘ χ ɑ n ɑ
дәріханашы	d æ r ɘ χ ɑ n ɑ ʃ ə
дәстүр	d æ s t ʉ r
дәу	d æ w
е	ʲe
еді	e d ɘ
ежелгі	e ʒ e l ɡ ɘ
екі	e k ɘ
екінші	e k ɘ n ʃ ɘ
екінші	j e k ɘ n ʃ ɘ
ел	e l
елорда	e l o r d ɑ
елтаңба	e l t ɑ ŋ b ɑ
елу	e l ʉ w
елуінші	e l ʉ w ʉ n ʃ ɘ
ем	e m
ему	e m ʉ w
емхана	e m χ ɑ n ɑ
ер	e r
ергежейлік	e r ɡ e ʒ e j l ɘ k
еркіндік	e r k ɘ n d ɘ k
ертек	e r t e k
есептеу	e s e p t e w
ешкім	e ʃ k ɘ m
ешқашан	e ʃ q ɑ ʃ ɑ n
ж	ʒ
жабдық	ʒ ɑ b d ə q
жалпы	ʒ ɑ l p ə
жаман	ʒ ɑ m ɑ n
жамандық	ʒ ɑ m ɑ n d ə q
жан	d͡ʒ ɑ n
жан	ʒ ɑ n
жантану	ʒ ɑ n t ɑ n ʊ w
жарамды	ʒ ɑ r ɑ m d ə
жарату	ʒ ɑ r ɑ t ʊ w
жарық	ʒ ɑ r ə q
жасанды	ʒ ɑ s ɑ n d ə
жасау	ʒ ɑ s ɑ w
жасымық	ʒ ɑ s ə m ə q
жасын	ʒ ɑ s ə n
жаттау	ʒ ɑ t t ɑ w
жату	ʒ ɑ t ʊ w
жатыр	d ʒ ɑ t ə r
жатыр	ɑ t ə r
жатыр	ʒ ɑ t ə r
жатырмыз	ʒ ɑ t ə r m ə z
жатырмын	ʒ ɑ t ə r m ə n
жатырсың	ʒ ɑ t ə r s ə ŋ
жатырсыңдар	ʒ ɑ t ə r s ə ŋ d ɑ r
жауынгер	ʒ ɑ w ə ŋ ɡ e r
жауып	ʒ ɑ w ə p
жағдай	ʒ ɑ ʁ d ɑ j
жақсы	ʒ ɑ q s ə
жақтаушы	ʒ ɑ q t ɑ w ʃ ə
жаңа	ʒ ɑ ŋ ɑ
жаңбыр	ʒ ɑ ŋ b ə r
жаңбырлы	ʒ ɑ ŋ b ə r l ə
жаһан	ʒ ɑ h ɑ n
жезде	ʒ e z d e
жел	ʒ e l
желтоқсан	ʒ e l t o q s ɑ n
жер	ʒ e r
жетпіс	d ʑ e t p ɪ s
жетпіс	ʑ e t p ɪ s
жетпісінші	ʒʲ e t p ɘ̆ s ɘ n ʃ ɘ
жетінші	d ʑ e t ɪ n ɕ ɪ
жетінші	ʑ e t ɪ n ɕ ɪ
жеу	ʒ e w
жең	ʒ e ŋ
жеңуші	ʒ e ŋ ʉ w ʃ ɘ
жеңіл	ʒ e ŋ ɘ l
жеңіс	ʒʲ e ŋ ɘ s
жиырма	d ʒ ɨ j ɨ r m a
жиырма	ʒ ɨ j ɨ r m a
жиырмасыншы	ʒ ə j ə r m ɑ s ə n ʃ ə
жол	ʒ o l
жолдас	ʒ o l d ɑ s
жомарт	ʒ o m ɑ r t
жорға	ʒ o ɾ ʁ ɑ
жоқ	d ʑ o q
жоқ	ʑ o q
жоңышқа	ʒ o ŋ ə ʃ q ɑ
жуан	ʒ u w ɑ n
жуандау	ʒ u w ɑ n d ɑ w
жуық	ʒ u w ə q
жуықтау	ʒ u w ʊ q t ɑ w
жіберу	ʒ ɪ b e r ɪ w
жігіт	d ʒ ɪ ɡ ɪ t
жігіт	ʒ ɪ ɡ ɪ t
жүзім	ʒ ʏ z ɪ m
жүзінші	ʒ ʏ z ɪ n ʃ ɪ
жұлдыз	ʒ ʊ l d ə z
жұрт	d͡ʒ ʊ r t
жұрт	ʒ ʊ r t
жәлеп	ʒ æ l e p
жәлептік	ʒ æ l e p t ɘ k
және	ʒ æ n e
з	z
заман	z ɑ m ɑ n
зар	z a r
заң	z a ŋ
и	ə j
игілік	i j ɡ ɘ l ɘ k
ие	i j e
изең	ɘ j z e ŋ
институт	i j n s t i j t u w t
ит	i j t
иық	ə j ə q
й	j
к	k
картоп	k ɑ ɾ t o p
келер	k e l e r
келешек	k e l e ʃ e k
келу	k e l ʏ w
кету	k e t ʉ w
кісі	k ɘ s ɘ
кітап	k ɘ t ɑ̝ p
кітапхана	k ɪ t ɑ p χ ɑ n ɑ
кіттәй	k ɪ tː æ j
күз	k ʉ z
күй	k ʏ j
күн	k ʏ n
кәуап	k æ w ɑ p
көже	k œ ʒ e
көз	k ɵ z
көке	k ø kʲ e
көктем	k ɵ k tʲ e m
л	l
лайық	l a j ɤ k
лаулау	l a w l a w
лақ	l æ q
лақ	ɫ ɑ q
м	m
ма	m ɑ
мал	m ɑ ɫ
малу	m a l u w
мама	m ɑ m ɑ
мамыр	m ɑ m ə r
марғау	m a r ʁ a w
матор	m ɑ t o r
маусым	m ɑ w s ə m
махаббат	m ɑ χ ɑ b ɑ t
мағынасыздық	m ɑ ɣ ɯ n ɑ s ɯ z d ɯ q
мейір	m e j ɘ r
мейірім	m e j ɘ r ɘ m
мемлекет	m e m l e k e t
мен	m e n
мырза	m ə r z ɑ
мысық	m ɯ s ɯ q
мүлік	m ʏ l ɪ k
мүмкін	m ʏ m k ɪ n
мұз	m ʊ z
мұздатқыш	m ʊ z d ɑ t q ə ʃ
мұздық	m ʊ z d ə q
мұнар	m ʊ n a r
мұғалім	m o̙ ʁ ɑ l ɪ m
мұқау	m ʊ q a w
мәдениет	m æ d e n i j e t
мәжіліс	m æ ʒ ɘ l ɘ s
мәтін	m æ t ɪ n
мәңгүрт	m æ ŋ ɡ ʉ ɾ t
н	n
наурыз	n ɑ w r ə z
не	n e
немесе	n e m e s e
нұр	n ʊ r
нұқу	n ʊ q ʊ w
нәтиже	n æ t i j ʒ e
нәтижелеу	n æ t i j ʒ e l e w
нәті	n æ t ɪ
нәубет	n æ w b e t
нөлінші	n ɵ l ɘ n ʃ ɘ
нөң	n œ ŋ
о	o
о	w o̞
облыс	o b l ə s
облыстық	o b l ə s t ə q
ойнап	o j n ɑ p
ойнау	w o j n æ w
ойнау	w o j n ɑ w
ойын	w o j ʊ n
ол	o l
он	o n
оныншы	w o n u n ʃ u
ораза	o r ɑ z ɑ
оралман	o r a l m a n
орыс	w o ɾ ə s
отан	o t ɑ n
отандас	o t ɑ n d ɑ s
отыз	w o t u z
отызыншы	w o t u z u n ʃ u
отыр	o t ɤ r
оқушы	ʷo q o̙ ʂ ɯ
оңай	w o ŋ ɑ j
оңтүстік	o ŋ t ʏ s t ɪ k
п	p
пайдалы	p ɑ j d ɑ ɫ ɯ
папа	b ɑ p ɑ
папа	p ɑ p ɑ
патшалық	p ɑ t ʃ ɑ l ə q
пышақ	p ə ʃ a q
піл	p ɘ l
пұл	p ʊ l
р	r
рамазан	r ɑ̝ m ɑ̝ z ɑ̝ n
ресейлік	ɾʲ ɘ sʲ ɘ j l ɘ k
республика	r e s p u b l i k ɑ
республикалық	ɾ e s p u b l i k a l ə q
республикасы	rʲ ɪ s p u b lʲ ɪ k ə s ə
рет	l e t
рет	r e t
ру	r u w
с	s
сабын	s ɑ b ə n
садақа	s a d a q a
самарқау	s a m a r q a w
сарбаз	s ɑ r b ɑ z
сарт	s ɑ r t
саяхат	s ɑ j ɑ χ ɑ t
саған	s ɑ ʁ ɑ n
сегізінші	s e ɡ ɪ z ɪ n ɕ ɪ
сексенінші	s e k s e n ɪ n ɕ ɪ
сен	s e n
сендер	s e n d e r
солтүстік	s o l t ʉ s t ʉ k
соң	s o ŋ
су	s ʊ w
сылтау	s ɤ l t a w
сігу	s ɪ ɡ ʏ w
сіз	s ɪ z
сүйіс	s ʉ j ɘ s
сүмесін	s ʏ m ø s ʏ n
сүмесүт	s ʏ m ø s ʏ t
сәбіз	s æ b ɘ z
сәуле	s æ w l e
сөздік	s ɵ z d ɘ k
сөйлеу	s ɵ j lʲ e w
сөк	s ɵ k
т	t
табан	t ɑ b ɑ n
табыс	t ɑ b ə s
тамыз	t ɑ m ə z
тамыр	t ɑ m ɯ r
тартыншақтық	t ɑ r t ə n ʃ ɑ q t ə q
тартыншақтық	t ɑ r t ə n ʃ ɑ q t ə x
тартыншақтық	t ɑ r t ɨ n ʃ ɑ q t ɨ q
тартыншақтық	t ɑ r t ɨ n ʃ ɑ q t ɨ x
тас	t ɑ s
тау	t ɑ w
тауар	t a w a r
таулы	t ɑ w l ə
темір	tʲ e m ɘ r
тентек	t e n t e k
теңдік	t e ŋ d ɪ k
томпақ	t o m p a q
тоғыз	t o ʁ ʊ z
тоғызыншы	t o ʁ ə z ə n ʃ ə
тоқсан	t o q s ɑ n
тоқсаныншы	t o χ s a n ɨ n ʃ ɨ
тоңазытқыш	t o ŋ ɑ z ə t q ə ʃ
ту	t ʊ w
туу	t u w u w
туыстық	t ʊ w ə s t ə q
туған	t ʊ w ʁ ɑ n
тың	t ə ŋ
тіл	t ɘ l
тілі	t ɪ l ɪ
тінту	t i n t y w
тінтуір	t i n t y w i r
түйе	t ʏ j e
түрік	t ʉ r ɪ k
түсу	t ʏ̞ s ʏ̞ w
түсіну	t ʉ s ɘ n ʉ w
тұр	t ʊ r
тұрақтандырғыш	t ʊ r ɑ q t ɑ n d ə r ʁ ə ʃ
тұру	t u r u w
тұрғын	t ʊ r ʁ ə n
тұту	t ʊ t u w
тұшпара	t u ʃ p a r a
тұңғыш	t ʊ ŋ ʁ ə ʃ
тәжік	t æ d ʑ ɪ k
тәжік	t æ ʑ ɪ k
тәтәй	t æ t æ j
тәңір	t æ ŋ ɪ ɾ
төбе	t ø b e
төрт	t ø r t
төртінші	t ɵ r t ɘ n ʃ ɘ
у	u w
у	w
у	ʉ w
уа	w ɑ
уа	ʊ w ɑ
улау	u w l ɑ w
уәзір	w æ z ɘ r
ф	f
х	x
хабар	χ ɑ b ɑ ɾ
халық	χ ɑ l ə q
хандығы	χ ɑ ɴ d ə ʁ ə
ханым	χ ɑ n ə m
ц	t͡s
ч	t͡ʃ
ш	ʃ
шайық	ʃ ɑ j ɯ q
шаһит	ʃ ɑ h ə͡j t
ше	ɕ e
шелпек	ɕ e lʲ p e k
шеше	ɕ e ɕ e
шуаш	ʃ ʊ w ɑ ʃ
шыбын	ʃ ə b ə n
шынтақ	ʃ ə n t ɑ q
шығыс	ʃ ə ʁ ə s
шіркеу	ʃ ɘ r kʲ e w
шіркін	ʃ ɘ r k ɘ n
шұбат	ʃ ʊ b ɑ t
шұбау	ʃ u b a w
шәйнек	ɕ æ j n e k
щ	ɕ
ы	ə
ырым	ɯ r ɯ m
ырыс	ə r ə s
ықылық	ə q ə l ə q
ыңғайлы	ə ŋ ʁ ɑ j l ə
э	e
ю	j ʊ w
юнан	j u n a n
я	j ɑ
ё	ʲo
і	ɘ
ізгі	ɘ z ɡ ɘ
ізші	ɘ z ʃ ɘ
ілгек	ɘ l ɡ e k
ілім	ɘ l ɘ m
інген	ɘ ŋ ɡ e n
іріктеу	ɘ r ɘ k t e w
ішу	ɪ ʃ u
Ғ	ɣ
Ғ	ʁ
ғ	ɣ
ғ	ʁ
ғадауат	ʁ ɑ d ɑ w ɑ t
ғажайып	ʁ ɑ ʒ ɑ j ə p
ғаламат	ʁ ɑ l ɑ m ɑ t
ғаламтор	ʁ ɑ l ɑ m t o r
ғаламшараралық	ʁ ɑ l ɑ m ʃ ɑ r ɑ r ɑ l ə q
ғарыш	ʁ ɑ r ə ʃ
ғарышкер	ʁ ɑ r ə ʃ k e r
ғарышкер	ʁ ɑ r ʃ k e r
ғасыр	ʁ ɑ s ə r
ғашық	ʁ ɑ ʃ ə q
ғашықтық	ʁ ɑ ʃ ə q t ə q
ғибадатхана	ʁ ə j b ɑ d ɑ t χ ɑ n ɑ
ғимарат	ʁ ə j m ɑ r ɑ t
ғой	ʁ o
ғой	ʁ o j
ғылым	ʁ ə l ə m
Қ	q
Қазақстан	q ɑ z ɑ q s t ɑ n
Қарағанды	q ɑ r ɑ ʁ ɑ n d ə
Қостанай	q o s t ɑ n ɑ j
Қызылорда	q ə z ə l o r d ɑ
Қытай	q ə t ɑ j
қ	q
қабық	q ɑ b ə q
қадам	q ɑ d ɑ m
қазақ	q ɑ z ɑ q
қазақстандық	q ɑ z ɑ q s t ɑ n d ə q
қазақша	q ɑ z ɑ q ʃ ɑ
қазақы	q ɑ z ɑ q ə
қазір	k æ
қазір	k æ z
қазір	k æ z ɘ r
қазір	q ɑ z ɘ r
қайсы	q a j s ɨ
қайызғақ	q a j ə z ʁ a q
қала	q ɑ l ɑ
қалам	q a l a m
қалау	q ɑ l ɑ w
қалаш	q ɑ l ɑ ʃ
қалжың	q a l ʒ ə ŋ
қалмақ	q ɑ l m ɑ q
қалыңдық	q ɑ l ə ŋ d ə q
қамсыздандыру	q ɑ m s ə z d ɑ n d ə ɾ ʊ w
қан	q ɑ n
қанат	q ɑ n ɑ t
қандас	q ɑ n d ɑ s
қапас	q ɑ p ɑ s
қар	q ɑ ɾ
қара	q ɑ ɾ ɑ
қарапайым	q ɑ ɾ ɑ p ɑ j ɤ m
қарар	q ɑ ɾ ɑ ɾ
қараша	q ɑ r ɑ ʃ ɑ
қараған	q ɑ r ɑ ʁ ɑ n
қарақ	q ɑ r ɑ q
қасқыр	q a s q ɨ r
қатал	k a t a l
қауым	q ɑ w ɤ m
қағу	q ɑ ʁ ʊ w
қаңтар	q ɑ ŋ t ɑ r
қол	q o ɫ
қонақ	q o n ɑ q
қону	q o n ʊ w
қотағыма	q o t ɑ ʁ ə m ɑ
қотақ	q o t ɑ q
қотақбас	q o t a q b a s
қуу	q ʊ w ʊ w
қыз	q ə z
қызыл	q ə z ə l
қызылша	q ə z ə l ʃ ɑ
қымыз	q ə m ə z
қыркүйек	q ə r k ʉ j j e k
қырық	q ə ɾ ə q
қырғыз	q ə r ʁ ə z
қырқыншы	q ɨ r q ɨ n ʃ ɨ
қытай	q ə t ɑ j
қытайбұршақ	q ə t ɑ j b ʊ ɾ ʃ ɑ q
қытайлық	q ə t a j l ə q
құрт	q u r t
құс	q ʊ s
Ң	ŋ
ң	ŋ
Ү	ʏ
Үркер	ʉ ɾ kʲ e ɾ
ү	ʏ
үзіліс	ʏ z ʏ l ɘ s
үкі	ʉ k ʉ
үкімет	ʉ k ɘ m e t
үкімет	ʉ k ʉ m e t
үлгі	ʏ l ɡ ʏ
үтік	y t y k
үш	ʏ ɕ
үшбұрыш	ʏ ɕ p u r u ʃ
үшінші	ʉ ʃ ɘ n ʃ ɘ
Ұ	ʊ
ұ	ʊ
ұзын	u z u n
ұйықтау	ʊ j ʊ q t ɑ w
ұлу	ʊ l u w
ұмыту	o̙ m o̙ t o̙ w
ұстаз	ʊ s t ɑ z
ұсыну	o̙ s ɯ n o̙ w
ұшақ	ʊ ʃ ɑ q
ұшып	ʊ ʃ ə p
ұя	ʊ j ɑ
Һ	h
һ	h
Ә	æ
Әбдірахман	æ b d ɘ r ɑ χ m ɑ n
Әділхан	æ d ɘ l χ ɑ n
ә	æ
әдеби	æ d e b ɘ j
әдебиет	æ d e b ɘ j j e t
әдебиеттану	æ d e b ɘ j j e tː ɑ n ʊ w
әдебиеттанушы	æ d e b ɘ j j e tː ɑ n ʊ w ʃ ə
әдебиетші	æ dʲ e b ɘ jː e t ʃ ɘ
әдемі	æ d e m ɘ
әдет	æ d e t
әділетсіздік	æ d ɘ l e t s ɘ z d ɘ k
әжептәуір	æ ʒ e p t æ w ɪ r
әжетхана	æ ʒ e t χ ɑ n ɑ
әзіз	æ z ɘ z
әйәй	æ j æ j
әліппе	æ l ɘ p p e
әмбебап	æ m b e b ɑ p
әнші	æ n ʃ ɘ
әнұран	æ n ʊ r ɑ n
әрең	æ rʲ e ŋ
әркім	æ r k ɘ m
әскери	æ s k e r ɘ j
әуежай	æ w e ʒ ɑ j
әңгіме	æ ŋ ɡ ɘ m e
Ө	œ
Өзбекстан	ɵ z bʲ e k s t ɑ n
ө	w ø̞
ө	œ
өзбекстандық	ø z b e k s t ɑ n d ə q
өш	œ ʃ
